devanagari,iast,slp1,count,pct,devanagari_halant,n_consonants,slot1,slot2,slot3,slot4,slot5
ग्द्र,gdr,gdr,34,0.001,ग्द्र्,3,0,1,4,27,2
ग्द्व,gdv,gdv,53,0.0016,ग्द्व्,3,22,7,6,17,1
ग्ध,gdh,gD,4663,0.1428,ग्ध्,2,389,822,1581,1484,386
ग्ध्म,gdhm,gDm,4,0.0001,ग्ध्म्,3,0,0,0,4,0
ग्ध्य,gdhy,gDy,45,0.0014,ग्ध्य्,3,20,0,12,11,2
ग्ध्र,gdhr,gDr,33,0.001,ग्ध्र्,3,9,16,6,2,0
ग्ध्व,gdhv,gDv,196,0.006,ग्ध्व्,3,37,48,74,31,6
ग्न,gn,gn,27151,0.8314,ग्न्,2,16996,3389,2925,2540,1300
ग्न्य,gny,gny,567,0.0174,ग्न्य्,3,211,172,100,60,24
ग्ब,gb,gb,117,0.0036,ग्ब्,2,10,29,34,31,13
ग्ब्र,gbr,gbr,13,0.0004,ग्ब्र्,3,0,0,5,4,4
ग्भ,gbh,gB,797,0.0244,ग्भ्,2,140,215,203,174,65
ग्भ्य,gbhy,gBy,243,0.0074,ग्भ्य्,3,143,38,30,16,16
ग्भ्र,gbhr,gBr,7,0.0002,ग्भ्र्,3,0,1,2,4,0
ग्म,gm,gm,1890,0.0579,ग्म्,2,421,799,286,271,113
ग्म्य,gmy,gmy,7,0.0002,ग्म्य्,3,7,0,0,0,0
ग्य,gy,gy,2603,0.0797,ग्य्,2,286,481,824,753,258
ग्र,gr,gr,25649,0.7854,ग्र्,2,5901,7333,5828,4867,1711
ग्र्य,gry,gry,561,0.0172,ग्र्य्,3,28,321,117,67,28
ग्र्व,grv,grv,4,0.0001,ग्र्व्,3,0,0,3,1,0
ग्ल,gl,gl,439,0.0134,ग्ल्,2,56,174,130,58,21
ग्व,gv,gv,1452,0.0445,ग्व्,2,347,268,418,324,95
ग्व्य,gvy,gvy,36,0.0011,ग्व्य्,3,6,8,12,6,4
ग्व्र,gvr,gvr,8,0.0002,ग्व्र्,3,0,1,5,1,1
ग्व्व,gvv,gvv,1,0.0,ग्व्व्,3,0,0,1,0,0
घ्न,ghn,Gn,4835,0.1481,घ्न्,2,856,1396,1027,1296,260
घ्न्य,ghny,Gny,140,0.0043,घ्न्य्,3,103,19,10,6,2
घ्म,ghm,Gm,3,0.0001,घ्म्,2,3,0,0,0,0
घ्य,ghy,Gy,176,0.0054,घ्य्,2,41,25,43,51,16
घ्र,ghr,Gr,3433,0.1051,घ्र्,2,308,1794,618,499,214
घ्र्य,ghry,Gry,22,0.0007,घ्र्य्,3,5,3,12,2,0
घ्व,ghv,Gv,145,0.0044,घ्व्,2,7,39,45,39,15
घ्व्य,ghvy,Gvy,4,0.0001,घ्व्य्,3,0,1,3,0,0
ङ्क,ṅk,Nk,7579,0.2321,ङ्क्,2,535,1682,2052,2494,812
ङ्क्त,ṅkt,Nkt,1347,0.0412,ङ्क्त्,3,741,209,198,143,56
ङ्क्त्य,ṅkty,Nkty,64,0.002,ङ्क्त्य्,4,32,15,13,3,1
ङ्क्त्व,ṅktv,Nktv,37,0.0011,ङ्क्त्व्,4,8,13,9,6,1
ङ्क्थ,ṅkth,NkT,3,0.0001,ङ्क्थ्,3,1,0,0,2,0
ङ्क्य,ṅky,Nky,87,0.0027,ङ्क्य्,3,13,13,20,37,4
ङ्क्र,ṅkr,Nkr,95,0.0029,ङ्क्र्,3,11,27,30,16,11
ङ्क्ल,ṅkl,Nkl,1,0.0,ङ्क्ल्,3,0,0,0,1,0
ङ्क्व,ṅkv,Nkv,6,0.0002,ङ्क्व्,3,0,2,4,0,0
ङ्क्ष,ṅkṣ,Nkz,1065,0.0326,ङ्क्ष्,3,46,532,271,143,73
ङ्क्ष्ण,ṅkṣṇ,NkzR,2,0.0001,ङ्क्ष्ण्,4,2,0,0,0,0
ङ्क्ष्म,ṅkṣm,Nkzm,2,0.0001,ङ्क्ष्म्,4,0,0,1,1,0
ङ्क्ष्य,ṅkṣy,Nkzy,41,0.0013,ङ्क्ष्य्,4,3,17,7,13,1
ङ्क्ष्व,ṅkṣv,Nkzv,139,0.0043,ङ्क्ष्व्,4,38,65,12,21,3
ङ्क्स,ṅks,Nks,1,0.0,ङ्क्स्,3,1,0,0,0,0
ङ्ख,ṅkh,NK,2194,0.0672,ङ्ख्,2,159,688,510,586,251
ङ्ख्य,ṅkhy,NKy,106,0.0032,ङ्ख्य्,3,4,33,32,15,22
ङ्ग,ṅg,Ng,28243,0.8649,ङ्ग्,2,3246,6262,8569,7330,2835
ङ्ग्ध,ṅgdh,NgD,24,0.0007,ङ्ग्ध्,3,24,0,0,0,0
ङ्ग्ध्य,ṅgdhy,NgDy,1,0.0,ङ्ग्ध्य्,4,1,0,0,0,0
ङ्ग्ध्व,ṅgdhv,NgDv,6,0.0002,ङ्ग्ध्व्,4,6,0,0,0,0
ङ्ग्य,ṅgy,Ngy,292,0.0089,ङ्ग्य्,3,40,54,102,80,16
ङ्ग्र,ṅgr,Ngr,68,0.0021,ङ्ग्र्,3,3,2,14,34,15
ङ्ग्ल,ṅgl,Ngl,1,0.0,ङ्ग्ल्,3,0,0,0,0,1
ङ्ग्व,ṅgv,Ngv,59,0.0018,ङ्ग्व्,3,1,11,40,5,2
ङ्घ,ṅgh,NG,972,0.0298,ङ्घ्,2,67,217,354,238,96
ङ्घ्न,ṅghn,NGn,1,0.0,ङ्घ्न्,3,1,0,0,0,0
ङ्घ्य,ṅghy,NGy,85,0.0026,ङ्घ्य्,3,0,4,41,34,6
ङ्घ्र,ṅghr,NGr,205,0.0063,ङ्घ्र्,3,3,2,39,129,32
ङ्घ्र्य,ṅghry,NGry,5,0.0002,ङ्घ्र्य्,4,0,0,0,5,0
ङ्ङ,ṅṅ,NN,183,0.0056,ङ्ङ्,2,180,0,0,0,3
ङ्च,ṅc,Nc,1,0.0,ङ्च्,2,1,0,0,0,0
ङ्ज,ṅj,Nj,3,0.0001,ङ्ज्,2,0,3,0,0,0
ङ्ण,ṅṇ,NR,1,0.0,ङ्ण्,2,0,1,0,0,0
ङ्त,ṅt,Nt,3,0.0001,ङ्त्,2,2,1,0,0,0
ङ्ध,ṅdh,ND,31,0.0009,ङ्ध्,2,29,2,0,0,0
ङ्ध्य,ṅdhy,NDy,1,0.0,ङ्ध्य्,3,1,0,0,0,0
ङ्ध्व,ṅdhv,NDv,1,0.0,ङ्ध्व्,3,0,0,0,1,0
ङ्न,ṅn,Nn,208,0.0064,ङ्न्,2,20,28,84,59,17
ङ्न्य,ṅny,Nny,13,0.0004,ङ्न्य्,3,0,1,7,3,2
ङ्न्र,ṅnr,Nnr,1,0.0,ङ्न्र्,3,0,0,0,1,0
ङ्प,ṅp,Np,4,0.0001,ङ्प्,2,0,3,0,1,0
ङ्प्र,ṅpr,Npr,6,0.0002,ङ्प्र्,3,3,1,1,1,0
ङ्भ,ṅbh,NB,2,0.0001,ङ्भ्,2,0,1,0,0,1
ङ्भ्य,ṅbhy,NBy,4,0.0001,ङ्भ्य्,3,0,3,0,1,0
ङ्म,ṅm,Nm,1257,0.0385,ङ्म्,2,248,310,421,203,73
ङ्म्ल,ṅml,Nml,1,0.0,ङ्म्ल्,3,0,0,1,0,0
ङ्य,ṅy,Ny,19,0.0006,ङ्य्,2,1,17,1,0,0
ङ्र,ṅr,Nr,1,0.0,ङ्र्,2,0,1,0,0,0
ङ्ल,ṅl,Nl,12,0.0004,ङ्ल्,2,0,12,0,0,0
ङ्व,ṅv,Nv,14,0.0004,ङ्व्,2,9,3,2,0,0
ङ्श,ṅś,NS,2,0.0001,ङ्श्,2,1,1,0,0,0
ङ्स,ṅs,Ns,3,0.0001,ङ्स्,2,0,3,0,0,0
ङ्स्थ,ṅsth,NsT,4,0.0001,ङ्स्थ्,3,0,4,0,0,0
ङ्स्व,ṅsv,Nsv,1,0.0,ङ्स्व्,3,0,1,0,0,0
ङ्ह,ṅh,Nh,1,0.0,ङ्ह्,2,0,1,0,0,0
ङ्ह्र,ṅhr,Nhr,1,0.0,ङ्ह्र्,3,0,1,0,0,0
च्क,ck,ck,8,0.0002,च्क्,2,0,2,0,6,0
च्क्त,ckt,ckt,1,0.0,च्क्त्,3,0,1,0,0,0
च्ख,ckh,cK,1,0.0,च्ख्,2,0,1,0,0,0
च्च,cc,cc,10426,0.3193,च्च्,2,642,3890,2721,2462,706
च्च्य,ccy,ccy,104,0.0032,च्च्य्,3,5,52,19,15,13
च्छ,cch,cC,30079,0.9211,च्छ्,2,7075,9412,6471,5191,1925
च्छ्म,cchm,cCm,19,0.0006,च्छ्म्,3,8,1,1,9,0
च्छ्य,cchy,cCy,162,0.005,च्छ्य्,3,40,40,45,33,4
च्छ्र,cchr,cCr,3354,0.1027,च्छ्र्,3,389,1216,825,659,264
च्छ्ल,cchl,cCl,79,0.0024,च्छ्ल्,3,4,16,33,20,6
च्छ्व,cchv,cCv,402,0.0123,च्छ्व्,3,40,104,178,60,20
च्ञ,cñ,cY,38,0.0012,च्ञ्,2,3,4,11,20,0
च्ञ्य,cñy,cYy,1,0.0,च्ञ्य्,3,1,0,0,0,0
च्त,ct,ct,2,0.0001,च्त्,2,0,2,0,0,0
च्प,cp,cp,4,0.0001,च्प्,2,0,3,1,0,0
च्प्र,cpr,cpr,2,0.0001,च्प्र्,3,0,0,1,0,1
च्फ,cph,cP,2,0.0001,च्फ्,2,0,2,0,0,0
च्म,cm,cm,59,0.0018,च्म्,2,9,1,2,42,5
च्म्य,cmy,cmy,8,0.0002,च्म्य्,3,0,0,0,8,0
च्य,cy,cy,10993,0.3366,च्य्,2,2389,2668,2739,2446,749
च्र,cr,cr,2,0.0001,च्र्,2,2,0,0,0,0
च्ल,cl,cl,2,0.0001,च्ल्,2,0,2,0,0,0
च्व,cv,cv,8,0.0002,च्व्,2,0,6,0,1,1
च्व्य,cvy,cvy,4,0.0001,च्व्य्,3,0,3,1,0,0
च्स,cs,cs,1,0.0,च्स्,2,0,1,0,0,0
च्स्व,csv,csv,1,0.0,च्स्व्,3,0,1,0,0,0
छ्य,chy,Cy,30,0.0009,छ्य्,2,26,0,3,0,1
छ्र,chr,Cr,307,0.0094,छ्र्,2,51,56,56,126,18
छ्ल,chl,Cl,5,0.0002,छ्ल्,2,1,0,1,2,1
छ्व,chv,Cv,16,0.0005,छ्व्,2,6,3,2,4,1
ज्क,jk,jk,1,0.0,ज्क्,2,0,1,0,0,0
ज्ज,jj,jj,4697,0.1438,ज्ज्,2,568,1314,1129,1362,324
ज्ज्ञ,jjñ,jjY,435,0.0133,ज्ज्ञ्,3,13,138,114,146,24
ज्ज्य,jjy,jjy,102,0.0031,ज्ज्य्,3,24,28,26,17,7
ज्ज्व,jjv,jjv,512,0.0157,ज्ज्व्,3,31,115,155,157,54
ज्झ,jjh,jJ,181,0.0055,ज्झ्,2,5,23,56,80,17
ज्झ्य,jjhy,jJy,10,0.0003,ज्झ्य्,3,0,0,8,2,0
ज्झ्र,jjhr,jJr,1,0.0,ज्झ्र्,3,0,1,0,0,0
ज्ञ,jñ,jY,38043,1.165,ज्ञ्,2,9189,13082,8017,5769,1978
ज्ञ्य,jñy,jYy,51,0.0016,ज्ञ्य्,3,24,0,1,17,9
ज्ञ्व,jñv,jYv,4,0.0001,ज्ञ्व्,3,4,0,0,0,0
ज्द,jd,jd,3,0.0001,ज्द्,2,0,2,1,0,0
ज्न,jn,jn,1,0.0,ज्न्,2,1,0,0,0,0
ज्ब,jb,jb,1,0.0,ज्ब्,2,0,1,0,0,0
ज्भ,jbh,jB,2,0.0001,ज्भ्,2,0,1,1,0,0
ज्भ्य,jbhy,jBy,2,0.0001,ज्भ्य्,3,1,1,0,0,0
ज्भ्र,jbhr,jBr,1,0.0,ज्भ्र्,3,0,1,0,0,0
ज्म,jm,jm,203,0.0062,ज्म्,2,193,3,2,0,5
ज्म्य,jmy,jmy,4,0.0001,ज्म्य्,3,3,0,0,1,0
ज्म्र,jmr,jmr,1,0.0,ज्म्र्,3,0,0,0,0,1
ज्य,jy,jy,18803,0.5758,ज्य्,2,6464,5073,3721,2499,1045
ज्र,jr,jr,4172,0.1278,ज्र्,2,1249,765,336,1545,277
ज्र्य,jry,jry,11,0.0003,ज्र्य्,3,5,1,0,4,1
ज्व,jv,jv,4522,0.1385,ज्व्,2,186,1405,1341,1227,363
ज्व्य,jvy,jvy,1,0.0,ज्व्य्,3,0,0,1,0,0
ज्श,jś,jS,1,0.0,ज्श्,2,1,0,0,0,0
ज्स,js,js,1,0.0,ज्स्,2,0,1,0,0,0
ज्स्न,jsn,jsn,1,0.0,ज्स्न्,3,0,1,0,0,0
झ्म्र्य,jhmry,Jmry,1,0.0,झ्म्र्य्,4,0,0,0,0,1
झ्य,jhy,Jy,2,0.0001,झ्य्,2,0,1,1,0,0
झ्व,jhv,Jv,1,0.0,झ्व्,2,0,0,0,1,0
ञ्क,ñk,Yk,2,0.0001,ञ्क्,2,0,2,0,0,0
ञ्क्त,ñkt,Ykt,1,0.0,ञ्क्त्,3,0,1,0,0,0
ञ्क्व,ñkv,Ykv,1,0.0,ञ्क्व्,3,0,1,0,0,0
ञ्ख,ñkh,YK,1,0.0,ञ्ख्,2,0,1,0,0,0
ञ्ग्भ,ñgbh,YgB,4,0.0001,ञ्ग्भ्,3,4,0,0,0,0
ञ्ग्र,ñgr,Ygr,1,0.0,ञ्ग्र्,3,0,1,0,0,0
ञ्च,ñc,Yc,18494,0.5663,ञ्च्,2,5101,4299,3541,3950,1597
ञ्च्य,ñcy,Ycy,91,0.0028,ञ्च्य्,3,17,9,12,37,16
ञ्च्व,ñcv,Ycv,19,0.0006,ञ्च्व्,3,0,0,2,14,3
ञ्छ,ñch,YC,911,0.0279,ञ्छ्,2,199,119,263,216,114
ञ्छ्न,ñchn,YCn,1,0.0,ञ्छ्न्,3,1,0,0,0,0
ञ्छ्य,ñchy,YCy,12,0.0004,ञ्छ्य्,3,10,0,0,2,0
ञ्छ्र,ñchr,YCr,73,0.0022,ञ्छ्र्,3,27,7,21,13,5
ञ्छ्ल,ñchl,YCl,5,0.0002,ञ्छ्ल्,3,1,1,2,1,0
ञ्छ्व,ñchv,YCv,17,0.0005,ञ्छ्व्,3,7,0,6,3,1
ञ्ज,ñj,Yj,10232,0.3133,ञ्ज्,2,1563,2423,2631,2770,841
ञ्ज्ञ,ñjñ,YjY,160,0.0049,ञ्ज्ञ्,3,2,87,66,3,2
ञ्ज्म,ñjm,Yjm,9,0.0003,ञ्ज्म्,3,4,3,1,1,0
ञ्ज्य,ñjy,Yjy,226,0.0069,ञ्ज्य्,3,72,20,83,34,17
ञ्ज्व,ñjv,Yjv,13,0.0004,ञ्ज्व्,3,0,6,2,4,1
ञ्झ,ñjh,YJ,13,0.0004,ञ्झ्,2,0,0,3,9,1
ञ्झ्व,ñjhv,YJv,1,0.0,ञ्झ्व्,3,0,0,1,0,0
ञ्ञ,ññ,YY,2,0.0001,ञ्ञ्,2,0,2,0,0,0
ञ्ञ्य,ññy,YYy,1,0.0,ञ्ञ्य्,3,0,1,0,0,0
ञ्ठ,ñṭh,YW,1,0.0,ञ्ठ्,2,0,1,0,0,0
ञ्ण,ñṇ,YR,3,0.0001,ञ्ण्,2,0,3,0,0,0
ञ्ण्य,ñṇy,YRy,1,0.0,ञ्ण्य्,3,0,1,0,0,0
ञ्द,ñd,Yd,1,0.0,ञ्द्,2,0,1,0,0,0
ञ्द्व,ñdv,Ydv,1,0.0,ञ्द्व्,3,0,1,0,0,0
ञ्न,ñn,Yn,3,0.0001,ञ्न्,2,0,3,0,0,0
ञ्प,ñp,Yp,3,0.0001,ञ्प्,2,0,3,0,0,0
ञ्प्र,ñpr,Ypr,1,0.0,ञ्प्र्,3,0,1,0,0,0
ञ्भ्य,ñbhy,YBy,4,0.0001,ञ्भ्य्,3,0,4,0,0,0
ञ्म,ñm,Ym,4,0.0001,ञ्म्,2,1,3,0,0,0
ञ्य,ñy,Yy,18,0.0006,ञ्य्,2,0,18,0,0,0
ञ्र,ñr,Yr,1,0.0,ञ्र्,2,0,1,0,0,0
ञ्व,ñv,Yv,5,0.0002,ञ्व्,2,0,4,1,0,0
ञ्श,ñś,YS,308,0.0094,ञ्श्,2,27,193,40,43,5
ञ्श्म,ñśm,YSm,2,0.0001,ञ्श्म्,3,0,1,1,0,0
ञ्श्य,ñśy,YSy,1,0.0,ञ्श्य्,3,0,0,1,0,0
ञ्श्र,ñśr,YSr,66,0.002,ञ्श्र्,3,3,40,21,2,0
ञ्श्ल,ñśl,YSl,9,0.0003,ञ्श्ल्,3,0,7,0,2,0
ञ्श्व,ñśv,YSv,11,0.0003,ञ्श्व्,3,1,9,0,1,0
ञ्स,ñs,Ys,2,0.0001,ञ्स्,2,0,2,0,0,0
ञ्स्न,ñsn,Ysn,1,0.0,ञ्स्न्,3,0,1,0,0,0
ट्क,ṭk,wk,1055,0.0323,ट्क्,2,677,65,81,151,81
ट्क्र,ṭkr,wkr,16,0.0005,ट्क्र्,3,10,2,3,1,0
ट्क्ल,ṭkl,wkl,3,0.0001,ट्क्ल्,3,0,0,2,1,0
ट्क्ष,ṭkṣ,wkz,13,0.0004,ट्क्ष्,3,0,2,7,4,0
ट्ख,ṭkh,wK,10,0.0003,ट्ख्,2,0,0,1,7,2
ट्ग,ṭg,wg,1,0.0,ट्ग्,2,0,0,0,1,0
ट्च,ṭc,wc,44,0.0013,ट्च्,2,4,3,14,20,3
ट्छ,ṭch,wC,37,0.0011,ट्छ्,2,3,5,15,13,1
ट्ट,ṭṭ,ww,1502,0.046,ट्ट्,2,33,280,444,586,159
ट्ट्य,ṭṭy,wwy,3,0.0001,ट्ट्य्,3,0,0,1,1,1
ट्ण,ṭṇ,wR,4,0.0001,ट्ण्,2,4,0,0,0,0
ट्त,ṭt,wt,23,0.0007,ट्त्,2,1,1,12,7,2
ट्त्र,ṭtr,wtr,208,0.0064,ट्त्र्,3,98,19,29,44,18
ट्त्व,ṭtv,wtv,22,0.0007,ट्त्व्,3,4,5,4,8,1
ट्द,ṭd,wd,1,0.0,ट्द्,2,0,1,0,0,0
ट्द्व्य,ṭdvy,wdvy,1,0.0,ट्द्व्य्,4,0,0,0,0,1
ट्न,ṭn,wn,1,0.0,ट्न्,2,0,0,0,0,1
ट्प,ṭp,wp,220,0.0067,ट्प्,2,20,65,59,61,15
ट्प्र,ṭpr,wpr,29,0.0009,ट्प्र्,3,1,1,16,10,1
ट्फ,ṭph,wP,80,0.0024,ट्फ्,2,0,6,45,25,4
ट्म,ṭm,wm,1,0.0,ट्म्,2,1,0,0,0,0
ट्य,ṭy,wy,817,0.025,ट्य्,2,61,161,323,214,58
ट्ल,ṭl,wl,1,0.0,ट्ल्,2,0,1,0,0,0
ट्व,ṭv,wv,323,0.0099,ट्व्,2,113,26,89,74,21
ट्व्य,ṭvy,wvy,1,0.0,ट्व्य्,3,0,0,0,1,0
ट्श,ṭś,wS,101,0.0031,ट्श्,2,11,28,26,27,9
ट्श्र,ṭśr,wSr,4,0.0001,ट्श्र्,3,0,0,2,2,0
ट्श्ल,ṭśl,wSl,2,0.0001,ट्श्ल्,3,0,1,1,0,0
ट्श्व,ṭśv,wSv,4,0.0001,ट्श्व्,3,0,1,2,1,0
ट्श्व्य,ṭśvy,wSvy,1,0.0,ट्श्व्य्,4,0,1,0,0,0
ट्ष,ṭṣ,wz,12,0.0004,ट्ष्,2,3,1,3,3,2
ट्स,ṭs,ws,258,0.0079,ट्स्,2,24,40,145,38,11
ट्स्त,ṭst,wst,3,0.0001,ट्स्त्,3,2,1,0,0,0
ट्स्थ,ṭsth,wsT,1,0.0,ट्स्थ्,3,0,0,0,1,0
ट्स्फ,ṭsph,wsP,2,0.0001,ट्स्फ्,3,0,0,2,0,0
ट्स्र,ṭsr,wsr,2,0.0001,ट्स्र्,3,0,0,1,1,0
ट्स्व,ṭsv,wsv,28,0.0009,ट्स्व्,3,9,3,8,7,1
ठ्ठ,ṭhṭh,WW,1,0.0,ठ्ठ्,2,0,0,0,1,0
ठ्य,ṭhy,Wy,175,0.0054,ठ्य्,2,2,31,96,27,19
ठ्स,ṭhs,Ws,1,0.0,ठ्स्,2,0,1,0,0,0
ड्ग,ḍg,qg,932,0.0285,ड्ग्,2,22,365,139,339,66
ड्ग्र,ḍgr,qgr,38,0.0012,ड्ग्र्,3,0,1,22,12,3
ड्ग्ल,ḍgl,qgl,4,0.0001,ड्ग्ल्,3,0,0,3,1,0
ड्घ,ḍgh,qG,7,0.0002,ड्घ्,2,0,0,2,5,0
