devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
र्भ्य,rbhya,rBya,15,0.0001,6,4,1,2,2
र्भ्यं,rbhyaṃ,rByaM,1,0.0,1,0,0,0,0
र्भ्यः,rbhyaḥ,rByaH,27,0.0002,20,7,0,0,0
र्भ्या,rbhyā,rByA,62,0.0004,12,26,18,4,2
र्भ्यां,rbhyāṃ,rByAM,136,0.0009,9,54,37,26,10
र्भ्याः,rbhyāḥ,rByAH,1,0.0,0,1,0,0,0
र्भ्यू,rbhyū,rByU,2,0.0,2,0,0,0,0
र्भ्ये,rbhye,rBye,1,0.0,1,0,0,0,0
र्भ्यो,rbhyo,rByo,20,0.0001,11,3,4,0,2
र्भ्र,rbhra,rBra,15,0.0001,0,6,3,4,2
र्भ्रा,rbhrā,rBrA,40,0.0003,1,3,19,13,4
र्भ्रि,rbhri,rBri,1,0.0,1,0,0,0,0
र्भ्रु,rbhru,rBru,4,0.0,0,0,4,0,0
र्भ्रू,rbhrū,rBrU,5,0.0,0,0,2,3,0
र्भ्वां,rbhvāṃ,rBvAM,2,0.0,1,1,0,0,0
र्म,rma,rma,23938,0.1671,2508,10620,5367,3544,1891
र्मं,rmaṃ,rmaM,1191,0.0083,63,708,196,82,142
र्मः,rmaḥ,rmaH,803,0.0056,89,437,132,110,35
र्मा,rmā,rmA,7466,0.0521,820,3549,1721,1037,335
र्मां,rmāṃ,rmAM,130,0.0009,5,42,52,28,3
र्माः,rmāḥ,rmAH,129,0.0009,19,46,39,11,14
र्मि,rmi,rmi,2185,0.0153,245,857,615,311,157
र्मिं,rmiṃ,rmiM,21,0.0001,19,1,0,1,0
र्मिः,rmiḥ,rmiH,32,0.0002,18,8,0,6,0
र्मी,rmī,rmI,88,0.0006,25,34,20,8,1
र्मीं,rmīṃ,rmIM,5,0.0,2,2,1,0,0
र्मु,rmu,rmu,1758,0.0123,63,596,445,496,156
र्मू,rmū,rmU,157,0.0011,4,25,56,62,10
र्मृ,rmṛ,rmf,208,0.0015,103,15,28,54,8
र्मे,rme,rme,2109,0.0147,178,1097,422,311,100
र्मेः,rmeḥ,rmeH,1,0.0,1,0,0,0,0
र्मै,rmai,rmE,129,0.0009,21,40,37,28,3
र्मैः,rmaiḥ,rmEH,36,0.0003,5,17,7,4,3
