devanagari,iast,slp1,count,pct,devanagari_halant,n_consonants,slot1,slot2,slot3,slot4,slot5
ज्भ,jbh,jB,2,0.0001,ज्भ्,2,0,1,1,0,0
ज्म,jm,jm,203,0.0066,ज्म्,2,193,3,2,0,5
ज्य,jy,jy,18803,0.6127,ज्य्,2,6464,5073,3721,2499,1045
ज्र,jr,jr,4172,0.1359,ज्र्,2,1249,765,336,1545,277
ज्व,jv,jv,4522,0.1474,ज्व्,2,186,1405,1341,1227,363
ज्श,jś,jS,1,0.0,ज्श्,2,1,0,0,0,0
ज्स,js,js,1,0.0,ज्स्,2,0,1,0,0,0
झ्य,jhy,Jy,2,0.0001,झ्य्,2,0,1,1,0,0
झ्व,jhv,Jv,1,0.0,झ्व्,2,0,0,0,1,0
ञ्क,ñk,Yk,2,0.0001,ञ्क्,2,0,2,0,0,0
ञ्ख,ñkh,YK,1,0.0,ञ्ख्,2,0,1,0,0,0
ञ्च,ñc,Yc,18494,0.6026,ञ्च्,2,5101,4299,3541,3950,1597
ञ्छ,ñch,YC,911,0.0297,ञ्छ्,2,199,119,263,216,114
ञ्ज,ñj,Yj,10232,0.3334,ञ्ज्,2,1563,2423,2631,2770,841
ञ्झ,ñjh,YJ,13,0.0004,ञ्झ्,2,0,0,3,9,1
ञ्ञ,ññ,YY,2,0.0001,ञ्ञ्,2,0,2,0,0,0
ञ्ठ,ñṭh,YW,1,0.0,ञ्ठ्,2,0,1,0,0,0
ञ्ण,ñṇ,YR,3,0.0001,ञ्ण्,2,0,3,0,0,0
ञ्द,ñd,Yd,1,0.0,ञ्द्,2,0,1,0,0,0
ञ्न,ñn,Yn,3,0.0001,ञ्न्,2,0,3,0,0,0
ञ्प,ñp,Yp,3,0.0001,ञ्प्,2,0,3,0,0,0
ञ्म,ñm,Ym,4,0.0001,ञ्म्,2,1,3,0,0,0
ञ्य,ñy,Yy,18,0.0006,ञ्य्,2,0,18,0,0,0
ञ्र,ñr,Yr,1,0.0,ञ्र्,2,0,1,0,0,0
ञ्व,ñv,Yv,5,0.0002,ञ्व्,2,0,4,1,0,0
ञ्श,ñś,YS,308,0.01,ञ्श्,2,27,193,40,43,5
ञ्स,ñs,Ys,2,0.0001,ञ्स्,2,0,2,0,0,0
ट्क,ṭk,wk,1055,0.0344,ट्क्,2,677,65,81,151,81
ट्ख,ṭkh,wK,10,0.0003,ट्ख्,2,0,0,1,7,2
ट्ग,ṭg,wg,1,0.0,ट्ग्,2,0,0,0,1,0
ट्च,ṭc,wc,44,0.0014,ट्च्,2,4,3,14,20,3
ट्छ,ṭch,wC,37,0.0012,ट्छ्,2,3,5,15,13,1
ट्ट,ṭṭ,ww,1502,0.0489,ट्ट्,2,33,280,444,586,159
ट्ण,ṭṇ,wR,4,0.0001,ट्ण्,2,4,0,0,0,0
ट्त,ṭt,wt,23,0.0007,ट्त्,2,1,1,12,7,2
ट्द,ṭd,wd,1,0.0,ट्द्,2,0,1,0,0,0
ट्न,ṭn,wn,1,0.0,ट्न्,2,0,0,0,0,1
ट्प,ṭp,wp,220,0.0072,ट्प्,2,20,65,59,61,15
ट्फ,ṭph,wP,80,0.0026,ट्फ्,2,0,6,45,25,4
ट्म,ṭm,wm,1,0.0,ट्म्,2,1,0,0,0,0
ट्य,ṭy,wy,817,0.0266,ट्य्,2,61,161,323,214,58
ट्ल,ṭl,wl,1,0.0,ट्ल्,2,0,1,0,0,0
ट्व,ṭv,wv,323,0.0105,ट्व्,2,113,26,89,74,21
ट्श,ṭś,wS,101,0.0033,ट्श्,2,11,28,26,27,9
ट्ष,ṭṣ,wz,12,0.0004,ट्ष्,2,3,1,3,3,2
ट्स,ṭs,ws,258,0.0084,ट्स्,2,24,40,145,38,11
ठ्ठ,ṭhṭh,WW,1,0.0,ठ्ठ्,2,0,0,0,1,0
ठ्य,ṭhy,Wy,175,0.0057,ठ्य्,2,2,31,96,27,19
ठ्स,ṭhs,Ws,1,0.0,ठ्स्,2,0,1,0,0,0
ड्ग,ḍg,qg,932,0.0304,ड्ग्,2,22,365,139,339,66
ड्घ,ḍgh,qG,7,0.0002,ड्घ्,2,0,0,2,5,0
ड्च,ḍc,qc,1,0.0,ड्च्,2,0,0,1,0,0
ड्ज,ḍj,qj,31,0.001,ड्ज्,2,0,5,20,6,0
ड्ड,ḍḍ,qq,115,0.0037,ड्ड्,2,1,10,12,36,56
ड्ढ,ḍḍh,qQ,124,0.004,ड्ढ्,2,113,2,5,4,0
ड्द,ḍd,qd,64,0.0021,ड्द्,2,1,5,30,19,9
ड्ध,ḍdh,qD,32,0.001,ड्ध्,2,2,11,10,9,0
ड्ब,ḍb,qb,35,0.0011,ड्ब्,2,9,0,4,18,4
ड्भ,ḍbh,qB,412,0.0134,ड्भ्,2,107,107,74,93,31
ड्म,ḍm,qm,36,0.0012,ड्म्,2,0,5,19,10,2
ड्य,ḍy,qy,994,0.0324,ड्य्,2,131,253,303,216,91
ड्र,ḍr,qr,141,0.0046,ड्र्,2,18,32,36,43,12
ड्ल,ḍl,ql,20,0.0007,ड्ल्,2,0,1,3,13,3
ड्व,ḍv,qv,644,0.021,ड्व्,2,251,102,146,104,41
ढ्य,ḍhy,Qy,700,0.0228,ढ्य्,2,33,132,193,277,65
ढ्र,ḍhr,Qr,152,0.005,ढ्र्,2,14,12,85,26,15
ढ्व,ḍhv,Qv,84,0.0027,ढ्व्,2,53,6,18,5,2
ण्क,ṇk,Rk,6,0.0002,ण्क्,2,0,5,1,0,0
ण्च,ṇc,Rc,1,0.0,ण्च्,2,0,0,1,0,0
ण्ट,ṇṭ,Rw,1275,0.0415,ण्ट्,2,35,265,368,513,94
ण्ठ,ṇṭh,RW,1967,0.0641,ण्ठ्,2,66,307,739,648,207
ण्ड,ṇḍ,Rq,26854,0.8751,ण्ड्,2,1646,9746,6206,6431,2817
ण्ढ,ṇḍh,RQ,156,0.0051,ण्ढ्,2,11,27,61,36,21
ण्ण,ṇṇ,RR,918,0.0299,ण्ण्,2,167,293,282,134,42
ण्द,ṇd,Rd,2,0.0001,ण्द्,2,0,1,1,0,0
ण्न,ṇn,Rn,15,0.0005,ण्न्,2,1,6,3,5,0
ण्म,ṇm,Rm,868,0.0283,ण्म्,2,146,126,279,236,81
ण्य,ṇy,Ry,13630,0.4441,ण्य्,2,3935,3975,3033,1688,997
ण्ल,ṇl,Rl,1,0.0,ण्ल्,2,0,1,0,0,0
ण्व,ṇv,Rv,1693,0.0552,ण्व्,2,871,345,218,177,81
त्क,tk,tk,7746,0.2524,त्क्,2,431,1982,2026,2646,659
त्ख,tkh,tK,361,0.0118,त्ख्,2,60,16,53,199,33
त्ग,tg,tg,2,0.0001,त्ग्,2,0,0,0,2,0
त्च,tc,tc,3,0.0001,त्च्,2,0,0,0,2,1
त्ज,tj,tj,1,0.0,त्ज्,2,0,1,0,0,0
त्ढ,tḍh,tQ,1,0.0,त्ढ्,2,0,1,0,0,0
त्त,tt,tt,55873,1.8207,त्त्,2,9530,15443,14382,12110,4392
त्थ,tth,tT,5536,0.1804,त्थ्,2,862,1361,1289,1626,398
त्न,tn,tn,7724,0.2517,त्न्,2,1955,1810,1796,1526,631
त्प,tp,tp,11231,0.366,त्प्,2,683,2424,3645,3441,1029
त्फ,tph,tP,586,0.0191,त्फ्,2,3,67,178,200,138
त्भ,tbh,tB,3,0.0001,त्भ्,2,1,1,0,1,0
त्म,tm,tm,23098,0.7527,त्म्,2,3012,9895,5122,4151,912
त्य,ty,ty,89159,2.9053,त्य्,2,27281,23725,17466,15244,5423
त्र,tr,tr,122734,3.9994,त्र्,2,27764,35382,27051,23027,9479
त्ल,tl,tl,1,0.0,त्ल्,2,0,0,1,0,0
त्व,tv,tv,74883,2.4401,त्व्,2,19012,22161,15001,13171,5513
त्श,tś,tS,12,0.0004,त्श्,2,0,4,2,4,2
त्ष,tṣ,tz,86,0.0028,त्ष्,2,10,4,12,48,12
त्स,ts,ts,18217,0.5936,त्स्,2,4192,3987,4097,4805,1135
थ्छ,thch,TC,1,0.0,थ्छ्,2,0,0,1,0,0
थ्न,thn,Tn,101,0.0033,थ्न्,2,64,22,9,6,0
थ्य,thy,Ty,3454,0.1126,थ्य्,2,568,884,898,911,193
थ्र,thr,Tr,2,0.0001,थ्र्,2,2,0,0,0,0
थ्व,thv,Tv,266,0.0087,थ्व्,2,33,47,65,95,26
द्ग,dg,dg,5104,0.1663,द्ग्,2,1070,871,1289,1457,415
द्घ,dgh,dG,409,0.0133,द्घ्,2,5,65,140,164,35
द्ड,dḍ,dq,1,0.0,द्ड्,2,0,1,0,0,0
द्द,dd,dd,4488,0.1462,द्द्,2,358,910,1183,1554,480
द्ध,ddh,dD,41422,1.3498,द्ध्,2,4339,14972,9885,9085,3119
द्न,dn,dn,130,0.0042,द्न्,2,32,76,18,2,2
द्ब,db,db,1381,0.045,द्ब्,2,60,244,403,559,115
द्भ,dbh,dB,8686,0.283,द्भ्,2,1062,2129,2372,2420,700
द्म,dm,dm,3277,0.1068,द्म्,2,325,800,1023,795,334
द्य,dy,dy,42231,1.3761,द्य्,2,9598,12503,9719,7905,2494
द्र,dr,dr,36444,1.1876,द्र्,2,5035,11825,7978,8822,2780
द्व,dv,dv,41420,1.3497,द्व्,2,8848,9824,10372,9047,3325
ध्न,dhn,Dn,1241,0.0404,ध्न्,2,710,129,207,122,73
ध्म,dhm,Dm,1638,0.0534,ध्म्,2,444,140,269,626,159
ध्य,dhy,Dy,25647,0.8357,ध्य्,2,5533,7140,5965,4845,2162
ध्र,dhr,Dr,3946,0.1286,ध्र्,2,1645,863,703,530,205
ध्व,dhv,Dv,8546,0.2785,ध्व्,2,3362,2247,1370,1126,439
न्क,nk,nk,504,0.0164,न्क्,2,22,17,209,208,48
न्ख,nkh,nK,11,0.0004,न्ख्,2,0,0,5,5,1
न्ग,ng,ng,187,0.0061,न्ग्,2,19,9,69,77,13
न्घ,ngh,nG,22,0.0007,न्घ्,2,0,0,7,14,1
न्ङ,nṅ,nN,1,0.0,न्ङ्,2,0,1,0,0,0
न्च,nc,nc,3,0.0001,न्च्,2,3,0,0,0,0
न्ज,nj,nj,18,0.0006,न्ज्,2,12,1,0,5,0
न्झ,njh,nJ,60,0.002,न्झ्,2,0,12,13,26,9
न्ट,nṭ,nw,2,0.0001,न्ट्,2,0,0,1,1,0
न्ड,nḍ,nq,1,0.0,न्ड्,2,0,0,1,0,0
न्त,nt,nt,109857,3.5798,न्त्,2,30390,33576,23376,15920,6573
न्थ,nth,nT,2542,0.0828,न्थ्,2,831,410,630,508,162
न्द,nd,nd,23321,0.7599,न्द्,2,4905,5254,5732,5381,2048
न्ध,ndh,nD,21161,0.6895,न्ध्,2,2595,5554,5144,6100,1765
न्न,nn,nn,33650,1.0965,न्न्,2,7854,10655,7706,5630,1801
न्प,np,np,587,0.0191,न्प्,2,51,11,230,227,68
न्फ,nph,nP,10,0.0003,न्फ्,2,0,0,4,4,2
न्ब,nb,nb,108,0.0035,न्ब्,2,6,2,36,53,11
न्भ,nbh,nB,286,0.0093,न्भ्,2,30,11,99,117,29
न्म,nm,nm,14371,0.4683,न्म्,2,961,4487,3611,4149,1163
न्य,ny,ny,47210,1.5384,न्य्,2,8721,16061,11137,8617,2666
न्र,nr,nr,161,0.0052,न्र्,2,5,5,34,98,19
न्ल,nl,nl,8,0.0003,न्ल्,2,0,2,1,5,0
न्व,nv,nv,13023,0.4244,न्व्,2,4978,3009,2516,1845,672
न्श,nś,nS,13,0.0004,न्श्,2,0,5,2,6,0
न्ष,nṣ,nz,7,0.0002,न्ष्,2,1,0,2,4,0
न्स,ns,ns,895,0.0292,न्स्,2,14,31,324,434,92
न्ह,nh,nh,155,0.0051,न्ह्,2,20,6,40,76,13
प्क,pk,pk,6,0.0002,प्क्,2,6,0,0,0,0
प्च,pc,pc,6,0.0002,प्च्,2,1,2,2,0,1
प्छ,pch,pC,37,0.0012,प्छ्,2,35,0,0,1,1
प्ठ,pṭh,pW,1,0.0,प्ठ्,2,0,1,0,0,0
प्ण,pṇ,pR,11,0.0004,प्ण्,2,11,0,0,0,0
प्त,pt,pt,23309,0.7595,प्त्,2,3539,6961,5514,5471,1821
प्थ,pth,pT,6,0.0002,प्थ्,2,5,1,0,0,0
प्न,pn,pn,4645,0.1514,प्न्,2,932,1448,1119,712,432
प्प,pp,pp,920,0.03,प्प्,2,68,129,403,250,70
प्फ,pph,pP,16,0.0005,प्फ्,2,0,1,13,0,2
प्म,pm,pm,933,0.0304,प्म्,2,746,104,54,16,13
प्य,py,py,18467,0.6018,प्य्,2,2863,5737,4554,3968,1337
प्र,pr,pr,187951,6.1245,प्र्,2,48656,58528,41720,28277,10724
प्ल,pl,pl,2868,0.0935,प्ल्,2,462,1069,690,459,188
प्व,pv,pv,34,0.0011,प्व्,2,27,3,4,0,0
प्श,pś,pS,40,0.0013,प्श्,2,37,1,2,0,0
प्स,ps,ps,3205,0.1044,प्स्,2,1000,1143,586,307,169
फ्त,pht,Pt,1,0.0,फ्त्,2,0,0,0,1,0
फ्र,phr,Pr,4,0.0001,फ्र्,2,0,0,0,4,0
ब्ग,bg,bg,2,0.0001,ब्ग्,2,0,1,0,1,0
ब्घ,bgh,bG,1,0.0,ब्घ्,2,1,0,0,0,0
ब्ज,bj,bj,546,0.0178,ब्ज्,2,71,81,130,185,79
ब्द,bd,bd,4451,0.145,ब्द्,2,186,1219,1448,1206,386
ब्ध,bdh,bD,3735,0.1217,ब्ध्,2,391,1267,1107,812,153
ब्न,bn,bn,1,0.0,ब्न्,2,1,0,0,0,0
ब्ब,bb,bb,29,0.0009,ब्ब्,2,1,4,3,14,7
ब्भ,bbh,bB,46,0.0015,ब्भ्,2,27,11,4,4,0
ब्य,by,by,114,0.0037,ब्य्,2,2,54,37,21,0
ब्र,br,br,32584,1.0618,ब्र्,2,10486,11298,5631,3394,1775
ब्ल,bl,bl,17,0.0006,ब्ल्,2,11,1,2,1,2
ब्व,bv,bv,15,0.0005,ब्व्,2,8,2,4,0,1
भ्ज,bhj,Bj,1,0.0,भ्ज्,2,1,0,0,0,0
भ्ण,bhṇ,BR,96,0.0031,भ्ण्,2,94,0,2,0,0
भ्न,bhn,Bn,118,0.0038,भ्न्,2,108,2,2,3,3
भ्म,bhm,Bm,4,0.0001,भ्म्,2,3,1,0,0,0
भ्य,bhy,By,30623,0.9979,भ्य्,2,12505,8456,5249,3160,1247
भ्र,bhr,Br,11095,0.3615,भ्र्,2,1886,3536,2070,2707,896
भ्ल,bhl,Bl,3,0.0001,भ्ल्,2,2,1,0,0,0
भ्व,bhv,Bv,129,0.0042,भ्व्,2,117,3,3,3,3
म्क,mk,mk,1,0.0,म्क्,2,0,0,0,1,0
म्च,mc,mc,1,0.0,म्च्,2,0,1,0,0,0
म्ड,mḍ,mq,1,0.0,म्ड्,2,0,0,1,0,0
म्ण,mṇ,mR,376,0.0123,म्ण्,2,205,45,50,36,40
म्त,mt,mt,2,0.0001,म्त्,2,0,0,0,2,0
म्न,mn,mn,4536,0.1478,म्न्,2,1383,1077,801,966,309
म्प,mp,mp,5659,0.1844,म्प्,2,694,1954,1353,1201,456
म्फ,mph,mP,16,0.0005,म्फ्,2,0,0,6,7,2
म्ब,mb,mb,11081,0.3611,म्ब्,2,936,2322,3813,3171,836
म्भ,mbh,mB,10063,0.3279,म्भ्,2,1396,2301,2955,2518,892
म्म,mm,mm,230,0.0075,म्म्,2,49,32,45,69,35
म्य,my,my,16218,0.5285,म्य्,2,2621,6101,3923,2433,1139
म्र,mr,mr,3502,0.1141,म्र्,2,548,471,650,1423,410
म्ल,ml,ml,2934,0.0956,म्ल्,2,69,326,796,1465,278
म्व,mv,mv,47,0.0015,म्व्,2,32,9,2,2,2
म्श,mś,mS,3,0.0001,म्श्,2,1,1,1,0,0
म्स,ms,ms,2,0.0001,म्स्,2,0,1,1,0,0
य्ज,yj,yj,1,0.0,य्ज्,2,0,0,0,0,1
य्म,ym,ym,1,0.0,य्म्,2,1,0,0,0,0
य्य,yy,yy,2322,0.0757,य्य्,2,732,580,563,374,73
य्ल,yl,yl,2,0.0001,य्ल्,2,0,0,0,0,2
य्व,yv,yv,237,0.0077,य्व्,2,27,75,77,42,16
र्क,rk,rk,5121,0.1669,र्क्,2,749,887,1286,1462,737
र्ख,rkh,rK,206,0.0067,र्ख्,2,10,49,38,97,12
र्ग,rg,rg,13388,0.4363,र्ग्,2,2240,3568,3557,3032,987
र्घ,rgh,rG,2797,0.0911,र्घ्,2,378,958,631,649,180
र्च,rc,rc,5318,0.1733,र्च्,2,2209,961,971,730,447
र्छ,rch,rC,1013,0.033,र्छ्,2,88,266,237,314,108
र्ज,rj,rj,12251,0.3992,र्ज्,2,2080,4240,2686,2452,791
र्झ,rjh,rJ,100,0.0033,र्झ्,2,0,37,27,31,5
र्ट,rṭ,rw,6,0.0002,र्ट्,2,5,0,0,1,0
र्ड,rḍ,rq,20,0.0007,र्ड्,2,17,0,0,3,0
र्ढ,rḍh,rQ,4,0.0001,र्ढ्,2,3,0,0,1,0
र्ण,rṇ,rR,28897,0.9416,र्ण्,2,3169,8524,6258,8054,2891
र्त,rt,rt,28444,0.9269,र्त्,2,3547,10744,7152,5281,1708
र्थ,rth,rT,28864,0.9406,र्थ्,2,1518,11351,7678,4999,3302
र्द,rd,rd,11492,0.3745,र्द्,2,876,3090,2809,3718,994
र्ध,rdh,rD,12442,0.4054,र्ध्,2,3340,3358,2956,2034,754
र्न,rn,rn,2650,0.0864,र्न्,2,103,341,885,1066,254
र्प,rp,rp,8154,0.2657,र्प्,2,1605,1661,2352,1902,634
र्फ,rph,rP,7,0.0002,र्फ्,2,5,0,2,0,0
र्ब,rb,rb,2299,0.0749,र्ब्,2,174,706,724,537,157
र्भ,rbh,rB,9715,0.3166,र्भ्,2,2231,1918,2519,2319,724
र्म,rm,rm,41865,1.3642,र्म्,2,4300,18810,9482,6312,2945
र्य,ry,ry,49153,1.6017,र्य्,2,11649,14985,10768,8477,3261
र्र,rr,rr,1,0.0,र्र्,2,0,0,0,1,0
र्ल,rl,rl,1371,0.0447,र्ल्,2,31,282,420,456,169
र्व,rv,rv,78286,2.551,र्व्,2,15253,25410,18069,13659,5873
र्श,rś,rS,10876,0.3544,र्श्,2,857,4193,2724,2391,709
र्ष,rṣ,rz,19781,0.6446,र्ष्,2,2582,9605,4045,2691,857
र्स,rs,rs,13,0.0004,र्स्,2,11,0,1,1,0
र्ह,rh,rh,9813,0.3198,र्ह्,2,3230,3463,1600,1009,511
ल्क,lk,lk,1868,0.0609,ल्क्,2,132,388,693,522,132
ल्ख,lkh,lK,1,0.0,ल्ख्,2,0,0,0,0,1
ल्ग,lg,lg,910,0.0297,ल्ग्,2,142,446,125,162,35
ल्घ,lgh,lG,1,0.0,ल्घ्,2,0,1,0,0,0
ल्ङ,lṅ,lN,1,0.0,ल्ङ्,2,0,1,0,0,0
ल्ट,lṭ,lw,2,0.0001,ल्ट्,2,0,0,0,0,2
ल्त,lt,lt,3,0.0001,ल्त्,2,0,2,0,1,0
ल्थ,lth,lT,2,0.0001,ल्थ्,2,0,1,0,1,0
ल्द,ld,ld,1,0.0,ल्द्,2,1,0,0,0,0
ल्प,lp,lp,8841,0.2881,ल्प्,2,1180,2307,2973,1829,551
ल्फ,lph,lP,145,0.0047,ल्फ्,2,20,13,53,30,29
ल्ब,lb,lb,1033,0.0337,ल्ब्,2,180,230,165,325,133
ल्भ,lbh,lB,98,0.0032,ल्भ्,2,4,23,37,33,1
ल्म,lm,lm,2203,0.0718,ल्म्,2,274,564,701,498,166
ल्य,ly,ly,10081,0.3285,ल्य्,2,965,3167,2521,2731,695
ल्र,lr,lr,1,0.0,ल्र्,2,0,1,0,0,0
ल्ल,ll,ll,6116,0.1993,ल्ल्,2,481,1055,1668,2307,605
ल्व,lv,lv,2291,0.0747,ल्व्,2,203,557,493,798,237
ल्श,lś,lS,50,0.0016,ल्श्,2,47,1,0,1,1
ल्ह,lh,lh,77,0.0025,ल्ह्,2,22,0,3,39,13
व्झ,vjh,vJ,1,0.0,व्झ्,2,0,0,1,0,0
व्ण,vṇ,vR,143,0.0047,व्ण्,2,131,1,5,3,3
व्न,vn,vn,46,0.0015,व्न्,2,41,0,3,2,0
व्य,vy,vy,51222,1.6691,व्य्,2,10380,16386,12265,9280,2893
व्र,vr,vr,10928,0.3561,व्र्,2,2849,2850,2707,1869,652
व्ल,vl,vl,37,0.0012,व्ल्,2,36,1,0,0,0
व्व,vv,vv,30,0.001,व्व्,2,25,0,1,4,0
व्ह,vh,vh,1,0.0,व्ह्,2,0,0,0,0,1
