lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
ogha	oGa	6	485	198	100	58		0.653205	0.813719	0.863999			0.84404	0.68274	0.649515			
ojas	ojas	660	437	243	99	42	0.863858	0.776385	0.826779			1.032679	0.398233	0.992695			695	0
oṃ	oM	599	21	149	786	144			0.707517	0.688379	0.895311			2.701978	1.01307	0.307738		
oṣadhi	ozaDi	882	151	140	107	68	0.806953	0.750392	0.825671	0.843192	0.840046	2.984076	0.339323	0.085055	0.781386	1.948423	1057	0
oṣṭha	ozWa	22	63	156	24	9		0.635661					1.756567					
pac	pac	287	105	341	1171	157	0.896963	0.773905	0.712203	0.524859	0.867894	1.888508	2.147827	2.082658	1.463515	0.878463	401	0
pad	pad	332	150	67	54	8	0.849617	0.871479	0.835838			1.584067	0.714285	0.008441			801	0
pada	pada	834	609	1051	793	279	0.852758	0.915933	0.903587	0.754296	0.841072	0.891451	1.235693	0.103609	0.071666	0.168967	774	0
padma	padma	17	434	463	318	148		0.615259	0.639532	0.698133			0.541761	0.239225	0.33196			
padārtha	padArTa	3	9	90	58	15			0.821039					0.331111				
pakva	pakva	130	79	320	330	67	0.868724	0.73429	0.729961	0.734704	0.909474	1.156433	2.466592	0.347155	0.864843	0.79247	656	0
pakṣa	pakza	300	415	463	332	154	0.84166	0.732836	0.746747	0.769371	0.840121	0.030303	0.606345	0.177068	0.327137	0.786717	856	0
pakṣin	pakzin	46	348	157	117	37		0.660935	0.791476				0.699878	0.121495				
pala	pala	3	66	278	1015	153		0.585351	0.532998	0.56916			2.522991	2.171084	1.294486			
pallava	pallava	1	31	198	62	25			0.762269					1.372399				
palāśa	palASa	173	54	122	131	43	0.838801	0.744066	0.690914			2.117587	1.624294	0.405447			875	0
pannaga	pannaga	2	300	63	71	28		0.777268	0.894923				1.803094	0.475228				
para	para	507	3793	2368	2069	631	0.819116	0.605659	0.643359	0.702618	0.839371	2.465436	0.231226	0.108025	0.277832	2.064403	991	0
param	param	19	167	202	211	78		0.886303	0.842195	0.854451			0.722952	0.365649	0.000307			
parama	parama	417	2117	1032	571	375	0.861871	0.649114	0.676148	0.728672	0.848322	1.906056	0.588134	0.551119	0.82879	1.595592	705	0
parameśvara	parameSvara	0	14	275	195	85			0.818567	0.915299				0.193197	0.237451			
paramātman	paramAtman	0	25	120	64	18			0.844821					0.60413				
paraspara	paraspara	2	545	307	125	29		0.716804	0.788825				0.379573	0.99355				
pari	pari	1162	53	18	2	9	0.899211					4.89232					376	0
paribhū	pariBU	54	62	50	15	8	0.938937	0.864663				0.238537	0.138104				78	1
parigha	pariGa	5	198	63	12	3		0.665975					1.203632					
parigrah	parigrah	336	220	83	14	18	0.917879	0.875106				1.048804	0.957876				224	1
parigraha	parigraha	19	167	165	52	30		0.783262	0.882362				0.431062	1.363122				
parikram	parikram	69	56	20	9	1	0.922927					0.739016					188	1
parikīrtay	parikIrtay	3	104	135	140	54		0.867832	0.914965	0.87542			0.82482	0.355228	0.060994			
parimāṇa	parimARa	13	41	53	72	34			0.875258					0.744765				
paritas	paritas	8	10	63	56	15			0.87608					0.132836				
parityaj	parityaj	6	281	187	142	56		0.785553	0.890295	0.901218			0.139088	0.094386	0.092998			
parivarjay	parivarjay	8	72	65	52	9		0.871094	0.926007				0.300887	0.019167				
parivāra	parivAra	9	39	92	50	47			0.941105					0.576945				
parivāray	parivAray	11	414	62	29	6		0.858168					2.290846					
parivṛ	parivf	20	267	196	18	19		0.464137					0.002458					
parivṛt	parivft	9	129	51	19	10		0.844978					0.890358					
pariṇāma	pariRAma	0	74	91	93	6		0.872608	0.86845				0.746786	0.334125				
pariṣvaj	parizvaj	27	204	57	24	6		0.831045					1.391091					
parjanya	parjanya	191	94	46	17	3	0.813862					1.460686					1014	0
parokṣa	parokza	147	50	20	43	8	0.937025					1.993662					90	1
paruṣa	paruza	14	222	103	34	4		0.722929					0.659471					
parvan	parvan	226	461	173	69	38	0.853861	0.755844	0.799309			0.590598	0.96555	1.023343			768	0
parvata	parvata	248	901	595	125	112	0.844573	0.607452	0.783489	0.796849	0.884798	1.423341	0.150193	1.948201	1.276961	0.601908	833	0
paryanta	paryanta	34	68	134	186	82		0.829676	0.837505	0.858965			1.427071	0.775831	0.253783			
paryāya	paryAya	154	133	107	65	44	0.918733	0.783278	0.906683			0.64935	0.134629	0.416338			219	1
parāji	parAji	45	136	63	7	4		0.856921					0.661739					
parākrama	parAkrama	1	504	117	80	11		0.753692	0.829223				1.658471	0.245676				
parāyaṇa	parAyaRa	35	321	204	72	47		0.73228	0.764158				0.20556	1.199739				
parāśara	parASara	8	65	349	41	44		0.772835					2.87316					
parāṅmukha	parANmuKa	1	98	55	26	9		0.790411					0.384906					
parī	parI	300	168	70	22	21	0.908696	0.86315				1.274347	0.81459				284	1
parīkṣ	parIkz	10	173	106	50	10		0.806215	0.923779				0.258263	0.781303				
parṇa	parRa	230	106	78	79	21	0.865607	0.787061	0.748159			1.555416	0.005926	0.321139			683	0
pat	pat	356	1380	642	525	221	0.780339	0.601323	0.701537	0.745566	0.858122	1.516873	0.655579	0.012505	0.187119	1.060918	1151	0
patana	patana	8	57	70	26	12		0.85763					0.744837					
patha	paTa	69	182	115	85	15	0.895714	0.833561	0.826474			0.961424	0.21386	0.133338			417	0
pathin	paTin	582	433	173	147	42	0.831862	0.77756	0.85223			0.864498	0.875151	0.067805			923	0
pathya	paTya	19	82	109	228	38		0.777771	0.764261				0.859077	1.367467				
pathyā	paTyA	69	3	101	58	25			0.703891					0.49747				
pati	pati	1419	1542	679	691	160	0.80814	0.680832	0.680453	0.824506	0.80682	0.317918	0.734875	0.328035	0.675224	1.399982	1049	0
pativratā	pativratA	4	73	51	33	11		0.859054					0.068955					
patnī	patnI	986	301	325	144	73	0.841254	0.748275	0.757873	0.905567	0.861766	2.14967	0.559121	0.87161	0.45529	2.00687	859	0
pattra	pattra	46	320	491	1036	297		0.598874	0.613246	0.584539			1.066095	1.37999	0.367099			
patākā	patAkA	2	198	54	35	19		0.765577					1.426025					
paura	pOra	12	286	110	60	5		0.656558	0.832377				0.930067	0.571708				
pauruṣa	pOruza	5	211	78	64	12		0.822672	0.876551				0.987253	0.017359				
pautra	pOtra	66	195	81	26	35	0.880364	0.801461				1.12509	0.819036				545	0
pavana	pavana	8	136	251	135	45		0.760051	0.754748				1.332525	0.591967				
pavitra	pavitra	676	137	131	76	54	0.871687	0.758077	0.81942	0.876696	0.889424	2.740693	0.383835	0.482735	0.94235	1.897243	630	0
payas	payas	846	233	620	290	84	0.746234	0.514576	0.661144	0.699666	0.80043	2.298174	1.860383	0.793454	0.352202	1.583447	1225	0
pañcaka	paYcaka	4	27	66	152	23			0.829046					1.506294				
pañcama	paYcama	284	144	204	168	294	0.796903	0.742534	0.79536	0.855433	0.879675	1.417668	0.950945	0.022653	2.242745	1.798674	1101	0
pañcan	paYcan	1285	1307	1059	871	336	0.794234	0.625516	0.668004	0.725376	0.782726	0.413355	0.144888	0.020803	0.061179	0.186486	1110	0
pañcāśat	paYcASat	32	69	65	56	52		0.823003	0.812964	0.864417			0.362288	0.087748	1.328475			
paś	paS	1166	2070	796	527	173	0.822476	0.718269	0.776558	0.838646	0.867174	0.390217	0.930346	0.292205	0.171641	1.003975	972	0
paścima	paScima	49	137	196	116	90		0.804936	0.839396	0.848273			0.965122	0.453968	1.069262			
paścāt	paScAt	755	291	307	538	200	0.861177	0.834071	0.820964	0.769182	0.776037	1.813304	0.525664	1.112128	0.007784	0.167728	711	0
paśu	paSu	4150	351	373	269	154	0.803032	0.66621	0.709392	0.841571	0.785166	4.001415	0.536149	0.168809	0.630714	3.00336	1075	0
paṅka	paNka	0	85	100	58	15		0.782553	0.840928				0.68291	0.483114				
paṇa	paRa	1	105	69	33	8		0.781345					0.157277					
paṇya	paRya	22	90	105	13	0		0.761252					0.670837					
paṇḍita	paRqita	6	209	84	89	19		0.787653	0.826397				0.866597	0.386177				
paṭa	pawa	1	27	127	114	34			0.802202					0.146966				
paṭala	pawala	2	23	83	52	32			0.879185					0.371839				
paṭh	paW	14	73	217	192	84		0.787964	0.791235	0.840296			2.020171	0.126172	0.242745			
paṭu	pawu	0	15	120	109	33			0.813165					0.164055				
phala	Pala	214	2118	1866	1430	762	0.761024	0.538591	0.549156	0.632852	0.846073	2.869174	0.265691	0.081173	0.527238	3.580929	1193	0
phena	Pena	30	72	110	47	16		0.811554					1.059879					
picchila	picCila	0	26	100	50	11			0.674627					0.697239				
pidhā	piDA	8	40	61	61	22			0.893836					0.302761				
pippalī	pippalI	9	93	286	160	38		0.427168	0.59838				2.069157	0.535182				
pipāsā	pipAsA	22	129	90	37	5		0.673345					0.07093					
pitrya	pitrya	84	84	61	15	7	0.905029	0.789525				0.437846	0.013136				317	0
pitta	pitta	6	396	1349	1153	193		0.465825	0.405898	0.48089			2.216762	0.076263	1.14333			
pitāmaha	pitAmaha	122	832	332	139	74	0.889209	0.738079	0.815082	0.865838	0.891421	2.331856	0.876956	0.953337	0.525902	1.027465	471	0
pitṛ	pitf	2378	2758	1637	879	505	0.722797	0.560266	0.616015	0.696667	0.742082	0.223972	0.304124	0.594358	0.63581	0.486644	1244	0
piśāca	piSAca	76	119	96	74	23	0.844136	0.796008	0.791503			0.209044	0.138589	0.072748			840	0
piṇḍa	piRqa	199	141	297	325	126	0.832039	0.724416	0.75255	0.75089	0.843855	0.934919	1.523212	0.432738	0.068374	1.089404	922	0
piṣ	piz	92	44	272	584	73			0.6359	0.589291	0.883857			1.405123	1.56461	1.415012		
piṣṭi	pizwi	0	0	0	122	51				0.637882					0.177078			
plu	plu	31	105	73	74	16		0.834579	0.877188				0.075977	0.32239				
plīhan	plIhan	13	30	121	90	42			0.557601					0.124249				
pra	pra	2371	27	7	1	54					0.781835					3.707643		
prabhava	praBava	5	233	148	68	10		0.806174	0.85355				0.206288	0.81923				
prabhu	praBu	26	1001	812	375	119		0.667692	0.752351	0.81534			0.146554	0.811828	0.220539			
prabhā	praBA	7	643	381	299	100		0.605411	0.662516	0.732096			0.306583	0.046885	0.144755			
prabhāta	praBAta	4	67	68	67	38		0.896988	0.871005				0.469818	0.281387				
prabhāva	praBAva	0	314	205	327	96		0.785374	0.813371	0.898072			0.166696	0.976428	0.332794			
prabhū	praBU	58	143	101	58	13	0.943688	0.870252	0.88013			0.864044	0.053216	0.49747			55	1
prabhūta	praBUta	22	73	70	15	21		0.741482					0.387903					
prabhṛti	praBfti	305	264	317	182	112	0.907331	0.819845	0.858158	0.914386	0.879618	0.646117	0.712389	0.497783	0.73495	0.303439	295	1
prabrū	prabrU	98	109	31	5	1	0.907239					0.284372					297	1
pracar	pracar	322	64	9	5	10	0.909251					2.768763					280	1
pracch	pracC	358	884	710	774	125	0.824372	0.626595	0.674777	0.73831	0.850425	0.866241	0.132217	0.427275	1.195015	0.230718	965	0
pracchad	pracCad	9	70	53	33	3		0.869981					0.047082					
pracchāday	pracCAday	54	84	28	11	12	0.935055					0.199584					103	1
pracoday	pracoday	39	88	70	16	7		0.867275					0.118296					
prada	prada	20	125	255	445	171		0.755481	0.678844	0.698674			1.477013	1.106069	0.055581			
pradakṣiṇa	pradakziRa	36	181	80	37	34		0.865444					0.729473					
pradeśa	pradeSa	16	62	188	45	27		0.855994					2.048837					
pradhāna	praDAna	54	228	483	207	41	0.909315	0.802368	0.777146			1.640156	1.531434	0.919632			278	1
pradiś	pradiS	144	94	36	27	6	0.922321					1.053182					191	1
pradyumna	pradyumna	0	72	66	31	14		0.786748					0.322913					
pradā	pradA	198	569	270	229	82	0.851076	0.737795	0.795157	0.859824	0.895659	1.085082	0.627025	0.065149	0.046262	0.476944	786	0
pradāna	pradAna	88	188	147	64	35	0.879848	0.824474	0.800773			0.657311	0.093528	0.896911			551	0
pradāpay	pradApay	13	9	60	112	23			0.900586					1.203225				
pradīpa	pradIpa	0	69	71	28	9		0.853174					0.489667					
pragrah	pragrah	31	272	56	17	22		0.88254					1.831664					
praharaṇa	praharaRa	8	135	56	8	6		0.858049					0.821016					
prahas	prahas	1	351	79	35	10		0.847012					1.703102					
prahi	prahi	99	157	86	88	4	0.925991	0.852855	0.872674			0.227418	0.419912	0.335928			162	1
prahāra	prahAra	0	101	88	45	13		0.810272					0.249664					
prahṛ	prahf	264	202	76	28	4	0.901074	0.852274				0.824029	0.96184				358	0
prahṛṣ	prahfz	1	350	58	54	6		0.864386	0.870759				2.144786	0.199667				
prajan	prajan	489	122	65	152	54	0.876577	0.919976	0.822864	0.855452	0.930713	2.440799	0.459925	1.528321	0.05765	1.430054	579	0
prajñā	prajYA	333	513	134	76	40	0.901495	0.740784	0.863576			0.185591	1.488282	0.515401			351	0
prajā	prajA	2504	957	532	271	115	0.804796	0.705614	0.743561	0.822902	0.773317	1.82549	0.398648	0.670372	0.198731	2.69578	1068	0
prajāpati	prajApati	2179	334	309	112	73	0.84397	0.734788	0.76293	0.851939	0.827339	3.143592	0.336203	1.161347	0.81786	3.150877	842	0
prakalpay	prakalpay	6	40	72	91	18			0.788057					0.640631				
prakaraṇa	prakaraRa	7	14	51	62	7			0.863423					0.584532				
prakhyā	praKyA	6	153	78	24	12		0.835757					0.523541					
prakopa	prakopa	1	53	71	39	7		0.746758					0.870271					
prakram	prakram	70	90	87	27	17	0.944026	0.839909				0.075276	0.399535				54	1
prakup	prakup	3	70	72	14	5		0.760673					0.489086					
prakāra	prakAra	6	58	136	200	105		0.914615	0.86281	0.773968			1.677926	0.859154	0.505779			
prakāś	prakAS	6	121	67	64	14		0.815652	0.852854				0.40433	0.236672				
prakāśa	prakASa	34	218	194	262	46		0.759303	0.829177				0.280173	0.736271				
prakāśay	prakASay	2	42	62	90	37			0.883066					0.840418				
prakīrtay	prakIrtay	2	84	218	168	78		0.888767	0.852667	0.80767			1.824311	0.073106	0.328475			
prakṛ	prakf	20	177	139	162	68		0.910773	0.905053	0.880535			0.09978	0.52367	0.183003			
prakṛti	prakfti	47	616	541	323	50		0.727587	0.689004	0.854877			0.261143	0.441334	1.256144			
prakṣip	prakzip	12	91	83	127	55		0.783488	0.819757	0.753948			0.315689	0.916406	0.228065			
prakṣālay	prakzAlay	229	29	103	65	34			0.820078					0.361372				
pralaya	pralaya	2	80	90	91	21		0.806857	0.830216				0.618369	0.318702				
pralāpa	pralApa	1	58	65	29	3		0.771614					0.612831					
pramad	pramad	51	117	44	27	2	0.908232					0.760093					286	1
pramadā	pramadA	0	93	78	32	8		0.865987					0.194688					
prameha	prameha	0	38	56	80	36			0.695332					0.817334				
pramuc	pramuc	108	150	73	21	63	0.871609	0.848097			0.943319	0.036085	0.59055			0.971142	631	0
pramukha	pramuKa	1	221	165	49	25		0.778048					0.026864					
pramā	pramA	26	236	88	106	64		0.863065	0.890852	0.848782			0.974767	0.57125	0.70747			
pramāda	pramAda	23	88	64	28	17		0.875791					0.010987					
pramāṇa	pramARa	39	377	599	330	132		0.772454	0.763385	0.760247			1.116436	0.557329	0.113462			
prapad	prapad	267	260	176	92	51	0.852857	0.814893	0.830474	0.912638	0.832429	0.476174	0.114492	0.633109	0.584253	0.639521	773	0
prasad	prasad	20	388	337	154	89		0.805071	0.808768	0.832567			0.245136	0.827057	0.644337			
prasah	prasah	6	124	58	23	0		0.858276					0.647771					
prasava	prasava	305	69	94	37	31	0.931129	0.868885				2.581987	0.894509				126	1
prasañj	prasaYj	14	113	68	47	4		0.835487					0.284272					
prasaṅga	prasaNga	3	67	119	97	28		0.82592	0.855577				1.277173	0.007856				
prasidh	prasiD	56	28	105	186	75			0.900865	0.698559	0.967043			1.127674	0.12505	2.170213		
prastha	prasTa	13	76	183	53	26		0.740174	0.772796				1.716217	1.485018				
prasthā	prasTA	93	236	115	93	18	0.95688	0.842535	0.851589			0.905638	0.588709	0.00357			15	1
prasāda	prasAda	11	579	493	211	171		0.741087	0.798176	0.838192			0.216469	0.921584	1.132143			
prasāday	prasAday	6	183	62	50	15		0.81606	0.887135				1.113059	0.007579				
prasū	prasU	348	199	135	54	42	0.930864	0.864219	0.885612			1.244165	0.111365	1.019167			131	1
prasṛ	prasf	29	56	61	61	9		0.896898	0.865505				0.571827	0.302761				
prath	praT	139	107	63	46	10	0.942401	0.862641				0.81532	0.315743				60	1
prathama	praTama	1545	219	423	376	153	0.876256	0.813852	0.80711	0.85126	0.811192	3.25645	1.398171	0.132836	0.138189	1.587254	583	0
prathamam	praTamam	103	56	53	77	55	0.95226	0.876175	0.900556	0.882129	0.966295	1.316992	0.36901	0.841627	0.949963	0.843608	26	1
prati	prati	878	1014	338	253	99	0.888895	0.77622	0.809001	0.903175	0.883529	0.230081	1.136518	0.115125	0.081753	1.399971	475	0
pratigrah	pratigrah	452	504	122	21	27	0.884047	0.776391				0.280745	1.598098				514	0
pratigraha	pratigraha	30	82	69	26	10		0.782175					0.199417					
pratihan	pratihan	17	117	72	36	2		0.860842					0.251995					
pratijñā	pratijYA	23	408	136	94	20		0.836404	0.875078				1.136518	0.230113				
pratimā	pratimA	59	116	70	28	24	0.924628	0.849541				0.537492	0.280254				175	1
pratipad	pratipad	395	389	229	171	34	0.903628	0.794669	0.812997			0.459929	0.315978	0.11859			332	0
pratipāday	pratipAday	17	67	74	69	2		0.850798	0.902979				0.591808	0.201832				
prativac	prativac	37	404	61	37	18		0.790621					2.27903					
pratiśru	pratiSru	33	69	61	13	8		0.872502					0.270657					
pratiṣedha	pratizeDa	17	70	114	12	1		0.800936					1.152051					
pratiṣidh	pratiziD	32	51	66	12	3		0.899715					0.820413					
pratiṣṭhā	pratizWA	1595	344	226	101	85	0.878801	0.74342	0.818355	0.888279	0.870696	2.650922	0.157641	0.859207	1.186569	2.481201	561	0
pratiṣṭhāpay	pratizWApay	326	119	90	10	21	0.915464	0.713849				1.891757	0.04548				243	1
pratyakṣa	pratyakza	148	241	314	86	65	0.851497	0.733153	0.726283	0.848878	0.88491	0.26559	0.830176	1.565595	1.031493	0.561664	783	0
pratyaya	pratyaya	16	234	354	182	38		0.649301	0.778597				1.045685	0.65705				
pratyeka	pratyeka	9	30	55	118	23			0.923637					1.404044				
pratyekabuddha	pratyekabudDa	0	70	56	0	21		0.722336					0.126516					
pratāpavat	pratApavat	0	314	72	11	6		0.782583					1.676251					
pratī	pratI	68	130	93	59	73	0.942464	0.891332	0.868501	0.922155	0.928788	0.497059	0.034765	0.353755	1.742572	1.851111	59	1
pratīkṣ	pratIkz	58	97	31	32	13	0.938906					0.304086					79	1
pravac	pravac	150	690	879	1148	375	0.851401	0.677683	0.722962	0.694327	0.926423	1.763788	0.797711	0.687948	0.17877	3.070677	784	0
pravara	pravara	50	298	82	62	21	0.910638	0.870877	0.90226			2.137466	1.413172	0.100595			271	1
pravartay	pravartay	39	204	112	23	21		0.891636					0.416626					
praveśa	praveSa	3	52	107	76	24		0.85238	0.875059				1.489472	0.190779				
praveśay	praveSay	41	87	99	55	19		0.833021	0.892424				0.634857	0.545236				
praviś	praviS	483	1122	635	463	145	0.840424	0.684027	0.726391	0.829975	0.891118	0.778131	0.3728	0.152984	0.239569	0.012779	862	0
pravraj	pravraj	25	83	95	11	8		0.734					0.64326					
pravāla	pravAla	1	42	73	91	29			0.812952					0.620731				
pravṛdh	pravfD	14	104	84	28	3		0.875523					0.140322					
pravṛt	pravft	53	642	645	286	37	0.892893	0.723793	0.78943			3.160663	0.45517	0.870523			449	0
pravṛtti	pravftti	8	205	227	109	22		0.766457	0.786201				0.595513	0.755603				
prayam	prayam	697	446	231	108	81	0.822599	0.744531	0.829553	0.828857	0.885869	1.081961	0.500707	0.794101	1.020353	1.356416	970	0
prayatna	prayatna	1	170	293	312	113		0.804733	0.845434	0.809881			1.23381	0.393406	0.029833			
prayoga	prayoga	40	188	195	269	79		0.762274	0.821772	0.820688			0.501186	0.766893	0.332292			
prayojana	prayojana	12	82	142	87	14		0.840114	0.805155				1.240639	0.404043				
prayojay	prayojay	2	81	165	53	22		0.827268	0.83722				1.474917	1.335641				
prayuj	prayuj	322	298	405	152	71	0.872834	0.796962	0.814806	0.806307	0.907125	0.549594	0.891054	1.11109	0.33721	0.432421	616	0
prayā	prayA	77	713	269	316	62	0.885145	0.766374	0.786594	0.878155	0.916768	2.773126	0.957852	0.535079	0.914194	1.436159	505	0
praśam	praSam	5	163	97	51	7		0.801565	0.890793				0.300371	0.624727				
praśamana	praSamana	0	91	59	70	12		0.675085	0.672602				0.176707	0.549401				
praśaṃs	praSaMs	115	430	246	213	67	0.86289	0.805418	0.825637	0.877573	0.92421	1.464857	0.357234	0.094956	0.23323	0.969348	700	0
praśna	praSna	37	134	67	63	30		0.835481	0.841898				0.551556	0.213952				
praṇam	praRam	11	240	395	248	91		0.713276	0.724234	0.775124			1.167263	0.368752	0.011012			
praṇava	praRava	87	13	134	68	43			0.723379					0.675865				
praṇaya	praRaya	0	67	66	59	15		0.88116	0.866273				0.426749	0.14101				
praṇaś	praRaS	12	154	85	17	37		0.881333					0.408951					
praṇipat	praRipat	1	60	139	21	18		0.768762					1.660495					
praṇud	praRud	93	62	21	15	23	0.913538					1.022809					254	1
praṇī	praRI	330	113	64	25	23	0.903445	0.849607				1.983989	0.371735				334	0
pre	pre	437	247	106	14	14	0.866878	0.697651				1.260968	0.772002				669	0
prekṣ	prekz	73	378	96	16	13	0.938166	0.876278				1.934572	1.528836				82	1
preman	preman	10	42	73	89	41			0.836776					0.58867				
preray	preray	13	21	67	84	10			0.86923					0.628989				
preta	preta	20	119	157	51	28		0.779716	0.825825				0.848247	1.319435				
preṣay	prezay	4	316	84	50	22		0.862762	0.90176				1.463019	0.4457				
priya	priya	976	1766	762	963	193	0.847449	0.667101	0.723717	0.812354	0.84102	0.417686	0.764178	0.640506	0.883545	0.589531	811	0
priyā	priyA	5	33	70	77	8			0.902347					0.440264				
prādurbhū	prAdurBU	20	153	107	19	19		0.814547					0.067477					
prāh	prAh	105	381	399	260	75	0.923434	0.743906	0.771866	0.870819	0.901663	1.421556	0.515042	0.315116	0.358159	1.263322	182	1
prājña	prAjYa	4	573	104	72	34		0.835698	0.83375				2.013507	0.227754				
prāk	prAk	200	102	183	149	45	0.865528	0.844322	0.860416			1.409277	1.291719	0.00623			684	0
prākāra	prAkAra	1	93	65	27	17		0.783713					0.068347					
prākṛta	prAkfta	19	101	89	47	28		0.887381					0.265966					
prāp	prAp	220	2818	1337	1144	502	0.875862	0.619192	0.705718	0.755854	0.908727	3.24125	0.627228	0.077848	0.247062	2.938933	585	0
prāpti	prApti	3	89	133	118	18		0.83704	0.812071				1.027993	0.130122				
prārthay	prArTay	7	174	131	59	53		0.866304	0.907057	0.936048			0.038924	0.848019	1.280667			
prāsāda	prAsAda	3	153	142	52	15		0.704693	0.844296				0.340804	1.146547				
prātar	prAtar	584	94	190	313	72	0.809009	0.713232	0.784769	0.808657	0.743369	3.073082	1.463711	1.022924	0.684704	1.27115	1043	0
prāya	prAya	7	109	165	96	12		0.809099	0.832445				1.046582	0.478599				
prāyas	prAyas	3	52	110	107	23		0.823358	0.834134				1.529364	0.262868				
prāyaścitta	prAyaScitta	145	69	88	38	60	0.846287	0.842353			0.889707	1.509231	0.799351			0.475731	824	0
prāñc	prAYc	1376	183	235	149	72	0.750224	0.745432	0.79028	0.813517	0.781432	3.348411	0.809261	0.354588	0.386146	2.507591	1218	0
prāñjali	prAYjali	5	248	51	24	7		0.792143					1.833327					
prāś	prAS	466	59	35	11	26	0.874968					3.419389					592	0
prāṇa	prARa	3247	931	636	661	221	0.822543	0.648886	0.701728	0.734435	0.806395	2.2401	0.10131	0.358384	0.145214	2.12824	971	0
prāṇin	prARin	20	262	163	111	57		0.799137	0.772611	0.879897			0.236251	0.251551	0.473864			
prāṇāyāma	prARAyAma	53	25	113	58	59			0.759725	0.811172	0.863082			0.659437	1.460052	1.903472		
prī	prI	501	780	294	130	68	0.893908	0.704159	0.850705	0.896301	0.903782	0.200817	0.959214	0.874544	0.500485	1.132455	439	0
prīti	prIti	13	670	394	216	77		0.762834	0.781243	0.859744			0.317521	0.564403	0.052711			
pulastya	pulastya	0	59	60	16	13		0.693803					0.472692					
punar	punar	1553	4362	2685	2633	1259	0.824632	0.680306	0.747219	0.748571	0.84172	1.052086	0.251623	0.274546	0.370961	1.44597	962	0
punarnavā	punarnavA	0	15	57	138	23			0.703694					1.578395				
pura	pura	30	671	475	372	115		0.689552	0.731715	0.783844			0.049941	0.049864	0.258279			
puras	puras	237	34	161	114	17			0.873575					0.195266				
puraskṛ	puraskf	10	343	75	30	15		0.788633					1.744802					
purastāt	purastAt	1180	167	117	21	44	0.866224	0.799624				3.258713	0.064895				679	0
puratas	puratas	1	69	54	59	27		0.889968	0.884275				0.094807	0.430516				
puraḥsara	puraHsara	5	76	78	47	7		0.910167					0.485919					
purogama	purogama	1	185	78	14	29		0.778138					0.797535					
purohita	purohita	124	234	48	44	13	0.881116					0.478322					538	0
puruṣa	puruza	1466	2491	1519	713	370	0.832196	0.66932	0.692976	0.789298	0.887281	0.326994	0.265159	0.788387	0.489013	0.237539	921	0
puruṣottama	puruzottama	1	97	147	38	21		0.842429					1.048204					
purā	purA	448	1111	480	469	222	0.869017	0.700563	0.74859	0.758099	0.903503	0.872442	0.762308	0.269314	0.356362	0.73581	650	0
purātana	purAtana	2	189	53	20	23		0.84831					1.385878					
purāṇa	purARa	115	263	358	95	112	0.818187	0.721603	0.742356	0.810765	0.85188	0.755583	0.893341	1.611199	1.672889	1.710614	1001	0
purī	purI	0	288	236	146	25		0.693227	0.778989				0.161162	0.390058				
purīṣa	purIza	193	136	195	78	18	0.825257	0.624822	0.762775			0.94284	0.968312	1.019167			956	0
putra	putra	1166	6088	2639	1264	591	0.750557	0.545493	0.533134	0.718786	0.781613	1.946554	0.757533	0.759234	0.338624	0.768411	1217	0
putraka	putraka	8	156	75	56	15		0.859239	0.897765				0.608139	0.118703				
putrī	putrI	3	139	76	135	13		0.884062	0.871016				0.422569	1.131649				
puṃgava	puMgava	0	407	203	39	54		0.848878					0.555105					
puṃs	puMs	276	311	416	433	115	0.873396	0.789903	0.765467	0.80681	0.887175	0.2656	0.868113	0.360544	0.477343	0.485715	612	0
puṇya	puRya	261	1329	773	337	502	0.832333	0.665153	0.697393	0.732134	0.862771	1.910373	0.333356	0.894959	2.010329	2.692387	919	0
puṇḍarīka	puRqarIka	23	55	85	26	7		0.813635					1.076476					
puṣ	puz	168	110	75	70	18	0.940287	0.862004	0.892764			1.048804	0.104097	0.203225			69	1
puṣkara	puzkara	87	200	142	50	30	0.89875	0.79598	0.76625			0.763067	0.045665	1.20313			380	0
puṣpa	puzpa	89	678	718	608	277	0.840836	0.56825	0.581697	0.634373	0.836851	2.491562	0.531143	0.062848	0.301205	3.386758	861	0
puṣṭi	puzwi	211	50	115	172	50	0.884133	0.781378	0.735833	0.707764	0.874488	2.515089	1.650078	0.883536	0.347019	0.328494	513	0
puṭ	puw	0	0	0	312	106				0.509338					0.122092			
puṭa	puwa	21	64	103	1059	246		0.855923	0.861389	0.505424			1.134945	3.664747	0.670582			
pā	pA	2364	721	1532	757	330	0.840997	0.590673	0.593756	0.737204	0.802055	2.151005	1.535789	0.71429	0.237563	1.091943	860	0
pācana	pAcana	1	22	84	153	42			0.567367					1.167831				
pāda	pAda	502	856	1208	809	372	0.748634	0.577324	0.66301	0.680241	0.768421	0.332077	0.945382	0.275648	0.314553	1.316364	1221	0
pādapa	pAdapa	1	182	95	47	13		0.788142					0.489495					
pāka	pAka	51	73	412	358	142	0.925663	0.623819	0.664198	0.649033	0.919705	0.079553	2.94512	0.100076	0.101321	3.226071	166	1
pāla	pAla	36	89	69	25	3		0.807724					0.081235					
