lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
anitya	anitya	7	165	103	34	27		0.770294					0.231377					
aniṣṭa	anizwa	4	109	66	23	6		0.87272					0.275346					
anna	anna	2225	803	1002	431	178	0.760745	0.54398	0.586985	0.749802	0.779726	1.90818	0.767855	0.914362	0.159579	1.895107	1195	0
anta	anta	1314	1112	1238	1095	318	0.795864	0.667434	0.711608	0.795361	0.805556	0.678655	0.603299	0.12568	0.348442	0.298118	1105	0
antaka	antaka	20	277	125	89	22		0.842884	0.824374				0.699514	0.18729				
antar	antar	723	170	450	603	162	0.835128	0.74895	0.749819	0.745222	0.878993	2.526307	1.852835	0.724994	0.460774	0.409253	900	0
antara	antara	270	835	1215	938	380	0.90256	0.73835	0.760398	0.7949	0.870997	1.190971	0.989553	0.070536	0.131801	2.241789	341	0
antardhā	antarDA	273	439	173	61	66	0.910185	0.651899	0.8808	0.893264	0.966315	0.247474	0.895005	1.20113	1.549047	0.299614	273	1
antarikṣa	antarikza	1219	257	95	31	38	0.85709	0.769241				2.683704	0.987325				740	0
antarā	antarA	246	56	78	32	18	0.883591	0.895268				2.573006	0.926492				518	0
antaḥpura	antaHpura	1	183	151	74	4		0.8105	0.859853				0.171149	0.72619				
antika	antika	35	227	225	179	63		0.771949	0.825245	0.884453			0.435677	0.027205	0.071146			
anu	anu	1869	167	188	202	49	0.860153	0.814464	0.828854			3.922193	0.619329	0.406384			714	0
anubandha	anubanDa	2	130	75	23	1		0.871659					0.345105					
anubhāva	anuBAva	0	139	102	51	25		0.760051	0.929593				0.001929	0.697239				
anubhū	anuBU	31	83	178	71	30		0.841931	0.815242				1.549138	1.023225				
anucara	anucara	57	83	43	36	26	0.961492					0.104303					10	1
anuga	anuga	11	210	100	110	9		0.872489	0.880264				0.621945	0.440264				
anugam	anugam	117	365	184	106	20	0.935371	0.811827	0.861249			1.203542	0.539746	0.492881			101	1
anugrah	anugrah	9	77	112	70	11		0.858381	0.8771				0.989013	0.375311				
anugraha	anugraha	9	172	135	202	33		0.772181	0.818494				0.098995	0.884157				
anuja	anuja	2	160	52	92	5		0.847295	0.878999				1.173044	1.125883				
anujñā	anujYA	57	297	150	63	25	0.924403	0.788624	0.812352			1.943583	0.537056	0.948778			176	1
anukūla	anukUla	3	61	59	29	11		0.871141					0.40035					
anulepana	anulepana	18	51	136	28	15		0.770867					1.863482					
anuman	anuman	118	81	54	32	4	0.938126	0.907969				0.980639	0.136518				83	1
anumāna	anumAna	2	73	102	63	9		0.741085	0.767038				0.931045	0.392385				
anuprāp	anuprAp	1	199	136	12	24		0.785382					0.100717					
anupāna	anupAna	1	14	58	106	27			0.720525					1.1727				
anurāga	anurAga	0	28	77	53	4			0.846962					0.236105				
anurūpa	anurUpa	150	155	92	65	53	0.92998	0.864018	0.874822	0.860863	0.668242	0.39054	0.304118	0.198433	1.140943	0.247851	134	1
anuttama	anuttama	2	316	202	43	102		0.812878					0.197125					
anuttara	anuttara	2	268	58	85	126		0.610088	0.909005	0.925076			1.759664	0.854171	2.003279			
anuvṛt	anuvft	24	193	56	38	4		0.866281					1.336658					
anuyā	anuyA	5	200	79	20	4		0.875341					0.891631					
anuṣṭhā	anuzWA	52	154	114	59	3	0.920602	0.891166	0.882692			1.128501	0.014548	0.647486			206	1
anvaya	anvaya	10	83	95	80	30		0.911972	0.871575				0.64326	0.054833				
anvi	anvi	175	58	17	8	0	0.955456					2.031076					20	1
anvita	anvita	15	470	539	401	154		0.740569	0.717106	0.817055			0.646069	0.123922	0.054718			
anviṣ	anviz	75	133	78	65	10	0.934068	0.87071	0.889308			0.388618	0.321436	0.039726			106	1
anya	anya	2115	3653	2753	1994	765	0.808269	0.723482	0.751333	0.770208	0.854858	0.350578	0.040367	0.162578	0.053256	0.281623	1047	0
anyatama	anyatama	29	97	169	31	12		0.719137					1.249411					
anyatara	anyatara	155	134	46	6	18	0.923958					0.647881					180	1
anyathā	anyaTA	35	301	385	344	89		0.791381	0.777067	0.880653			0.803539	0.140311	0.515141			
anyatra	anyatra	248	270	288	134	70	0.852708	0.817832	0.869674	0.926505	0.86976	0.315227	0.541554	0.801075	0.498584	0.076164	776	0
anyonya	anyonya	71	669	234	135	26	0.934734	0.748852	0.836776			2.798269	1.067053	0.490788			104	1
anādi	anAdi	1	41	121	53	14			0.797782					0.888182				
anāgas	anAgas	57	50	4	9	3	0.959356					0.62688					12	1
anāgata	anAgata	1	147	98	20	22		0.759553					0.136518					
anīka	anIka	125	603	60	74	3	0.89901	0.80403	0.855034			1.832384	2.880679	0.605324			377	0
anṛta	anfta	231	342	124	33	14	0.805871	0.720073				0.128257	1.015212				1064	0
ap	ap	4192	519	558	161	110	0.75387	0.674561	0.711305	0.817929	0.794329	3.451678	0.552975	1.490444	0.885833	3.503314	1212	0
apaha	apaha	1	72	298	638	126		0.634257	0.445706	0.417478			2.497688	1.401005	0.904743			
apahṛ	apahf	38	162	208	33	16		0.873059					0.809034					
apakram	apakram	224	87	31	4	7	0.917042					1.802258					230	1
apanī	apanI	5	76	102	37	6		0.841367					0.872942					
apara	apara	690	1055	710	559	153	0.845968	0.787871	0.800598	0.851649	0.877218	0.174729	0.122908	0.04221	0.433927	0.424316	827	0
aparādha	aparADa	16	130	71	36	32		0.892112					0.424176					
apatya	apatya	63	238	161	81	11	0.894496	0.83156	0.851764			1.479692	0.115457	0.688306			430	0
ape	ape	85	97	50	35	5	0.928922	0.838282				0.247324	0.507612				142	1
apekṣ	apekz	25	41	87	69	16			0.86323					0.031658				
apekṣā	apekzA	2	30	69	89	20			0.859435					0.66997				
api	api	1846	12744	11523	8786	2555	0.813207	0.679456	0.635026	0.690808	0.819212	2.349498	0.303143	0.088477	0.346493	2.21767	1018	0
apsaras	apsaras	157	379	229	87	67	0.847315	0.624628	0.673589	0.71102	0.885282	0.833587	0.278406	1.093499	1.058536	0.520218	813	0
apāna	apAna	513	60	66	66	37	0.812626	0.747363	0.769966			3.533771	0.585948	0.302761			1021	0
apāya	apAya	2	72	54	31	3		0.396232					0.033407					
apūrva	apUrva	16	53	51	39	10		0.921341					0.392949					
araṇya	araRya	152	364	107	74	32	0.858181	0.748488	0.797303			0.822021	1.317883	0.229253			734	0
arbuda	arbuda	16	65	110	27	23		0.826858					1.207436					
arc	arc	202	103	37	56	15	0.930586					1.409557					132	1
arcana	arcana	5	26	126	120	103			0.772834	0.751262				0.232372	1.215			
arcay	arcay	11	257	230	166	137		0.772821	0.76266	0.843389			0.28831	0.16769	1.158383			
arcis	arcis	135	145	68	36	7	0.866754	0.731638				0.334753	0.644002				672	0
arday	arday	18	367	99	44	15		0.842975					1.441835					
ardha	arDa	993	379	679	746	256	0.793509	0.681634	0.657682	0.693738	0.840415	1.827442	1.289658	0.438525	0.107642	0.206901	1112	0
arghya	arGya	62	80	109	70	42	0.813016	0.806735	0.752813			0.070114	0.894701	0.33614			1020	0
arh	arh	151	1481	489	192	69	0.855658	0.663841	0.786779	0.853141	0.817795	2.856105	1.150221	1.045967	0.041048	0.618869	751	0
arha	arha	25	301	77	79	18		0.796319	0.902312				1.518389	0.339755				
arhant	arhant	1	162	116	10	189		0.505123					0.033425					
ari	ari	130	443	177	74	18	0.925051	0.740367	0.841776			1.330949	0.875113	0.955391			174	1
ariṣṭa	arizwa	117	81	138	37	11	0.929053	0.752416				0.968361	1.217119				140	1
arjuna	arjuna	32	1632	164	217	19		0.732348	0.777345				2.866429	0.70676				
