देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
सूर्यवर्ण	sūryavarṇa	n.adj.					
सूर्यसंज्ञं	sūryasaṁjñaṁ	Noun					
सूर्याकर	sūryākara	"m. +"					
सृक्क	sṛkka	"m. +"	"     2"		3/2	+	
सृगालघण्टी	sṛgālaghaṇṭī	"f. +"					
सृजत्वकर्मन्	sṛjatvakarman	"n. +"					
सृष्टिप्रसङ्ग	sṛṣṭiprasaṅga	"m. +"					
सेनाकर्मन्	senākarman	n.					
सेपुर	sepura	"n. +"					
सोढाक	soḍhāka	"m. +"	"     1"		1/1	+	
सोमसुत्	somasut	"m. +"					
सोमसुर्यप्रकाश	somasuryaprakāśa	"adj. +"					
सोशीर	sośīra	"adj. +"	"     1"		2/1	+	
सौर्यायणि	sauryāyaṇi	"m. +"					
सौर्यायणिन्	sauryāyaṇin	"m. +"					
स्कन्दनं	skandanaṁ	Noun					
स्कन्दषष्ठीव्रत	skandaṣaṣṭhīvrata	f.n.Partic.					
स्खद	skhada	"Verb. cl. ("					
स्खलनम्	skhalanam	Partic.					
स्तुतिकुसुमाञ्जलि	stutikusumāñjali	m.					
स्तुतिगीतक	stutigītaka	"n. +"					
स्तुषेप्यः	stuṣepyaḥ	m.					
स्तृह्	stṛh	"Verb. cl.6.Verb.Verb.cl.6.P."					
स्तेयी	steyī	f.					
स्त्रीमाया	strīmāyā	f.					
स्त्रीमुखप	strīmukhapa	m.n.					
स्त्रैण	straiṇa	"adj.n. * +"	"    22"	+	4/10	+	
स्थानेयोगिन्	sthāneyogin	"adj. +"					
स्थापितर्	sthāpitar	m.					
स्थूलभूत	sthūlabhūta	"n. +"	"     1"		1/1	+	
स्थूलवृक्षफलः	sthūlavṛkṣaphalaḥ	m.					
स्थौणाभारिक	sthauṇābhārika	"adj. +"					
स्नातर्	snātar	m.					
स्निग्धजन	snigdhajana	m.					
स्नेहाकूत	snehākūta	"n. +"					
स्पर्ष्टव्य	sparṣṭavya	"adj. +"					
स्पर्श	sparśa	"adj.m. * +"	"   899"	+	6/108	+	
स्पर्शवर्ग	sparśavarga	"m. +"					
स्पर्शस्यन्दः	sparśasyandaḥ	m.					
स्पृह	spṛha	"Verb. cl. ("					
स्फिग्	sphig	Noun					
स्फुटन	sphuṭana	"n.adj. +"	"    24"	+	5/12	+	
स्फूर्त्ति	sphūrtti	f.					
स्फेयंस्	spheyaṁs	Noun					
स्फेष्ठ	spheṣṭha	"adj. +"					
स्बृ	sbṛ	"Verb. cl. ("					
स्मरदा	smaradā	"f. +"	"     1"	+	1/1	+	
स्मारणीयक	smāraṇīyaka	"n. +"	"     1"		1/1	+	
स्यामन्तोपाख्यान	syāmantopākhyāna	"n. +"					
स्रंग्विन्	sraṁgvin	f.					
स्रुघ्निका	srughnikā	"f. +"					
स्रुघ्नी	srughnī	"f. +"					
स्वकर्म्मवश	svakarmmavaśa	m.f.n.					
स्वकार्यसह	svakāryasaha	m.f.n.					
स्वक्षत्र	svakṣatra	"adj. +"	"     3"	+	1/1	+	
स्वत्वोत्पत्ति	svatvotpatti	f.					
स्वधाप्रियः	svadhāpriyaḥ	m.					
स्वधितिहेतिक	svadhitihetika	"m. +"					
स्वनवेक्षणीय	svanavekṣaṇīya	"adj. +"					
स्वपनं	svapanaṁ	Noun					
स्वप्नज्ञान	svapnajñāna	n.					
स्वमातृतस्	svamātṛtas	adv.					
स्वर्गति	svargati	"f. +"	"     9"		2/4	+	
स्वर्त	svarta	"m. *"					
स्वर्णंजीरी	svarṇaṁjīrī	f.					
स्वर्दा	svardā	"f. +"					
स्वर्यातृ	svaryātṛ	"adj. +"	"     1"	+	1/1	+	
स्वर्वैद्यौ	svarvaidyau	m.					
स्वलिखित	svalikhita	"n. +"					
स्वश्चूडामणि	svaścūḍāmaṇi	m.					
स्वान	svāna	"m. +"	"    15"	+	6/8	+	
स्वीकरणं	svīkaraṇaṁ	f.					
हनुमत्पञ्चाङ्ग	hanumatpañcāṅga	n.					
हनुमन्निघण्टु	hanumannighaṇṭu	"m. +"					
हनूमन्तेश्वर	hanūmanteśvara	"mn. +"	"    13"		1/1	+	
हनूष	hanūṣa	"m. +"					
हयप	hayapa	"m. +"					
