देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
गुणनिका	guṇanikā	"f. +"					
गुरुमर्द्दल	gurumarddala	m.					
गूढपुष्पक	gūḍhapuṣpaka	"m. +"	"     1"	+	1/1	+	
गृञ्जनः	gṛñjanaḥ	m.					
गृभीत्वा	gṛbhītvā	ind.					
गृहवासिन्	gṛhavāsin	"m. +"	"     1"	+	1/1	+	
गृहविच्छेद	gṛhaviccheda	m.					
गृही	gṛhī	f.					
गृह्यकर्मन्	gṛhyakarman	"n. +"					
गोकृ	gokṛ	Noun					
गोण्डाक्री	goṇḍākrī	"f. +"					
गोत्रवृक्ष	gotravṛkṣa	"m. +"	"     1"	+	1/1	+	
गोमणिंद	gomaṇiṁda	"m. +"					
गोशाल	gośāla	"n.m. +"					
गौरिला	gaurilā	"f. +"	"     1"	+	1/1	+	
गौरिवीति	gaurivīti	"m. +"	"     2"	+	2/2	+	
ग्नुमुष्टि	gnumuṣṭi	m.					
ग्रथनीय	grathanīya	m.f.n.					
ग्रन्थवृत्ति	granthavṛtti	"f. +"					
ग्रन्थिलं	granthilaṁ	Noun					
ग्रहमुष्	grahamuṣ	"m. +"					
ग्रामदेवता	grāmadevatā	f.					
ग्रावायण	grāvāyaṇa	"m. +"					
ग्लुच	gluca	"Verb. cl. ("					
घटजन्मन्	ghaṭajanman	"m. +"					
घटिन्धम	ghaṭindhama	m.m.f.n.					
घनगर्जित	ghanagarjita	n.					
घनगोलक	ghanagolaka	"m. +"					
घर्मस्वरम्	gharmasvaram	Partic.					
घातिन्	ghātin	"adj. +"	"   203"	+	7/38	+	
घुर्	ghur	"f.Verb. cl.6.Verb.cl.6.P."					
घृतकरञ्जः	ghṛtakarañjaḥ	m.					
घृतदीधिति	ghṛtadīdhiti	"m. +"					
घोषद्	ghoṣad	m.					
घोषातकी	ghoṣātakī	"f. +"					
घ्रण्ण	ghraṇṇa	m.					
ङेयुक्त	ṅeyukta	"adj. +"	"     2"		1/2	+	
चटुला	caṭulā	"f. +"					
चणकाम्लवारि	caṇakāmlavāri	n.					
चण्डकापालिनी	caṇḍakāpālinī	"f. +"	"     1"	+	1/1	+	
चण्डीरहस्य	caṇḍīrahasya	"n. +"					
चतुःशमी	catuḥśamī	"f. +"					
चतुरुष्ट्र	caturuṣṭra	"n. +"	"     1"		2/1	+	
चन्दनीया	candanīyā	"f. +"					
चन्दनसार	candanasāra	"mn. +"	"     3"	+	3/3	+	
चन्दनसार	candanasāra	"mn. +"	"     3"	+	3/3	+	
चन्दनसारः	candanasāraḥ	m.					
चन्दनसारः	candanasāraḥ	m.					
चन्द्रकी	candrakī	"f. +"	"     1"	+	1/1	+	
चतुष्पञ्च	catuṣpañca	m.f.n.					
चन्द्रगन्धा	candragandhā	"f. +"	"     1"	+	1/1	+	
चन्द्रबिम्ब	candrabimba	n.					
चन्द्रशेखरप्रबन्ध	candraśekharaprabandha	m.					
चमत्करण	camatkaraṇa	"n. +"					
चमत्करण	camatkaraṇa	"n. +"					
चरण्टी	caraṇṭī	"f. +"					
चरण्य्	caraṇy	"Denom.P. +"	"     2"	+	1/1	+	
चातुःस्वर्य	cātuḥsvarya	"n. +"					
चातुरिक	cāturika	m.					
चान्द्रमस्	cāndramas						
चापलायन	cāpalāyana	"m. +"					
चारः	cāraḥ	m.					
चारिका	cārikā	"f. +"	"    79"		2/4	+	
चारुनालक	cārunālaka	"n. +"					
चारुमती	cārumatī	"f. +"	"     2"		1/2	+	
चित्रमेखल	citramekhala	"m. +"					
चित्रवीर्यः	citravīryaḥ	m.					
चित्राङ्गदः	citrāṅgadaḥ	m.					
चित्रोत्पला	citrotpalā	"f. +"	"     3"	+	2/3	+	
चिन्त्य	cintya	"n.m.f.n.adj. *"					
चिप्पः	cippaḥ	m.					
चिरयात	cirayāta	"adj. +"					
चिल्	cil	"Verb. cl.6.Verb.Verb.cl.6.P."					
चिल्वटि	cilvaṭi	"m. +"	"     1"		2/1	+	
चुप	cupa	"m. +"					
चुरी	curī	"f. +"					
चुल्	cul	"Verb. cl.10Verb.cl.10.P."					
चुल्हक	culhaka	"n. +"	"     2"	+	1/2	+	
चूष्य	cūṣya	"n.m.f.n.adj. *"					
चेलगङ्गा	celagaṅgā	"f. +"					
चोष	coṣa	"adj.m. +"	"    20"		4/3	+	
चैलकः	cailakaḥ	m.					
चैलेय	caileya	"adj. +"					
छंद	chaṁda	m.					
छगलान्त्रिन्	chagalāntrin	"m. +"					
छत्त्रिन्याय	chattrinyāya	"m. +"					
छत्त्रीकर्	chattrīkar	m.					
छन्दःसूत्र	chandaḥsūtra	n.					
छागलान्त्री	chāgalāntrī	"f. +"					
जगद्देव	jagaddeva	"m. +"					
जज्ञि	jajñi	f.m.f.n.					
जटातीर	jaṭātīra	m.					
जनमार	janamāra	"mf. +"					
जनान्तः	janāntaḥ	m.					
जन्तुघ्नी	jantughnī	f.					
जयंतः	jayaṁtaḥ	m.					
जयंतः	jayaṁtaḥ	m.					
जयघोषण	jayaghoṣaṇa	"n. +"					
जम्बुः	jambuḥ	m.					
जम्बूद्वीप	jambūdvīpa	"mn. +"	"    79"		4/16	+	
जयवर्मन्	jayavarman	"m. +"	"     1"		1/1	+	
जयाभट्टारिका	jayābhaṭṭārikā	"f. +"					
जयासिंह	jayāsiṁha	"m. +"					
जर्ज्जरीकृत	jarjjarīkṛta	m.f.n.					
जलंग	jalaṁga	m.					
जलतण्डुलीय	jalataṇḍulīya	"n. +"					
जलधरसंकुसुमिताभिज्ञ	jaladharasaṁkusumitābhijña	m.					
जलधार	jaladhāra	"m. +"	"     7"	+	3/4	+	
जलबन्धुरस	jalabandhurasa	"m. +"	"     1"	+	1/1	+	
जलबिन्दु	jalabindu	"m.f. +"	"     1"	+	1/1	+	
जलभेद	jalabheda	m.					
जलहारी	jalahārī	"f. +"					
जलाणुक	jalāṇuka	"n. +"					
जलालुक	jalāluka	"m. +"					
जलालुहा	jalāluhā	"f. +"					
जलेषु	jaleṣu	"m. +"	"     1"	+	1/1	+	
जातकर्म	jātakarma	m.					
जारय	jāraya	m.					
जालकार	jālakāra	"m. +"					
जालवातायन	jālavātāyana	"n. +"	"     4"		3/3	+	
जाहच्	jāhac	"m. +"	"     1"	+	2/2/1	+	
जिवाजिव	jivājiva	m.					
जिह्वारोगः	jihvārogaḥ	m.					
जिह्वाशोधन	jihvāśodhana	"n. +"					
जिह्वु	jihvu	m.					
जीगर्त	jīgarta	m.					
जीमूतकुट	jīmūtakuṭa	m.					
जीमूतकूट	jīmūtakūṭa	m.					
जीवदातृ	jīvadātṛ	Noun					
जीवमन्दिर	jīvamandira	"n. +"					
जीवराज	jīvarāja	"m. +"					
जीवलौकिक	jīvalaukika	"adj. +"					
जीवविचारप्रकरण	jīvavicāraprakaraṇa	n.					
जीवशाक	jīvaśāka	"mn. +"	"     4"		2/2	+	
जीवसंज्ञ	jīvasaṁjña	m.					
जीवसूः	jīvasūḥ	Noun					
जीवितद	jīvitada	"adj. +"					
जेतसाह्वय	jetasāhvaya	"adj. +"	"     1"		1/1	+	
जेता	jetā	f.					
जैह्माकनि	jaihmākani	"m. +"					
ज्ञानश्री	jñānaśrī	m.					
ज्ञापनीय	jñāpanīya	m.f.n.					
ज्ञायतालिका	jñāyatālikā	"f. +"	"     1"	+	1/1	+	
ज्ञास्	jñās	m.					
ज्ञीप्स्यमान	jñīpsyamāna	m.					
ज्योत्स्नामय	jyotsnāmaya	"adj. +"					
ज्योत्स्नामय	jyotsnāmaya	"adj. +"					
ज्वरराज	jvararāja	"m. +"	"     1"	+	1/1	+	
ज्वरराज	jvararāja	"m. +"	"     1"	+	1/1	+	
झर	jhara	"mf. * +"	"     4"	+	3/3	+	
ज्वराग्निः	jvarāgniḥ	m.					
झर्च्	jharc	"Verb. cl.1.Verb.cl.6.P."					
झल्लिन्	jhallin	"m. +"	"     2"	+	1/1	+	
झल्ली	jhallī	"f. +"					
टांकम्	ṭāṁkam	Partic.					
टिटिभकः	ṭiṭibhakaḥ	m.					
डङ्गरि	ḍaṅgari	"m. +"	"     2"	+	2/2	+	
डम	ḍama	"m. +"					
डमरु	ḍamaru	"m. * +"	"    14"	+	3/6	+	
डित	ḍita	"adj. +"					
डित	ḍita	"adj. +"					
चटचट्	caṭacaṭ	Verb.					
चटिकाशिर	caṭikāśira	"m. +"					
तंज्	taṁj	Verb.cl.7.P.					
तट्य	taṭya	"adj. +"					
तडाकिनि	taḍākini	n.					
ततःपर	tataḥpara	m.f.n.ind.					
ततत्व	tatatva	"n. +"					
तत्कर्मकारिन्	tatkarmakārin	m.f.n.					
तत्कारण	tatkāraṇa	m.					
तत्रस्थ	tatrastha	"adj. +"	"   109"		5/31	+	
तत्व	tatva	n.					
तत्सिन	tatsina	"adj. +"	"     1"		1/1	+	
तदुत्थ	taduttha	Verb.					
तनुत्वच्	tanutvac	"m. +"	"     1"		1/1	+	
तनुबीज	tanubīja	"m. +"	"     1"	+	1/1	+	
तनुरस	tanurasa	"m. +"					
तनूपान	tanūpāna	"adj.n. +"	"     2"		1/1	+	
तपआतङ्क	tapaātaṅka	"m. +"					
तपनकर	tapanakara	m.					
तपस्तक्षः	tapastakṣaḥ	m.					
तपस्विकन्या	tapasvikanyā	m.f.					
तपस्विपत्त्र	tapasvipattra	"m. +"	"     1"	+	1/1	+	
तपोयज्ञ	tapoyajña	m.f.n.					
तमोपह	tamopaha	"m. +"					
तमोभित्	tamobhit	m.					
तमोमय	tamomaya	"m. +"	"     1"		1/1	+	
तमोरूपिन्	tamorūpin	"adj. +"					
तरत्सल	taratsala	"m. +"					
तरसारिक	tarasārika	m.					
तरा	tarā	"f. +"	"     5"		2/4	+	
तरांधुः	tarāṁdhuḥ	m.					
तरान्धुः	tarāndhuḥ	m.					
तरीक	tarīka	m.					
तरुसार	tarusāra	"m. +"					
तर्कविद्या	tarkavidyā	"f. +"	"     4"		3/3	+	
तष्टृ	taṣṭṛ	"m. +"	"     9"		2/2	+	
तस्मिन्	tasmin	n.					
तातगुः	tātaguḥ	m.					
ताततुल्य	tātatulya	"adj.m. +"					
ताद्रूप्य	tādrūpya	"n. +"	"     6"	+	1/1	+	
तानूनपात	tānūnapāta	"adj. +"					
तापसेष्टा	tāpaseṣṭā	f.					
ताम्रकम्	tāmrakam	Partic.					
तारकरिपु	tārakaripu	"m. +"					
तालमूलिका	tālamūlikā	"f. +"	"     6"	+	4/6	+	
तावर	tāvara	"n. +"					
तिष्ठद्धोमः	tiṣṭhaddhomaḥ	m.					
तीर्थकमण्डलु	tīrthakamaṇḍalu	"m. +"					
तीर्थचिन्तामणि	tīrthacintāmaṇi	"m. +"					
तीव्री	tīvrī	f.					
तुंबरुः	tuṁbaruḥ	m.					
तुरगब्रह्मचर्यक	turagabrahmacaryaka	n.					
तुलावरार्ध	tulāvarārdha	"adj. +"					
तुष्य	tuṣya	"adj. +"	"     1"		1/1	+	
तुहिनमयूख	tuhinamayūkha	"m. +"	"     1"		1/1	+	
तुहिनय	tuhinaya	m.					
तूतकं	tūtakaṁ	Noun					
तूपर	tūpara	"adj.m. +"	"     4"		3/4	+	
तृपा	tṛpā	"f. +"					
तृपाय	tṛpāya	m.					
तृप्तियोग	tṛptiyoga	m.					
तृफ्	tṛph	"Verb. cl.6.Verb."					
तृषारोग	tṛṣāroga	"m. +"					
ते	te	"m. +"	"     1"	+	1/2/1/1	+	
तेक्ष्णिष्ठम्	tekṣṇiṣṭham	"ind. +"					
तेजस	tejasa	"n. +"	"     7"	+	5/5	+	
त्यक्तुकाम	tyaktukāma	m.f.n.adj.					
त्यप्	tyap	"m. +"	"     1"	+	1/1/1/1	+	
त्रयीविद	trayīvida	"adj. +"					
त्रयीसानु	trayīsānu	"m. +"	"     1"		1/1	+	
त्राणकारिन्	trāṇakārin	"m. +"					
त्रायमाणं	trāyamāṇaṁ	Noun					
त्रायमाणिका	trāyamāṇikā	"f. +"	"     1"	+	1/1	+	
त्रिकटः	trikaṭaḥ	m.					
त्रिकश	trikaśa	m.f.n.					
त्रिकूटं	trikūṭaṁ	Noun					
त्रिकोण	trikoṇa	"n. +"	"    31"		4/13	+	
त्रिकोणं	trikoṇaṁ	Noun					
त्रिणाचिकेत	triṇāciketa	"adj.m. +"	"    12"		3/9	+	
त्रिणिधन	triṇidhana	"n. +"	"    10"	+	2/1	+	
त्रिपत्त्रा	tripattrā	"f. +"	"     1"	+	1/1	+	
त्रिपत्र	tripatra	m.m.f.n.					
त्रिपिट	tripiṭa	"adj. +"	"     2"	+	1/1	+	
त्रिपुटा	tripuṭā	"f. +"	"    13"	+	3/7	+	
त्रिलोकीजित्	trilokījit	m.f.n.					
त्रिलोचन	trilocana	"adj.m.n. +"	"    77"	+	5/24	+	
त्रिवर्षीय	trivarṣīya	"adj. +"					
त्रिवीज	trivīja	m.					
त्रिवृत्ति	trivṛtti	"f. +"					
त्रिष्ठ	triṣṭha	"adj. +"	"     2"		2/2	+	
त्रिशङ्कुयाजिन्	triśaṅkuyājin	m.					
त्रिशूलिनी	triśūlinī	"f. +"	"     1"	+	1/1	+	
त्रिश्रुति	triśruti	"adj. +"					
त्रिसंध्य	trisaṁdhya	"fn. +"	"    30"		5/15	+	
त्रुटी	truṭī	"f. +"	"     7"		4/4	+	
त्रैदशिक	traidaśika	"adj. +"	"     1"		2/1	+	
त्वक्क्षीरी	tvakkṣīrī	"f. +"	"    11"		3/6	+	
त्वग्जं	tvagjaṁ	Noun					
त्वत्तस्	tvattas	adv.					
त्वाच	tvāca	"adj. +"					
त्वेषद्युम्न	tveṣadyumna	m.f.n.adj.					
त्वेषनृम्ण	tveṣanṛmṇa	m.f.n.adj.					
थुस्	thus	"m. +"	"     1"		1/1/1/1/1/1	+	
थूत्कार	thūtkāra	"m. +"	"     2"		1/2	+	
दंडिका	daṁḍikā	f.					
दंष्ट्राविष	daṁṣṭrāviṣa	"adj. +"	"     1"		1/1	+	
दक्षपितृ	dakṣapitṛ	"m. +"	"     1"	+	1/1	+	
दक्षिण	dakṣiṇa	"adj.m.mn.n. * +"	"  1748"		7/116	+	
दक्षिणक	dakṣiṇaka	"adj. +"	"     5"		3/3	+	
दगु	dagu	"m. +"					
दण्डपाश	daṇḍapāśa	m.					
दण्डयोग	daṇḍayoga	"m. +"					
दत्तः	dattaḥ	m.					
दत्तभुजंगस्तोत्र	dattabhujaṁgastotra	"n. +"					
दत्ताकारीषगन्ध्या	dattākārīṣagandhyā	"f. +"					
ददाति	dadāti	"m. +"	"     3"	+	1/3	+	
दधार	dadhāra	Verb.					
दन्तकर्षण	dantakarṣaṇa	"m. +"					
दमशरीरिन्	damaśarīrin	"adj. +"					
दरदं	daradaṁ	Noun					
दरेन्द्र	darendra	"m. +"					
दर्वीकरः	darvīkaraḥ	m.					
दर्ष्षनावरण	darṣṣanāvaraṇa	"n. +"					
दर्शित	darśita	"m.f.n. *"					
दर्शितः	darśitaḥ	m.					
दर्ह्	darh	n.adv.Partic.					
दलनिर्मोक	dalanirmoka	"m. +"					
दवानल	davānala	"m. +"	"     1"	+	1/1	+	
दवीयस्	davīyas	"adj. * +"	"    10"	+	3/7	+	
दवीयान्	davīyān	m.					
दशकन्यातीर्थ	daśakanyātīrtha	"n. +"					
दशकमासिक	daśakamāsika	"adj. +"					
दशकामजव्यसन	daśakāmajavyasana	n.					
दशभूमिक	daśabhūmika	m.					
दशभूमिग	daśabhūmiga	"m. +"	"     1"	+	1/1	+	
दशलक्षनी	daśalakṣanī	"f. +"					
दशेन्धनः	daśendhanaḥ	m.					
दहनकेतन	dahanaketana	"m. +"					
दावन्त्	dāvant	m.					
दावाग्नि	dāvāgni	m.					
दासक	dāsaka	"m. +"	"     6"	+	1/1	+	
दिद्दिभ	diddibha	m.					
दिधिषाय्य	didhiṣāyya	"adj. +"					
दिनक्षय	dinakṣaya	"m. +"	"    14"	+	5/6	+	
दिवसनिरीक्षक	divasanirīkṣaka	"m. +"					
दिवातन	divātana	"adj.adj.m. * +"	"     1"		1/1	+	
दिवासप्न	divāsapna	m.					
दिविसंस्थिता	divisaṁsthitā	"f. +"	"     1"	+	1/1	+	
दिव्यकौषधी	divyakauṣadhī	"f. +"	"     1"		1/1	+	
दिव्यश्रोत्र	divyaśrotra	"n. +"					
दिव्यसार	divyasāra	"m. +"	"     1"		1/1	+	
दिव्यसारः	divyasāraḥ	m.					
दिव्यस्रगनुलेपिन्	divyasraganulepin	"adj. +"					
दीधितिव्याख्या	dīdhitivyākhyā	f.					
दीन	dīna	"adj.n. * +"	"   613"	+	6/51	+	
दीनचित्त	dīnacitta	m.f.n.					
दीपविधि	dīpavidhi	m.					
दीप्त्य	dīptya	adj.					
दीर्घपाद्या	dīrghapādyā	"f. +"					
दीव्यमान	dīvyamāna	"m.f.n. *"					
दुःखसंस्पर्श	duḥkhasaṁsparśa	f.m.f.n.adj.					
दुःसम्पाद	duḥsampāda	"adj. * +"	"     5"		2/2	+	
दुग्धवीजा	dugdhavījā	f.					
दुन्दम	dundama	"m. +"					
दुरन्तवीर्य	durantavīrya	m.f.n.					
दुरीषणा	durīṣaṇā	"f. +"					
दुर्द्धर्ष	durddharṣa	m.f.n.					
दुल	dula	"Verb. cl. ("					
दुवोया	duvoyā	"f. +"	"     1"	+	1/1	+	
दुहितुःपतिः	duhituḥpatiḥ	m.					
दूरं	dūraṁ	Noun					
दूषिका	dūṣikā	"f. +"	"    14"		3/7	+	
दृषदक	dṛṣadaka	m.					
दृष्टं	dṛṣṭaṁ	Noun					
दृष्टकूट	dṛṣṭakūṭa	"n. +"					
दृष्टादृष्ट	dṛṣṭādṛṣṭa	m.n.m.f.n.adj.Verb.					
दृशाकाङ्क्ष्य	dṛśākāṅkṣya	"n. +"					
देवतात्रयतीर्थ	devatātrayatīrtha	"n. +"	"     1"	+	1/1	+	
देवमणि	devamaṇi	"m. +"	"     2"		2/2	+	
देवयाज्ञिक	devayājñika	m.					
देववर्धकि	devavardhaki	"m. +"	"     2"	+	1/2	+	
देवसंध	devasaṁdha	"adj. +"					
देवस्व	devasva	n.					
देवारण्य	devāraṇya	n.					
देवावृध	devāvṛdha	"m. +"	"    23"	+	3/6	+	
देवासुरयुद्ध	devāsurayuddha	Noun					
देहग्रहण	dehagrahaṇa	n.					
देहम्भरवार्त्तिक	dehambharavārttika	m.f.n.					
देहवेध	dehavedha	"m. +"	"     8"		2/4	+	
दोग्धृ	dogdhṛ	"m.adj. * +"	"    34"	+	5/11	+	
दोम्	dom	m.					
दोषजित्कार	doṣajitkāra	"m. +"					
द्युतान	dyutāna	"adj.m. +"	"     5"		2/2	+	
द्युधुनि	dyudhuni	"f. +"	"     1"	+	1/1	+	
द्युमौर्वि	dyumaurvi	"f. +"					
द्युसरित्	dyusarit	"f. +"	"     2"		2/2	+	
द्यूतपर्व	dyūtaparva	m.					
द्यौतान	dyautāna	"n. +"					
द्रवत्य	dravatya	m.					
द्राङ्गवध	drāṅgavadha	"m. +"					
द्रुमशल्य	drumaśalya	"m. +"	"     1"	+	1/1	+	
द्रूघणः	drūghaṇaḥ	m.					
द्वयसच्	dvayasac	"m. +"	"     2"	+	3/4/1	+	
द्वयहीन	dvayahīna	"adj. +"	"     1"	+	1/1	+	
द्वापरयुगाद्या	dvāparayugādyā	f.					
द्वापरयुगाद्या	dvāparayugādyā	f.					
द्विकर्मक	dvikarmaka	"m.f.n.m.f.n. *"					
द्विगुणं	dviguṇaṁ	Noun					
द्विगुणय्	dviguṇay	Verb.					
द्विपादिका	dvipādikā	"f. +"					
द्विषदायुस्	dviṣadāyus	m.					
द्विषष्टिवाक्य	dviṣaṣṭivākya	n.					
द्विशौर्पिक	dviśaurpika	m.f.n.					
द्वीन्द्रियग्राह्यः	dvīndriyagrāhyaḥ	m.					
द्वीपसंभव	dvīpasaṁbhava	m.f.					
धनक्रीती	dhanakrītī	"f. +"	"     2"		1/1	+	
धनत्यज्	dhanatyaj	"adj. +"					
धनविभाग	dhanavibhāga	m.					
धनाधिकृत	dhanādhikṛta	"m. +"					
धनुर्मासमाहात्म्य	dhanurmāsamāhātmya	"n. +"					
धनुष्पाणि	dhanuṣpāṇi	"adj. +"	"    47"	+	3/6	+	
धनुहस्ता	dhanuhastā	"f. +"					
धरणिस्थ	dharaṇistha	m.f.n.					
धरणीकन्द	dharaṇīkanda	"m. +"					
धरणीप्लवः	dharaṇīplavaḥ	m.					
धरणीश्वर	dharaṇīśvara	"m. +"	"     1"	+	1/1	+	
धरित्री	dharitrī	"f. * +"	"    47"	+	4/25	+	
धरुण	dharuṇa	"adj.m.n.m. * +"	"    46"	+	2/5	+	
धर्मक्रित्य	dharmakritya	"n. +"					
धर्मचिन्तनं	dharmacintanaṁ	Noun					
धर्मनदी	dharmanadī	"f. +"	"     1"	+	1/1	+	
धर्ममात्र	dharmamātra	"adj.n. +"	"     1"		1/1	+	
धर्माय्	dharmāy	Noun					
धर्म्मतस्	dharmmatas	Noun					
धर्म्मशाला	dharmmaśālā	f.					
धातुमय	dhātumaya	"f.n.adj. *"					
धानावत्	dhānāvat	"adj. +"	"     4"		2/2	+	
धानावन्त्	dhānāvant	adj.					
धान्यपति	dhānyapati	"m. +"					
धान्याम्ल	dhānyāmla	"n. +"	"    85"	+	4/19	+	
धामार्गव	dhāmārgava	"mn.n. +"	"    28"	+	4/10	+	
धारयितव्य	dhārayitavya	"m.f.n. *"					
धावनिर्गुहा	dhāvanirguhā	"f. +"	"     1"	+	1/1	+	
धावितर्	dhāvitar	m.					
धिषणः	dhiṣaṇaḥ	m.					
धीरगोविन्दशर्मन्	dhīragovindaśarman	"m. +"					
धुन्धु	dhundhu	"m. * +"	"    25"		3/5	+	
धुन्धुरी	dhundhurī	"f. +"					
धुन्धुलि	dhundhuli	n.					
धुमावतीमनु	dhumāvatīmanu	m.Partic.					
धूपकटच्छुक	dhūpakaṭacchuka	"n. +"					
धूपतृण	dhūpatṛṇa	"n. +"					
धूर्तनर्तक	dhūrtanartaka	"n. +"					
धूर्धुर	dhūrdhura	"m. +"	"     1"	+	1/1	+	
धृतश्री	dhṛtaśrī	"f. +"					
धृतिसिंह	dhṛtisiṁha	"m. +"					
ध्याश्रयटीका	dhyāśrayaṭīkā	f.					
ध्राक्षामत्	dhrākṣāmat	"adj. +"					
ध्रुवचक्र	dhruvacakra	"n. +"					
ध्रुवनडी	dhruvanaḍī	"f. +"					
ध्वजाग्रकेयूर	dhvajāgrakeyūra	n.					
ध्वजोत्थापन	dhvajotthāpana	m.n.					
ध्वनमोदिन्	dhvanamodin	"m. +"					
ध्वनयति	dhvanayati	"m. +"	"     1"		3/3/1	+	
ध्वनिकाव्य	dhvanikāvya	m.					
ध्वनिगाथापञ्जिका	dhvanigāthāpañjikā	f.					
ध्वनित्व	dhvanitva	"n. +"					
ध्वान्तं	dhvāntaṁ	Noun					
नंगः	naṁgaḥ	m.					
नगर	nagara	"mn. * +"	"   897"	+	7/68	+	
नग्नम्भविष्णु	nagnambhaviṣṇu	m.f.n.					
नट्ट	naṭṭa	"mf. +"					
नतज्या	natajyā	"f. +"					
नदनदीपति	nadanadīpati	"m. +"	"     6"	+	2/2	+	
नन्दवर्धन	nandavardhana	"m. +"					
नपुंसकं	napuṁsakaṁ	Noun					
नपुंसकः	napuṁsakaḥ	m.					
नभःस्थ	nabhaḥstha	"adj. +"					
नभाग	nabhāga	"m. +"					
नमय्	namay	"Verb.cl.10.P. +"	"    44"	+	5/22	+	
नमसित	namasita	"adj. +"					
नमस्वन्त्	namasvant	adj.					
नयनचरित	nayanacarita	"n. +"					
नयनाञ्चल	nayanāñcala	m.					
नरकमुक्त	narakamukta	m.					
नरुण	naruṇa	"m. +"					
नरेतर	naretara	"m. +"	"     2"		1/1	+	
नर्ब्ब	narbba	"Verb. cl. ("					
नर्मस्फञ्ज	narmasphañja	m.					
नवगुण	navaguṇa	"adj. +"	"     4"		2/3	+	
नवग्रहाकृतिविज्ञानीय	navagrahākṛtivijñānīya	"m. +"	"     1"	+	2/1	+	
नवसंघाराम	navasaṁghārāma	"m. +"					
नस	nasa	m.f.adj.					
नागमल्लः	nāgamallaḥ	m.					
नाचिकेत	nāciketa	"adj.m. * +"	"    17"		2/3	+	
नाथभौत	nāthabhauta	m.					
नानास्त्री	nānāstrī	"f. +"	"     1"		2/1	+	
नाभिभूः	nābhibhūḥ	Noun					
नाभिमत्	nābhimat	"adj. +"	"     3"		2/3	+	
नामशुण्डी	nāmaśuṇḍī	"f. +"					
नारकीटः	nārakīṭaḥ	m.					
नाशिन्	nāśin	"adj. * +"	"   171"	+	5/34	+	
निःष्पन्द	niḥṣpanda	f.					
निःशोक	niḥśoka	"adj. +"	"     7"		2/4	+	
निःसहाय	niḥsahāya	"adj. +"	"     2"	+	1/2	+	
निक्षेपः	nikṣepaḥ	m.					
निगम	nigama	"m.n. * +"	"    70"		6/30	+	
निगमय्	nigamay	"Verb.cl.10.P. +"	"     2"	+	2/2	+	
निगीर्णवत्	nigīrṇavat	m.f.n.					
निगुह्	niguh	"Verb.cl.1.A. +"	"    60"	+	7/27	+	
निगूढचारिन्	nigūḍhacārin	m.f.n.					
निग्रन्थन	nigranthana	"n. +"					
निचक्र	nicakra	m.					
नितंबः	nitaṁbaḥ	m.					
नितन्	nitan	"Verb.cl.8.P. +"					
निदिग्दिग्धिका	nidigdigdhikā	f.					
निद्यमान	nidyamāna	m.f.n.					
निद्रायमाण	nidrāyamāṇa	"adj. +"	"     1"		1/1	+	
निधनपति	nidhanapati	m.					
निधातोस्	nidhātos	Noun					
निन्दा	nindā	"f. * +"	"   160"	+	5/43	+	
निपद्	nipad	"Verb.cl.4.A. +"	"    13"	+	4/9	+	
निमज्जय्	nimajjay	"Verb.cl.10.P. +"	"    35"		5/20	+	
निमित्तधर्म	nimittadharma	"m. +"					
निमित्तायमान	nimittāyamāna	"adj. +"					
निमीलक	nimīlaka	"adj. +"					
निमीलित	nimīlita	n.m.f.n.					
निम्नगत	nimnagata	"adj.n. +"					
नियोगार्थ	niyogārtha	m.					
निरहंकारिन्	nirahaṁkārin	adj.					
निरालम्बन	nirālambana	"adj. * +"	"     8"	+	4/6	+	
निरिङ्ग	niriṅga	"adj. +"	"     2"	+	1/1	+	
निरीक्षिन्	nirīkṣin	"adj. +"					
निरुक्तवृत्ति	niruktavṛtti	"f. +"					
निरुक्तिलक्षण	niruktilakṣaṇa	n.					
निरुक्ष्	nirukṣ	"Verb.cl.6.P. +"					
निरुपद्रव	nirupadrava	"adj. * +"	"    37"		5/16	+	
निरूप्य	nirūpya	m.f.n.adj.ind.					
निर्द्रु	nirdru	"Verb.cl.1.P. +"	"     1"		2/1	+	
निर्द्वंद्व	nirdvaṁdva	"adj. +"	"    77"	+	3/13	+	
निर्भाग्य	nirbhāgya	"adj. +"					
निर्यन्त्रा	niryantrā	"f. +"	"     2"	+	1/2	+	
निर्हर	nirhara	"adj. +"	"     1"		1/1	+	
निवसनम्	nivasanam	Partic.					
निवारुभूय	nivārubhūya	n.					
निविरीशस	nivirīśasa	m.					
निविशेष	niviśeṣa	m.f.n.					
निवेश्यः	niveśyaḥ	m.					
निषादी	niṣādī	"f. +"	"    13"		3/3	+	
निषिक्त	niṣikta	m.f.n.					
निषीध	niṣīdha	"m. +"	"     1"	+	1/1	+	
निषूदनम्	niṣūdanam	Partic.					
निषेचितर्	niṣecitar	m.					
निष्पतिष्णु	niṣpatiṣṇu	"adj. +"	"     1"		1/1	+	
निशाकर	niśākara	"m. +"	"    83"	+	5/26	+	
निश्चय	niścaya	"m. * +"	"   652"	+	6/72	+	
निश्चल	niścala	"adj. * +"	"   134"		6/52	+	
निस्तुष	nistuṣa	"adj.m. +"	"    24"	+	4/13	+	
नीलवल्ली	nīlavallī	"f. +"					
