akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
av	avase ava avatu avantu avati āvatam avitā āvitha avatam avathaḥ āvaḥ āvat avat avatha avyāt aviṣṭam avanti aviḍḍhi avasi āvīt avā avatām avata āvata āvan aviṣṭu avatā avāḥ aviṣaḥ avitum aveḥ avet āvam āvatām āviṣuḥ aviṣṭām āva āvathuḥ avitāsi avīḥ avātha avāmi avataḥ āvan āviṣṭam aviṣṭana aviṣat avyāḥ avīt avyāḥ aviṣṭa avitave 
aś	aśnute aśnīyāt aśnāti aśnat aśita aśnanti āśata ānaśuḥ aśyāma aśīya ānaśe aśyām aśnāmi āśnuta aśnoti aśīmahi aśnāsi aśitvā aśnavat aśyāḥ āśnuvata āśāte āśnāt aśnuvate āśnuvātām aśnīyātām āśāthe aśnuvāna aśnīyām aśnātu aśnuvīta ānaśa āṣṭa aṣṭa ānaṃśa aśnīta āśa aśnuhi aśnotu aśema aśyuḥ aśnīyuḥ aśāna aśitavya aśnuvanti aśnuve aśnutam aśnavāma aśnuvantu aśnuvīmahi āśa aṣṭa ānaśāna aśiṣyati aśīt aśiṣyat aśanīya aśyamāna aśnutaḥ aśnutha aśnuyāt āśnuvan aśiṣyasi ānaśma aśnuṣe aśnuvāte aśnavāva aśnutām aśnuvīya aśnīhi aśnuthāḥ aśnuta akṣat ānaśyām āśuḥ ānāśa aśnavanta aśnavaithe aśnutām aśnavāmahai āśatuḥ anaśāmahai aśnavan aśīthāḥ aśnuvat aśitvā aṣṭave aśnīyāḥ āśnām aśnīma aśnīta aśiṣyāmi aśiṣyāmaḥ aśnītam aśnīta aśnīmahi aśnīdhvam aśnate aśīḥ aśnan aśnāna 
as	syāt asti asi sat asmi āsīt astu syuḥ santi āsan syāma santu stha syām smaḥ āstām syātām asyat asat āsa āsam asta sthaḥ edhi svaḥ asaḥ syāḥ staḥ asyati sthana smasi stām asan ṣṭhā āsuḥ asati stād asāni asasi āḥ āsīḥ ṣṭha asyatha asya āsyat āsa asāni āḥ astā āsma stam sta asāma asatha asyasi asyamāna syāta āsatuḥ āsitha asyāmi syāva syātam āstam san asyanti asyatam asyatām asiṣyat asya astave syāmaḥ asathaḥ āsathuḥ syātana asātha āsima asyeyam asyet asyatu āsyan asiṣyanti asyate asyatām āse asyat astāsi asyatāt asya 
asūy	asūyat asūyāmi asūyati asūyanti asūyeta asūyet asūyitum asūyate asūyante asūyethāḥ asūyāmaḥ asūyiṣyāmi asūyāt asūyayitavya asūyayitvā 
ah	āha āhuḥ āttha āhatuḥ 
ākulay	ākulayat ākulayet 
āday	ādayet ādayanti ādayat 
āp	āpnoti āpnuyāt āpta āpa āptavat āpnuvanti āpnuhi āpsyasi āpuḥ āptvā āpnuyuḥ āpnuvan āpyante āptum āpnute āpyate āpatuḥ āpat āpnuyām āpya āpnotu āpnuyāḥ āpnot āpsyati āptavya āpya āpnomi āpsyāmi āpsyatha āpāma āpan āpe āpāna āpnoṣi āpnumaḥ āpnuyāma āpnutām āpsyanti āpsyate āpaḥ āpnuvadhvam āpnuyāmahe āpnuvanta āpnavat āpaḥ āpire 
āpay	āpayataḥ āpayet āpayāma 
āyay	āyita 
āśay	āśita āśayati āśayet āśayanti 
ās	āsīna āste āsate āsīta āstām āsyatām āssva āsata āsyate āse āsitum āsitvā āsta āsita āsse āsiṣye āsat āsāte āsya āsmahe āsāṃcakre āsva āsatām āsāṃcakruḥ āsātām ādhvam āsate āsāna āsāthe āsiṣi āsāṃcakrire āsadhvam āsanīya ādhve āsīthāḥ āsīran āsi āsmahi āsiṣyase āsiṣyate āsiṣyasi āsatha āsantu āstha āsāmahai āsātām āsata āsanta āsase āsātai āsitavya āsyamāna āsat āsyadhvam 
āsay	āsayitvā āsayati āsayāmāsa 
i	eti yanti etu yat eṣyati yantu iyāt āyan ihi īyuḥ ita eṣi īyate eṣyasi iyāya emi eṣyāmi eyivas īyivas eṣyanti ait ita eta īyāt īmahe eṣyat etā etavya iyām āyam īyatuḥ iyuḥ eṣyāmaḥ iyāna itaḥ itvā etave īyase itya īyamāna ayan etavai aima eṣyatha idhi inoṣi īyate aitana ayate imaḥ aiḥ aitam eṣyataḥ itām eṣyate itā āyata itana ayaḥ ayat imasi inoti iyatha ayanta etum ityai etoḥ invat aita eṣyāvaḥ ayāni ayāva itam īye iye iyāte iyate ayā ayati ayāma ainoḥ ainot yan aiyeḥ invire iyetha ayatām iyadhyai ayase 
iṅgay	iṅgaya iṅgayanti 
indh	iddha idhāna indhate indhāna idhyase idhyate indhate idhīmahi īdhire inddhe idhyamāna īdhe idhyasva indhām inadhate iddhvā īdhe idhyatām inddhi indhīta indhīran indhvam indhatām idhate 
indhay	indhayet indhayati indhita 
ilay	ilayata ilayati ailayīt ilayanti 
iṣ	icchāmi iṣṭa icchat icchasi iṣyate icchati icchanti icchet aicchat iyeṣa icchāmaḥ iccheyam icchāmahe eṣṭavya icchatha iṣita icchamāna icchāma aicchan icchate icche icchase iccha aicchata iccheyuḥ iṣṭvā iṣyamāṇa iccheta īṣuḥ iṣyati icchāvaḥ eṣe icchataḥ icchata eṣate icchante eṣa iṣṇat iṣyante aicchanta īṣe icchāt iṣṭavat iṣyat aiccham iṣyasi eṣya iṣye eṣitavya iccheḥ icchatu aicchaḥ aicchāma eṣiṣyāmaḥ īṣatuḥ iṣyāmi iṣyanti icchāvahe iccheya icchethāḥ icchasva icchatām icchā icchanta eṣiṣyamāṇa iyeṣa iṣe icchathaḥ icchetām icchāva aicchatām eṣiṣyati īṣathuḥ iṣyeta aiṣyat aiṣanta iccheran icchai icchāmahai iṣyeta iṣyatām iṣiṣyase iṣiṣyasi īṣate eṣatu icchaḥ icchat eṣaṇīya eṣṭavai iṣṇāsi iṣe iṣaṇat iṣanta īṣire iṣema iṣyāmi iṣyati iṣyata iṣadhyai iṣṇāna 
iṣay	iṣita iṣayat iṣayanta iṣayadhyai iṣayema 
īkṣ	aikṣata īkṣate īkṣeta īkṣita īkṣitum īkṣyate īkṣamāṇa īkṣya īkṣat īkṣata īkṣasva īkṣāṃcakre īkṣante īkṣet aikṣat īkṣase aikṣanta īkṣyamāṇa īkṣāmahe īkṣaṇīya īkṣitvā īkṣe aikṣe aikṣetām aikṣiṣṭa īkṣeya īkṣeran īkṣatām aikṣiṣi īkṣāṃcakrire īkṣyase īkṣeta īkṣyāmi īkṣaṣva aikṣyata īkṣata 
īkṣay	īkṣayet īkṣaya īkṣayati īkṣayantu īkṣayat īkṣayasva 
īḍ	īḍya īḍate īḍe īḍita īṭṭe īḍenya īḍiṣva īḍāna īḍīta īḍyase īḍire īḍyate īḍāmahai īḍata īḍata īḍe īḍitavya īḍyamāna 
īps	īpsat īpsita īpse īpsasi īpsati īpsan 
īpsay	īpsita īpsamāna 
īr	īrate īryamāṇa airat īratām airata īrṣva īrte īrāthām īrdhvam airatam airam 
īray	īrita īrayat īryate īrayet īraya airayat īrayati airayatam airayethām airayan īrayanti airayaḥ airayanta īrayāmi airayata īrayitvā īrayatha īrayāva īrayatam īrayāma īrayata airayam īrayate īrayat īrayanta īrayat īrayāmasi īrayāṇa īrayadhyai 
īrts	īrtset 
īrṣy	īrṣyati īrṣyet 
īṣ	īṣate īṣamāṇa eṣate eṣati īṣante eṣaḥ 
īś	īśāna īśe īśiṣe īśe īśāna īśata īṣṭe īśate īśāthe īśate īśire īśāte īśe īśīya īśīta īkṣe īśita īśmahe īśatā īśe īśidhve īśante īśiṣyasi īśate īśitavya īśyamāṇa īśitum īśat 
īh	īhate īhante īheta īhamāna īhita īhase aihata īhitum īhatuḥ īhat īhe īhasva īhet īheyuḥ īhatu 
ukṣ	ukṣita ukṣatu ukṣatam ukṣamāṇa ukṣat ukṣata aukṣan ukṣante ukṣanti ukṣantu ukṣate ukṣethām ukṣya 
ukṣay	ukṣayet ukṣayanta 
uc	ucita uvoca ucyati ucyatu ucyasi uvocitha ūciṣe ucyat okivas ūcivas 
ujh	ujhati ujhita ujjhitvā ujhat ujhanti ujhitum ujhatam ujhata aujhatām 
uñch	uñchanti uñchat uñchati 
utsukay	utsukayanti 
und	undantu unatti undanti ūduḥ aunat unatta undhi udyate undate undati undat 
ubj	ubja ubjatam aubjaḥ ubjatu ubjantu aubjat ubjaḥ ubjat 
ubh	unap aubhnāt ubhnāḥ ubdha 
uṣ	oṣati uṣyate oṣa oṣet oṣaḥ oṣat oṣatam uṣye auṣat oṣatāt uṣṇan oṣat uṣyat uṣṇat 
ūh	ūhya ohate ohate ūhitvā ūhati ūhe auhat auhata ohase ohāna ūhasi ūhati ūhet ūha auhatām auhan ūhyeta ūhate auhata auhiṣṭa ūhyate ūhyante ūhāmi ūhanti ūheḥ ūhet ūhyāthe ūhe ūhanīya ūhitum ūhyamāna ūhitavat ohasāna 
ūhay	ūhayet ūhayate 
ṛch	ṛcchati iyarti ārchat ānarchat ṛtvā archati iyarmi ṛcchatu ṛṇvati ṛchāt ṛcchanti ṛṇoḥ ṛccheyuḥ arta archanti ārat ṛṇvan ṛṇavaḥ āre aranta ṛcchat ārchatām ārchanta ṛcchet archet iyarṣi āruḥ ārta ṛcchantu iyarta ṛṇvanti ārata aram arāma arāmahi āriṣyasi ṛcchasi ṛcchataḥ ānarchatuḥ ārchetām ānarchuḥ archethāḥ archeta ṛṇve ṛṇvire āra āra ārata ṛṇomi ṛṇoti ārima aratam ṛṇuta ṛṇvathaḥ arīta āriṣyati arpipam archat ārivas ṛṇvat 
ṛj	ṛñjate ṛñjat ṛñjase arjasi arjati ṛñje ṛñjasāna ṛjyat ṛñjase ṛñjanti ṛñjata ṛjyate arjate arjanīya arjitum 
ṛdh	ṛddha ṛdhnoti ārdhnot ṛdhnuvanti ardhya ṛndhat ṛdhyate ṛdhyatām ṛdhyāma ṛdhyat ārdhnuvan ṛdhyate ṛdhyante ṛdhyāma ṛdhyante ṛdhyām ṛdhyāḥ ṛdhat ṛdhnuyām ānṛdhuḥ ṛdhyanti ṛdhyeta ānṛdhe ṛṇadhat ṛdhat ṛdhīmahi ṛdhāthe ṛddhiṣyati ṛdhyāsma 
ṛṣ	arṣati arṣa arṣanti arṣasi arṣat arṣantu arṣatu arṣata ārṣat arṣat ṛṣṭa ṛṣate ṛṣante ṛṣati 
edh	edhate edhita edhante edhamāna edhanti edhantām edhete edhasva edhiṣīya edhitum edhat edhati edhāṃbabhūvire edhire 
edhay	aidhayat edhayāmāsuḥ 
eṣay	eṣita eṣitvā eṣayet eṣitum eṣya eṣya 
kaṭṭay	kaṭṭayet 
kac	kacat 
katth	katthase katthate katthamāna katthitum katthante katthethāḥ kattheta katthasi katthati katthat 
kath	kathita kathanīya kathitum kathya kathyase akathyata acakathat kathitavya kathyat kathyamāna 
kathay	kathita kathayati kathyate kathayanti kathayāmi kathyatām kathaya kathayat kathayāmāsa kathayasva kathayiṣyāmi akathayat kathyamāna kathyante kathayet kathayitvā kathitavat kathayataḥ kathayiṣyanti kathayiṣye kathayiṣyati kathayantu kathayitum kathayasi akathayan kathayāmāsuḥ akathayam kathayāṃcakrire kathayatu kathayata kathayiṣyāmaḥ kathayadhvam kathayāmāsatuḥ kathayitavya kathayamāna kathayāṃbabhūva kathayāṃcakāra kathayāṃbabhūvuḥ kathaye kathayante kathayāmaḥ kathayeyam kathayatha kathayeḥ kathayatām kathayiṣyasi kathayiṣyathaḥ kathyete kathayatām kathayase kathayate kathayete kathayāmahe kathayāṃcakre kathayatām kathayāmāstām kathayiṣyat 
kan	cakāna cākan cakāna cākan cake cākanaḥ cākanat cake cākana cākananta kanat cākanāma cākanyāt cākandhi cākantu akāniṣam kāniṣaḥ kāyamāna 
kanikrad	kanikradat kanikranti kanikradat kanikradat kanikrat 
kam	cakame kamanīya cakamāna acakamata kānta kāmya cakamire cakamuḥ kāmyanti kāmanīya 
kamp	kampita cakampe akampata kampate kampamāna cakampire kampante kampati akampat kampyamāna kampeta akampanta kampanti kampa kampase cakampa cakampatuḥ cakampuḥ kampat 
kampay	kampayat akampayat kampita akampayata kampayitvā kampayet kampayāmāsa kampaya kampayati kampayanti akampayan kampayate kampayiṣyāmi kampayitum kampayatu akampayetām kampayāmāsatuḥ kampayāna 
karikṛ	karikrat karikrati 
karṇay	karṇayat 
kartay	kartita kartayet kartayāmāsa 
karṣay	karṣita karṣayet karṣayat karṣayitvā karṣayāmi karṣayati karṣayanti 
karśay	karśita karśayati karśayat karśayanti karśayet karśayāmāsuḥ karśanīya karśayitvā karśayāmaḥ karśayāmāsa 
kal	kalanīya 
kalay	kalita kalayat kalayati kalayate kalayet kalayāmi kalaya kalyatām kalayatu kalyate kalayasi kalayanti kalayatitarām kalayāmāsa kalayitvā kalyamāna 
kalpay	kalpita kalpayet akalpayat kalpayati kalpyate kalpayitvā kalpayāmāsa kalpayanti akalpayan kalpayāmi kalpayat kalpaya kalpyante kalpayatu kalpayitum kalpayiṣyati kalpyatām kalpayitavya kalpayasi kalpya kalpayāti kalpyamāna kalpayāmaḥ kalpayiṣyanti kalpitavat kalpayeyuḥ kalpayata kalpaye kalpayasva kalpayāmāsuḥ kalpyeta kalpayeyam kalpayāni kalpayatām kalpayantu akalpayata kalpayate kalpayeta kalpayāvahai kalpayadhvam kalpayantām akalpayathāḥ akalpayanta kalpayiṣyate kalpayāṃcakruḥ kalpeti kalpenti kalpayaḥ kalpayat kalpayāṃcakre kalpayāṃcakrire akalpyata akalpyanta kalpayiṣyāma kalpayat kālpya kalpayāna 
kaṣ	kaṣat kaṣati kaṣanti kaṣet kaṣamāṇa 
kāṅkṣ	kāṅkṣita kāṅkṣati kāṅkṣat kāṅkṣamāṇa kāṅkṣante kāṅkṣate kāṅkṣe kāṅkṣase kāṅkṣāmi kāṅkṣanti kāṅkṣet kāṅkṣasi kāṅkṣāmaḥ akāṅkṣat kāṅkṣiṣyati kāṅkṣeta kāṅkṣatu kāṅkṣata kāṅkṣantu cakāṅkṣa kāṅkṣāvahe kāṅkṣasva kāṅkṣiṣye ākāṅkṣva kāṅkṣitavya kāṅkṣaṇīya 
kāmay	kāmayate kāmaye kāmayeta akāmayata kāmayāna kāmayamāna kāmya kāmayet kāmayante kāmayāmāsa kāmayase kāmita akāmayanta kāmayati kāmayāmi kāmyate kāmayitavya akāmayetām kāmayeyam kāmayanti akāmayat kāmayantām kāmayīta kāmayethe kāmayāmahe kāmayadhve akāmayan kāmayiṣyāmi kāmayāmāsatuḥ kāmayat kāmayiṣye kāmayasva kāmayāse kāmayādhve kāmayat kāmayitum kāmayitvā 
kāray	kārayet kārita kārayāmāsa kārayitvā akārayat kārayati kāraya kārayat kārayitum kāryate kāritavat kārayanti kārayiṣyāmi kārayeyam kārayeta kārayate kārayāmi kārayiṣyati kārayantu kārayāmaḥ akārayan kārayiṣyanti kārayeyuḥ kārayitavya kārayāmāsuḥ kāryatām kārayata kārayethāḥ kārayasva kārayadhvam kārayiṣyat kārayasi akārayam kārayiṣyāmaḥ kāryete kārayāṃcakāra kārayāmāsatuḥ akārayāmāsa kārayat kāryantām kārayitā kārya kārayamāṇa kārya kāraṇīya kāryamāṇa kārayamāna 
kālay	kālyamāna kālyante kālayāmāsa kālayanti kālayat kālayate akālayanta kālayati akālayat kālayiṣyati kālyate kālayāna 
kāś	cakāśire cakāśe cakāśete cakāśetām kāśita 
kās	kāsate kāsamāna kāset kāseta cakāse 
kīrtay	kīrtita kīrtyate kīrtayet kīrtayat kīrtyamāna kīrtayiṣyāmi kīrtayanti kīrtaya kīrtanīya kīrtyante kīrtayati kīrtayāmi kīrtayiṣyanti kīrtayitvā kīrtayeta kīrtya kīrtayate kīrtitavya akīrtayat kīrtayiṣye kīrtayasva kīrtayāḥ kīrtayasi akīrtayan kīrtaye kīrtayase kīrtayatu kīrtayantu kīrtayāmāsa kīrtayāṃścakruḥ akīrtye kīrtayiṣyamāṇa kīrtyat kīrtya kīrtitavat kīrtayāna 
kīlay	kīlita kīlaya 
kuṭ	kuṭyāt kuṭyamāna kuṭita 
kuṭṭay	kuṭṭita kuṭṭayet kuṭṭayitvā kuṭṭayāmāsa kuṭṭayat kuṭṭayati kuṭṭayanti kuṭṭayante 
kuṇṭhay	kuṇṭhita kuṇṭhayati 
kuñc	kuñcita kuñcyamāna 
kuñcay	kuñcita 
kutsay	kutsita kutsayat kutsayet kutsayitvā kutsayāmi kutsayase kutsya 
kup	kupita kupyati cukopa kupyanti kupyate kupyet kupyasi kupye kupyat kopya kupyāmi kupya kupyataḥ kupyata akupyam kupyante kupyeta kupyeran cukupe kopiṣṭhāḥ kupitvā 
kuṣ	kuṣṇāti kuṣṇīyāt 
kūj	kūjat kūjita kūjati kūjanti kūjet cukūja kūjitavya kūjamāna kūja akūjam cukūjuḥ kūjase kūjante 
kūrd	kūrdat 
kūlay	kūlita 
kṛ	kṛta kṛtvā kuryāt kārya karoti kartavya kurute kartum kuru cakāra cakre kurvat akarot cakruḥ kurvanti kurvīta kriyate kṛtavat kariṣyāmi kariṣyati kriyatām karomi kuruṣva kuryuḥ kurvāṇa kṛthāḥ kṛdhi kriyamāṇa kurvate kariṣye karaṇīya karavāṇi cakrire kariṣyasi cakratuḥ kariṣyanti kuryām kīrṇa kirat karotu kṛṇomi kariṣyāmaḥ kartā kṛṇotu kṛṇvat kuruta kṛtya kartāsmi akārṣīt akurvan karoṣi kṛṇoti kriyante kurudhvam kariṣyat akurvata kārṣīḥ kṛṇu kuruṣe akāri kṛṇute akurvanta cakartha kurmaḥ kurvantu kaḥ karat kuryāḥ akaram akaḥ kṛṇudhvam kṛṇvāna cakrāte akrata akārṣuḥ kṛṇavat karat cakṛma akaravam cakrathuḥ kṛṇuhi karaḥ kṛṇuhi kariṣyatha akran kīryamāṇa kurutaḥ kriyantām kariṣyataḥ akṛṇvan akārṣam kṛṇuṣva cakṛmā kṛtam kṛṇoṣi kaḥ kṛdhī kartva akārṣīḥ akṛṇoḥ kṛṇuta kurvīthāḥ cakrivas akṛta akṛṇot akarma kṛṇmaḥ cakṛṣe karavāma kurutām akṛṇot karati cakre akuruta kariṣyate kriyeta karāmahe kṛṇvantu krāṇa kurvīya acīkarat kartāsi kṛṇute kṛṇuṣva kṛṇutha kṛṣva karta kṛṇavaḥ karam kuryāma akaroḥ kartāraḥ kṛṇve kṛṇvanti kṛṇutam kartave cakrāṇa kuryātām kurve akṛthāḥ kārṣīt akaḥ akṛṇvata kṛṇuṣe kṛṇota kṛtvī akurutām kariṣyāvaḥ cakra kurmahe kariṣyāmahe karavāmahe kurmi karate kartana kṛṇvate kṛṇavāmā akṛṇvata kṛṇotana karma akarat kurvāte kurvīran kariṣyase kṛdhvam kartāham karot kṛṇavan kṛṇavanta karan kṛṇuta kṛṇuthaḥ kṛṇutam kṛṣe kiranti cakṛma akāriṣam kurutha kurvatām akṛṇvan karavāva kārṣiḥ kriyāt karavāmaḥ kariṣyadhvam akriyata kurma kriyāsuḥ kṛṇavāma kṛṇavate kṛṇvata kṛthaḥ akarta akṛṇutam kṛṇutām kṛṇutāt akṛṇotana kṛṇmasi kartavai kiret kira akāriṣam kurvaḥ akaraḥ kriyete kurutam kurutām kurvīmahi akurmahi kṛṇvantu kariṣyāvahe akri acīkaran akariṣyaḥ akariṣyat kariṣyāma kriyeran akurvatām akriyanta kṛṇavai karāṇi karasi karathaḥ karataḥ karāma kartam kṛṇavāma kṛṇutām akṛṇuta kṛṇmahe karatām kṛṇvīta kariṣyāḥ karā krat kuryātam cakara cakrāthe karavai karavāmahai akurvahi kariṣyete akariṣyam kartārau akariṣyata kariṣyāva kriyāsma acīkṛthāḥ karoḥ akṛtam karavāvahe kurutām kuryāmaḥ kurvan kṛṇavase kṛṇavāvahai kṛṇavāmahai kṛṇvaite karanti karase kṛta kṛṇavā kṛṇavāva kriyāma kṛṇutaḥ akṛṇutam akṛṇudhvam kṛtha akartām karatam kṛdhvam kṛṇavan askṛta cakaram acakrat kartana akṛṇota kuruthāḥ kārṣuḥ kṛṇavatha kṛta kṛṣīṣṭhāḥ acakriran kṛtam cakriyāḥ karavat kṛṇavam karavāt kārṣṭa kran karavaḥ cakṛvas kirāmi kirasi kirati kirantu akirat akiran kirate akīryata kāriṣat kirāsi karaṇīya kiramāṇa akārīt 
kṛt	kṛtta cakarta kṛntati kṛntanti akṛntan kṛtya kṛntat akṛntat akṛntata kṛntata kṛtyamāna kṛntāmi kṛntasi kṛntet akṛntatām kartsyāmi cakartitha kṛntate kṛtyate kṛndhi kṛntat kartiṣyanti akṛtaḥ karttavya kartya kartitvā kṛntamāna kartitum kṛṇatti 
kṛntay	kṛntita 
kṛp	akṛpanta kṛpamāṇa kṛpate akrapiṣṭa akṛpetām cakṛpanta akṛpran kṛpanta kṛpyamāṇa kṛpamāna 
kṛpāy	kṛpāyeta kṛpāyīta kṛpāyamāṇa 
kṛṣ	kṛṣṭa kṛṣyamāṇa karṣati karṣat cakarṣa kṛṣyate karṣet kṛṣyat kṛṣat karṣanti kṛṣyase kṛṣati kṛṣyatām kṛṣṭvā karṣamāṇa karṣata karṣantu cakarṣuḥ kṛṣyante kṛṣanti kṛṣet kṛṣatu karṣaṇīya karṣasi karṣathaḥ karṣa karṣatu akarṣat acīkṛṣam cakṛṣatuḥ karṣate akarṣata kṛṣāmi kṛṣyeta cakarṣāte cakṛṣire kṛṣyantām cakarṣatuḥ kṛṣeyam kṛṣeyuḥ kṛṣyet akṛṣyata akṛṣyetām kṛṣe kṛṣate karṣat karṣat kṛṣasva kṛṣata kṛṣantu akṛkṣāma akṛkṣata kṛṣiṣyanti kṛṣṭavat kraṣṭavya kraṣṭum kṛṣya kṛṣāṇa 
kṛś	kṛśyati kṛśyanti kṛśāmi cakarśa kṛśita karśanīya 
kopay	kopita kopayet kopayat kopayati kopayitvā kopayanti kopayāmi kopayatha kopayeḥ akopayan kopayiṣyanti kopayāmāsa kopayeta kopayase kopayasva kopayaḥ kopayat kopayitum kopayāna 
krand	krandat acikradat kranda cakranda akrān krandamāna krandati krandanti krandat cakradat akrandaḥ akrandat krandate cakranduḥ cakradaḥ kradaḥ krandita krandasi krandatu akrandan acikradaḥ acikradan krandante akrān akran cikradaḥ cikradat krandya kranditvā kranditavya 
kranday	krandaya akrandayaḥ akrandayan 
kram	kramate krānta krāmati akramīt cakrame krame krāma kramasva akramuḥ krāmat kramamāṇa kramat kramatām kramet kramati krāmanti krāmet akramata krāmate kramante krāmyati cakramāṇa krāmema cakrāma krameyam kramiṣyati cakramuḥ cakramanta kramiṣṭa krāntvā krāntum krāmatam krāmantu akrāmat akramīḥ kramyate krameta krameran kramadhvam kramanti akraman akramīm kramīḥ kramiṣṭam kraṃsate kramāma cakramāthe kramuḥ kramiṣyanti kramya kramaṇīya krāntavat kramitvā 
kramay	kramita 
krāmay	krāmita krāmayet krāmaya krāmayati 
krī	krīta krītvā krīṇīyāt krīṇanti akrīṇan krīṇat krīṇīṣva kretavya kretum krayya krīṇāsi krīṇāti krītavat krīyamāṇa krīṇāmi krīṇīyāta krīṇīyuḥ krīṇate krīṇīta krīyatām krīyate kreṣyat kreya cikrītavat 
krīḍ	krīḍat krīḍate krīḍati krīḍanti krīḍamāna krīḍita cikrīḍa krīḍitvā cikrīḍuḥ krīḍet krīḍa krīḍase krīḍante krīḍitum krīḍataḥ krīḍeyam cikrīḍatuḥ akrīḍata krīḍasva krīḍasi krīḍāmaḥ krīḍatu krīḍantu krīḍāmi krīḍatha krīḍata akrīḍat krīḍiṣyāvaḥ krīḍiṣyāmaḥ cikrīḍa krīḍe krīḍāmahe krīḍeta krīḍiṣyat krīḍyamāna 
krīḍay	krīḍayitvā krīḍayat krīḍayāmi krīḍayan krīḍayasva krīḍayāmāsa 
krudh	kruddha cukrodha krudhaḥ krudhyat kroddhum akrudhyat krudhyati cukrudhuḥ krudhyanti akrudhyata krudhyet krudhyate krudhyeta cukrudhāma krudhyataḥ krudhyeḥ acukrudhat krudhyethāḥ krudhyate krudhyasva akrudhyanta cukrudhe cukrudham krodhanīya 
kruś	krośat cukruśuḥ cukrośa krośanti krośamāna krośati krośatu akrukṣat krośāmi krośataḥ krośet krośantu akrośan krośate krośeta akrośata akrośanta kruśyate kruṣṭa kroṣṭum kruśyamāna kruśitvā 
klam	klānta klāmyanti klāmyamāna 
klid	klinna klidyati kledya klidyate klidyanti klidyat klidyamāna 
