Лемма	Класс	Форма	Частота
pravṛt	1	pravṛtta	645
kṣip	6	kṣiptvā	639
chid	1	chinna	633
naś	1	naṣṭa	633
dā	1	dadau	632
āśri	1	āśrita	632
gam	6	gaccha	631
kṛ	2	kurvat	627
vijñā	9	vijñeya	626
vid	6	vidyate	624
muh	4	mūḍha	622
pūjay	10	pūjayet	620
vṛt	3	vartate	615
pratiṣṭhā	1	pratiṣṭhita	615
bhī	1	bhīta	614
āp	1	āpnoti	610
praviś	4	praviṣṭa	608
gam	6	gacchet	607
khyā	4	khyāta	601
prasad	1	prasanna	601
hṛ	2	hṛta	600
as	2	santi	590
vac	2	vaktum	586
man	8	manye	582
tuṣ	4	tuṣṭa	577
grah	6	gṛhīta	575
bhāvay	10	bhāvita	573
car	1	caret	567
dṛś	6	paśyati	565
grah	6	grāhya	563
car	1	carat	559
mad	3	matta	557
samprāp	5	samprāpta	554
dṛś	6	paśyāmi	553
āsthā	1	āsthāya	553
viśru	5	viśruta	550
rudh	6	ruddhvā	545
vac	2	vakṣyāmi	539
vyavasthā	1	vyavasthita	537
dru	1	druta	536
yojay	10	yojayet	532
vac	2	avocat	529
pravac	2	pravakṣyāmi	528
saṁsthā	1	saṃsthita	528
saṁkrudh	4	saṃkruddha	528
svap	1	supta	525
niśā	3	niśita	523
yā	2	yāta	521
prakīrtay	10	prakīrtita	517
dṛś	6	draṣṭum	516
bhañj	4	bhagna	514
vivarjay	10	vivarjita	514
ās	4	āsīna	513
atī	1	atīta	509
pravṛt	1	pravartate	508
kṛ	2	akarot	507
vad	1	udita	504
iṣ	1	icchat	503
paś	4	apaśyat	502
praviś	4	praviśya	502
utpad	4	utpanna	500
dhṛ	4	dhṛta	499
āyam	6	āyata	497
śru	4	śrotum	496
ācar	1	ācaret	495
kathay	10	kathayati	493
bandh	4	baddhvā	493
vṛt	3	vartamāna	492
sev	4	sevita	490
pā	1	pīta	487
avasthā	1	avasthita	487
udyam	6	udyata	487
vyadh	4	vivyādha	486
āsthā	1	āsthita	483
praṇam	1	praṇamya	481
saṁvṛ	9	saṃvṛta	480
sādhay	10	sādhya	479
vid	6	vidita	475
viśudh	4	viśuddha	473
vid	6	viddhi	471
vraj	1	vrajet	470
kṛ	2	cakruḥ	469
vad	1	vadanti	467
utthā	1	utthita	467
cyu	1	cyuta	465
pīḍay	10	pīḍita	465
bhāvay	10	bhāvayet	465
jīv	1	jīvat	463
brū	2	abruvan	463
piṣ	1	piṣṭvā	463
bhūṣay	10	bhūṣita	463
śak	4	śakta	462
samāsāday	10	samāsādya	460
jap	4	japet	457
kṛ	2	kurvanti	456
dā	1	dadāti	454
upapad	4	upapanna	452
pū	1	pūta	449
car	1	carati	448
chid	1	cicheda	448
kṛ	2	kurvīta	446
sthā	1	tiṣṭhat	444
iṣ	1	icchasi	442
brū	2	brūyāt	441
kṛ	2	kriyate	438
sṛj	2	sṛṣṭa	438
dham	1	dhmāta	436
alaṁkṛ	8	alaṃkṛta	436
prāp	1	prāpnoti	433
vyākhyā	2	vyākhyāsyāmaḥ	432
as	2	āsan	429
śā	4	śita	425
bhāṣ	1	abhāṣata	425
piṣ	1	piṣṭa	424
gam	6	jagmuḥ	421
viśiṣ	7	viśiṣṭa	421
han	6	jaghāna	420
jan	4	jajñe	419
āpad	4	āpanna	416
utthā	1	utthāya	414
bhū	1	abhavan	413
vṛt	3	vṛtta	412
gam	6	gacchat	411
vad	1	vadat	407
muc	6	mucyate	406
dhāray	10	dhārayet	405
grah	6	jagrāha	401
arday	10	ardita	401
bhū	1	bhaviṣyanti	400
parivṛ	5	parivṛta	397
prahṛṣ	4	prahṛṣṭa	396
dham	1	dhamet	395
samāgam	6	samāgata	394
vikhyā	2	vikhyāta	393
prativac	3	pratyuvāca	391
mṛd	9	mardya	388
bhū	1	bhavatu	387
pat	1	papāta	387
pūjay	10	pūjya	383
upasthā	1	upasthita	383
parikīrtay	10	parikīrtita	383
snā	2	snāta	382
vimuc	6	vimukta	382
tyaj	1	tyakta	381
abhidhā	3	abhihita	381
nirmā	2	nirmita	381
kīrtay	10	kīrtita	379
vyadh	4	viddha	378
pā	1	pītvā	378
samman	8	saṃmata	377
yuj	6	yojya	373
sthā	1	tasthau	373
jīv	1	jīvet	372
samācar	1	samācaret	372
iṣ	1	iṣyate	368
pravac	2	provāca	368
ās	4	āste	367
labh	1	labdhvā	367
bhakṣay	10	bhakṣayet	367
utsṛj	6	utsṛjya	366
vibhūṣay	10	vibhūṣita	366
jāray	10	jārayet	365
tyaj	1	tyajet	363
ārabh	1	ārabdha	361
kṣip	6	kṣipta	360
su	6	suta	360
vigam	6	vigata	360
iṣ	1	icchati	359
pracch	1	papraccha	359
vidhā	3	vidhīyate	358
virudh	7	viruddha	358
brū	2	bravīmi	357
vac	2	vācya	356
udāhṛ	2	udāhṛta	356
īray	10	īrita	355
ākhyā	4	ākhyāta	355
jīv	1	jīvati	354
vid	2	vidyate	354
dṛś	6	dadṛśuḥ	353
kup	4	kupita	352
gam	6	gacchanti	352
jan	4	jāyante	352
vid	6	viditvā	352
mṛ	4	mriyate	349
varjay	10	varjayet	348
bhū	1	babhūvuḥ	346
gup	1	gupta	345
han	6	hanyāt	345
āp	1	āpnuyāt	344
ji	9	jayet	344
prasidh	4	prasiddha	344
jval	1	jvalat	343
āviś	6	āviṣṭa	342
vyākhyā	2	vyākhyāta	341
sthā	1	tiṣṭha	338
samāyuj	7	samāyukta	338
brū	2	bruvat	337
bhuj	6	bhuktvā	337
niśāmay	10	niśamya	333
man	8	manyate	331
vac	2	uktavat	329
yaj	2	yajamāna	328
hṛ	2	haret	328
nibudh	4	nibodha	328
vikṛ	5	vikṛta	328
vid	6	vidvas	324
praśaṁs	1	praśasta	324
sambhū	1	sambhūta	323
kathay	10	kathyate	322
lip	4	lipta	322
lepay	10	lepayet	321
prāh	1	prāhuḥ	320
gam	6	gantum	319
mūrchay	10	mūrchita	319
praviś	4	praviveśa	318
bhuj	6	bhukta	316
coday	10	codita	316
kṛ	2	kṛtavat	315
bhū	1	bhavitā	314
hā	1	hitvā	314
samṛdh	4	samṛddha	314
kṛ	2	kariṣyāmi	313
gam	6	agamat	313
sthāpay	10	sthāpayet	311
yā	2	yayuḥ	310
man	8	manyase	310
marday	10	mardita	310
prayuj	7	prayukta	310
kṛ	2	kariṣyati	308
vad	1	vada	308
dṛś	6	dṛśyante	308
āśri	1	āśritya	307
aś	1	aśnute	305
guh	6	gūḍha	305
dṛś	6	paśyanti	303
sampṛ	3	sampūrṇa	303
pat	1	patat	302
kṛ	2	kriyatām	301
labh	1	labhet	301
udi	4	udita	301
nirji	1	nirjita	301
prayā	2	prayayau	301
yā	2	yāhi	300
āpat	1	āpatat	300
nyas	2	nyasta	300
abhivāday	10	abhivādya	300
śī	1	śayāna	299
anuprāp	5	anuprāpta	299
saṁskṛ	8	saṃskṛta	299
han	6	hantum	298
nivṛt	1	nivṛtta	297
dam	4	dānta	295
hu	3	hutvā	294
mohay	10	mohita	293
avāp	5	avāpnoti	293
saṁtap	4	saṃtapta	293
dviṣ	1	dviṣat	292
vidhā	3	vidhāya	292
anugam	1	anugata	291
dāpay	10	dāpayet	291
e	2	ehi	290
parityaj	1	parityajya	290
juṣ	6	juṣṭa	289
sthā	1	tiṣṭhanti	289
chid	1	chittvā	288
viś	4	viveśa	288
abhihan	4	abhihata	288
kalpay	10	kalpita	287
sādhay	10	sādhita	287
dā	1	dātavya	284
prajan	4	prajāyate	283
vṛdh	6	vṛddha	282
mā	4	mita	282
vadh	4	vadhyamāna	282
nikṣip	6	nikṣipet	282
rud	1	rudat	281
nī	2	nīta	280
śaṁs	2	śaṃsati	280
ālokay	10	ālokya	279
vijñā	9	vijñāya	279
man	8	matvā	278
avāp	5	avāpnuyāt	278
bhid	6	bhittvā	277
īpsay	0	īpsita	277
āruh	6	ārūḍha	276
upaviś	6	upaviṣṭa	276
rakṣ	4	rakṣita	275
ji	9	jitvā	274
kṛ	2	karomi	272
vas	2	vasat	272
śrī	4	śṛta	272
bhū	1	bhaviṣyasi	271
hu	3	juhuyāt	271
saṁjan	4	saṃjāta	270
svid	4	svinna	269
āgam	6	āgatya	269
sampūjay	10	sampūjya	269
nyas	2	nyaset	268
vismi	1	vismita	268
same	2	sametya	268
paś	4	paśyet	267
āruh	6	āruhya	267
prahas	1	prahasat	265
ji	9	jayati	264
sthāpay	10	sthāpita	264
śram	1	śrānta	264
uddhṛ	1	uddhṛtya	264
upe	2	upaiti	264
vistṛ	9	vistīrṇa	264
mahīy	0	mahīyate	264
ākṛ	6	ākīrṇa	263
utpad	4	utpadyate	263
śru	4	śrūyate	262
bhā	2	bhāti	262
lubh	4	lubdha	262
dā	1	dehi	260
ācakṣ	1	ācakṣva	260
vī	2	vīta	260
jñā	4	jānāti	259
upāgam	1	upāgata	259
puraskṛ	8	puraskṛtya	259
vṛdh	6	vardhate	258
hu	3	juhoti	258
bhāṣ	1	bhāṣita	258
nidhā	3	nidhāya	258
prasū	2	prasūta	258
śru	4	śṛṇvat	257
hu	3	huta	257
vad	1	avadat	256
vīkṣ	4	vīkṣya	256
bhuj	6	bhuṅkte	255
āyā	2	āyānt	255
dhyā	3	dhyātvā	254
sañj	1	sakta	254
āgam	6	āgamya	254
nidhā	3	nihita	254
praśaṁs	1	praśasyate	254
pre	2	pretya	254
praṇam	1	praṇata	253
nam	1	nata	252
cūrṇay	0	cūrṇita	252
āyā	2	āyāti	252
samīkṣ	1	samīkṣya	252
samutpad	4	samutpanna	252
cintay	10	cintayat	251
śru	4	śrūyatām	251
āhan	2	āhata	251
vihā	3	vihīna	251
vinikṣip	6	vinikṣipet	250
saṁgam	6	saṃgata	250
vac	2	vaktavya	249
nirdiś	6	nirdiṣṭa	249
same	2	sameta	249
anujñā	9	anujñāta	248
saṁmā	3	saṃmita	248
tṛp	6	tṛpta	247
muc	6	muktvā	247
vas	2	vaset	247
mud	1	mudita	247
bhṛ	1	bibhrat	246
śobhay	10	śobhita	246
prekṣ	1	prekṣya	246
jñā	4	jñāta	245
vas	2	uṣita	245
śī	1	śete	245
sthā	1	sthitvā	243
prayam	1	prayata	243
jñā	4	jānat	242
sṛj	2	asṛjat	241
āgam	6	ājagāma	241
saṁrabh	1	saṃrabdha	241
niram	1	nirata	240
puṭ	6	puṭet	240
antardhā	3	antarhita	239
nihan	2	nihatya	239
vac	2	vakṣye	238
upādā	3	upādāya	238
niści	5	niścita	238
samākhyā	4	samākhyāta	238
darśay	10	darśita	237
upahan	2	upahata	236
niṣad	1	niṣaṇṇa	236
prayā	2	prayāta	236
abhibhū	1	abhibhūta	235
śaṁs	2	śasta	234
bhraṁś	1	bhraṣṭa	234
unmad	4	unmatta	234
pūjay	10	pūjayitvā	233
prayam	1	prayacchati	233
arcay	10	arcayet	233
abhye	2	abhyetya	232
unnam	1	unnata	232
bhojay	10	bhojayet	232
nirmuc	6	nirmukta	232
dā	1	dadāmi	231
hā	1	jahi	231
pragrah	9	pragṛhya	231
arcay	10	arcita	230
śudh	4	śudhyati	229
prayojay	10	prayojayet	229
prasthā	1	prasthita	229
dhā	1	dadhāti	228
yuj	6	yujyate	227
labh	1	lebhe	227
vid	6	vetti	227
abhidhā	3	abhidhīyate	227
bhā	2	babhau	226
vihā	3	vihāya	226
gad	1	jagāda	225
ruc	1	rocate	225
praṇipat	1	praṇipatya	225
sambhū	1	samabhavat	224
kṛ	2	kuruṣva	223
tvar	1	tvarita	223
vinirmuc	6	vinirmukta	223
gam	6	gamiṣyāmi	222
grah	6	gṛhya	222
vyadh	4	viddhvā	222
śaṁs	2	śasyate	222
āmantray	0	āmantrya	222
e	2	etya	222
aś	1	aśnīyāt	221
kathay	10	kathayanti	221
muc	6	mumoca	221
sādhay	10	sādhayet	221
nipātay	10	nipātita	221
samādā	3	samādāya	221
iṣ	1	icchanti	220
janay	10	janita	220
budh	1	buddhvā	220
nihan	2	nihanti	220
bhū	1	bhūt	219
dā	1	dātum	219
yam	6	yata	218
ji	9	jaya	217
samuddhṛ	2	samuddhṛtya	217
i	5	yanti	216
bhuj	6	bhuñjīta	216
uddiś	6	uddiśya	216
arpay	10	arpita	215
parī	2	parīta	215
praśam	1	praśānta	215
vimarday	10	vimardayet	215
añj	7	akta	214
śru	4	śṛṇuṣva	214
pat	1	patati	212
uddhṛ	1	uddhṛta	212
vinī	1	vinīta	212
vad	1	vadet	211
śās	1	śiṣṭa	211
upaśobhay	10	upaśobhita	211
car	1	cacāra	210
nirgam	6	nirgata	210
satkṛ	8	satkṛta	210
vedhay	10	vedhayet	210
vid	6	veditavya	209
bhāvay	10	bhāvya	209
bhū	1	bhavat	207
bhakṣay	10	bhakṣita	207
nipat	1	nipatita	207
grah	6	gṛhṇīyāt	206
chad	1	channa	206
yudh	2	yudhyamāna	205
iṣ	1	icchet	204
kṣip	6	cikṣepa	204
brū	2	bruvāṇa	204
sveday	10	svedayet	204
niṣev	1	niṣevita	204
saṁhṛṣ	1	saṃhṛṣṭa	204
adhiṣṭhā	1	adhiṣṭhita	203
sidh	4	sidhyati	203
ākarṇay	0	ākarṇya	203
vyāp	5	vyāpta	203
jval	1	jvalita	202
dhyā	3	dhyāyat	201
pātay	10	pātita	201
upe	2	upetya	200
paś	4	apaśyam	199
spṛś	6	spṛṣṭa	199
utsṛj	6	utsṛṣṭa	199
upapad	4	upapadyate	199
car	1	caranti	198
darśay	10	darśayat	198
lip	4	liptvā	198
sthā	1	tiṣṭhet	197
hṛ	2	harati	197
vadh	4	vadhya	197
kṛ	2	kuryuḥ	196
āhṛ	1	āharet	196
ucchri	1	ucchrita	196
śak	4	śakyate	195
stu	1	stuta	194
smṛ	1	smarat	194
ādā	4	ātta	194
pradā	3	prādāt	194
saṁyam	1	saṃyata	194
dṛś	6	draṣṭavya	193
janay	10	janayati	193
vyath	1	vyathita	193
uddiś	6	uddiṣṭa	193
prayā	2	prāyāt	193
as	2	syāma	192
jan	4	ajāyata	192
bhū	1	bhavataḥ	192
avekṣ	1	avekṣya	192
atikram	6	atikramya	191
dṛś	6	dadṛśe	191
tras	4	trasta	191
pradāpay	10	pradāpayet	191
dṛś	6	dṛśya	190
daṁś	1	daṣṭa	190
as	2	santu	189
jñā	4	jānāmi	189
brū	2	brūte	189
pū	1	pavamāna	189
naś	1	naśyati	189
sev	4	sevya	189
vitan	8	vitata	189
parivāray	10	parivārya	189
cintay	10	cintayāmāsa	188
pācay	10	pācayet	188
kṛ	2	kurvāṇa	187
pāyay	10	pāyayet	187
karśay	10	karśita	187
pratipad	4	pratipadyate	187
pramuc	6	pramucyate	187
samprekṣ	4	samprekṣya	187
pā	2	pāhi	185
pradā	3	pradadau	185
kṣan	8	kṣata	184
has	1	hasat	184
grah	6	gṛhṇāti	183
nī	2	nayet	183
pat	1	patanti	183
sev	4	seveta	183
avāp	5	avāpa	183
prapad	4	prapanna	183
saṁsṛj	6	saṃsṛṣṭa	183
gā	4	agāt	182
avāp	5	avāpya	182
bhṛ	1	bibharti	181
abhigam	1	abhigamya	181
vṛ	5	vṛta	181
āropay	10	āropya	181
pratigrah	9	pratigṛhya	181
jap	4	japat	180
bhū	1	bhavat	180
dā	1	dīyate	180
upalabh	1	upalabhyate	180
antardhā	3	antardhīyante	179
udbhū	1	udbhūta	179
viji	1	vijita	179
saṁśri	1	saṃśrita	179
dhā	1	dhatte	178
prath	1	prathita	178
avaśiṣ	7	avaśiṣṭa	178
upaci	5	upacita	178
pradīp	4	pradīpta	178
samāvṛ	5	samāvṛta	178
pravṛdh	1	pravṛddha	177
viṣad	1	viṣaṇṇa	177
vac	2	vakṣyamāṇa	176
yojay	10	yojita	176
car	1	carita	175
pā	2	pātu	175
dah	2	dahet	174
sphur	6	sphurat	174
śodhay	10	śodhayet	174
udāhṛ	2	udāharanti	174
upasaṁkram	1	upasaṃkramya	174
samutthā	1	samutthita	174
gras	1	grasta	173
vas	2	vasati	173
man	8	mene	173
dah	2	dahyamāna	173
pac	1	pacyāt	173
āyā	2	āyāta	173
kathay	10	kathayāmi	172
krīḍ	1	krīḍat	172
dāś	5	dāśvas	172
avatṛ	6	avatīrya	172
prasad	1	prasīda	172
saṁhan	2	saṃhata	172
saṁcintay	10	saṃcintya	172
arjay	10	arjita	171
majj	1	magna	171
āhṛ	1	āhṛta	171
udyam	6	udyamya	171
vinaś	4	vinaṣṭa	171
yat	1	yatta	170
ram	4	ramate	170
abhibhāṣ	1	abhyabhāṣata	170
lag	1	lagna	170
ānī	1	ānīya	170
pariṣvaj	1	pariṣvajya	170
namaskṛ	8	namaskṛtya	170
kṛ	2	kṛthāḥ	169
sṛj	2	sasarja	169
māray	10	mārayet	169
veṣṭay	10	veṣṭita	169
āsañj	1	āsakta	169
preṣay	10	preṣita	169
visṛj	4	visṛjya	169
vac	2	vakṣyati	168
pā	1	pibat	168
nikṣip	6	nikṣipya	168
niyuj	7	niyukta	168
pratī	2	pratīta	168
śru	4	śṛṇoti	167
dūṣay	10	dūṣita	167
avatṛ	6	avatīrṇa	167
ācakṣ	1	ācakṣate	167
preṣay	10	preṣayāmāsa	167
ji	9	jetum	166
yaj	2	yajet	166
darśay	10	darśayati	166
vid	6	vedya	166
ādhā	3	āhita	166
puṭ	6	puṭita	166
peṣay	10	peṣayet	166
āhvā	4	āhūya	165
niveday	10	nyavedayat	165
pat	1	apatat	164
adhigam	1	adhigacchati	164
kāray	10	kārita	164
apahṛ	1	apahṛta	164
udvij	6	udvigna	164
aṅkay	10	aṅkita	163
mud	1	modate	163
antardhā	3	antaradhīyata	163
man	8	manyante	162
upadiś	6	upadiṣṭa	162
vilokay	10	vilokya	162
atikram	6	atikrānta	161
tvar	1	tvaramāṇa	161
vraj	1	vrajat	161
dṛś	6	dṛṣṭavat	161
paṭh	1	paṭhet	161
ājñā	9	ājñāya	161
vikram	1	vikrānta	161
gam	6	gantavya	160
grah	6	gṛhāṇa	160
vac	2	vakṣyāmaḥ	160
paś	4	paśyati	160
pā	1	peya	160
utsah	1	utsahe	160
puraskṛ	8	puraskṛta	160
prāp	1	prāpnuyāt	160
prāp	1	prāpa	160
sambhṛ	3	saṃbhṛta	160
parivāray	10	parivārita	160
as	2	stha	159
ākram	6	ākrānta	159
prakṣālay	10	prakṣālya	159
man	8	manyamāna	158
dah	2	dahati	158
pū	1	pavasva	158
śru	4	śṛṇuyāt	158
nirudh	7	nirudhya	158
vijñā	9	vijñāta	158
vas	2	vasanti	157
vah	2	vahanti	157
anurañj	4	anurakta	157
ānī	1	ānīta	157
nibudh	4	nibodhata	157
nirīkṣ	1	nirīkṣya	157
prahi	5	prāhiṇot	157
vinaś	4	vinaśyati	157
bhū	1	bhaviṣyāmi	156
vah	2	vahati	156
nad	1	nadat	156
paripṛ	9	paripūrṇa	156
cintay	10	acintayat	155
āviś	6	āviśat	155
prasvap	2	prasupta	155
visṛj	4	visṛṣṭa	155
pūray	10	pūrita	154
lī	1	līna	154
racay	10	racita	154
miśray	0	miśrita	154
cintay	10	cintayet	153
śri	1	śrita	153
prasah	1	prasahya	153
vivarjay	10	vivarjayet	153
muc	6	muñcati	152
dhā	1	dhehi	152
śru	4	śuśrāva	152
abhiṣic	4	abhiṣikta	152
paryāp	5	paryāpta	152
prabudh	4	prabuddha	152
samprāp	5	samprāpya	152
tāḍay	10	tāḍita	151
pracch	1	apṛcchat	151
lih	4	lihet	151
pramad	4	pramatta	151
viśiṣ	7	viśiṣyate	151
pūray	10	pūrayet	150
vadh	4	avadhīt	150
nihan	2	nighnat	150
bhū	1	bhavantu	149
vah	2	vahat	149
bhṛ	1	bhara	149
bhaj	1	bhajet	149
upasaṁkram	1	upasaṃkrānta	149
samuddhṛ	2	samuddharet	149
śubh	6	śuśubhe	148
upagam	6	upagata	148
saṁgrah	6	saṃgṛhya	148
pracchad	1	pracchanna	148
gam	6	gacchāmi	147
ci	1	cita	147
sic	4	sikta	147
ape	2	apeta	147
prakalpay	10	prakalpayet	147
praṇī	1	praṇīta	147
vidhā	3	vidadhyāt	147
tan	8	tata	146
āruh	6	āruroha	146
utthā	1	uttiṣṭha	146
upaspṛś	6	upaspṛśya	146
guṇay	0	guṇita	146
prayuj	7	prayojya	146
vad	1	vadāmi	145
pracch	1	pṛcchati	145
hā	1	hīyate	145
stambh	5	stabdha	145
nāśay	10	nāśayet	145
niḥsṛ	1	niḥsṛta	145
vid	2	vindati	144
sthā	1	tasthuḥ	144
lakṣay	10	lakṣyate	144
vibhaj	1	vibhakta	144
sampad	4	samapadyata	144
yā	2	yānt	143
vad	1	vadati	143
abhyanujñā	9	abhyanujñāta	143
cūrṇay	0	cūrṇayet	143
nivṛt	1	nivartate	143
pratibhāṣ	1	pratyabhāṣata	143
namaskṛ	8	namaskṛta	143
gam	6	gamyatām	142
jñā	4	jñātum	142
dhāray	10	dhārayat	142
bhāṣ	1	babhāṣe	142
ādhā	3	ādhāya	142
niviś	6	niviṣṭa	142
pracakṣ	2	pracakṣate	142
samprasthā	1	samprasthita	142
mil	6	milita	142
maṇḍay	0	maṇḍita	142
carv	1	cūrṇa	141
hvā	1	havāmahe	141
muh	4	mugdha	141
rudh	6	ruddha	141
ārabh	1	ārabhya	141
sambhram	1	saṃbhrānta	141
khād	1	khādet	140
dā	1	dāsyāmi	140
nad	1	nanāda	140
budh	1	boddhavya	140
abhyāgam	1	abhyāgata	140
ādiś	6	ādiṣṭa	140
prakāś	1	prakāśate	140
āp	1	āpta	139
bhū	1	bhaviṣyat	139
nī	2	nītvā	139
dā	1	dadat	139
smṛ	1	smṛtvā	139
abhiman	4	abhimata	139
upās	4	upāste	139
vyūh	1	vyūḍha	139
saṁdhā	1	saṃhita	139
samādhā	1	samāhita	139
śoṣay	10	śoṣayet	138
dih	2	digdha	138
abhiyā	2	abhyayāt	138
āvṛ	5	āvṛtya	138
samindh	2	samiddha	138
kﾱp	1	kalpate	137
pātay	10	pātayet	137
varjay	10	varjya	137
labh	1	labhyate	137
anuṣṭhā	1	anuṣṭhita	137
abhī	4	abhyeti	137
nipat	1	nipapāta	137
parityaj	1	parityakta	137
prayā	2	prayāti	137
saṁsthāpay	10	saṃsthāpya	137
samāgam	6	samāgamya	137
kathay	10	kathyatām	136
sthāpay	10	sthāpayitvā	136
prasañj	1	prasakta	136
aś	1	aśnāti	135
bhuj	6	bhuñjāna	135
pac	1	pācya	135
dīp	4	dīpyamāna	135
āplu	1	āpluta	135
upajan	4	upajāyate	135
parāji	2	parājita	135
pradā	3	pradātavya	135
niveday	10	nivedayet	135
niveday	10	nivedya	135
prādurbhū	1	prādurbhūta	135
pariṣkṛ	5	pariṣkṛta	135
yaj	2	iṣṭvā	134
spṛś	6	spṛśet	134
puṣ	2	puṣṭa	134
antargam	1	antargata	134
prakṣip	6	prakṣipya	134
vidru	1	vidruta	134
vidhā	3	vidheya	134
vinyas	4	vinyaset	134
gal	1	galita	133
bhṛ	1	bhṛta	133
bhram	4	bhramat	133
uddhan	1	uddhata	133
cal	1	calita	132
jīv	1	jīvanti	132
vṛt	3	vartante	132
nind	1	nindita	132
praśaṁs	1	praśaṃsanti	132
gam	6	agacchat	131
bhāṣ	1	bhāṣate	131
śodhay	10	śodhita	131
samalaṁkṛ	8	samalaṃkṛta	131
gam	6	gamya	130
jan	4	jajñire	130
pracch	1	pṛcchat	130
spṛś	6	spṛṣṭvā	130
śuc	6	śocat	130
śap	1	śapta	130
āci	5	ācita	130
ārādhay	10	ārādhya	130
udgam	6	udgata	130
niveśay	10	niveśayet	130
prayam	1	prayaccha	130
vicar	1	vicarat	130
bhū	1	bhavitavya	129
stu	1	stuvanti	129
rakṣ	4	rakṣat	129
pūjay	10	pūjayāmāsa	129
pratigrah	9	pratijagrāha	129
saṁnam	1	saṃnata	129
jāray	10	jārita	129
niveday	10	nivedita	129
kṛ	2	kṛdhi	128
jan	4	jāyamāna	128
paś	4	paśyat	128
janay	10	janayāmāsa	128
plu	1	pluta	128
abhyañj	7	abhyakta	128
ākram	6	ākramya	128
āyat	1	āyatta	128
vimuc	6	vimucyate	128
vivṛ	9	vivṛta	128
gā	2	gīta	127
viś	4	viviśuḥ	127
pā	1	piba	127
atiric	4	atirikta	127
dviṣ	1	dveṣṭi	127
veṣṭay	10	veṣṭayet	127
abhyarc	1	abhyarcya	127
udi	4	udyat	127
sampravac	3	sampravakṣyāmi	127
