Лемма	Форма
vid	vidyāt
arh	arhati
śam	śānta
kṣi	kṣīṇa
varjay	varjita
niyam	niyata
tyaj	tyaktvā
labh	labhate
yā	yānti
duṣ	duṣṭa
pravṛt	pravṛtta
kṣip	kṣiptvā
chid	chinna
naś	naṣṭa
dā	dadau
āśri	āśrita
gam	gaccha
kṛ	kurvat
vijñā	vijñeya
vid	vidyate
muh	mūḍha
pūjay	pūjayet
vṛt	vartate
pratiṣṭhā	pratiṣṭhita
bhī	bhīta
āp	āpnoti
praviś	praviṣṭa
gam	gacchet
khyā	khyāta
prasad	prasanna
hṛ	hṛta
as	santi
vac	vaktum
man	manye
tuṣ	tuṣṭa
grah	gṛhīta
bhāvay	bhāvita
car	caret
dṛś	paśyati
grah	grāhya
car	carat
mad	matta
samprāp	samprāpta
dṛś	paśyāmi
āsthā	āsthāya
viśru	viśruta
rudh	ruddhvā
vac	vakṣyāmi
vyavasthā	vyavasthita
dru	druta
yojay	yojayet
vac	avocat
pravac	pravakṣyāmi
saṁsthā	saṃsthita
saṁkrudh	saṃkruddha
svap	supta
niśā	niśita
yā	yāta
prakīrtay	prakīrtita
dṛś	draṣṭum
bhañj	bhagna
vivarjay	vivarjita
ās	āsīna
atī	atīta
pravṛt	pravartate
kṛ	akarot
vad	udita
iṣ	icchat
paś	apaśyat
praviś	praviśya
utpad	utpanna
dhṛ	dhṛta
āyam	āyata
śru	śrotum
ācar	ācaret
kathay	kathayati
bandh	baddhvā
vṛt	vartamāna
sev	sevita
pā	pīta
avasthā	avasthita
udyam	udyata
vyadh	vivyādha
āsthā	āsthita
praṇam	praṇamya
saṁvṛ	saṃvṛta
sādhay	sādhya
vid	vidita
viśudh	viśuddha
vid	viddhi
vraj	vrajet
kṛ	cakruḥ
vad	vadanti
utthā	utthita
cyu	cyuta
pīḍay	pīḍita
bhāvay	bhāvayet
jīv	jīvat
brū	abruvan
piṣ	piṣṭvā
bhūṣay	bhūṣita
śak	śakta
samāsāday	samāsādya
jap	japet
kṛ	kurvanti
dā	dadāti
upapad	upapanna
pū	pūta
car	carati
chid	cicheda
kṛ	kurvīta
sthā	tiṣṭhat
iṣ	icchasi
brū	brūyāt
kṛ	kriyate
sṛj	sṛṣṭa
dham	dhmāta
alaṁkṛ	alaṃkṛta
prāp	prāpnoti
vyākhyā	vyākhyāsyāmaḥ
as	āsan
śā	śita
bhāṣ	abhāṣata
piṣ	piṣṭa
gam	jagmuḥ
viśiṣ	viśiṣṭa
han	jaghāna
jan	jajñe
āpad	āpanna
utthā	utthāya
bhū	abhavan
vṛt	vṛtta
gam	gacchat
vad	vadat
muc	mucyate
dhāray	dhārayet
grah	jagrāha
arday	ardita
bhū	bhaviṣyanti
parivṛ	parivṛta
prahṛṣ	prahṛṣṭa
dham	dhamet
samāgam	samāgata
vikhyā	vikhyāta
prativac	pratyuvāca
mṛd	mardya
bhū	bhavatu
pat	papāta
pūjay	pūjya
upasthā	upasthita
parikīrtay	parikīrtita
snā	snāta
vimuc	vimukta
tyaj	tyakta
abhidhā	abhihita
nirmā	nirmita
kīrtay	kīrtita
vyadh	viddha
pā	pītvā
samman	saṃmata
yuj	yojya
sthā	tasthau
jīv	jīvet
samācar	samācaret
iṣ	iṣyate
pravac	provāca
ās	āste
labh	labdhvā
bhakṣay	bhakṣayet
utsṛj	utsṛjya
vibhūṣay	vibhūṣita
jāray	jārayet
tyaj	tyajet
ārabh	ārabdha
kṣip	kṣipta
su	suta
vigam	vigata
iṣ	icchati
pracch	papraccha
vidhā	vidhīyate
virudh	viruddha
brū	bravīmi
vac	vācya
udāhṛ	udāhṛta
īray	īrita
ākhyā	ākhyāta
jīv	jīvati
vid	vidyate
dṛś	dadṛśuḥ
kup	kupita
gam	gacchanti
jan	jāyante
vid	viditvā
mṛ	mriyate
varjay	varjayet
bhū	babhūvuḥ
gup	gupta
han	hanyāt
āp	āpnuyāt
ji	jayet
prasidh	prasiddha
jval	jvalat
āviś	āviṣṭa
vyākhyā	vyākhyāta
sthā	tiṣṭha
samāyuj	samāyukta
brū	bruvat
bhuj	bhuktvā
niśāmay	niśamya
man	manyate
vac	uktavat
yaj	yajamāna
hṛ	haret
nibudh	nibodha
vikṛ	vikṛta
vid	vidvas
praśaṁs	praśasta
sambhū	sambhūta
kathay	kathyate
lip	lipta
lepay	lepayet
prāh	prāhuḥ
gam	gantum
mūrchay	mūrchita
praviś	praviveśa
bhuj	bhukta
coday	codita
kṛ	kṛtavat
bhū	bhavitā
hā	hitvā
samṛdh	samṛddha
kṛ	kariṣyāmi
gam	agamat
sthāpay	sthāpayet
yā	yayuḥ
man	manyase
marday	mardita
prayuj	prayukta
kṛ	kariṣyati
vad	vada
dṛś	dṛśyante
āśri	āśritya
aś	aśnute
guh	gūḍha
dṛś	paśyanti
sampṛ	sampūrṇa
pat	patat
kṛ	kriyatām
labh	labhet
udi	udita
nirji	nirjita
prayā	prayayau
yā	yāhi
āpat	āpatat
nyas	nyasta
abhivāday	abhivādya
śī	śayāna
anuprāp	anuprāpta
saṁskṛ	saṃskṛta
han	hantum
nivṛt	nivṛtta
dam	dānta
hu	hutvā
mohay	mohita
avāp	avāpnoti
saṁtap	saṃtapta
dviṣ	dviṣat
vidhā	vidhāya
anugam	anugata
dāpay	dāpayet
e	ehi
parityaj	parityajya
juṣ	juṣṭa
sthā	tiṣṭhanti
chid	chittvā
viś	viveśa
abhihan	abhihata
kalpay	kalpita
sādhay	sādhita
dā	dātavya
prajan	prajāyate
vṛdh	vṛddha
mā	mita
vadh	vadhyamāna
nikṣip	nikṣipet
rud	rudat
nī	nīta
śaṁs	śaṃsati
ālokay	ālokya
vijñā	vijñāya
man	matvā
avāp	avāpnuyāt
bhid	bhittvā
īpsay	īpsita
āruh	ārūḍha
upaviś	upaviṣṭa
rakṣ	rakṣita
ji	jitvā
kṛ	karomi
vas	vasat
śrī	śṛta
bhū	bhaviṣyasi
hu	juhuyāt
saṁjan	saṃjāta
svid	svinna
āgam	āgatya
sampūjay	sampūjya
nyas	nyaset
vismi	vismita
same	sametya
paś	paśyet
āruh	āruhya
prahas	prahasat
ji	jayati
sthāpay	sthāpita
śram	śrānta
uddhṛ	uddhṛtya
upe	upaiti
vistṛ	vistīrṇa
mahīy	mahīyate
ākṛ	ākīrṇa
utpad	utpadyate
śru	śrūyate
bhā	bhāti
lubh	lubdha
dā	dehi
ācakṣ	ācakṣva
vī	vīta
jñā	jānāti
upāgam	upāgata
puraskṛ	puraskṛtya
vṛdh	vardhate
hu	juhoti
bhāṣ	bhāṣita
nidhā	nidhāya
prasū	prasūta
śru	śṛṇvat
hu	huta
vad	avadat
vīkṣ	vīkṣya
bhuj	bhuṅkte
āyā	āyānt
dhyā	dhyātvā
sañj	sakta
āgam	āgamya
nidhā	nihita
praśaṁs	praśasyate
pre	pretya
praṇam	praṇata
nam	nata
cūrṇay	cūrṇita
āyā	āyāti
samīkṣ	samīkṣya
samutpad	samutpanna
cintay	cintayat
śru	śrūyatām
āhan	āhata
vihā	vihīna
vinikṣip	vinikṣipet
saṁgam	saṃgata
vac	vaktavya
nirdiś	nirdiṣṭa
same	sameta
anujñā	anujñāta
saṁmā	saṃmita
tṛp	tṛpta
muc	muktvā
vas	vaset
mud	mudita
bhṛ	bibhrat
śobhay	śobhita
prekṣ	prekṣya
jñā	jñāta
vas	uṣita
śī	śete
sthā	sthitvā
prayam	prayata
jñā	jānat
sṛj	asṛjat
āgam	ājagāma
saṁrabh	saṃrabdha
niram	nirata
puṭ	puṭet
antardhā	antarhita
nihan	nihatya
vac	vakṣye
upādā	upādāya
niści	niścita
samākhyā	samākhyāta
darśay	darśita
upahan	upahata
niṣad	niṣaṇṇa
prayā	prayāta
abhibhū	abhibhūta
śaṁs	śasta
bhraṁś	bhraṣṭa
unmad	unmatta
pūjay	pūjayitvā
prayam	prayacchati
arcay	arcayet
abhye	abhyetya
unnam	unnata
bhojay	bhojayet
nirmuc	nirmukta
dā	dadāmi
hā	jahi
pragrah	pragṛhya
arcay	arcita
śudh	śudhyati
prayojay	prayojayet
prasthā	prasthita
dhā	dadhāti
yuj	yujyate
labh	lebhe
vid	vetti
abhidhā	abhidhīyate
bhā	babhau
vihā	vihāya
gad	jagāda
ruc	rocate
praṇipat	praṇipatya
sambhū	samabhavat
kṛ	kuruṣva
tvar	tvarita
vinirmuc	vinirmukta
gam	gamiṣyāmi
grah	gṛhya
vyadh	viddhvā
śaṁs	śasyate
āmantray	āmantrya
e	etya
aś	aśnīyāt
kathay	kathayanti
muc	mumoca
sādhay	sādhayet
nipātay	nipātita
samādā	samādāya
iṣ	icchanti
janay	janita
budh	buddhvā
nihan	nihanti
bhū	bhūt
dā	dātum
yam	yata
ji	jaya
samuddhṛ	samuddhṛtya
i	yanti
bhuj	bhuñjīta
uddiś	uddiśya
arpay	arpita
parī	parīta
praśam	praśānta
vimarday	vimardayet
añj	akta
śru	śṛṇuṣva
pat	patati
uddhṛ	uddhṛta
vinī	vinīta
vad	vadet
śās	śiṣṭa
upaśobhay	upaśobhita
car	cacāra
nirgam	nirgata
satkṛ	satkṛta
vedhay	vedhayet
vid	veditavya
bhāvay	bhāvya
bhū	bhavat
bhakṣay	bhakṣita
nipat	nipatita
grah	gṛhṇīyāt
chad	channa
yudh	yudhyamāna
iṣ	icchet
kṣip	cikṣepa
brū	bruvāṇa
sveday	svedayet
niṣev	niṣevita
saṁhṛṣ	saṃhṛṣṭa
adhiṣṭhā	adhiṣṭhita
sidh	sidhyati
ākarṇay	ākarṇya
vyāp	vyāpta
jval	jvalita
dhyā	dhyāyat
pātay	pātita
upe	upetya
paś	apaśyam
spṛś	spṛṣṭa
utsṛj	utsṛṣṭa
upapad	upapadyate
car	caranti
darśay	darśayat
lip	liptvā
sthā	tiṣṭhet
hṛ	harati
vadh	vadhya
kṛ	kuryuḥ
āhṛ	āharet
ucchri	ucchrita
śak	śakyate
stu	stuta
smṛ	smarat
ādā	ātta
pradā	prādāt
saṁyam	saṃyata
dṛś	draṣṭavya
janay	janayati
vyath	vyathita
uddiś	uddiṣṭa
prayā	prāyāt
as	syāma
jan	ajāyata
bhū	bhavataḥ
avekṣ	avekṣya
atikram	atikramya
dṛś	dadṛśe
tras	trasta
pradāpay	pradāpayet
dṛś	dṛśya
daṁś	daṣṭa
as	santu
jñā	jānāmi
brū	brūte
pū	pavamāna
naś	naśyati
sev	sevya
vitan	vitata
parivāray	parivārya
cintay	cintayāmāsa
pācay	pācayet
kṛ	kurvāṇa
pāyay	pāyayet
karśay	karśita
pratipad	pratipadyate
pramuc	pramucyate
samprekṣ	samprekṣya
pā	pāhi
pradā	pradadau
kṣan	kṣata
has	hasat
grah	gṛhṇāti
nī	nayet
pat	patanti
sev	seveta
avāp	avāpa
prapad	prapanna
saṁsṛj	saṃsṛṣṭa
gā	agāt
avāp	avāpya
bhṛ	bibharti
abhigam	abhigamya
vṛ	vṛta
āropay	āropya
pratigrah	pratigṛhya
jap	japat
bhū	bhavat
dā	dīyate
upalabh	upalabhyate
antardhā	antardhīyante
udbhū	udbhūta
viji	vijita
saṁśri	saṃśrita
dhā	dhatte
prath	prathita
avaśiṣ	avaśiṣṭa
upaci	upacita
pradīp	pradīpta
samāvṛ	samāvṛta
pravṛdh	pravṛddha
viṣad	viṣaṇṇa
vac	vakṣyamāṇa
yojay	yojita
car	carita
pā	pātu
dah	dahet
sphur	sphurat
śodhay	śodhayet
udāhṛ	udāharanti
upasaṁkram	upasaṃkramya
samutthā	samutthita
gras	grasta
vas	vasati
man	mene
dah	dahyamāna
pac	pacyāt
āyā	āyāta
kathay	kathayāmi
krīḍ	krīḍat
dāś	dāśvas
avatṛ	avatīrya
prasad	prasīda
saṁhan	saṃhata
saṁcintay	saṃcintya
arjay	arjita
majj	magna
āhṛ	āhṛta
udyam	udyamya
vinaś	vinaṣṭa
yat	yatta
ram	ramate
abhibhāṣ	abhyabhāṣata
lag	lagna
ānī	ānīya
pariṣvaj	pariṣvajya
namaskṛ	namaskṛtya
kṛ	kṛthāḥ
sṛj	sasarja
māray	mārayet
veṣṭay	veṣṭita
āsañj	āsakta
preṣay	preṣita
visṛj	visṛjya
vac	vakṣyati
pā	pibat
nikṣip	nikṣipya
niyuj	niyukta
pratī	pratīta
śru	śṛṇoti
dūṣay	dūṣita
avatṛ	avatīrṇa
ācakṣ	ācakṣate
preṣay	preṣayāmāsa
ji	jetum
yaj	yajet
darśay	darśayati
vid	vedya
ādhā	āhita
puṭ	puṭita
peṣay	peṣayet
āhvā	āhūya
niveday	nyavedayat
pat	apatat
adhigam	adhigacchati
kāray	kārita
apahṛ	apahṛta
udvij	udvigna
aṅkay	aṅkita
mud	modate
antardhā	antaradhīyata
man	manyante
upadiś	upadiṣṭa
vilokay	vilokya
atikram	atikrānta
tvar	tvaramāṇa
vraj	vrajat
dṛś	dṛṣṭavat
paṭh	paṭhet
ājñā	ājñāya
vikram	vikrānta
gam	gantavya
grah	gṛhāṇa
vac	vakṣyāmaḥ
paś	paśyati
pā	peya
utsah	utsahe
puraskṛ	puraskṛta
prāp	prāpnuyāt
prāp	prāpa
sambhṛ	saṃbhṛta
parivāray	parivārita
as	stha
ākram	ākrānta
prakṣālay	prakṣālya
man	manyamāna
dah	dahati
pū	pavasva
śru	śṛṇuyāt
nirudh	nirudhya
vijñā	vijñāta
vas	vasanti
vah	vahanti
anurañj	anurakta
ānī	ānīta
nibudh	nibodhata
nirīkṣ	nirīkṣya
prahi	prāhiṇot
vinaś	vinaśyati
bhū	bhaviṣyāmi
vah	vahati
nad	nadat
paripṛ	paripūrṇa
cintay	acintayat
āviś	āviśat
prasvap	prasupta
visṛj	visṛṣṭa
pūray	pūrita
lī	līna
racay	racita
miśray	miśrita
cintay	cintayet
śri	śrita
prasah	prasahya
vivarjay	vivarjayet
muc	muñcati
dhā	dhehi
śru	śuśrāva
abhiṣic	abhiṣikta
paryāp	paryāpta
prabudh	prabuddha
samprāp	samprāpya
tāḍay	tāḍita
pracch	apṛcchat
lih	lihet
pramad	pramatta
viśiṣ	viśiṣyate
pūray	pūrayet
vadh	avadhīt
nihan	nighnat
bhū	bhavantu
vah	vahat
bhṛ	bhara
bhaj	bhajet
upasaṁkram	upasaṃkrānta
samuddhṛ	samuddharet
śubh	śuśubhe
upagam	upagata
saṁgrah	saṃgṛhya
pracchad	pracchanna
gam	gacchāmi
ci	cita
sic	sikta
ape	apeta
prakalpay	prakalpayet
praṇī	praṇīta
vidhā	vidadhyāt
tan	tata
āruh	āruroha
utthā	uttiṣṭha
upaspṛś	upaspṛśya
guṇay	guṇita
prayuj	prayojya
vad	vadāmi
pracch	pṛcchati
hā	hīyate
stambh	stabdha
nāśay	nāśayet
niḥsṛ	niḥsṛta
vid	vindati
sthā	tasthuḥ
lakṣay	lakṣyate
vibhaj	vibhakta
sampad	samapadyata
yā	yānt
vad	vadati
abhyanujñā	abhyanujñāta
cūrṇay	cūrṇayet
nivṛt	nivartate
pratibhāṣ	pratyabhāṣata
namaskṛ	namaskṛta
gam	gamyatām
jñā	jñātum
dhāray	dhārayat
bhāṣ	babhāṣe
ādhā	ādhāya
niviś	niviṣṭa
pracakṣ	pracakṣate
samprasthā	samprasthita
mil	milita
maṇḍay	maṇḍita
carv	cūrṇa
hvā	havāmahe
muh	mugdha
rudh	ruddha
ārabh	ārabhya
sambhram	saṃbhrānta
khād	khādet
dā	dāsyāmi
nad	nanāda
budh	boddhavya
abhyāgam	abhyāgata
ādiś	ādiṣṭa
prakāś	prakāśate
āp	āpta
bhū	bhaviṣyat
nī	nītvā
dā	dadat
smṛ	smṛtvā
abhiman	abhimata
upās	upāste
vyūh	vyūḍha
saṁdhā	saṃhita
samādhā	samāhita
śoṣay	śoṣayet
dih	digdha
abhiyā	abhyayāt
āvṛ	āvṛtya
samindh	samiddha
kﾱp	kalpate
pātay	pātayet
varjay	varjya
labh	labhyate
anuṣṭhā	anuṣṭhita
abhī	abhyeti
nipat	nipapāta
parityaj	parityakta
prayā	prayāti
saṁsthāpay	saṃsthāpya
samāgam	samāgamya
kathay	kathyatām
sthāpay	sthāpayitvā
prasañj	prasakta
aś	aśnāti
bhuj	bhuñjāna
pac	pācya
dīp	dīpyamāna
āplu	āpluta
upajan	upajāyate
parāji	parājita
pradā	pradātavya
niveday	nivedayet
niveday	nivedya
prādurbhū	prādurbhūta
pariṣkṛ	pariṣkṛta
yaj	iṣṭvā
spṛś	spṛśet
puṣ	puṣṭa
antargam	antargata
prakṣip	prakṣipya
vidru	vidruta
vidhā	vidheya
vinyas	vinyaset
gal	galita
bhṛ	bhṛta
bhram	bhramat
uddhan	uddhata
cal	calita
jīv	jīvanti
vṛt	vartante
nind	nindita
praśaṁs	praśaṃsanti
gam	agacchat
bhāṣ	bhāṣate
śodhay	śodhita
samalaṁkṛ	samalaṃkṛta
gam	gamya
jan	jajñire
pracch	pṛcchat
spṛś	spṛṣṭvā
śuc	śocat
śap	śapta
āci	ācita
ārādhay	ārādhya
udgam	udgata
niveśay	niveśayet
prayam	prayaccha
vicar	vicarat
bhū	bhavitavya
stu	stuvanti
rakṣ	rakṣat
pūjay	pūjayāmāsa
pratigrah	pratijagrāha
saṁnam	saṃnata
jāray	jārita
niveday	nivedita
kṛ	kṛdhi
jan	jāyamāna
paś	paśyat
janay	janayāmāsa
plu	pluta
abhyañj	abhyakta
ākram	ākramya
āyat	āyatta
vimuc	vimucyate
vivṛ	vivṛta
gā	gīta
viś	viviśuḥ
pā	piba
atiric	atirikta
dviṣ	dveṣṭi
veṣṭay	veṣṭayet
abhyarc	abhyarcya
udi	udyat
sampravac	sampravakṣyāmi
ukṣ	ukṣita
grah	gṛhyate
ruh	rūḍha
rakṣ	rakṣa
vijñā	vijānat
saṁvṛt	saṃvṛtta
saṁkṛ	saṃkīrṇa
dā	dīyatām
dhyā	dhyāyet
rañjay	rañjita
secay	secayet
sambhū	sambhavati
kṛ	kriyamāṇa
hṛ	jahāra
ācchāday	ācchādya
ādiś	ādiśet
dāpay	dāpya
samāp	samāpta
samāhṛ	samāharet
samudbhū	samudbhūta
samupasthā	samupasthita
samanvāgam	samanvāgata
yā	yātam
dhā	hita
pariplu	paripluta
prahi	prahita
gam	gamiṣyati
han	jaghnuḥ
dhā	dadhāna
pracch	pṛcchāmi
sāray	sārita
jñā	jānanti
vac	vakṣyate
rakṣ	rakṣati
ācam	ācamya
āhvā	āhūta
parivarjay	parivarjayet
saṁtuṣ	saṃtuṣṭa
saṁmarday	saṃmardya
śru	aśrauṣam
dṛś	paśyasi
daṁśay	daṃśita
parigrah	parigṛhya
prayā	prayayuḥ
viśram	viśrānta
saṁsidh	saṃsiddha
ghṛṣ	ghṛṣṭa
dah	dagdhvā
pac	paktvā
tarpay	tarpayet
nirudh	niruddha
nivṛt	nivṛtta
praṇaś	pranaṣṭa
i	etu
jan	ajījanat
pat	petuḥ
vid	vindate
māray	mārita
vid	vettha
lih	lihyāt
utpāday	utpādya
stu	stuvat
yāc	yācita
mṛd	mṛdita
yudh	yoddhum
ānī	ānaya
parigrah	parigṛhīta
samāśri	samāśrita
jāray	jārya
ṛch	ṛcchati
nṛt	nṛtyat
dṛś	drakṣyasi
āyā	āyānti
niści	niścitya
nyas	nyasya
prahas	prahasya
śraddhā	śraddadhāna
saṁvṛt	saṃvartate
tap	taptvā
vac	ūcatuḥ
vraj	vraja
pūjay	pūjyamāna
āgam	āgacchati
ācar	ācarat
daṇḍay	daṇḍya
praviś	prāviśat
pravṛt	pravartante
prasṛ	prasṛta
parivāray	paryavārayan
gam	gaccheta
jap	japtvā
sthā	sthātavya
pū	punāna
rañj	rakta
nikṣip	nikṣipta
preray	prerita
saṁlakṣay	saṃlakṣayati
kathay	kathaya
dru	dravati
man	amanyata
naś	naśyanti
upalabh	upalabhya
upācar	upācaret
nibandh	nibaddha
niyojay	niyojayet
pracoday	pracodita
prayuj	prayuñjīta
vinikṣip	vinikṣipya
vistṛ	vistṛta
vihṛ	viharati
samave	samaveta
kṛ	kurvate
vṛt	avartata
bhid	bhidyate
rakṣ	rakṣet
rakṣ	rakṣya
jvālay	jvālayet
ākṛṣ	ākṛṣya
ācar	ācarita
āyā	āyayau
prāp	prāpyate
vijñā	vijānīyāt
jñā	jāne
han	ghnanti
vas	uvāsa
yaj	yajati
yaj	iṣṭa
dhāv	dhauta
vṛ	vṛṇīṣva
āmantray	āmantrayate
nipat	nipetuḥ
niras	nirasta
viji	vijitya
samāviś	samāviṣṭa
kathay	kathayat
gṛ	gṛṇat
bhū	bhavya
pā	pibanti
darśay	darśayāmāsa
avāp	avāpta
ādā	ādatte
āsad	āsasāda
āhṛ	āhṛtya
drāvay	drāvita
prakup	prakupita
pratibhā	pratibhāti
pratiṣṭhāpay	pratiṣṭhāpya
saṁsañj	saṃsakta
saṁnidhā	saṃnihita
bādh	bādhate
śaṅk	śaṅkita
bhaj	bhajate
anubhū	anubhūta
vid	veda
likh	likhita
upavas	upoṣita
pratipad	pratipanna
pratiṣṭhā	pratitiṣṭhati
prayā	prayānti
pralepay	pralepayet
saṁrañj	saṃrakta
satkṛ	satkṛtya
atī	atītya
upayuj	upayukta
vyatī	vyatīta
saṁnah	saṃnaddha
sampad	sampadyate
adhī	adhītya
bandh	badhyate
mṛj	mṛṣṭa
rañjay	rañjayet
vaś	uśat
udīray	udīrita
nigad	nigadyate
viśṛ	viśīrṇa
kruś	krośat
gras	grasate
vyadh	avidhyat
paś	apaśyan
pariśram	pariśrānta
samāśri	samāśritya
cintay	cintita
ji	jayat
muc	muñca
dhvaṁs	dhvasta
śikṣay	śikṣita
as	syām
kṛ	kariṣye
jīv	jīvitum
man	manyeta
pātay	apātayat
bhid	bibheda
anusmṛ	anusmarat
abhipre	abhipreta
vand	vanditvā
niḥśvas	niḥśvasat
nidhāpay	nidhāpayet
pratijñā	pratijñāta
pravac	procyate
vicāray	vicārya
vicintay	vicintya
vinihan	vinihata
kṛ	karaṇīya
ji	ajayat
pā	pibati
vah	vaha
stu	stūyamāna
sraṁs	srasta
adhī	adhīta
pālay	pālita
snih	snigdha
āsad	āsanna
nimajj	nimagna
prāp	prāpnuvanti
saṁvye	saṃvīta
tap	tapati
yā	yāsyāmi
rāj	rarāja
stu	tuṣṭuvuḥ
dhṛ	dhṛtvā
śṛ	śīrṇa
uddhū	uddhūta
upakram	upacakrame
darpay	darpita
vipācay	vipācayet
viśudh	viśudhyati
saṁdhā	saṃdhāya
samāsthā	samāsthāya
unmā	unmita
ah	āttha
i	yat
anvah	anvāha
nikṛt	nikṛtta
pre	preta
virañj	virakta
kṛ	karavāṇi
khid	khinna
granth	grathita
bhuj	bhogya
dhyā	dhyeya
labh	labhante
śrāvay	śrāvayet
āhan	ājaghāna
uddhṛ	uddharet
upās	upāsate
nigrah	nigṛhya
samākṛ	samākīrṇa
ās	āsate
gam	gamiṣyasi
jñā	jānīyāt
tap	tepe
bhū	abhūvan
yā	yātu
sthā	sthātum
hā	jahāti
śiṣ	śiṣṭa
vip	vepamāna
yudh	yudhyat
ślāgh	ślāghya
āpad	āpadyate
prakṛ	prakurvīta
visṛj	visṛjat
kalpay	kalpayet
sthā	atiṣṭhat
dā	adāt
avāp	avāpsyasi
upagam	upāgamat
ekīkṛ	ekīkṛtya
pradā	pradāya
vilap	vilalāpa
vilap	vilapat
klid	klinna
dhā	dadhat
vṛdh	vardhamāna
pū	pavate
budh	buddha
śak	śakya
smṛ	smaret
ānam	ānata
prapad	prapadyate
pravad	pravadanti
saṁci	saṃcita
ī	īmahe
kathay	kathayāmāsa
stu	tuṣṭāva
adhigam	adhigata
anuvṛt	anuvartate
tyaj	tyaja
āgam	ājagmuḥ
udīr	udīrṇa
upās	upāsīta
pramud	pramudita
vijan	vyajāyata
kathay	kathayasva
gam	jagmatuḥ
garj	garjat
cal	cacāla
cal	calat
nī	anayat
vac	ūce
paś	apaśyāma
āśaṁs	āśaṃse
prāp	prāptavat
arh	arhanti
kṛ	cakrire
brū	bravīt
han	jahi
sṛj	sṛṣṭvā
śak	śaknoti
abhivṛt	abhyavartata
ākhyā	ākhyātum
upadiś	upadiśyate
prārthay	prārthita
vañcay	vañcita
as	smaḥ
vad	vadasva
yat	yatamāna
yaj	yajeta
adhikṛ	adhikṛta
pātay	pātayāmāsa
utpāday	utpādita
upekṣ	upekṣita
prakṛ	prakartavya
pravartay	pravartita
abhyas	abhyasta
paribhraṁś	paribhraṣṭa
i	eṣyati
kṛ	kariṣyasi
han	ghnat
hṛ	hriyamāṇa
pac	pacyate
bandhay	bandhayet
av	avase
āgam	āgamat
prekṣ	prekṣamāṇa
garh	garhita
jñā	jānāsi
nī	nayati
han	haniṣyāmi
dhāv	dhāvat
bhuj	bhuktavat
sthā	tiṣṭhatu
dah	dadāha
śvas	śvasat
śru	śrotavya
abhidru	abhidudrāva
pūjay	pūjyate
yudh	yudhyasva
bhram	bhrānta
ākṛṣ	ākṛṣṭa
lakṣay	lakṣita
niveśay	niveśya
praviś	praviśat
vijñā	vijānāti
vidhā	vidadhe
vipac	vipacet
vyāp	vyāpya
saṁjan	saṃjāyate
tāḍay	atāḍayat
sad	sīdati
śubh	śobhate
vāray	vārayāmāsa
vṛ	vavre
parityaj	parityajet
prabhū	prabhavati
praviś	praviśet
vidhā	vidhīyatām
vivṛdh	vivṛddha
vyāhṛ	vyājahāra
as	āstām
bhū	bhaveyuḥ
brū	abruvam
dā	daduḥ
śaṁs	śaṃsa
yaj	yajanti
vāhay	vāhayet
vṛṣ	vavarṣa
śam	śāmyati
pā	pāta
vāray	vārita
sidh	sidhyanti
smṛ	smarāmi
vidham	vyadhamat
kṣudh	kṣudhita
vac	ucyatām
han	hantavya
man	menire
su	sunvat
