Корень	Слабая ступень	Гуна	Вриддхи
bodhay	1	0	0
brū	1	1	0
bhakṣ	1	0	0
bhakṣay	1	0	0
bhaṇ	1	1	0
bhaj	1	1	1
bhañj	1	1	1
bharibhṛ	1	0	0
bharjay	1	0	0
bharts	1	0	0
bhartsay	1	0	0
bhaṣ	1	0	0
bhā	1	1	0
bhājay	1	0	0
bhāvay	1	0	0
bhāṣ	1	1	0
bhāṣay	1	0	0
bhās	1	1	0
bhāsay	1	0	0
bhikṣ	1	0	0
bhid	1	1	1
bhī	1	1	1
bhīṣay	1	0	0
bhuj	1	1	1
bhū	1	1	1
bhūṣ	1	0	0
bhūṣay	1	0	0
bhṛ	1	1	1
bhṛjj	1	1	0
bheday	1	0	0
bhojay	1	0	0
bhraṁś	1	1	1
bhraṁśay	1	0	0
bhram	1	1	0
bhramay	1	0	0
bhrāj	1	1	0
bhrājay	1	0	0
bhrāmay	1	0	0
maṇḍay	1	0	0
majj	1	1	0
majjay	1	0	0
math	1	1	1
mathay	1	0	0
mad	1	1	1
maday	1	0	0
man	1	1	1
manasy	1	0	0
manāy	1	0	0
mantray	1	0	0
manthay	1	0	0
mand	1	1	0
marjay	1	0	0
marday	1	0	0
marmṛj	1	0	0
marmṛś	1	0	0
marṣay	1	0	0
marśay	1	0	0
mah	1	0	0
mā	1	1	1
māday	1	0	0
mānay	1	0	0
māpay	1	0	0
māray	1	0	0
mārg	1	0	0
mārjay	1	0	0
mi	1	0	0
mikṣ	1	0	0
mith	1	0	0
mil	1	1	0
miṣ	1	0	0
miśray	1	0	0
mih	1	1	0
mī	1	1	0
mīl	1	0	0
mīlay	1	0	0
mukulay	1	0	0
muc	1	1	1
mud	1	1	0
mudray	1	0	0
mumukṣ	1	0	0
muṣ	1	1	0
muh	1	1	1
mūtray	1	0	0
mūrch	1	1	0
mūrchay	1	0	0
mṛ	1	1	1
mṛkṣ	1	0	0
mṛṇ	1	0	0
mṛj	1	1	1
mṛd	1	1	1
mṛdh	1	1	0
mṛṣ	1	1	0
mṛś	1	1	0
med	1	0	0
meday	1	0	0
melay	1	0	0
mokṣay	1	0	0
mocay	1	0	0
moday	1	0	0
moṣay	1	0	0
mohay	1	0	0
mnā	1	0	0
mrad	1	0	0
mruc	1	0	0
mlā	1	1	0
mlāpay	1	0	0
yakṣ	1	0	0
yaj	1	1	1
yat	1	1	0
yantray	1	0	0
yabh	1	0	0
yam	1	1	1
yamay	1	0	0
yas	1	0	0
yā	1	1	1
yāc	1	1	0
yācay	1	0	0
yājay	1	0	0
yātay	1	0	0
yāpay	1	0	0
yāmay	1	0	0
yāvay	1	0	0
yāsay	1	0	0
yiyās	1	0	0
yu	1	1	1
yuj	1	1	1
yudh	1	1	1
yuyukṣ	1	0	0
yuyuts	1	0	0
yojay	1	0	0
yodhay	1	0	0
yopay	1	0	0
rakṣ	1	1	0
rakṣay	1	0	0
raṭ	1	0	0
rac	1	0	0
racay	1	0	0
rañj	1	1	0
rañjay	1	0	0
rad	1	1	0
ran	1	1	0
rap	1	0	0
rabh	1	1	0
ram	1	1	1
ramay	1	0	0
ras	1	1	0
rah	1	0	0
rahay	1	0	0
rā	1	1	0
rāj	1	1	0
rājay	1	0	0
rādh	1	1	0
rādhay	1	0	0
rāmay	1	0	0
rāvay	1	0	0
ri	1	1	0
ric	1	1	0
riph	1	0	0
ribh	1	0	0
riṣ	1	1	0
riś	1	0	0
rih	1	0	0
