Лемма	Класс	Форма	Лицо	Число	Время/наклонение	Примеры
pravartay	10	prāvartayetām	Third	Du.	"Imperfect ind"	"    1"
pravartay	10	prāvartayanta	Third	Pl.	"Imperfect ind"	"    1"
pravartay	10	pravartayiṣyate	Third	Sg.	"Future Ind."	"    1"
pravartay	10	pravartaya	Second	Sg.	"Pres. Imp."	"    1"
pravartay	10	pravartayantu	Third	Pl.	"Pres. Imp."	"    1"
pravartay	10	prāvartayaḥ	Second	Sg.	"Imperfect ind"	"    1"
pravartay	10	prāvartayāma	First	Pl.	"Imperfect ind"	"    1"
pravartay	10	prāvartayan	Third	Pl.	"Imperfect ind"	"    1"
pravartay	10	pravartayiṣyāmi	First	Sg.	"Future Ind."	"    1"
pravartay	10	pravartayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
pravartay	10	pravartayiṣyat			"Future Ind."	"    1"
pravartay	10	pravartayitvā			Absolutive	"    1"
pravṛdh	1	pravardheta	Third	Sg.	"Pres. Potential"	"    1"
pravṛdh	1	pravardhataḥ	Third	Du.	"Present Ind."	"    1"
pravṛdh	1	prāvardhanta	Third	Pl.	"Imperfect ind"	"    1"
pravardhay	10	pravardhita			"Past Passive Participle"	"    1"
pravṛṣ	1	pravarṣanti	Third	Pl.	"Present Ind."	"    1"
pravṛṣ	1	pravarṣatu	Third	Sg.	"Pres. Imp."	"    1"
pravṛṣ	1	prāvarṣat	Third	Sg.	"Imperfect ind"	"    1"
pravṛṣ	1	prāvarṣan	Third	Pl.	"Imperfect ind"	"    1"
pravṛṣ	1	pravavarṣa	First	Sg.	"Perfect Ind."	"    1"
pravṛṣ	1	pravavarṣatuḥ	Third	Du.	"Perfect Ind."	"    1"
pravṛṣ	1	pravavarṣuḥ	Third	Pl.	"Perfect Ind."	"    1"
pravṛṣ	1	pravarṣiṣye	First	Sg.	"Future Ind."	"    1"
pravṛṣ	1	pravarṣamāṇa			"Present Ind."	"    1"
pravṛh	6	pravṛhet	Third	Sg.	"Pres. Potential"	"    1"
praveṣṭay	10	praveṣṭayet	Third	Sg.	"Pres. Potential"	"    1"
pravyath	1	prāvyathat	Third	Sg.	"Imperfect ind"	"    1"
pravyath	1	prāvyathan	Third	Pl.	"Imperfect ind"	"    1"
pravyath	1	pravyathiṣyataḥ	Third	Du.	"Future Ind."	"    1"
pravyath	1	pravyathante	Third	Pl.	"Present Ind."	"    1"
pravyath	1	prāvyathanta	Third	Pl.	"Imperfect ind"	"    1"
pravyath	1	pravyathati	Third	Sg.	"Present Ind."	"    1"
pravyath	1	pravyadhati	Third	Sg.	"Present Ind."	"    1"
pravyathay	10	pravyathayet	Third	Sg.	"Pres. Potential"	"    1"
pravyathay	10	pravyathayāṃcakāra	Third	Sg.	"Perfect Ind. Peri."	"    1"
pravyathay	10	pravyathayat			"Present Ind."	"    1"
pravyadh	4	pravidhyati	Third	Sg.	"Present Ind."	"    1"
pravyadh	4	pravivyādha	Third	Sg.	"Perfect Ind."	"    1"
pravyadh	4	pravivyadhuḥ	Third	Pl.	"Perfect Ind."	"    1"
pravyadh	4	pravidhyate	Third	Sg.	"Present Passive"	"    1"
pravyadh	4	prāvidhyata	Third	Sg.	"Imperfect Ind. Passive "	"    1"
pravyadh	4	prāvidhyata	Third	Sg.	"Imperfect ind"	"    1"
pravyāhṛ	1	pravyāharati	Third	Sg.	"Present Ind."	"    1"
pravyāhṛ	1	pravyāharanti	Third	Pl.	"Present Ind."	"    1"
pravyāhṛ	1	pravyāharan	Third	Pl.	"Imperfect ind"	"    1"
pravyāhṛ	1	pravyājahāra	Third	Sg.	"Perfect Ind."	"    1"
pravraj	1	pravrajāvaḥ	First	Du.	"Present Ind."	"    1"
pravraj	1	pravrajeḥ	Second	Sg.	"Pres. Potential"	"    1"
pravraj	1	pravrajema	First	Pl.	"Pres. Potential"	"    1"
pravraj	1	prāvrajan	Third	Pl.	"Imperfect ind"	"    1"
pravraj	1	pravavrajatuḥ	Third	Du.	"Perfect Ind."	"    1"
pravraj	1	prāvrājīt	Third	Sg.	"Aorist Ind. Is."	"    1"
pravraj	1	pravrajeta	Third	Sg.	"Pres. Potential"	"    1"
pravraj	1	pravrajiṣye	First	Sg.	"Future Ind."	"    1"
pravraj	1	pravrājitum			Infinitive	"    1"
pravraj	1	pravrajitavya			"Future passive particle"	"    1"
pravrājay	10	pravrājaya	Second	Sg.	"Pres. Imp."	"    1"
pravrājay	10	pravrājayatu	Third	Sg.	"Pres. Imp."	"    1"
pravrājay	10	pravrājayiṣye	First	Sg.	"Future Ind."	"    1"
pravrājay	10	pravrājayat			"Present Ind."	"    1"
pravrājay	10	pravrājayitum			Infinitive	"    1"
praśaṁs	1	praśaṃsīyāt	Third	Sg.	"Pres. Potential"	"    1"
praśaṁs	1	praśaṃseyuḥ	Third	Pl.	"Pres. Potential"	"    1"
praśaṁs	1	praśaṃsantu	Third	Pl.	"Pres. Imp."	"    1"
praśaṁs	1	prāśaṃsam	First	Sg.	"Imperfect ind"	"    1"
praśaṁs	1	prāśaṃsat	Third	Sg.	"Imperfect ind"	"    1"
praśaṁs	1	praśaśaṃsatuḥ	Third	Du.	"Perfect Ind."	"    1"
praśaṁs	1	praśaśaṃse	Third	Sg.	"Perfect Ind."	"    1"
praśaṁs	1	praśaṃsatām	Third	Sg.	"Pres. Imp."	"    1"
praśaṁs	1	prāśaṃsata	Third	Sg.	"Imperfect ind"	"    1"
praśaṁs	1	praśaṃsāt	Third	Sg.	"Pres. Sub."	"    1"
praśaṁs	1	praśaṃsitum			Infinitive	"    1"
praśam	1	praśāmyataḥ	Third	Du.	"Present Ind."	"    1"
praśam	1	praśāmyantu	Third	Pl.	"Pres. Imp."	"    1"
praśam	1	prāśāmyat	Third	Sg.	"Imperfect ind"	"    1"
praśam	1	praśamiṣyati	Third	Sg.	"Future Ind."	"    1"
praśam	1	praśemuḥ	Third	Pl.	"Perfect Ind."	"    1"
praśam	1	praśāmyadhvam	Second	Pl.	"Pres. Imp."	"    1"
praśam	1	praśamet	Third	Sg.	"Pres. Potential"	"    1"
praśāmay	10	praśāmyamāna			"Present Passive"	"    1"
praśāmay	10	praśāmya			"Future passive particle"	"    1"
praśās	2	praśāsiṣyasi	Second	Sg.	"Future Ind."	"    1"
praśās	2	praśāsiṣyati	Third	Sg.	"Future Ind."	"    1"
praśās	2	praśāsati	Third	Sg.	"Present Ind."	"    1"
praśās	2	praśāsanti	Third	Pl.	"Present Ind."	"    1"
praśās	2	praśāseyam	First	Sg.	"Pres. Potential"	"    1"
praśās	2	praśāsema	First	Pl.	"Pres. Potential"	"    1"
praśās	2	praśāseyuḥ	Third	Pl.	"Pres. Potential"	"    1"
praśās	2	praśāsantu	Third	Pl.	"Pres. Imp."	"    1"
praśās	2	praśāstā	Third	Sg.	"Future. Ind. Peri."	"    1"
praśās	2	praśāsat	Third	Sg.	"Aorist Ind. Them."	"    1"
praśās	2	praśādhvam	Second	Pl.	"Pres. Imp."	"    1"
praśuc	1	praśuśoca	Third	Sg.	"Perfect Ind."	"    1"
praśuṣ	4	praśuṣyanti	Third	Pl.	"Present Ind."	"    1"
praśṛ	9	praśṛṇāti	Third	Sg.	"Present Ind."	"    1"
praśvas	2	prāśvasīt	Third	Sg.	"Imperfect ind"	"    1"
praśvas	2	praśvasat			"Present Ind."	"    1"
prasañj	1	prasajet	Third	Sg.	"Pres. Potential"	"    1"
prasañj	1	prāsajat	Third	Sg.	"Imperfect ind"	"    1"
prasañj	1	prasāṅkṣīḥ	Second	Sg.	"Aorist Jus."	"    1"
prasañj	1	prasāṅkṣīt	Third	Sg.	"Aorist Jus."	"    1"
prasañj	1	prasajya			"Future passive particle"	"    1"
prasañj	1	prasaktavya			"Future passive particle"	"    1"
prasad	1	prasīdāmi	First	Sg.	"Present Ind."	"    1"
prasad	1	prasīdataḥ	Third	Du.	"Present Ind."	"    1"
prasad	1	prasīdatam	Second	Du.	"Pres. Imp."	"    1"
prasad	1	prasīdadhvam	Second	Pl.	"Pres. Imp."	"    1"
prasad	1	prasīdatāt	Third	Sg.	"Pres. Imp."	"    1"
prasad	1	prasadya			Absolutive	"    1"
prasāday	10	prasādayatha	Second	Pl.	"Present Ind."	"    1"
prasāday	10	prasādayāva	First	Du.	"Pres. Imp."	"    1"
prasāday	10	prasādayata	Second	Pl.	"Pres. Imp."	"    1"
prasāday	10	prāsādayan	Third	Pl.	"Imperfect ind"	"    1"
prasāday	10	prasādayāmāsa	First	Sg.	"Perfect Ind. Peri."	"    1"
prasāday	10	prasādyate	Third	Sg.	"Present Passive"	"    1"
prasāday	10	prasādayate	Third	Sg.	"Present Ind."	"    1"
prasāday	10	prasādayāmahe	First	Pl.	"Present Ind."	"    1"
prasāday	10	prasādayadhvam	Second	Pl.	"Pres. Imp."	"    1"
prasāday	10	prāsādayata	Third	Sg.	"Imperfect ind"	"    1"
prasāday	10	prasādayāṃcakre	First	Sg.	"Perfect Ind. Peri."	"    1"
prasāday	10	prasādayāṃbabhūva	Third	Sg.	"Perfect Ind. Peri."	"    1"
prasāday	10	prasādayam	First	Sg.	"Imperfect ind"	"    1"
prasāday	10	prasādayiṣyat			"Future Ind."	"    1"
prasamīkṣ	1	prasamīkṣate	Third	Sg.	"Present Ind."	"    1"
prasamīkṣ	1	prasamaikṣata	Third	Sg.	"Imperfect ind"	"    1"
prasamīkṣ	1	prasamīkṣyase	Second	Sg.	"Present Passive"	"    1"
prasamīkṣ	1	prasamīkṣamāṇa			"Present Ind."	"    1"
prasah	1	prasahante	Third	Pl.	"Present Ind."	"    1"
prasah	1	prasahemahi	First	Pl.	"Pres. Potential"	"    1"
prasah	1	prasehe	Third	Sg.	"Perfect Ind."	"    1"
prasah	1	prasehire	Third	Pl.	"Perfect Ind."	"    1"
prasah	1	prasahema	First	Pl.	"Pres. Potential"	"    1"
prasah	1	prasakṣye	First	Sg.	"Future Ind."	"    1"
prasah	1	prasahyamāna			"Present Passive"	"    1"
prasah	1	prasahāna			"Aorist Ind. Root."	"    1"
prasah	1	prasakṣat			"Aorist Ind. S."	"    1"
prasādhay	10	prasādhaya	Second	Sg.	"Pres. Imp."	"    1"
prasādhay	10	prasādhyatām	Third	Sg.	"Pres. Imperative Passive"	"    1"
prasādhay	10	prasādhayate	Third	Sg.	"Present Ind."	"    1"
prasādhay	10	prasādhayitum			Infinitive	"    1"
prasic	4	prāsiñcat	Third	Sg.	"Imperfect ind"	"    1"
prasic	4	prāsiñcan	Third	Pl.	"Imperfect ind"	"    1"
prasic	4	prasicyet	Third	Sg.	"Pres. Potential"	"    1"
prasic	4	prasicyati	Third	Sg.	"Present Ind."	"    1"
prasic	4	prasicyeta	Third	Sg.	"Pres. Opt Passive"	"    1"
prasic	4	prasiñcat			"Present Ind."	"    1"
prasic	4	prasektum			Infinitive	"    1"
prasidh	1	prāsedhat	Third	Sg.	"Imperfect ind"	"    1"
prasū	2	prasuve	First	Sg.	"Present Ind."	"    1"
prasū	2	prasuvāte	Third	Du.	"Present Ind."	"    1"
prasū	2	prasuvate	Third	Pl.	"Present Ind."	"    1"
prasū	2	prasoṣyate	Third	Sg.	"Future Ind."	"    1"
prasū	2	prasūyeta	Third	Sg.	"Pres. Potential"	"    1"
prasū	2	prasūyadhvam	Second	Pl.	"Pres. Imp."	"    1"
prasū	2	prāsūyanta	Third	Pl.	"Imperfect ind"	"    1"
prasū	2	prasavanti	Third	Pl.	"Present Ind."	"    1"
prasū	2	prasava	Second	Sg.	"Pres. Imp."	"    1"
prasū	2	prasaviṣyasi	Second	Sg.	"Future Ind."	"    1"
prasū	2	prāsāviṣuḥ	Third	Pl.	"Aorist Ind. Is."	"    1"
prasū	2	prasave	First	Sg.	"Present Ind."	"    1"
prasū	2	prasūyataḥ	Third	Du.	"Present Ind."	"    1"
prasū	2	prasūyāmaḥ	First	Pl.	"Present Ind."	"    1"
prasū	2	prasaviṣyadhvam	Second	Pl.	"Future Cond."	"    1"
prasū	2	prasuvāmasi	First	Pl.	"Present Ind."	"    1"
prasū	2	prasoṣyamāṇa			"Future Ind."	"    1"
prasū	2	prasūyamāna			"Present Ind."	"    1"
prasū	2	prasavat			"Present Ind."	"    1"
prasū	2	prasoṣyat			"Future Ind."	"    1"
prasū	2	prasūtavat			"Past Active Participle"	"    1"
prasū	2	prasūyat			"Present Ind."	"    1"
prasṛ	3	prasarasi	Second	Sg.	"Present Ind."	"    1"
prasṛ	3	prasarataḥ	Third	Du.	"Present Ind."	"    1"
prasṛ	3	prāsarat	Third	Sg.	"Aorist Ind. Them."	"    1"
prasṛ	3	prāsaran	Third	Pl.	"Aorist Ind. Them."	"    1"
prasṛ	3	prasasratuḥ	Third	Du.	"Perfect Ind."	"    1"
prasṛ	3	prasarate	Third	Sg.	"Present Ind."	"    1"
prasṛ	3	prasaratitarām	Third	Sg.	"Present Ind."	"    1"
prasṛ	3	prasasre	Third	Sg.	"Perfect Ind."	"    1"
prasṛ	3	prasartave			Infinitive	"    1"
prasāray	10	prasārayasi	Second	Sg.	"Present Ind."	"    1"
prasāray	10	prasārayati	Third	Sg.	"Present Ind."	"    1"
prasāray	10	prasārayata	Second	Pl.	"Pres. Imp."	"    1"
prasāray	10	prāsārayat	Third	Sg.	"Imperfect ind"	"    1"
prasāray	10	prasāryante	Third	Pl.	"Present Passive"	"    1"
prasāray	10	prasārayan	Third	Pl.	"Imperfect ind"	"    1"
prasāray	10	prasārayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
prasāray	10	prasārayat	Third	Sg.	"Imperfect ind"	"    1"
prasāray	10	prāsārayanta	Third	Pl.	"Imperfect ind"	"    1"
prasāray	10	prasārya			"Future passive particle"	"    1"
prasāray	10	prasāritavat			"Past Active Participle"	"    1"
prasṛj	4	prasṛjate	Third	Sg.	"Present Ind."	"    1"
prasṛj	4	prasṛjyeta	Third	Sg.	"Pres. Potential"	"    1"
prasṛj	4	prāsṛjaḥ	Second	Sg.	"Imperfect ind"	"    1"
prasṛj	4	prasṛjyante	Third	Pl.	"Present Passive"	"    1"
prasṛj	4	prāsrāk	Third	Sg.	"Aorist Ind. S."	"    1"
prasṛj	4	prasṛṣṭavat			"Past Active Participle"	"    1"
prasṛp	1	prasarpasi	Second	Sg.	"Present Ind."	"    1"
prasṛp	1	prasarpatha	Second	Pl.	"Present Ind."	"    1"
prasṛp	1	prasarpanti	Third	Pl.	"Present Ind."	"    1"
prasṛp	1	prasarpeyuḥ	Third	Pl.	"Pres. Potential"	"    1"
prasṛp	1	prasarpata	Second	Pl.	"Pres. Imp."	"    1"
prasṛp	1	prāsarpat	Third	Sg.	"Imperfect ind"	"    1"
prasṛp	1	prasasarpa	Third	Sg.	"Perfect Ind."	"    1"
prasṛp	1	prasasṛpuḥ	Third	Pl.	"Perfect Ind."	"    1"
prasṛp	1	prasṛpya			Absolutive	"    1"
prasṛp	1	prasarpamāṇa			"Present Ind."	"    1"
praskand	1	praskandanti	Third	Pl.	"Present Ind."	"    1"
praskand	1	praskandamāna			"Present Ind."	"    1"
praskhal	1	praskhalet	Third	Sg.	"Pres. Potential"	"    1"
praskhal	1	pracaskhāla	Third	Sg.	"Perfect Ind."	"    1"
prastu	6	prastuyāt	Third	Sg.	"Pres. Potential"	"    1"
prastu	6	prāstuvan	Third	Pl.	"Imperfect ind"	"    1"
prastu	6	prastūyate	Third	Sg.	"Present Passive"	"    1"
prastu	6	prāstoṣyaḥ	Second	Sg.	"Future Cond."	"    1"
prastu	6	prastoṣyante	Third	Pl.	"Future Ind."	"    1"
prastubh	2	prastubhāna			"Present Ind."	"    1"
prastṛ	1	prastaret	Third	Sg.	"Pres. Potential"	"    1"
prastṛ	1	prastṛṇat			"Present Ind."	"    1"
prasthā	1	pratiṣṭhasi	Second	Sg.	"Present Ind."	"    1"
prasthā	1	prasthāsyāmi	First	Sg.	"Future Ind."	"    1"
prasthā	1	pratasthau	Third	Sg.	"Perfect Ind."	"    1"
prasthā	1	pratiṣṭhase	Second	Sg.	"Present Ind."	"    1"
prasthā	1	pratiṣṭhāmahe	First	Pl.	"Present Ind."	"    1"
prasthā	1	pratiṣṭhasva	Second	Sg.	"Pres. Imp."	"    1"
prasthā	1	pratiṣṭhethām	Second	Du.	"Pres. Imp."	"    1"
prasthā	1	pratasthe	First	Sg.	"Perfect Ind."	"    1"
prasthā	1	pratiṣṭheran	Third	Pl.	"Pres. Potential"	"    1"
prasthā	1	prātiṣṭhāmahi	First	Pl.	"Imperfect ind"	"    1"
prasthā	1	prasthāsye	First	Sg.	"Future Ind."	"    1"
prasthā	1	prasthātāsi	Second	Sg.	"Future. Ind. Peri."	"    1"
prasthā	1	prasthātāsmahe	First	Pl.	"Future. Ind. Peri."	"    1"
prasthā	1	prastheya			"Future passive particle"	"    1"
prasthā	1	pratasthivas			"Perfect Ind."	"    1"
prasthā	1	prasthitavat			"Past Active Participle"	"    1"
prasthāpay	10	prasthāpayeḥ	Second	Sg.	"Pres. Potential"	"    1"
prasthāpay	10	prasthāpayet	Third	Sg.	"Pres. Potential"	"    1"
prasthāpay	10	prasthāpayatu	Third	Sg.	"Pres. Imp."	"    1"
prasthāpay	10	prasthāpayāma	First	Pl.	"Pres. Imp."	"    1"
prasthāpay	10	prasthāpayata	Second	Pl.	"Pres. Imp."	"    1"
prasthāpay	10	prasthāpayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
prasthāpay	10	prasthāpyate	Third	Sg.	"Present Passive"	"    1"
prasthāpay	10	prasthāpayati	Third	Sg.	"Present Ind."	"    1"
prasthāpay	10	prasthāpitavat			"Past Active Participle"	"    1"
prasnā	2	prasnāti	Third	Sg.	"Present Ind."	"    1"
prasnā	2	prasnānt			"Present Ind."	"    1"
prasnu	2	prasnauti	Third	Sg.	"Present Ind."	"    1"
prasnu	2	prasnuvāna			"Present Ind."	"    1"
praspand	1	praspandante	Third	Pl.	"Present Ind."	"    1"
praspand	1	prāspandat	Third	Sg.	"Imperfect ind"	"    1"
prasphuṭ	6	prasphuṭuḥ	Third	Pl.	"Perfect Ind."	"    1"
prasphuṭ	6	prasphuṭat			"Present Ind."	"    1"
prasphoṭay	10	prasphoṭita			"Past Passive Participle"	"    1"
