"от -800 до -300"	au	1=0.04%	"от -800 до -300"	ai	1=0.04%	"от -800 до -300"	a	1027=44.27%	"от -800 до -300"	ā	149=6.42%	"от -800 до -300"	i	157=6.77%	"от -800 до -300"	ī	54=2.33%	"от -800 до -300"	u	98=4.22%	"от -800 до -300"	ū	15=0.65%	"от -800 до -300"	o	1=0.04%	"от -800 до -300"	e	6=0.26%	"от -800 до -300"	ṛ	61=2.63%	"от -800 до -300"	k	2=0.09%	"от -800 до -300"	g	1=0.04%	"от -800 до -300"	ḍ	3=0.13%	"от -800 до -300"	ṇ	1=0.04%	"от -800 до -300"	ch	3=0.13%	"от -800 до -300"	j	43=1.85%	"от -800 до -300"	c	26=1.12%	"от -800 до -300"	th	3=0.13%	"от -800 до -300"	dh	26=1.12%	"от -800 до -300"	t	73=3.15%	"от -800 до -300"	d	41=1.77%	"от -800 до -300"	n	123=5.30%	"от -800 до -300"	bh	10=0.43%	"от -800 до -300"	p	23=0.99%	"от -800 до -300"	m	38=1.64%	"от -800 до -300"	y	81=3.49%	"от -800 до -300"	r	15=0.65%	"от -800 до -300"	l	3=0.13%	"от -800 до -300"	v	14=0.60%	"от -800 до -300"	ṣ	44=1.90%	"от -800 до -300"	ś	30=1.29%	"от -800 до -300"	s	118=5.09%	"от -800 до -300"	h	27=1.16%
						rāvaṇa	m	0,30138	pā	v	0,07941	giri	m	0,10620	purī	f	0,06219	vasu	n	0,09057	prasū	v	0,01339							tṛ	v	0,07208																añj	v	0,02902	abhiṣic	v	0,02519				samindh	v	0,02966	nipat	v	0,04975	suhṛd	m	0,03476	brahman	n	0,10780	upalabh	v	0,00734	saṁtap	v	0,01914	āyam	v	0,02679	arday	v	0,02966	īr	v	0,01403				niṣev	v	0,01212	takṣ	v	0,02519	vaś	v	0,04656	vas	v	0,08132	pratigrah	v	0,03572
						vānara	m	0,29213	hā	v	0,07367	sakhi	m	0,09536	prī	v	0,05900	kratu	m	0,08962	dhū	v	0,01276							gṛ	v	0,06570																visṛj	v	0,02870	pravac	v	0,02073				bādh	v	0,02902	bhagavat	adj	0,04242	rud	v	0,03412	nihan	v	0,09185				avāp	v	0,01563	prayam	v	0,02360	bhakṣay	v	0,02838	dhur	f	0,01403				prāv	v	0,01180	avekṣ	v	0,02456	āviś	v	0,02902	namas	n	0,06984	pragrah	v	0,02264
						putra	m	0,29022	bhāryā	f	0,06889	bhūmi	f	0,09281	kaikeyī	f	0,05294	stu	v	0,08324	sambhū	v	0,01116							savitṛ	m	0,06059																vṛj	v	0,02551	yāc	v	0,01914				vidh	v	0,02424	vīryavat	adj	0,04242	hṛd	n	0,03381	brahman	m	0,08802				pradīp	v	0,01563	upagam	v	0,02328	bhūṣay	v	0,02743	ācar	v	0,01148				johav	v	0,00989	prekṣ	v	0,02392	naś	v	0,02775	yaśas	n	0,06952	ruh	v	0,01658
						vana	n	0,28480	prabhā	f	0,05709	ji	v	0,08930	śī	v	0,04720	sindhu	mf	0,06761	abhibhū	v	0,00989							hṛ	v	0,06028																utsṛj	v	0,02488	vimuc	v	0,01850				vyadh	v	0,02169	dhīmat	adj	0,03476	nad	v	0,02806	pathin	m	0,08356				tṛp	v	0,01403	kram	v	0,02232	pātay	v	0,02615	āśir	f	0,00893				pradiv	adj	0,00957	puṣ	v	0,02360	naś	v	0,02105	dhanus	n	0,06952	guh	v	0,01626
						dharma	mn	0,27555	ādā	v	0,05677	rayi	mf	0,08834	rākṣasī	f	0,04497	viṣṇu	m	0,06538	vadhū	f	0,00957							vṛ	v	0,05645																pariṣvaj	v	0,02424	arvāñc	adj	0,01626				samidh	f	0,01850	gomat	adj	0,03157	āsad	v	0,02806	saptan	adj	0,07335				śap	v	0,01308	upakram	v	0,02137	darśay	v	0,02551	svar	v	0,00829				inv	v	0,00957	riṣ	v	0,02232	spṛś	v	0,02009	śiras	n	0,06474	utsah	v	0,01563
						vīra	m	0,25737	dhārā	f	0,05326	kavi	m	0,07941	patnī	f	0,04465	uru	adj	0,06283	sarayū	f	0,00893							pṛ	v	0,04178																ūrj	f	0,02328	prāñc	adj	0,01499				samṛdh	v	0,01339	utpat	v	0,03062	vand	v	0,02519	daśan	adj	0,07208				gup	v	0,01212	niyam	v	0,02041	pālay	v	0,02392	sphur	v	0,00765							saṁhṛṣ	v	0,02105	vinaś	v	0,01786	havis	n	0,06442	mah	v	0,01563
						vākya	n	0,23823	prajā	f	0,05198	mati	f	0,07845	ānī	v	0,04242	hu	v	0,05581										jaritṛ	m	0,03923																yuj	m	0,02264	pratyañc	adj	0,01467				pravṛdh	v	0,01276	kṛt	adj	0,02998	niṣad	v	0,02456	vālin	m	0,07176				kup	v	0,01148	vikram	v	0,01945	pīḍay	v	0,02328										śikṣ	v	0,02105	kruś	v	0,01435	avas	n	0,06123	muh	v	0,01435
						artha	mn	0,21623	māyā	f	0,04911	saumitri	m	0,07558	mahī	f	0,04210	sādhu	adj	0,05454										āvṛ	v	0,03891																saṁyuj	v	0,02105	tvac	f	0,01339				rudh	v	0,01244	indrajit	m	0,02966	mud	v	0,02264	nāman	n	0,06665				prasvap	v	0,01148	śam	v	0,01914	vardhay	v	0,02264										vṛṣ	v	0,01882	upaviś	v	0,01403	barhis	mn	0,05900	nirdah	v	0,01212
						loka	m	0,21527	ayodhyā	f	0,04465	svasti	fn	0,07335	ī	v	0,03987	guru	m	0,04720										dhṛ	v	0,03285																bhrāj	v	0,01882	pṛc	v	0,01339				sādh	v	0,01180	balavat	adj	0,02934	vid	adj	0,02041	maghavan	m	0,06570				anuprāp	v	0,01116	praṇam	v	0,01850	niśāmay	v	0,02264										cakṣ	v	0,01850	prakāś	v	0,01371	śavas	n	0,05772	parigrah	v	0,01148
						yajña	m	0,20475	kausalyā	f	0,04433	buddhi	f	0,06697	bhī	v	0,03859	mṛtyu	m	0,04337										duhitṛ	f	0,02966																parityaj	v	0,01786	ric	v	0,01308				ṛtāvṛdh	adj	0,01148	nivṛt	v	0,02902	prasad	v	0,02009	vājin	m	0,05294				vip	v	0,01052	atikram	v	0,01818	vartay	v	0,02169										ācakṣ	v	0,01754	saṁdṛś	f	0,01116	rādhas	n	0,05677	prāh	v	0,01116
						jana	m	0,19167	utthā	v	0,04369	śuci	adj	0,06283	vī	v	0,03381	vasu	adj	0,04274										stotṛ	adj	0,02966																ṛtvij	m	0,01658	ṛc	f	0,01116				vivṛdh	v	0,01148	vidyut	fn	0,02870	viṣad	v	0,01850	maghavan	adj	0,05103				jap	v	0,00861	saṁgam	v	0,01690	śobhay	v	0,02041										dhṛṣ	v	0,01690	samāviś	v	0,01021	rajas	n	0,05645	adruh	adj	0,01021
						sva	adj	0,18912	āsthā	v	0,04210	mahi	adj	0,06251	rodasī	f	0,02806	cāru	adj	0,04242										pṛ	v	0,02870																vraj	v	0,01626	sruc	f	0,01021				kṣudh	f	0,00893	sat	adj	0,02870	vinad	v	0,01818	śarman	n	0,04752				parikṣip	v	0,00861	śam	n	0,01690	māday	v	0,02009										nirīkṣ	v	0,01658	aś	v	0,00989	jyotis	n	0,05613	nigrah	v	0,00893
						priya	adj	0,18657	rā	v	0,04178	aditi	f	0,05836	dīdī	v	0,02775	dhenu	f	0,04210										mṛ	v	0,02488																virāj	v	0,01467	viṣvañc	adj	0,01021				mṛdh	f	0,00861	madhumat	adj	0,02647	pad	m	0,01786	pañcan	adj	0,04752				vap	v	0,00829	niṣkram	v	0,01531	vibhūṣay	v	0,01945										abhibhāṣ	v	0,01626	saṁdiś	v	0,00989	śaṁs	v	0,05230	adhiruh	v	0,00829
						sūrya	m	0,18465	bhā	v	0,03923	yoni	mf	0,05198	nārī	f	0,02711	sūnu	m	0,04050										saṁvṛ	v	0,02232																niyuj	v	0,01371	pac	v	0,00925				śudh	v	0,00861	arvant	m	0,02647	ad	v	0,01754	mūrdhan	m	0,04561				paryāp	v	0,00829	adhigam	v	0,01467	īray	v	0,01914										ṣaṣ	adj	0,01563	vāś	v	0,00925	rodas	n	0,05135	puruspṛh	adj	0,00797
						vacana	n	0,17573	upasthā	v	0,03795	adri	m	0,05007	dyāvāpṛthivī	f	0,02519	vasu	mn	0,03987										svasṛ	f	0,02201																yuj	adj	0,01276	vraśc	v	0,00797				ṛdh	v	0,00829	jagant	n	0,02615	krand	v	0,01690	tan	v	0,04433							nam	v	0,01308	samāsāday	v	0,01882										duṣ	v	0,01499	niviś	v	0,00925	śravas	n	0,05071	ūh	v	0,00797
						parama	adj	0,17222	vijñā	v	0,03763	gati	f	0,05007	sarasvatī	f	0,02424	āśu	adj	0,03859										smṛ	v	0,02201																ruj	v	0,01212	śośuc	v	0,00765				sidh	v	0,00829	jāmbavant	m	0,02232	mand	v	0,01690	han	adj	0,04305							vigam	v	0,01308	parivāray	v	0,01850										ukṣ	v	0,01435	ādiś	v	0,00893	āyus	n	0,05071	dih	v	0,00797
						sahasra	mn	0,17094	śā	v	0,03731	hi	v	0,04752	śacī	f	0,02360	ripu	m	0,03636										tvaṣṭṛ	m	0,02169																samrāj	m	0,01180	ruc	f	0,00734				sidh	v	0,00765	napāt	m	0,02137	śarad	f	0,01563	van	v	0,04050							kṣam	v	0,01180	mūrchay	v	0,01754										vīkṣ	v	0,01435	uddiś	v	0,00893	tamas	n	0,04879	vṛh	v	0,00734
						śara	m	0,17094	devatā	f	0,03636	bṛhaspati	m	0,04624	oṣadhī	f	0,02169	ketu	m	0,03381										puraskṛ	v	0,02169																nirṇij	f	0,01148										parāvat	f	0,02041	āpad	v	0,01563	pūṣan	m	0,03955							nirgam	v	0,01148	devay	v	0,01595										vakṣ	v	0,01308	pradiś	f	0,00829	ās	v	0,04369	rih	v	0,00734
						sugrīva	m	0,17062	prayā	v	0,03412	pāṇi	m	0,04592	mī	v	0,02169	paśu	m	0,03349										sṛ	v	0,02009																saṁrañj	v	0,01148										āpat	v	0,01945	samad	f	0,01499	mantrin	m	0,03827							sambhram	v	0,01148	vājay	v	0,01595										nakṣ	v	0,01276	praṇaś	v	0,00829	jātavedas	m	0,04210			
						kāla	m	0,15468	senā	f	0,03381	dvi	nr	0,04592	dharaṇī	f	0,02105	ikṣvāku	m	0,03125										āhṛ	v	0,02009																sañj	v	0,01116										pravṛt	v	0,01914	pratipad	v	0,01403	aryaman	m	0,03795							avagam	v	0,00989	niveśay	v	0,01563										dviṣ	mf	0,01244	anupaś	v	0,00797	cakṣus	n	0,04178			
						bharata	m	0,15181	vidhā	v	0,03381	bhūri	adj	0,04242	jānakī	f	0,02041	prabhu	m	0,03125										jāgṛ	v	0,01850																ṛj	v	0,01021										haviṣmat	adj	0,01850	upapad	v	0,01308	san	v	0,03381							ākram	v	0,00957	nipātay	v	0,01531										tuṣ	v	0,01212	bhraṁś	v	0,00797	vayas	n	0,03859			
						aśva	m	0,15117	jihvā	f	0,03349	prīti	f	0,04210	medinī	f	0,01882	manyu	mf	0,03030										vikṛ	v	0,01850																garj	v	0,01021										yat	v	0,01818	prapad	v	0,01212	dhāman	n	0,03253							pariśram	v	0,00957	sthāpay	v	0,01499										bhūṣ	v	0,01180				payas	n	0,03668			
						varuṇa	m	0,14383	gā	v	0,03349	raśmi	mf	0,04050	parī	v	0,01850	śatakratu	m	0,03030										jṛ	v	0,01818																udvij	v	0,01021										revat	adj	0,01786	nard	v	0,01180	yaśasvin	adj	0,03094							dham	v	0,00861	upaśobhay	v	0,01499										dviṣ	adj	0,01052				sajoṣas	adj	0,03285			
						vāja	m	0,14192	gadā	f	0,03285	śakti	f	0,03987	vāhinī	f	0,01658	sānu	mn	0,02998										vyāhṛ	v	0,01754																vibhaj	v	0,01021										dyumat	adj	0,01786	kanikrad	v	0,01116	heman	n	0,03062							bhram	v	0,00829	preṣay	v	0,01499										iṣ	v	0,00989				andhas	n	0,03157			
						kāma	m	0,14128	ākhyā	v	0,03253	prāñjali	adj	0,03763	rajanī	f	0,01435	manu	m	0,02838										alaṁkṛ	v	0,01658																sraj	f	0,00989										marutvat	adj	0,01754	mud	f	0,01052	abhihan	v	0,03030							abhikram	v	0,00797	tāḍay	v	0,01467										vikṛṣ	v	0,00989				vāsas	n	0,03094			
						rūpa	n	0,13969	kanyā	f	0,03221	hari	adj	0,03636	lakṣmī	f	0,01403	ṛbhu	m	0,02806										ākṛ	v	0,01563																rej	v	0,00957										sarit	f	0,01722	nirbhid	v	0,01021	pakṣin	m	0,02838							śram	v	0,00797	mohay	v	0,01467										kṛṣ	v	0,00861				aṁhas	n	0,02838			
						uttama	adj	0,13714	janakātmajā	f	0,03030	rātri	f	0,03572	nagarī	f	0,01403	dasyu	m	0,02711										samāvṛ	v	0,01499																aj	v	0,00925										abhivṛt	v	0,01658	nid	f	0,00925	vajrin	m	0,02775							samudyam	v	0,00797	karśay	v	0,01435										pṛkṣ	f	0,00829				śocis	n	0,02711			
						śata	mn	0,13650	gā	v	0,02998	sumati	f	0,03572	rathī	adj	0,01403	bandhu	m	0,02679										satkṛ	v	0,01467																tuj	v	0,00925										harivat	adj	0,01658	utpad	v	0,00925	vādin	adj	0,02743							niram	v	0,00734	sapary	v	0,01435										viṣ	v	0,00829				cakṣas	n	0,02679			
						vīrya	n	0,13299	gaṅgā	f	0,02902	ūrmi	mf	0,03381	vāṇī	f	0,01371	bhānu	m	0,02647										sampṛ	v	0,01403																anurañj	v	0,00925										himavant	m	0,01595	pramad	v	0,00925	balin	adj	0,02583							vidham	v	0,00734	iṣay	v	0,01339										pratibhāṣ	v	0,00829				praśaṁs	v	0,02679			
						mitra	mn	0,13140	śilā	f	0,02870	vṛṣṭi	f	0,03381	taviṣī	f	0,01339	hetu	m	0,02519										stṛ	v	0,01244																samāyuj	v	0,00893										adrivat	adj	0,01499	nud	v	0,00893	cārin	adj	0,02551										āśvāsay	v	0,01339										pratīkṣ	v	0,00829				śās	v	0,02519			
						parvata	mn	0,13108	pyā	v	0,02870	ahi	m	0,03189	vinī	v	0,01244	cyu	v	0,02519										parivṛ	v	0,01180																uśij	adj	0,00797										ruśat	adj	0,01339	abhipad	v	0,00893	vājin	adj	0,02551										prasāday	v	0,01339										samprekṣ	v	0,00829				aṅgiras	m	0,02424			
						śoka	m	0,12980	pradā	v	0,02775	āśri	v	0,03189	bhāminī	f	0,01148	dru	v	0,02519										vihṛ	v	0,01052																prayuj	v	0,00797										vivasvant	m	0,01308	pramud	v	0,00829	manman	n	0,02488										ājñāpay	v	0,01308										parituṣ	v	0,00765				vas	v	0,02424			
						nara	m	0,12310	kathā	f	0,02647	kṣiti	f	0,03125	jananī	f	0,01148	pṛthu	adj	0,02392										avatṛ	v	0,01021																majj	v	0,00765										ātmavat	adj	0,01276				vṛtrahan	m	0,02488										varjay	v	0,01276										samprahṛṣ	v	0,00765				vapus	n	0,02392			
						ṛta	n	0,12215	tā	f	0,02615	sāti	f	0,03094	atī	v	0,01148	āyu	m	0,02328										vikṛ	v	0,00989																marmṛj	v	0,00734										pratāpavat	adj	0,01276				ṛtāvan	adj	0,02488										kāray	v	0,01244										vivakṣ	v	0,00765				cetas	n	0,02264			
						ghora	adj	0,12023	mā	v	0,02519	ari	adj	0,03062	śrī	v	0,01148	sudānu	adj	0,02201										vistṛ	v	0,00989																												prajāvat	adj	0,01212				adhvan	m	0,02456										āropay	v	0,01212										anviṣ	v	0,00734				manus	m	0,02232			
						śreṣṭha	adj	0,10971	niśā	v	0,02519	pīti	f	0,03062	tapasvinī	f	0,01116	aṁśu	m	0,02169										dhātṛ	m	0,00957																												apaśyat	adj	0,01180				tman	m	0,02456										vāray	v	0,01180																uras	n	0,02232			
						vara	adj	0,10939	gopā	m	0,02456	añjali	m	0,02998	samānī	v	0,01084	sru	v	0,02169										hantṛ	adj	0,00957																												etāvat	adj	0,01180				janman	n	0,02392										dharṣay	v	0,01180																apas	n	0,02073			
						rājya	n	0,10939	svadhā	f	0,02392	sūri	m	0,02966	vī	v	0,01021	āhu	v	0,02169										apahṛ	v	0,00925																												samutpat	v	0,01180				durātman	adj	0,02296										āmantray	v	0,01180																apsaras	f	0,02041			
						bhaya	n	0,10684	guhā	f	0,02392	rāti	f	0,02743	śarvarī	f	0,00893	adhvaryu	m	0,02137										uddhṛ	v	0,00925																												niyut	f	0,01180				vṛṣan	adj	0,02232										nāśay	v	0,01148																vedhas	m	0,01977			
						śūra	m	0,10620	prasthā	v	0,02392	śri	v	0,02647	dhī	v	0,00893	plu	v	0,02137										pariṣkṛ	v	0,00925																												niṣpat	v	0,01148				kāmarūpin	adj	0,02201										rocay	v	0,01116																vas	v	0,01977			
						mada	m	0,10588	tārā	f	0,02296	maṇi	m	0,02615	sakhī	f	0,00797	ṛtu	m	0,02105										janitṛ	m	0,00893																												vipaścit	adj	0,01116				yāman	n	0,02073										pracoday	v	0,01116																prahas	v	0,01945			
						raṇa	m	0,10397	khyā	v	0,02232	vi	mn	0,02583	bherī	f	0,00765	iṣu	mf	0,02041										kṛ	v	0,00861																												pravat	f	0,01084				vāsin	adj	0,02041										kalpay	v	0,01084																varcas	n	0,01914			
						vajra	mn	0,10174	dā	adj	0,02232	dhīti	f	0,02424	urvī	f	0,00765	aśru	mn	0,01945										dṛ	v	0,00861																												dyut	v	0,01084				mahiman	m	0,02041										pūray	v	0,01084																upās	v	0,01882			
						gaṇa	m	0,10174	nidhā	v	0,02169	aśani	mf	0,02424	padminī	f	0,00734	dhātu	mn	0,01914										avakṛ	v	0,00861																												aśvāvat	adj	0,01052				yuvan	m	0,02009										mṛḍay	v	0,01084																nabhas	n	0,01818			
						divya	adj	0,10142	manīṣā	f	0,02137	atithi	m	0,02392	putrī	f	0,00734	yu	v	0,01914										avitṛ	adj	0,00829																												vīravat	adj	0,01052				āhan	v	0,02009										arcay	v	0,01052																retas	n	0,01818			
						puruṣa	m	0,09887	dakṣiṇā	f	0,02073	sārathi	m	0,02392				vibhu	adj	0,01754										trātṛ	m	0,00829																												yoṣit	f	0,01021				veśman	n	0,01977										uruṣy	v	0,01052																prayas	n	0,01754			
						vega	m	0,09823	trā	v	0,02073	koṭi	f	0,02328				gātu	m	0,01754										ābhṛ	v	0,00829																												svadhāvat	adj	0,01021				dharman	n	0,01754										sāntvay	v	0,01021																saras	n	0,01722			
						citra	adj	0,09695	saṁdhā	v	0,02073	vahni	m	0,02328				abhidru	v	0,01722										dātṛ	adj	0,00829																												pṛt	f	0,01021				grāvan	m	0,01690										lakṣay	v	0,01021																vanaukas	m	0,01658			
						yuddha	n	0,09568	sutā	f	0,02041	muṣṭi	mf	0,02296				viśru	v	0,01722										śṛ	v	0,00797																												ativṛt	v	0,01021				caturdaśan	adj	0,01690										yojay	v	0,00989																pracetas	adj	0,01658			
						śubha	adj	0,09312	niryā	v	0,02009	carṣaṇi	f	0,02169				kāru	m	0,01690										saṁskṛ	v	0,00797																												anuvṛt	v	0,00957				dhanvan	n	0,01658										daśasy	v	0,00989																ūdhas	n	0,01626			
						samudra	m	0,09185	vasudhā	f	0,01945	vīti	f	0,02137				śiśu	m	0,01658										vivṛ	v	0,00734																												vegavat	adj	0,00925				parvan	n	0,01595										utpāṭay	v	0,00957																tras	v	0,01626			
						bāṇa	m	0,09185	saṁdhyā	f	0,01914	prajāpati	m	0,02137				aktu	m	0,01626										jṛ	v	0,00734																												buddhimat	adj	0,00893				sahasrin	adj	0,01595										sūday	v	0,00893																dveṣas	n	0,01531			
						satya	adj	0,09121	iḍā	f	0,01882	kṣi	v	0,02137				dhṛṣṇu	adj	0,01531																																								nikṛt	v	0,00893				tejasvin	adj	0,01563										hary	v	0,00893																sadas	n	0,01499			
						agra	n	0,08962	āyā	v	0,01882	nābhi	f	0,02105				meru	m	0,01499																																								abhipat	v	0,00861				sāman	n	0,01563										nāday	v	0,00861																mahas	n	0,01499			
						bhīma	adj	0,08834	pratijñā	f	0,01818	oṣadhi	mf	0,02105				setu	m	0,01499																																								bhṛt	adj	0,00829				tapasvin	m	0,01563										harṣay	v	0,00861																navyas	adj	0,01435			
						upama	adj	0,08738	vihā	v	0,01818	nṛpati	m	0,02041				madhu	adj	0,01467																																								kṛt	v	0,00797				kārin	adj	0,01499										visarjay	v	0,00861																varivas	n	0,01403			
						vrata	n	0,08707	sumitrā	f	0,01786	ari	m	0,02009				laghu	adj	0,01467																																								śrut	adj	0,00797				aśman	mn	0,01499										day	v	0,00861																triśiras	m	0,01403			
						ṛṣabha	m	0,08579	cintā	f	0,01754	udi	v	0,02009				dānu	fn	0,01467																																								asat	adj	0,00765				kāṅkṣin	adj	0,01467										mantray	v	0,00829																puṁs	m	0,01403			
