"Недатированные тексты"	a	1920=56.86%	"Недатированные тексты"	ā	348=10.31%	"Недатированные тексты"	i	171=5.06%	"Недатированные тексты"	ī	218=6.46%	"Недатированные тексты"	u	93=2.75%	"Недатированные тексты"	ū	18=0.53%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	e	2=0.06%	"Недатированные тексты"	ṛ	37=1.10%	"Недатированные тексты"	kh	1=0.03%	"Недатированные тексты"	k	1=0.03%	"Недатированные тексты"	g	1=0.03%	"Недатированные тексты"	ṭh	1=0.03%	"Недатированные тексты"	ṭ	3=0.09%	"Недатированные тексты"	ch	3=0.09%	"Недатированные тексты"	j	24=0.71%	"Недатированные тексты"	c	14=0.41%	"Недатированные тексты"	th	1=0.03%	"Недатированные тексты"	dh	16=0.47%	"Недатированные тексты"	t	33=0.98%	"Недатированные тексты"	d	33=0.98%	"Недатированные тексты"	n	125=3.70%	"Недатированные тексты"	bh	3=0.09%	"Недатированные тексты"	p	22=0.65%	"Недатированные тексты"	b	1=0.03%	"Недатированные тексты"	m	16=0.47%	"Недатированные тексты"	y	157=4.65%	"Недатированные тексты"	r	7=0.21%	"Недатированные тексты"	l	5=0.15%	"Недатированные тексты"	v	3=0.09%	"Недатированные тексты"	ṣ	18=0.53%	"Недатированные тексты"	ś	21=0.62%	"Недатированные тексты"	s	47=1.39%	"Недатированные тексты"	h	12=0.36%
viṣa	n	0,32229	triphalā	mf	0,06955	puṣṭi	f	0,08815	kūpī	f	0,02892	dru	v	0,06129	udbhū	v	0,00826							samuddhṛ	v	0,02824																			bhaj	v	0,01791	sic	v	0,01171				budh	v	0,01033	jagant	n	0,01722	khād	v	0,01859	karman	n	0,10881				prakṣip	v	0,01515				āyam	v	0,00964	vimarday	v	0,04476										puṣ	v	0,01102	paś	v	0,00964	śiras	n	0,03857	vyūh	v	0,00689
artha	mn	0,31610	mūṣā	f	0,06818	krimi	m	0,08677	snuhī	f	0,02755	śru	v	0,05922	varṣābhū	f	0,00689							uddhṛ	v	0,02479																			asṛj	n	0,01240	niṣic	v	0,00689				kṣudh	f	0,00964	triṁśat	f	0,01653	praṇud	adj	0,01722	aṣṭan	adj	0,09710				prajap	v	0,01308				praṇam	v	0,00895	bhakṣay	v	0,04339										viśiṣ	v	0,01033	upadiś	v	0,00964	āyus	n	0,03650	arh	v	0,00620
apaha	adj	0,29681	guñjā	f	0,06680	kṛmi	m	0,08333	kumārī	f	0,02686	guru	m	0,05647	kharjū	f	0,00689							prakṛ	v	0,02410																			rañj	v	0,01240	nirmuc	v	0,00620				saṁrudh	v	0,00620	tāvat	adj	0,01515	utpad	v	0,01722	daśan	adj	0,07782				ap	m	0,01171				śam	v	0,00758	dhāray	v	0,04063										duṣ	v	0,00964	vinirdiś	v	0,00964	payas	n	0,03581	āruh	v	0,00482
sūta	mn	0,28097	abhidhā	f	0,06542	ruci	f	0,08195	śatāvarī	f	0,02686	bindu	mn	0,05440	prabhū	v	0,00551							kartṛ	adj	0,01791																			yaj	v	0,00895	prāñc	adj	0,00551				vadh	v	0,00551	marut	m	0,01377	nigad	v	0,01584	hārin	adj	0,07231				avāp	v	0,01102				bhram	v	0,00551	cūrṇay	v	0,03719										bhakṣ	v	0,00689	tādṛś	adj	0,00826	medas	n	0,02961			
guṇa	mn	0,26927	yā	v	0,05991	vṛddhi	f	0,07438	nī	v	0,02617	ambu	n	0,05165	prādurbhū	v	0,00551							vistṛ	v	0,01653																			añj	v	0,00826	atiric	v	0,00413				nibandh	v	0,00482	kiyat	adj	0,01240	śarad	f	0,01377	ātman	m	0,06818				svap	v	0,01033				yam	v	0,00482	pācay	v	0,03650										pracakṣ	v	0,00689	vinaś	v	0,00826	nyas	v	0,02824			
tva	n	0,25481	jarā	f	0,05372	ji	v	0,06336	nārī	f	0,02410	mṛdu	adj	0,05165	vadhū	f	0,00482							saṁskṛ	v	0,01584																			sṛj	v	0,00826							niṣidh	v	0,00482	dhīmat	adj	0,01240	āpad	v	0,01033	kārin	adj	0,06336				gup	v	0,00895				ākram	v	0,00482	nāśay	v	0,03650										bhāṣ	v	0,00620	spṛś	v	0,00689	vapus	n	0,02479			
loha	mn	0,23759	mudrā	f	0,05303	kānti	f	0,06267	deveśī	f	0,02410	vāyu	m	0,04614	bhasmībhū	v	0,00482							āvṛ	v	0,01240																			majj	v	0,00826							samidh	f	0,00413	dvātriṁśat	f	0,01102	sampad	v	0,01033	yogin	m	0,06060				saṁtap	v	0,00826				nirgam	v	0,00413	māray	v	0,03512										śuṣ	v	0,00620	prakāś	v	0,00689	vayas	n	0,02410			
kuṣṭha	mn	0,23415	hā	v	0,05165	vyādhi	m	0,06129	śuṇṭhī	f	0,02204	hetu	m	0,04132	antarbhū	v	0,00413							hantṛ	adj	0,01171																			parityaj	v	0,00758										cit	f	0,00964	chid	v	0,00964	navan	adj	0,05372				vyāp	v	0,00689							lepay	v	0,03512										vyācakṣ	v	0,00551	diś	v	0,00620	gras	v	0,02410			
kaṣāya	adj	0,23070	saṁjñā	f	0,05027	śakti	f	0,05854	sudhī	adj	0,02204	jantu	m	0,03719	ekībhū	v	0,00413							ekīkṛ	v	0,01102																			bhāj	adj	0,00689										yakṛt	n	0,00964	prasad	v	0,00964	ṣoḍaśan	adj	0,05303				vilip	v	0,00620							jāray	v	0,03512										īkṣ	v	0,00482	niś	f	0,00551	sarpis	n	0,02135			
yoga	m	0,21968	tṛṣṇā	f	0,04821	śuddhi	f	0,05716	kuṇḍalī	f	0,02135	śilājatu	mn	0,03306										mātṛ	f	0,01033																			yuj	adj	0,00620										śakṛt	n	0,00964	saṁvid	f	0,00895	grāhin	adj	0,05303				samprāp	v	0,00620							pūray	v	0,03374													bhraṁś	v	0,00482	tejas	n	0,02066			
hara	adj	0,21899	mā	v	0,04201	muni	m	0,05509	cullī	f	0,02135	śatru	m	0,02892										āhṛ	v	0,01033																			niyuj	v	0,00620										yoṣit	f	0,00895	vid	v	0,00895	nihan	v	0,05096				niḥkṣip	v	0,00551							sādhay	v	0,03306													upaviś	v	0,00413	abhyas	v	0,01791			
dāha	m	0,21555	kriyā	f	0,04132	bhūmi	f	0,04821	aśmarī	mf	0,02135	tanu	f	0,02686										bhṛ	v	0,00964																			upayuj	v	0,00482										yāvat	adj	0,00826	mud	f	0,00826	plīhan	m	0,04270				ālip	v	0,00482							darśay	v	0,03168													praṇaś	v	0,00413	ambhas	n	0,01722			
jvara	m	0,21486	saṁkhyā	f	0,03925	jāti	f	0,04545	maheśānī	f	0,02066	śigru	mfn	0,02273										pitṛ	m	0,00895																			nimajj	v	0,00482										bṛhat	adj	0,00826	vand	v	0,00758	brahman	m	0,03925				kﾱp	v	0,00413							śodhay	v	0,03099																dhanus	n	0,01584			
sattva	n	0,20729	dhā	v	0,03925	bali	m	0,04545	guḍūcī	f	0,02066	vasu	mn	0,02135										sṛ	v	0,00689																			virāj	v	0,00482										pañcāśat	f	0,00826	dṛṣad	f	0,00689	dāyin	adj	0,03788													kīrtay	v	0,02961																vinyas	v	0,01515			
bīja	mn	0,20453	vidyā	f	0,03857	vāri	n	0,04545	nirguṇḍī	f	0,01859	paṭu	mn	0,01859										cūrṇīkṛ	v	0,00689																			bhṛjj	v	0,00482										trivṛt	f	0,00758	niṣpad	v	0,00689	nāśin	adj	0,03374													miśray	v	0,02892																jyotis	n	0,01377			
roga	mn	0,20316	mātrā	f	0,03788	ravi	m	0,03994	rohiṇī	f	0,01859	guggulu	mn	0,01791										sampṛ	v	0,00689																															pravṛt	v	0,00758	gad	v	0,00620	dvādaśan	adj	0,03306													parikīrtay	v	0,02755																vas	v	0,01377			
śīta	adj	0,19765	rujā	f	0,03719	dadhi	n	0,03994	jīvantī	f	0,01859	viṣṇu	m	0,01791										paripṛ	v	0,00551																															matimat	adj	0,00689	mad	v	0,00620	rājan	m	0,03168													īray	v	0,02617																ojas	n	0,01308			
kara	adj	0,19558	manaḥśilā	mf	0,03650	aruci	f	0,03857	khecarī	f	0,01859	manu	m	0,01653										vikṛ	v	0,00551																															buddhimat	adj	0,00689	sampad	f	0,00482	prajan	v	0,03099													śoṣay	v	0,02479																cakṣus	n	0,01240			
bala	mn	0,19351	mṛttikā	fn	0,03650	chardi	f	0,03788	bṛhatī	f	0,01859	ṛtu	m	0,01653										samāhṛ	v	0,00551																															balavat	adj	0,00620	samutpad	v	0,00482	aśman	mn	0,02341													janay	v	0,02410																vāsas	n	0,01171			
cūrṇa	mn	0,19007	nidhā	v	0,03650	śānti	f	0,03512	kāminī	f	0,01791	indu	m	0,01653										samudāhṛ	v	0,00551																															nipat	v	0,00620	kṣud	v	0,00413	caturdaśan	adj	0,02273													veṣṭay	v	0,02341																retas	n	0,01102			
nāśana	adj	0,18594	śarkarā	f	0,03512	maṇi	m	0,03374	dhātrī	f	0,01791	paśu	m	0,01515										dūrīkṛ	v	0,00551																															sarit	f	0,00551	nind	v	0,00413	saṁgrāhin	adj	0,02135													rañjay	v	0,02273																cetas	n	0,00895			
dīpana	adj	0,18318	sitā	f	0,03443	vānti	f	0,03374	mahiṣī	f	0,01791	sindhu	mn	0,01446										bhartṛ	m	0,00482																															guṇavat	adj	0,00551	spand	v	0,00413	han	adj	0,02066													prayojay	v	0,02273																tamas	n	0,00895			
snigdha	adj	0,18112	mūrchā	f	0,03374	dṛṣṭi	f	0,03374	musalī	f	0,01791	śvayathu	m	0,01377										īśitṛ	m	0,00482																															bhagavat	adj	0,00482	pratipad	v	0,00413	bhedin	adj	0,01997													sāray	v	0,02135																mās	m	0,00895			
gandha	mn	0,17905	tṛṣā	f	0,03306	kaṇḍūti	f	0,03168	kastūrī	f	0,01722	trapu	n	0,01377										tṛ	v	0,00482																															nivṛt	v	0,00413	pravad	v	0,00413	vyoman	mn	0,01997													dāpay	v	0,02135																vidvas	adj	0,00895			
vīrya	n	0,17699	guṭikā	f	0,03237	gati	f	0,03168	piṣṭī	f	0,01722	devadāru	mn	0,01377										niḥsṛ	v	0,00482																																					vināśin	adj	0,01928													pātay	v	0,02066																ās	v	0,00826			
da	adj	0,17630	punarnavā	mf	0,03237	yoni	mf	0,03030	lāṅgalī	f	0,01653	hiṅgu	mn	0,01377										saṁvṛ	v	0,00482																																					śikhin	m	0,01928													vivarjay	v	0,01997																samabhyas	v	0,00826			
jala	n	0,17354	prabhā	f	0,03099	koṭi	f	0,02961	nadī	f	0,01584	ikṣu	m	0,01308										kartṛ	m	0,00413																																					pañcadaśan	adj	0,01928													saṁmarday	v	0,01997																śreyas	n	0,00758			
phala	n	0,17010	kalā	f	0,02961	vami	f	0,02961	gaurī	f	0,01584	vastu	n	0,01308										prasṛ	v	0,00413																																					aṣṭādaśan	adj	0,01859													mūrchay	v	0,01928																bhūyas	adj	0,00689			
vraṇa	mn	0,16803	vijayā	f	0,02961	piṣṭi	f	0,02961	kākolī	f	0,01515	plu	v	0,01308																																																	vedhin	adj	0,01791													sveday	v	0,01928																rakṣas	n	0,00620			
dina	mn	0,16390	āhvā	f	0,02892	saṁdhi	mf	0,02892	dhī	f	0,01515	ūru	mf	0,01240																																																	vājin	m	0,01653													pradāpay	v	0,01928																vacas	n	0,00620			
kāsa	m	0,16321	pradā	v	0,02892	viṁśati	f	0,02824	devadālī	f	0,01515	ripu	m	0,01240																																																	janman	n	0,01653													melay	v	0,01928																srotas	n	0,00620			
gandhaka	mn	0,16321	kanyā	f	0,02755	yukti	f	0,02824	pārvatī	f	0,01515	tantu	m	0,01240																																																	brahman	n	0,01653													peṣay	v	0,01859																uras	n	0,00482			
pattra	mn	0,16252	pūjā	f	0,02755	śāli	m	0,02686	dantī	f	0,01515	jānu	mn	0,01033																																																	trayodaśan	adj	0,01584													ācchāday	v	0,01791																vakṣas	n	0,00482			
bhāga	m	0,16184	chāyā	f	0,02686	aṅguli	mf	0,02548	brāhmī	f	0,01515	hu	v	0,01033																																																	pakṣin	m	0,01446													guṇay	v	0,01791																yaśas	n	0,00482			
tāmra	n	0,15633	amṛtā	f	0,02617	buddhi	f	0,02548	kajjalī	f	0,01377	upadhātu	m	0,00964																																																	rūpin	adj	0,01377													lakṣay	v	0,01722																kanīyas	adj	0,00413			
śvāsa	m	0,15564	bhāvanā	f	0,02410	i	v	0,02548	karkoṭī	f	0,01377	bhānu	m	0,00964																																																	apahārin	adj	0,01377													prapūjay	v	0,01653																pāthas	n	0,00413			
śūla	mn	0,15564	haridrā	f	0,02410	rātri	f	0,02479	cetakī	f	0,01377	taru	m	0,00964																																																	pattrin	m	0,01240													mudray	v	0,01653																tapas	n	0,00413			
ja	adj	0,15288	vālukā	f	0,02341	nābhi	f	0,02410	rajanī	f	0,01377	dadru	fn	0,00964																																																	rūkman	n	0,01240													cāray	v	0,01584																sahas	n	0,00413			
rucya	adj	0,14737	hikkā	f	0,02341	asthi	n	0,02410	lakṣmī	f	0,01377	prabhu	m	0,00964																																																	majjan	m	0,01171													kalpay	v	0,01515																					
mantra	mn	0,14531	khyā	v	0,02341	mukti	f	0,02410	sureśvarī	f	0,01377	trikaṭu	mn	0,00895																																																	yogavāhin	adj	0,01171													recay	v	0,01515																					
mākṣika	mfn	0,14324	ādā	v	0,02341	rati	f	0,02341	kākamācī	f	0,01308	bāhu	mf	0,00895																																																	śaśin	m	0,01171													gālay	v	0,01515																					
aṁśa	m	0,14118	avasthā	f	0,02273	kṣi	v	0,02341	padminī	f	0,01308	paṭu	adj	0,00826																																																	nikhan	v	0,01171													drāvay	v	0,01515																					
abhra	mn	0,14049	lākṣā	f	0,02273	bhrānti	f	0,02273	vākucī	f	0,01308	āśu	adj	0,00826																																																	saṁjan	v	0,01102													niyojay	v	0,01515																					
vidhāna	n	0,14049	śyāmā	f	0,02204	oṣadhi	mf	0,02273	dhātakī	f	0,01240	priyaṅgu	mf	0,00826																																																	rasakarman	n	0,01033													jvālay	v	0,01446																					
nāga	mn	0,13773	mustā	fn	0,02204	giri	m	0,02135	yoginī	f	0,01240	sru	v	0,00826																																																	dehin	m	0,01033													prakalpay	v	0,01446																					
puṭa	mn	0,13567	niśā	f	0,02135	ekaviṁśati	f	0,02066	vartī	f	0,01240	vidru	v	0,00826																																																	mūrdhan	m	0,01033													mantray	v	0,01377																					
dvaya	n	0,13498	abhidhā	v	0,02135	druti	f	0,02066	jayantī	f	0,01240	aguru	mn	0,00758																																																	narman	n	0,00964													āvartay	v	0,01377																					
mukha	n	0,13498	āyā	v	0,02135	akṣi	n	0,02066	jyotiṣmatī	f	0,01240	tanu	adj	0,00758																																																	arthin	adj	0,00964													prajvālay	v	0,01377																					
varṇa	mn	0,13360	saṁsthā	v	0,02135	ākṛti	f	0,01997	kālī	f	0,01171	śambhu	m	0,00758																																																	rogin	adj	0,00964													abhimantray	v	0,01308																					
vṛṣya	adj	0,13360	vacā	f	0,02066	vasti	mf	0,01997	kunaṭī	f	0,01171	ṛju	adj	0,00689																																																	durnāman	fn	0,00964													cālay	v	0,01308																					
kṣīra	n	0,12947	samākhyā	v	0,02066	smṛti	f	0,01997	nāgavallī	f	0,01171	dhenu	f	0,00689																																																	śṛṅgin	mfn	0,00964													niveśay	v	0,01308																					
tulya	adj	0,12809	elā	mf	0,01997	garbhadruti	f	0,01997	cāṅgerī	f	0,01171	rajju	mf	0,00689																																																	tan	v	0,00964													vāhay	v	0,01240																					
āhvaya	m	0,12740	medhā	f	0,01997	śuci	adj	0,01859	valī	f	0,01171	hiṅgu	n	0,00689																																																	kṛtin	adj	0,00895													nirvāhay	v	0,01240																					
rakta	n	0,12740	jaṭā	f	0,01997	granthi	m	0,01791	somavallī	f	0,01171	kaṭu	m	0,00620																																																	vāhin	adj	0,00895													viśoṣay	v	0,01240																					
madhya	n	0,12671	ajā	f	0,01928	viśuddhi	f	0,01791	śaṅkhinī	f	0,01171	kapikacchu	f	0,00620																																																	roman	n	0,00895													saṁsthāpay	v	0,01240																					
asra	n	0,12534	rājikā	f	0,01859	utpatti	f	0,01653	lī	v	0,01171	cāru	adj	0,00620																																																	hastin	m	0,00895													vicūrṇay	v	0,01171																					
vajra	mn	0,12465	saṁmā	v	0,01859	muṣṭi	mf	0,01653	ānī	v	0,01171	pāṁśu	m	0,00620																																																	vidāhin	adj	0,00895													vināśay	v	0,01171																					
prada	adj	0,12396	jihvā	f	0,01791	dīpti	f	0,01515	auṣadhī	f	0,01102	paṭu	m	0,00551																																																	gāmin	adj	0,00895													kṣālay	v	0,01102																					
mātra	n	0,12327	sikatā	mf	0,01791	sthiti	f	0,01515	karkaṭī	f	0,01102	iṣu	mf	0,00551																																																	viṣṭambhin	adj	0,00895													racay	v	0,01102																					
taila	n	0,12258	pathyā	f	0,01722	mṛti	f	0,01515	vaṭī	f	0,01102	tālu	mn	0,00551																																																	saptadaśan	adj	0,00895													viracay	v	0,01102																					
kaṭuka	adj	0,12189	nāsā	f	0,01722	surabhi	adj	0,01446	sundarī	f	0,01102	jambu	f	0,00551																																																	manīṣin	adj	0,00826													samśoṣay	v	0,01102																					
āmaya	m	0,12189	kaṇā	f	0,01653	sugandhi	adj	0,01446	parameśānī	f	0,01102	sīdhu	mfn	0,00551																																																	carman	n	0,00826													cintay	v	0,01033																					
śītala	adj	0,12052	kṛṣṇā	f	0,01653	catuḥṣaṣṭi	f	0,01377	vajrī	f	0,01033	pariplu	v	0,00551																																																	vartin	adj	0,00826													vardhay	v	0,01033																					
rūkṣa	adj	0,11845	abhayā	f	0,01653	kaṭi	f	0,01308	vallī	f	0,01033	viśru	v	0,00551																																																	vādin	adj	0,00826													gharṣay	v	0,01033																					
rūpa	n	0,11845	svarjikā	mf	0,01653	kṛti	f	0,01308	hastinī	f	0,01033	aṁśu	m	0,00482																																																	mahiman	m	0,00826													secay	v	0,01033																					
pāka	m	0,11776	pīḍā	f	0,01653	mati	f	0,01308	muṇḍī	f	0,01033	nighaṇṭu	m	0,00482																																																	ekādaśan	adj	0,00758													udīray	v	0,01033																					
amla	adj	0,11707	ākhyā	v	0,01653	ṛddhi	f	0,01308	ketakī	f	0,00964	mastu	n	0,00482																																																	pākin	adj	0,00758													nirodhay	v	0,01033																					
kṣaya	m	0,11707	kāmalā	mfn	0,01584	vātāri	m	0,01308	kuṇḍalinī	f	0,00964	vasu	n	0,00482																																																	prāṇin	m	0,00758													prakāśay	v	0,01033																					
mūtra	n	0,11638	kālikā	f	0,01584	vyakti	f	0,01308	śreyasī	f	0,00964	lajjālu	f	0,00482																																																	chedin	adj	0,00689													vipācay	v	0,01033																					
udara	n	0,11363	ciñcā	f	0,01584	śukti	f	0,01308	jātī	f	0,00964	palāṇḍu	mn	0,00482																																																	yakṣman	m	0,00689													varṇay	v	0,00964																					
mūla	mn	0,11294	raktikā	fn	0,01584	pati	m	0,01308	tarjanī	f	0,00964	sādhu	adj	0,00482																																																	kṣīrin	m	0,00689													pīḍay	v	0,00964																					
mala	mn	0,11087	sudhā	f	0,01584	ahi	m	0,01240	vidārī	f	0,00964	śiśu	m	0,00482																																																	phaṇin	m	0,00689													prakṣālay	v	0,00964																					
tāra	mn	0,10950	haṇḍikā	mf	0,01584	praśānti	f	0,01240	śāliparṇī	f	0,00964	dāru	mn	0,00482																																																	vitan	v	0,00689													saṁyojay	v	0,00964																					
svarṇa	n	0,10950	muktā	f	0,01584	āśri	v	0,01240	śālmalī	f	0,00964	stu	v	0,00482																																																	samman	v	0,00689													niṣecay	v	0,00964																					
kṛṣṇa	adj	0,10812	śivā	f	0,01515	ṛṣi	m	0,01171	kṣīriṇī	f	0,00964	girijatu	n	0,00482																																																	karin	m	0,00620													āropay	v	0,00895																					
pārada	mn	0,10743	utthā	v	0,01515	hāni	f	0,01171	darvī	f	0,00964	kaṇṭālu	m	0,00413																																																	adhikārin	adj	0,00620													pratāpay	v	0,00895																					
vāra	mn	0,10537	suṣumṇā	f	0,01515	vitasti	f	0,01171	oṣadhī	f	0,00964	madhu	m	0,00413																																																	adhvan	m	0,00620													saṁśodhay	v	0,00895																					
sva	adj	0,10468	nidrā	f	0,01446	prakṛti	f	0,01171	kaṇṭakārī	f	0,00895	bhīru	adj	0,00413																																																	mantrin	adj	0,00620													vedhay	v	0,00895																					
abhraka	mn	0,10399	rekhā	f	0,01446	prīti	f	0,01171	bhārgī	f	0,00895	aśru	mn	0,00413																																																	dhārin	adj	0,00620													vilepay	v	0,00895																					
pātra	n	0,10330	devatā	f	0,01446	samādhi	m	0,01102	haimavatī	f	0,00895	jatu	mn	0,00413																																																	rājayakṣman	m	0,00620													kvāthay	v	0,00826																					
viśeṣa	m	0,10330	viṣṭhā	f	0,01446	rīti	f	0,01102	pṛthvī	f	0,00895	snāyu	fn	0,00413																																																	yamin	adj	0,00620													bhūṣay	v	0,00826																					
