"Древнейшее ядро"	au	1=0.05%	"Древнейшее ядро"	ai	1=0.05%	"Древнейшее ядро"	a	686=35.73%	"Древнейшее ядро"	ā	126=6.56%	"Древнейшее ядро"	i	166=8.65%	"Древнейшее ядро"	ī	51=2.66%	"Древнейшее ядро"	u	97=5.05%	"Древнейшее ядро"	ū	18=0.94%	"Древнейшее ядро"	o	2=0.10%	"Древнейшее ядро"	e	8=0.42%	"Древнейшее ядро"	ṛ	56=2.92%	"Древнейшее ядро"	k	1=0.05%	"Древнейшее ядро"	ḍ	3=0.16%	"Древнейшее ядро"	ṇ	2=0.10%	"Древнейшее ядро"	ch	2=0.10%	"Древнейшее ядро"	j	35=1.82%	"Древнейшее ядро"	c	34=1.77%	"Древнейшее ядро"	th	4=0.21%	"Древнейшее ядро"	dh	30=1.56%	"Древнейшее ядро"	t	72=3.75%	"Древнейшее ядро"	d	50=2.60%	"Древнейшее ядро"	n	110=5.73%	"Древнейшее ядро"	bh	13=0.68%	"Древнейшее ядро"	p	16=0.83%	"Древнейшее ядро"	m	19=0.99%	"Древнейшее ядро"	y	58=3.02%	"Древнейшее ядро"	r	13=0.68%	"Древнейшее ядро"	v	12=0.63%	"Древнейшее ядро"	ṣ	38=1.98%	"Древнейшее ядро"	ś	27=1.41%	"Древнейшее ядро"	s	142=7.40%	"Древнейшее ядро"	h	27=1.41%
						sūrya	m	0,25234	dhārā	f	0,07897	kavi	m	0,12436	sarasvatī	f	0,05083	indu	m	0,14796	anubrū	v	0,02179							vṛ	v	0,09077													rāj	v	0,03359	arvāñc	adj	0,04856				rādh	v	0,02995	gomat	adj	0,04811	vid	adj	0,03495	brahman	m	0,11165	śubh	f	0,01452	abhitap	v	0,01725	nam	v	0,02496	vājay	v	0,02451	svar	v	0,01362	inv	v	0,01498	śikṣ	v	0,03722	viś	v	0,05219	cakṣus	n	0,11573	āruh	v	0,02360
						aśva	m	0,21377	pratiṣṭhā	v	0,06808	prajāpati	m	0,12163	dīdī	v	0,04902	kratu	m	0,13162	prasū	v	0,02133							vṛ	v	0,06354													bhuj	v	0,03086	udañc	adj	0,04493				vyadh	v	0,02950	vidyut	fn	0,03994	vid	adj	0,03086	karman	n	0,10666	anvārabh	v	0,01407	prāp	v	0,01679	śram	v	0,02224	pratiṣṭhāpay	v	0,02360	āśir	f	0,01316	pradiv	adj	0,01452	ācakṣ	v	0,03676	praviś	v	0,03449	jātavedas	m	0,10575	mah	v	0,02315
						vāja	m	0,21059	rā	v	0,06581	ṛṣi	m	0,11709	nadī	f	0,04539	sindhu	mf	0,10756	dhū	v	0,01906							jaritṛ	m	0,05991													ṛtvij	m	0,02814	ruc	v	0,03812				vadh	v	0,02950	arvant	m	0,03949	śarad	f	0,03041	pathin	m	0,10575	ribh	v	0,00953	nirvap	v	0,01634	ācam	v	0,02088	coday	v	0,02315	carkar	v	0,00862	nonāv	v	0,01271	cakṣ	v	0,03222	prāś	v	0,03222	barhis	mn	0,10575	pratigrah	v	0,01906
						ṛta	n	0,20423	ādhā	v	0,06581	bṛhaspati	m	0,11119	oṣadhī	f	0,04539	uru	adj	0,10439	camū	f	0,01770							dhṛ	v	0,05401													samrāj	m	0,02678	parāñc	adj	0,03132				yudh	v	0,02587	parāvat	f	0,03949	nivid	f	0,02950	maghavan	m	0,10166	labh	v	0,00862	āvap	v	0,01498	udyam	v	0,01407	gamay	v	0,02269	dardar	v	0,00817				puṣ	v	0,03132	naś	v	0,03132	upās	v	0,10484	arh	v	0,01679
						jana	m	0,19425	gā	v	0,06309	aditi	f	0,11074	śī	v	0,04357	viṣṇu	m	0,08442	vadhū	f	0,01498							pṛ	v	0,05174													virāj	f	0,02179	śuc	v	0,03086				vīrudh	f	0,02496	napāt	m	0,03404	krand	v	0,02859	nāman	n	0,10076				sṛp	v	0,01452	dham	v	0,01316	sapary	v	0,02269							dhṛṣ	v	0,02269	āviś	v	0,03041	chandas	n	0,10166	parigrah	v	0,01679
						mitra	mn	0,18608	hā	v	0,06218	yoni	mf	0,10484	bhī	v	0,04312	mṛtyu	m	0,07761	juhū	f	0,01089							pṛ	v	0,05038													yuj	adj	0,01997	tvac	f	0,03041				avarudh	v	0,02360	yāvat	adj	0,03177	pad	m	0,02814	sāman	n	0,09213				gup	v	0,00953	saṁgam	v	0,01044	vartay	v	0,02224							dviṣ	adj	0,02224	pradiś	f	0,02632	sahas	n	0,09168	guh	v	0,01634
						āditya	m	0,18245	dakṣiṇā	f	0,05764	dvi	nr	0,10393	rodasī	f	0,04266	vasu	mn	0,07443	prabrū	v	0,00998							tvaṣṭṛ	m	0,04947													ruj	v	0,01997	pac	v	0,02632				ṛtāvṛdh	adj	0,01952	marutvat	adj	0,02950	sampad	v	0,02723	pañcan	adj	0,08169				śap	v	0,00817	kṣam	f	0,00908	iṣay	v	0,02179							vṛṣ	v	0,02133	naś	v	0,02542	avas	n	0,08986	anaḍuh	m	0,01543
						uttara	adj	0,17836	nidhā	v	0,05764	mahi	adj	0,09667	strī	f	0,04266	dhenu	f	0,07262	ābhū	v	0,00908							hṛ	v	0,04629													ṛj	v	0,01725	pṛc	v	0,02542				śudh	v	0,01952	dyumat	adj	0,02905	pratipad	v	0,02678	pūṣan	m	0,07625							atikram	v	0,00817	sāday	v	0,01997							nakṣ	v	0,02088	saṁdṛś	f	0,01906	śavas	n	0,08714	adruh	adj	0,01498
						prathama	adj	0,17337	jihvā	f	0,05492	hari	m	0,08941	gāyatrī	f	0,04266	bāhu	mf	0,06899	utpū	v	0,00862							stotṛ	adj	0,04402													ej	v	0,01725	ric	v	0,02088				ṛdh	v	0,01815	haviṣmat	adj	0,02859	āsad	v	0,02632	tan	v	0,07579							āyam	v	0,00817	anumantray	v	0,01997							iṣ	v	0,01861	upaviś	v	0,01906	rādhas	n	0,08532	vṛh	v	0,01498
						kāma	m	0,16929	svadhā	f	0,04856	oṣadhi	mf	0,08124	mī	v	0,03313	vasu	adj	0,06717										duhitṛ	f	0,04130													nirṇij	f	0,01634	viṣvañc	adj	0,02088				yudh	f	0,01770	revat	adj	0,02814	abhivad	v	0,02542	maghavan	adj	0,07534							abhiśram	v	0,00817	abhimantray	v	0,01906							vakṣ	v	0,01861	puroḍāś	m	0,01725	payas	n	0,08215	druh	f	0,01407
						sahasra	mn	0,16384	mā	v	0,04856	bhūmi	f	0,07852	adhī	v	0,03177	ṛtu	m	0,06581										mṛ	v	0,04085													aj	v	0,01588	śośuc	v	0,02042				sādh	v	0,01679	harivat	adj	0,02678	niṣad	v	0,02496	śarman	n	0,07443										mṛḍay	v	0,01815							bhūṣ	v	0,01770	abhimṛś	v	0,01588	rajas	n	0,08169	dṛh	v	0,01407
						sva	adj	0,16248	pratiṣṭhā	f	0,04811	āhuti	f	0,07806	prī	v	0,03041	bahu	adj	0,06399										svasṛ	f	0,03631													bhrāj	v	0,01588	sruc	f	0,01952				sidh	v	0,01543	mahadvat	adj	0,02542	mand	v	0,02405	van	v	0,07080										uruṣy	v	0,01679							dviṣ	mf	0,01770	spṛś	v	0,01452	aṁhas	n	0,07942	rih	v	0,01271
						vīra	m	0,15930	gā	v	0,04765	hi	v	0,07716	śacī	f	0,02950	śatru	m	0,06218										sṛ	v	0,03404													visṛj	v	0,01452	vraśc	v	0,01952				mṛdh	f	0,01498	bṛhant	n	0,02542	samad	f	0,02315	dhāman	n	0,06853										stanay	v	0,01588							ukṣ	v	0,01679	vāś	v	0,01180	rodas	n	0,07625	puruspṛh	adj	0,01180
						puruṣa	m	0,15749	saṁdhā	v	0,04629	śuci	adj	0,07625	apī	v	0,02814	manyu	mf	0,05310										stṛ	v	0,03132													saṁsṛj	v	0,01452	anuvac	v	0,01861				spṛdh	v	0,01225	prajāvat	adj	0,02496	vand	v	0,02315	aryaman	m	0,06853										randhay	v	0,01588							pṛkṣ	f	0,01180	upaspṛś	v	0,01180	retas	n	0,07534	ūh	v	0,01180
						śata	mn	0,15658	pyā	v	0,04584	mati	f	0,07171	śrī	v	0,02632	adhvaryu	m	0,05083										āhṛ	v	0,03041													rej	v	0,01452	pravac	v	0,01679				rudh	v	0,01225	tāvat	adj	0,02360	dvipad	m	0,02042	daśan	adj	0,06853										hary	v	0,01588							dīkṣ	v	0,01180	piś	v	0,01044	śravas	n	0,07489	nah	v	0,01089
						priya	adj	0,15613	jāyā	f	0,04402	bhūri	adj	0,06808	sāvitrī	f	0,02315	sūnu	m	0,05038										dhātṛ	m	0,02950													tuj	v	0,01407	ruc	f	0,01407				nādh	v	0,00953	jagant	n	0,02360	saṁvid	v	0,01997	han	adj	0,06762										bhakṣay	v	0,01543							viṣ	v	0,01180	tādṛś	adj	0,00908	tamas	n	0,07398	prāh	v	0,01044
						putra	m	0,15431	jñā	v	0,04357	adri	m	0,06762	praṇī	v	0,02315	ketu	m	0,04947										bhrātṛ	m	0,02814													vibhaj	v	0,01407	abhiṣic	v	0,01362				śṛdh	v	0,00953	yat	v	0,02269	chid	v	0,01815	vājin	m	0,05628										samardhay	v	0,01543							īkṣ	v	0,01135	ādiś	v	0,00862	tejas	n	0,07262	muh	v	0,00908
						anna	n	0,13752	gopā	m	0,04221	sumati	f	0,06082	ānī	v	0,02224	ṛbhu	m	0,04765										jṛ	v	0,02723													samañj	v	0,01362	samyañc	adj	0,01362				sridh	f	0,00862	sviṣṭakṛt	adj	0,02179	pad	v	0,01725	san	v	0,05129										day	v	0,01452							prokṣ	v	0,01044	divispṛś	adj	0,00817	vacas	n	0,06989	āvah	v	0,00908
						mada	m	0,13570	māyā	f	0,04175	vanaspati	mf	0,06036	rathī	adj	0,02224	āśu	adj	0,04493										jāgṛ	v	0,02723													avasṛj	v	0,01180	pariṣic	v	0,01225				ābandh	v	0,00862	adrivat	adj	0,02133	pratipad	f	0,01679	mūrdhan	m	0,04448										daśasy	v	0,01407							tṛṣ	v	0,00998				yaśas	n	0,06581			
						pada	mn	0,13207	vijñā	v	0,04175	śri	v	0,06036	taviṣī	f	0,01906	dasyu	m	0,04402										sambhṛ	v	0,02360													uśij	adj	0,01135	yāc	v	0,01089				radh	v	0,00862	ruśat	adj	0,02133	kanikrad	v	0,01634	ṛtāvan	adj	0,04448										vācay	v	0,01407							bhikṣ	v	0,00998				rakṣas	n	0,06536			
						ghṛta	n	0,13026	dā	adj	0,03949	ahi	m	0,05764	nārī	f	0,01861	manu	m	0,03994										ābhṛ	v	0,02315													bhiṣaj	m	0,01135	nyāñc	adj	0,00998				krudh	v	0,00817	pravat	f	0,02042	upasad	v	0,01498	dvādaśan	adj	0,04402										upaveśay	v	0,01362							vivakṣ	v	0,00998				ās	v	0,06218			
						amṛta	adj	0,12889	ādā	v	0,03812	raśmi	mf	0,05764	parī	v	0,01861	bhānu	m	0,03903										saṁskṛ	v	0,02269													marmṛj	v	0,01089	vimuc	v	0,00953							sat	adj	0,01952	rad	v	0,01362	vājin	adj	0,04312										abhighāray	v	0,01316							piṣ	v	0,00953				tapas	n	0,05991			
						stoma	m	0,12663	iḍā	f	0,03540	hari	adj	0,04947	śamī	f	0,01815	cāru	adj	0,03858										dātṛ	adj	0,01815													sraj	f	0,01044	sadhryañc	adj	0,00953							jit	adj	0,01815	nid	f	0,01316	pāpman	m	0,04039										prakṣālay	v	0,01316							viriṣ	v	0,00953				aṅgiras	m	0,05719			
						antarikṣa	n	0,12572	tā	f	0,03449	nābhi	f	0,04856	atī	v	0,01815	āhu	v	0,03631										śṛ	v	0,01770													utsṛj	v	0,00908	āsic	v	0,00817							trivṛt	adj	0,01725	kravyād	adj	0,01316	mahiman	m	0,03994										nāśay	v	0,01271							iyakṣ	v	0,00953				vayas	n	0,05628			
						vrata	n	0,12390	manīṣā	f	0,03359	pīti	f	0,04720	dhī	v	0,01725	āyu	m	0,03540										vaṣaṭkṛ	v	0,01770													bhāj	adj	0,00862	tiryañc	adj	0,00817							svadhāvat	adj	0,01725	pād	m	0,01271	vṛtrahan	m	0,03994										pāray	v	0,01225							abhyukṣ	v	0,00908				varcas	n	0,05310			
						adhvara	m	0,12118	kṛtyā	f	0,03313	sūri	m	0,04584	jagatī	f	0,01634	sudānu	adj	0,03449										alaṁkṛ	v	0,01725													rāj	m	0,00817										vīravat	adj	0,01725	syand	v	0,01225	aśman	mn	0,03949										mahay	v	0,01180							paryukṣ	v	0,00862				sajoṣas	adj	0,05083			
						ugra	adj	0,11982	paridhā	v	0,03313	sāti	f	0,04584	bṛhatī	f	0,01543	pṛthu	adj	0,03268										janitṛ	m	0,01679																									niyut	f	0,01725	evaṁvid	adj	0,01180	vṛṣan	adj	0,03903										pṛtany	v	0,01180							kṛṣ	v	0,00817				andhas	n	0,04992			
						tva	n	0,11846	pṛtanā	f	0,03222	maṇi	m	0,04539	vī	v	0,01362	śatakratu	m	0,03222										vihṛ	v	0,01634																									payasvat	adj	0,01679	prapad	v	0,01180	vajrin	m	0,03767										āśay	v	0,01135							anviṣ	v	0,00817				vāsas	n	0,04902			
						vīrya	n	0,11664	śā	v	0,03086	ari	adj	0,04493	vāṇī	f	0,01180	yu	v	0,03041										āvṛ	v	0,01452																									aśvāvat	adj	0,01634	sad	adj	0,01180	manman	n	0,03631										patay	v	0,01089							hṛṣ	v	0,00817				cakṣas	n	0,04765			
						vajra	mn	0,10938	upasthā	v	0,03041	udi	v	0,04448	sthālī	f	0,01180	iṣu	mf	0,02950										udgātṛ	m	0,01362																									vivasvant	m	0,01634	upaniṣad	f	0,01135	tman	m	0,03585										paty	v	0,01089													śiras	n	0,04539			
						samudra	m	0,10756	senā	f	0,02859	rātri	f	0,04357	mahī	f	0,01135	gātu	m	0,02950										netṛ	m	0,01271																									etāvat	adj	0,01588	tṛd	v	0,01089	grāvan	m	0,03404										arpay	v	0,01044													yajus	n	0,04493			
						bhuvana	n	0,10575	trā	v	0,02678	rāti	f	0,04312	janitrī	f	0,01135	sru	v	0,02905										ādṛ	v	0,01271																									dyut	v	0,01588	upasad	f	0,01044	dharman	n	0,03313										mahīy	v	0,01044													śocis	n	0,04402			
						garbha	m	0,10529	pā	adj	0,02678	pāṇi	m	0,04085	bhī	f	0,01089	sānu	mn	0,02859										avitṛ	adj	0,01225																									ghṛtavat	adj	0,01588	anuvid	v	0,01044	brahmacārin	m	0,03177										yamay	v	0,01044													vas	v	0,04266			
						brāhmaṇa	m	0,10212	saṁhitā	f	0,02587	vi	mn	0,04039	abhī	v	0,01044	aṁśu	m	0,02814										dṛ	v	0,01225																									vipaścit	adj	0,01498	abhipad	v	0,00998	yāman	n	0,03132										pāyay	v	0,00998													candramas	m	0,04130			
						agra	n	0,10166	bhā	v	0,02587	vṛṣṭi	f	0,03767	kumārī	f	0,00998	bandhu	m	0,02814										upastṛ	v	0,01225																									pṛt	f	0,01452	skand	v	0,00953	dhanvan	n	0,03132										duvasy	v	0,00998													puṁs	m	0,03994			
						asura	m	0,09894	prajñā	f	0,02542	ūrmi	mf	0,03676	ādhī	f	0,00908	sādhu	adj	0,02632										dhartṛ	m	0,01089																									āvṛt	v	0,01316	catuṣpād	m	0,00953	adhvan	m	0,02859										bodhay	v	0,00953													vidvas	adj	0,03949			
						uktha	n	0,09803	āgā	v	0,02405	dhīti	f	0,03676	upanī	v	0,00908	kāru	m	0,02587										prahṛ	v	0,01089																									sahasvat	adj	0,01271	nind	v	0,00862	janman	n	0,02814										cyāvay	v	0,00953													manus	m	0,03359			
						vṛtra	m	0,09758	vaśā	f	0,02360	atithi	m	0,03631	paurṇamāsī	f	0,00862	dru	v	0,02542										paristṛ	v	0,01044																									śaśvat	adj	0,01225	kravyād	m	0,00817	aṣṭan	adj	0,02769										namasy	v	0,00953													vas	v	0,03359			
						rudra	m	0,09667	jā	adj	0,02360	kṣi	v	0,03585	ninī	v	0,00862	dhṛṣṇu	adj	0,02451										pariṣkṛ	v	0,01044																									bhavat	adj	0,01180	und	v	0,00817	apahan	v	0,02632										śrapay	v	0,00953													vas	v	0,03268			
						havya	n	0,09622	prajñā	v	0,02315	carṣaṇi	f	0,03540	mādhvī	adj	0,00862	madhu	adj	0,02405										jṛ	v	0,01044																									vājinīvat	adj	0,01180	saṁvad	v	0,00817	prajan	v	0,02632										citay	v	0,00953													vedhas	m	0,03222			
						ājya	n	0,09349	hotrā	f	0,02269	vīti	f	0,03495	urvī	f	0,00817	aktu	m	0,02360										astṛ	m	0,00998																									śrut	adj	0,01180	sampad	f	0,00772	navan	adj	0,02587										utthāpay	v	0,00908													hiṁs	v	0,03177			
						vāta	m	0,09349	khyā	v	0,02179	giri	m	0,03268	sinīvālī	f	0,00817	śiśu	m	0,02315										trātṛ	m	0,00998																									asat	adj	0,01135				yuvan	m	0,02496										bhojay	v	0,00908													apas	n	0,03132			
						vṛṣabha	m	0,09349	medhā	f	0,02133	nirṛti	f	0,03222				bhṛgu	m	0,02224										sotṛ	adj	0,00953																									āvṛt	f	0,01135				yuvan	adj	0,02405										prāśay	v	0,00908													bhūyas	adj	0,02950			
						bhadra	adj	0,09213	vidyā	f	0,02133	vahni	m	0,03222				dānu	fn	0,02179										śamitṛ	m	0,00862																									ghṛtaścut	adj	0,01135				śīrṣan	n	0,02405										gṛbhāy	v	0,00908													pracetas	adj	0,02769			
						hasta	mn	0,08850	śraddhā	f	0,02088	brahmaṇaspati	m	0,03177				tantu	m	0,02088										spṛ	v	0,00817																									saṁpātavat	adj	0,01089				parvan	n	0,02360										yātay	v	0,00862													śās	v	0,02678			
						satya	adj	0,08714	snā	v	0,02088	kṣiti	f	0,03041				mayobhu	adj	0,01952										uddhṛ	v	0,00817																									śaśvat	adj	0,01089				sahasrin	adj	0,02315										yāvay	v	0,00862													ūdhas	n	0,02632			
						dhana	n	0,08714	pā	adj	0,02042	āji	mf	0,02950				dhātu	mn	0,01906										vikṛ	v	0,00817																									vāghant	m	0,01044				carman	n	0,02224										udvāsay	v	0,00862													enas	n	0,02632			
						vipra	m	0,08669	utthā	v	0,01952	suṣṭuti	f	0,02905				ajātaśatru	m	0,01815																																					trayastriṁśat	f	0,01044				atharvan	m	0,02179										nyūṅkhay	v	0,00862													as	v	0,02632			
						dakṣiṇa	adj	0,08623	yājyā	f	0,01906	atri	m	0,02859				āyu	mn	0,01770																																					tvāvat	adj	0,01044				kan	v	0,02133										marjay	v	0,00817													mahas	n	0,02587			
						bhaga	mn	0,08578	yoṣā	f	0,01906	arāti	f	0,02859				babhru	adj	0,01679																																					svarvat	adj	0,01044				ukṣan	m	0,01997																									arcis	n	0,02587			
						hava	m	0,08578	usriyā	f	0,01861	kṛṣṭi	f	0,02678				cyu	v	0,01679																																					niyutvat	adj	0,00998				mātariśvan	m	0,01997																									sadas	n	0,02496			
						anta	m	0,08396	śālā	f	0,01861	heti	f	0,02678				devayu	adj	0,01588																																					triṁśat	f	0,00953				manīṣin	adj	0,01906																									prayas	n	0,02496			
						citra	adj	0,08396	upasamādhā	v	0,01815	abhiṣṭi	f	0,02542				vīḍu	adj	0,01588																																					jyotiṣmat	adj	0,00953				loman	n	0,01906																									dveṣas	n	0,02405			
						savana	n	0,08169	dhā	adj	0,01770	tuvi	adj	0,02496				asu	m	0,01543																																					anvāyat	v	0,00953				janiman	n	0,01906																									āśis	f	0,02269			
						śūra	m	0,08169	kanyā	f	0,01725	paṇi	m	0,02451				svādu	adj	0,01543																																					cyut	adj	0,00953				hastin	m	0,01815																									tavas	adj	0,02224			
						gṛha	mn	0,08079	aghnyā	f	0,01725	dadhi	n	0,02451				tanu	f	0,01498																																					vajrivat	adj	0,00908				vyoman	mn	0,01815																									navyas	adj	0,02179			
						saṁvatsara	mn	0,08033	śākhā	f	0,01725	hūti	f	0,02360				vibhu	adj	0,01452																																					annavat	adj	0,00862				vitan	v	0,01770																									vapus	n	0,02042			
						satya	n	0,07942	dhyā	v	0,01725	ādi	m	0,02360				avasyu	adj	0,01407																																					aprayucchat	adj	0,00862				śvan	m	0,01770																									varivas	n	0,01997			
						svarga	m	0,07897	sā	v	0,01725	vājasāti	f	0,02360				pāyu	m	0,01407																																					nṛvat	adj	0,00862				sadman	n	0,01725																									sumanas	adj	0,01997			
						amṛta	n	0,07625	dhāyyā	f	0,01725	prāyaścitti	f	0,02088				vastu	f	0,01362																																					vṛṣaṇvat	adj	0,00862				mahan	n	0,01725																									girvaṇas	adj	0,01952			
						martya	m	0,07625	mātrā	f	0,01634	kṣi	v	0,02088				ūru	mf	0,01316																																					madvat	adj	0,00817				āsan	n	0,01679																									janus	mn	0,01906			
