"от 200 до 700"	au	1=0.03%	"от 200 до 700"	a	1893=55.56%	"от 200 до 700"	ā	232=6.81%	"от 200 до 700"	i	211=6.19%	"от 200 до 700"	ī	79=2.32%	"от 200 до 700"	u	97=2.85%	"от 200 до 700"	ū	20=0.59%	"от 200 до 700"	o	1=0.03%	"от 200 до 700"	e	8=0.23%	"от 200 до 700"	ṛ	77=2.26%	"от 200 до 700"	kh	1=0.03%	"от 200 до 700"	gh	1=0.03%	"от 200 до 700"	k	3=0.09%	"от 200 до 700"	ṭh	1=0.03%	"от 200 до 700"	ṭ	1=0.03%	"от 200 до 700"	ḍ	1=0.03%	"от 200 до 700"	ch	4=0.12%	"от 200 до 700"	j	49=1.44%	"от 200 до 700"	c	25=0.73%	"от 200 до 700"	th	3=0.09%	"от 200 до 700"	dh	27=0.79%	"от 200 до 700"	t	57=1.67%	"от 200 до 700"	d	44=1.29%	"от 200 до 700"	n	147=4.31%	"от 200 до 700"	bh	8=0.23%	"от 200 до 700"	p	30=0.88%	"от 200 до 700"	m	47=1.38%	"от 200 до 700"	y	143=4.20%	"от 200 до 700"	r	10=0.29%	"от 200 до 700"	l	4=0.12%	"от 200 до 700"	v	5=0.15%	"от 200 до 700"	ṣ	42=1.23%	"от 200 до 700"	ś	33=0.97%	"от 200 до 700"	s	73=2.14%	"от 200 до 700"	h	27=0.79%
			phala	n	0,21975	ādā	v	0,08137	gati	f	0,09034	nārī	f	0,03524	hu	v	0,04869	bhrū	f	0,01442							bhṛ	v	0,03300																						prayuj	v	0,02787	abhiṣic	v	0,01730				kṣudh	f	0,01922	yoṣit	f	0,04036	pratipad	v	0,02627	man	v	0,10091				samprāp	v	0,02467	upagam	v	0,02659	dhāray	v	0,02979	dvār	f	0,00513							ācakṣ	v	0,01922	āviś	v	0,02146	vāsas	n	0,05222	pratigrah	v	0,02531
			kāma	m	0,20918	vidyā	f	0,07976	vṛtti	f	0,08681	lakṣmī	f	0,02851	mṛtyu	m	0,04517	udbhū	v	0,01217							āvṛ	v	0,02851																						parityaj	v	0,02435	tvac	f	0,01698				vyadh	v	0,01922	kṛt	adj	0,03812	sampad	v	0,02627	saptan	adj	0,09963				gup	v	0,01666	anugam	v	0,02499	darśay	v	0,02851										parīkṣ	v	0,01666	praṇaś	v	0,01922	tamas	n	0,04741	parigrah	v	0,01153
			puruṣa	m	0,17779	vijñā	v	0,07304	hari	m	0,08617	devayānī	f	0,02819	sādhu	adj	0,04485	sū	v	0,01185							adhikṛ	v	0,02723																						ṛtvij	m	0,02306	abhyarc	v	0,01506				yudh	v	0,01698	asat	adj	0,03748	hṛd	n	0,02563	janman	n	0,08713				kup	v	0,01409	āyam	v	0,02050	utpāday	v	0,02851										prekṣ	v	0,01570	viś	f	0,01474	vacas	n	0,04677	sah	v	0,01089
			bala	mn	0,17170	pā	v	0,06887	pati	m	0,08521	adhī	v	0,02787	bhikṣu	m	0,04196	vadhū	f	0,00993							duhitṛ	f	0,02627																						bhañj	v	0,02114	udañc	adj	0,01185				prasidh	v	0,01602	nivṛt	v	0,03492	mṛd	f	0,02467	brahman	n	0,08009				samāp	v	0,01377	niṣkram	v	0,01826	niveday	v	0,02787										vṛṣ	v	0,01442	upaviś	v	0,01377	ās	v	0,04357	udvah	v	0,00993
			brāhmaṇa	m	0,17042	bhāryā	f	0,06022	śakti	f	0,07208	śī	v	0,02691	prabhu	m	0,04132	paribhū	v	0,00929							dhṛ	v	0,02595																						sañj	v	0,01986	atiric	v	0,01057				samidh	f	0,01281	nipat	v	0,02435	suhṛd	m	0,02018	aṣṭan	adj	0,07336				śap	v	0,01345	atikram	v	0,01794	sādhay	v	0,02627										nirīkṣ	v	0,01281	niś	f	0,01377	cakṣus	n	0,04325	nigrah	v	0,00993
			śata	mn	0,16658	saṁjñā	f	0,05830	jāti	f	0,06823	bhī	v	0,02691	dhātu	mn	0,03876	dhū	v	0,00769							āhṛ	v	0,02499																						bhāj	adj	0,01954	pramuc	v	0,01025				bādh	v	0,01089	dhīmat	adj	0,02242	mad	v	0,02018	mahātman	adj	0,05478				vyāp	v	0,01345	avagam	v	0,01762	sampūjay	v	0,02627										kṛṣ	v	0,01217	bhraṁś	v	0,01281	āyus	n	0,04261	anugrah	v	0,00865
			guṇa	mn	0,16433	vidhā	v	0,05638	giri	m	0,06279	prī	v	0,02691	stu	v	0,03396	samudbhū	v	0,00737							vihṛ	v	0,02435																						vibhaj	v	0,01954	arc	v	0,00897				virudh	v	0,01089	marut	m	0,02146	āpad	f	0,01890	yogin	m	0,04453				prakṣip	v	0,01281	ācam	v	0,01730	vivarjay	v	0,02595										ākṛṣ	v	0,01089	upadiś	v	0,01185	apsaras	f	0,04132	prasah	v	0,00865
			indra	m	0,15985	māyā	f	0,05414	ji	v	0,06279	sakhī	f	0,01794	vibhu	adj	0,03203	prādurbhū	v	0,00705							kartṛ	adj	0,02371																						sraj	f	0,01762	śuc	v	0,00833				nirudh	v	0,01057	tāvat	adj	0,01954	prapad	v	0,01858	dvādaśan	adj	0,04293				lip	v	0,01153	udyam	v	0,01698	pīḍay	v	0,02467										dviṣ	v	0,01057	dṛś	f	0,01057	vidvas	adj	0,04132	avagāh	v	0,00833
			daṇḍa	mn	0,15761	jarā	f	0,05286	sthiti	f	0,05798	ānī	v	0,01794	madhu	n	0,03139	prabrū	v	0,00609							apahṛ	v	0,02338																						niyuj	v	0,01698	ruc	v	0,00737				sambudh	v	0,01057	sarit	f	0,01730	mud	v	0,01826	arthin	adj	0,03620				tṛp	v	0,01025	nam	v	0,01570	bhakṣay	v	0,02467										vīkṣ	v	0,01057	ādiś	v	0,01025	vapus	n	0,03652	nirdah	v	0,00833
			dvija	m	0,15665	abhidhā	v	0,05125	siddhi	f	0,05766	vinī	v	0,01730	bandhu	m	0,03139	vidhū	v	0,00577							avatṛ	v	0,02338																						visṛj	v	0,01666	sic	v	0,00641				pratiṣidh	v	0,00897	balavat	adj	0,01634	āpad	v	0,01762	svāmin	m	0,03492				anuprāp	v	0,01025	ākram	v	0,01538	āsāday	v	0,02403										anviṣ	v	0,01025	uddiś	v	0,01025	yaśas	n	0,03428	garh	v	0,00769
			sahasra	mn	0,15472	prayā	v	0,04901	prīti	f	0,05766	purī	f	0,01666	prabhu	adj	0,03107	kuhū	f	0,00513							alaṁkṛ	v	0,02306																						prasañj	v	0,01634	vivic	v	0,00641				rudh	v	0,00737	śrīmat	adj	0,01538	sampad	f	0,01698	navan	adj	0,03396				nirvap	v	0,01025	vigam	v	0,01538	kīrtay	v	0,02371										apekṣ	v	0,00993	aś	v	0,00961	vayas	n	0,02915	saṁgrah	v	0,00737
			daitya	m	0,15440	ākhyā	f	0,04581	pāṇi	m	0,05414	gāyatrī	f	0,01570	ambu	n	0,02883										uddhṛ	v	0,02242																						saṁsṛj	v	0,01634	pac	v	0,00577				pratibudh	v	0,00737	yāvat	adj	0,01538	unmad	v	0,01698	pathin	m	0,03267				kﾱp	v	0,00993	abhigam	v	0,01474	ārādhay	v	0,02274										kāṅkṣ	v	0,00961	nirdiś	v	0,00929	jyotis	n	0,02819	duh	v	0,00705
			yoga	m	0,15120	devatā	f	0,04485	śuci	adj	0,05350	devakī	f	0,01506	tanu	f	0,02883										pṛ	v	0,02018																						abhiyuj	v	0,01602	vyatiric	v	0,00577				samṛdh	v	0,00737	praṇipat	v	0,01538	abhinand	v	0,01666	bhasman	n	0,03011				ākṣip	v	0,00961	upāgam	v	0,01217	pātay	v	0,02242										pracakṣ	v	0,00929	daṁś	v	0,00897	ambhas	n	0,02563	pragrah	v	0,00705
			bhūta	mn	0,14383	vyākhyā	v	0,03972	mati	f	0,05318	vikrī	v	0,01442	ṛtu	m	0,02787										vistṛ	v	0,01986																						rāj	v	0,01474	nirmuc	v	0,00545				vivṛdh	v	0,00705	arhant	m	0,01474	nind	v	0,01666	mūrdhan	m	0,03011				nikṣip	v	0,00929	praśam	v	0,01185	prakīrtay	v	0,02178										īkṣ	v	0,00897	niviś	v	0,00865	payas	n	0,02531	vyapoh	v	0,00705
			duḥkha	n	0,13967	utthā	v	0,03780	rātri	f	0,05318	gopī	f	0,01409	meru	m	0,02787										prakṛ	v	0,01954																						vaṇij	m	0,01442	vinirmuc	v	0,00545				nibandh	v	0,00673	himavant	m	0,01474	rud	v	0,01634	sākṣin	m	0,02979				kamp	v	0,00673	abhyāgam	v	0,01153	kalpay	v	0,02114										prokṣ	v	0,00833	prakāś	v	0,00865	rajas	n	0,02435	āvah	v	0,00641
			anta	m	0,13935	snā	v	0,03684	vṛddhi	f	0,05061	urvaśī	f	0,01281	śatru	m	0,02659										vṛ	v	0,01922																						virāj	v	0,01442	prativac	v	0,00513				yudh	f	0,00641	vidyut	fn	0,01442	gad	v	0,01538	vādin	adj	0,02947				vap	v	0,00577	samāgam	v	0,01057	coday	v	0,02114										viṣ	f	0,00801	upaspṛś	v	0,00801	saras	n	0,02435	dih	v	0,00545
			suta	m	0,13871	icchā	f	0,03524	maṇi	m	0,04933	dhī	f	0,01281	vasu	mn	0,02595										dhātṛ	m	0,01858																						bhuj	adj	0,01313							pravṛdh	v	0,00641	ātmavat	adj	0,01249	śarad	f	0,01474	heman	n	0,02883				pradīp	v	0,00577	pariṇam	v	0,01025	daṇḍay	v	0,01954										puṣ	v	0,00801	saṁspṛś	v	0,00801	dhanus	n	0,02371	vigarh	v	0,00545
			vipra	m	0,13294	pradā	v	0,03428	bhakti	f	0,04901	urvī	f	0,01249	indu	m	0,02563										udāhṛ	v	0,01826																						upayuj	v	0,01089							sambandh	v	0,00641	guṇavat	adj	0,01185	vand	v	0,01345	nihan	v	0,02819				prasvap	v	0,00545	nirgam	v	0,00993	bhojay	v	0,01922										abhilaṣ	v	0,00801	paribhraṁś	v	0,00673	ojas	n	0,02146	ruh	v	0,00513
			nara	m	0,13102	upasthā	v	0,03300	prakṛti	f	0,04613	trayī	f	0,01249	ūru	mf	0,02467										satkṛ	v	0,01794																						saṁtyaj	v	0,01089										pañcāśat	f	0,01153	niṣad	v	0,01345	rūpin	adj	0,02499				vikṣip	v	0,00545	kṣam	v	0,00961	niśāmay	v	0,01826										juṣ	v	0,00769	kliś	v	0,00641	śreyas	n	0,02114			
			bhāva	m	0,12942	kalā	f	0,03267	prajāpati	m	0,04613	parī	v	0,01249	vastu	n	0,02467										vṛ	v	0,01762																						rañj	v	0,00961										triṁśat	f	0,01121	ad	v	0,01313	hastin	m	0,02499				vilap	v	0,00545	antargam	v	0,00929	yojay	v	0,01730										śiṣ	v	0,00705	kruś	v	0,00577	nyas	v	0,02114			
			varṣa	mn	0,12718	avasthā	v	0,03267	rati	f	0,04485	vāpī	f	0,01217	mṛdu	adj	0,02403										dātṛ	adj	0,01698																						viyuj	v	0,00929										vivasvant	m	0,01121	pracchad	v	0,01217	śvan	m	0,02467				saṁtap	v	0,00545	unnam	v	0,00897	niveśay	v	0,01730										abhibhāṣ	v	0,00705	saṁviś	v	0,00577	praśaṁs	v	0,02050			
			jana	m	0,12718	saṁdhyā	f	0,03203	yoni	mf	0,04453	upanī	v	0,01185	viśru	v	0,02274										kartṛ	m	0,01634																						udvij	v	0,00833										bhṛt	adj	0,00961	mud	f	0,01153	kārin	adj	0,02403							upakram	v	0,00897	bhāvay	v	0,01698										ākāṅkṣ	v	0,00705	anupraviś	v	0,00513	havis	n	0,01890			
			parama	adj	0,12685	prabhā	f	0,03203	i	v	0,03972	praṇī	v	0,01153	yadu	m	0,02242										parivṛ	v	0,01538																						majj	v	0,00801										mahant	m	0,00961	samutpad	v	0,01057	prāṇin	m	0,02210							upayam	v	0,00897	mānay	v	0,01602										dviṣ	adj	0,00673	prāś	v	0,00513	śaṁs	v	0,01858			
			doṣa	mn	0,12493	āsthā	v	0,03011	kali	m	0,03876	gaurī	f	0,01121	hiraṇyakaśipu	m	0,02210										saṁskṛ	v	0,01538																						virañj	v	0,00801										vīryavat	adj	0,00961	niṣpad	v	0,01025	pakṣin	m	0,02082							upasaṁkram	v	0,00897	prārthay	v	0,01570										śikṣ	v	0,00641	vimṛś	v	0,00513	nabhas	n	0,01762			
			uttama	adj	0,12365	kathā	f	0,02979	dṛṣṭi	f	0,03844	dāsī	f	0,01121	jantu	m	0,02178										savitṛ	m	0,01345																						āsañj	v	0,00769										anuvṛt	v	0,00929	pramad	v	0,01025	vāsin	adj	0,02082							śram	v	0,00865	ghātay	v	0,01474										ucchiṣ	v	0,00609				rakṣas	n	0,01762			
			nṛpa	m	0,11949	ākhyā	v	0,02851	smṛti	f	0,03844	vī	v	0,01121	taru	m	0,02050										śāstṛ	m	0,01313																						nimajj	v	0,00769										saṁvṛt	v	0,00929	sad	v	0,00993	sāman	n	0,02082							saṁyam	v	0,00865	āropay	v	0,01474										upekṣ	v	0,00609				vakṣas	n	0,01762			
			viṣaya	mn	0,11821	gaṅgā	f	0,02723	pravṛtti	f	0,03780	maitrī	f	0,01089	jānu	mn	0,01986										saṁvṛ	v	0,01281																						pravraj	v	0,00769										āyuṣmat	adj	0,00897	pad	m	0,00993	dhārin	adj	0,01986							abhiram	v	0,00833	īray	v	0,01442										muṣ	v	0,00577				mās	m	0,01762			
			mukha	n	0,11756	śayyā	f	0,02691	yayāti	m	0,03652	pratī	v	0,01057	cāru	adj	0,01890										jṛ	v	0,01249																						abhyañj	v	0,00737										nṛt	v	0,00865	nigad	v	0,00865	brahmacārin	m	0,01954							udgam	v	0,00801	mahīy	v	0,01442										samīkṣ	v	0,00577				śās	v	0,01666			
			kārya	n	0,11724	saṁsthā	v	0,02659	ravi	m	0,03588	rohiṇī	f	0,01025	cyu	v	0,01826										vikṛ	v	0,01089																						asṛj	n	0,00705										dvātriṁśat	f	0,00833	vivad	v	0,00865	mantrin	m	0,01890							viram	v	0,00801	dūṣay	v	0,01409										apakṛṣ	v	0,00545				has	v	0,01666			
			vana	n	0,11500	aṅganā	f	0,02627	kṣi	v	0,03556	sāvitrī	f	0,01025	ripu	m	0,01794										gurukṛ	v	0,01089																						anurañj	v	0,00673										viyant	n	0,00833	āsad	v	0,00801	balin	adj	0,01890							saṁgam	v	0,00769	tarpay	v	0,01409										vikṛṣ	v	0,00545				nivas	v	0,01602			
			gṛha	mn	0,11500	adhiṣṭhā	v	0,02627	āśri	v	0,03556	mahiṣī	f	0,00961	guru	adj	0,01794										saṁhṛ	v	0,01025																						upabhuj	v	0,00673										bṛhat	adj	0,00801	nad	v	0,00673	carman	n	0,01858							apagam	v	0,00737	vilokay	v	0,01409										prāvṛṣ	f	0,00513				upavas	v	0,01570			
			indriya	n	0,11340	vyavasthā	v	0,02627	ari	m	0,03524	brāhmaṇī	f	0,00961	dhenu	f	0,01762										tṛ	v	0,00993																						bhiṣaj	m	0,00641										kiyat	adj	0,00769	pariṣad	f	0,00609	dehin	m	0,01858							parigam	v	0,00673	visarjay	v	0,01409										piṣ	v	0,00513				yajus	n	0,01506			
			jñāna	n	0,11308	āyā	v	0,02563	śuddhi	f	0,03428	krī	v	0,00961	pṛthu	m	0,01506										sampṛ	v	0,00961																						añj	v	0,00641										yat	v	0,00769	vicchid	v	0,00577	parvan	n	0,01762							vikram	v	0,00609	tāḍay	v	0,01377										prahṛṣ	v	0,00513				upās	v	0,01409			
			pāda	m	0,11276	chāyā	f	0,02467	utpatti	f	0,03396	caturdaśī	f	0,00961	kratu	m	0,01474										parihṛ	v	0,00929																						samutsṛj	v	0,00641										utpat	v	0,00769	saṁvid	f	0,00545	veśman	n	0,01698							yam	v	0,00545	pālay	v	0,01377																aṅgiras	m	0,01377			
			sukha	n	0,11148	pūjā	f	0,02467	bṛhaspati	m	0,03364	kumārī	f	0,00929	bhṛgu	m	0,01345										anusmṛ	v	0,00865																						saṁrañj	v	0,00577										parivṛt	v	0,00769	chad	v	0,00545	adhvan	m	0,01666							vam	v	0,00545	varṇay	v	0,01313																candramas	m	0,01377			
			dānava	m	0,11148	gadā	f	0,02435	śānti	f	0,03332	satī	f	0,00897	pūru	m	0,01313										bhavitṛ	adj	0,00833																						abhivyañj	v	0,00545										āvṛt	v	0,00705				han	adj	0,01570							dam	v	0,00545	vāray	v	0,01281																arcis	f	0,01345			
			citta	n	0,11116	dakṣiṇā	f	0,02338	bali	m	0,03332	sarasvatī	f	0,00897	aśru	mn	0,01281										prāviṣkṛ	v	0,00833																						pariṣvaj	v	0,00545										vinivṛt	v	0,00673				aśvin	m	0,01538							samanvāgam	v	0,00545	ālokay	v	0,01281																rahas	n	0,01345			
			darśana	n	0,11116	ājñā	f	0,02306	koṭi	f	0,03171	bhaginī	f	0,00865	sūnu	m	0,01249										namaskṛ	v	0,00769																						garj	v	0,00513										mūrtimat	adj	0,00641				gāmin	adj	0,01538							avanam	v	0,00513	bhūṣay	v	0,01281																abhyas	v	0,01249			
			kāraṇa	n	0,11084	gā	v	0,02274	mūrti	f	0,03139	pṛthvī	f	0,00865	śambhu	m	0,01249										kretṛ	adj	0,00769																						mṛj	v	0,00513										pratāpavat	adj	0,00641				dhāman	n	0,01442										lakṣay	v	0,01249																enas	n	0,01185			
			maya	adj	0,11020	dhyā	v	0,02242	samādhi	m	0,02979	śrāvastī	f	0,00833	madhu	m	0,01217										śrotṛ	adj	0,00737																						samāyuj	v	0,00513										bhūbhṛt	m	0,00609				cārin	adj	0,01442										pūray	v	0,01185																śreyas	adj	0,01185			
			asura	m	0,10988	saṁkhyā	f	0,02210	raśmi	mf	0,02819	goṣṭhī	f	0,00833	kuru	m	0,01185										prahṛ	v	0,00737																																		etāvat	adj	0,00609				ṣoḍaśan	adj	0,01409										abhipūjay	v	0,01185																gras	v	0,01185			
			varṇa	mn	0,10635	hiṁsā	f	0,02210	vahni	m	0,02723	medinī	f	0,00833	āśu	adj	0,01185										vikṛ	v	0,00737																																		buddhimat	adj	0,00609				avaman	v	0,01377										vibhūṣay	v	0,01153																retas	n	0,01121			
			yajña	m	0,10603	latā	f	0,02178	prāpti	f	0,02723	abhī	v	0,00801	iṣu	mf	0,01185										vivṛ	v	0,00737																																		rūpavat	adj	0,00577				dhanin	adj	0,01345										udīray	v	0,01121																sarpis	n	0,01121			
			deśa	m	0,10603	śraddhā	f	0,02114	śruti	f	0,02563	jananī	f	0,00769	tanu	adj	0,01185										saṁkṛ	v	0,00737																																		matimat	adj	0,00545				roman	n	0,01313										pravartay	v	0,01057																ayas	n	0,01089			
			jala	n	0,10411	krīḍā	f	0,02082	vyādhi	m	0,02371	oṣadhī	f	0,00769	caru	m	0,01153										sambhṛ	v	0,00737																																		garutmant	m	0,00545				cakravartin	m	0,01281										vibhāvay	v	0,01057																vinyas	v	0,01057			
			dhana	n	0,10347	śilā	f	0,02050	dvijāti	m	0,02338	saptamī	f	0,00737	ikṣu	m	0,01153										vikretṛ	m	0,00705																																		āyat	v	0,00545				saṁjan	v	0,01281										śrāvay	v	0,01025																divaukas	m	0,00993			
			sūrya	m	0,10155	prajñā	f	0,01954	atithi	m	0,02306	dharaṇī	f	0,00737	ketu	m	0,01121										māndhātṛ	m	0,00705																																		ativṛt	v	0,00513				bhāvin	adj	0,01249										pratipāday	v	0,01025																uras	n	0,00865			
			mūla	mn	0,09995	cintā	f	0,01922	nṛpati	m	0,02306	putrī	f	0,00737	bhānu	m	0,01121										tvaṣṭṛ	m	0,00705																																		arthavat	adj	0,00481				durātman	adj	0,01249										kāmay	v	0,00993																purūravas	m	0,00865			
			parāśara	m	0,09963	avasthā	f	0,01922	vāri	n	0,02306	paurṇamāsī	f	0,00737	setu	m	0,01089										gantṛ	adj	0,00705																																								āhan	v	0,01249										mohay	v	0,00993																hiṁs	v	0,00833			
			veda	m	0,09963	jihvā	f	0,01922	tṛpti	f	0,02274	ṣaṣṭhī	f	0,00705	laghu	adj	0,01057										samāvṛ	v	0,00705																																								upahan	v	0,01249										avalokay	v	0,00993																sahas	n	0,00801			
			anna	n	0,09706	tārā	f	0,01890	upapatti	f	0,02178	dūtī	f	0,00705	svayambhu	m	0,01057										āstṛ	v	0,00673																																								āśin	adj	0,01217										ākarṇay	v	0,00993																pracetas	m	0,00801			
			kula	n	0,09642	sutā	f	0,01890	dyuti	f	0,02114	lī	v	0,00705	sru	v	0,01057										vyāhṛ	v	0,00673																																								vyoman	mn	0,01217										nivāray	v	0,00993																apās	v	0,00769			
