"от -300 до 200"	au	1=0.04%	"от -300 до 200"	a	1180=50.99%	"от -300 до 200"	ā	157=6.78%	"от -300 до 200"	i	134=5.79%	"от -300 до 200"	ī	59=2.55%	"от -300 до 200"	u	71=3.07%	"от -300 до 200"	ū	16=0.69%	"от -300 до 200"	o	1=0.04%	"от -300 до 200"	e	6=0.26%	"от -300 до 200"	ṛ	58=2.51%	"от -300 до 200"	k	2=0.09%	"от -300 до 200"	ḍ	1=0.04%	"от -300 до 200"	ch	3=0.13%	"от -300 до 200"	j	33=1.43%	"от -300 до 200"	c	18=0.78%	"от -300 до 200"	th	3=0.13%	"от -300 до 200"	dh	21=0.91%	"от -300 до 200"	t	57=2.46%	"от -300 до 200"	d	42=1.82%	"от -300 до 200"	n	101=4.36%	"от -300 до 200"	bh	8=0.35%	"от -300 до 200"	p	28=1.21%	"от -300 до 200"	m	43=1.86%	"от -300 до 200"	y	100=4.32%	"от -300 до 200"	r	8=0.35%	"от -300 до 200"	l	3=0.13%	"от -300 до 200"	v	6=0.26%	"от -300 до 200"	ṣ	38=1.64%	"от -300 до 200"	ś	29=1.25%	"от -300 до 200"	s	66=2.85%	"от -300 до 200"	h	20=0.86%
			rāma	m	0,28244	āsthā	v	0,07024	hari	m	0,07061	nī	v	0,04422	vāyu	m	0,06336	prabhū	v	0,01152							āvṛ	v	0,03540										vraj	v	0,02574	ruc	v	0,01895				nibudh	v	0,02527	nipat	v	0,05119	nad	v	0,03280	pañcan	adj	0,09542				anuprāp	v	0,02481	anugam	v	0,03159	vāray	v	0,03596										avekṣ	v	0,02648	vinaś	v	0,02397	yaśas	n	0,06792	pragrah	v	0,02592
			kāla	m	0,25494	bhāryā	f	0,06866	giri	m	0,07024	bhī	v	0,04348	mṛtyu	m	0,06225	prabrū	v	0,00985							puraskṛ	v	0,03298										parityaj	v	0,02527	pramuc	v	0,01264				sidh	v	0,01737	jagant	n	0,04915	prasad	v	0,03261	daśan	adj	0,07888				vilap	v	0,02044	upagam	v	0,03057	coday	v	0,03530										dviṣ	v	0,02453	upaviś	v	0,01960	cakṣus	n	0,04367	utsah	v	0,02313
			indra	m	0,25206	gadā	f	0,06661	ādi	m	0,06429	vaidehī	f	0,03568	bhikṣu	m	0,05937	vadhū	f	0,00855							saṁvṛ	v	0,02964										bhaj	v	0,02323	tiryañc	adj	0,01031				samṛdh	v	0,01487	balavat	adj	0,04813	pratipad	v	0,03252	saptan	adj	0,05361				śap	v	0,02007	adhigam	v	0,02982	samāsāday	v	0,03419										viśiṣ	v	0,02211	kruś	v	0,01728	ās	v	0,04125	nigrah	v	0,01784
			nara	m	0,24240	senā	f	0,06476	prīti	f	0,05779	ānī	v	0,03503	prabhu	m	0,04692	anubhū	v	0,00827							pṛ	v	0,02834										prayuj	v	0,01988	tvac	f	0,00910				śudh	v	0,01421	nivṛt	v	0,04748	utpad	v	0,03103	brahman	n	0,05147				gup	v	0,01784	atikram	v	0,02815	kāray	v	0,03354										samīkṣ	v	0,02193	uddiś	v	0,01505	cetas	n	0,04014	parigrah	v	0,01542
			vīra	m	0,22279	prayā	v	0,06448	mati	f	0,05658	draupadī	f	0,03382	prabhu	adj	0,04199	uddhū	v	0,00808							vṛ	v	0,02722										pariṣvaj	v	0,01812	prāñc	adj	0,00901				vivṛdh	v	0,01366	vīryavat	adj	0,04580	rud	v	0,02927	nāman	n	0,05017				saṁtap	v	0,01514	praṇam	v	0,02360	arday	v	0,03335										vṛṣ	v	0,01951	aś	v	0,01384	tamas	n	0,03874	sah	v	0,01524
			rāja	m	0,21443	kanyā	f	0,06197	śakti	f	0,05649	patnī	f	0,03066	viṣṇu	m	0,04190	dhū	v	0,00762							satkṛ	v	0,02611										virāj	v	0,01802	nirmuc	v	0,00873				viśudh	v	0,01356	hanumant	m	0,04487	niṣad	v	0,02871	balin	adj	0,04348				tṛp	v	0,01431	āyam	v	0,02332	abhivāday	v	0,03326										abhibhāṣ	v	0,01951	praṇaś	v	0,01356	vidvas	adj	0,03818	vyūh	v	0,01329
			vana	n	0,20728	vidhā	v	0,06095	vidhi	m	0,05110	purī	f	0,02648	abhidru	v	0,03874	vidhū	v	0,00753							dhṛ	v	0,02564										sañj	v	0,01561	arc	v	0,00855				kṣudh	f	0,01310	śrīmat	adj	0,04357	mad	v	0,02834	mūrdhan	m	0,04041				kup	v	0,01291	śam	v	0,02304	niveday	v	0,03187										saṁhṛṣ	v	0,01802	upadiś	v	0,01338	ojas	n	0,03633	nirdah	v	0,01180
			yudhiṣṭhira	m	0,20681	utthā	v	0,05537	sātyaki	m	0,04961	nārī	f	0,02490	vibhu	adj	0,03428										vihṛ	v	0,02555										udvij	v	0,01533	viruc	v	0,00762				prativyadh	v	0,01087	āyuṣmat	adj	0,03698	āpad	v	0,02815	yaśasvin	adj	0,03586				pradīp	v	0,01273	kṣam	v	0,02258	preṣay	v	0,03066										duṣ	v	0,01691	anupaś	v	0,01245	apsaras	f	0,03447	prasah	v	0,01041
			sva	adj	0,20653	vijñā	v	0,05138	pāṇi	m	0,04924	atī	v	0,02304	iṣu	mf	0,02852										parivṛ	v	0,02481										pravraj	v	0,01440	sic	v	0,00725				bādh	v	0,01022	yat	v	0,03187	mud	v	0,02713	heman	n	0,03549				jap	v	0,01022	vikram	v	0,02193	pālay	v	0,03047										nirīkṣ	v	0,01626	samāviś	v	0,01217	vāsas	n	0,03326	guh	v	0,00938
			brāhmaṇa	m	0,20570	prabhā	f	0,05045	dvi	nr	0,04840	vāhinī	f	0,02155	ripu	m	0,02769										duhitṛ	f	0,02453										rāj	v	0,01291							avabudh	v	0,00948	pratāpavat	adj	0,02889	prapad	v	0,02211	pathin	m	0,03540				paryāp	v	0,00985	vigam	v	0,02100	janay	v	0,02741										samprekṣ	v	0,01440	upaspṛś	v	0,01208	prahas	v	0,03196	saṁnah	v	0,00808
			puruṣa	m	0,20384	pradā	v	0,05008	śuci	adj	0,04608	gāndhārī	f	0,02081	cyu	v	0,02741										āhṛ	v	0,02406										niyuj	v	0,01245							pravṛdh	v	0,00836	āpat	v	0,02750	hṛd	n	0,02072	vādin	adj	0,03484				kamp	v	0,00883	upāgam	v	0,02025	āmantray	v	0,02555										pratibhāṣ	v	0,01338	bhraṁś	v	0,01115	sahas	n	0,03159	saṁgrah	v	0,00780
			kāma	m	0,19817	upasthā	v	0,04590	nṛpati	m	0,04395	maithilī	f	0,02063	hu	v	0,02722										alaṁkṛ	v	0,02369										majj	v	0,01236							rudh	v	0,00734	kṛt	adj	0,02378	abhinand	v	0,01895	parvan	n	0,03456				ākṣip	v	0,00836	saṁgam	v	0,01970	bhakṣay	v	0,02304										vīkṣ	v	0,01273	prapaś	v	0,01078	praśaṁs	v	0,03038			
			raṇa	m	0,19362	devatā	f	0,04460	kapi	m	0,04199	sarasvatī	f	0,02053	viśru	v	0,02657										bhṛ	v	0,02351										vaṇij	m	0,01217										bhṛt	adj	0,02295	āpad	f	0,01840	rathin	m	0,03280				nikṣip	v	0,00808	dam	v	0,01877	bhūṣay	v	0,02276										kāṅkṣ	v	0,01254	niviś	v	0,01068	śreyas	n	0,03029			
			bhīṣma	m	0,18665	niśā	v	0,04422	drauṇi	m	0,03986	mādrī	f	0,01830	kratu	m	0,02527										nṛ	m	0,02304										ṛtvij	m	0,01171										himavant	m	0,02183	vinad	v	0,01765	abhihan	v	0,03196				vyāp	v	0,00808	niṣkram	v	0,01626	niśāmay	v	0,02276										vikṛṣ	v	0,01171	prakāś	v	0,01022	rajas	n	0,02973			
			yuddha	n	0,18470	ākhyā	v	0,04060	āśri	v	0,03893	vinī	v	0,01756	manyu	mf	0,02434										udāhṛ	v	0,02183										samāyuj	v	0,01059										sarit	f	0,02165	vand	v	0,01728	han	adj	0,03168				vip	v	0,00790	yam	v	0,01347	nipātay	v	0,02239										cikīrṣ	v	0,01171	kliś	v	0,00976	āyus	n	0,02806			
			rākṣasa	m	0,18219	gaṅgā	f	0,04014	sārathi	m	0,03865	dharaṇī	f	0,01747	vasu	mn	0,02388										vikṛ	v	0,02146										sraj	f	0,01013										utpat	v	0,02128	mud	f	0,01672	vājin	m	0,03140				prasvap	v	0,00790	nam	v	0,01338	sthāpay	v	0,02211										anviṣ	v	0,01133	aś	v	0,00901	upās	v	0,02787			
			parama	adj	0,18117	sabhā	f	0,03967	ari	m	0,03856	adhī	v	0,01719	paśu	m	0,02286										avatṛ	v	0,02063										garj	v	0,00966										abhivṛt	v	0,01886	viṣad	v	0,01412	janman	n	0,03140				samāp	v	0,00771	nirgam	v	0,01310	tāḍay	v	0,02202										juṣ	v	0,01106	ādiś	v	0,00892	puṁs	m	0,02267			
			ṛṣabha	m	0,18015	pā	v	0,03874	rātri	f	0,03651	rākṣasī	f	0,01709	bhṛgu	m	0,02230										tṛ	v	0,01858										anurañj	v	0,00938										asat	adj	0,01728	pad	m	0,01310	śikhaṇḍin	m	0,03047				prakṣip	v	0,00734	saṁyam	v	0,01245	mohay	v	0,02193										kṛṣ	v	0,01068	nirdiś	v	0,00883	śaṁs	v	0,02183			
			bhārata	m	0,17699	vidyā	f	0,03791	vṛtti	f	0,03530	medinī	f	0,01709	bandhu	m	0,02165										prahṛ	v	0,01858										saṁsañj	v	0,00938										vidyut	fn	0,01691	āsad	v	0,01264	aṣṭan	adj	0,02973				kﾱp	v	0,00725	prakram	v	0,01236	varjay	v	0,02183										mṛṣ	v	0,01059	niś	f	0,00855	vapus	n	0,02063			
			rūpa	n	0,17671	māyā	f	0,03596	prakṛti	f	0,03530	kaikeyī	f	0,01663	stu	v	0,02165										avakṛ	v	0,01728										saṁtyaj	v	0,00920										buddhimat	adj	0,01682	sad	v	0,01096	pakṣin	m	0,02936							upakram	v	0,01226	kīrtay	v	0,02137										parirakṣ	v	0,01022	saṁdṛś	v	0,00799	śās	v	0,02025			
			pārtha	m	0,17652	śā	v	0,03596	siddhi	f	0,03465	vī	v	0,01496	aśru	mn	0,02128										ākṛ	v	0,01505										nimajj	v	0,00873										arhant	m	0,01672	mṛd	v	0,01087	arthin	adj	0,02834							vidham	v	0,01217	vibhūṣay	v	0,02072										abhivṛṣ	v	0,01013				uras	n	0,02016			
			karṇa	m	0,17327	kathā	f	0,03521	maṇi	m	0,03419	bhāminī	f	0,01477	pradru	v	0,02063										prakṛ	v	0,01440										vibhaj	v	0,00855										saṁvṛt	v	0,01635	saṁsad	f	0,01059	āhan	v	0,02648							praśam	v	0,01199	arcay	v	0,01998										abhirakṣ	v	0,00920				saras	n	0,02016			
			vākya	n	0,17197	kṛṣṇā	f	0,03391	mahīpati	m	0,03410	parī	v	0,01449	dru	v	0,02025										vyāhṛ	v	0,01440										bhrāj	v	0,00845										marut	m	0,01570	abhipad	v	0,01041	tapasvin	m	0,02536							saṁnam	v	0,01180	yodhay	v	0,01877										puṣ	v	0,00892				nivas	v	0,01784			
			bharata	m	0,17086	kriyā	f	0,03252	dyuti	f	0,03354	lakṣmī	f	0,01375	mṛdu	adj	0,02016										apahṛ	v	0,01412										saṁrañj	v	0,00818										anuvṛt	v	0,01468	samutpad	v	0,01031	hastin	m	0,02527							abhyāgam	v	0,01171	kalpay	v	0,01849										ukṣ	v	0,00883				namas	n	0,01719			
			bhūta	mn	0,16751	laṅkā	f	0,03205	śakuni	m	0,03261	putrī	f	0,01264	cāru	adj	0,01923										namaskṛ	v	0,01394																						nikṛt	v	0,01449	pramad	v	0,01022	veśman	n	0,02462							niram	v	0,01161	prasāday	v	0,01691										pratīkṣ	v	0,00845				jyotis	n	0,01626			
			uttama	adj	0,16593	antardhā	v	0,03150	i	v	0,03177	rajanī	f	0,01217	abhimanyu	m	0,01923										uddhṛ	v	0,01319																						abhipat	v	0,01394	nirbhid	v	0,00938	dvādaśan	adj	0,02453							ākram	v	0,01152	utpāday	v	0,01672										upekṣ	v	0,00818				vayas	n	0,01570			
			vara	adj	0,15748	āyā	v	0,03066	jñāti	m	0,03047	damayantī	f	0,01208	dhātu	mn	0,01663										kartṛ	adj	0,01310																						etāvat	adj	0,01347	pramud	v	0,00892	mantrin	m	0,02416							śram	v	0,01124	chāday	v	0,01654										śikṣ	v	0,00818				ambhas	n	0,01505			
			phala	n	0,15581	avasthā	v	0,03010	viji	v	0,03029	bhaginī	f	0,01180	laghu	adj	0,01626										samāvṛ	v	0,01291																						ātmavat	adj	0,01282	khād	v	0,00855	durātman	adj	0,02378							bhram	v	0,01003	nivāray	v	0,01654										avaśiṣ	v	0,00762				divaukas	m	0,01468			
			vacana	n	0,15553	snā	v	0,02945	vṛṣṇi	m	0,02973	bherī	f	0,01171	meru	m	0,01617										dhātṛ	m	0,01208																						yoṣit	f	0,01273	nard	v	0,00855	vālin	m	0,02276							sambhram	v	0,00883	prārthay	v	0,01635										parīkṣ	v	0,00753				śreyas	adj	0,01459			
			śreṣṭha	adj	0,15032	prajñā	f	0,02797	gṛhapati	m	0,02945	dāsī	f	0,01124	śatakratu	m	0,01617										kṛ	v	0,01171																						prapat	v	0,01217	chad	v	0,00845	eṣin	adj	0,02267							viśram	v	0,00799	mānay	v	0,01552																gras	v	0,01459			
			droṇa	m	0,14967	saṁjñā	f	0,02787	yoni	mf	0,02843	śrāvastī	f	0,01003	ūru	mf	0,01607										dātṛ	adj	0,01152																						parivṛt	v	0,01199	gad	v	0,00818	cārin	adj	0,02248							samudyam	v	0,00799	lakṣay	v	0,01533																nyas	v	0,01440			
			sahasra	mn	0,14800	bhā	v	0,02685	prajāpati	m	0,02787	sāvitrī	f	0,00994	jantu	m	0,01579										kṣattṛ	m	0,01115																						guṇavat	adj	0,01152	unmad	v	0,00818	samman	v	0,02239							pariśram	v	0,00771	karśay	v	0,01496																havis	n	0,01403			
			nṛpa	m	0,14698	dakṣiṇā	f	0,02639	kīrti	f	0,02657	jananī	f	0,00976	madhu	n	0,01514										samalaṁkṛ	v	0,01059																						nṛt	v	0,01115	sampad	f	0,00734	vāsin	adj	0,02183							apakram	v	0,00753	śobhay	v	0,01459																nabhas	n	0,01384			
			bhaya	n	0,14401	sutā	f	0,02601	bṛhaspati	m	0,02574	samānī	v	0,00957	ṛtu	m	0,01496										vistṛ	v	0,01022																						bṛhat	adj	0,01087				kṛtavarman	m	0,02174							dham	v	0,00734	yojay	v	0,01459																tras	v	0,01347			
			arjuna	m	0,14271	anujñā	v	0,02583	asi	m	0,02546	hrī	f	0,00948	bhīru	adj	0,01468										kartṛ	m	0,01013																						indrajit	m	0,00966				prāṇin	m	0,02100										āropay	v	0,01459																anuśās	v	0,01319			
			suta	m	0,14187	pratiṣṭhā	v	0,02574	nirji	v	0,02490	satyavatī	f	0,00910	manu	m	0,01459										anusmṛ	v	0,00938																						ativṛt	v	0,00910				darśin	adj	0,02090										tarpay	v	0,01449																has	v	0,01319			
			guṇa	mn	0,14085	śilā	f	0,02499	saumitri	m	0,02462	devayānī	f	0,00910	ikṣvāku	m	0,01431										hantṛ	adj	0,00920																						matimat	adj	0,00845				savyasācin	m	0,02053										sampūjay	v	0,01421																varcas	n	0,01301			
			śata	mn	0,14057	pūjā	f	0,02499	diṣṭi	f	0,02406	pāñcālī	f	0,00910	svayambhu	m	0,01301										sampṛ	v	0,00920																						prītimat	adj	0,00836				navan	adj	0,02044										vartay	v	0,01394																āśaṁs	v	0,01291			
			priya	adj	0,13695	vyavasthā	v	0,02341	rājarṣi	m	0,02378	akṣauhiṇī	f	0,00901	āśu	adj	0,01273										vivṛ	v	0,00873																						prasenajit	m	0,00808				varman	mn	0,01970										pūray	v	0,01375																taras	n	0,01245			
			duḥkha	n	0,13434	āhvā	v	0,02323	jāti	f	0,02323	pratī	v	0,00892	bībhatsu	m	0,01264										viśṛ	v	0,00873																						kṛt	v	0,00808				manīṣin	adj	0,01951										saṁlakṣay	v	0,01347																candramas	m	0,01189			
			jana	m	0,13137	saṁdhā	v	0,02220	prāñjali	adj	0,02323	abhī	v	0,00883	vidru	v	0,01189										śāstṛ	m	0,00855																						yāvat	adj	0,00790				gāmin	adj	0,01812										īpsay	v	0,01273																aṅgiras	m	0,01152			
			tva	n	0,12961	prasthā	v	0,02202	dvijāti	m	0,02202	praṇī	v	0,00873	tanu	f	0,01180										vikṛ	v	0,00855																						śastrabhṛt	m	0,00790				avaman	v	0,01802										saṁcintay	v	0,01264																niḥśvas	v	0,01124			
			ghora	adj	0,12877	abhiyā	v	0,02183	śānti	f	0,02174	nagarī	f	0,00864	ketu	m	0,01171										paripṛ	v	0,00827																						āvṛt	v	0,00762				marman	n	0,01775										āśvāsay	v	0,01226																praśās	v	0,01013			
			astra	mn	0,12282	jarā	f	0,02128	sakhi	m	0,02174	dhī	f	0,00808	āplu	v	0,01106										saṁskṛ	v	0,00827																						vegavat	adj	0,00753				tejasvin	adj	0,01756										vivarjay	v	0,01226																hiṁs	v	0,01003			
			aśva	m	0,11994	cintā	f	0,02100	atithi	m	0,02155	apanī	v	0,00808	vasu	n	0,01087										goptṛ	adj	0,00818																						apaśyat	adj	0,00734				saṁjan	v	0,01728										sāntvay	v	0,01217																bhūriśravas	m	0,00994			
			rājya	n	0,11994	vihā	v	0,02100	bali	m	0,02128	tapasvinī	f	0,00780	guru	adj	0,01059										saṁhṛ	v	0,00808																						samutpat	v	0,00734				aśvatthāman	m	0,01719										mūrchay	v	0,01208																viśvas	v	0,00994			
			divya	adj	0,11901	vasudhā	f	0,02035	aśani	mf	0,02081	vyatī	v	0,00771	dasyu	m	0,01013										māndhātṛ	m	0,00762																						sampat	v	0,00734				carman	n	0,01700										kāmay	v	0,01199																as	v	0,00976			
			duryodhana	m	0,11836	pratijñā	f	0,01932	vṛṣṭi	f	0,01998	mahiṣī	f	0,00762	śaṁtanu	m	0,00976										yantṛ	m	0,00753																						arthavat	adj	0,00715				dhanvin	adj	0,01700										ājñāpay	v	0,01180																paryupās	v	0,00957			
			bāṇa	m	0,11437	gā	v	0,01932	rati	f	0,01970	varavarṇinī	f	0,00734	pratiśru	v	0,00929										niḥsṛ	v	0,00743																												kirīṭin	m	0,01682										pravartay	v	0,01171																bhūyas	adj	0,00920			
			bhīma	m	0,11260	anuyā	v	0,01840	koṭi	f	0,01895	urvī	f	0,00725	upadru	v	0,00920																																								adhvan	m	0,01672										pratiṣṭhāpay	v	0,01124																prāduras	v	0,00892			
			samara	mn	0,11214	pratijñā	v	0,01830	dhṛti	f	0,01886				plu	v	0,00910																																								vinihan	v	0,01579										visarjay	v	0,01124																vakṣas	n	0,00883			
			bhīmasena	m	0,10898	khyā	v	0,01821	bhakti	f	0,01877				yadu	m	0,00901																																								kārin	adj	0,01552										vicintay	v	0,01106																vitras	v	0,00855			
			gaṇa	m	0,10861	niryā	v	0,01765	śruti	f	0,01867				jighāṁsu	adj	0,00864																																								aśvin	m	0,01477										niveśay	v	0,01096																payas	n	0,00836			
			kula	n	0,10852	gāthā	f	0,01719	raśmi	mf	0,01867				pṛthu	adj	0,00864																																								śvan	m	0,01477										abhipūjay	v	0,01087																jighāṁs	v	0,00780			
			varṣa	mn	0,10805	patākā	f	0,01626	kṣiti	f	0,01821				jiṣṇu	m	0,00818																																								dhārin	adj	0,01431										upaśobhay	v	0,01068																balīyas	adj	0,00771			
			sukha	n	0,10777	abhidhā	v	0,01626	udi	v	0,01821				śiśu	m	0,00818																																								manasvin	adj	0,01403										mantray	v	0,01059																vanaukas	m	0,00743			
			śubha	adj	0,10666	prajñāpāramitā	f	0,01579	ṛddhi	f	0,01812				setu	m	0,00799																																								yuvan	m	0,01338										sādhay	v	0,01059																arcis	n	0,00734			
			śakra	m	0,10601	dhyā	v	0,01579	kṣi	v	0,01812				ambu	n	0,00780																																								sukhin	adj	0,01319										ghātay	v	0,01041																					
			vaiśampāyana	m	0,10582	jyā	f	0,01570	adhipati	m	0,01784				jānu	mn	0,00780																																								rūpin	adj	0,01254										daṁśay	v	0,01031																					
			kṛṣṇa	m	0,10443	kṣamā	f	0,01533	añjali	m	0,01747				gatāsu	adj	0,00780																																								loman	n	0,01236										vardhay	v	0,01022																					
			yajña	m	0,10424	samādhā	v	0,01533	niści	v	0,01747				pāṁsu	m	0,00771																																								mālin	adj	0,01199										varay	v	0,01022																					
			śoka	m	0,10378	abhijñā	v	0,01505	svasti	fn	0,01737				sru	v	0,00753																																								dehin	m	0,01189										rocay	v	0,01013																					
			satya	n	0,10359	saṁdhyā	f	0,01496	āji	mf	0,01719																																														nivāsin	adj	0,01143										nāday	v	0,01013																					
			śūra	m	0,10285	ayodhyā	f	0,01496	yayāti	m	0,01719																																														yogin	m	0,01143										toṣay	v	0,01013																					
			rāghava	m	0,09997	kausalyā	f	0,01487	vismi	v	0,01709																																														sādin	m	0,01133										vicāray	v	0,00994																					
			nāga	m	0,09932	ājñā	v	0,01477	dṛṣṭi	f	0,01691																																														mānin	adj	0,01133										paripālay	v	0,00994																					
