"от 1700 до 1956"	a	1375=55.92%	"от 1700 до 1956"	ā	212=8.62%	"от 1700 до 1956"	i	127=5.16%	"от 1700 до 1956"	ī	126=5.12%	"от 1700 до 1956"	u	65=2.64%	"от 1700 до 1956"	ū	14=0.57%	"от 1700 до 1956"	o	1=0.04%	"от 1700 до 1956"	e	1=0.04%	"от 1700 до 1956"	ṛ	37=1.50%	"от 1700 до 1956"	kh	1=0.04%	"от 1700 до 1956"	gh	1=0.04%	"от 1700 до 1956"	k	1=0.04%	"от 1700 до 1956"	g	1=0.04%	"от 1700 до 1956"	ṭh	1=0.04%	"от 1700 до 1956"	ṭ	2=0.08%	"от 1700 до 1956"	ḍ	1=0.04%	"от 1700 до 1956"	ṇ	1=0.04%	"от 1700 до 1956"	ch	1=0.04%	"от 1700 до 1956"	j	24=0.98%	"от 1700 до 1956"	c	15=0.61%	"от 1700 до 1956"	dh	13=0.53%	"от 1700 до 1956"	t	31=1.26%	"от 1700 до 1956"	d	27=1.10%	"от 1700 до 1956"	n	77=3.13%	"от 1700 до 1956"	bh	3=0.12%	"от 1700 до 1956"	p	23=0.94%	"от 1700 до 1956"	m	17=0.69%	"от 1700 до 1956"	y	153=6.22%	"от 1700 до 1956"	r	6=0.24%	"от 1700 до 1956"	l	5=0.20%	"от 1700 до 1956"	v	4=0.16%	"от 1700 до 1956"	ṣ	21=0.85%	"от 1700 до 1956"	ś	17=0.69%	"от 1700 до 1956"	s	41=1.67%	"от 1700 до 1956"	h	13=0.53%
tva	n	0,27069	jñā	v	0,09591	bhūmi	f	0,07260	devadālī	f	0,03809	ambu	n	0,05019	bhrū	f	0,01300							uddhṛ	v	0,04616																												ruj	mf	0,02286	vinirmuc	v	0,01344	kṣudh	f	0,01076	vṛt	v	0,01658	nigad	v	0,02510	nāman	n	0,08605				avāp	v	0,02330	pradham	v	0,01210	pūjay	v	0,08112										śuṣ	v	0,01120	upadiś	v	0,01210	sarpis	n	0,03675	āruh	v	0,01120
gandhaka	mn	0,25949	ākhyā	f	0,09367	ji	v	0,07036	dhātrī	f	0,03451	dhātu	mn	0,05019	varṣābhū	f	0,00986							prakṛ	v	0,04302																												upayuj	v	0,01927	vipac	v	0,01344	pariśudh	v	0,00717	dhīmat	adj	0,01569	khād	v	0,02017	brahman	m	0,08291				dīp	v	0,01972	kram	v	0,01165	vimarday	v	0,08022										duṣ	v	0,01076	uddiś	v	0,01076	nyas	v	0,03496	arh	v	0,01031
drava	mn	0,24963	yā	v	0,08605	śakti	f	0,06409	pārvatī	f	0,03451	pāṇḍu	m	0,04885	anubhū	v	0,00941							pitṛ	m	0,04168																												bhāj	adj	0,01882	prāñc	adj	0,01255	nibandh	v	0,00672	nipat	v	0,01479	vid	adj	0,01613	ṣoḍaśan	adj	0,08157				svap	v	0,01927	anugam	v	0,01031	pācay	v	0,07484										viśiṣ	v	0,01076	viś	v	0,01031	śaṁs	v	0,03137	snuh	f	0,00896
bīja	mn	0,24559	jarā	f	0,08291	śuddhi	f	0,06095	kākamācī	f	0,03316	viṣṇu	m	0,04571	abhibhū	v	0,00762							dhṛ	v	0,03720																												añj	v	0,01882	sampravac	v	0,01210	virudh	v	0,00672	dvātriṁśat	f	0,01344	chid	v	0,01344	man	v	0,07977				ap	m	0,01748	niyam	v	0,00986	drāvay	v	0,07171										vīkṣ	v	0,00986	vinirdiś	v	0,01031	puṁs	m	0,02868	pragrah	v	0,00672
tulya	adj	0,23887	guṭikā	f	0,06678	koṭi	f	0,05737	deveśī	f	0,03272	vāyu	m	0,04258	prasū	v	0,00672							mātṛ	f	0,03182																												parityaj	v	0,01524	arc	v	0,01120				śrīmat	adj	0,01300	śarad	f	0,01255	ātman	m	0,07171				vilip	v	0,01255	samāgam	v	0,00852	māray	v	0,07081										avaśiṣ	v	0,00941	diś	v	0,00941	gras	v	0,02868			
vajra	mn	0,23573	ādā	v	0,06050	bali	m	0,05333	nirguṇḍī	f	0,03137	manu	m	0,04213										udāhṛ	v	0,03182																												yaj	v	0,01255	tiryañc	adj	0,01031				tāvat	adj	0,01300	gad	v	0,01255	dvādaśan	adj	0,06588				kup	v	0,01210	prayam	v	0,00807	varjay	v	0,07036										viṣ	f	0,00896	vinaś	v	0,00896	vapus	n	0,02779			
yoga	m	0,23439	chāyā	f	0,05737	vṛddhi	f	0,04795	kumārī	f	0,03092	tanu	f	0,03854										pṛ	v	0,02823																												vaṇij	m	0,01120							matimat	adj	0,01120	utpad	v	0,01210	vyoman	mn	0,05199				pralip	v	0,01165	atikram	v	0,00627	dhāray	v	0,06902										hṛṣ	v	0,00717	aś	v	0,00717	praśaṁs	v	0,02689			
pala	mn	0,23394	vajramūṣā	mf	0,05333	vyādhi	m	0,04706	cullī	f	0,03092	hetu	m	0,03765										ekīkṛ	v	0,02330																												bhañj	v	0,01031							bhagavant	m	0,01120	prasad	v	0,01165	rājan	m	0,04347				gup	v	0,00941	unnam	v	0,00627	śoṣay	v	0,06722										tuṣ	v	0,00672	bhraṁś	v	0,00717	vinyas	v	0,02375			
kṣīra	n	0,23036	andhamūṣā	mf	0,04526	vāri	n	0,04482	nārī	f	0,02958	bindu	mn	0,03765										saṁskṛ	v	0,02241																												yuj	adj	0,00986							yāvat	adj	0,01076	vand	v	0,01120	śleṣman	m	0,03675				saṁtap	v	0,00941				peṣay	v	0,06588										muṣ	v	0,00672				vas	v	0,02330			
phala	n	0,22498	vijñā	v	0,04482	muni	m	0,04168	piṣṭī	f	0,02913	indu	m	0,03406										vistṛ	v	0,02106																												sṛj	v	0,00986							balavat	adj	0,00941	āpad	f	0,01076	vedhin	adj	0,03585				tṛp	v	0,00852				sveday	v	0,06274										prāvṛṣ	f	0,00627				ambhas	n	0,02151			
gandha	mn	0,22095	prabhā	f	0,04437	ravi	m	0,03944	bhairavī	f	0,02734	kaṭu	adj	0,03361										bhṛ	v	0,01837																												majj	v	0,00896							marut	m	0,00807	niṣpad	v	0,01031	navan	adj	0,03496				samprāp	v	0,00852				vedhay	v	0,06185										śliṣ	v	0,00627				arśas	mn	0,01569			
bhāga	m	0,21826	āyā	v	0,04437	pati	m	0,03899	prabhāvatī	f	0,02644	śigru	mfn	0,03272										anusṛ	v	0,01389																												niyuj	v	0,00896							catvāriṁśat	f	0,00807	saṁvid	f	0,00986	nihan	v	0,03137				prajap	v	0,00762				veṣṭay	v	0,05961										abhilaṣ	v	0,00627				vāsas	n	0,01524			
mātra	n	0,21781	khyā	v	0,04392	rātri	f	0,03675	grahaṇī	f	0,02599	svādu	adj	0,02913										kartṛ	adj	0,01210																												virāj	v	0,00762							ekaviṁśat	f	0,00762	rud	v	0,00896	prajan	v	0,02913				samāp	v	0,00717				sthāpay	v	0,05692																vakṣas	n	0,01479			
roga	mn	0,21781	kalā	f	0,04347	viṁśati	f	0,03630	kūpī	f	0,02510	guggulu	mn	0,02555										bhartṛ	m	0,01210																												visṛj	v	0,00672							bhagavat	adj	0,00762	sampad	v	0,00896	yogin	m	0,02555				saṁlip	v	0,00672				śodhay	v	0,05468																has	v	0,01434			
tāmra	n	0,21691	kanyā	f	0,04302	piṣṭi	f	0,03630	mahiṣī	f	0,02510	śambhu	m	0,02375										cūrṇīkṛ	v	0,01120																												bhṛṅgarāj	m	0,00672							asat	adj	0,00762	mad	v	0,00852	janman	n	0,02375										sāray	v	0,04885																cetas	n	0,01300			
vāra	mn	0,21422	sitā	f	0,04123	catuḥṣaṣṭi	f	0,03585	pippalī	f	0,02330	bhānu	m	0,01703										alaṁkṛ	v	0,01031																																					śakṛt	n	0,00762	sad	v	0,00762	mūrdhan	m	0,02330										gālay	v	0,04482																jyotis	n	0,01300			
guṇa	mn	0,21109	hā	v	0,04033	saṁdhi	mf	0,03541	parameśvarī	f	0,02286	śilājatu	mn	0,01703										kartṛ	m	0,00986																																					nṛt	v	0,00762	pratipad	v	0,00672	saṁjan	v	0,02286										jvālay	v	0,04392																tapas	n	0,01300			
artha	mn	0,20840	mā	v	0,03944	maṇi	m	0,03316	lāṅgalī	f	0,02196	ūru	mf	0,01613										āvṛ	v	0,00941																																					cit	f	0,00717	nind	v	0,00627	brahman	n	0,02196										sādhay	v	0,04347																vilas	v	0,01300			
taila	n	0,20795	varā	f	0,03675	yukti	f	0,03316	vaṭī	f	0,02062	vastu	n	0,01613										uddhṛ	v	0,00941																																					pravṛt	v	0,00717				caturdaśan	adj	0,02196										pātay	v	0,04033																vacas	n	0,01165			
traya	n	0,20347	pūjā	f	0,03630	giri	m	0,03227	sureśvarī	f	0,02017	paṭu	mn	0,01569										sampṛ	v	0,00941																																					viṁśat	f	0,00717				han	adj	0,02017										niveśay	v	0,03989																dhanus	n	0,01076			
madhya	n	0,20302	mātrā	f	0,03541	asthi	n	0,03137	śatāvarī	f	0,02017	jānu	mn	0,01479										bhasmīkṛ	v	0,00941																																					yakṛt	n	0,00672				kārin	adj	0,01927										pūray	v	0,03899																medas	n	0,01076			
svarṇa	n	0,20033	punarnavā	mf	0,03496	rati	f	0,03137	rajanī	f	0,01972	ṛtu	m	0,01434										niḥsṛ	v	0,00807																																					vidyut	fn	0,00627				plīhan	m	0,01793										vicūrṇay	v	0,03720																cakṣus	n	0,01031			
mukha	n	0,19450	nidhā	v	0,03496	dṛṣṭi	f	0,03137	kāminī	f	0,01927	hiṅgu	n	0,01389										prasṛ	v	0,00807																																											khan	v	0,01793										saṁmarday	v	0,03585																ās	v	0,00986			
nāga	mn	0,19226	manaḥśilā	mf	0,03406	ityādi	adj	0,03092	musalī	f	0,01927	ikṣu	m	0,01344										mukhīkṛ	v	0,00807																																											nikhan	v	0,01703										vāhay	v	0,03496																uras	n	0,00941			
ja	adj	0,19181	śarkarā	f	0,03361	ekaviṁśati	f	0,03048	koṣṭhī	mf	0,01927	prabhu	m	0,01344										uttṛ	v	0,00762																																											yuvan	m	0,01658										bandhay	v	0,03451																nabhas	n	0,00941			
pārada	mn	0,19092	saṁjñā	f	0,03227	dadhi	n	0,02868	pṛthivī	f	0,01882	plu	v	0,01344										bhrātṛ	m	0,00717																																											rūpin	adj	0,01658										dāpay	v	0,03406																tamas	n	0,00941			
śata	mn	0,18464	pradā	v	0,03227	kānti	f	0,02823	kajjalī	f	0,01793	paśu	m	0,01300										tṛ	v	0,00717																																											majjan	m	0,01613										andhay	v	0,03316																vayas	n	0,00896			
priya	adj	0,17927	devatā	f	0,03182	nābhi	f	0,02689	lakṣmī	f	0,01748	cāru	adj	0,01255										namaskṛ	v	0,00672																																											śikhin	m	0,01613										rañjay	v	0,03272																vidvas	adj	0,00896			
mūla	mn	0,17389	saṁkhyā	f	0,03137	jāti	f	0,02644	śuṇṭhī	f	0,01748	bāhu	mf	0,01255																																																							nandin	m	0,01569										parikīrtay	v	0,03272																saras	n	0,00852			
varṇa	mn	0,17120	vidyā	f	0,03092	gati	f	0,02644	pīṭhī	f	0,01748	tanu	adj	0,01120																																																							aśman	mn	0,01479										kṣālay	v	0,03092																mās	m	0,00717			
jala	n	0,17030	mṛttikā	fn	0,03092	bhakti	f	0,02599	maheśānī	f	0,01658	jantu	m	0,01076																																																							aṣṭādaśan	adj	0,01479										prakīrtay	v	0,03048																upavas	v	0,00672			
divya	adj	0,16896	kriyā	f	0,02958	buddhi	f	0,02599	vajrī	f	0,01613	trikaṭu	mn	0,01031																																																							hārin	adj	0,01434										vivarjay	v	0,03003																retas	n	0,00627			
tāra	mn	0,16717	sudhā	f	0,02913	śuci	adj	0,02555	vallī	f	0,01613	hiṅgu	mn	0,01031																																																							śaśin	m	0,01434										viśoṣay	v	0,02913																					
dravya	n	0,16358	piṣṭikā	f	0,02913	divyauṣadhi	f	0,02555	vākucī	f	0,01613	hu	v	0,01031																																																							nāśin	adj	0,01300										darśay	v	0,02823																					
yāma	m	0,15999	dhyā	v	0,02823	rāśi	mf	0,02420	sarpākṣī	f	0,01613	sindhu	mn	0,00986																																																							arthin	adj	0,01255										mūrchay	v	0,02779																					
viṣa	n	0,15775	vasā	f	0,02779	rāji	f	0,02241	vyāghrī	f	0,01569	śilādhātu	mn	0,00986																																																							gandhāśman	m	0,01210										pralepay	v	0,02734																					
abhra	mn	0,15551	sāraṇā	fn	0,02779	ākṛti	f	0,02151	kākatuṇḍī	f	0,01524	vidru	v	0,00986																																																							dāyin	adj	0,01210										secay	v	0,02689																					
amla	n	0,15103	latā	f	0,02734	aṅguli	mf	0,02106	meṣaśṛṅgī	f	0,01524	pāṇḍu	adj	0,00941																																																							vitan	v	0,01210										īray	v	0,02644																					
doṣa	mn	0,14969	sevā	f	0,02689	kavi	m	0,02106	sundarī	f	0,01524	agaru	mn	0,00896																																																							āśin	adj	0,01165										nirodhay	v	0,02599																					
ṭaṅkaṇa	mn	0,14969	niśā	f	0,02644	mukti	f	0,02106	haṁsapādī	f	0,01524	devadāru	mn	0,00807																																																							prāṇin	m	0,01165										niyojay	v	0,02465																					
dvaya	n	0,14610	samādā	v	0,02599	vṛtti	f	0,02017	nīlī	f	0,01434	sru	v	0,00762																																																							preman	mn	0,01165										pradāpay	v	0,02375																					
māsa	mn	0,14341	mālā	f	0,02555	ārti	f	0,01837	nadī	f	0,01434	sādhu	adj	0,00717																																																							sthāyin	adj	0,01120										āvartay	v	0,02196																					
rasāyana	n	0,14296	mūrchā	f	0,02465	śānti	f	0,01793	muṇḍī	f	0,01434	bandhu	m	0,00717																																																							mantrin	m	0,01076										janay	v	0,02151																					
anta	m	0,13759	rekhā	f	0,02420	rīti	f	0,01748	bṛhatī	f	0,01389	stu	v	0,00717																																																							vināśin	adj	0,01076										miśray	v	0,02106																					
kānta	n	0,13759	jayā	f	0,02375	akṣi	n	0,01748	ānī	v	0,01389	madhuripu	m	0,00672																																																							brahmacārin	m	0,01076										prakalpay	v	0,02062																					
pāda	m	0,13669	śivā	f	0,02330	keli	mf	0,01658	kuṭī	f	0,01300	vasu	mn	0,00672																																																							tan	v	0,01076										melay	v	0,01972																					
pātra	n	0,13624	kathā	f	0,02241	prakṛti	f	0,01658	jayantī	f	0,01300	jambu	f	0,00672																																																							sukhin	adj	0,01031										ācchāday	v	0,01927																					
mūtra	n	0,13490	abhidhā	f	0,02196	ahi	m	0,01613	matsyākṣī	f	0,01255	śatru	m	0,00672																																																							vanamālin	m	0,00986										guṇay	v	0,01837																					
deha	mn	0,13355	abhidhā	v	0,02196	kṣi	v	0,01613	nāgavallī	f	0,01255	veṇu	m	0,00672																																																							roman	n	0,00986										cālay	v	0,01793																					
kara	adj	0,13311	vālukā	f	0,02151	yoni	mf	0,01524	dantī	f	0,01255	madhu	m	0,00627																																																							pathin	m	0,00986										nāśay	v	0,01793																					
deva	m	0,13221	ciñcā	f	0,02106	smṛti	f	0,01524	śālmalī	f	0,01255	aśru	mn	0,00627																																																							rasakarman	n	0,00941										puṭay	v	0,01793																					
ghṛta	n	0,13131	vijayā	f	0,02062	kṛṣi	f	0,01479	lī	v	0,01255	āśu	adj	0,00627																																																							durnāman	fn	0,00896										kīrtay	v	0,01748																					
vaṅga	mn	0,12638	utthā	v	0,02017	kali	m	0,01434	dhī	f	0,01210	meru	m	0,00627																																																							bandhin	adj	0,00896										tāpay	v	0,01748																					
vastra	mn	0,12593	unmā	v	0,02017	kṛmi	m	0,01389	jyotiṣmatī	f	0,01210	trimadhu	n	0,00627																																																							grāhin	adj	0,00896										prakṣālay	v	0,01748																					
rūpa	n	0,12459	ajā	f	0,01972	śruti	f	0,01389	brāhmī	f	0,01210	tantu	m	0,00627																																																							pañcadaśan	adj	0,00852										arcay	v	0,01703																					
puṣpa	n	0,12056	rambhā	f	0,01972	āśri	v	0,01389	poṭalī	mf	0,01210	taru	m	0,00627																																																							yakṣman	m	0,00807										ḍhālay	v	0,01703																					
rakta	adj	0,11876	gaṅgā	f	0,01972	bhitti	f	0,01344	ketakī	f	0,01165																																																										svāmin	m	0,00807										grāhay	v	0,01658																					
bala	mn	0,11832	vāsā	f	0,01972	dyuti	f	0,01344	ekādaśī	f	0,01165																																																										jīvin	adj	0,00762										dvaṁdvay	v	0,01658																					
mantra	mn	0,11787	pramā	v	0,01882	viśuddhi	f	0,01344	kastūrī	f	0,01120																																																										veśman	n	0,00762										cāray	v	0,01479																					
arka	m	0,11518	varānanā	f	0,01837	ṛṣi	m	0,01255	bhṛṅgī	f	0,01120																																																										adhvan	m	0,00717										avaśeṣay	v	0,01479																					
ghna	adj	0,11473	lākṣā	f	0,01837	avadhi	m	0,01255	vajravallī	f	0,01120																																																										dhāman	n	0,00717										kalay	v	0,01479																					
saṁśaya	m	0,11383	vicāraṇā	f	0,01793	utpatti	f	0,01255	aśmarī	mf	0,01076																																																										upayogin	adj	0,00717										kvāthay	v	0,01479																					
nara	m	0,11294	ghaṭikā	f	0,01793	prīti	f	0,01255	tulasī	f	0,01076																																																										rogin	adj	0,00717										vilepay	v	0,01479																					
vīrya	n	0,11294	sthālikā	f	0,01793	i	v	0,01255	gṛhiṇī	f	0,01076																																																										ekādaśan	adj	0,00672										vāpay	v	0,01479																					
kṛṣṇa	adj	0,11159	vikhyā	v	0,01748	oṣadhi	mf	0,01210	parameśānī	f	0,01076																																																										dhārin	adj	0,00672										niveday	v	0,01434																					
abhraka	mn	0,11070	kaṇā	f	0,01703	ṣaṣṭi	f	0,01210	kunaṭī	f	0,01031																																																										vedin	adj	0,00672										niṣecay	v	0,01434																					
yantra	mn	0,11025	bhāryā	f	0,01658	vitasti	f	0,01210	nāḍī	f	0,01031																																																										carman	n	0,00627										recay	v	0,01389																					
karṣa	mn	0,10756	vandhyā	f	0,01658	granthi	m	0,01210	harītakī	f	0,01031																																																										vādin	m	0,00627										dhmāpay	v	0,01389																					
mākṣika	mfn	0,10711	haridrā	f	0,01658	yuvati	f	0,01165	guḍūcī	f	0,01031																																																																						ramay	v	0,01389																					
kṣaṇa	m	0,10711	dhā	v	0,01658	tithi	mf	0,01165	kaṭutumbī	mf	0,00986																																																																						lakṣay	v	0,01389																					
śubha	adj	0,10532	icchā	f	0,01613	sthiti	f	0,01165	patnī	f	0,00986																																																																						nidhāpay	v	0,01344																					
stha	adj	0,10487	rājikā	f	0,01613	kaṭi	f	0,01120	dvādaśī	f	0,00986																																																																						cintay	v	0,01300																					
saṁyuta	adj	0,10442	bālā	f	0,01613	vali	mf	0,01120	upanī	v	0,00986																																																																						vartay	v	0,01300																					
sva	adj	0,10442	rādhā	f	0,01569	puṣṭi	f	0,01076	kaṅguṇī	f	0,00986																																																																						racay	v	0,01300																					
krama	m	0,10442	snā	v	0,01569	añjali	m	0,01031	indravāruṇī	f	0,00896																																																																						prajvālay	v	0,01300																					
hasta	mn	0,10397	vacā	f	0,01569	ruci	f	0,01031	meṣī	f	0,00896																																																																						samāvartay	v	0,01300																					
aha	mn	0,10397	pathyā	f	0,01524	mauli	mf	0,01031	badarī	f	0,00896																																																																						bharjay	v	0,01300																					
ardha	mn	0,10353	vimalā	f	0,01524	pāṇi	m	0,01031	kākinī	f	0,00852																																																																						kalpay	v	0,01255																					
khoṭa	mn	0,10263	caṇḍikā	f	0,01524	aruci	f	0,00986	parpaṭī	f	0,00852																																																																						āloḍay	v	0,01255																					
ājya	n	0,10084	nāsā	f	0,01479	vānti	f	0,00986	sahadevī	f	0,00852																																																																						prayojay	v	0,01255																					
toya	n	0,09949	nirmā	v	0,01479	praśānti	f	0,00986	pṛthvī	f	0,00852																																																																						vibhāvay	v	0,01255																					
kāñcana	n	0,09860	saṁsthā	v	0,01479	nivṛtti	f	0,00941	oṣadhī	f	0,00852																																																																						lolay	v	0,01210																					
śveta	adj	0,09815	dolā	f	0,01434	nidhi	m	0,00941	kāṅkṣī	f	0,00807																																																																						saṁsthāpay	v	0,01210																					
uttama	adj	0,09591	bhūlatā	f	0,01389	chavi	f	0,00941	kāravallī	f	0,00807																																																																						saṁcūrṇay	v	0,01210																					
varṣa	mn	0,09367	īśvarā	f	0,01389	udi	v	0,00941	cāṅgerī	f	0,00807																																																																						arpay	v	0,01165																					
dṛḍha	adj	0,09322	vaṭikā	f	0,01389	sūci	f	0,00896	rudantī	f	0,00807																																																																						śobhay	v	0,01165																					
śiva	m	0,09322	śikhā	f	0,01389	khani	f	0,00896	vartī	f	0,00807																																																																						vipācay	v	0,01165																					
snigdha	adj	0,09187	mūṣikā	f	0,01389	śāli	m	0,00896	dūtī	f	0,00807																																																																						dhāmay	v	0,01165																					
jāraṇa	mfn	0,09098	pidhā	v	0,01389	mūrti	f	0,00896	jātī	f	0,00807																																																																						utthāpay	v	0,01120																					
pitta	n	0,09098	māyā	f	0,01344	chardi	f	0,00852	gaurī	f	0,00807																																																																						prasāray	v	0,01120																					
