"от 1200 до 1700"	a	1946=56.03%	"от 1200 до 1700"	ā	267=7.69%	"от 1200 до 1700"	i	209=6.02%	"от 1200 до 1700"	ī	106=3.05%	"от 1200 до 1700"	u	96=2.76%	"от 1200 до 1700"	ū	17=0.49%	"от 1200 до 1700"	o	1=0.03%	"от 1200 до 1700"	e	6=0.17%	"от 1200 до 1700"	ṛ	65=1.87%	"от 1200 до 1700"	kh	1=0.03%	"от 1200 до 1700"	gh	1=0.03%	"от 1200 до 1700"	k	3=0.09%	"от 1200 до 1700"	g	1=0.03%	"от 1200 до 1700"	ṭh	1=0.03%	"от 1200 до 1700"	ṭ	4=0.12%	"от 1200 до 1700"	ḍ	1=0.03%	"от 1200 до 1700"	ṇ	1=0.03%	"от 1200 до 1700"	ch	3=0.09%	"от 1200 до 1700"	j	43=1.24%	"от 1200 до 1700"	c	25=0.72%	"от 1200 до 1700"	th	3=0.09%	"от 1200 до 1700"	dh	24=0.69%	"от 1200 до 1700"	t	54=1.55%	"от 1200 до 1700"	d	51=1.47%	"от 1200 до 1700"	n	140=4.03%	"от 1200 до 1700"	bh	9=0.26%	"от 1200 до 1700"	p	29=0.84%	"от 1200 до 1700"	b	1=0.03%	"от 1200 до 1700"	m	39=1.12%	"от 1200 до 1700"	y	150=4.32%	"от 1200 до 1700"	r	9=0.26%	"от 1200 до 1700"	l	8=0.23%	"от 1200 до 1700"	v	6=0.17%	"от 1200 до 1700"	ṣ	36=1.04%	"от 1200 до 1700"	ś	26=0.75%	"от 1200 до 1700"	s	68=1.96%	"от 1200 до 1700"	h	21=0.60%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
deha	mn	0,14477	ādā	v	0,05814	rātri	f	0,04826	prī	v	0,01831	kaṭu	adj	0,03081										namaskṛ	v	0,01657																												upayuj	v	0,01163	prativac	v	0,00581				nirudh	v	0,00872	dhīmat	adj	0,01715	viṣad	v	0,01570	kārin	adj	0,03953				samāp	v	0,00959				samāgam	v	0,01279	pūray	v	0,02703										kṛṣ	v	0,00901	īdṛś	adj	0,00872	praśaṁs	v	0,02616	saṁnah	v	0,00581
suta	m	0,14273	kanyā	f	0,05610	koṭi	f	0,04564	prabhāvatī	f	0,01657	vibhu	adj	0,03023										dhātṛ	m	0,01628																												sañj	v	0,01134	saṁkuñc	v	0,00581				nibandh	v	0,00669	etāvat	adj	0,01424	mad	v	0,01483	vyoman	mn	0,03837				ākṣip	v	0,00901				saṁgam	v	0,01250	arcay	v	0,02703										abhīṣ	v	0,00872	tādṛś	adj	0,00814	dhanus	n	0,02587	pratigrah	v	0,00523
bhāva	m	0,13837	pūjā	f	0,04884	mukti	f	0,04448	atī	v	0,01599	prabhu	m	0,02965										sampṛ	v	0,01628																												rāj	v	0,01076	niṣic	v	0,00552				sambandh	v	0,00669	iyat	adj	0,01308	rud	v	0,01395	arthin	adj	0,03721				prakṣip	v	0,00785				atikram	v	0,01105	nirūpay	v	0,02616										vṛṣ	v	0,00843	daṁś	v	0,00756	śaṁs	v	0,02558			
doṣa	mn	0,13837	dīkṣā	f	0,04855	prīti	f	0,04244	lī	v	0,01599	mṛdu	adj	0,02907										vṛ	v	0,01570																												niyuj	v	0,01046	udañc	adj	0,00552				vivṛdh	v	0,00610	kiyat	adj	0,01250	āpad	v	0,01366	nihan	v	0,03576				vinikṣip	v	0,00756				kram	v	0,00959	arpay	v	0,02587										ācakṣ	v	0,00843	vimṛś	v	0,00756	payas	n	0,02326			
aṁśa	m	0,13575	devatā	f	0,04767	bhūpati	m	0,04157	nāḍī	f	0,01541	sādhu	adj	0,02820										dātṛ	adj	0,01570																												majj	v	0,01017	ruc	v	0,00523				pravṛdh	v	0,00523	marut	m	0,01134	vand	v	0,01279	dhāman	n	0,03459				lup	v	0,00698				praśam	v	0,00959	ākarṇay	v	0,02558										upekṣ	v	0,00843	samāviś	v	0,00727	rakṣas	n	0,02326			
kṣaṇa	m	0,13517	avasthā	f	0,04389	vyādhi	m	0,04041	nagarī	f	0,01512	laghu	adj	0,02762										prakṛ	v	0,01483																												virañj	v	0,00988	arc	v	0,00494							śaktimat	adj	0,01134	nigad	v	0,01250	dvādaśan	adj	0,03372				kﾱp	v	0,00640				viram	v	0,00901	ālokay	v	0,02442										nirīkṣ	v	0,00756	saṁspṛś	v	0,00640	has	v	0,01977			
śata	mn	0,13227	pā	v	0,04389	ṛṣi	m	0,03924	aṭavī	f	0,01337	taru	m	0,02674										vitṛ	v	0,01279																												vibhaj	v	0,00959										kṛt	v	0,01105	abhinand	v	0,01105	śālin	adj	0,03343				vilup	v	0,00640				śram	v	0,00872	lakṣay	v	0,02413										juṣ	adj	0,00669	aś	v	0,00581	ambhas	n	0,01831			
bheda	m	0,13023	utthā	v	0,04360	sṛṣṭi	f	0,03924	padmāvatī	f	0,01337	stu	v	0,02587										saṁskṛ	v	0,01250																												lajj	v	0,00930										jāgrant	mn	0,01105	vipad	f	0,01017	rūpin	adj	0,03169				jalp	v	0,00581				kṣam	v	0,00843	āsāday	v	0,02413										pracakṣ	v	0,00640				saras	n	0,01744			
pada	mn	0,12994	vijñā	v	0,04360	maṇi	m	0,03837	vāhinī	f	0,01337	bindu	mn	0,02529										vismṛ	v	0,01221																												āsañj	v	0,00901										vidyut	fn	0,01076	pratipad	f	0,00959	śleṣman	m	0,02907				utkṣip	v	0,00581				adhigam	v	0,00785	rañjay	v	0,02355										pratīkṣ	v	0,00640				vinyas	v	0,01715			
mukha	n	0,12965	sutā	f	0,04273	vṛddhi	f	0,03605	jananī	f	0,01308	bāhu	mf	0,02326										bhoktṛ	m	0,01192																												prasañj	v	0,00901										nṛt	v	0,01076	khid	v	0,00930	vādin	adj	0,02820				vilap	v	0,00581				udgam	v	0,00785	vedhay	v	0,02238										avaśiṣ	v	0,00610				rahas	n	0,01686			
