"от 700 до 1200"	au	1=0.04%	"от 700 до 1200"	a	1690=68.76%	"от 700 до 1200"	ā	156=6.35%	"от 700 до 1200"	i	178=7.24%	"от 700 до 1200"	ī	68=2.77%	"от 700 до 1200"	u	84=3.42%	"от 700 до 1200"	ū	3=0.12%	"от 700 до 1200"	o	1=0.04%	"от 700 до 1200"	ṛ	20=0.81%	"от 700 до 1200"	j	10=0.41%	"от 700 до 1200"	c	8=0.33%	"от 700 до 1200"	dh	2=0.08%	"от 700 до 1200"	t	36=1.46%	"от 700 до 1200"	d	10=0.41%	"от 700 до 1200"	n	115=4.68%	"от 700 до 1200"	p	1=0.04%	"от 700 до 1200"	r	5=0.20%	"от 700 до 1200"	v	1=0.04%	"от 700 до 1200"	ṣ	6=0.24%	"от 700 до 1200"	ś	4=0.16%	"от 700 до 1200"	s	56=2.28%	"от 700 до 1200"	h	1=0.04%
			rūpa	n	0,24342	bhāryā	f	0,05904	śakti	f	0,09732	mahī	f	0,02902	paśu	m	0,05404							dātṛ	adj	0,01451	svarāj	m	0,00525							śrīmat	adj	0,03127	saṁvid	f	0,00550	saptan	adj	0,08606																rajas	n	0,04453			
			tva	n	0,24117	ākhyā	f	0,05429	vidhi	m	0,09281	gāyatrī	f	0,02652	tanu	f	0,04878							sraṣṭṛ	m	0,01026										kṛt	adj	0,02302				daśan	adj	0,08156																apsaras	f	0,04128			
			pāpa	n	0,23016	umā	f	0,04728	dvi	nr	0,09181	sarasvatī	f	0,02602	bāhu	mf	0,04678							vidhātṛ	m	0,00901										mahant	m	0,02252				mahātman	adj	0,07705																ambhas	n	0,04028			
			śiva	m	0,22941	kalā	f	0,04428	siddhi	f	0,08806	purī	f	0,02577	sādhu	adj	0,04178							savitṛ	m	0,00801										himavant	m	0,02126				aṣṭan	adj	0,05629																vidvas	adj	0,03928			
			guṇa	mn	0,22140	kathā	f	0,04328	bhūmi	f	0,07030	ṣaṭsāhasrī	f	0,02377	bhṛgu	m	0,04053							kṣattṛ	m	0,00801										yāvat	adj	0,01651				dvādaśan	adj	0,04778																vāsas	n	0,03753			
			yoga	m	0,22040	revā	f	0,04328	buddhi	f	0,06955	sakhī	f	0,02352	manu	m	0,03828							svasṛ	f	0,00776										tāvat	adj	0,01651				parameṣṭhin	m	0,04403																cakṣus	n	0,03552			
			īśvara	m	0,21890	prabhā	f	0,03953	mūrti	f	0,06780	caturdaśī	f	0,02302	prabhu	adj	0,03728							goptṛ	adj	0,00625										bṛhat	adj	0,01626				vādin	adj	0,03953																yaśas	n	0,03402			
			phala	n	0,21690	ājñā	f	0,03803	koṭi	f	0,06730	astrī	f	0,02252	bandhu	m	0,03152							tvaṣṭṛ	m	0,00575										yoṣit	f	0,01526				rūpin	adj	0,03953																vapus	n	0,03302			
			indra	m	0,20314	gaṅgā	f	0,03653	prakṛti	f	0,06254	satī	f	0,02126	madhu	n	0,03002							hartṛ	m	0,00550										marut	m	0,01476				bhasman	n	0,03703																jyotis	n	0,03252			
			parama	adj	0,20039	līlā	f	0,03628	śuci	adj	0,05854	vārāṇasī	f	0,01926	śatru	m	0,02777							draṣṭṛ	m	0,00525										balavat	adj	0,01451				mūrdhan	m	0,03603																āyus	n	0,03227			
			vipra	m	0,19939	śraddhā	f	0,03427	ekāśīti	f	0,05829	mahādevī	f	0,01576	jantu	m	0,02602							hantṛ	adj	0,00500										vidyut	fn	0,01376				nandin	m	0,03102																payas	n	0,02827			
			uttama	adj	0,19739	pūjā	f	0,03277	vṛtti	f	0,05354	aṣṭamī	f	0,01501	indu	m	0,02502																			etāvat	adj	0,01351				sākṣin	m	0,03002																ojas	n	0,02627			
			bhūta	mn	0,19138	saṁjñā	f	0,03202	prajāpati	m	0,04703	bhavānī	f	0,01426	meru	m	0,02352																			cit	f	0,01151				paramātman	m	0,02827																nabhas	n	0,02202			
			brāhmaṇa	m	0,18663	mālā	f	0,03202	mati	f	0,04578	devakī	f	0,01351	vastu	n	0,02352																			bhṛt	adj	0,01001				navan	adj	0,02577																saras	n	0,02202			
			dvija	m	0,18463	saṁdhyā	f	0,03152	giri	m	0,04453	sāvitrī	f	0,01351	kratu	m	0,02051																			ātmavat	adj	0,00876				pathin	m	0,02477																aṅgiras	m	0,02051			
			puruṣa	m	0,17012	icchā	f	0,03027	pāṇi	m	0,04353	pārvatī	f	0,01301	cāru	adj	0,01951																			triṁśat	f	0,00876				dhāman	n	0,02452																rakṣas	n	0,01951			
			jñāna	n	0,16687	latā	f	0,02827	vahni	m	0,04253	dharaṇī	f	0,01276	ṛtu	m	0,01926																			vīryavat	adj	0,00876				heman	n	0,02402																yajus	n	0,01751			
			liṅga	mn	0,16261	gadā	f	0,02752	yoni	mf	0,04028	dāsī	f	0,01226	aśru	mn	0,01901																			vivasvant	m	0,00851				kārin	adj	0,02377																dhanus	n	0,01726			
			nṛpa	m	0,15861	saṁkhyā	f	0,02652	kali	m	0,04003	gaurī	f	0,01051	ambu	n	0,01876																			guṇavat	adj	0,00826				dehin	m	0,02327																śreyas	n	0,01576			
			kāma	m	0,15686	aṅganā	f	0,02427	dṛṣṭi	f	0,03603	rājñī	f	0,01026	ūru	mf	0,01801																			pratāpavat	adj	0,00826				han	adj	0,02277																vayas	n	0,01501			
			śubha	adj	0,15061	dakṣiṇā	f	0,02177	sthiti	f	0,03577	mahiṣī	f	0,00976	ripu	m	0,01801																			rūpavat	adj	0,00700				svāmin	m	0,02202																mās	m	0,01501			
			sahasra	mn	0,14910	avasthā	f	0,01976	rātri	f	0,03527	trayī	f	0,00951	bhānu	m	0,01776																			buddhimat	adj	0,00625				vyoman	mn	0,02177																uras	n	0,01401			
			nara	m	0,14760	jihvā	f	0,01951	śruti	f	0,03452	putrī	f	0,00951	sūnu	m	0,01776																			taḍit	f	0,00625				arthin	adj	0,02152																chandas	n	0,01401			
			veda	m	0,14685	nidrā	f	0,01901	prīti	f	0,03302	paurṇamāsī	f	0,00951	yadu	m	0,01751																			viyant	n	0,00600				sāman	n	0,02126																havis	n	0,01326			
			mahādeva	m	0,14435	chāyā	f	0,01901	saṁnidhi	m	0,03252	vāṇī	f	0,00901	uru	adj	0,01676																			pañcāśat	f	0,00600				viśvātman	m	0,01901																bhūyas	adj	0,01251			
			puṇya	adj	0,14185	śayyā	f	0,01876	smṛti	f	0,03202	jananī	f	0,00901	guru	adj	0,01676																			śaktimat	adj	0,00525				vāsin	adj	0,01851																rahas	n	0,01251			
			gaṇa	m	0,13660	guhā	f	0,01826	maṇi	m	0,02952	padavī	f	0,00876	vasu	mn	0,01651																			matimat	adj	0,00500				roman	n	0,01726																vakṣas	n	0,01126			
			anta	m	0,13635	brahmahatyā	f	0,01801	rati	f	0,02902	arundhatī	f	0,00751	pāṇḍu	m	0,01651																									pinākin	m	0,01726																candramas	m	0,01051			
			śata	mn	0,13409	vicāraṇā	f	0,01751	jāti	f	0,02827	urvaśī	f	0,00751	jagadguru	m	0,01626																									brahmacārin	m	0,01726																sahas	n	0,01001			
			dāna	n	0,13309	śikhā	f	0,01751	mukti	f	0,02802	dhātrī	f	0,00751	kuru	m	0,01601																									pakṣin	m	0,01701																āśis	f	0,00901			
			divya	adj	0,13209	ambā	f	0,01726	vāri	n	0,02802	medinī	f	0,00751	svayambhu	m	0,01601																									śūlin	m	0,01676																divaukas	m	0,00901			
			suta	m	0,13159	dharā	f	0,01651	nābhi	f	0,02702	parameśvarī	f	0,00726	taru	m	0,01576																									preman	mn	0,01626																garīyas	adj	0,00801			
			maheśvara	m	0,13134	rakṣā	f	0,01626	ravi	m	0,02702	sundarī	f	0,00726	iṣu	mf	0,01551																									parvan	n	0,01576																vedhas	m	0,00776			
			sura	m	0,13034	śilā	f	0,01601	utpatti	f	0,02677	bhaginī	f	0,00700	dhātu	mn	0,01526																									ṣoḍaśan	adj	0,01576																retas	n	0,00751			
			ādya	adj	0,12609	jaṭā	f	0,01576	śuddhi	f	0,02677	haimavatī	f	0,00700	manyu	mf	0,01426																									carman	n	0,01551																sarpis	n	0,00726			
			maya	adj	0,12334	niṣṭhā	f	0,01551	vyādhi	m	0,02452	dvādaśī	f	0,00675	aṁśu	m	0,01326																									śaśin	m	0,01526																jātavedas	m	0,00700			
			pāda	m	0,12083	yātrā	f	0,01551	yati	m	0,02427	kāverī	f	0,00650	pṛthu	m	0,01276																									dhārin	adj	0,01501																ūrdhvaretas	adj	0,00675			
			adhyāya	m	0,12058	dayā	f	0,01551	kīrti	f	0,02402	kumārī	f	0,00650	āśu	adj	0,01251																									gāmin	adj	0,01501																arcis	n	0,00650			
			śaṁkara	m	0,11858	tretā	f	0,01526	dvijāti	m	0,02352	vasumatī	f	0,00650	bindu	mn	0,01176																									vartman	n	0,01451																srotas	n	0,00650			
			bhāva	m	0,11783	cintā	f	0,01501	añjali	m	0,02327	satyavatī	f	0,00625	sādhu	m	0,01051																									śvan	m	0,01451																varcas	n	0,00575			
			pada	mn	0,11708	hiṁsā	f	0,01501	bali	m	0,02227	nāḍī	f	0,00625	mṛdu	adj	0,01051																									tapasvin	m	0,01351																pracetas	m	0,00575			
			bala	mn	0,11483	vārttā	f	0,01476	dyuti	f	0,02202	ekādaśī	f	0,00625	madhu	m	0,01026																									mantrin	m	0,01301																kṛttivāsas	m	0,00550			
			jana	m	0,11358	jvālā	f	0,01476	sṛṣṭi	f	0,02126	rajanī	f	0,00625	aṇu	adj	0,01026																									mahiman	m	0,01301																mahas	n	0,00550			
			varṣa	mn	0,11258	sutā	f	0,01401	asthi	n	0,02076	pṛthvī	f	0,00625	asu	m	0,00976																									hastin	m	0,01251																sadas	n	0,00525			
			gṛha	mn	0,11183	śākhā	f	0,01401	śānti	f	0,02076	śarvarī	f	0,00600	paramāṇu	m	0,00951																									prāṇin	m	0,01226																bhās	fn	0,00525			
			mukha	n	0,11133	kṛpā	f	0,01376	aṅghri	m	0,02051	maheśvarī	f	0,00575	aṇu	m	0,00951																									balin	adj	0,01176																mahīyas	adj	0,00525			
			īśa	m	0,11108	krīḍā	f	0,01376	samādhi	m	0,02051	jāhnavī	f	0,00575	dhenu	f	0,00926																									caturdaśan	adj	0,01151																raṁhas	n	0,00500			
			yajña	m	0,11083	kapilā	f	0,01351	ari	m	0,02026	amāvāsī	f	0,00575	dāru	mn	0,00901																									vartin	adj	0,01126																					
			jala	n	0,10808	ambikā	f	0,01351	raśmi	mf	0,02001	aṭavī	f	0,00525	jānu	mn	0,00876																									sukhin	adj	0,01126																					
			vara	mn	0,10657	avidyā	f	0,01326	ākṛti	f	0,01976	bhānumatī	f	0,00525	pṛthu	adj	0,00876																									sākṣin	adj	0,01101																					
			sthāna	n	0,10632	kanyakā	f	0,01251	atri	m	0,01901	jagatī	f	0,00525	śiśu	m	0,00826																									adhvan	m	0,01076																					
			kārya	n	0,10532	yadṛcchā	f	0,01251	vṛddhi	f	0,01901	vāpī	f	0,00525	mumukṣu	adj	0,00801																									manīṣin	adj	0,01051																					
			duḥkha	n	0,10507	sevā	f	0,01251	anādi	adj	0,01826	rohiṇī	f	0,00525	setu	m	0,00776																									hārin	adj	0,00976																					
			stha	adj	0,10507	bhikṣā	f	0,01201	ārti	f	0,01826	vaitaraṇī	f	0,00525	bhikṣu	m	0,00751																									ekādaśan	adj	0,00951																					
			aṅga	n	0,10357	jarā	f	0,01201	dadhi	n	0,01801	kārttikī	f	0,00500	laghu	adj	0,00726																									āśin	adj	0,00951																					
			mantra	mn	0,10257	kṣamā	f	0,01201	kṣiti	f	0,01776	urvī	f	0,00500	hiraṇyakaśipu	m	0,00726																									kapardin	m	0,00926																					
			kāraṇa	n	0,10207	dhāraṇā	f	0,01176	atithi	m	0,01651	hrī	f	0,00500	caru	m	0,00700																									nivāsin	adj	0,00901																					
			bhava	m	0,10207	pativratā	f	0,01151	umāpati	m	0,01626	rukmiṇī	f	0,00500	reṇu	mn	0,00700																									cārin	adj	0,00901																					
			tattva	n	0,10032	pratiṣṭhā	f	0,01151	mahāmati	adj	0,01626	dharitrī	f	0,00500	jiṣṇu	m	0,00700																									vyāpin	adj	0,00876																					
			uttara	adj	0,09982	mātrā	f	0,01126	kavi	m	0,01601				veṇu	m	0,00675																									antarātman	m	0,00851																					
			mārkaṇḍeya	m	0,09907	sabhā	f	0,01101	nidhi	m	0,01576				tantu	m	0,00650																									ekākin	adj	0,00851																					
			indriya	n	0,09832	lajjā	f	0,01101	adri	m	0,01501				ketu	m	0,00625																									bhāvin	adj	0,00851																					
			saṁśaya	m	0,09782	hatyā	f	0,01101	vibhūti	f	0,01501				sthāṇu	m	0,00625																									mānin	adj	0,00851																					
			devadeva	m	0,09682	karṇikā	f	0,01026	adhipati	m	0,01501				dāru	n	0,00625																									mālin	adj	0,00851																					
			deha	mn	0,09607	kāmyā	f	0,01026	vṛṣṭi	f	0,01476				vasu	n	0,00600																									rogin	adj	0,00851																					
			mātra	n	0,09557	niśā	f	0,01026	pravṛtti	f	0,01476				upamanyu	m	0,00575																									yuvan	m	0,00776																					
			vara	adj	0,09281	nāsā	f	0,01026	paṅkti	f	0,01451				tanu	adj	0,00575																									śālin	adj	0,00751																					
			varṇa	mn	0,09281	vyathā	f	0,01026	oṣadhi	mf	0,01451				kamaṇḍalu	mn	0,00550																									pūṣan	m	0,00751																					
			priya	adj	0,09281	kāṣṭhā	f	0,01001	ṣaṣṭi	f	0,01451				rajju	mf	0,00550																									apahārin	adj	0,00751																					
			mahāpurāṇa	n	0,09181	tārā	f	0,01001	bṛhaspati	m	0,01451				sānu	mn	0,00550																									durātman	adj	0,00726																					
			bhaya	n	0,09131	samā	f	0,00976	asi	m	0,01401				śatakratu	m	0,00550																									sarvātman	m	0,00726																					
			vana	n	0,09131	vasuṁdharā	f	0,00976	dhṛti	f	0,01376				devadāru	mn	0,00525																									ghātin	adj	0,00726																					
			vrata	n	0,09056	tṛṣṇā	f	0,00976	nṛpati	m	0,01351				sindhu	mf	0,00525																									abhimānin	adj	0,00700																					
			ja	adj	0,09006	śivā	f	0,00976	marīci	m	0,01351				svarbhānu	m	0,00525																									śāyin	adj	0,00700																					
			da	adj	0,09006	prajñā	f	0,00976	akṣi	n	0,01351				ikṣvāku	m	0,00500																									viśvakarman	m	0,00700																					
			nārāyaṇa	m	0,08906	mekhalā	f	0,00951	ahi	m	0,01326																															darśin	adj	0,00700																					
			madhya	n	0,08831	svadhā	f	0,00901	rāśi	mf	0,01326																															arthin	m	0,00675																					
			sūta	m	0,08806	tulā	f	0,00876	kṛtāñjali	adj	0,01251																															māyin	adj	0,00675																					
			snāna	n	0,08756	śobhā	f	0,00876	tuṣṭi	f	0,01251																															śarīrin	m	0,00675																					
			yuga	mn	0,08406	vīṇā	f	0,00876	śailādi	m	0,01226																															samavāyin	adj	0,00650																					
			hasta	mn	0,08381	priyā	f	0,00876	dhvani	m	0,01201																															aśman	mn	0,00650																					
			sūrya	m	0,08256	yamunā	f	0,00851	saṁtati	f	0,01176																															aśvin	m	0,00650																					
			sukha	n	0,08231	sītā	f	0,00851	aṅguli	mf	0,01126																															veśman	n	0,00650																					
			vacana	n	0,08181	śuśrūṣā	f	0,00801	bhūri	adj	0,01126																															karin	m	0,00625																					
			pañcama	adj	0,08106	pīḍā	f	0,00801	nivṛtti	f	0,01126																															aṇiman	mf	0,00625																					
			prāṇa	m	0,08081	bālā	f	0,00801	stuti	f	0,01126																															marman	n	0,00625																					
			deśa	m	0,08031	pratimā	f	0,00801	udadhi	m	0,01101																															dharmin	adj	0,00625																					
			puṣpa	n	0,08031	dhārā	f	0,00776	mahīpati	m	0,01076																															nāśin	adj	0,00600																					
			kula	n	0,07956	āśā	f	0,00776	bodhi	mf	0,01076																															daṇḍin	m	0,00600																					
			prasāda	m	0,07931	īśvarā	f	0,00776	prāñjali	adj	0,01076																															virodhin	adj	0,00600																					
			dravya	n	0,07830	gayā	f	0,00776	aśuci	adj	0,01051																															vedin	adj	0,00600																					
			bhāga	m	0,07705	śikṣā	f	0,00776	sakhi	m	0,01051																															dāyin	adj	0,00600																					
			kṛṣṇa	m	0,07605	vedanā	f	0,00776	bhūti	f	0,01026																															trayodaśan	adj	0,00600																					
			śabda	m	0,07530	caryā	f	0,00776	āvali	f	0,01026																															upavītin	adj	0,00575																					
			parameśvara	m	0,07405	anasūyā	f	0,00751	paśupati	m	0,01026																															vādin	m	0,00575																					
			dhana	n	0,07380	nindā	f	0,00751	sūri	m	0,01001																															triśūlin	m	0,00575																					
			dakṣiṇa	adj	0,07330	ahiṁsā	f	0,00751	śakti	m	0,01001																															jñānin	adj	0,00575																					
			śreṣṭha	adj	0,07255	surā	f	0,00751	rājarṣi	m	0,00976																															vikrayin	adj	0,00575																					
			mūla	mn	0,07205	grīvā	f	0,00751	puṣṭi	f	0,00976																															mahātman	m	0,00550																					
			anna	n	0,07155	bhāvanā	f	0,00726	tṛpti	f	0,00951																															bhāgin	adj	0,00550																					
			darśana	n	0,07130	āśā	f	0,00726	prasūti	f	0,00951																															aṣṭādaśan	adj	0,00550																					
			citta	n	0,07080	kṣudhā	f	0,00726	ityādi	adj	0,00926																															vājin	m	0,00525																					
			asura	m	0,07055	velā	f	0,00726	khyāti	f	0,00926																															śarīrin	adj	0,00525																					
			gandha	mn	0,07030	ceṣṭā	f	0,00700	evamādi	adj	0,00901																															bhūman	m	0,00500																					
			sattama	adj	0,06955	senā	f	0,00700	saṁdhi	mf	0,00876																															aryaman	m	0,00500																					
			pitāmaha	m	0,06880	arcā	f	0,00675	ūrmi	mf	0,00876																															śikhaṇḍin	m	0,00500																					
			āśrama	mn	0,06805	vanitā	f	0,00675	bhukti	f	0,00876																																																						
			kalpa	mn	0,06730	varānanā	f	0,00675	avani	f	0,00851																																																						
			siddha	m	0,06730	vasudhā	f	0,00675	jñāti	m	0,00851																																																						
			khaṇḍa	mn	0,06730	durgā	f	0,00675	kānti	f	0,00826																																																						
			kṣaṇa	m	0,06730	spṛhā	f	0,00675	nirvṛti	f	0,00826																																																						
			sāhasra	adj	0,06705	svāhā	f	0,00675	arāti	m	0,00826																																																						
			daṇḍa	mn	0,06680	mātā	f	0,00650	vyakti	f	0,00826																																																						
			svarga	m	0,06680	śaṅkā	f	0,00650	vṛṣṇi	m	0,00826																																																						
			dvijottama	m	0,06555	vrīḍā	f	0,00650	brahmarṣi	m	0,00826																																																						
			soma	m	0,06480	cetanā	f	0,00625	kālāgni	m	0,00801																																																						
			maṇḍala	mfn	0,06404	ātmajā	f	0,00625	jagatpati	m	0,00801																																																						
			doṣa	mn	0,06379	rajasvalā	f	0,00625	dundubhi	mf	0,00801																																																						
			ghora	adj	0,06379	ghaṇṭā	f	0,00625	svasti	fn	0,00801																																																						
			mahābhāga	adj	0,06329	muktā	f	0,00625	kṛmi	m	0,00776																																																						
			pura	n	0,06254	kalpanā	f	0,00600	bhūpati	m	0,00776																																																						
			sattva	n	0,06204	apekṣā	f	0,00600	yaṣṭi	fn	0,00776																																																						
			agra	n	0,06179	nāsikā	f	0,00600	viṁśati	f	0,00751																																																						
			vākya	n	0,06179	avajñā	f	0,00600	ruci	f	0,00751																																																						
			īśāna	m	0,06079	tanayā	f	0,00600	muṣṭi	mf	0,00726																																																						
			māsa	mn	0,06079	tvarā	f	0,00600	saṁhati	f	0,00700																																																						
			padma	mn	0,06029	sudhā	f	0,00600	viśuddhi	f	0,00700																																																						
			parvata	mn	0,05954	gaṇikā	f	0,00600	prāpti	f	0,00700																																																						
			anuttama	adj	0,05904	anujñā	f	0,00575	ṛddhi	f	0,00675																																																						
			śāstra	n	0,05879	yātanā	f	0,00575	upalabdhi	f	0,00675																																																						
			yama	m	0,05854	medhā	f	0,00575	ukti	f	0,00675																																																						
			skānda	n	0,05854	dīkṣā	f	0,00575	vanaspati	mf	0,00675																																																						
			adhika	adj	0,05829	ulkā	mf	0,00550	durmati	adj	0,00675																																																						
			hṛdaya	n	0,05829	kṣmā	f	0,00550	devarṣi	m	0,00675																																																						
			satya	n	0,05804	pramadā	f	0,00550	vedi	f	0,00675																																																						
			śrāddha	n	0,05779	ghṛṇā	f	0,00550	aditi	f	0,00650																																																						
			bhakta	m	0,05779	karuṇā	f	0,00525	aśani	mf	0,00650																																																						
			āvantya	m	0,05779	menā	f	0,00525	śūlapāṇi	m	0,00650																																																						
			revākhaṇḍa	m	0,05729	rekhā	f	0,00525	diti	f	0,00650																																																						
			candra	m	0,05679	tārakā	f	0,00525	saṁsṛti	f	0,00625																																																						
			deveśa	m	0,05629	śatarūpā	f	0,00525	sugandhi	adj	0,00625																																																						
			āsana	n	0,05579	girijā	f	0,00525	padmayoni	m	0,00600																																																						
			lakṣaṇa	n	0,05554	vedikā	f	0,00525	vāsuki	m	0,00600																																																						
			abhāva	m	0,05529	tṛtīyā	f	0,00500	mauli	mf	0,00600																																																						
			dānava	m	0,05504	jāyā	f	0,00500	tithi	mf	0,00600																																																						
			śarīra	n	0,05479	hāhā	f	0,00500	sārathi	m	0,00575																																																						
			anvita	adj	0,05429	mudrā	f	0,00500	vimukti	f	0,00575																																																						
			ratna	mn	0,05429				kṛti	f	0,00550																																																						
			śūdra	m	0,05429				bhrānti	f	0,00550																																																						
			antara	n	0,05379				ādhi	m	0,00550																																																						
			yudhiṣṭhira	m	0,05379				ādhi	m	0,00550																																																						
			sambhava	m	0,05379				yukti	f	0,00550																																																						
			rasa	mn	0,05354				surabhi	f	0,00550																																																						
			kṣetra	mn	0,05354				caturviṁśati	f	0,00550																																																						
			vyāsa	m	0,05329				kukṣi	mf	0,00525																																																						
			vividha	adj	0,05329				bhūtādi	m	0,00525																																																						
			gandharva	m	0,05304				ali	m	0,00525																																																						
			ātmaka	adj	0,05304				aṣṭamūrti	m	0,00525																																																						
			antara	adj	0,05279				diṣṭi	f	0,00525																																																						
			tala	mn	0,05229				dīpti	f	0,00525																																																						
			nārada	m	0,05129				jaladhi	m	0,00525																																																						
			mārga	m	0,05104				surabhi	adj	0,00525																																																						
			pakṣa	m	0,05079				granthi	m	0,00525																																																						
			mokṣa	m	0,05079				śuci	m	0,00525																																																						
			krodha	m	0,05054				śāli	m	0,00525																																																						
			cakra	n	0,05054				niṣkṛti	f	0,00500																																																						
			śobhana	adj	0,05029				śrīpati	m	0,00500																																																						
			prayatna	m	0,05029				āhuti	f	0,00500																																																						
			vastra	mn	0,05003				viriñci	m	0,00500																																																						
			kara	m	0,04978																																																												
			āditya	m	0,04978																																																												
			śaraṇa	n	0,04978																																																												
			vibhāga	m	0,04978																																																												
			aṁśa	m	0,04928																																																												
			daitya	m	0,04928																																																												
			akhila	adj	0,04903																																																												
			amṛta	n	0,04903																																																												
			sarga	m	0,04853																																																												
			nitya	adj	0,04828																																																												
			hara	m	0,04803																																																												
			dhara	adj	0,04728																																																												
			viśeṣa	m	0,04728																																																												
			dhyāna	mn	0,04678																																																												
			suvrata	adj	0,04678																																																												
			ratha	m	0,04628																																																												
			vāsudeva	m	0,04603																																																												
			ardha	mn	0,04603																																																												
			jña	adj	0,04603																																																												
			sakala	adj	0,04578																																																												
			naraka	mn	0,04578																																																												
			bheda	m	0,04553																																																												
			locana	n	0,04553																																																												
			graha	mn	0,04553																																																												
			tāta	m	0,04478																																																												
			udaka	n	0,04428																																																												
			mānasa	n	0,04428																																																												
			hita	n	0,04428																																																												
			śakra	m	0,04428																																																												
