"от -800 до -300"	au	1=0.06%	"от -800 до -300"	ai	1=0.06%	"от -800 до -300"	a	1027=60.13%	"от -800 до -300"	ā	84=4.92%	"от -800 до -300"	i	139=8.14%	"от -800 до -300"	ī	38=2.22%	"от -800 до -300"	u	83=4.86%	"от -800 до -300"	ū	5=0.29%	"от -800 до -300"	o	1=0.06%	"от -800 до -300"	ṛ	18=1.05%	"от -800 до -300"	j	8=0.47%	"от -800 до -300"	c	9=0.53%	"от -800 до -300"	dh	5=0.29%	"от -800 до -300"	t	55=3.22%	"от -800 до -300"	d	9=0.53%	"от -800 до -300"	n	106=6.21%	"от -800 до -300"	bh	1=0.06%	"от -800 до -300"	p	1=0.06%	"от -800 до -300"	m	1=0.06%	"от -800 до -300"	r	7=0.41%	"от -800 до -300"	v	2=0.12%	"от -800 до -300"	ṣ	5=0.29%	"от -800 до -300"	ś	4=0.23%	"от -800 до -300"	s	93=5.44%	"от -800 до -300"	h	3=0.18%
						rāvaṇa	m	0,30138	devatā	f	0,03636	sakhi	m	0,09536	kaikeyī	f	0,05294	sindhu	mf	0,06761							stotṛ	adj	0,02966										gomat	adj	0,03157				saptan	adj	0,07335																						yaśas	n	0,06952			
						vānara	m	0,29213	senā	f	0,03381	bhūmi	f	0,09281	rākṣasī	f	0,04497	viṣṇu	m	0,06538							svasṛ	f	0,02201										kṛt	adj	0,02998				daśan	adj	0,07208																						dhanus	n	0,06952			
						putra	m	0,29022	jihvā	f	0,03349	rayi	mf	0,08834	patnī	f	0,04465	uru	adj	0,06283							tvaṣṭṛ	m	0,02169										indrajit	m	0,02966				vālin	m	0,07176																						śiras	n	0,06474			
						vana	n	0,28480	gadā	f	0,03285	kavi	m	0,07941	mahī	f	0,04210	sādhu	adj	0,05454							dhātṛ	m	0,00957										balavat	adj	0,02934				nāman	n	0,06665																						havis	n	0,06442			
						dharma	mn	0,27555	kanyā	f	0,03221	mati	f	0,07845	rodasī	f	0,02806	guru	m	0,04720							hantṛ	adj	0,00957										vidyut	fn	0,02870				maghavan	m	0,06570																						avas	n	0,06123			
						vīra	m	0,25737	janakātmajā	f	0,03030	saumitri	m	0,07558	nārī	f	0,02711	mṛtyu	m	0,04337							janitṛ	m	0,00893										sat	adj	0,02870				vājin	m	0,05294																						barhis	mn	0,05900			
						vākya	n	0,23823	gaṅgā	f	0,02902	svasti	fn	0,07335	dyāvāpṛthivī	f	0,02519	vasu	adj	0,04274							avitṛ	adj	0,00829										madhumat	adj	0,02647				maghavan	adj	0,05103																						śavas	n	0,05772			
						artha	mn	0,21623	śilā	f	0,02870	buddhi	f	0,06697	sarasvatī	f	0,02424	cāru	adj	0,04242							trātṛ	m	0,00829										arvant	m	0,02647				śarman	n	0,04752																						rādhas	n	0,05677			
						loka	m	0,21527	kathā	f	0,02647	śuci	adj	0,06283	śacī	f	0,02360	dhenu	f	0,04210							dātṛ	adj	0,00829										jagant	n	0,02615				pañcan	adj	0,04752																						rajas	n	0,05645			
						yajña	m	0,20475	tā	f	0,02615	mahi	adj	0,06251	oṣadhī	f	0,02169	sūnu	m	0,04050																			jāmbavant	m	0,02232				mūrdhan	m	0,04561																						jyotis	n	0,05613			
						jana	m	0,19167	gopā	m	0,02456	aditi	f	0,05836	dharaṇī	f	0,02105	vasu	mn	0,03987																			napāt	m	0,02137				han	adj	0,04305																						rodas	n	0,05135			
						sva	adj	0,18912	svadhā	f	0,02392	yoni	mf	0,05198	jānakī	f	0,02041	āśu	adj	0,03859																			parāvat	f	0,02041				pūṣan	m	0,03955																						śravas	n	0,05071			
						priya	adj	0,18657	guhā	f	0,02392	adri	m	0,05007	medinī	f	0,01882	ripu	m	0,03636																			haviṣmat	adj	0,01850				mantrin	m	0,03827																						āyus	n	0,05071			
						sūrya	m	0,18465	tārā	f	0,02296	gati	f	0,05007	vāhinī	f	0,01658	ketu	m	0,03381																			revat	adj	0,01786				aryaman	m	0,03795																						tamas	n	0,04879			
						vacana	n	0,17573	dā	adj	0,02232	bṛhaspati	m	0,04624	rajanī	f	0,01435	paśu	m	0,03349																			dyumat	adj	0,01786				dhāman	n	0,03253																						jātavedas	m	0,04210			
						parama	adj	0,17222	manīṣā	f	0,02137	pāṇi	m	0,04592	lakṣmī	f	0,01403	ikṣvāku	m	0,03125																			marutvat	adj	0,01754				yaśasvin	adj	0,03094																						cakṣus	n	0,04178			
						sahasra	mn	0,17094	dakṣiṇā	f	0,02073	dvi	nr	0,04592	nagarī	f	0,01403	prabhu	m	0,03125																			sarit	f	0,01722				heman	n	0,03062																						vayas	n	0,03859			
						śara	m	0,17094	sutā	f	0,02041	bhūri	adj	0,04242	rathī	adj	0,01403	manyu	mf	0,03030																			harivat	adj	0,01658				pakṣin	m	0,02838																						payas	n	0,03668			
						sugrīva	m	0,17062	vasudhā	f	0,01945	prīti	f	0,04210	vāṇī	f	0,01371	śatakratu	m	0,03030																			himavant	m	0,01595				vajrin	m	0,02775																						sajoṣas	adj	0,03285			
						kāla	m	0,15468	saṁdhyā	f	0,01914	raśmi	mf	0,04050	taviṣī	f	0,01339	sānu	mn	0,02998																			adrivat	adj	0,01499				vādin	adj	0,02743																						andhas	n	0,03157			
						bharata	m	0,15181	iḍā	f	0,01882	śakti	f	0,03987	bhāminī	f	0,01148	manu	m	0,02838																			ruśat	adj	0,01339				balin	adj	0,02583																						vāsas	n	0,03094			
						aśva	m	0,15117	pratijñā	f	0,01818	prāñjali	adj	0,03763	jananī	f	0,01148	ṛbhu	m	0,02806																			vivasvant	m	0,01308				cārin	adj	0,02551																						aṁhas	n	0,02838			
						varuṇa	m	0,14383	sumitrā	f	0,01786	hari	adj	0,03636	tapasvinī	f	0,01116	dasyu	m	0,02711																			ātmavat	adj	0,01276				vājin	adj	0,02551																						śocis	n	0,02711			
						vāja	m	0,14192	cintā	f	0,01754	rātri	f	0,03572	śarvarī	f	0,00893	bandhu	m	0,02679																			pratāpavat	adj	0,01276				manman	n	0,02488																						cakṣas	n	0,02679			
						kāma	m	0,14128	pṛtanā	f	0,01754	sumati	f	0,03572	sakhī	f	0,00797	bhānu	m	0,02647																			prajāvat	adj	0,01212				vṛtrahan	m	0,02488																						aṅgiras	m	0,02424			
						rūpa	n	0,13969	latā	f	0,01626	ūrmi	mf	0,03381	bherī	f	0,00765	hetu	m	0,02519																			apaśyat	adj	0,01180				ṛtāvan	adj	0,02488																						vapus	n	0,02392			
						uttama	adj	0,13714	pā	adj	0,01626	vṛṣṭi	f	0,03381	urvī	f	0,00765	pṛthu	adj	0,02392																			etāvat	adj	0,01180				adhvan	m	0,02456																						cetas	n	0,02264			
						śata	mn	0,13650	niśā	f	0,01499	ahi	m	0,03189	padminī	f	0,00734	āyu	m	0,02328																			niyut	f	0,01180				tman	m	0,02456																						manus	m	0,02232			
						vīrya	n	0,13299	ājñā	f	0,01499	kṣiti	f	0,03125	putrī	f	0,00734	sudānu	adj	0,02201																			vipaścit	adj	0,01116				janman	n	0,02392																						uras	n	0,02232			
						mitra	mn	0,13140	vidyā	f	0,01499	sāti	f	0,03094				aṁśu	m	0,02169																			pravat	f	0,01084				durātman	adj	0,02296																						apas	n	0,02073			
						parvata	mn	0,13108	mālā	f	0,01435	ari	adj	0,03062				adhvaryu	m	0,02137																			aśvāvat	adj	0,01052				vṛṣan	adj	0,02232																						apsaras	f	0,02041			
						śoka	m	0,12980	pramadā	f	0,01308	pīti	f	0,03062				ṛtu	m	0,02105																			vīravat	adj	0,01052				kāmarūpin	adj	0,02201																						vedhas	m	0,01977			
						nara	m	0,12310	pratimā	f	0,01308	añjali	m	0,02998				iṣu	mf	0,02041																			yoṣit	f	0,01021				yāman	n	0,02073																						varcas	n	0,01914			
						ṛta	n	0,12215	saṁjñā	f	0,01276	sūri	m	0,02966				aśru	mn	0,01945																			svadhāvat	adj	0,01021				vāsin	adj	0,02041																						nabhas	n	0,01818			
						ghora	adj	0,12023	nidrā	f	0,01276	rāti	f	0,02743				dhātu	mn	0,01914																			pṛt	f	0,01021				mahiman	m	0,02041																						retas	n	0,01818			
						śreṣṭha	adj	0,10971	śākhā	f	0,01276	maṇi	m	0,02615				vibhu	adj	0,01754																			vegavat	adj	0,00925				yuvan	m	0,02009																						prayas	n	0,01754			
						vara	adj	0,10939	kiṣkindhā	f	0,01212	vi	mn	0,02583				gātu	m	0,01754																			buddhimat	adj	0,00893				veśman	n	0,01977																						saras	n	0,01722			
						rājya	n	0,10939	śikhā	f	0,01212	dhīti	f	0,02424				kāru	m	0,01690																			bhṛt	adj	0,00829				dharman	n	0,01754																						vanaukas	m	0,01658			
						bhaya	n	0,10684	pūjā	f	0,01180	aśani	mf	0,02424				śiśu	m	0,01658																			śrut	adj	0,00797				grāvan	m	0,01690																						pracetas	adj	0,01658			
						śūra	m	0,10620	prakhyā	f	0,01180	atithi	m	0,02392				aktu	m	0,01626																			asat	adj	0,00765				caturdaśan	adj	0,01690																						ūdhas	n	0,01626			
						mada	m	0,10588	pampā	f	0,01148	sārathi	m	0,02392				dhṛṣṇu	adj	0,01531																			mālyavant	m	0,00765				dhanvan	n	0,01658																						dveṣas	n	0,01531			
						raṇa	m	0,10397	ulkā	mf	0,01116	koṭi	f	0,02328				meru	m	0,01499																			triṁśat	f	0,00765				parvan	n	0,01595																						sadas	n	0,01499			
						vajra	mn	0,10174	yoṣā	f	0,01116	vahni	m	0,02328				setu	m	0,01499																			guṇavat	adj	0,00765				sahasrin	adj	0,01595																						mahas	n	0,01499			
						gaṇa	m	0,10174	jyā	f	0,01116	muṣṭi	mf	0,02296				madhu	adj	0,01467																			ghṛtavat	adj	0,00765				tejasvin	adj	0,01563																						navyas	adj	0,01435			
						divya	adj	0,10142	aṅganā	f	0,01052	carṣaṇi	f	0,02169				laghu	adj	0,01467																			aṁśumant	m	0,00734				sāman	n	0,01563																						varivas	n	0,01403			
						puruṣa	m	0,09887	cetanā	f	0,01052	vīti	f	0,02137				dānu	fn	0,01467																			śaśvat	adj	0,00734				tapasvin	m	0,01563																						triśiras	m	0,01403			
						vega	m	0,09823	vanikā	f	0,01052	prajāpati	m	0,02137				ūru	mf	0,01339																									kārin	adj	0,01499																						puṁs	m	0,01403			
						citra	adj	0,09695	jāyā	f	0,01052	nābhi	f	0,02105				tanu	f	0,01339																									aśman	mn	0,01499																						arcis	n	0,01371			
						yuddha	n	0,09568	usriyā	f	0,01021	oṣadhi	mf	0,02105				svādu	adj	0,01308																									kāṅkṣin	adj	0,01467																						vakṣas	n	0,01371			
						śubha	adj	0,09312	dhiṣaṇā	f	0,01021	nṛpati	m	0,02041				bhīru	adj	0,01148																									aṣṭan	adj	0,01435																						tavas	adj	0,01371			
						samudra	m	0,09185	jaṭā	f	0,01021	ari	m	0,02009				mayobhu	adj	0,01148																									vyoman	mn	0,01435																						girvaṇas	adj	0,01308			
						bāṇa	m	0,09185	kriyā	f	0,01021	ādi	m	0,01977				svayambhu	m	0,01116																									arthin	adj	0,01403																						anehas	adj	0,01244			
						satya	adj	0,09121	pā	adj	0,01021	adhipati	m	0,01977				prabhu	adj	0,01116																									manīṣin	adj	0,01339																						navīyas	adj	0,01180			
						agra	n	0,08962	dhā	adj	0,01021	prakṛti	f	0,01945				devayu	adj	0,01052																									navan	adj	0,01339																						draviṇas	n	0,01180			
						bhīma	adj	0,08834	śiprā	f	0,00989	atri	m	0,01914				vīḍu	adj	0,01021																									dhārin	adj	0,01308																						taras	n	0,01180			
						upama	adj	0,08738	muktā	f	0,00989	āji	mf	0,01914				bhṛgu	m	0,00989																									yuvan	adj	0,01276																						candramas	m	0,01148			
						vrata	n	0,08707	sā	adj	0,00989	mahīpati	m	0,01882				avasyu	adj	0,00989																									hastin	m	0,01276																						mīḍhvas	adj	0,01148			
						ṛṣabha	m	0,08579	chāyā	f	0,00957	suṣṭuti	f	0,01882				mṛdu	adj	0,00989																									marman	n	0,01244																						enas	n	0,01116			
						duḥkha	n	0,08579	sūnṛtā	f	0,00957	dāśarathi	m	0,01882				pāyu	m	0,00957																									śaśin	m	0,01212																						arṇas	n	0,01116			
						suta	m	0,08579	vasuṁdharā	f	0,00925	vanaspati	mf	0,01850				tantu	m	0,00957																									sadman	n	0,01180																						janus	mn	0,01116			
						tva	n	0,08547	patākā	f	0,00893	kṛṣṭi	f	0,01786				madhu	m	0,00925																									carman	n	0,01180																						śardhas	n	0,01084			
						vadha	m	0,08547	mantharā	f	0,00893	kīrti	f	0,01754				raghu	m	0,00925																									ukṣan	m	0,01180																						vedas	n	0,01052			
						darśana	n	0,08419	śūrpaṇakhā	f	0,00893	rāvaṇi	m	0,01754				ṛju	adj	0,00861																									māyin	adj	0,01180																						ambhas	n	0,00989			
						phala	n	0,08228	kṣā	f	0,00861	diṣṭi	f	0,01754				vastu	f	0,00861																									viśvakarman	m	0,01180																						pājas	n	0,00989			
						ugra	adj	0,08164	kakṣyā	f	0,00829	vidhi	m	0,01690				sukratu	adj	0,00829																									antarātman	m	0,01116																						śreyas	n	0,00925			
						āditya	m	0,08132	śraddhā	f	0,00829	tuvi	adj	0,01690				rāhu	m	0,00829																									mahan	n	0,01116																						bhās	fn	0,00925			
						vikrama	m	0,08101	avasthā	f	0,00797	rājarṣi	m	0,01626				jantu	m	0,00797																									janiman	n	0,01116																						peśas	n	0,00925			
						adhvara	m	0,07941	medhā	f	0,00797	vājasāti	f	0,01626				taru	m	0,00797																									ṛbhukṣan	m	0,01052																						vidvas	adj	0,00925			
						kākutstha	m	0,07941	tvarā	f	0,00797	dyuti	f	0,01626				vasūyu	adj	0,00765																									mātariśvan	m	0,01021																						vartis	n	0,00893			
						āśrama	mn	0,07941	jā	adj	0,00797	paṇi	m	0,01595				reṇu	mn	0,00765																									darśin	adj	0,01021																						yaśas	adj	0,00893			
						sāgara	m	0,07782	narmadā	f	0,00734	asi	m	0,01595				pāṁsu	m	0,00765																									eṣin	adj	0,00989																						jaṭāyus	m	0,00861			
						mṛga	m	0,07686	śālā	f	0,00734	abhiṣṭi	f	0,01563				viśvāyu	adj	0,00765																									mālin	adj	0,00989																						daṁsas	n	0,00861			
						jña	adj	0,07463	grīvā	f	0,00734	udadhi	m	0,01435				purūvasu	adj	0,00734																									śālin	adj	0,00989																						mayas	n	0,00829			
						dhana	n	0,07463	pathyā	f	0,00702	jñāti	m	0,01403				vibhāvasu	m	0,00734																									prāṇin	m	0,00989																						ās	n	0,00829			
						asura	m	0,07431	sabhā	f	0,00702	suvṛkti	f	0,01403																															śvan	m	0,00989																						varpas	n	0,00829			
						ratna	mn	0,07399				dundubhi	mf	0,01371																															tan	f	0,00989																						sudās	m	0,00829			
						śaila	mn	0,07399				siddhi	f	0,01371																															bhūman	n	0,00957																						sumanas	adj	0,00829			
						krodha	m	0,07335				gabhasti	m	0,01371																															tarasvin	adj	0,00957																						damūnas	m	0,00797			
						bhūta	mn	0,07271				durmati	adj	0,01339																															roman	n	0,00925																						riśādas	adj	0,00765			
						sura	m	0,07239				dṛṣṭi	f	0,01276																															satvan	m	0,00893																						yos	n	0,00765			
						gṛha	mn	0,07239				puraṁdhi	f	0,01276																															rūpin	adj	0,00893																						vāhas	adj	0,00734			
						ātmaja	m	0,07208				arāti	f	0,01244																															śuṣmin	adj	0,00893																						jrayas	n	0,00734			
						daśaratha	m	0,07176				brahmaṇaspati	m	0,01244																															manasvin	adj	0,00861																						vedas	n	0,00734			
						vara	mn	0,07144				saṁnidhi	m	0,01212																															loman	n	0,00861																						anāgas	adj	0,00702			
						stoma	m	0,07048				yuvati	f	0,01212																															āsan	n	0,00829																											
						vibhīṣaṇa	m	0,07048				vāri	n	0,01180																															ṛjīṣin	adj	0,00797																											
						vṛtra	m	0,06952				vṛtti	f	0,01148																															śīrṣan	n	0,00797																											
						vipra	m	0,06921				kṛtāñjali	adj	0,01116																															gāmin	adj	0,00797																											
						varṣa	mn	0,06889				sani	mf	0,01116																															varman	mn	0,00765																											
						vṛkṣa	m	0,06825				āpi	m	0,01116																															dhanvin	adj	0,00765																											
						hasta	mn	0,06825				bali	m	0,01116																															sukhin	adj	0,00765																											
						kārya	n	0,06697				ṣaṣṭi	f	0,01084																															dāman	mn	0,00765																											
						guṇa	mn	0,06665				vyuṣṭi	f	0,01084																															bhāṣin	adj	0,00734																											
						deśa	m	0,06634				vedi	f	0,01084																															yāvan	m	0,00734																											
						saṁkāśa	m	0,06570				vicarṣaṇi	adj	0,01052																															dvādaśan	adj	0,00734																											
						amṛta	adj	0,06538				jāmi	adj	0,01052																															vibhāvan	adj	0,00734																											
						tala	mn	0,06506				praśasti	f	0,01052																															parijman	adj	0,00702																											
						prathama	adj	0,06474				māruti	m	0,01021																																																												
						prāṇa	m	0,06474				devatāti	f	0,01021																																																												
						anta	m	0,06347				viśpati	m	0,01021																																																												
						madhya	n	0,06347				pṛśni	f	0,01021																																																												
						pada	mn	0,06315				sapti	m	0,00989																																																												
						śakra	m	0,06283				ṛṣṭi	f	0,00957																																																												
						vasiṣṭha	m	0,06219				viṁśati	f	0,00957																																																												
						rāja	m	0,06187				hūti	f	0,00957																																																												
						stha	adj	0,06187				iṣṭi	f	0,00957																																																												
						astra	mn	0,06123				vartani	f	0,00957																																																												
						aṅgada	m	0,06059				dvijāti	m	0,00957																																																												
						bhuvana	n	0,06059				brahmarṣi	m	0,00957																																																												
						vṛṣabha	m	0,06028				arati	m	0,00925																																																												
						īśvara	m	0,05996				satpati	m	0,00893																																																												
						satya	n	0,05932				navati	f	0,00893																																																												
						adhipa	m	0,05868				bhakti	f	0,00893																																																												
						dīna	adj	0,05836				praṇīti	f	0,00893																																																												
						vividha	adj	0,05804				nirṛti	f	0,00861																																																												
						bhadra	adj	0,05741				śruṣṭi	f	0,00861																																																												
						ārta	adj	0,05741				vālmīki	m	0,00861																																																												
						ghṛta	n	0,05741				puṣṭi	f	0,00861																																																												
						rudra	m	0,05709				nidhi	m	0,00829																																																												
						gandharva	m	0,05709				āhuti	f	0,00829																																																												
						havya	n	0,05613				ravi	m	0,00829																																																												
						puṣpa	n	0,05581				jani	f	0,00829																																																												
						dūta	m	0,05549				sarvatāti	f	0,00829																																																												
						puṁgava	m	0,05549				diti	f	0,00829																																																												
						sakhya	n	0,05485				akṣi	n	0,00829																																																												
						sainya	n	0,05485				nemi	mf	0,00797																																																												
						brāhmaṇa	m	0,05485				surabhi	adj	0,00797																																																												
						vāta	m	0,05454				śacīpati	m	0,00765																																																												
						viśvāmitra	m	0,05454				sampāti	m	0,00734																																																												
						kumbhakarṇa	m	0,05422				sugandhi	adj	0,00734																																																												
						niśācara	m	0,05422																																																																		
						āyudha	mn	0,05390																																																																		
						jīvita	n	0,05390																																																																		
						yama	m	0,05358																																																																		
						mukha	n	0,05326																																																																		
						mūla	mn	0,05262																																																																		
						kula	n	0,05167																																																																		
						martya	m	0,05167																																																																		
						vaśa	m	0,05103																																																																		
						druma	m	0,05103																																																																		
						hava	m	0,05103																																																																		
						nṛpa	m	0,05071																																																																		
						aṅga	n	0,05007																																																																		
						varṇa	mn	0,05007																																																																		
						candra	m	0,05007																																																																		
						siṁha	m	0,04975																																																																		
						gaja	m	0,04975																																																																		
						arka	m	0,04943																																																																		
						uttara	adj	0,04943																																																																		
						antarikṣa	n	0,04911																																																																		
						saumya	adj	0,04911																																																																		
						parākrama	m	0,04879																																																																		
						ramya	adj	0,04848																																																																		
						daśagrīva	m	0,04816																																																																		
						pura	n	0,04784																																																																		
						khara	m	0,04752																																																																		
						uktha	n	0,04656																																																																		
						dīrgha	adj	0,04656																																																																		
						pāda	m	0,04656																																																																		
						śārdūla	m	0,04656																																																																		
						sukha	n	0,04624																																																																		
						muhūrta	mn	0,04624																																																																		
						marta	m	0,04592																																																																		
						samara	mn	0,04497																																																																		
						pāvaka	m	0,04497																																																																		
						jyeṣṭha	adj	0,04497																																																																		
						vyāghra	m	0,04497																																																																		
						yūthapa	m	0,04465																																																																		
						sahita	adj	0,04465																																																																		
						megha	m	0,04433																																																																		
						ambara	n	0,04401																																																																		
						garbha	m	0,04401																																																																		
						śatrughna	m	0,04369																																																																		
						dvija	m	0,04305																																																																		
						hṛdaya	n	0,04274																																																																		
						śṛṅga	n	0,04242																																																																		
						bhaga	mn	0,04178																																																																		
						dakṣiṇa	adj	0,04178																																																																		
						śabda	m	0,04114																																																																		
						antara	n	0,04082																																																																		
						cakra	n	0,04082																																																																		
						anna	n	0,04050																																																																		
						suta	m	0,04050																																																																		
						sadṛśa	adj	0,04018																																																																		
						araṇya	n	0,04018																																																																		
						jala	n	0,04018																																																																		
						dāruṇa	adj	0,04018																																																																		
						vāsa	m	0,03987																																																																		
						śukra	adj	0,03987																																																																		
						śūla	mn	0,03987																																																																		
						saṁśaya	m	0,03923																																																																		
						pāpa	adj	0,03923																																																																		
						svana	m	0,03923																																																																		
						mukhya	adj	0,03923																																																																		
						indriya	n	0,03891																																																																		
						ārya	adj	0,03859																																																																		
						vatsa	m	0,03859																																																																		
						pārthiva	m	0,03827																																																																		
						śarīra	n	0,03827																																																																		
						tīkṣṇa	adj	0,03763																																																																		
						raghunandana	m	0,03731																																																																		
						tāta	m	0,03731																																																																		
						adbhuta	adj	0,03699																																																																		
						amṛta	n	0,03699																																																																		
						ānana	n	0,03668																																																																		
						dānava	m	0,03668																																																																		
						yojana	fn	0,03636																																																																		
						śakya	adj	0,03636																																																																		
						padma	mn	0,03572																																																																		
						udaka	n	0,03572																																																																		
						mānuṣa	m	0,03572																																																																		
						sattama	adj	0,03540																																																																		
						vidatha	n	0,03540																																																																		
						dāna	n	0,03540																																																																		
						mānuṣa	adj	0,03508																																																																		
						pavitra	n	0,03508																																																																		
						bāṣpa	mn	0,03508																																																																		
						dṛḍha	adj	0,03476																																																																		
						hita	adj	0,03444																																																																		
						puṇya	adj	0,03444																																																																		
						plavaṁgama	m	0,03444																																																																		
						saṁnibha	adj	0,03412																																																																		
						ākāśa	mn	0,03412																																																																		
						savana	n	0,03412																																																																		
						nāga	m	0,03381																																																																		
						yajñiya	adj	0,03381																																																																		
						harṣa	m	0,03381																																																																		
						akṣa	n	0,03349																																																																		
						gātra	n	0,03349																																																																		
						vṛddha	adj	0,03349																																																																		
						samāhita	adj	0,03317																																																																		
						bhāga	m	0,03317																																																																		
						dvāra	n	0,03317																																																																		
						haya	m	0,03317																																																																		
						maya	adj	0,03317																																																																		
						pūrvya	adj	0,03317																																																																		
						ogha	m	0,03285																																																																		
						roṣa	m	0,03285																																																																		
						duḥkhita	adj	0,03285																																																																		
						sūta	m	0,03285																																																																		
						kāñcana	adj	0,03253																																																																		
						mantra	mn	0,03253																																																																		
						ja	adj	0,03253																																																																		
						nāsatya	m	0,03253																																																																		
						bhadra	n	0,03221																																																																		
						vipula	adj	0,03221																																																																		
						vṛtra	mn	0,03221																																																																		
						ābharaṇa	n	0,03157																																																																		
