"Объединенное ядро"	au	1=0.02%	"Объединенное ядро"	ai	1=0.02%	"Объединенное ядро"	a	4031=65.10%	"Объединенное ядро"	ā	522=8.43%	"Объединенное ядро"	i	411=6.64%	"Объединенное ядро"	ī	315=5.09%	"Объединенное ядро"	u	194=3.13%	"Объединенное ядро"	ū	13=0.21%	"Объединенное ядро"	o	1=0.02%	"Объединенное ядро"	ṛ	45=0.73%	"Объединенное ядро"	k	1=0.02%	"Объединенное ядро"	j	22=0.36%	"Объединенное ядро"	c	16=0.26%	"Объединенное ядро"	dh	8=0.13%	"Объединенное ядро"	t	114=1.84%	"Объединенное ядро"	d	29=0.47%	"Объединенное ядро"	n	278=4.49%	"Объединенное ядро"	bh	3=0.05%	"Объединенное ядро"	p	1=0.02%	"Объединенное ядро"	m	2=0.03%	"Объединенное ядро"	r	8=0.13%	"Объединенное ядро"	v	2=0.03%	"Объединенное ядро"	ṣ	11=0.18%	"Объединенное ядро"	ś	10=0.16%	"Объединенное ядро"	s	146=2.36%	"Объединенное ядро"	h	7=0.11%
						kāla	m	0,22085712125449	saṁjñā	f	0,0395448561083301	bhūmi	f	0,0777395464162999	kuntī	f	0,0187222990983293	mṛtyu	m	0,0555068162370339	sarayū	f	0,00168020632933724				kartṛ	m	0,0146718016972484				rāj	m	0,00429052687670046	śuc	f	0,00300036844524508				śrīmat	adj	0,0270033160072057	mud	f	0,0102612600827382	nāman	n	0,0800198264346862																dviṣ	mf	0,00126015474700293	divispṛś	adj	0,000630077373501466	tamas	n	0,0429952798203619			
						rūpa	n	0,21926692597851	prabhā	f	0,037804642410088	hari	m	0,0760593400869627	sarasvatī	f	0,0185422769916146	śatru	m	0,0496260940843536	kuhū	f	0,00156019159152744				dhātṛ	m	0,0123315143099573				samrāj	m	0,00387047529436615	sruc	f	0,00279034265407792				balavat	adj	0,0256831538912978	pad	m	0,00972119376259405	aṣṭan	adj	0,0609674868073799																pṛkṣ	f	0,000810099480216171				payas	n	0,0419151471800737			
						bala	mn	0,217256679120196	śilā	f	0,0339641708001743	śakti	f	0,0741091005975534	lakṣmī	f	0,0178521922492082	sādhu	adj	0,0482159209150884	juhū	f	0,000930114218025974				dātṛ	adj	0,0117314406209082				virāj	f	0,00369045318765144	ruc	f	0,00270033160072057				jit	adj	0,0225027633393381	saṁsad	f	0,00546067057034604	heman	n	0,0571870225663711																						rajas	n	0,0419151471800737			
						ratha	m	0,193133716820426	gadā	f	0,0338741597468169	gati	f	0,0733590084862421	pippalī	f	0,0174321406668739	pāṇḍu	m	0,0471657919592526	kharjū	f	0,000330040528976958				svasṛ	f	0,00729089532194554				yuj	adj	0,00351043108093674	viṣvañc	adj	0,0020102468583142				asat	adj	0,0224127522859807	pratipad	f	0,00483059319684457	janman	n	0,0466857330080134																						puṁs	m	0,0403849592729987			
						phala	n	0,179332021972298	kathā	f	0,0333340934266728	siddhi	f	0,064897969470651	purī	f	0,0174021369824214	guru	adj	0,0456956114210825							hantṛ	adj	0,00702086216187348				yuj	m	0,00342042002757939	samyañc	adj	0,00108013264028823				bṛhat	adj	0,0215726491213121	upaniṣad	f	0,00333040897422203	bhasman	n	0,0431753019270766																						yaśas	n	0,0402649445351889			
						guṇa	mn	0,173421296135165	sītā	f	0,0298536660301885	vahni	m	0,0483059319684457	sakhī	f	0,0164120153954906	dhātu	mn	0,0443454456207222							tvaṣṭṛ	m	0,00675082900180142				bhūbhuj	m	0,00264032423181567	nyāñc	adj	0,000810099480216171				āyuṣmat	adj	0,0210925901700729	dvipad	m	0,00309037949860243	dvādaśan	adj	0,039274822948258																						rakṣas	n	0,0386147418903041			
						puruṣa	m	0,156259188628364	gaṅgā	f	0,0287735333899003	ityādi	adj	0,0457856224744399	gāyatrī	f	0,0150018422262254	laghu	adj	0,0410750440154051							kṣattṛ	m	0,00555068162370339				virāj	mf	0,00243029844064851	sadhryañc	adj	0,000660081057953917				vīryavat	adj	0,0182722438315425	nivid	f	0,00300036844524508	mūrdhan	m	0,0355543660761541																						sarpis	n	0,0337241413245547			
						kāma	m	0,154999033881361	mūṣā	f	0,028353481807566	giri	m	0,0447354935186041	nāḍī	f	0,0134116469502455	prabhu	m	0,0397248782150448							śāstṛ	m	0,00492060425020192				viśvasṛj	m	0,00135016580036028							hanumant	m	0,0159319564442514	pariṣad	f	0,00258031686291077	śleṣman	m	0,0345942481736757																						ojas	n	0,0317739018351454			
						nara	m	0,150348462791231	kalā	f	0,0283234781231135	prakṛti	f	0,0442554345673649	draupadī	f	0,0124515290477671	mṛdu	adj	0,034414226066961							goptṛ	adj	0,00483059319684457				mahībhuj	m	0,00120014737809803							sarit	f	0,0152718753862974	vipad	f	0,00252030949400586	yogin	m	0,0334541081644826																						cetas	n	0,031683890781788			
						śata	mn	0,143687644842787	senā	f	0,027753408118517	yoni	mf	0,0435053424560536	vaidehī	f	0,0120614811498852	vibhu	adj	0,0292835960255919							vidhātṛ	m	0,00450055266786761				nirṇij	f	0,00108013264028823							yoṣit	f	0,0144917795905337	sad	adj	0,0018902321205044	pathin	m	0,030153702874713																						vāsas	n	0,0304537397192375			
						doṣa	mn	0,136786797418723	pūjā	f	0,0273933639050875	bhakti	f	0,0431452982426242	dhātrī	f	0,0109213411406921	kaṭu	adj	0,0288635444432576							jaritṛ	m	0,00399049003217595				svarāj	m	0,00108013264028823							tāvat	adj	0,0143417611682715	catuṣpād	m	0,00168020632933724	navan	adj	0,0263732386337042																						vidvas	adj	0,0285635075987331			
						brāhmaṇa	m	0,136696786365366	jarā	f	0,0264632496870616	śuci	adj	0,0420951692867884	rajanī	f	0,0108913374562396	manu	m	0,0273933639050875							māndhātṛ	m	0,00363044581874654				uśij	adj	0,00078009579576372							vidyut	fn	0,0142817537993666	praṇud	adj	0,00156019159152744	han	adj	0,0261332091580846																						jyotis	n	0,0277234044340645			
						yoga	m	0,135796675831792	prajñāpāramitā	f	0,0263732386337042	pāṇi	m	0,0411650550687624	putrī	f	0,00984120850040385	ambu	n	0,0271533344294679							sraṣṭṛ	m	0,00348042739648429				bhṛṅgarāj	m	0,000600073689049015							himavant	m	0,0130816064212685	samad	f	0,00156019159152744	vādin	adj	0,0257431612602027																						vapus	n	0,0244229991442949			
						bhūta	mn	0,125895459962483	dakṣiṇā	f	0,0222927375481709	vṛtti	f	0,04113505138431	sthālī	f	0,00972119376259405	bhikṣu	m	0,027093327060563							trātṛ	m	0,00342042002757939													yāvat	adj	0,0129915953679112	dṛṣad	f	0,00141017316926519	aśvin	m	0,0252330986245111																						apsaras	f	0,0234928849262689			
						sahasra	mn	0,124035231526431	jihvā	f	0,02130261596124	rātri	f	0,0402349408507365	dharaṇī	f	0,00960117902478424	indu	m	0,0269133049538483							stotṛ	adj	0,00312038318305488													bhṛt	adj	0,0117614443053607	upasad	f	0,00138016948481274	parvan	n	0,0234028738729116																						ambhas	n	0,0222627338637185			
						parama	adj	0,123795202050812	triphalā	mf	0,0205825275343812	mati	f	0,0395448561083301	vāhinī	f	0,00930114218025974	ṛtu	m	0,0251730912556062							yantṛ	m	0,00312038318305488													pratāpavat	adj	0,0112813853541215	kravyād	m	0,00117014369364558	arthin	adj	0,0231328407128395																						havis	n	0,0219026896502891			
						uttama	adj	0,122925095201691	chāyā	f	0,0204925164810239	prīti	f	0,0377146313567306	sāvitrī	f	0,00912112007354503	prabhu	adj	0,0246630286199145							pramātṛ	adj	0,00303037212969753													etāvat	adj	0,011251381669669	kravyād	adj	0,00105012895583578	balin	adj	0,0227427928149577																						sahas	n	0,0211826012234302			
						śara	m	0,120794833605567	tṛṣṇā	f	0,0204925164810239	vyādhi	m	0,0365744913475375	kumārī	f	0,00897110165128278	tanu	f	0,024092958615318							bhoktṛ	m	0,00297036476079263													buddhimat	adj	0,0110713595629543	evaṁvid	adj	0,000990121586930875	sāman	n	0,021632656490217																						vayas	n	0,0206125312188337			
						anta	m	0,118094502004846	sabhā	f	0,0196524133163552	prajāpati	m	0,035674380813964	mahiṣī	f	0,00888109059792543	kratu	m	0,0235528922951739							śrotṛ	adj	0,00294036107634017													triṁśat	f	0,0107113153495249	pād	m	0,000960117902478424	kārin	adj	0,0214526343835023																						chandas	n	0,0204925164810239			
						ja	adj	0,11752443200025	saṁkhyā	f	0,0194123838407356	maṇi	m	0,0351043108093674	medinī	f	0,00885108691347297	vasu	mn	0,0220527080725513							udgātṛ	m	0,00264032423181567													cit	f	0,0100212306071186	nid	f	0,000900110533573523	mantrin	m	0,0206125312188337																						saras	n	0,0161119785509661			
						mukha	n	0,115094133559601	avasthā	f	0,0193223727873783	koṭi	f	0,0346542555425806	grahaṇī	f	0,00855105006894847	bandhu	m	0,021032582801168							netṛ	m	0,00261032054736322													hṛt	adj	0,00879107954456807				ṣoḍaśan	adj	0,0200724648986896																						śreyas	n	0,0160819748665136			
						priya	adj	0,113053883016834	sutā	f	0,0188423138361391	vṛddhi	f	0,0305737544570473	bṛhatī	f	0,00825101322442396	jantu	m	0,0196824170008077							bhavitṛ	adj	0,002130261596124													mahant	m	0,00852104638449602				vājin	m	0,0190823433117587																						arśas	mn	0,0154518974930121			
						yajña	m	0,112303790905523	icchā	f	0,0187523027827817	dṛṣṭi	f	0,0282034633853037	oṣadhī	f	0,00819100585551906	svādu	adj	0,0190223359428538							hartṛ	m	0,0020702542272191													arhant	m	0,00849104270004357				pakṣin	m	0,0186922954138768																						medas	n	0,0153918901241072			
						vana	n	0,10969347035816	mālā	f	0,0184222622538048	asthi	n	0,0278734228563268	gāndhārī	f	0,00813099848661416	bhṛgu	m	0,0176121627735886							mātṛ	m	0,0020102468583142													śakṛt	n	0,00840103164668621				adhvan	m	0,0180022106714705																						uras	n	0,0153018790707499			
						pāṇḍava	m	0,109663466673708	prajñā	f	0,0182122364626376	jāti	f	0,0273933639050875	dāsī	f	0,00801098374880435	ūru	mf	0,017042092768992							vaktṛ	m	0,0020102468583142													guṇavat	adj	0,007920972695447				hastin	m	0,0177021738269459																						nabhas	n	0,0152118680173925			
						vāta	m	0,109033389300206	saṁdhyā	f	0,0181522290937327	bali	m	0,0258031686291077	mādrī	f	0,00777095427318475	ripu	m	0,0169520817156347							gantṛ	adj	0,00174021369824214													matimat	adj	0,00738090637530289				rūpin	adj	0,0174321406668739																						srotas	n	0,0145517869594386			
						rāma	m	0,10846331929561	mātrā	f	0,0178521922492082	saṁdhi	mf	0,0254731281001307	pārvatī	f	0,00777095427318475	vasu	n	0,0166820485555626							draṣṭṛ	m	0,00168020632933724													ātmavat	adj	0,00684084005515877				vyoman	mn	0,0171921111912543																						retas	n	0,0136516764258651			
						vīra	m	0,105973013486056	kṛṣṇā	f	0,0176121627735886	sakhi	m	0,0250230728333439	rohiṇī	f	0,00756092848201759	iṣu	mf	0,0165020264488479							janitṛ	m	0,00165020264488479													pañcāśat	f	0,00651079952618181				carman	n	0,0165620338177528																						aṅgiras	m	0,0134716543191504			
						jana	m	0,105582965588174	śarkarā	f	0,0171921111912543	bṛhaspati	m	0,0242129733531278	bhaginī	f	0,00735090269085044	cāru	adj	0,0162619969732283							kretṛ	adj	0,00120014737809803													dvātriṁśat	f	0,00633077741946711				marman	n	0,0163820117110381																						varcas	n	0,0134116469502455			
						divya	adj	0,101262435027021	vedanā	f	0,0171921111912543	śuddhi	f	0,0234928849262689	jananī	f	0,00732089900639799	manyu	mf	0,0159319564442514							vikretṛ	m	0,00108013264028823													kiyat	adj	0,0059107258371328				prāṇin	m	0,0162319932887759																						uṣas	f	0,0129915953679112			
						varṇa	mn	0,0989821550086351	nidrā	f	0,0170720964534445	sthiti	f	0,0228628075527675	snuhī	f	0,00708086953077838	vastu	n	0,015841945390894							avitṛ	adj	0,00102012527138333													vivasvant	m	0,00558068530815584				dhāman	n	0,0155419085463695																						jātavedas	m	0,0113713964074788			
						prāṇa	m	0,0985621034263007	niśā	f	0,01677205960892	vasti	mf	0,0228628075527675	devayānī	f	0,00690084742406368	bindu	mn	0,0148518238039631							īśitṛ	m	0,000990121586930875													bṛhant	n	0,00501061530355928				śvan	m	0,0144917795905337																						ayas	n	0,0111613706163117			
						nṛpa	m	0,0984120850040385	latā	f	0,0164720227643955	nṛpati	m	0,022832803868315	maithilī	f	0,00684084005515877	śambhu	m	0,0145217832749862							dhartṛ	m	0,000960117902478424													trivṛt	f	0,00501061530355928				vāsin	adj	0,014311757483819																						candramas	m	0,0110713595629543			
						suta	m	0,0984120850040385	saṁhitā	f	0,015841945390894	śānti	f	0,0228028001838626	rākṣasī	f	0,00681083637070632	aśru	mn	0,014311757483819							śamitṛ	m	0,000720088426858818													madhumat	adj	0,00438053793005781				vṛṣan	m	0,0140117206392945																						mās	m	0,0105312932428102			
						pāda	m	0,0982020592128713	narmadā	f	0,0158119417064416	dadhi	n	0,022232730179266	satī	f	0,00666081794844407	āśu	adj	0,0136216727414126							sotṛ	adj	0,000690084742406367													rūpavat	adj	0,00399049003217595				veśman	n	0,0138917059014847																						bhūyas	adj	0,010381274820548			
						madhya	n	0,0956217423499606	cintā	f	0,0157819380219891	vāri	n	0,022232730179266	gaurī	f	0,00645079215727691	meru	m	0,0135016580036028							astṛ	m	0,000660081057953917													iyat	adj	0,00381046792546125				dehin	m	0,0137416874792224																						śreyas	adj	0,00924113481135483			
						mūla	mn	0,0950216686609116	ājñā	f	0,0154518974930121	mūrti	f	0,0216026528057645	bhāminī	f	0,00630077373501466	dhenu	f	0,0125415401011244																						vegavat	adj	0,00366044950319899				svāmin	m	0,0136516764258651																						vakṣas	n	0,00924113481135483			
						jñāna	n	0,0930714291715023	śākhā	f	0,0147618127506058	nābhi	f	0,0211525975389778	deveśī	f	0,00627077005056221	jānu	mn	0,0115514185141935																						apaśyat	adj	0,00354043476538919				yaśasvin	adj	0,0133216358968881																						yajus	n	0,00924113481135483			
						vara	adj	0,0926813812736204	śraddhā	f	0,0146117943283435	ari	m	0,0206725385877386	valī	f	0,00624076636610976	puru	adj	0,0110413558785019																						indrajit	m	0,00354043476538919				aśman	mn	0,0128715806301014																						barhis	mn	0,00843103533113867			
						pitta	n	0,0925913702202631	dhārā	f	0,0142217464304617	rati	f	0,0206425349032861	śuṇṭhī	f	0,00621076268165731	uru	adj	0,0107713227184298																						gomat	adj	0,00351043108093674				cārin	adj	0,0127515658922916																						rahas	n	0,00741091005975534			
						duḥkha	n	0,0917812707400469	guñjā	f	0,014041724323747	śruti	f	0,0206125312188337	śatāvarī	f	0,00606074425939505	taru	m	0,0107413190339774																						aṁśumant	m	0,00348042739648429				roman	n	0,0127215622078391																						āśis	f	0,00705086584632593			
						karṇa	m	0,0911511933665454	mūrchā	f	0,0139217095859372	subhūti	m	0,0205225201654763	brāhmaṇī	f	0,0060307405749426	bhānu	m	0,0107113153495249																						arthavat	adj	0,00348042739648429				tapasvin	m	0,0126015474700293																						divaukas	m	0,00696085479296858			
						vipra	m	0,0907611454686636	sirā	f	0,0139217095859372	smṛti	f	0,0202824906898567	caturdaśī	f	0,0059707332060377	ketu	m	0,0105012895583578																						prasenajit	m	0,00345042371203184				śikhaṇḍin	m	0,0123315143099573																						arcis	n	0,00648079584172936			
						stha	adj	0,0896810128283753	laṅkā	f	0,0130516027368161	ravi	m	0,0194723912096405	vartī	f	0,00594072952158525	sūnu	m	0,0105012895583578																						yakṛt	n	0,00342042002757939				brahmacārin	m	0,0123015106255048																						rodas	n	0,00621076268165731			
						gaṇa	m	0,0894109796683033	pratiṣṭhā	f	0,0124815327322195	akṣi	n	0,0190223359428538	sudhī	adj	0,0059107258371328	śiśu	m	0,0103212674516431																						catvāriṁśat	f	0,00339041634312694				gāmin	adj	0,0120314774654328																						avas	n	0,00612075162829995			
						bhaya	n	0,0893509722993984	dīkṣā	f	0,0120014737809803	sātyaki	m	0,0189623285739489	dantī	f	0,00588072215268035	sindhu	mf	0,0099912269226661																						prītimat	adj	0,00330040528976958				rathin	m	0,0120314774654328																						rādhas	n	0,00594072952158525			
						kula	n	0,0888709133481592	aṅganā	f	0,0118514553587181	oṣadhi	mf	0,018902321205044	kaikeyī	f	0,0058507184682279	tanu	adj	0,0096911900781416																						mūrtimat	adj	0,00321039423641223				yuvan	m	0,0120314774654328																						śavas	n	0,00594072952158525			
						jala	n	0,0885708765036346	śikhā	f	0,0114614074608362	svasti	fn	0,0186022843605195	bherī	f	0,0057307037304181	pṛthu	adj	0,00963118270923669																						viyant	n	0,00321039423641223				manīṣin	adj	0,011251381669669																						aṁhas	n	0,005790711099323			
						sattva	n	0,0881208212368479	śayyā	f	0,0114014000919313	dyuti	f	0,018572280676067	dyāvāpṛthivī	f	0,00567069636151319	śatakratu	m	0,00942115691806954																						vipaścit	adj	0,00318039055195978				darśin	adj	0,0108913374562396																						śravas	n	0,00561068899260829			
						varṣa	mn	0,0880008064990381	nāsā	f	0,0113413927230264	raśmi	mf	0,0182122364626376	vārāṇasī	f	0,00564069267706074	aṁśu	m	0,00939115323361709																						trivṛt	adj	0,00294036107634017				vartman	n	0,0106813116650725																						taras	n	0,00558068530815584			
						pada	mn	0,0872807180721793	umā	f	0,0112813853541215	kavi	m	0,0180922217248278	harītakī	f	0,00558068530815584	ikṣu	m	0,00891109428237788																						śaktimat	adj	0,00288035370743527				dhārin	adj	0,0106213042961676																						enas	n	0,00501061530355928			
						aṅga	n	0,0868306628053925	surā	f	0,011251381669669	vṛṣṭi	f	0,0180622180403754	guḍūcī	f	0,00546067057034604	bhīru	adj	0,00870106849121072																						parāvat	f	0,00285035002298282				durātman	adj	0,0105012895583578																						garīyas	adj	0,00489060056574947			
						anna	n	0,0867406517520351	rujā	f	0,0110713595629543	ākṛti	f	0,0180022106714705	nagarī	f	0,00543066688589359	dasyu	m	0,00834102427778131																						śastrabhṛt	m	0,00285035002298282				maghavan	m	0,0104712858739053																						sadas	n	0,00465057109012987			
						bhāga	m	0,0865906333297729	rakṣā	f	0,0109213411406921	kīrti	f	0,0178521922492082	vāṇī	f	0,00531065214808378	svayambhu	m	0,00825101322442396																						trayastriṁśat	f	0,00279034265407792				caturdaśan	adj	0,0104112785050004																						vedhas	m	0,00447054898341516			
						śabda	m	0,0865006222764155	vacā	f	0,01065130798062	atithi	m	0,0173421296135165	pṛthvī	f	0,00522064109472643	yadu	m	0,00825101322442396																						arvant	m	0,00273033528517302				śaśin	m	0,0102612600827382																						bhās	fn	0,00426052319224801			
						rāja	m	0,0864406149075106	līlā	f	0,010381274820548	kapi	m	0,0168920743467298	hrī	f	0,00516063372582153	abhimanyu	m	0,00738090637530289																						prajāvat	adj	0,00273033528517302				āśin	adj	0,0098712121848563																						balīyas	adj	0,0040805010855333			
						mantra	mn	0,085930552271819	vasudhā	f	0,0103212674516431	pravṛtti	f	0,0165920375022053	aśmarī	mf	0,00513063004136908	ikṣvāku	m	0,00717088058413573																						garutmant	m	0,00270033160072057				majjan	m	0,00978120113149895																						uśanas	m	0,0040805010855333			
						soma	m	0,0852104638449602	vasā	f	0,0102912637671906	kali	m	0,016442019079943	satyavatī	f	0,00504061898801173	tantu	m	0,00669082163289652																						taḍit	f	0,00261032054736322				sukhin	adj	0,0096911900781416																						jyāyas	adj	0,00387047529436615			
						bhāva	m	0,0850304417382454	sitā	f	0,0102012527138333	mahīpati	m	0,0162619969732283	jagatī	f	0,00501061530355928	aṇu	adj	0,00663081426399162																						jāmbavant	m	0,00258031686291077				hārin	adj	0,00951116797142689																						kanīyas	adj	0,00381046792546125			
						gṛha	mn	0,0847604085781734	guṭikā	f	0,0101412453449284	kṣiti	f	0,0162019896043234	devakī	f	0,00495060793465438	śigru	mfn	0,00645079215727691																						ṣaṭtriṁśat	f	0,00240029475619606				eṣin	adj	0,00942115691806954																						andhas	n	0,0037804642410088			
						vacana	n	0,0847604085781734	pratijñā	f	0,00978120113149895	utpatti	f	0,0158719490753465	śacī	f	0,00486059688129702	śvayathu	m	0,00621076268165731																						napāt	m	0,00231028370283871				varman	mn	0,00939115323361709																						bhūriśravas	m	0,0037804642410088			
						dvija	m	0,0847004012092685	guhā	f	0,00966118639368915	drauṇi	m	0,015511904861917	urvī	f	0,00486059688129702	madhu	m	0,0060907479438475																						bhūbhṛt	m	0,00228028001838626				ekādaśan	adj	0,00921113112690238																						mahas	n	0,0037804642410088			
						vākya	n	0,0834402464622656	velā	f	0,00966118639368915	sārathi	m	0,015511904861917	śamī	f	0,00465057109012987	setu	m	0,00606074425939505																						marutvat	adj	0,00216026528057645				pāpman	m	0,00912112007354503																						sajoṣas	adj	0,00348042739648429			
						vīrya	n	0,0834102427778131	jaṭā	f	0,00960117902478424	adhipati	m	0,0154819011774646	sundarī	f	0,00462056740567742	ṛju	adj	0,0060307405749426																						revat	adj	0,00210025791167155				sākṣin	m	0,00906111270464013																						dos	n	0,00339041634312694			
