"от -300 до 200"	au	1=0.06%	"от -300 до 200"	a	1180=69.45%	"от -300 до 200"	ā	90=5.30%	"от -300 до 200"	i	117=6.89%	"от -300 до 200"	ī	43=2.53%	"от -300 до 200"	u	57=3.35%	"от -300 до 200"	ū	3=0.18%	"от -300 до 200"	o	1=0.06%	"от -300 до 200"	ṛ	16=0.94%	"от -300 до 200"	j	3=0.18%	"от -300 до 200"	c	4=0.24%	"от -300 до 200"	dh	2=0.12%	"от -300 до 200"	t	36=2.12%	"от -300 до 200"	d	8=0.47%	"от -300 до 200"	n	86=5.06%	"от -300 до 200"	p	1=0.06%	"от -300 до 200"	r	3=0.18%	"от -300 до 200"	v	1=0.06%	"от -300 до 200"	ṣ	1=0.06%	"от -300 до 200"	ś	3=0.18%	"от -300 до 200"	s	42=2.47%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
			vividha	adj	0,07758				devarṣi	m	0,00790																																																			
			dhana	n	0,07748				mūrti	f	0,00790																																																			
			manuṣya	m	0,07674				vedi	f	0,00762																																																			
			vyāghra	m	0,07674				rāśi	mf	0,00753																																																			
			pitāmaha	m	0,07646				yati	m	0,00753																																																			
			haya	m	0,07628				prabhṛti	f	0,00753																																																			
			upama	adj	0,07572				dāśarathi	m	0,00753																																																			
			gandharva	m	0,07535				ūrmi	mf	0,00734																																																			
			deśa	m	0,07498				atri	m	0,00715																																																			
			prāṇa	m	0,07470																																																									
			gaja	m	0,07460																																																									
			pāda	m	0,07433																																																									
			yoga	m	0,07377																																																									
			kṣatriya	m	0,07330																																																									
			sūrya	m	0,07219																																																									
			svarga	m	0,07126																																																									
			vikrama	m	0,07005																																																									
			dāna	n	0,06931																																																									
			īśvara	m	0,06894																																																									
			tala	mn	0,06894																																																									
			jñāna	n	0,06819																																																									
			vara	mn	0,06810																																																									
			yama	m	0,06810																																																									
			sura	m	0,06810																																																									
			asura	m	0,06801																																																									
			śarīra	n	0,06754																																																									
			varṇa	mn	0,06745																																																									
			ratna	mn	0,06726																																																									
			bhāva	m	0,06671																																																									
			mūla	mn	0,06643																																																									
			dhvaja	mn	0,06578																																																									
			pāpa	adj	0,06541																																																									
			sūta	m	0,06513																																																									
			ja	adj	0,06476																																																									
			śastra	n	0,06466																																																									
			vaśa	m	0,06411																																																									
			pāpa	n	0,06336																																																									
			siṁha	m	0,06308																																																									
			ārta	adj	0,06206																																																									
			mṛga	m	0,06178																																																									
			agra	n	0,06113																																																									
			jīvita	n	0,06113																																																									
			satya	adj	0,06058																																																									
			tattva	n	0,05955																																																									
			kaunteya	m	0,05937																																																									
			vāsudeva	m	0,05909																																																									
			hasta	mn	0,05909																																																									
			ātmaja	m	0,05890																																																									
			aṅga	n	0,05862																																																									
			citra	adj	0,05844																																																									
			doṣa	mn	0,05835																																																									
			sāgara	m	0,05816																																																									
			anyonya	adj	0,05760																																																									
			sugrīva	m	0,05686																																																									
			kāraṇa	n	0,05630																																																									
			saṁgrāma	mn	0,05584																																																									
			bhīma	adj	0,05509																																																									
			pāñcāla	m	0,05509																																																									
			pura	n	0,05491																																																									
			adhipa	m	0,05426																																																									
			puṣpa	n	0,05398																																																									
			saṁyuga	n	0,05370																																																									
			nagara	mn	0,05314																																																									
			anīka	mn	0,05277																																																									
			dhārtarāṣṭra	m	0,05268																																																									
			vṛddha	adj	0,05268																																																									
			āhava	m	0,05249																																																									
			śakya	adj	0,05194																																																									
			jaya	m	0,05128																																																									
			jala	n	0,05128																																																									
			kaurava	m	0,05110																																																									
			vṛkṣa	m	0,05101																																																									
			samaya	m	0,05036																																																									
			kṣaya	m	0,05026																																																									
			prasāda	m	0,05008																																																									
			dānava	m	0,04980																																																									
			anna	n	0,04952																																																									
			daṇḍa	mn	0,04933																																																									
			maya	adj	0,04915																																																									
			prājña	adj	0,04906																																																									
			kāya	m	0,04887																																																									
			yodha	m	0,04887																																																									
			vajra	mn	0,04878																																																									
			iṣvāsa	m	0,04859																																																									
			sattva	n	0,04850																																																									
			āditya	m	0,04840																																																									
			dharmarāja	m	0,04840																																																									
			saṁgha	m	0,04831																																																									
			ugra	adj	0,04822																																																									
			mārga	m	0,04822																																																									
			samudra	m	0,04794																																																									
			antara	n	0,04757																																																									
			śāstra	n	0,04757																																																									
			nandana	m	0,04729																																																									
			tīrtha	mn	0,04701																																																									
			paraspara	adj	0,04692																																																									
			sthāna	n	0,04655																																																									
			dāruṇa	adj	0,04645																																																									
			citta	n	0,04617																																																									
			hita	n	0,04608																																																									
			adharma	m	0,04571																																																									
			śaila	mn	0,04562																																																									
			parākrama	m	0,04534																																																									
			āsana	n	0,04534																																																									
			deha	mn	0,04515																																																									
			keśava	m	0,04506																																																									
			mitra	mn	0,04478																																																									
			sadṛśa	adj	0,04460																																																									
			dhṛṣṭadyumna	m	0,04460																																																									
			pada	mn	0,04450																																																									
			pāvaka	m	0,04432																																																									
			hṛdaya	n	0,04432																																																									
			mantra	mn	0,04422																																																									
			megha	m	0,04422																																																									
			tīkṣṇa	adj	0,04404																																																									
			moha	m	0,04376																																																									
			gandha	mn	0,04376																																																									
			śārdūla	m	0,04348																																																									
			ogha	m	0,04339																																																									
			lakṣaṇa	n	0,04320																																																									
			viṣaya	mn	0,04320																																																									
			buddha	m	0,04311																																																									
			nārada	m	0,04283																																																									
			śīla	mn	0,04274																																																									
			muhūrta	mn	0,04274																																																									
			yakṣa	m	0,04264																																																									
			āyudha	mn	0,04218																																																									
			mahābhāga	adj	0,04172																																																									
			hita	adj	0,04172																																																									
			bhuja	m	0,04162																																																									
			mukhya	adj	0,04144																																																									
			kṛpa	mf	0,04134																																																									
			dakṣiṇa	adj	0,04097																																																									
			paraṁtapa	adj	0,04079																																																									
			anvita	adj	0,04079																																																									
			candra	m	0,04079																																																									
			tulya	adj	0,04032																																																									
			vidura	m	0,04032																																																									
			nitya	adj	0,04014																																																									
			ariṁdama	adj	0,03995																																																									
			vāsa	m	0,03986																																																									
			mātra	n	0,03986																																																									
			kumāra	m	0,03976																																																									
			ākāśa	mn	0,03976																																																									
			druma	m	0,03967																																																									
			sāyaka	m	0,03958																																																									
			anagha	adj	0,03949																																																									
			amātya	m	0,03921																																																									
			alpa	adj	0,03902																																																									
			cakra	n	0,03884																																																									
			śalya	m	0,03874																																																									
			yuga	mn	0,03856																																																									
			narādhipa	m	0,03856																																																									
			gautama	m	0,03837																																																									
			kṣatra	n	0,03791																																																									
			puṁgava	m	0,03772																																																									
			adbhuta	adj	0,03763																																																									
			kuśala	adj	0,03735																																																									
			dhara	adj	0,03735																																																									
			dīrgha	adj	0,03726																																																									
			niścaya	m	0,03716																																																									
			vāsava	m	0,03716																																																									
			amita	adj	0,03679																																																									
			uttara	adj	0,03670																																																									
			kṛtsna	adj	0,03642																																																									
			ārya	adj	0,03642																																																									
			harṣa	m	0,03623																																																									
			dṛḍha	adj	0,03614																																																									
			saṁkhya	n	0,03568																																																									
			dīna	adj	0,03568																																																									
			saṁkāśa	m	0,03540																																																									
