"Объединенное ядро"	au	1=0.01%	"Объединенное ядро"	ai	1=0.01%	"Объединенное ядро"	a	4031=53.53%	"Объединенное ядро"	ā	628=8.34%	"Объединенное ядро"	i	439=5.83%	"Объединенное ядро"	ī	348=4.62%	"Объединенное ядро"	u	218=2.89%	"Объединенное ядро"	ū	39=0.52%	"Объединенное ядро"	o	2=0.03%	"Объединенное ядро"	e	14=0.19%	"Объединенное ядро"	ṛ	125=1.66%	"Объединенное ядро"	kh	3=0.04%	"Объединенное ядро"	gh	1=0.01%	"Объединенное ядро"	k	4=0.05%	"Объединенное ядро"	g	2=0.03%	"Объединенное ядро"	ṭh	1=0.01%	"Объединенное ядро"	ṭ	6=0.08%	"Объединенное ядро"	ḍ	3=0.04%	"Объединенное ядро"	ṇ	3=0.04%	"Объединенное ядро"	ch	5=0.07%	"Объединенное ядро"	j	80=1.06%	"Объединенное ядро"	c	48=0.64%	"Объединенное ядро"	th	7=0.09%	"Объединенное ядро"	dh	54=0.72%	"Объединенное ядро"	t	142=1.89%	"Объединенное ядро"	d	94=1.25%	"Объединенное ядро"	n	314=4.17%	"Объединенное ядро"	bh	19=0.25%	"Объединенное ядро"	p	49=0.65%	"Объединенное ядро"	b	3=0.04%	"Объединенное ядро"	m	69=0.92%	"Объединенное ядро"	y	344=4.57%	"Объединенное ядро"	r	20=0.27%	"Объединенное ядро"	l	10=0.13%	"Объединенное ядро"	v	16=0.21%	"Объединенное ядро"	ṣ	89=1.18%	"Объединенное ядро"	ś	52=0.69%	"Объединенное ядро"	s	199=2.64%	"Объединенное ядро"	h	140=1.86%
						kāla	m	0,22085712125449	dhā	v	0,0650479878929133	vidhi	m	0,0848504196315307	patnī	f	0,0278434191718743	paśu	m	0,0579971220465873	kaṇḍū	f	0,0118814590431705				ave	v	0,00309037949860243	bhṛ	v	0,0392448192638056																												utsṛj	v	0,0255331354690356	yāc	v	0,0165320301333004				rudh	v	0,0251430875711537	kṛt	adj	0,0447654972030565	prasad	v	0,0279334302252317	mahātman	adj	0,0919012854778567	triṣṭubh	f	0,00462056740567742	samprāp	v	0,022832803868315				samāgam	v	0,0209125680633582	darśay	v	0,0347742702803904	dvār	f	0,00750092111311269	val	v	0,00141017316926519	jinv	v	0,00267032791626812	dviṣ	v	0,0197724280541651	upadiś	v	0,020702542272191	dhanus	n	0,0475558398571345	krudh	v	0,0459356408967021
						rūpa	n	0,21926692597851	ādā	v	0,0645379252572216	bhūmi	f	0,0777395464162999	nārī	f	0,0276333933807072	mṛtyu	m	0,0555068162370339	camū	f	0,0106813116650725				pare	v	0,00282034633853037	jṛ	v	0,0388547713659237																												bhiṣaj	m	0,0234928849262689	ṛc	f	0,0159619601287038				yudh	f	0,0235828959796263	dhīmat	adj	0,0313238465683586	mad	v	0,0257731649446552	daśan	adj	0,0886008801880871	anuṣṭubh	f	0,00393048266327105	lip	v	0,0220527080725513				yam	v	0,01983243542307	janay	v	0,0342942113291512	kṣar	v	0,00513063004136908				johav	v	0,00144017685371764	juṣ	v	0,0185422769916146	aś	v	0,0198024317386175	cakṣus	n	0,0435353461405061	vyadh	v	0,0457556187899874
						bala	mn	0,217256679120196	kriyā	f	0,0588072215268035	hari	m	0,0760593400869627	dhī	f	0,02742336758954	śatru	m	0,0496260940843536	bhrū	f	0,0105612969272627				samabhye	v	0,00159019527597989	pṛ	v	0,0312938428839061																												visṛj	v	0,0216926638591219	prativac	v	0,014641798012796				viśudh	v	0,0181822327781852	nivṛt	v	0,0302437139280704	mṛd	f	0,0253231096778684	brahman	n	0,0841903385735768	pratilabh	v	0,00381046792546125	nikṣip	v	0,0182122364626376				anugam	v	0,0191423506806636	sthāpay	v	0,0330040528976958	upacar	v	0,00507062267246418				dhanv	v	0,00126015474700293	viśiṣ	v	0,017642166458041	vinaś	v	0,0163820117110381	tamas	n	0,0429952798203619	vah	v	0,0402349408507365
						ratha	m	0,193133716820426	kanyā	f	0,0555968272903913	śakti	f	0,0741091005975534	śī	v	0,0267932902160385	hu	v	0,0493860646087339	anubhū	v	0,0104112785050004				ve	v	0,00114014000919313	dhṛ	v	0,0287735333899003																												bhañj	v	0,021032582801168	abhiṣic	v	0,0143717648527239				saṁkrudh	v	0,0159619601287038	marut	m	0,0292835960255919	pratipad	v	0,0223227412326234	nāman	n	0,0800198264346862	jṛmbh	v	0,00237029107174361	kup	v	0,0150018422262254				nam	v	0,0174921480357788	bhakṣay	v	0,0302437139280704	pur	f	0,00480058951239212				prāv	v	0,00123015106255048	prekṣ	v	0,0151218569640352	uddiś	v	0,0156019159152744	payas	n	0,0419151471800737	vṛdh	v	0,037474601881111
						phala	n	0,179332021972298	vidyā	f	0,0533765546409099	gati	f	0,0733590084862421	ānī	v	0,0250830802022488	sādhu	adj	0,0482159209150884	sū	v	0,0102912637671906				vye	v	0,000840103164668621	āvṛ	v	0,0285635075987331																												parityaj	v	0,0190523396273062	sic	v	0,0126315511544818				nibudh	v	0,0151218569640352	śrīmat	adj	0,0270033160072057	upapad	v	0,0216926638591219	nihan	v	0,0626476931367172	rabh	v	0,00138016948481274	tṛp	v	0,0147918164350582				āyam	v	0,0170120890845396	āsāday	v	0,0300036844524508	dhur	f	0,00333040897422203				inv	v	0,000990121586930875	avekṣ	v	0,0145217832749862	upaviś	v	0,0145817906438911	rajas	n	0,0419151471800737	yudh	v	0,0354943587072492
						guṇa	mn	0,173421296135165	vijñā	v	0,0516963483115727	siddhi	f	0,064897969470651	atī	v	0,0210625864856204	pāṇḍu	m	0,0471657919592526	prabhū	v	0,00885108691347297							vṛ	v	0,0270633233761106																												ruj	mf	0,0188723175205915	tiryañc	adj	0,0121514922032426				virudh	v	0,0128415769456489	balavat	adj	0,0256831538912978	āpad	v	0,0210925901700729	aṣṭan	adj	0,0609674868073799	nabh	v	0,00126015474700293	gup	v	0,0135916690569602				adhigam	v	0,0168620706622773	yojay	v	0,0277234044340645	īr	v	0,00168020632933724				pradiv	adj	0,000960117902478424	prahṛṣ	v	0,0133516395813406	ādiś	v	0,0136816801103175	śaṁs	v	0,0417951324422639	prāh	v	0,0333640971111252
						puruṣa	m	0,156259188628364	devatā	f	0,0507362304090942	i	v	0,061837593656501	kuntī	f	0,0187222990983293	guru	adj	0,0456956114210825	prādurbhū	v	0,00861105743785337							duhitṛ	f	0,0252631023089635																												vaṇij	m	0,0137416874792224	ruc	v	0,0116114258830984				kṣudh	f	0,0123315143099573	nipat	v	0,0250830802022488	mṛd	v	0,0201924796364994	heman	n	0,0571870225663711	anvārabh	v	0,00108013264028823	śap	v	0,0125415401011244				upagam	v	0,0164120153954906	pātay	v	0,0256831538912978	vār	n	0,00117014369364558				nonāv	v	0,000870106849121072	vīkṣ	v	0,0131716174746259	dṛś	f	0,0126615548389342	ās	v	0,0404449666419036	muh	v	0,0300936955058081
						kāma	m	0,154999033881361	bhāryā	f	0,04872598355078	vahni	m	0,0483059319684457	sarasvatī	f	0,0185422769916146	stu	v	0,045395574576558	udbhū	v	0,00642078847282446							āhṛ	v	0,024092958615318																												vibhaj	v	0,013111610105721	arc	v	0,0107413190339774				nirudh	v	0,0114314037763837	jit	adj	0,0225027633393381	prapad	v	0,0177021738269459	janman	n	0,0466857330080134	dabh	v	0,00105012895583578	vinikṣip	v	0,0117614443053607				bhram	v	0,0162920006576808	pīḍay	v	0,0252330986245111	āśir	f	0,00102012527138333							vṛṣ	v	0,0120914848343377	nirdiś	v	0,012511536416672	puṁs	m	0,0403849592729987	budh	v	0,0291035739188772
						nara	m	0,150348462791231	māyā	f	0,0475858435415869	ityādi	adj	0,0457856224744399	lakṣmī	f	0,0178521922492082	dhātu	mn	0,0443454456207222	dhū	v	0,00558068530815584							uddhṛ	v	0,0211225938545253																												upayuj	v	0,0121514922032426	pramuc	v	0,00939115323361709				bādh	v	0,0113713964074788	asat	adj	0,0224127522859807	vand	v	0,0172821222446116	bhasman	n	0,0431753019270766	śubh	f	0,000960117902478424	vyāp	v	0,0114314037763837				abhigam	v	0,0159619601287038	niveday	v	0,0238529291396984	svar	v	0,000930114218025974							nirīkṣ	v	0,0105913006117151	niś	f	0,0117614443053607	yaśas	n	0,0402649445351889	āruh	v	0,0278434191718743
						śata	mn	0,143687644842787	ākhyā	f	0,0471657919592526	giri	m	0,0447354935186041	pippalī	f	0,0174321406668739	laghu	adj	0,0410750440154051	vidhū	v	0,00519063741027398							tṛ	v	0,0190523396273062																												bhāj	adj	0,0120014737809803	udañc	adj	0,00906111270464013				prasidh	v	0,0108913374562396	bṛhat	adj	0,0215726491213121	rud	v	0,0171321038223494	dvādaśan	adj	0,039274822948258	ribh	v	0,000690084742406367	prakṣip	v	0,0107113153495249				atikram	v	0,0157519343375367	kalpay	v	0,0235228886107214	carkar	v	0,000570070004596564							puṣ	v	0,0101412453449284	bhraṁś	v	0,00933114586471219	rakṣas	n	0,0386147418903041	vadh	v	0,0275433823273498
						doṣa	mn	0,136786797418723	snā	v	0,0434453350871487	prakṛti	f	0,0442554345673649	purī	f	0,0174021369824214	prabhu	m	0,0397248782150448	prabrū	v	0,00507062267246418							savitṛ	m	0,0179422033025656																												asṛj	n	0,011911462727623	pratyañc	adj	0,00765093953537494				samṛdh	v	0,0102012527138333	āyuṣmat	adj	0,0210925901700729	mud	v	0,0162319932887759	mūrdhan	m	0,0355543660761541				anuprāp	v	0,0105913006117151				nirgam	v	0,0141917427460092	arcay	v	0,0228628075527675	dardar	v	0,000570070004596564							viṣ	f	0,010051234291571	praṇaś	v	0,00855105006894847	sarpis	n	0,0337241413245547	rudh	v	0,0251430875711537
						brāhmaṇa	m	0,136696786365366	utthā	v	0,039604863477235	yoni	mf	0,0435053424560536	adhī	v	0,016442019079943	mṛdu	adj	0,034414226066961	paribhū	v	0,00405049740108085							udāhṛ	v	0,0178221885647558																												sañj	v	0,0109213411406921	nirmuc	v	0,00723088795304063				samidh	f	0,0098112048159514	vīryavat	adj	0,0182722438315425	sad	v	0,0160519711820612	śleṣman	m	0,0345942481736757				saṁtap	v	0,0104412821894529				upasaṁkram	v	0,0122415032565999	kīrtay	v	0,0210925901700729										īkṣ	v	0,0097511974470465	daṁś	v	0,00822100953997151	ojas	n	0,0317739018351454	ārabh	v	0,0244530028287474
						yoga	m	0,135796675831792	saṁjñā	f	0,0395448561083301	bhakti	f	0,0431452982426242	sakhī	f	0,0164120153954906	dru	v	0,0299436770835459	samudbhū	v	0,0039604863477235							hotṛ	m	0,0171621075068018																												añj	v	0,0107413190339774	vinirmuc	v	0,00669082163289652				vivṛdh	v	0,0080409874332568	hanumant	m	0,0159319564442514	nud	adj	0,0157219306530842	yogin	m	0,0334541081644826				kﾱp	v	0,00984120850040385				saṁgam	v	0,0118514553587181	vivarjay	v	0,0208525606944533										śikṣ	v	0,00942115691806954	upaspṛś	v	0,0077409505887323	cetas	n	0,031683890781788	yudh	f	0,0235828959796263
						bhūta	mn	0,125895459962483	prayā	v	0,0391548082104482	śuci	adj	0,0420951692867884	gāyatrī	f	0,0150018422262254	vibhu	adj	0,0292835960255919	uddhū	v	0,00369045318765144							kartṛ	adj	0,0171621075068018																												rāj	v	0,0105012895583578	atiric	v	0,00606074425939505				pravṛdh	v	0,00654080321063427	sarit	f	0,0152718753862974	niṣad	v	0,0150918532795827	pathin	m	0,030153702874713				vilap	v	0,00897110165128278				kṣam	v	0,0118214516742656	jāray	v	0,01983243542307										samīkṣ	v	0,00933114586471219	prakāś	v	0,00771094690427985	vāsas	n	0,0304537397192375	pratigrah	v	0,0208525606944533
						sahasra	mn	0,124035231526431	prabhā	f	0,037804642410088	pāṇi	m	0,0411650550687624	nāḍī	f	0,0134116469502455	kaṭu	adj	0,0288635444432576	bhasmībhū	v	0,00312038318305488							alaṁkṛ	v	0,0162319932887759																												virāj	v	0,0104412821894529	sac	v	0,00600073689049015				samindh	v	0,0060907479438475	yat	v	0,0152718753862974	āpad	f	0,0138917059014847	navan	adj	0,0263732386337042				samāp	v	0,00738090637530289				upāgam	v	0,0116714332520033	pūray	v	0,0189923322584013										parīkṣ	v	0,00915112375799748	īś	v	0,00735090269085044	praśaṁs	v	0,0291935849722346	viśudh	v	0,0181822327781852
						parama	adj	0,123795202050812	āsthā	v	0,0357343881828689	vṛtti	f	0,04113505138431	draupadī	f	0,0124515290477671	manu	m	0,0273933639050875	nū	v	0,00297036476079263							prakṛ	v	0,0160819748665136																												ṛtvij	m	0,0102612600827382	abhyarc	v	0,00570070004596564				avarudh	v	0,00588072215268035	yoṣit	f	0,0144917795905337	saṁvid	f	0,0132616285279832	han	adj	0,0261332091580846				kamp	v	0,00660081057953917				ākram	v	0,0115514185141935	coday	v	0,0182722438315425										anviṣ	v	0,00882108322902052	dāś	v	0,00717088058413573	vidvas	adj	0,0285635075987331	paṭh	v	0,0164120153954906
						uttama	adj	0,122925095201691	śilā	f	0,0339641708001743	rātri	f	0,0402349408507365	vaidehī	f	0,0120614811498852	ambu	n	0,0271533344294679	śvaśrū	f	0,00252030949400586							saṁvṛ	v	0,0154218938085597																												samāyuj	v	0,0102312563982857	sampravac	v	0,00516063372582153				indh	v	0,00552067793925094	tāvat	adj	0,0143417611682715	nad	v	0,013111610105721	vādin	adj	0,0257431612602027				ākṣip	v	0,00618075899720486				vigam	v	0,0113413927230264	vāray	v	0,0174021369824214										iṣ	f	0,00882108322902052	prāś	v	0,00696085479296858	jyotis	n	0,0277234044340645	sah	v	0,0160219674976087
						śara	m	0,120794833605567	gadā	f	0,0338741597468169	mati	f	0,0395448561083301	dhātrī	f	0,0109213411406921	bhikṣu	m	0,027093327060563	varṣābhū	f	0,00231028370283871							vikṛ	v	0,0153618864396548																												niyuj	v	0,00966118639368915	vipac	v	0,00468057477458232				prabudh	v	0,00537065951698869	vidyut	fn	0,0142817537993666	śarad	f	0,0123915216788622	aśvin	m	0,0252330986245111				pradīp	v	0,00549067425479849				dam	v	0,00921113112690238	pālay	v	0,0165020264488479										ākṛṣ	v	0,00837102796223376	samāviś	v	0,00696085479296858	upās	v	0,0261932165269895	saṁkrudh	v	0,0159619601287038
						anta	m	0,118094502004846	pradā	v	0,0337241413245547	prīti	f	0,0377146313567306	rajanī	f	0,0108913374562396	indu	m	0,0269133049538483	nimbū	f	0,00210025791167155							avatṛ	v	0,0148518238039631																												sraj	f	0,00957117534033179	ric	v	0,0038404716099137				nibandh	v	0,00519063741027398	himavant	m	0,0130816064212685	sampad	f	0,012181495887695	parvan	n	0,0234028738729116				prasvap	v	0,00519063741027398				praśam	v	0,00909111638909258	prakīrtay	v	0,0163220043421332										abhibhāṣ	v	0,007920972695447	kruś	v	0,00693085110851613	vapus	n	0,0244229991442949	upalabh	v	0,0157819380219891
						ja	adj	0,11752443200025	kathā	f	0,0333340934266728	vyādhi	m	0,0365744913475375	vī	v	0,0105913006117151	ṛtu	m	0,0251730912556062	ekībhū	v	0,00204025054276665							kartṛ	m	0,0146718016972484																												majj	v	0,00936114954916464	arvāñc	adj	0,00372045687210389				vīrudh	f	0,00459056372122497	yāvat	adj	0,0129915953679112	gad	v	0,0117314406209082	arthin	adj	0,0231328407128395				paryāp	v	0,00474058214348722				śram	v	0,00888109059792543	tarpay	v	0,0159319564442514										kṛṣ	v	0,0078609653265421	vaś	v	0,00657080689508672	apsaras	f	0,0234928849262689	nibudh	v	0,0151218569640352
						mukha	n	0,115094133559601	āyā	v	0,0324339828930993	prajāpati	m	0,035674380813964	vinī	v	0,0102612600827382	prabhu	adj	0,0246630286199145	jū	v	0,0020102468583142							vihṛ	v	0,0146117943283435																												saṁsṛj	v	0,00849104270004357	vivic	v	0,00360044213429409				pratibudh	v	0,00450055266786761	bhṛt	adj	0,0117614443053607	ad	v	0,0107713227184298	balin	adj	0,0227427928149577				vikṣip	v	0,00474058214348722				vikram	v	0,00873107217566317	arday	v	0,0156919269686318										tṛṣ	f	0,0078609653265421	niviś	v	0,00639078478837201	ambhas	n	0,0222627338637185	śubh	v	0,0141917427460092
						priya	adj	0,113053883016834	sītā	f	0,0298536660301885	maṇi	m	0,0351043108093674	putrī	f	0,00984120850040385	tanu	f	0,024092958615318	anubrū	v	0,00186022843605195							parivṛ	v	0,014041724323747																												pariṣvaj	v	0,00846103901559112	parāñc	adj	0,00333040897422203				ṛdh	v	0,00432053056115291	pratāpavat	adj	0,0112813853541215	svid	v	0,0106813116650725	sāman	n	0,021632656490217				saṁkṣip	v	0,00450055266786761				ācam	v	0,00858105375340092	lakṣay	v	0,0149718385417729										upekṣ	v	0,00699085847742103	saṁspṛś	v	0,00618075899720486	nyas	v	0,0220827117570038	likh	v	0,0132616285279832
						yajña	m	0,112303790905523	dhyā	v	0,0296436402390214	koṭi	f	0,0346542555425806	sthālī	f	0,00972119376259405	kratu	m	0,0235528922951739	avadhū	v	0,00186022843605195							namaskṛ	v	0,013381643265793																												udvij	v	0,00756092848201759	vyatiric	v	0,00303037212969753				avabudh	v	0,00405049740108085	etāvat	adj	0,011251381669669	khād	v	0,010381274820548	kārin	adj	0,0214526343835023				vap	v	0,00447054898341516				unnam	v	0,00858105375340092	parivāray	v	0,0149418348573205										saṁhṛṣ	v	0,00669082163289652	kliś	v	0,0059107258371328	havis	n	0,0219026896502891	guh	v	0,0131716174746259
