"от 200 до 700"	au	1=0.04%	"от 200 до 700"	a	1893=70.22%	"от 200 до 700"	ā	171=6.34%	"от 200 до 700"	i	191=7.08%	"от 200 до 700"	ī	60=2.23%	"от 200 до 700"	u	88=3.26%	"от 200 до 700"	ū	4=0.15%	"от 200 до 700"	o	1=0.04%	"от 200 до 700"	ṛ	23=0.85%	"от 200 до 700"	k	1=0.04%	"от 200 до 700"	j	7=0.26%	"от 200 до 700"	c	6=0.22%	"от 200 до 700"	dh	3=0.11%	"от 200 до 700"	t	41=1.52%	"от 200 до 700"	d	11=0.41%	"от 200 до 700"	n	127=4.71%	"от 200 до 700"	p	1=0.04%	"от 200 до 700"	r	4=0.15%	"от 200 до 700"	v	1=0.04%	"от 200 до 700"	ṣ	4=0.15%	"от 200 до 700"	ś	4=0.15%	"от 200 до 700"	s	52=1.93%
			phala	n	0,21975	ākhyā	f	0,04581	gati	f	0,09034	devayānī	f	0,02819	sādhu	adj	0,04485							kartṛ	m	0,01634													dhīmat	adj	0,02242	pariṣad	f	0,00609	brahman	n	0,08009																vacas	n	0,04677
			kāma	m	0,20918	devatā	f	0,04485	vṛtti	f	0,08681	sakhī	f	0,01794	bhikṣu	m	0,04196							savitṛ	m	0,01345													marut	m	0,02146	saṁvid	f	0,00545	aṣṭan	adj	0,07336																cakṣus	n	0,04325
			puruṣa	m	0,17779	icchā	f	0,03524	hari	m	0,08617	purī	f	0,01666	prabhu	m	0,04132							śāstṛ	m	0,01313													tāvat	adj	0,01954				mahātman	adj	0,05478																āyus	n	0,04261
			bala	mn	0,17170	kalā	f	0,03267	pati	m	0,08521	gāyatrī	f	0,01570	dhātu	mn	0,03876							bhavitṛ	adj	0,00833													sarit	f	0,01730				yogin	m	0,04453																apsaras	f	0,04132
			brāhmaṇa	m	0,17042	saṁdhyā	f	0,03203	śakti	f	0,07208	devakī	f	0,01506	vibhu	adj	0,03203							kretṛ	adj	0,00769													balavat	adj	0,01634				dvādaśan	adj	0,04293																vidvas	adj	0,04132
			śata	mn	0,16658	prabhā	f	0,03203	jāti	f	0,06823	gopī	f	0,01409	madhu	n	0,03139							śrotṛ	adj	0,00737													śrīmat	adj	0,01538				arthin	adj	0,03620																vapus	n	0,03652
			guṇa	mn	0,16433	kathā	f	0,02979	giri	m	0,06279	urvaśī	f	0,01281	bandhu	m	0,03139							vikretṛ	m	0,00705													yāvat	adj	0,01538				svāmin	m	0,03492																yaśas	n	0,03428
			indra	m	0,15985	gaṅgā	f	0,02723	sthiti	f	0,05798	dhī	f	0,01281	prabhu	adj	0,03107							māndhātṛ	m	0,00705													arhant	m	0,01474				navan	adj	0,03396																vayas	n	0,02915
			daṇḍa	mn	0,15761	śayyā	f	0,02691	siddhi	f	0,05766	urvī	f	0,01249	ambu	n	0,02883							tvaṣṭṛ	m	0,00705													himavant	m	0,01474				pathin	m	0,03267																jyotis	n	0,02819
			dvija	m	0,15665	aṅganā	f	0,02627	prīti	f	0,05766	trayī	f	0,01249	tanu	f	0,02883							gantṛ	adj	0,00705													vidyut	fn	0,01442				bhasman	n	0,03011																ambhas	n	0,02563
			sahasra	mn	0,15472	chāyā	f	0,02467	pāṇi	m	0,05414	vāpī	f	0,01217	ṛtu	m	0,02787							draṣṭṛ	m	0,00641													ātmavat	adj	0,01249				mūrdhan	m	0,03011																payas	n	0,02531
			daitya	m	0,15440	pūjā	f	0,02467	śuci	adj	0,05350	gaurī	f	0,01121	meru	m	0,02787							sraṣṭṛ	m	0,00577													guṇavat	adj	0,01185				sākṣin	m	0,02979																rajas	n	0,02435
			yoga	m	0,15120	gadā	f	0,02435	mati	f	0,05318	dāsī	f	0,01121	śatru	m	0,02659							hantṛ	adj	0,00545													pañcāśat	f	0,01153				vādin	adj	0,02947																saras	n	0,02435
			bhūta	mn	0,14383	dakṣiṇā	f	0,02338	rātri	f	0,05318	maitrī	f	0,01089	vasu	mn	0,02595							vaktṛ	m	0,00513													triṁśat	f	0,01121				heman	n	0,02883																dhanus	n	0,02371
			duḥkha	n	0,13967	ājñā	f	0,02306	vṛddhi	f	0,05061	rohiṇī	f	0,01025	indu	m	0,02563																						vivasvant	m	0,01121				rūpin	adj	0,02499																ojas	n	0,02146
			anta	m	0,13935	saṁkhyā	f	0,02210	maṇi	m	0,04933	sāvitrī	f	0,01025	ūru	mf	0,02467																						bhṛt	adj	0,00961				hastin	m	0,02499																śreyas	n	0,02114
			suta	m	0,13871	hiṁsā	f	0,02210	bhakti	f	0,04901	mahiṣī	f	0,00961	vastu	n	0,02467																						mahant	m	0,00961				śvan	m	0,02467																havis	n	0,01890
			vipra	m	0,13294	latā	f	0,02178	prakṛti	f	0,04613	brāhmaṇī	f	0,00961	mṛdu	adj	0,02403																						vīryavat	adj	0,00961				kārin	adj	0,02403																nabhas	n	0,01762
			nara	m	0,13102	śraddhā	f	0,02114	prajāpati	m	0,04613	caturdaśī	f	0,00961	yadu	m	0,02242																						āyuṣmat	adj	0,00897				prāṇin	m	0,02210																rakṣas	n	0,01762
			bhāva	m	0,12942	krīḍā	f	0,02082	rati	f	0,04485	kumārī	f	0,00929	hiraṇyakaśipu	m	0,02210																						dvātriṁśat	f	0,00833				pakṣin	m	0,02082																vakṣas	n	0,01762
			varṣa	mn	0,12718	śilā	f	0,02050	yoni	mf	0,04453	satī	f	0,00897	jantu	m	0,02178																						viyant	n	0,00833				vāsin	adj	0,02082																mās	m	0,01762
			jana	m	0,12718	prajñā	f	0,01954	kali	m	0,03876	sarasvatī	f	0,00897	taru	m	0,02050																						bṛhat	adj	0,00801				sāman	n	0,02082																yajus	n	0,01506
			parama	adj	0,12685	cintā	f	0,01922	dṛṣṭi	f	0,03844	bhaginī	f	0,00865	jānu	mn	0,01986																						kiyat	adj	0,00769				dhārin	adj	0,01986																aṅgiras	m	0,01377
			doṣa	mn	0,12493	avasthā	f	0,01922	smṛti	f	0,03844	pṛthvī	f	0,00865	cāru	adj	0,01890																						mūrtimat	adj	0,00641				brahmacārin	m	0,01954																candramas	m	0,01377
			uttama	adj	0,12365	jihvā	f	0,01922	pravṛtti	f	0,03780	śrāvastī	f	0,00833	ripu	m	0,01794																						pratāpavat	adj	0,00641				mantrin	m	0,01890																arcis	f	0,01345
			nṛpa	m	0,11949	tārā	f	0,01890	yayāti	m	0,03652	goṣṭhī	f	0,00833	guru	adj	0,01794																						bhūbhṛt	m	0,00609				balin	adj	0,01890																rahas	n	0,01345
			viṣaya	mn	0,11821	sutā	f	0,01890	ravi	m	0,03588	medinī	f	0,00833	dhenu	f	0,01762																						etāvat	adj	0,00609				carman	n	0,01858																enas	n	0,01185
			mukha	n	0,11756	avidyā	f	0,01858	ari	m	0,03524	jananī	f	0,00769	pṛthu	m	0,01506																						buddhimat	adj	0,00609				dehin	m	0,01858																śreyas	adj	0,01185
			kārya	n	0,11724	tretā	f	0,01826	śuddhi	f	0,03428	oṣadhī	f	0,00769	kratu	m	0,01474																						rūpavat	adj	0,00577				parvan	n	0,01762																retas	n	0,01121
			vana	n	0,11500	bhikṣā	f	0,01794	utpatti	f	0,03396	saptamī	f	0,00737	bhṛgu	m	0,01345																						matimat	adj	0,00545				veśman	n	0,01698																sarpis	n	0,01121
			gṛha	mn	0,11500	līlā	f	0,01794	bṛhaspati	m	0,03364	dharaṇī	f	0,00737	pūru	m	0,01313																						garutmant	m	0,00545				adhvan	m	0,01666																ayas	n	0,01089
			indriya	n	0,11340	yamunā	f	0,01762	śānti	f	0,03332	putrī	f	0,00737	aśru	mn	0,01281																						arthavat	adj	0,00481				han	adj	0,01570																divaukas	m	0,00993
			jñāna	n	0,11308	mālā	f	0,01762	bali	m	0,03332	paurṇamāsī	f	0,00737	sūnu	m	0,01249																												aśvin	m	0,01538																uras	n	0,00865
			pāda	m	0,11276	śarmiṣṭhā	f	0,01762	koṭi	f	0,03171	ṣaṣṭhī	f	0,00705	śambhu	m	0,01249																												gāmin	adj	0,01538																purūravas	m	0,00865
			sukha	n	0,11148	tṛṣṇā	f	0,01666	mūrti	f	0,03139	dūtī	f	0,00705	madhu	m	0,01217																												dhāman	n	0,01442																sahas	n	0,00801
			dānava	m	0,11148	nidrā	f	0,01634	samādhi	m	0,02979	sapatnī	f	0,00673	kuru	m	0,01185																												cārin	adj	0,01442																pracetas	m	0,00801
			citta	n	0,11116	samā	f	0,01602	raśmi	mf	0,02819	hrī	f	0,00673	āśu	adj	0,01185																												ṣoḍaśan	adj	0,01409																uśanas	m	0,00737
			darśana	n	0,11116	maryādā	f	0,01570	vahni	m	0,02723	aṭavī	f	0,00641	iṣu	mf	0,01185																												dhanin	adj	0,01345																srotas	n	0,00737
			kāraṇa	n	0,11084	surā	f	0,01570	prāpti	f	0,02723	payasvinī	f	0,00641	tanu	adj	0,01185																												roman	n	0,01313																varcas	n	0,00705
			maya	adj	0,11020	gāthā	f	0,01538	śruti	f	0,02563	bhāminī	f	0,00641	caru	m	0,01153																												cakravartin	m	0,01281																chandas	n	0,00673
			asura	m	0,10988	veśyā	f	0,01538	vyādhi	m	0,02371	dvādaśī	f	0,00641	ikṣu	m	0,01153																												bhāvin	adj	0,01249																garīyas	adj	0,00673
			varṇa	mn	0,10635	sabhā	f	0,01506	dvijāti	m	0,02338	rukmiṇī	f	0,00609	ketu	m	0,01121																												durātman	adj	0,01249																yavīyas	adj	0,00641
			yajña	m	0,10603	ceṣṭā	f	0,01506	atithi	m	0,02306	aṣṭamī	f	0,00577	bhānu	m	0,01121																												āśin	adj	0,01217																bhūyas	adj	0,00513
			deśa	m	0,10603	tulā	f	0,01409	nṛpati	m	0,02306	pañcadaśī	f	0,00545	setu	m	0,01089																												vyoman	mn	0,01217																		
			jala	n	0,10411	śākhā	f	0,01377	vāri	n	0,02306	dhātrī	f	0,00545	laghu	adj	0,01057																												śaśin	m	0,01217																		
			dhana	n	0,10347	vasudhā	f	0,01345	tṛpti	f	0,02274	sthālī	f	0,00545	svayambhu	m	0,01057																												yuvan	m	0,01185																		
			sūrya	m	0,10155	umā	f	0,01281	upapatti	f	0,02178	kāminī	f	0,00513	aṇu	adj	0,01057																												vājin	m	0,01121																		
			mūla	mn	0,09995	saṁhitā	f	0,01249	dyuti	f	0,02114	jāhnavī	f	0,00513	veṇu	m	0,00993																												manīṣin	adj	0,01089																		
			parāśara	m	0,09963	vārttā	f	0,01249	vṛṣṭi	f	0,02114	sundarī	f	0,00513	aṁśu	m	0,00961																												śreṣṭhin	m	0,01089																		
			veda	m	0,09963	rakṣā	f	0,01249	asthi	n	0,02050	caturthī	f	0,00513	ikṣvāku	m	0,00961																												darśin	adj	0,01089																		
			anna	n	0,09706	velā	f	0,01249	ākṛti	f	0,02050	bhavānī	f	0,00481	śiśu	m	0,00961																												tapasvin	m	0,01057																		
			kula	n	0,09642	niśā	f	0,01217	dadhi	n	0,02050				ahetu	m	0,00865																												caturdaśan	adj	0,01025																		
			vrata	n	0,09610	yātrā	f	0,01217	sṛṣṭi	f	0,02018				bindu	mn	0,00833																												ekādaśan	adj	0,00993																		
			ādya	adj	0,09482	svadhā	f	0,01217	dhṛti	f	0,01954				ṛbhu	m	0,00801																												aśman	mn	0,00993																		
			īśvara	m	0,09482	kāṣṭhā	f	0,01185	mahīpati	m	0,01922				bhīru	adj	0,00801																												trayodaśan	adj	0,00993																		
			sura	m	0,09482	ahiṁsā	f	0,01153	oṣadhi	mf	0,01890				jambu	f	0,00801																												pāpman	m	0,00929																		
			sthāna	n	0,09482	mātā	f	0,01153	jñāti	m	0,01890				dāru	mn	0,00801																												sākṣin	adj	0,00929																		
			śarīra	n	0,09482	jvālā	f	0,01121	kīrti	f	0,01858				rāhu	m	0,00801																												vartin	adj	0,00897																		
			pada	mn	0,09354	guhā	f	0,01121	mukti	f	0,01858				śatakratu	m	0,00769																												rogin	adj	0,00897																		
			gaṇa	m	0,09194	pīḍā	f	0,01121	nābhi	f	0,01794				kāru	mf	0,00737																												sāman	n	0,00897																		
			śabda	m	0,09130	caryā	f	0,01121	kṣiti	f	0,01794				rajju	mf	0,00705																												paramātman	m	0,00865																		
			kṛṣṇa	m	0,08937	niṣṭhā	f	0,01089	adhipati	m	0,01794				manyu	mf	0,00673																												marman	n	0,00865																		
			pāpa	n	0,08777	dhārā	f	0,01089	saptarṣi	m	0,01698				śaṁtanu	m	0,00673																												sambandhin	adj	0,00865																		
			ratha	m	0,08681	dhāraṇā	f	0,01057	aśuci	adj	0,01698				kamaṇḍalu	mn	0,00641																												nivāsin	adj	0,00833																		
			stha	adj	0,08681	vāsanā	f	0,01057	adri	m	0,01666				aṇu	m	0,00641																												vidyunmālin	m	0,00833																		
			divya	adj	0,08553	mātrā	f	0,01057	ṣaṣṭi	f	0,01666				ṛju	adj	0,00609																												gṛhin	m	0,00801																		
			bhaya	n	0,08521	tṛtīyā	f	0,01057	anādi	adj	0,01634				sādhu	m	0,00609																												anusārin	adj	0,00769																		
			hasta	mn	0,08521	dayā	f	0,01057	diti	f	0,01634				dasyu	m	0,00609																												bhāgin	adj	0,00769																		
			lakṣaṇa	n	0,08489	mekhalā	f	0,01057	akṣi	n	0,01602				turvasu	m	0,00577																												aṣṭādaśan	adj	0,00769																		
			mātra	n	0,08457	pratiṣṭhā	f	0,01057	mahāmati	adj	0,01570				pāṁsu	m	0,00577																												hārin	adj	0,00769																		
			ja	adj	0,08329	muktā	f	0,01057	saṁtati	f	0,01538				pāṇḍu	m	0,00577																												vyāpin	adj	0,00769																		
			vara	adj	0,08233	nindā	f	0,01025	nivṛtti	f	0,01506				svādu	adj	0,00577																												vṛṣaparvan	m	0,00769																		
			yuga	mn	0,08169	lajjā	f	0,01025	bodhi	mf	0,01474				śuśrūṣu	adj	0,00577																												nandin	m	0,00737																		
			viśeṣa	m	0,08169	dvārakā	fn	0,01025	saṁnidhi	m	0,01442				vāstu	n	0,00545																												rakṣin	adj	0,00737																		
			puṣpa	n	0,08105	jyā	f	0,00993	nidhi	m	0,01442				śmaśru	mn	0,00545																												dharmin	adj	0,00737																		
			mantra	mn	0,08041	śuśrūṣā	f	0,00993	khyāti	f	0,01442				pṛthu	adj	0,00545																												sattrin	m	0,00705																		
			uttara	adj	0,08041	dharmatā	f	0,00961	ṛddhi	f	0,01409				anu	m	0,00513																												eṣin	adj	0,00705																		
			priya	adj	0,07848	bhāvanā	f	0,00929	saṁdhi	mf	0,01377				paramāṇu	m	0,00513																												mahiman	m	0,00705																		
			satya	n	0,07816	sīmā	f	0,00929	añjali	m	0,01345				gomāyu	m	0,00513																												lābhin	adj	0,00705																		
			dāna	n	0,07816	śaṅkā	f	0,00929	viṁśati	f	0,01345																																		dvijanman	djma	0,00705																		
			soma	m	0,07688	apekṣā	f	0,00897	udadhi	m	0,01345																																		pinākin	m	0,00705																		
			śubha	adj	0,07656	nāsā	f	0,00897	aditi	f	0,01313																																		keśin	m	0,00673																		
			aṅga	n	0,07592	ulkā	mf	0,00897	aṅguli	mf	0,01249																																		rukmin	m	0,00673																		
			kṣaya	m	0,07560	tanayā	f	0,00897	evamādi	adj	0,01249																																		tyāgin	adj	0,00673																		
			rāga	m	0,07528	spṛhā	f	0,00897	upalabdhi	f	0,01249																																		śarīrin	m	0,00673																		
			madhya	n	0,07400	śibikā	f	0,00897	viśuddhi	f	0,01249																																		viśvātman	m	0,00673																		
			maitreya	m	0,07400	kṣamā	f	0,00897	kṛṣi	f	0,01217																																		dāyin	adj	0,00673																		
			śūdra	m	0,07400	pratimā	f	0,00897	atri	m	0,01217																																		cakrin	m	0,00673																		
			puṇya	adj	0,07400	mathurā	f	0,00865	anupalabdhi	f	0,01217																																		vikrayin	adj	0,00673																		
			vacana	n	0,07336	śarkarā	f	0,00865	bhūpati	m	0,01217																																		kṛtin	adj	0,00641																		
			pura	n	0,07336	ūrṇā	f	0,00833	kukṣi	mf	0,01185																																		upajīvin	adj	0,00641																		
			udaka	n	0,07304	jaṭā	f	0,00833	yati	m	0,01185																																		vairin	m	0,00641																		
			antara	n	0,07240	dharā	f	0,00833	tuṣṭi	f	0,01185																																		śarman	n	0,00641																		
			manuṣya	m	0,07240	senā	f	0,00833	rāśi	mf	0,01153																																		kāmin	m	0,00609																		
			svarga	m	0,07208	priyā	f	0,00833	prabhṛti	f	0,01153																																		kuṭumbin	m	0,00609																		
			rudra	m	0,07144	nāsikā	f	0,00801	kānti	f	0,01121																																		āśramin	adj	0,00609																		
			śāstra	n	0,07080	tārakā	f	0,00801	hāni	f	0,01121																																		śālin	adj	0,00609																		
			candra	m	0,07047	śikhā	f	0,00801	bhūti	f	0,01089																																		śilpin	m	0,00609																		
			rasa	mn	0,07015	pratijñā	f	0,00801	yukti	f	0,01089																																		ghātin	adj	0,00609																		
			kalpa	mn	0,06855	kṛtyā	f	0,00769	niṣpatti	f	0,01057																																		pañcadaśan	adj	0,00609																		
			dravya	n	0,06791	cetanā	f	0,00769	aśīti	f	0,01025																																		karin	m	0,00577																		
			garbha	m	0,06727	varṣā	f	0,00769	asi	m	0,01025																																		vartman	n	0,00577																		
			cakra	n	0,06727	lekhā	f	0,00769	bhūri	adj	0,00993																																		varman	mn	0,00577																		
			vadha	m	0,06695	deśanā	f	0,00769	mahāmati	m	0,00993																																		vaśin	adj	0,00577																		
			ratna	mn	0,06663	jaṅghā	f	0,00769	nimi	m	0,00961																																		mānin	adj	0,00577																		
			māsa	mn	0,06631	tvarā	f	0,00769	bhukti	f	0,00961																																		jīvin	adj	0,00577																		
			parvata	mn	0,06503	śūdrā	f	0,00769	āyati	f	0,00961																																		śāyin	adj	0,00577																		
			āsana	n	0,06503	karuṇā	f	0,00737	āhuti	f	0,00961																																		viśvakarman	m	0,00577																		
			dakṣiṇa	adj	0,06471	anukampā	fn	0,00737	vyāhṛti	f	0,00961																																		sukhin	adj	0,00545																		
			akhila	adj	0,06439	amāvāsyā	f	0,00737	pṛthivīpati	m	0,00961																																		svarūpin	adj	0,00545																		
			rājya	n	0,06439	yātanā	f	0,00737	sakhi	m	0,00961																																		śikhin	m	0,00545																		
			alpa	adj	0,06311	vanitā	f	0,00737	ādhi	m	0,00929																																		aryaman	m	0,00513																		
			yama	m	0,06151	sudhā	f	0,00737	sārathi	m	0,00929																																		pūṣan	m	0,00513																		
			buddha	m	0,06151	vidhavā	f	0,00737	paṅkti	f	0,00897																																		preman	mn	0,00513																		
			pramāṇa	mn	0,06086	satyabhāmā	f	0,00705	kālanemi	m	0,00897																																		anātman	m	0,00481																		
			abhāva	m	0,06054	narmadā	f	0,00705	marīci	m	0,00897																																		antarātman	m	0,00481																		
			aśva	m	0,06054	pāramitā	f	0,00705	ahi	m	0,00897																																		manasvin	adj	0,00481																		
			bhāga	m	0,05926	sevā	f	0,00705	samyaksambodhi	f	0,00897																																		śleṣman	m	0,00481																		
			gandha	mn	0,05926	pramadā	f	0,00705	vibhūti	f	0,00897																																																						
			prasāda	m	0,05926	kalpanā	f	0,00673	vedi	f	0,00897																																																						
			aśeṣa	adj	0,05798	paramparā	f	0,00673	puṣṭi	f	0,00897																																																						
			mārga	m	0,05798	ijyā	f	0,00673	kavi	m	0,00865																																																						
			śakra	m	0,05798	īrṣyā	f	0,00673	yuvati	f	0,00865																																																						
			tala	mn	0,05734	yadṛcchā	f	0,00673	rājarṣi	m	0,00865																																																						
			vṛkṣa	m	0,05734	vīṇā	f	0,00673	anupapatti	f	0,00833																																																						
			agra	n	0,05574	vedanā	f	0,00673	ruci	f	0,00833																																																						
			pakṣa	m	0,05574	āśā	f	0,00641	vasati	f	0,00801																																																						
			vastra	mn	0,05574	vasā	f	0,00641	muṣṭi	mf	0,00801																																																						
			hṛdaya	n	0,05510	vasuṁdharā	f	0,00641	vṛṣṇi	m	0,00801																																																						
			maṇḍala	mfn	0,05478	śalākā	mf	0,00641	kṛmi	m	0,00769																																																						
			gandharva	m	0,05478	vrīḍā	f	0,00641	nīti	f	0,00769																																																						
			bāla	m	0,05478	kapilā	f	0,00609	pratipatti	f	0,00769																																																						
			vākya	n	0,05446	kṛpā	f	0,00609	prasūti	f	0,00769																																																						
			āśrama	mn	0,05414	saṁsthā	f	0,00609	dhvani	m	0,00737																																																						
			tattva	n	0,05414	kāntā	f	0,00609	ārti	f	0,00737																																																						
			nimitta	n	0,05382	yaśodā	f	0,00609	yaṣṭi	fn	0,00737																																																						
			tīrtha	mn	0,05382	snuṣā	f	0,00609	paśupati	m	0,00737																																																						
			jña	adj	0,05382	anujñā	f	0,00577	pārṣṇi	mf	0,00737																																																						
			graha	mn	0,05382	karṇikā	f	0,00577	kāśi	f	0,00705																																																						
			grāma	mn	0,05350	patākā	f	0,00577	bhrānti	f	0,00705																																																						
			aṁśa	m	0,05318	rathyā	f	0,00577	śibi	m	0,00705																																																						
			pātra	n	0,05318	medhā	f	0,00577	catuḥṣaṣṭi	f	0,00705																																																						
			antara	adj	0,05286	jyotsnā	f	0,00577	kaṭi	f	0,00673																																																						
			vara	mn	0,05286	gaṇikā	f	0,00577	saṁsthiti	f	0,00673																																																						
			kara	adj	0,05254	brahmahatyā	f	0,00577	niṣkṛti	f	0,00673																																																						
			nitya	adj	0,05254	grīvā	f	0,00577	avāpti	f	0,00673																																																						
			śaila	mn	0,05254	ghaṇṭā	f	0,00577	aśani	mf	0,00673																																																						
			śrāddha	n	0,05222	kṛttikā	f	0,00545	surabhi	adj	0,00673																																																						
			ātmaka	adj	0,05222	nimnagā	f	0,00545	bhṛti	f	0,00641																																																						
			mitra	mn	0,05190	rambhā	f	0,00545	vanaspati	mf	0,00641																																																						
			deha	mn	0,05157	svāhā	f	0,00545	sambhūti	f	0,00641																																																						
			sūta	m	0,05125	kṣatriyā	f	0,00545	vimukti	f	0,00641																																																						
			grahaṇa	n	0,05093	bālā	f	0,00545	praṇidhi	m	0,00641																																																						
			kara	m	0,05061	paricārikā	f	0,00513	anāvṛṣṭi	f	0,00609																																																						
			padma	mn	0,05061	śivā	f	0,00513	śreṇi	mf	0,00609																																																						
			bheda	m	0,05061	kakṣyā	f	0,00481	jagatpati	m	0,00609																																																						
			samasta	adj	0,05061	nāyikā	f	0,00481	daṇḍanīti	f	0,00609																																																						
			moha	m	0,05061	bhāvanā	fn	0,00481	dampati	m	0,00609																																																						
			āditya	m	0,05029	ātmajā	f	0,00481	śakuni	m	0,00609																																																						
			astra	mn	0,05029	aṣṭakā	f	0,00481	vyakti	f	0,00609																																																						
			mṛga	m	0,05029	asmitā	f	0,00481	vivṛddhi	f	0,00609																																																						
			kāya	m	0,04965	āsthā	f	0,00481	samāpatti	f	0,00577																																																						
			dviguṇa	adj	0,04933				abhivyakti	f	0,00577																																																						
			snāna	n	0,04933				vāsuki	m	0,00577																																																						
			karaṇa	n	0,04901				āpti	f	0,00577																																																						
			adhika	adj	0,04869				tithi	mf	0,00577																																																						
			prāṇa	m	0,04869				svasti	fn	0,00577																																																						
			samudra	m	0,04837				vrīhi	m	0,00577																																																						
			bhava	m	0,04837				nirvṛti	f	0,00545																																																						
			śeṣa	mn	0,04837				araṇi	f	0,00545																																																						
			krodha	m	0,04837				durmati	adj	0,00545																																																						
			pratyaya	m	0,04805				stuti	f	0,00545																																																						
			paraspara	adj	0,04741				vinivṛtti	f	0,00545																																																						
			kleśa	m	0,04709				śauri	m	0,00545																																																						
			śīla	mn	0,04677				aṅghri	m	0,00513																																																						
			prathama	adj	0,04677				avīci	mfn	0,00513																																																						
			vīrya	n	0,04677				āvali	f	0,00513																																																						
