"от 1200 до 1700"	a	1946=69.28%	"от 1200 до 1700"	ā	205=7.30%	"от 1200 до 1700"	i	196=6.98%	"от 1200 до 1700"	ī	89=3.17%	"от 1200 до 1700"	u	86=3.06%	"от 1200 до 1700"	ū	6=0.21%	"от 1200 до 1700"	o	1=0.04%	"от 1200 до 1700"	ṛ	17=0.61%	"от 1200 до 1700"	j	9=0.32%	"от 1200 до 1700"	c	6=0.21%	"от 1200 до 1700"	dh	3=0.11%	"от 1200 до 1700"	t	42=1.50%	"от 1200 до 1700"	d	14=0.50%	"от 1200 до 1700"	n	126=4.49%	"от 1200 до 1700"	p	1=0.04%	"от 1200 до 1700"	r	4=0.14%	"от 1200 до 1700"	v	1=0.04%	"от 1200 до 1700"	ṣ	5=0.18%	"от 1200 до 1700"	ś	5=0.18%	"от 1200 до 1700"	s	45=1.60%
yoga	m	0,17238	devatā	f	0,04767	sthiti	f	0,06919	nadī	f	0,02384	dhātu	mn	0,03750							mātṛ	m	0,00959										asat	adj	0,02064	mud	f	0,00610	janman	n	0,05930																cakṣus	n	0,03023
anta	m	0,16976	avasthā	f	0,04389	vahni	m	0,06860	patnī	f	0,02209	vastu	n	0,03663							svasṛ	f	0,00930										balavat	adj	0,01919	saṁsad	f	0,00523	adhvan	m	0,04302																nabhas	n	0,02907
jñāna	n	0,16744	sutā	f	0,04273	bhūmi	f	0,06744	kuntī	f	0,02093	śatru	m	0,03663							duhitṛ	f	0,00901										dhīmat	adj	0,01715				bhasman	n	0,04099																yaśas	n	0,02907
phala	n	0,16482	prabhā	f	0,03779	gati	f	0,05727	deveśī	f	0,02006	indu	m	0,03169							vidhātṛ	m	0,00552										etāvat	adj	0,01424				brahman	n	0,04041																dhanus	n	0,02587
śiva	m	0,15959	śilā	f	0,03605	vṛtti	f	0,05465	prabhāvatī	f	0,01657	bandhu	m	0,03110							śrotṛ	adj	0,00494										iyat	adj	0,01308				kārin	adj	0,03953																payas	n	0,02326
loka	m	0,14942	saṁjñā	f	0,03546	prakṛti	f	0,05058	nāḍī	f	0,01541	kaṭu	adj	0,03081																			kiyat	adj	0,01250				vyoman	mn	0,03837																rakṣas	n	0,02326
bala	mn	0,14564	chāyā	f	0,03256	rātri	f	0,04826	nagarī	f	0,01512	vibhu	adj	0,03023																			marut	m	0,01134				arthin	adj	0,03721																ambhas	n	0,01831
deha	mn	0,14477	gadā	f	0,03227	koṭi	f	0,04564	aṭavī	f	0,01337	prabhu	m	0,02965																			śaktimat	adj	0,01134				dhāman	n	0,03459																saras	n	0,01744
suta	m	0,14273	tṛṣṇā	f	0,03198	mukti	f	0,04448	padmāvatī	f	0,01337	mṛdu	adj	0,02907																			jāgrant	mn	0,01105				dvādaśan	adj	0,03372																rahas	n	0,01686
bhāva	m	0,13837	prajā	f	0,03169	prīti	f	0,04244	vāhinī	f	0,01337	sādhu	adj	0,02820																			vidyut	fn	0,01076				śālin	adj	0,03343																vidvas	adj	0,01657
doṣa	mn	0,13837	vāsavadattā	f	0,03110	bhūpati	m	0,04157	jananī	f	0,01308	laghu	adj	0,02762																			yāvat	adj	0,01046				rūpin	adj	0,03169																sarpis	n	0,01628
aṁśa	m	0,13575	saṁdhyā	f	0,02791	vyādhi	m	0,04041	gaurī	f	0,01308	taru	m	0,02674																			buddhimat	adj	0,00988				śleṣman	m	0,02907																srotas	n	0,01483
kṣaṇa	m	0,13517	mūṣā	f	0,02645	ṛṣi	m	0,03924	satī	f	0,01279	bindu	mn	0,02529																			himavant	m	0,00930				vādin	adj	0,02820																medas	n	0,01483
śata	mn	0,13227	gaṅgā	f	0,02616	sṛṣṭi	f	0,03924	rajanī	f	0,01279	bāhu	mf	0,02326																			bhūbhṛt	m	0,00901				mūrdhan	m	0,02645																śreyas	n	0,01366
bheda	m	0,13023	saṁkhyā	f	0,02558	maṇi	m	0,03837	sundarī	f	0,01279	śambhu	m	0,02267																			mahant	m	0,00901				navan	adj	0,02471																ojas	n	0,01308
pada	mn	0,12994	niśā	f	0,02529	vṛddhi	f	0,03605	rājñī	f	0,01250	jantu	m	0,02238																			rumaṇvant	m	0,00872				svāmin	m	0,02442																vāsas	n	0,01308
mukha	n	0,12965	cintā	f	0,02529	ākṛti	f	0,03576	ujjayinī	f	0,01221	aṇu	m	0,02209																			sarit	f	0,00872				ṣoḍaśan	adj	0,02238																jyotis	n	0,01221
nṛpa	m	0,12849	śikhā	f	0,02413	yukti	f	0,03576	snuhī	f	0,01192	ripu	m	0,02151																			guṇavat	adj	0,00872				vartin	adj	0,02151																bhūyas	adj	0,01163
mātra	n	0,12849	śaṅkā	f	0,02355	dṛṣṭi	f	0,03430	gṛhiṇī	f	0,01134	ambu	n	0,02093																			bhṛt	adj	0,00843				balin	adj	0,02151																apsaras	f	0,01105
stha	adj	0,12500	nidrā	f	0,02326	ravi	m	0,03256	pṛthvī	f	0,01105	manu	m	0,02064																			pañcāśat	f	0,00843				pathin	m	0,02093																vayas	n	0,01105
śabda	m	0,12471	kanyakā	f	0,02209	śuddhi	f	0,03198	gāyatrī	f	0,01076	svādu	adj	0,02035																			hṛt	adj	0,00785				pakṣin	m	0,02064																arśas	mn	0,01017
gṛha	mn	0,12413	mālā	f	0,02180	nṛpati	m	0,03110	brāhmaṇī	f	0,00988	prabhu	adj	0,01744																			śakṛt	n	0,00756				bhāvin	adj	0,01948																dos	n	0,00930
prāṇa	m	0,12180	latā	f	0,02180	pāṇi	m	0,02994	pārvatī	f	0,00959	ūru	mf	0,01715																			triṁśat	f	0,00698				yuvan	m	0,01890																mahas	n	0,00843
madhya	n	0,11860	sevā	f	0,02122	yoni	mf	0,02878	sureśvarī	f	0,00959	vasu	mn	0,01715																			matimat	adj	0,00640				sukhin	adj	0,01890																vakṣas	n	0,00843
kāraṇa	n	0,11802	ājñā	f	0,02093	mūrti	f	0,02849	aṣṭamī	f	0,00930	śiśu	m	0,01599																			ṣaṭtriṁśat	f	0,00581				śaśin	m	0,01890																purodhas	m	0,00785
kārya	n	0,11657	sudhā	f	0,02093	saṁdhi	mf	0,02820	mahiṣī	f	0,00930	meru	m	0,01512																			bṛhat	adj	0,00552				mānin	adj	0,01831																mās	m	0,00698
nija	adj	0,11570	daśā	f	0,02006	bhakti	f	0,02820	caturdaśī	f	0,00930	sūnu	m	0,01483																			vīryavat	adj	0,00523				dehin	m	0,01831																aṅgiras	m	0,00669
priya	adj	0,11424	rakṣā	f	0,01977	jāti	f	0,02791	kumārī	f	0,00901	aṁśu	m	0,01395																			trijagant	n	0,00494				prāṇin	m	0,01715																sahas	n	0,00669
jana	m	0,10959	senā	f	0,01977	bali	m	0,02733	ekādaśī	f	0,00872	jānu	mn	0,01395																			dvātriṁśat	f	0,00494				śvan	m	0,01715																bhās	fn	0,00581
maya	adj	0,10581	jvālā	f	0,01860	sakhi	m	0,02733	rohiṇī	f	0,00872	aśru	mn	0,01366																			hanumant	m	0,00494				vedhin	adj	0,01570																śreyas	adj	0,00552
ādya	adj	0,10523	apekṣā	f	0,01831	śānti	f	0,02674	kanakapurī	f	0,00843	pṛthu	adj	0,01366																									marman	n	0,01512																uras	n	0,00523
vīra	m	0,10465	āśā	f	0,01831	śruti	f	0,02616	vārāṇasī	f	0,00843	manyu	mf	0,01308																									cārin	adj	0,01483																purūravas	m	0,00494
śarīra	n	0,10407	dharā	f	0,01744	giri	m	0,02616	dvādaśī	f	0,00843	bhṛgu	m	0,01163																									veśman	n	0,01453																bhūriśravas	m	0,00465
nara	m	0,10320	kāntā	f	0,01686	mati	f	0,02587	khecarī	f	0,00843	kratu	m	0,01105																									mahātman	adj	0,01424																		
lakṣaṇa	n	0,10320	lajjā	f	0,01686	nidhi	m	0,02529	oṣadhī	f	0,00843	ṛtu	m	0,01076																									varṣin	adj	0,01424																		
puruṣa	m	0,10174	jarā	f	0,01686	sātyaki	m	0,02442	jāhnavī	f	0,00814	bhīru	adj	0,01076																									gāmin	adj	0,01424																		
antara	adj	0,09913	jihvā	f	0,01628	nābhi	f	0,02384	kāminī	f	0,00785	rāhu	m	0,00959																									dāyin	adj	0,01424																		
karṇa	m	0,09767	sītā	f	0,01628	prāpti	f	0,02355	bhaginī	f	0,00785	dhenu	f	0,00901																									han	adj	0,01424																		
varṇa	mn	0,09680	mūrchā	f	0,01628	vāri	n	0,02355	pippalī	f	0,00756	abhimanyu	m	0,00814																									kṛtin	adj	0,01395																		
krama	m	0,09651	rekhā	f	0,01599	pravṛtti	f	0,02326	satyavatī	f	0,00727	ketu	m	0,00785																									hastin	m	0,01366																		
deśa	m	0,09506	mudrā	f	0,01599	utpatti	f	0,02267	kākamācī	f	0,00698	dasyu	m	0,00785																									vāsin	adj	0,01308																		
bīja	mn	0,09360	andhamūṣā	mf	0,01541	kṣiti	f	0,02267	valī	f	0,00698	cāru	adj	0,00756																									hārin	adj	0,01308																		
pāda	m	0,09331	cikitsā	f	0,01541	kānti	f	0,02238	dūtī	f	0,00698	tanu	adj	0,00756																									parvan	n	0,01250																		
sattva	n	0,09215	guṭikā	f	0,01541	asthi	n	0,02238	vāṇī	f	0,00669	tantu	m	0,00756																									vartman	n	0,01221																		
cakra	n	0,09128	gayā	f	0,01541	viśrānti	f	0,02209	piṣṭī	f	0,00669	śaṁtanu	m	0,00756																									brahmacārin	m	0,01221																		
jala	n	0,09011	sabhā	f	0,01512	vṛṣṭi	f	0,02151	vāpī	f	0,00640	śilājatu	mn	0,00756																									preman	mn	0,01221																		
divya	adj	0,08953	līlā	f	0,01483	drauṇi	m	0,02122	mādrī	f	0,00640	maru	m	0,00727																									śikhaṇḍin	m	0,01192																		
vāta	m	0,08924	vedanā	f	0,01483	abdhi	m	0,02035	mālinī	f	0,00640	iṣu	mf	0,00727																									kirīṭin	m	0,01163																		
duḥkha	n	0,08924	kṛpā	f	0,01453	rati	f	0,02035	draupadī	f	0,00640	bhikṣu	m	0,00698																									adhikārin	adj	0,01134																		
sukha	n	0,08924	vāsanā	f	0,01453	nīti	f	0,02006	dharaṇī	f	0,00640	śigru	mfn	0,00698																									vājin	m	0,01134																		
kāma	m	0,08866	tanayā	f	0,01453	smṛti	f	0,01860	kauśāmbī	f	0,00640	ikṣu	m	0,00669																									roman	n	0,01134																		
indra	m	0,08750	priyā	f	0,01395	rāśi	mf	0,01773	kālī	f	0,00610	rajju	mf	0,00669																									āśin	adj	0,01105																		
hṛdaya	n	0,08750	abhidhā	f	0,01337	samādhi	m	0,01744	aiśānī	f	0,00610	bhānu	m	0,00640																									carman	n	0,01076																		
īśvara	m	0,08721	bālā	f	0,01337	atithi	m	0,01715	navamī	f	0,00610	mumukṣu	adj	0,00640																									aṣṭādaśan	adj	0,01076																		
rudra	m	0,08692	bhāvanā	f	0,01308	mahīpati	m	0,01715	lāṅgalī	f	0,00610	jiṣṇu	m	0,00610																									śikhin	m	0,01076																		
ja	adj	0,08605	aṅganā	f	0,01279	aṅguli	mf	0,01686	medinī	f	0,00610	snāyu	fn	0,00581																									darśin	adj	0,01076																		
dhana	n	0,08517	kṛṣṇā	f	0,01250	saṁvitti	f	0,01657	saptamī	f	0,00581	śmaśru	mn	0,00581																									niyogin	m	0,01046																		
kṣaya	m	0,08488	dakṣiṇā	f	0,01250	dhṛti	f	0,01599	rākṣasī	f	0,00581	pṛthu	m	0,00581																									dhanvin	adj	0,01017																		
ātmaka	adj	0,08488	śayyā	f	0,01250	vasti	mf	0,01570	maitrī	f	0,00581	saktu	m	0,00552																									sambandhin	adj	0,00988																		
dina	mn	0,08430	vyathā	f	0,01250	śuci	adj	0,01570	vallī	f	0,00581	madhu	m	0,00552																									sākṣin	m	0,00988																		
pitta	n	0,08372	guñjā	f	0,01250	keli	mf	0,01541	devadālī	f	0,00581	tālu	mn	0,00552																									ūṣman	m	0,00959																		
parama	adj	0,08256	yātrā	f	0,01221	añjali	m	0,01541	ceṭī	f	0,00552	svayambhu	m	0,00552																									bhāgin	adj	0,00959																		
bhūta	mn	0,08227	mātrā	f	0,01221	ukti	f	0,01541	harītakī	f	0,00552	cañcu	mf	0,00552																									caturdaśan	adj	0,00959																		
ratha	m	0,08198	krīḍā	f	0,01221	granthi	m	0,01541	dāsī	f	0,00552	pāyu	mn	0,00523																									paramātman	m	0,00901																		
viṣa	n	0,08081	ceṣṭā	f	0,01192	prabhṛti	f	0,01541	akṣauhiṇī	f	0,00523	sādhu	m	0,00523																									karin	m	0,00872																		
viśeṣa	m	0,08052	śākhā	f	0,01192	kṛmi	m	0,01512	rukmiṇī	f	0,00523	śatakratu	m	0,00523																									ekādaśan	adj	0,00872																		
prathama	adj	0,08052	nāsā	f	0,01163	bhukti	f	0,01512	revatī	f	0,00523	śvayathu	m	0,00494																									mahiman	m	0,00843																		
mūla	mn	0,07965	kalpanā	f	0,01134	ari	m	0,01483	jānakī	f	0,00523	ākhu	m	0,00494																									jñānin	adj	0,00843																		
antara	n	0,07907	dayā	f	0,01076	āvali	f	0,01483	vaiṣṇavī	f	0,00523	pāṇḍu	adj	0,00494																									cakravartin	m	0,00843																		
sahasra	mn	0,07878	karuṇā	f	0,01046	dadhi	n	0,01483	kunaṭī	f	0,00494	sindhu	mn	0,00494																									nāśin	adj	0,00785																		
vipra	m	0,07878	dhārā	f	0,01046	ahi	m	0,01395	aśmarī	mf	0,00494	guggulu	mn	0,00494																									vināśin	adj	0,00785																		
aṅga	n	0,07849	bhadrā	f	0,01046	akṣi	n	0,01395	devayānī	f	0,00494	aguru	mn	0,00465																									kṛtavarman	m	0,00727																		
bhaya	n	0,07849	vasudhā	f	0,01046	adhipati	m	0,01395	pallī	f	0,00494	icchu	adj	0,00465																									dhanin	adj	0,00727																		
śāstra	n	0,07820	pratijñā	f	0,01046	bhūri	adj	0,01366	gāndhārī	f	0,00494	ruru	m	0,00465																									vyāpin	adj	0,00727																		
ācāra	m	0,07732	rūpatā	f	0,01017	saṁnidhi	m	0,01337	grahaṇī	f	0,00494																												phaṇin	m	0,00727																		
dvaya	n	0,07732	jaṅghā	f	0,01017	tithi	mf	0,01337	urvaśī	f	0,00465																												pañcadaśan	adj	0,00727																		
kula	n	0,07616	sirā	f	0,01017	hāni	f	0,01337	yoginī	f	0,00465																												ekākin	adj	0,00698																		
śara	m	0,07616	triphalā	mf	0,00988	prajāpati	m	0,01337																															upayogin	adj	0,00698																		
indriya	n	0,07558	śivā	f	0,00988	nivṛtti	f	0,01308																															rakṣin	adj	0,00698																		
ratna	mn	0,07500	piṣṭikā	f	0,00988	aruci	f	0,01308																															savyasācin	m	0,00698																		
dravya	n	0,07442	caryā	f	0,00988	dhvani	m	0,01279																															sāman	n	0,00698																		
uttama	adj	0,07384	tvarā	f	0,00959	vikṛti	f	0,01250																															śāyin	adj	0,00698																		
astra	mn	0,07384	pratiṣṭhā	f	0,00959	vyakti	f	0,01221																															dhārin	adj	0,00669																		
dvija	m	0,07325	śuddhavidyā	f	0,00959	bṛhaspati	m	0,01221																															varman	mn	0,00669																		
agra	n	0,07296	tulā	f	0,00930	kīrti	f	0,01192																															jīvin	adj	0,00669																		
maṇḍala	mfn	0,07296	jāyā	f	0,00930	vyāpti	f	0,01192																															gāṇḍīvadhanvan	m	0,00669																		
vana	n	0,07180	śraddhā	f	0,00930	vṛṣṇi	m	0,01192																															grāhin	adj	0,00640																		
traya	n	0,07122	prathā	f	0,00930	oṣadhi	mf	0,01163																															tapasvin	m	0,00640																		
sthāna	n	0,07122	caṇḍikā	f	0,00930	stuti	f	0,01163																															samayin	m	0,00640																		
hasta	mn	0,07122	parīkṣā	f	0,00901	niyati	f	0,01134																															vāhin	adj	0,00610																		
svabhāva	m	0,07035	bhikṣā	f	0,00901	ṣaṣṭi	f	0,01134																															vaśin	adj	0,00610																		
kapha	m	0,06948	ahaṁtā	f	0,00901	chardi	f	0,01134																															rogin	adj	0,00610																		
bhāga	m	0,06919	lākṣā	f	0,00901	tṛpti	f	0,01134																															dharmin	adj	0,00610																		
rājya	n	0,06860	prajñā	f	0,00901	kṛṣi	f	0,01076																															svarūpin	adj	0,00610																		
gaṇa	m	0,06744	muktā	f	0,00901	ambudhi	m	0,01076																															praṇayin	adj	0,00610																		
kṛṣṇa	m	0,06657	ambikā	f	0,00872	adri	m	0,01046																															yogin	adj	0,00581																		
ādika	adj	0,06657	maryādā	f	0,00872	bhitti	f	0,01046																															śarvavarman	m	0,00581																		
vajra	mn	0,06628	vasā	f	0,00872	avadhi	m	0,01017																															śarīrin	m	0,00581																		
ga	adj	0,06628	surā	f	0,00872	dyuti	f	0,01017																															dvijanman	djma	0,00552																		
adhyāya	m	0,06599	veśyā	f	0,00872	dhanvantari	m	0,00988																															sāman	n	0,00552																		
sūta	mn	0,06570	karṇikā	f	0,00843	mauli	mf	0,00959																															bhedin	adj	0,00523																		
vatsa	m	0,06512	rujā	f	0,00843	kapi	m	0,00930																															majjan	m	0,00523																		
vara	adj	0,06482	niṣṭhā	f	0,00814	anādi	adj	0,00930																															aśman	mn	0,00523																		
darśana	n	0,06482	ātmajā	f	0,00814	saṁtati	f	0,00930																															vidhāyin	adj	0,00523																		
upāya	m	0,06453	devasmitā	f	0,00814	kālarātri	f	0,00930																															bhogin	m	0,00494																		
da	adj	0,06453	velā	f	0,00814	ārti	f	0,00930																															manasvin	adj	0,00494																		
mala	mn	0,06395	dhāraṇā	f	0,00785	ruci	f	0,00930																															vajrin	m	0,00494																		
sura	m	0,06395	umā	f	0,00785	raśmi	mf	0,00901																															dantin	m	0,00494																		
puṣpa	n	0,06395	laṅkā	f	0,00785	druti	f	0,00901																															vairin	m	0,00494																		
vrata	n	0,06366	spṛhā	f	0,00785	muṣṭi	mf	0,00901																															virodhin	adj	0,00494																		
karaṇa	n	0,06337	kṣamā	f	0,00785	narapati	m	0,00872																															plīhan	m	0,00494																		
viṣaya	mn	0,06337	saṁkalikā	f	0,00785	saṁkrānti	f	0,00843																															nivāsin	adj	0,00465																		
brāhmaṇa	m	0,06337	jaṭā	f	0,00756	kāṇabhūti	m	0,00843																															śrāddhin	adj	0,00465																		
garbha	m	0,06250	dolā	f	0,00756	nirvṛti	f	0,00843																															narman	n	0,00465																		
abhāva	m	0,06221	tārā	f	0,00756	anupapatti	f	0,00814																																																			
dāna	n	0,06163	sāraṇā	fn	0,00756	bhūti	f	0,00814																																																			
bhoga	m	0,06017	dayitā	f	0,00756	viṁśati	f	0,00814																																																			
loha	mn	0,06017	parā	f	0,00756	bhīti	f	0,00814																																																			
jvara	m	0,06017	pativratā	f	0,00727	jaladhi	m	0,00814																																																			
śubha	adj	0,06017	lalanā	f	0,00727	vibhūti	f	0,00814																																																			
udaya	m	0,05930	mṛgayā	f	0,00727	śauri	m	0,00814																																																			
khaṇḍa	mn	0,05930	pīḍā	f	0,00727	puṣṭi	f	0,00814																																																			
uttara	adj	0,05901	cetanā	f	0,00698	kavi	m	0,00785																																																			
īśa	m	0,05901	yamunā	f	0,00698	ekaviṁśati	f	0,00785																																																			
māṁsa	n	0,05901	durgā	f	0,00698	aśani	mf	0,00785																																																			
śiṣya	m	0,05901	guhā	f	0,00698	sārathi	m	0,00785																																																			
pura	n	0,05872	grīvā	f	0,00698	atri	m	0,00756																																																			
tulya	adj	0,05756	ghaṇṭā	f	0,00698	rūḍhi	f	0,00756																																																			
rāga	m	0,05698	patākā	f	0,00669	tuṭi	mf	0,00756																																																			
rāma	m	0,05698	ahiṁsā	f	0,00669	senāpati	m	0,00756																																																			
madhura	adj	0,05669	raṇḍā	f	0,00669	kali	m	0,00727																																																			
mokṣa	m	0,05669	yadṛcchā	f	0,00669	sampatti	f	0,00727																																																			
adhika	adj	0,05610	mahāmāyā	f	0,00669	upādhi	m	0,00727																																																			
gandha	mn	0,05610	mātṛkā	f	0,00669	vāsuki	m	0,00727																																																			
uṣṇa	adj	0,05581	śobhā	f	0,00669	tuṣṭi	f	0,00727																																																			
satya	n	0,05552	dhārā	mf	0,00640	samprāpti	f	0,00727																																																			
śoka	m	0,05523	īśvarā	f	0,00640	pratipatti	f	0,00727																																																			
roga	mn	0,05494	śarkarā	f	0,00640	catuḥṣaṣṭi	f	0,00727																																																			
anna	n	0,05465	gaṇanā	f	0,00640	upapatti	f	0,00698																																																			
tāra	mn	0,05465	sattā	f	0,00610	śakuni	m	0,00698																																																			
mitra	mn	0,05465	kālikā	f	0,00610	svasti	fn	0,00698																																																			
mahāpurāṇa	n	0,05436	mathurā	f	0,00610	abhivyakti	f	0,00669																																																			
sūrya	m	0,05436	ayodhyā	f	0,00610	āhuti	f	0,00669																																																			
ghora	adj	0,05436	nāsikā	f	0,00610	kriyāśakti	f	0,00669																																																			
bhīṣma	m	0,05407	upakośā	f	0,00610	kaṭi	f	0,00640																																																			
pāpa	n	0,05378	rambhā	f	0,00610	aśuddhi	f	0,00640																																																			
gāruḍa	n	0,05378	haridrā	f	0,00610	diṣṭi	f	0,00640																																																			
arjuna	m	0,05349	punarnavā	mf	0,00610	dampati	m	0,00640																																																			
vacana	n	0,05349	vārttā	f	0,00581	pratīti	f	0,00640																																																			
svarūpa	n	0,05349	vikriyā	f	0,00581	pūrṇāhuti	f	0,00640																																																			
ānanda	m	0,05320	citā	f	0,00581	saṁgati	f	0,00610																																																			
kṣīra	n	0,05320	āśaṅkā	f	0,00581	kukṣi	mf	0,00610																																																			
kara	m	0,05291	dvārakā	fn	0,00581	ambhodhi	m	0,00610																																																			
kopa	m	0,05291	pādukā	f	0,00581	arāti	m	0,00610																																																			
ardha	mn	0,05291	snuṣā	f	0,00581	dhūli	mf	0,00610																																																			
pārtha	m	0,05291	helā	f	0,00581	asi	m	0,00610																																																			
pattra	mn	0,05262	samā	f	0,00552	vararuci	m	0,00610																																																			
droṇa	m	0,05262	ambā	f	0,00552	yati	m	0,00610																																																			
alpa	adj	0,05232	bhāvanā	fn	0,00552	khyāti	f	0,00610																																																			
amṛta	n	0,05203	varṣā	f	0,00552	pṛthivīpati	m	0,00610																																																			
śeṣa	mn	0,05174	vāñchā	f	0,00552	kṛtāñjali	adj	0,00581																																																			
dvitīya	adj	0,05087	tandrā	f	0,00552	paṅkti	f	0,00581																																																			
kāṇḍa	mn	0,05058	hikkā	f	0,00552	ṛddhi	f	0,00581																																																			
arka	m	0,04971	kṣapā	f	0,00552	umāpati	m	0,00581																																																			
jña	adj	0,04942	mṛttikā	fn	0,00552	vyāḍi	m	0,00581																																																			
bhīma	m	0,04913	pratibhā	f	0,00552	prasiddhi	f	0,00581																																																			
moha	m	0,04884	dṛkkriyā	f	0,00552	udadhi	m	0,00552																																																			
kara	adj	0,04855	kalanā	f	0,00523	jamadagni	m	0,00552																																																			
