"от 1700 до 1956"	a	1374=68.32%	"от 1700 до 1956"	ā	174=8.65%	"от 1700 до 1956"	i	121=6.02%	"от 1700 до 1956"	ī	119=5.92%	"от 1700 до 1956"	u	58=2.88%	"от 1700 до 1956"	ū	5=0.25%	"от 1700 до 1956"	o	1=0.05%	"от 1700 до 1956"	ṛ	7=0.35%	"от 1700 до 1956"	j	6=0.30%	"от 1700 до 1956"	c	4=0.20%	"от 1700 до 1956"	dh	1=0.05%	"от 1700 до 1956"	t	26=1.29%	"от 1700 до 1956"	d	7=0.35%	"от 1700 до 1956"	n	67=3.33%	"от 1700 до 1956"	p	1=0.05%	"от 1700 до 1956"	r	2=0.10%	"от 1700 до 1956"	ṣ	3=0.15%	"от 1700 до 1956"	ś	3=0.15%	"от 1700 до 1956"	s	30=1.49%	"от 1700 до 1956"	h	1=0.05%
pārada	mn	0,19092	mālā	f	0,02555	kānti	f	0,02823	kajjalī	f	0,01793	bāhu	mf	0,01255																									nāśin	adj	0,01300																		
śata	mn	0,18464	mūrchā	f	0,02465	nābhi	f	0,02689	lakṣmī	f	0,01748	tanu	adj	0,01120																									arthin	adj	0,01255																		
priya	adj	0,17927	rekhā	f	0,02420	jāti	f	0,02644	śuṇṭhī	f	0,01748	jantu	m	0,01076																									gandhāśman	m	0,01210																		
mūla	mn	0,17389	jayā	f	0,02375	gati	f	0,02644	pīṭhī	f	0,01748	trikaṭu	mn	0,01031																									dāyin	adj	0,01210																		
varṇa	mn	0,17120	śivā	f	0,02330	bhakti	f	0,02599	maheśānī	f	0,01658	hiṅgu	mn	0,01031																									āśin	adj	0,01165																		
jala	n	0,17030	kathā	f	0,02241	buddhi	f	0,02599	vajrī	f	0,01613	sindhu	mn	0,00986																									prāṇin	m	0,01165																		
divya	adj	0,16896	abhidhā	f	0,02196	śuci	adj	0,02555	vallī	f	0,01613	śilādhātu	mn	0,00986																									preman	mn	0,01165																		
tāra	mn	0,16717	vālukā	f	0,02151	divyauṣadhi	f	0,02555	vākucī	f	0,01613	pāṇḍu	adj	0,00941																									sthāyin	adj	0,01120																		
dravya	n	0,16358	ciñcā	f	0,02106	rāśi	mf	0,02420	sarpākṣī	f	0,01613	agaru	mn	0,00896																									mantrin	m	0,01076																		
yāma	m	0,15999	vijayā	f	0,02062	rāji	f	0,02241	vyāghrī	f	0,01569	devadāru	mn	0,00807																									vināśin	adj	0,01076																		
viṣa	n	0,15775	ajā	f	0,01972	ākṛti	f	0,02151	kākatuṇḍī	f	0,01524	sādhu	adj	0,00717																									brahmacārin	m	0,01076																		
abhra	mn	0,15551	rambhā	f	0,01972	aṅguli	mf	0,02106	meṣaśṛṅgī	f	0,01524	bandhu	m	0,00717																									sukhin	adj	0,01031																		
amla	n	0,15103	gaṅgā	f	0,01972	kavi	m	0,02106	sundarī	f	0,01524	madhuripu	m	0,00672																									vanamālin	m	0,00986																		
doṣa	mn	0,14969	vāsā	f	0,01972	mukti	f	0,02106	haṁsapādī	f	0,01524	vasu	mn	0,00672																									roman	n	0,00986																		
ṭaṅkaṇa	mn	0,14969	varānanā	f	0,01837	vṛtti	f	0,02017	nīlī	f	0,01434	jambu	f	0,00672																									pathin	m	0,00986																		
dvaya	n	0,14610	lākṣā	f	0,01837	ārti	f	0,01837	nadī	f	0,01434	śatru	m	0,00672																									rasakarman	n	0,00941																		
māsa	mn	0,14341	vicāraṇā	f	0,01793	śānti	f	0,01793	muṇḍī	f	0,01434	veṇu	m	0,00672																									durnāman	fn	0,00896																		
rasāyana	n	0,14296	ghaṭikā	f	0,01793	rīti	f	0,01748	bṛhatī	f	0,01389	madhu	m	0,00627																									bandhin	adj	0,00896																		
anta	m	0,13759	sthālikā	f	0,01793	akṣi	n	0,01748	kuṭī	f	0,01300	aśru	mn	0,00627																									grāhin	adj	0,00896																		
kānta	n	0,13759	kaṇā	f	0,01703	keli	mf	0,01658	jayantī	f	0,01300	āśu	adj	0,00627																									pañcadaśan	adj	0,00852																		
pāda	m	0,13669	bhāryā	f	0,01658	prakṛti	f	0,01658	matsyākṣī	f	0,01255	meru	m	0,00627																									yakṣman	m	0,00807																		
pātra	n	0,13624	vandhyā	f	0,01658	ahi	m	0,01613	nāgavallī	f	0,01255	trimadhu	n	0,00627																									svāmin	m	0,00807																		
mūtra	n	0,13490	haridrā	f	0,01658	yoni	mf	0,01524	dantī	f	0,01255	tantu	m	0,00627																									jīvin	adj	0,00762																		
deha	mn	0,13355	icchā	f	0,01613	smṛti	f	0,01524	śālmalī	f	0,01255	taru	m	0,00627																									veśman	n	0,00762																		
kara	adj	0,13311	rājikā	f	0,01613	kṛṣi	f	0,01479	dhī	f	0,01210																												adhvan	m	0,00717																		
deva	m	0,13221	bālā	f	0,01613	kali	m	0,01434	jyotiṣmatī	f	0,01210																												dhāman	n	0,00717																		
ghṛta	n	0,13131	rādhā	f	0,01569	kṛmi	m	0,01389	brāhmī	f	0,01210																												upayogin	adj	0,00717																		
vaṅga	mn	0,12638	vacā	f	0,01569	śruti	f	0,01389	poṭalī	mf	0,01210																												rogin	adj	0,00717																		
vastra	mn	0,12593	pathyā	f	0,01524	bhitti	f	0,01344	ketakī	f	0,01165																												ekādaśan	adj	0,00672																		
rūpa	n	0,12459	vimalā	f	0,01524	dyuti	f	0,01344	ekādaśī	f	0,01165																												dhārin	adj	0,00672																		
puṣpa	n	0,12056	caṇḍikā	f	0,01524	viśuddhi	f	0,01344	kastūrī	f	0,01120																												vedin	adj	0,00672																		
rakta	adj	0,11876	nāsā	f	0,01479	ṛṣi	m	0,01255	bhṛṅgī	f	0,01120																												carman	n	0,00627																		
bala	mn	0,11832	dolā	f	0,01434	avadhi	m	0,01255	vajravallī	f	0,01120																												vādin	m	0,00627																		
mantra	mn	0,11787	bhūlatā	f	0,01389	utpatti	f	0,01255	aśmarī	mf	0,01076																																																
arka	m	0,11518	īśvarā	f	0,01389	prīti	f	0,01255	tulasī	f	0,01076																																																
ghna	adj	0,11473	vaṭikā	f	0,01389	oṣadhi	mf	0,01210	gṛhiṇī	f	0,01076																																																
saṁśaya	m	0,11383	śikhā	f	0,01389	ṣaṣṭi	f	0,01210	parameśānī	f	0,01076																																																
nara	m	0,11294	mūṣikā	f	0,01389	vitasti	f	0,01210	kunaṭī	f	0,01031																																																
vīrya	n	0,11294	māyā	f	0,01344	granthi	m	0,01210	nāḍī	f	0,01031																																																
kṛṣṇa	adj	0,11159	kanyakā	f	0,01300	yuvati	f	0,01165	harītakī	f	0,01031																																																
abhraka	mn	0,11070	saṁdhyā	f	0,01300	tithi	mf	0,01165	guḍūcī	f	0,01031																																																
yantra	mn	0,11025	elā	mf	0,01300	sthiti	f	0,01165	kaṭutumbī	mf	0,00986																																																
karṣa	mn	0,10756	yamunā	f	0,01300	kaṭi	f	0,01120	patnī	f	0,00986																																																
mākṣika	mfn	0,10711	mūlikā	f	0,01300	vali	mf	0,01120	dvādaśī	f	0,00986																																																
kṣaṇa	m	0,10711	aśvagandhā	f	0,01255	puṣṭi	f	0,01076	kaṅguṇī	f	0,00986																																																
śubha	adj	0,10532	rādhikā	f	0,01255	añjali	m	0,01031	indravāruṇī	f	0,00896																																																
stha	adj	0,10487	rujā	f	0,01255	ruci	f	0,01031	meṣī	f	0,00896																																																
saṁyuta	adj	0,10442	dīkṣā	f	0,01255	mauli	mf	0,01031	badarī	f	0,00896																																																
sva	adj	0,10442	tārā	f	0,01255	pāṇi	m	0,01031	kākinī	f	0,00852																																																
krama	m	0,10442	kālikā	f	0,01210	aruci	f	0,00986	parpaṭī	f	0,00852																																																
hasta	mn	0,10397	amṛtā	f	0,01210	vānti	f	0,00986	sahadevī	f	0,00852																																																
aha	mn	0,10397	iṣṭikā	f	0,01210	praśānti	f	0,00986	pṛthvī	f	0,00852																																																
ardha	mn	0,10353	mustā	fn	0,01210	nivṛtti	f	0,00941	oṣadhī	f	0,00852																																																
khoṭa	mn	0,10263	balā	f	0,01210	nidhi	m	0,00941	kāṅkṣī	f	0,00807																																																
ājya	n	0,10084	kūpikā	f	0,01165	chavi	f	0,00941	kāravallī	f	0,00807																																																
toya	n	0,09949	bhāvanā	f	0,01165	sūci	f	0,00896	cāṅgerī	f	0,00807																																																
kāñcana	n	0,09860	jihvā	f	0,01165	khani	f	0,00896	rudantī	f	0,00807																																																
śveta	adj	0,09815	rakṣā	f	0,01120	śāli	m	0,00896	vartī	f	0,00807																																																
uttama	adj	0,09591	mudrā	f	0,01120	mūrti	f	0,00896	dūtī	f	0,00807																																																
varṣa	mn	0,09367	jaṭā	f	0,01076	chardi	f	0,00852	jātī	f	0,00807																																																
dṛḍha	adj	0,09322	kāntā	f	0,01031	ukti	f	0,00852	gaurī	f	0,00807																																																
śiva	m	0,09322	kāmalā	mfn	0,01031	raśmi	mf	0,00852	khecarī	f	0,00807																																																
snigdha	adj	0,09187	avasthā	f	0,01031	kṣiti	f	0,00852	darvī	f	0,00807																																																
jāraṇa	mfn	0,09098	ājñā	f	0,01031	krimi	m	0,00852	tuvarī	f	0,00807																																																
pitta	n	0,09098	gulikā	f	0,01031	karīṣāgni	m	0,00807	rājī	f	0,00762																																																
kanda	mn	0,09053	majjā	f	0,00986	aṅghri	m	0,00807	mahauṣadhī	f	0,00762																																																
bhāṇḍa	n	0,09053	ūrṇā	f	0,00986	adri	m	0,00807	rohiṇī	f	0,00762																																																
vāta	m	0,08918	medhā	f	0,00986	abdhi	m	0,00807	tilaparṇī	f	0,00762																																																
pīta	adj	0,08918	śaṅkā	f	0,00986	bhūri	adj	0,00807	somavallī	f	0,00762																																																
sahasra	mn	0,08874	gojihvā	f	0,00986	pavi	mf	0,00807	ghaṭī	f	0,00762																																																
uṣṇa	adj	0,08829	viṣṇukrāntā	f	0,00986	vrīhi	m	0,00807	rasāṅkuśī	f	0,00762																																																
yuta	adj	0,08739	muktā	f	0,00986	śukti	f	0,00762	yoginī	f	0,00717																																																
ādya	adj	0,08694	karṇikā	f	0,00941	pratīti	f	0,00762	mahī	f	0,00717																																																
niṣka	mn	0,08605	nidrā	f	0,00941	mati	f	0,00717	uttaravāruṇī	f	0,00717																																																
kāla	m	0,08560	dakṣiṇā	f	0,00941	dhūli	mf	0,00717	kañcukī	f	0,00672																																																
da	adj	0,08470	śyāmā	f	0,00941	bhukti	f	0,00717	kuṇḍalī	f	0,00672																																																
kvātha	m	0,08336	mṛtsnā	f	0,00941	muṣṭi	mf	0,00717	vārāhī	f	0,00672																																																
drāva	m	0,08291	viṣṭhā	f	0,00941	prabhṛti	f	0,00717	maheśvarī	f	0,00672																																																
hara	adj	0,08246	hidhmā	mf	0,00941	aśīti	f	0,00672	padminī	f	0,00627																																																
kāñjika	n	0,08201	rāmā	f	0,00896	vasti	mf	0,00672	kuṭṭinī	f	0,00627																																																
dala	mn	0,08157	śālā	f	0,00896	prāpti	f	0,00672	markaṭī	f	0,00627																																																
prayatna	m	0,08157	saṁkalikā	f	0,00896	samādhi	m	0,00627	mahādevī	f	0,00627																																																
dugdha	n	0,08067	iṣṭakā	fn	0,00852	bhīti	f	0,00627	sarasvatī	f	0,00627																																																
aṅga	n	0,07933	lajjā	f	0,00852	āvali	f	0,00627	śamī	f	0,00627																																																
khalva	mn	0,07933	drākṣā	f	0,00852	jūrti	f	0,00627	medinī	f	0,00627																																																
pakva	adj	0,07843	jvālā	f	0,00852	sṛṣṭi	f	0,00627																																																			
ābha	adj	0,07708	sutā	f	0,00852	murāri	m	0,00627																																																			
tīkṣṇa	n	0,07708	sikatā	mf	0,00852																																																						
garbha	m	0,07664	priyā	f	0,00852																																																						
jambīra	m	0,07619	dhārā	f	0,00807																																																						
lavaṇa	n	0,07574	līlā	f	0,00807																																																						
kṣāra	m	0,07574	jalūkā	mf	0,00807																																																						
śulba	n	0,07529	śalākā	mf	0,00807																																																						
ūrdhva	adj	0,07440	khaṭikā	f	0,00807																																																						
bandha	m	0,07440	thūthā	mf	0,00807																																																						
kalka	mn	0,07395	kṛṣṇā	f	0,00762																																																						
maya	adj	0,07171	koṣṭhikā	f	0,00762																																																						
aṅgula	mn	0,07081	abhayā	f	0,00762																																																						
anvita	adj	0,07081	japā	f	0,00762																																																						
apaha	adj	0,07036	pāṭhā	f	0,00762																																																						
ātapa	m	0,07036	surā	f	0,00762																																																						
adhika	adj	0,06991	mañjiṣṭhā	mf	0,00717																																																						
vaktra	n	0,06902	nīlikā	f	0,00717																																																						
siddha	m	0,06902	bhāvanā	fn	0,00717																																																						
sampuṭa	mn	0,06857	cintā	f	0,00717																																																						
śreṣṭha	adj	0,06812	rasanā	f	0,00717																																																						
gola	mn	0,06767	vaśyā	fn	0,00717																																																						
kṣaya	m	0,06767	jarā	f	0,00717																																																						
loka	m	0,06633	hikkā	f	0,00717																																																						
suvarṇa	n	0,06633	śṛṅkhalā	f	0,00717																																																						
kara	m	0,06543	gartā	f	0,00717																																																						
ākāra	m	0,06543	viśālā	f	0,00717																																																						
rasendra	mn	0,06409	velā	f	0,00717																																																						
tāpya	mn	0,06409	veśyā	f	0,00717																																																						
hita	adj	0,06409	vedikā	f	0,00717																																																						
śīta	adj	0,06364	caryā	f	0,00717																																																						
vara	adj	0,06274	gārā	mfn	0,00717																																																						
jvara	m	0,06274	liptamūṣā	f	0,00717																																																						
madhura	adj	0,06229	kṛpā	f	0,00672																																																						
ratna	mn	0,06229	bhastrā	f	0,00672																																																						
śūla	mn	0,06229	cūlikā	mfn	0,00672																																																						
auṣadha	n	0,06185	chāgā	f	0,00672																																																						
uttara	adj	0,06185	rītikā	f	0,00672																																																						
ādika	adj	0,06185	mātṛkā	f	0,00672																																																						
viḍa	mn	0,06095	tṛṣṇā	f	0,00672																																																						
amṛta	n	0,06050	dūrvā	f	0,00672																																																						
lakṣaṇa	n	0,06050	śākhā	f	0,00672																																																						
sūkṣma	adj	0,06050	mallikā	f	0,00627																																																						
tila	mn	0,06005	nalikā	f	0,00627																																																						
sūtaka	mn	0,06005	āśā	f	0,00627																																																						
gajapuṭa	mn	0,05961	varṣā	f	0,00627																																																						
palita	n	0,05916	jāraṇā	f	0,00627																																																						
kapha	m	0,05871	pālikā	f	0,00627																																																						
tālaka	mn	0,05871	saurāṣṭrā	f	0,00627																																																						
golaka	m	0,05871	śayyā	f	0,00627																																																						
mala	mn	0,05781	krīḍā	f	0,00627																																																						
pāka	m	0,05781	mudrikā	f	0,00627																																																						
saindhava	mn	0,05781	pīḍā	f	0,00627																																																						
vedha	mn	0,05781	daśā	f	0,00627																																																						
kuṣṭha	mn	0,05737	prajñā	f	0,00627																																																						
bhūdhara	m	0,05692																																																									
sneha	mn	0,05602																																																									
agra	n	0,05557																																																									
anna	n	0,05557																																																									
liṅga	mn	0,05557																																																									
dvitīya	adj	0,05557																																																									
tāla	mn	0,05557																																																									
nāśana	adj	0,05512																																																									
gharma	m	0,05512																																																									
rūpya	n	0,05468																																																									
dolāyantra	n	0,05468																																																									
vaikrānta	mn	0,05468																																																									
parama	adj	0,05423																																																									
tīvra	adj	0,05423																																																									
śabda	m	0,05423																																																									
bhava	m	0,05378																																																									
jana	m	0,05378																																																									
dviguṇa	adj	0,05378																																																									
pada	mn	0,05333																																																									
dharma	mn	0,05333																																																									
śuṣka	adj	0,05333																																																									
divasa	mn	0,05288																																																									
mardana	mn	0,05244																																																									
candra	m	0,05244																																																									
uttha	adj	0,05199																																																									
bhūta	mn	0,05154																																																									
udara	n	0,05154																																																									
guḍa	mn	0,05154																																																									
śuddha	adj	0,05154																																																									
kṣaudra	n	0,05154																																																									
prada	adj	0,05154																																																									
bheda	m	0,05109																																																									
karaṇa	n	0,05064																																																									
saṁnibha	adj	0,05064																																																									
rasaka	mn	0,04930																																																									
ghana	mn	0,04930																																																									
manda	adj	0,04885																																																									
indra	m	0,04885																																																									
pāṣāṇa	m	0,04885																																																									
piṇḍa	mn	0,04885																																																									
bhūnāga	mn	0,04840																																																									
lepa	m	0,04840																																																									
sādhaka	m	0,04840																																																									
citraka	mn	0,04840																																																									
pramāṇa	mn	0,04795																																																									
bhairava	m	0,04751																																																									
amla	adj	0,04706																																																									
tala	mn	0,04706																																																									
krāmaṇa	mfn	0,04706																																																									
taptakhalva	mn	0,04706																																																									
udbhava	adj	0,04661																																																									
hṛdaya	n	0,04661																																																									
puruṣa	m	0,04661																																																									
prayoga	m	0,04661																																																									
kāma	m	0,04616																																																									
māṣa	m	0,04616																																																									
māna	n	0,04571																																																									
saṁskāra	m	0,04526																																																									
sakala	adj	0,04526																																																									
sadṛśa	adj	0,04526																																																									
ekaika	adj	0,04526																																																									
dhānya	n	0,04526																																																									
tṛtīya	adj	0,04526																																																									
sāra	mn	0,04526																																																									
śaṅkha	mn	0,04526																																																									
ātmaka	adj	0,04526																																																									
kārya	n	0,04482																																																									
dvāra	n	0,04482																																																									
sambhava	m	0,04482																																																									
gṛha	mn	0,04482																																																									
kanaka	n	0,04437																																																									
lakṣa	mn	0,04437																																																									
dakṣiṇa	adj	0,04437																																																									
tikta	adj	0,04392																																																									
grāsa	m	0,04392																																																									
aṁśaka	m	0,04347																																																									
rasarāja	mn	0,04302																																																									
tuṣa	mfn	0,04302																																																									
gaṇa	m	0,04302																																																									
caturguṇa	adj	0,04302																																																									
mātraka	n	0,04302																																																									
ākhya	adj	0,04302																																																									
keśa	m	0,04258																																																									
śvāsa	m	0,04258																																																									
bhaya	n	0,04258																																																									
āmaya	m	0,04258																																																									
yatna	m	0,04258																																																									
kaṇṭha	m	0,04213																																																									
pakṣa	m	0,04213																																																									
prakāra	m	0,04213																																																									
kāraṇa	n	0,04168																																																									
deśa	m	0,04168																																																									
bandhana	n	0,04168																																																									
nīla	adj	0,04123																																																									
rāga	m	0,04123																																																									
nāṭya	n	0,04078																																																									
rūkṣa	adj	0,04078																																																									
stambha	m	0,04078																																																									
bhojana	n	0,04033																																																									
ṣoḍaśa	adj	0,04033																																																									
ardha	adj	0,04033																																																									
antara	adj	0,03989																																																									
madana	mn	0,03989																																																									
rakta	n	0,03989																																																									
sūrya	m	0,03989																																																									
garta	mn	0,03989																																																									
prathama	adj	0,03989																																																									
kalpa	mn	0,03944																																																									
aṣṭama	adj	0,03944																																																									
valla	mn	0,03944																																																									
māṁsa	n	0,03944																																																									
sthāna	n	0,03944																																																									
ga	adj	0,03944																																																									
gada	m	0,03944																																																									
maṇḍala	mfn	0,03899																																																									
bhāva	m	0,03899																																																									
dvaṁdva	mn	0,03899																																																									
sura	m	0,03899																																																									
śāstra	n	0,03899																																																									
pṛṣṭha	n	0,03899																																																									
catuṣṭaya	fn	0,03899																																																									
tattva	n	0,03854																																																									
kāsa	m	0,03809																																																									
vāsara	mn	0,03809																																																									
sukha	n	0,03809																																																									
hiṅgula	mn	0,03765																																																									
sahita	adj	0,03765																																																									
śeṣa	mn	0,03765																																																									
prāṇa	m	0,03765																																																									
upama	adj	0,03720																																																									
dīpana	adj	0,03720																																																									
viśeṣa	m	0,03720																																																									
nibha	adj	0,03675																																																									
ṣaḍguṇa	adj	0,03675																																																									
