"Недатированные тексты"	a	1920=66.02%	"Недатированные тексты"	ā	310=10.66%	"Недатированные тексты"	i	162=5.57%	"Недатированные тексты"	ī	209=7.19%	"Недатированные тексты"	u	83=2.85%	"Недатированные тексты"	ū	7=0.24%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	ṛ	8=0.28%	"Недатированные тексты"	j	5=0.17%	"Недатированные тексты"	c	4=0.14%	"Недатированные тексты"	dh	2=0.07%	"Недатированные тексты"	t	28=0.96%	"Недатированные тексты"	d	10=0.34%	"Недатированные тексты"	n	110=3.78%	"Недатированные тексты"	p	1=0.03%	"Недатированные тексты"	r	3=0.10%	"Недатированные тексты"	ṣ	3=0.10%	"Недатированные тексты"	ś	4=0.14%	"Недатированные тексты"	s	37=1.27%
guṇa	mn	0,26927	vidyā	f	0,03857	vṛddhi	f	0,07438	deveśī	f	0,02410	vāyu	m	0,04614																			dvātriṁśat	f	0,01102				navan	adj	0,05372													tejas	n	0,02066
tva	n	0,25481	mātrā	f	0,03788	kānti	f	0,06267	śuṇṭhī	f	0,02204	hetu	m	0,04132																			cit	f	0,00964				ṣoḍaśan	adj	0,05303													ambhas	n	0,01722
loha	mn	0,23759	rujā	f	0,03719	vyādhi	m	0,06129	sudhī	adj	0,02204	jantu	m	0,03719																			yakṛt	n	0,00964				grāhin	adj	0,05303													dhanus	n	0,01584
kuṣṭha	mn	0,23415	manaḥśilā	mf	0,03650	śakti	f	0,05854	kuṇḍalī	f	0,02135	śilājatu	mn	0,03306																			śakṛt	n	0,00964				plīhan	m	0,04270													jyotis	n	0,01377
kaṣāya	adj	0,23070	mṛttikā	fn	0,03650	śuddhi	f	0,05716	cullī	f	0,02135	śatru	m	0,02892																			yoṣit	f	0,00895				brahman	m	0,03925													ojas	n	0,01308
yoga	m	0,21968	śarkarā	f	0,03512	muni	m	0,05509	aśmarī	mf	0,02135	tanu	f	0,02686																			yāvat	adj	0,00826				dāyin	adj	0,03788													cakṣus	n	0,01240
hara	adj	0,21899	sitā	f	0,03443	bhūmi	f	0,04821	maheśānī	f	0,02066	śigru	mfn	0,02273																			bṛhat	adj	0,00826				nāśin	adj	0,03374													vāsas	n	0,01171
dāha	m	0,21555	mūrchā	f	0,03374	jāti	f	0,04545	guḍūcī	f	0,02066	vasu	mn	0,02135																			pañcāśat	f	0,00826				dvādaśan	adj	0,03306													retas	n	0,01102
jvara	m	0,21486	tṛṣā	f	0,03306	bali	m	0,04545	nirguṇḍī	f	0,01859	paṭu	mn	0,01859																			trivṛt	f	0,00758				rājan	m	0,03168													cetas	n	0,00895
sattva	n	0,20729	guṭikā	f	0,03237	vāri	n	0,04545	rohiṇī	f	0,01859	guggulu	mn	0,01791																			matimat	adj	0,00689				aśman	mn	0,02341													tamas	n	0,00895
bīja	mn	0,20453	punarnavā	mf	0,03237	ravi	m	0,03994	jīvantī	f	0,01859	viṣṇu	m	0,01791																			buddhimat	adj	0,00689				caturdaśan	adj	0,02273													mās	m	0,00895
roga	mn	0,20316	prabhā	f	0,03099	dadhi	n	0,03994	khecarī	f	0,01859	manu	m	0,01653																			balavat	adj	0,00620				saṁgrāhin	adj	0,02135													vidvas	adj	0,00895
śīta	adj	0,19765	kalā	f	0,02961	aruci	f	0,03857	bṛhatī	f	0,01859	ṛtu	m	0,01653																			sarit	f	0,00551				han	adj	0,02066													śreyas	n	0,00758
kara	adj	0,19558	vijayā	f	0,02961	chardi	f	0,03788	kāminī	f	0,01791	indu	m	0,01653																			guṇavat	adj	0,00551				bhedin	adj	0,01997													bhūyas	adj	0,00689
bala	mn	0,19351	āhvā	f	0,02892	śānti	f	0,03512	dhātrī	f	0,01791	paśu	m	0,01515																			bhagavat	adj	0,00482				vyoman	mn	0,01997													rakṣas	n	0,00620
cūrṇa	mn	0,19007	kanyā	f	0,02755	maṇi	m	0,03374	mahiṣī	f	0,01791	sindhu	mn	0,01446																									vināśin	adj	0,01928													vacas	n	0,00620
nāśana	adj	0,18594	pūjā	f	0,02755	vānti	f	0,03374	musalī	f	0,01791	śvayathu	m	0,01377																									śikhin	m	0,01928													srotas	n	0,00620
dīpana	adj	0,18318	chāyā	f	0,02686	dṛṣṭi	f	0,03374	kastūrī	f	0,01722	trapu	n	0,01377																									pañcadaśan	adj	0,01928													uras	n	0,00482
snigdha	adj	0,18112	amṛtā	f	0,02617	kaṇḍūti	f	0,03168	piṣṭī	f	0,01722	devadāru	mn	0,01377																									aṣṭādaśan	adj	0,01859													vakṣas	n	0,00482
gandha	mn	0,17905	bhāvanā	f	0,02410	gati	f	0,03168	lāṅgalī	f	0,01653	hiṅgu	mn	0,01377																									vedhin	adj	0,01791													yaśas	n	0,00482
vīrya	n	0,17699	haridrā	f	0,02410	yoni	mf	0,03030	nadī	f	0,01584	ikṣu	m	0,01308																									vājin	m	0,01653													kanīyas	adj	0,00413
da	adj	0,17630	vālukā	f	0,02341	koṭi	f	0,02961	gaurī	f	0,01584	vastu	n	0,01308																									janman	n	0,01653													pāthas	n	0,00413
jala	n	0,17354	hikkā	f	0,02341	vami	f	0,02961	kākolī	f	0,01515	ūru	mf	0,01240																									brahman	n	0,01653													tapas	n	0,00413
phala	n	0,17010	avasthā	f	0,02273	piṣṭi	f	0,02961	dhī	f	0,01515	ripu	m	0,01240																									trayodaśan	adj	0,01584													sahas	n	0,00413
vraṇa	mn	0,16803	lākṣā	f	0,02273	saṁdhi	mf	0,02892	devadālī	f	0,01515	tantu	m	0,01240																									pakṣin	m	0,01446															
dina	mn	0,16390	śyāmā	f	0,02204	viṁśati	f	0,02824	pārvatī	f	0,01515	jānu	mn	0,01033																									rūpin	adj	0,01377															
kāsa	m	0,16321	mustā	fn	0,02204	yukti	f	0,02824	dantī	f	0,01515	upadhātu	m	0,00964																									apahārin	adj	0,01377															
gandhaka	mn	0,16321	niśā	f	0,02135	śāli	m	0,02686	brāhmī	f	0,01515	bhānu	m	0,00964																									pattrin	m	0,01240															
pattra	mn	0,16252	vacā	f	0,02066	aṅguli	mf	0,02548	kajjalī	f	0,01377	taru	m	0,00964																									rūkman	n	0,01240															
bhāga	m	0,16184	elā	mf	0,01997	buddhi	f	0,02548	karkoṭī	f	0,01377	dadru	fn	0,00964																									majjan	m	0,01171															
tāmra	n	0,15633	medhā	f	0,01997	rātri	f	0,02479	cetakī	f	0,01377	prabhu	m	0,00964																									yogavāhin	adj	0,01171															
śvāsa	m	0,15564	jaṭā	f	0,01997	nābhi	f	0,02410	rajanī	f	0,01377	trikaṭu	mn	0,00895																									śaśin	m	0,01171															
śūla	mn	0,15564	ajā	f	0,01928	asthi	n	0,02410	lakṣmī	f	0,01377	bāhu	mf	0,00895																									rasakarman	n	0,01033															
ja	adj	0,15288	rājikā	f	0,01859	mukti	f	0,02410	sureśvarī	f	0,01377	paṭu	adj	0,00826																									dehin	m	0,01033															
rucya	adj	0,14737	jihvā	f	0,01791	rati	f	0,02341	kākamācī	f	0,01308	āśu	adj	0,00826																									mūrdhan	m	0,01033															
mantra	mn	0,14531	sikatā	mf	0,01791	bhrānti	f	0,02273	padminī	f	0,01308	priyaṅgu	mf	0,00826																									narman	n	0,00964															
mākṣika	mfn	0,14324	pathyā	f	0,01722	oṣadhi	mf	0,02273	vākucī	f	0,01308	aguru	mn	0,00758																									arthin	adj	0,00964															
aṁśa	m	0,14118	nāsā	f	0,01722	giri	m	0,02135	dhātakī	f	0,01240	tanu	adj	0,00758																									rogin	adj	0,00964															
abhra	mn	0,14049	kaṇā	f	0,01653	ekaviṁśati	f	0,02066	yoginī	f	0,01240	śambhu	m	0,00758																									durnāman	fn	0,00964															
vidhāna	n	0,14049	kṛṣṇā	f	0,01653	druti	f	0,02066	vartī	f	0,01240	ṛju	adj	0,00689																									śṛṅgin	mfn	0,00964															
nāga	mn	0,13773	abhayā	f	0,01653	akṣi	n	0,02066	jayantī	f	0,01240	dhenu	f	0,00689																									kṛtin	adj	0,00895															
puṭa	mn	0,13567	svarjikā	mf	0,01653	ākṛti	f	0,01997	jyotiṣmatī	f	0,01240	rajju	mf	0,00689																									vāhin	adj	0,00895															
dvaya	n	0,13498	pīḍā	f	0,01653	vasti	mf	0,01997	kālī	f	0,01171	hiṅgu	n	0,00689																									roman	n	0,00895															
mukha	n	0,13498	kāmalā	mfn	0,01584	smṛti	f	0,01997	kunaṭī	f	0,01171	kaṭu	m	0,00620																									hastin	m	0,00895															
varṇa	mn	0,13360	kālikā	f	0,01584	garbhadruti	f	0,01997	nāgavallī	f	0,01171	kapikacchu	f	0,00620																									vidāhin	adj	0,00895															
vṛṣya	adj	0,13360	ciñcā	f	0,01584	śuci	adj	0,01859	cāṅgerī	f	0,01171	cāru	adj	0,00620																									gāmin	adj	0,00895															
kṣīra	n	0,12947	raktikā	fn	0,01584	granthi	m	0,01791	valī	f	0,01171	pāṁśu	m	0,00620																									viṣṭambhin	adj	0,00895															
tulya	adj	0,12809	sudhā	f	0,01584	viśuddhi	f	0,01791	somavallī	f	0,01171	paṭu	m	0,00551																									saptadaśan	adj	0,00895															
āhvaya	m	0,12740	haṇḍikā	mf	0,01584	utpatti	f	0,01653	śaṅkhinī	f	0,01171	iṣu	mf	0,00551																									manīṣin	adj	0,00826															
rakta	n	0,12740	muktā	f	0,01584	muṣṭi	mf	0,01653	auṣadhī	f	0,01102	tālu	mn	0,00551																									carman	n	0,00826															
madhya	n	0,12671	śivā	f	0,01515	dīpti	f	0,01515	karkaṭī	f	0,01102	jambu	f	0,00551																									vartin	adj	0,00826															
asra	n	0,12534	suṣumṇā	f	0,01515	sthiti	f	0,01515	vaṭī	f	0,01102	sīdhu	mfn	0,00551																									vādin	adj	0,00826															
vajra	mn	0,12465	nidrā	f	0,01446	mṛti	f	0,01515	sundarī	f	0,01102	aṁśu	m	0,00482																									mahiman	m	0,00826															
prada	adj	0,12396	rekhā	f	0,01446	surabhi	adj	0,01446	parameśānī	f	0,01102	nighaṇṭu	m	0,00482																									ekādaśan	adj	0,00758															
mātra	n	0,12327	devatā	f	0,01446	sugandhi	adj	0,01446	vajrī	f	0,01033	mastu	n	0,00482																									pākin	adj	0,00758															
taila	n	0,12258	viṣṭhā	f	0,01446	catuḥṣaṣṭi	f	0,01377	vallī	f	0,01033	vasu	n	0,00482																									prāṇin	m	0,00758															
kaṭuka	adj	0,12189	vāsā	f	0,01446	kaṭi	f	0,01308	hastinī	f	0,01033	lajjālu	f	0,00482																									chedin	adj	0,00689															
āmaya	m	0,12189	manohvā	f	0,01377	kṛti	f	0,01308	muṇḍī	f	0,01033	palāṇḍu	mn	0,00482																									yakṣman	m	0,00689															
śītala	adj	0,12052	śvetā	f	0,01377	mati	f	0,01308	ketakī	f	0,00964	sādhu	adj	0,00482																									kṣīrin	m	0,00689															
rūkṣa	adj	0,11845	bhadrā	f	0,01377	ṛddhi	f	0,01308	kuṇḍalinī	f	0,00964	śiśu	m	0,00482																									phaṇin	m	0,00689															
rūpa	n	0,11845	vandhyā	f	0,01377	vātāri	m	0,01308	śreyasī	f	0,00964	dāru	mn	0,00482																									karin	m	0,00620															
pāka	m	0,11776	varā	f	0,01377	vyakti	f	0,01308	jātī	f	0,00964	girijatu	n	0,00482																									adhikārin	adj	0,00620															
amla	adj	0,11707	balā	f	0,01377	śukti	f	0,01308	tarjanī	f	0,00964	kaṇṭālu	m	0,00413																									adhvan	m	0,00620															
kṣaya	m	0,11707	kūpikā	f	0,01308	pati	m	0,01308	vidārī	f	0,00964	madhu	m	0,00413																									mantrin	adj	0,00620															
mūtra	n	0,11638	mañjiṣṭhā	mf	0,01308	ahi	m	0,01240	śāliparṇī	f	0,00964	bhīru	adj	0,00413																									dhārin	adj	0,00620															
udara	n	0,11363	vasā	f	0,01308	praśānti	f	0,01240	śālmalī	f	0,00964	aśru	mn	0,00413																									rājayakṣman	m	0,00620															
mūla	mn	0,11294	piṅgalā	f	0,01308	ṛṣi	m	0,01171	kṣīriṇī	f	0,00964	jatu	mn	0,00413																									yamin	adj	0,00620															
mala	mn	0,11087	śikhā	f	0,01308	hāni	f	0,01171	darvī	f	0,00964	snāyu	fn	0,00413																									vyavāyin	adj	0,00620															
tāra	mn	0,10950	piṣṭikā	f	0,01308	vitasti	f	0,01171	oṣadhī	f	0,00964	hanu	mf	0,00413																									śālin	adj	0,00620															
svarṇa	n	0,10950	pūtanā	f	0,01308	prakṛti	f	0,01171	kaṇṭakārī	f	0,00895	cañcu	mf	0,00413																									śikharin	m	0,00620															
kṛṣṇa	adj	0,10812	maṅgalyā	f	0,01240	prīti	f	0,01171	bhārgī	f	0,00895																												balin	m	0,00620															
pārada	mn	0,10743	nalikā	f	0,01240	samādhi	m	0,01102	haimavatī	f	0,00895																												kāmin	m	0,00551															
vāra	mn	0,10537	rambhā	f	0,01240	rīti	f	0,01102	pṛthvī	f	0,00895																												patatrin	m	0,00551															
sva	adj	0,10468	lūtā	f	0,01240	hari	m	0,01102	kaṅguṇī	f	0,00895																												mantrin	m	0,00551															
abhraka	mn	0,10399	sugandhā	f	0,01240	śruti	f	0,01033	atasī	f	0,00826																												yuvan	m	0,00551															
pātra	n	0,10330	prajñā	f	0,01240	vikṛti	f	0,01033	kāravī	f	0,00826																												vajrin	m	0,00551															
viśeṣa	m	0,10330	kanyakā	f	0,01171	dhamani	f	0,01033	matsyākṣī	f	0,00826																												vardhin	adj	0,00551															
vaṅga	mn	0,10192	varṣā	f	0,01171	pāṇi	m	0,01033	citriṇī	f	0,00826																												lakṣman	n	0,00551															
yantra	mn	0,10192	māyā	f	0,01171	sṛṣṭi	f	0,01033	meṣaśṛṅgī	f	0,00758																												dhanvin	m	0,00551															
rakta	adj	0,10123	mālā	f	0,01171	kṣiti	f	0,01033	mahī	f	0,00758																												pāman	mn	0,00551															
ṭaṅkaṇa	mn	0,10123	drākṣā	f	0,01171	vṛtti	f	0,01033	māṣaparṇī	f	0,00758																												sukhin	adj	0,00551															
śveta	adj	0,10054	tārā	f	0,01171	pravṛtti	f	0,01033	tulasī	f	0,00758																												vidhvaṁsin	adj	0,00551															
gulma	mn	0,09986	mṛgayā	f	0,01171	kavi	m	0,00964	śaṅkhapuṣpī	f	0,00758																												śākhin	m	0,00551															
pathya	adj	0,09572	medā	f	0,01171	ṣaṣṭi	f	0,00964	vyāghrī	f	0,00758																												pradāyin	adj	0,00551															
traya	n	0,09572	andhamūṣā	mf	0,01102	bāhyadruti	f	0,00964	viṣaghnī	f	0,00758																												vedin	adj	0,00551															
antara	adj	0,09504	bhastrā	f	0,01102	vrīhi	m	0,00964	pṛthivī	f	0,00758																												śvan	m	0,00551															
deha	mn	0,09504	aśvagandhā	f	0,01102	rāśi	mf	0,00895	tuvarī	f	0,00758																												sādin	m	0,00482															
dravya	n	0,09366	iḍā	f	0,01102	sūri	m	0,00895	kaṭabhī	f	0,00689																												marman	n	0,00482															
ādika	adj	0,09366	yoṣā	f	0,01102	udañji	m	0,00895	payasvinī	f	0,00689																												cārin	adj	0,00482															
kāla	m	0,09159	vaṭikā	f	0,01102	kapi	m	0,00826	parameśvarī	f	0,00689																												sambandhin	adj	0,00482															
uttama	adj	0,09159	latā	f	0,01102	cūḍāmaṇi	m	0,00826	kāśmarī	f	0,00689																												vanavāsin	m	0,00413															
śopha	m	0,09090	tiktā	f	0,01102	chavi	f	0,00826	nīlī	f	0,00689																												dhanvin	adj	0,00413															
yāma	m	0,09021	jayā	f	0,01102	ākṛṣṭi	f	0,00826	vāruṇī	f	0,00689																												sevin	adj	0,00413															
ghṛta	n	0,09021	dolā	f	0,01102	mūrti	f	0,00826	aṣṭamī	f	0,00689																												śarīrin	m	0,00413															
hima	adj	0,08884	sphaṭikā	mf	0,01102	abdhi	m	0,00758	āsurī	f	0,00689																												śodhin	adj	0,00413															
śata	mn	0,08884	mṛtsnā	f	0,01102	nāḍi	f	0,00758	vajrolī	f	0,00689																												gandhāśman	m	0,00413															
cakṣuṣya	adj	0,08884	kaṭukā	f	0,01033	nidhi	m	0,00758	vānarī	f	0,00689																												viṣāṇin	m	0,00413															
pala	mn	0,08815	ūrṇā	f	0,01033	dhvani	m	0,00758	vāyasī	f	0,00689																																													
lakṣaṇa	n	0,08815	rocanā	f	0,01033	surabhi	m	0,00758	māgadhī	f	0,00689																																													
śeṣa	mn	0,08746	japā	f	0,01033	kṣiti	f	0,00758	haṁsapādī	f	0,00689																																													
pīta	adj	0,08746	vimalā	f	0,01033	viṣamuṣṭi	mf	0,00758	khaṭī	f	0,00689																																													
drava	mn	0,08746	khaṭikā	f	0,01033	aṅghri	m	0,00689	śāmbhavī	f	0,00689																																													
śrama	m	0,08677	dharā	f	0,00964	bhakti	f	0,00689	kṣīrakākolī	f	0,00689																																													
māṁsa	n	0,08677	saumyā	f	0,00964	aśīti	f	0,00689	brahmadaṇḍī	f	0,00689																																													
lavaṇa	n	0,08677	vyathā	f	0,00964	ukti	f	0,00689	suradālī	f	0,00689																																													
pāda	m	0,08608	aṅganā	f	0,00895	rājarīti	f	0,00689	kuhī	f	0,00620																																													
bheda	m	0,08539	ativiṣā	f	0,00895	vicchardi	f	0,00689	kākatuṇḍī	f	0,00620																																													
śiva	m	0,08539	nīlikā	f	0,00895	adhipati	m	0,00689	nākulī	f	0,00620																																													
adhika	adj	0,08471	madhurā	f	0,00895	agasti	m	0,00620	alakṣmī	f	0,00620																																													
ādya	adj	0,08471	vicāraṇā	f	0,00895	apanutti	f	0,00620	yavānī	f	0,00620																																													
aṅga	n	0,08402	cikitsā	f	0,00895	avadhi	m	0,00620	jananī	f	0,00620																																													
tīkṣṇa	adj	0,08333	icchā	f	0,00895	surabhi	f	0,00620	droṇapuṣpī	f	0,00620																																													
meha	m	0,08264	īśvarā	f	0,00895	gandhi	adj	0,00620	dharaṇī	f	0,00620																																													
śamana	adj	0,08264	varāṭikā	f	0,00895	prāpti	f	0,00620	taruṇī	f	0,00620																																													
arka	m	0,08195	mahāvidyā	f	0,00895	adri	m	0,00551	sarasvatī	f	0,00620																																													
dugdha	n	0,08195	lakṣmaṇā	f	0,00895	niṣpatti	f	0,00551	śṛṅgī	f	0,00620																																													
jāraṇa	mfn	0,08195	pāṭalā	f	0,00895	nṛhari	m	0,00551	gardabhī	f	0,00620																																													
rasāyana	n	0,07988	sāraṇā	fn	0,00895	tithi	mf	0,00551	gāyatrī	f	0,00620																																													
anila	m	0,07782	sārivā	f	0,00895	sugandhi	m	0,00551	śimbī	f	0,00620																																													
tridoṣa	mn	0,07782	śatāhvā	mf	0,00895	kṛṣṭi	f	0,00482	mīnākṣī	f	0,00620																																													
garbha	m	0,07782	gaṅgā	f	0,00895	kukṣi	mf	0,00482	pṛśniparṇī	f	0,00620																																													
śarīra	n	0,07713	kṣudrā	f	0,00895	bhūri	adj	0,00482	ghaṭī	f	0,00620																																													
kṣāra	m	0,07644	candrikā	f	0,00895	nivṛtti	f	0,00482	kāṅkṣī	f	0,00551																																													
balya	adj	0,07575	kaṭorikā	mf	0,00895	ari	m	0,00482	masūrī	mf	0,00551																																													
netra	mn	0,07506	mṛgavyā	f	0,00895	bhīti	f	0,00482	upodakī	fn	0,00551																																													
nara	m	0,07438	kāntā	f	0,00826	vanaspati	mf	0,00482	vārāhī	f	0,00551																																													
pācana	adj	0,07438	ambaṣṭhā	f	0,00826	tuṣṭi	f	0,00482	āḍhakī	f	0,00551																																													
dṛḍha	adj	0,07369	nāḍikā	f	0,00826	pārṣṇi	mf	0,00482	meṣī	f	0,00551																																													
kaṇṭha	m	0,07300	dhārā	mf	0,00826	vṛṣṭi	f	0,00482	māṁsī	f	0,00551																																													
vastra	mn	0,07300	cintā	f	0,00826	divyauṣadhi	f	0,00482	trapusī	f	0,00551																																													
sara	adj	0,07300	chāgā	f	0,00826	auṣadhi	f	0,00482	jīvanī	f	0,00551																																													
puṣpa	n	0,07300	rāmā	f	0,00826	ajāji	f	0,00413	gajapippalī	f	0,00551																																													
pakva	adj	0,07231	medhyā	f	0,00826	saṁśuddhi	f	0,00413	mudgaparṇī	f	0,00551																																													
tāpya	mn	0,07231	tulā	f	0,00826	kali	m	0,00413	medinī	f	0,00551																																													
saindhava	mn	0,07162	piṇḍikā	f	0,00826	paṅkti	f	0,00413	dārvī	f	0,00551																																													
māsa	mn	0,07162	jvālā	f	0,00826	kīrti	f	0,00413	phañjī	f	0,00551																																													
saṁśaya	m	0,07093	pītā	f	0,00826	bhūti	f	0,00413	bhūdhātrī	f	0,00551																																													
anta	m	0,07093	vajramūṣā	mf	0,00826	ambudhi	m	0,00413	poṭalī	mf	0,00551																																													
kānta	n	0,07024	karuṇā	f	0,00758	narahari	m	0,00413	kāñcī	f	0,00482																																													
bhūta	mn	0,06955	ajamodā	f	0,00758	bhukti	f	0,00413	patnī	f	0,00482																																													
sūkṣma	adj	0,06887	aparājitā	f	0,00758	raśmi	mf	0,00413	śrīparṇī	f	0,00482																																													
vināśana	adj	0,06887	rāsnā	f	0,00758	tṛpti	f	0,00413	bhārṅgī	f	0,00482																																													
amla	n	0,06749	mahāmudrā	f	0,00758	dhanvantari	m	0,00413	indravāruṇī	f	0,00482																																													
yuta	adj	0,06749	gorocanā	mf	0,00758	hayāri	m	0,00413	yuvatī	f	0,00482																																													
hita	adj	0,06749	śākhā	f	0,00758	vidradhi	mf	0,00413	vatsādanī	f	0,00482																																													
sahasra	mn	0,06680	śiphā	f	0,00758	mṛganābhi	mn	0,00413	rasāyanī	f	0,00482																																													
sāra	mn	0,06680	vīrā	f	0,00758	vivṛddhi	f	0,00413	yakṣiṇī	f	0,00482																																													
rasāyana	adj	0,06680	balivasā	mf	0,00758	prabhṛti	f	0,00413	maheśvarī	f	0,00482																																													
śiśira	adj	0,06611	kajjalikā	f	0,00689	prasiddhi	f	0,00413	mahauṣadhī	f	0,00482																																													
ghana	mn	0,06542	kathā	f	0,00689				mādhavī	f	0,00482																																													
bhāva	m	0,06336	parīkṣā	f	0,00689				mādhvī	f	0,00482																																													
śreṣṭha	adj	0,06267	samaṅgā	f	0,00689				mālatī	f	0,00482																																													
bhāṇḍa	n	0,06267	nāgabalā	f	0,00689				dīpanī	f	0,00482																																													
āma	mn	0,06267	vāsanā	f	0,00689				pāṭalī	f	0,00482																																													
tīkṣṇa	n	0,06267	bhāryā	f	0,00689				piṇḍī	f	0,00482																																													
kvātha	m	0,06129	citrā	f	0,00689				tāmbūlī	f	0,00482																																													
ardha	mn	0,06060	ugragandhā	f	0,00689				tāriṇī	f	0,00482																																													
śāstra	n	0,05991	vaśyā	fn	0,00689				sarpākṣī	f	0,00482																																													
bandha	m	0,05991	dūrvā	f	0,00689				sahadevī	f	0,00482																																													
hasta	mn	0,05922	jalaukā	f	0,00689				gurviṇī	f	0,00482																																													
auṣadha	n	0,05854	tvacā	f	0,00689				badarī	f	0,00482																																													
gagana	n	0,05854	saurāṣṭrā	f	0,00689				śaṭī	f	0,00482																																													
