"от 200 до 700"	ā	61=8.59%	"от 200 до 700"	i	20=2.82%	"от 200 до 700"	ī	19=2.68%	"от 200 до 700"	u	9=1.27%	"от 200 до 700"	ū	16=2.25%	"от 200 до 700"	e	8=1.13%	"от 200 до 700"	ṛ	54=7.61%	"от 200 до 700"	kh	1=0.14%	"от 200 до 700"	gh	1=0.14%	"от 200 до 700"	k	2=0.28%	"от 200 до 700"	ṭh	1=0.14%	"от 200 до 700"	ṭ	1=0.14%	"от 200 до 700"	ḍ	1=0.14%	"от 200 до 700"	ch	4=0.56%	"от 200 до 700"	j	42=5.92%	"от 200 до 700"	c	19=2.68%	"от 200 до 700"	th	3=0.42%	"от 200 до 700"	dh	24=3.38%	"от 200 до 700"	t	16=2.25%	"от 200 до 700"	d	33=4.65%	"от 200 до 700"	n	20=2.82%	"от 200 до 700"	bh	8=1.13%	"от 200 до 700"	p	29=4.08%	"от 200 до 700"	m	47=6.62%	"от 200 до 700"	y	142=20.00%	"от 200 до 700"	r	6=0.85%	"от 200 до 700"	l	4=0.56%	"от 200 до 700"	v	4=0.56%	"от 200 до 700"	ṣ	38=5.35%	"от 200 до 700"	ś	29=4.08%	"от 200 до 700"	s	21=2.96%	"от 200 до 700"	h	27=3.80%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
saṁsthā	v	0,02659	saṁci	v	0,00513													satkṛ	v	0,01794																						rāj	v	0,01474							samṛdh	v	0,00737				vand	v	0,01345	khan	v	0,00513				kﾱp	v	0,00993	vigam	v	0,01538	kīrtay	v	0,02371										kāṅkṣ	v	0,00961	prakāś	v	0,00865	niras	v	0,00545	saṁgrah	v	0,00737
adhiṣṭhā	v	0,02627																vṛ	v	0,01762																						virāj	v	0,01442							vivṛdh	v	0,00705				niṣad	v	0,01345							ākṣip	v	0,00961	abhigam	v	0,01474	ārādhay	v	0,02274										pracakṣ	v	0,00929	upaspṛś	v	0,00801	prahas	v	0,00545	duh	v	0,00705
vyavasthā	v	0,02627																parivṛ	v	0,01538																						upayuj	v	0,01089							nibandh	v	0,00673				ad	v	0,01313							nikṣip	v	0,00929	upāgam	v	0,01217	pātay	v	0,02242										īkṣ	v	0,00897	saṁspṛś	v	0,00801				pragrah	v	0,00705
āyā	v	0,02563																saṁskṛ	v	0,01538																						saṁtyaj	v	0,01089							pravṛdh	v	0,00641				pracchad	v	0,01217							kamp	v	0,00673	praśam	v	0,01185	prakīrtay	v	0,02178										prokṣ	v	0,00833	paribhraṁś	v	0,00673				vyapoh	v	0,00705
gā	v	0,02274																saṁvṛ	v	0,01281																						rañj	v	0,00961							sambandh	v	0,00641				samutpad	v	0,01057							vap	v	0,00577	abhyāgam	v	0,01153	kalpay	v	0,02114										puṣ	v	0,00801	kliś	v	0,00641				āvah	v	0,00641
dhyā	v	0,02242																jṛ	v	0,01249																						viyuj	v	0,00929													niṣpad	v	0,01025							pradīp	v	0,00577	samāgam	v	0,01057	coday	v	0,02114										abhilaṣ	v	0,00801	kruś	v	0,00577				dih	v	0,00545
antardhā	v	0,01890																vikṛ	v	0,01089																						udvij	v	0,00833													pramad	v	0,01025							prasvap	v	0,00545	pariṇam	v	0,01025	daṇḍay	v	0,01954										juṣ	v	0,00769	saṁviś	v	0,00577				vigarh	v	0,00545
vihā	v	0,01890																gurukṛ	v	0,01089																						majj	v	0,00801													sad	v	0,00993							vikṣip	v	0,00545	nirgam	v	0,00993	bhojay	v	0,01922										śiṣ	v	0,00705	anupraviś	v	0,00513				ruh	v	0,00513
nidhā	v	0,01826																saṁhṛ	v	0,01025																						virañj	v	0,00801													nigad	v	0,00865							vilap	v	0,00545	kṣam	v	0,00961	niśāmay	v	0,01826										abhibhāṣ	v	0,00705	prāś	v	0,00513						
nirmā	v	0,01794																tṛ	v	0,00993																						āsañj	v	0,00769													vivad	v	0,00865							saṁtap	v	0,00545	antargam	v	0,00929	yojay	v	0,01730										ākāṅkṣ	v	0,00705	vimṛś	v	0,00513						
