"от 1200 до 1700"	ā	62=9.35%	"от 1200 до 1700"	i	13=1.96%	"от 1200 до 1700"	ī	17=2.56%	"от 1200 до 1700"	u	10=1.51%	"от 1200 до 1700"	ū	11=1.66%	"от 1200 до 1700"	e	6=0.90%	"от 1200 до 1700"	ṛ	48=7.24%	"от 1200 до 1700"	kh	1=0.15%	"от 1200 до 1700"	gh	1=0.15%	"от 1200 до 1700"	k	3=0.45%	"от 1200 до 1700"	g	1=0.15%	"от 1200 до 1700"	ṭh	1=0.15%	"от 1200 до 1700"	ṭ	4=0.60%	"от 1200 до 1700"	ḍ	1=0.15%	"от 1200 до 1700"	ṇ	1=0.15%	"от 1200 до 1700"	ch	3=0.45%	"от 1200 до 1700"	j	34=5.13%	"от 1200 до 1700"	c	19=2.87%	"от 1200 до 1700"	th	3=0.45%	"от 1200 до 1700"	dh	21=3.17%	"от 1200 до 1700"	t	12=1.81%	"от 1200 до 1700"	d	37=5.58%	"от 1200 до 1700"	n	14=2.11%	"от 1200 до 1700"	bh	9=1.36%	"от 1200 до 1700"	p	28=4.22%	"от 1200 до 1700"	b	1=0.15%	"от 1200 до 1700"	m	39=5.88%	"от 1200 до 1700"	y	149=22.47%	"от 1200 до 1700"	r	5=0.75%	"от 1200 до 1700"	l	8=1.21%	"от 1200 до 1700"	v	5=0.75%	"от 1200 до 1700"	ṣ	31=4.68%	"от 1200 до 1700"	ś	21=3.17%	"от 1200 до 1700"	s	23=3.47%	"от 1200 до 1700"	h	21=3.17%
dhyā	v	0,05814	vismi	v	0,01134	pariṇī	v	0,00843	ādru	v	0,00669	samudbhū	v	0,00523				avatṛ	v	0,02209																												parityaj	v	0,02471	abhiṣic	v	0,00930				vadh	v	0,02122	āpat	v	0,00552	vid	v	0,01686	saṁhan	v	0,00930				dīp	v	0,02296				ākram	v	0,02529	bhakṣay	v	0,03895										īkṣ	v	0,01570	upaviś	v	0,02006	bhās	v	0,01163	guh	v	0,01686
ādā	v	0,05814	nirji	v	0,00901	upanī	v	0,00698				uddhū	v	0,00494				uddhṛ	v	0,01744																												visṛj	v	0,01977	sic	v	0,00843				prabudh	v	0,02064	anuvṛt	v	0,00494	nind	v	0,01657	samman	v	0,00640				vyāp	v	0,02296				niyam	v	0,01977	sādhay	v	0,03517										anviṣ	v	0,01163	vinaś	v	0,01744	nivas	v	0,01134	anugrah	v	0,01279
pā	v	0,04389	ci	v	0,00698	nirṇī	v	0,00698										namaskṛ	v	0,01657																												prayuj	v	0,01512	vinirmuc	v	0,00785				prasidh	v	0,01919	parivṛt	v	0,00494	upapad	v	0,01657	upahan	v	0,00610				lip	v	0,02238				nam	v	0,01890	kalpay	v	0,03459										puṣ	v	0,01105	aś	v	0,01599	śās	v	0,01105	ruh	v	0,01192
utthā	v	0,04360	samāśri	v	0,00552	vilī	v	0,00698										sampṛ	v	0,01628																												utsṛj	v	0,01483	abhyarc	v	0,00640				viśudh	v	0,01570				viṣad	v	0,01570	abhihan	v	0,00523				gup	v	0,01948				viśram	v	0,01744	vilokay	v	0,03198										apekṣ	v	0,01105	uddiś	v	0,01424	niras	v	0,01076	nirvivah	v	0,00785
vijñā	v	0,04360				pratī	v	0,00669										vṛ	v	0,01570																												samāyuj	v	0,01250	nirmuc	v	0,00581				rudh	v	0,01483				mad	v	0,01483	upajan	v	0,00523				kamp	v	0,01773				prayam	v	0,01628	vivarjay	v	0,02907										prahṛṣ	v	0,01076	bhraṁś	v	0,01395	abhyas	v	0,01076	āvah	v	0,00698
bhā	v	0,03663				vikrī	v	0,00669										prakṛ	v	0,01483																												upayuj	v	0,01163	prativac	v	0,00581				niṣidh	v	0,01221				rud	v	0,01395							śap	v	0,01686				anugam	v	0,01599	sthāpay	v	0,02849										piṣ	v	0,01017	nirdiś	v	0,01395	niḥśvas	v	0,01046	saṁgrah	v	0,00698
snā	v	0,03227				krī	v	0,00581										vitṛ	v	0,01279																												sañj	v	0,01134	saṁkuñc	v	0,00581				bādh	v	0,00872				āpad	v	0,01366							nikṣip	v	0,01483				upāgam	v	0,01424	pātay	v	0,02820										parīkṣ	v	0,00959	prakāś	v	0,01279	vihas	v	0,00988	nirdah	v	0,00669
pradā	v	0,02878				unnī	v	0,00552										saṁskṛ	v	0,01250																												rāj	v	0,01076	niṣic	v	0,00552				nirudh	v	0,00872				vand	v	0,01279							tṛp	v	0,01453				unnam	v	0,01366	jāray	v	0,02820										kṛṣ	v	0,00901	daṁś	v	0,00756	samādis	v	0,00901	samāruh	v	0,00669
vihā	v	0,02471																vismṛ	v	0,01221																												niyuj	v	0,01046	ruc	v	0,00523				nibandh	v	0,00669				nigad	v	0,01250							saṁtap	v	0,00959				upagam	v	0,01308	janay	v	0,02791										abhīṣ	v	0,00872	vimṛś	v	0,00756	viśvas	v	0,00698	lih	v	0,00610
avasthā	v	0,02209																udāhṛ	v	0,01192																												majj	v	0,01017	arc	v	0,00494				sambandh	v	0,00669				abhinand	v	0,01105							samāp	v	0,00959				āyam	v	0,01279	yojay	v	0,02733										vṛṣ	v	0,00843	samāviś	v	0,00727	upās	v	0,00669	utsah	v	0,00581
nidhā	v	0,02064																vistṛ	v	0,01105																												virañj	v	0,00988							vivṛdh	v	0,00610				khid	v	0,00930							ākṣip	v	0,00901				samāgam	v	0,01279	pūray	v	0,02703										ācakṣ	v	0,00843	saṁspṛś	v	0,00640	upavas	v	0,00640	saṁnah	v	0,00581
khyā	v	0,01977																prasṛ	v	0,01076																												vibhaj	v	0,00959							pravṛdh	v	0,00523				prapad	v	0,00930							prakṣip	v	0,00785				saṁgam	v	0,01250	arcay	v	0,02703										upekṣ	v	0,00843	aś	v	0,00581	ullas	v	0,00523	pratigrah	v	0,00523
gā	v	0,01831																āhṛ	v	0,00988																												lajj	v	0,00930													chad	v	0,00901							vinikṣip	v	0,00756				atikram	v	0,01105	nirūpay	v	0,02616										nirīkṣ	v	0,00756				vilas	v	0,00523			
prasthā	v	0,01744																uttṛ	v	0,00988																												āsañj	v	0,00901													khād	v	0,00872							lup	v	0,00698				kram	v	0,00959	arpay	v	0,02587										pracakṣ	v	0,00640				dhvaṁs	v	0,00494			
āsthā	v	0,01686																saṁhṛ	v	0,00988																												prasañj	v	0,00901													āsad	v	0,00814							kﾱp	v	0,00640				praśam	v	0,00959	ākarṇay	v	0,02558										pratīkṣ	v	0,00640									
pā	v	0,01657																svīkṛ	v	0,00988																												virāj	v	0,00814													mud	v	0,00785							vilup	v	0,00640				viram	v	0,00901	ālokay	v	0,02442										avaśiṣ	v	0,00610									
saṁsthā	v	0,01628																adhikṛ	v	0,00901																												rañj	v	0,00785													nirbhid	v	0,00785							jalp	v	0,00581				śram	v	0,00872	lakṣay	v	0,02413										saṁtuṣ	v	0,00581									
gā	v	0,01570																ekīkṛ	v	0,00901																												nimajj	v	0,00785													nad	v	0,00698							utkṣip	v	0,00581				kṣam	v	0,00843	āsāday	v	0,02413										ghṛṣ	v	0,00552									
dhā	v	0,01570																niḥsṛ	v	0,00901																												saṁtyaj	v	0,00756													mṛd	v	0,00698							vilap	v	0,00581				adhigam	v	0,00785	rañjay	v	0,02355										bhakṣ	v	0,00552									
ādhā	v	0,01512																tṛ	v	0,00872																												garj	v	0,00669													unmad	v	0,00640													udgam	v	0,00785	vedhay	v	0,02238										niṣpiṣ	v	0,00523									
adhiṣṭhā	v	0,01483																vikṛ	v	0,00872																												saṁsṛj	v	0,00640													pracchad	v	0,00640													yam	v	0,00727	dhāray	v	0,02064										muṣ	v	0,00494									
samāyā	v	0,01424																aṅgīkṛ	v	0,00814																												abhivyañj	v	0,00610													vibhid	v	0,00610													ācam	v	0,00727	varṇay	v	0,02006										pratibhāṣ	v	0,00494									
upasthā	v	0,01395																vṛ	v	0,00785																												anurañj	v	0,00523													samutpad	v	0,00610													vigam	v	0,00698	preray	v	0,01977																					
āhvā	v	0,01366																vihṛ	v	0,00785																												udyuj	v	0,00523													svid	v	0,00581													saṁyam	v	0,00698	kīrtay	v	0,01919																					
vyākhyā	v	0,01308																alaṁkṛ	v	0,00756																												vyañj	v	0,00494													vipad	v	0,00581													antargam	v	0,00523	prakīrtay	v	0,01919																					
mā	v	0,01250																jāgṛ	v	0,00727																																											nand	v	0,00552													abhyupagam	v	0,00523	arthay	v	0,01890																					
vyavasthā	v	0,01163																vivṛ	v	0,00698																																											niṣad	v	0,00523													ānam	v	0,00523	kalay	v	0,01890																					
anuṣṭhā	v	0,01134																paripṛ	v	0,00669																																											saṁvid	v	0,00494													niram	v	0,00523	pīḍay	v	0,01831																					
niryā	v	0,01134																anusṛ	v	0,00640																																																										vinirgam	v	0,00494	vicintay	v	0,01831																					
samutthā	v	0,01105																ākṛ	v	0,00640																																																										saṁkram	v	0,00494	āmantray	v	0,01657																					
ākhyā	v	0,01076																puraskṛ	v	0,00640																																																													ārādhay	v	0,01628																					
nirmā	v	0,01046																vaśīkṛ	v	0,00640																																																													nipātay	v	0,01628																					
pratiṣṭhā	v	0,01046																parihṛ	v	0,00610																																																													māray	v	0,01599																					
samādā	v	0,01017																prahṛ	v	0,00581																																																													vāray	v	0,01570																					
saṁdhā	v	0,00988																saṁvṛ	v	0,00581																																																													udīray	v	0,01541																					
upādā	v	0,00959																ādṛ	v	0,00523																																																													prakāśay	v	0,01512																					
pidhā	v	0,00901																upasaṁhṛ	v	0,00523																																																													niśāmay	v	0,01512																					
antardhā	v	0,00872																avakṛ	v	0,00494																																																													avalokay	v	0,01483																					
pratijñā	v	0,00814																vikṛ	v	0,00494																																																													ālocay	v	0,01483																					
tirodhā	v	0,00785																																																																															dāpay	v	0,01424																					
vibhā	v	0,00785																																																																															sāray	v	0,01395																					
ābhā	v	0,00756																																																																															veṣṭay	v	0,01395																					
upāyā	v	0,00756																																																																															āśvāsay	v	0,01395																					
pramā	v	0,00756																																																																															lepay	v	0,01366																					
samākhyā	v	0,00698																																																																															śodhay	v	0,01366																					
anumā	v	0,00669																																																																															arjay	v	0,01337																					
parijñā	v	0,00640																																																																															nivāray	v	0,01337																					
anujñā	v	0,00581																																																																															samarpay	v	0,01337																					
pratyabhijñā	v	0,00581																																																																															pratipāday	v	0,01308																					
anusaṁdhā	v	0,00552																																																																															vijñapay	v	0,01308																					
trā	v	0,00552																																																																															racay	v	0,01279																					
samādhā	v	0,00552																																																																															parikīrtay	v	0,01279																					
vikhyā	v	0,00523																																																																															preṣay	v	0,01279																					
																																																																																	dūṣay	v	0,01250																					
																																																																																	tarpay	v	0,01250																					
																																																																																	niyojay	v	0,01250																					
																																																																																	pradarśay	v	0,01250																					
																																																																																	sampūjay	v	0,01221																					
																																																																																	pālay	v	0,01192																					
																																																																																	vicāray	v	0,01192																					
																																																																																	mohay	v	0,01163																					
																																																																																	īray	v	0,01134																					
																																																																																	niveśay	v	0,01134																					
																																																																																	prasāday	v	0,01134																					
																																																																																	palāy	v	0,01134																					
																																																																																	tāḍay	v	0,01105																					
																																																																																	prārthay	v	0,01105																					
																																																																																	yodhay	v	0,01076																					
																																																																																	sveday	v	0,01076																					
																																																																																	sūcay	v	0,01076																					
																																																																																	aṅkay	v	0,01046																					
																																																																																	jīvay	v	0,01046																					
																																																																																	saṁcintay	v	0,01046																					
																																																																																	pradāpay	v	0,01046																					
																																																																																	parivarjay	v	0,01017																					
																																																																																	vidāray	v	0,01017																					
																																																																																	kṣapay	v	0,01017																					
																																																																																	śikṣay	v	0,00988																					
																																																																																	mūrchay	v	0,00988																					
																																																																																	vañcay	v	0,00988																					
																																																																																	gaṇay	v	0,00959																					
																																																																																	ānāyay	v	0,00959																					
																																																																																	peṣay	v	0,00930																					
																																																																																	pācay	v	0,00901																					
																																																																																	bodhay	v	0,00901																					
																																																																																	mantray	v	0,00901																					
																																																																																	ghātay	v	0,00901																					
																																																																																	āvartay	v	0,00901																					
																																																																																	prapūjay	v	0,00901																					
																																																																																	praveśay	v	0,00901																					
																																																																																	cūrṇay	v	0,00872																					
																																																																																	āvāhay	v	0,00872																					
																																																																																	sambhāvay	v	0,00872																					
																																																																																	visarjay	v	0,00872																					
																																																																																	mocay	v	0,00843																					
																																																																																	bhojay	v	0,00843																					
																																																																																	tāpay	v	0,00814																					
																																																																																	bhūṣay	v	0,00814																					
																																																																																	ācchāday	v	0,00785																					
																																																																																	āliṅgay	v	0,00785																					
																																																																																	guṇay	v	0,00785																					
																																																																																	drāvay	v	0,00785																					
																																																																																	nāśay	v	0,00785																					
																																																																																	parikalpay	v	0,00785																					
																																																																																	vāpay	v	0,00785																					
																																																																																	dīkṣay	v	0,00756																					
																																																																																	utpāday	v	0,00756																					
																																																																																	īpsay	v	0,00756																					
																																																																																	dāray	v	0,00727																					
																																																																																	abhyarthay	v	0,00727																					
																																																																																	arday	v	0,00727																					
																																																																																	parivāray	v	0,00727																					
																																																																																	āropay	v	0,00698																					
																																																																																	vyāpāday	v	0,00698																					
																																																																																	saṁmarday	v	0,00669																					
																																																																																	śoṣay	v	0,00640																					
																																																																																	avadhāray	v	0,00640																					
																																																																																	vāhay	v	0,00610																					
																																																																																	vardhay	v	0,00610																					
																																																																																	toṣay	v	0,00610																					
																																																																																	udghāṭay	v	0,00610																					
																																																																																	upapāday	v	0,00581																					
																																																																																	upalakṣay	v	0,00581																					
																																																																																	āveday	v	0,00552																					
																																																																																	prakalpay	v	0,00552																					
																																																																																	prāpay	v	0,00552																					
																																																																																	sammantray	v	0,00552																					
																																																																																	śamay	v	0,00552																					
																																																																																	kāmay	v	0,00523																					
																																																																																	coday	v	0,00523																					
																																																																																	stambhay	v	0,00523																					
																																																																																	saṁsthāpay	v	0,00523																					
																																																																																	miśray	v	0,00523																					
																																																																																	vibhūṣay	v	0,00523																					
																																																																																	melay	v	0,00523																					
																																																																																	bhrāmay	v	0,00494																					
																																																																																	khaṇḍay	v	0,00494																					
																																																																																	saṁtarpay	v	0,00494																					
																																																																																	samāsāday	v	0,00494																					
																																																																																	niṣecay	v	0,00494																					
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
