"от 1700 до 1956"	ā	38=8.50%	"от 1700 до 1956"	i	6=1.34%	"от 1700 до 1956"	ī	7=1.57%	"от 1700 до 1956"	u	7=1.57%	"от 1700 до 1956"	ū	9=2.01%	"от 1700 до 1956"	e	1=0.22%	"от 1700 до 1956"	ṛ	30=6.71%	"от 1700 до 1956"	kh	1=0.22%	"от 1700 до 1956"	gh	1=0.22%	"от 1700 до 1956"	k	1=0.22%	"от 1700 до 1956"	g	1=0.22%	"от 1700 до 1956"	ṭh	1=0.22%	"от 1700 до 1956"	ṭ	2=0.45%	"от 1700 до 1956"	ḍ	1=0.22%	"от 1700 до 1956"	ṇ	1=0.22%	"от 1700 до 1956"	ch	1=0.22%	"от 1700 до 1956"	j	18=4.03%	"от 1700 до 1956"	c	11=2.46%	"от 1700 до 1956"	dh	12=2.68%	"от 1700 до 1956"	t	5=1.12%	"от 1700 до 1956"	d	20=4.47%	"от 1700 до 1956"	n	10=2.24%	"от 1700 до 1956"	bh	3=0.67%	"от 1700 до 1956"	p	22=4.92%	"от 1700 до 1956"	m	17=3.80%	"от 1700 до 1956"	y	153=34.23%	"от 1700 до 1956"	r	4=0.89%	"от 1700 до 1956"	l	5=1.12%	"от 1700 до 1956"	v	4=0.89%	"от 1700 до 1956"	ṣ	18=4.03%	"от 1700 до 1956"	ś	14=3.13%	"от 1700 до 1956"	s	11=2.46%	"от 1700 до 1956"	h	12=2.68%
khyā	v	0,04392																prakṛ	v	0,04302																												añj	v	0,01882	sampravac	v	0,01210	pariśudh	v	0,00717				gad	v	0,01255	tan	v	0,01076				avāp	v	0,02330	pradham	v	0,01210	pūjay	v	0,08112										duṣ	v	0,01076	vinirdiś	v	0,01031	ās	v	0,00986	āruh	v	0,01120
hā	v	0,04033																dhṛ	v	0,03720																												parityaj	v	0,01524	arc	v	0,01120	nibandh	v	0,00672				utpad	v	0,01210							dīp	v	0,01972	kram	v	0,01165	vimarday	v	0,08022										viśiṣ	v	0,01076	diś	v	0,00941	upavas	v	0,00672	arh	v	0,01031
mā	v	0,03944																udāhṛ	v	0,03182																												yaj	v	0,01255				virudh	v	0,00672				prasad	v	0,01165							svap	v	0,01927	anugam	v	0,01031	pācay	v	0,07484										vīkṣ	v	0,00986	vinaś	v	0,00896				pragrah	v	0,00672
nidhā	v	0,03496																pṛ	v	0,02823																												bhañj	v	0,01031										vand	v	0,01120							vilip	v	0,01255	niyam	v	0,00986	drāvay	v	0,07171										avaśiṣ	v	0,00941	aś	v	0,00717						
pradā	v	0,03227																ekīkṛ	v	0,02330																												sṛj	v	0,00986										niṣpad	v	0,01031							kup	v	0,01210	samāgam	v	0,00852	māray	v	0,07081										hṛṣ	v	0,00717	bhraṁś	v	0,00717						
dhyā	v	0,02823																saṁskṛ	v	0,02241																												majj	v	0,00896										rud	v	0,00896							pralip	v	0,01165	prayam	v	0,00807	varjay	v	0,07036										tuṣ	v	0,00672									
samādā	v	0,02599																vistṛ	v	0,02106																												niyuj	v	0,00896										sampad	v	0,00896							gup	v	0,00941	atikram	v	0,00627	dhāray	v	0,06902										muṣ	v	0,00672									
abhidhā	v	0,02196																bhṛ	v	0,01837																												virāj	v	0,00762										mad	v	0,00852							saṁtap	v	0,00941	unnam	v	0,00627	śoṣay	v	0,06722										śliṣ	v	0,00627									
utthā	v	0,02017																anusṛ	v	0,01389																												visṛj	v	0,00672										sad	v	0,00762							tṛp	v	0,00852				peṣay	v	0,06588										abhilaṣ	v	0,00627									
unmā	v	0,02017																cūrṇīkṛ	v	0,01120																																								pratipad	v	0,00672							samprāp	v	0,00852				sveday	v	0,06274																					
pramā	v	0,01882																alaṁkṛ	v	0,01031																																								nind	v	0,00627							prajap	v	0,00762				vedhay	v	0,06185																					
vikhyā	v	0,01748																āvṛ	v	0,00941																																																	samāp	v	0,00717				veṣṭay	v	0,05961																					
dhā	v	0,01658																uddhṛ	v	0,00941																																																	saṁlip	v	0,00672				sthāpay	v	0,05692																					
snā	v	0,01569																sampṛ	v	0,00941																																																							śodhay	v	0,05468																					
nirmā	v	0,01479																bhasmīkṛ	v	0,00941																																																							sāray	v	0,04885																					
saṁsthā	v	0,01479																niḥsṛ	v	0,00807																																																							gālay	v	0,04482																					
pidhā	v	0,01389																prasṛ	v	0,00807																																																							jvālay	v	0,04392																					
saṁmā	v	0,01300																mukhīkṛ	v	0,00807																																																							sādhay	v	0,04347																					
samākhyā	v	0,01031																uttṛ	v	0,00762																																																							pātay	v	0,04033																					
vihā	v	0,00986																tṛ	v	0,00717																																																							niveśay	v	0,03989																					
prayā	v	0,00941																namaskṛ	v	0,00672																																																							pūray	v	0,03899																					
samutthā	v	0,00941																																																																									vicūrṇay	v	0,03720																					
gā	v	0,00852																																																																									saṁmarday	v	0,03585																					
vinidhā	v	0,00852																																																																									vāhay	v	0,03496																					
ākhyā	v	0,00762																																																																									bandhay	v	0,03451																					
ādhā	v	0,00717																																																																									dāpay	v	0,03406																					
niryā	v	0,00717																																																																									andhay	v	0,03316																					
anupā	v	0,00672																																																																									rañjay	v	0,03272																					
trā	v	0,00627																																																																									parikīrtay	v	0,03272																					
																																																																											kṣālay	v	0,03092																					
																																																																											prakīrtay	v	0,03048																					
																																																																											vivarjay	v	0,03003																					
																																																																											viśoṣay	v	0,02913																					
																																																																											darśay	v	0,02823																					
																																																																											mūrchay	v	0,02779																					
																																																																											pralepay	v	0,02734																					
																																																																											secay	v	0,02689																					
																																																																											īray	v	0,02644																					
																																																																											nirodhay	v	0,02599																					
																																																																											niyojay	v	0,02465																					
																																																																											pradāpay	v	0,02375																					
																																																																											āvartay	v	0,02196																					
																																																																											janay	v	0,02151																					
																																																																											miśray	v	0,02106																					
																																																																											prakalpay	v	0,02062																					
																																																																											melay	v	0,01972																					
																																																																											ācchāday	v	0,01927																					
																																																																											guṇay	v	0,01837																					
																																																																											cālay	v	0,01793																					
																																																																											nāśay	v	0,01793																					
																																																																											puṭay	v	0,01793																					
																																																																											kīrtay	v	0,01748																					
																																																																											tāpay	v	0,01748																					
																																																																											prakṣālay	v	0,01748																					
																																																																											arcay	v	0,01703																					
																																																																											ḍhālay	v	0,01703																					
																																																																											grāhay	v	0,01658																					
																																																																											dvaṁdvay	v	0,01658																					
																																																																											cāray	v	0,01479																					
																																																																											avaśeṣay	v	0,01479																					
																																																																											kalay	v	0,01479																					
																																																																											kvāthay	v	0,01479																					
																																																																											vilepay	v	0,01479																					
																																																																											vāpay	v	0,01479																					
																																																																											niveday	v	0,01434																					
																																																																											niṣecay	v	0,01434																					
																																																																											recay	v	0,01389																					
																																																																											dhmāpay	v	0,01389																					
																																																																											ramay	v	0,01389																					
																																																																											lakṣay	v	0,01389																					
																																																																											nidhāpay	v	0,01344																					
																																																																											cintay	v	0,01300																					
																																																																											vartay	v	0,01300																					
																																																																											racay	v	0,01300																					
																																																																											prajvālay	v	0,01300																					
																																																																											samāvartay	v	0,01300																					
																																																																											bharjay	v	0,01300																					
																																																																											kalpay	v	0,01255																					
																																																																											āloḍay	v	0,01255																					
																																																																											prayojay	v	0,01255																					
																																																																											vibhāvay	v	0,01255																					
																																																																											lolay	v	0,01210																					
																																																																											saṁsthāpay	v	0,01210																					
																																																																											saṁcūrṇay	v	0,01210																					
																																																																											arpay	v	0,01165																					
																																																																											śobhay	v	0,01165																					
																																																																											vipācay	v	0,01165																					
																																																																											dhāmay	v	0,01165																					
																																																																											utthāpay	v	0,01120																					
																																																																											prasāray	v	0,01120																					
																																																																											lehay	v	0,01120																					
																																																																											āveṣṭay	v	0,01076																					
																																																																											vimiśray	v	0,01076																					
																																																																											pāyay	v	0,01031																					
																																																																											rodhay	v	0,01031																					
																																																																											pīḍay	v	0,01031																					
																																																																											stambhay	v	0,01031																					
																																																																											sampūjay	v	0,01031																					
																																																																											rakṣay	v	0,01031																					
																																																																											maṇḍay	v	0,01031																					
																																																																											nirūpay	v	0,00986																					
																																																																											vibhūṣay	v	0,00986																					
																																																																											prakāśay	v	0,00941																					
																																																																											vināśay	v	0,00941																					
																																																																											saṁpeṣay	v	0,00941																					
																																																																											parimarday	v	0,00941																					
																																																																											prapūjay	v	0,00896																					
																																																																											uccāray	v	0,00852																					
																																																																											śamay	v	0,00852																					
																																																																											kuṭṭay	v	0,00807																					
																																																																											chāday	v	0,00807																					
																																																																											vardhay	v	0,00807																					
																																																																											parikalpay	v	0,00807																					
																																																																											saṁveṣṭay	v	0,00807																					
																																																																											mudray	v	0,00807																					
																																																																											samarpay	v	0,00807																					
																																																																											piṇḍay	v	0,00807																					
																																																																											varṇay	v	0,00762																					
																																																																											avatāray	v	0,00762																					
																																																																											udīray	v	0,00762																					
																																																																											bhūṣay	v	0,00762																					
																																																																											vicintay	v	0,00762																					
																																																																											viracay	v	0,00762																					
																																																																											āpūray	v	0,00762																					
																																																																											pramarday	v	0,00762																					
																																																																											bhasmay	v	0,00762																					
																																																																											abhimantray	v	0,00717																					
																																																																											gharṣay	v	0,00717																					
																																																																											vāsay	v	0,00717																					
																																																																											saṁyojay	v	0,00717																					
																																																																											samśoṣay	v	0,00717																					
																																																																											vañcay	v	0,00717																					
																																																																											mantray	v	0,00672																					
																																																																											ārādhay	v	0,00672																					
																																																																											āropay	v	0,00672																					
																																																																											āsāday	v	0,00672																					
																																																																											viniveśay	v	0,00672																					
																																																																											samuccāray	v	0,00672																					
																																																																											nirvāpay	v	0,00672																					
																																																																											loḍay	v	0,00627																					
																																																																											khaṇḍay	v	0,00627																					
																																																																											avalokay	v	0,00627																					
																																																																											uttāray	v	0,00627																					
																																																																											nivāray	v	0,00627																					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
