"от -300 до 200"	ā	67=10.91%	"от -300 до 200"	i	17=2.77%	"от -300 до 200"	ī	16=2.61%	"от -300 до 200"	u	14=2.28%	"от -300 до 200"	ū	13=2.12%	"от -300 до 200"	e	6=0.98%	"от -300 до 200"	ṛ	42=6.84%	"от -300 до 200"	k	2=0.33%	"от -300 до 200"	ḍ	1=0.16%	"от -300 до 200"	ch	3=0.49%	"от -300 до 200"	j	30=4.89%	"от -300 до 200"	c	14=2.28%	"от -300 до 200"	th	3=0.49%	"от -300 до 200"	dh	19=3.09%	"от -300 до 200"	t	21=3.42%	"от -300 до 200"	d	34=5.54%	"от -300 до 200"	n	15=2.44%	"от -300 до 200"	bh	8=1.30%	"от -300 до 200"	p	27=4.40%	"от -300 до 200"	m	43=7.00%	"от -300 до 200"	y	99=16.12%	"от -300 до 200"	r	5=0.81%	"от -300 до 200"	l	3=0.49%	"от -300 до 200"	v	5=0.81%	"от -300 до 200"	ṣ	37=6.03%	"от -300 до 200"	ś	26=4.23%	"от -300 до 200"	s	24=3.91%	"от -300 до 200"	h	20=3.26%
ākhyā	v	0,04060	ucchri	v	0,01133	apanī	v	0,00808										āhṛ	v	0,02406										virāj	v	0,01802							prativyadh	v	0,01087	parivṛt	v	0,01199	āpad	v	0,02815	vitan	v	0,00753				kup	v	0,01291	āyam	v	0,02332	abhivāday	v	0,03326										saṁhṛṣ	v	0,01802	anupaś	v	0,01245	āśaṁs	v	0,01291	vyūh	v	0,01329
pā	v	0,03874	sami	v	0,00883	vyatī	v	0,00771										alaṁkṛ	v	0,02369										sañj	v	0,01561							bādh	v	0,01022	nṛt	v	0,01115	mud	v	0,02713							pradīp	v	0,01273	śam	v	0,02304	niveday	v	0,03187										duṣ	v	0,01691	samāviś	v	0,01217	niḥśvas	v	0,01124	nirdah	v	0,01180
śā	v	0,03596	ci	v	0,00762													bhṛ	v	0,02351										udvij	v	0,01533							avabudh	v	0,00948	ativṛt	v	0,00910	prapad	v	0,02211							jap	v	0,01022	kṣam	v	0,02258	preṣay	v	0,03066										nirīkṣ	v	0,01626	upaspṛś	v	0,01208	praśās	v	0,01013	prasah	v	0,01041
antardhā	v	0,03150																udāhṛ	v	0,02183										pravraj	v	0,01440							pravṛdh	v	0,00836	kṛt	v	0,00808	abhinand	v	0,01895							paryāp	v	0,00985	vikram	v	0,02193	pālay	v	0,03047										samprekṣ	v	0,01440	bhraṁś	v	0,01115	hiṁs	v	0,01003	guh	v	0,00938
āyā	v	0,03066																vikṛ	v	0,02146										rāj	v	0,01291							rudh	v	0,00734	āvṛt	v	0,00762	vinad	v	0,01765							kamp	v	0,00883	vigam	v	0,02100	janay	v	0,02741										pratibhāṣ	v	0,01338	prapaś	v	0,01078	viśvas	v	0,00994	saṁnah	v	0,00808
avasthā	v	0,03010																avatṛ	v	0,02063										niyuj	v	0,01245										samutpat	v	0,00734	vand	v	0,01728							ākṣip	v	0,00836	upāgam	v	0,02025	āmantray	v	0,02555										vīkṣ	v	0,01273	niviś	v	0,01068	as	v	0,00976	saṁgrah	v	0,00780
snā	v	0,02945																tṛ	v	0,01858										majj	v	0,01236										sampat	v	0,00734	viṣad	v	0,01412							nikṣip	v	0,00808	saṁgam	v	0,01970	bhakṣay	v	0,02304										kāṅkṣ	v	0,01254	prakāś	v	0,01022	paryupās	v	0,00957			
bhā	v	0,02685																prahṛ	v	0,01858										samāyuj	v	0,01059													āsad	v	0,01264							vyāp	v	0,00808	dam	v	0,01877	bhūṣay	v	0,02276										vikṛṣ	v	0,01171	kliś	v	0,00976	prāduras	v	0,00892			
anujñā	v	0,02583																avakṛ	v	0,01728										garj	v	0,00966													sad	v	0,01096							vip	v	0,00790	niṣkram	v	0,01626	niśāmay	v	0,02276										cikīrṣ	v	0,01171	aś	v	0,00901	vitras	v	0,00855			
pratiṣṭhā	v	0,02574																ākṛ	v	0,01505										anurañj	v	0,00938													mṛd	v	0,01087							prasvap	v	0,00790	yam	v	0,01347	nipātay	v	0,02239										anviṣ	v	0,01133	ādiś	v	0,00892	jighāṁs	v	0,00780			
vyavasthā	v	0,02341																prakṛ	v	0,01440										saṁsañj	v	0,00938													abhipad	v	0,01041							samāp	v	0,00771	nam	v	0,01338	sthāpay	v	0,02211										juṣ	v	0,01106	nirdiś	v	0,00883						
āhvā	v	0,02323																vyāhṛ	v	0,01440										saṁtyaj	v	0,00920													samutpad	v	0,01031							prakṣip	v	0,00734	nirgam	v	0,01310	tāḍay	v	0,02202										kṛṣ	v	0,01068	saṁdṛś	v	0,00799						
saṁdhā	v	0,02220																apahṛ	v	0,01412										nimajj	v	0,00873													pramad	v	0,01022							kﾱp	v	0,00725	saṁyam	v	0,01245	mohay	v	0,02193										mṛṣ	v	0,01059									
prasthā	v	0,02202																namaskṛ	v	0,01394										vibhaj	v	0,00855													nirbhid	v	0,00938										prakram	v	0,01236	varjay	v	0,02183										parirakṣ	v	0,01022									
abhiyā	v	0,02183																uddhṛ	v	0,01319										bhrāj	v	0,00845													pramud	v	0,00892										upakram	v	0,01226	kīrtay	v	0,02137										abhivṛṣ	v	0,01013									
vihā	v	0,02100																samāvṛ	v	0,01291										saṁrañj	v	0,00818													khād	v	0,00855										vidham	v	0,01217	vibhūṣay	v	0,02072										abhirakṣ	v	0,00920									
gā	v	0,01932																kṛ	v	0,01171																									nard	v	0,00855										praśam	v	0,01199	arcay	v	0,01998										puṣ	v	0,00892									
anuyā	v	0,01840																samalaṁkṛ	v	0,01059																									chad	v	0,00845										saṁnam	v	0,01180	yodhay	v	0,01877										ukṣ	v	0,00883									
pratijñā	v	0,01830																vistṛ	v	0,01022																									gad	v	0,00818										abhyāgam	v	0,01171	kalpay	v	0,01849										pratīkṣ	v	0,00845									
khyā	v	0,01821																anusmṛ	v	0,00938																									unmad	v	0,00818										niram	v	0,01161	prasāday	v	0,01691										upekṣ	v	0,00818									
niryā	v	0,01765																sampṛ	v	0,00920																																					ākram	v	0,01152	utpāday	v	0,01672										śikṣ	v	0,00818									
abhidhā	v	0,01626																vivṛ	v	0,00873																																					śram	v	0,01124	chāday	v	0,01654										avaśiṣ	v	0,00762									
dhyā	v	0,01579																viśṛ	v	0,00873																																					bhram	v	0,01003	nivāray	v	0,01654										parīkṣ	v	0,00753									
samādhā	v	0,01533																vikṛ	v	0,00855																																					sambhram	v	0,00883	prārthay	v	0,01635																					
abhijñā	v	0,01505																paripṛ	v	0,00827																																					viśram	v	0,00799	mānay	v	0,01552																					
ājñā	v	0,01477																saṁskṛ	v	0,00827																																					samudyam	v	0,00799	lakṣay	v	0,01533																					
upayā	v	0,01449																saṁhṛ	v	0,00808																																					pariśram	v	0,00771	karśay	v	0,01496																					
nirmā	v	0,01403																niḥsṛ	v	0,00743																																					apakram	v	0,00753	śobhay	v	0,01459																					
abhyanujñā	v	0,01394																																																							dham	v	0,00734	yojay	v	0,01459																					
adhiṣṭhā	v	0,01375																																																										āropay	v	0,01459																					
ādhā	v	0,01356																																																										tarpay	v	0,01449																					
vikhyā	v	0,01356																																																										sampūjay	v	0,01421																					
upādā	v	0,01338																																																										vartay	v	0,01394																					
anuṣṭhā	v	0,01301																																																										pūray	v	0,01375																					
trā	v	0,01291																																																										saṁlakṣay	v	0,01347																					
samutthā	v	0,01282																																																										īpsay	v	0,01273																					
vyavasā	v	0,01217																																																										saṁcintay	v	0,01264																					
śraddhā	v	0,01208																																																										āśvāsay	v	0,01226																					
prahā	v	0,01199																																																										vivarjay	v	0,01226																					
dhā	v	0,01180																																																										sāntvay	v	0,01217																					
samprasthā	v	0,01152																																																										mūrchay	v	0,01208																					
samāsthā	v	0,01143																																																										kāmay	v	0,01199																					
prajñā	v	0,01124																																																										ājñāpay	v	0,01180																					
saṁsthā	v	0,01059																																																										pravartay	v	0,01171																					
pratibhā	v	0,01031																																																										pratiṣṭhāpay	v	0,01124																					
vyākhyā	v	0,01022																																																										visarjay	v	0,01124																					
vā	v	0,00976																																																										vicintay	v	0,01106																					
samādā	v	0,00883																																																										niveśay	v	0,01096																					
viṣṭhā	v	0,00864																																																										abhipūjay	v	0,01087																					
pratyudyā	v	0,00845																																																										upaśobhay	v	0,01068																					
samāhvā	v	0,00808																																																										mantray	v	0,01059																					
samupasthā	v	0,00790																																																										sādhay	v	0,01059																					
nidhā	v	0,00734																																																										ghātay	v	0,01041																					
																																																												daṁśay	v	0,01031																					
																																																												vardhay	v	0,01022																					
																																																												varay	v	0,01022																					
																																																												rocay	v	0,01013																					
																																																												nāday	v	0,01013																					
																																																												toṣay	v	0,01013																					
																																																												vicāray	v	0,00994																					
																																																												paripālay	v	0,00994																					
																																																												trāsay	v	0,00976																					
																																																												nāśay	v	0,00976																					
																																																												bhāvay	v	0,00966																					
																																																												śrāvay	v	0,00957																					
																																																												vācay	v	0,00957																					
																																																												mokṣay	v	0,00957																					
																																																												nivartay	v	0,00929																					
																																																												deśay	v	0,00920																					
																																																												tāray	v	0,00920																					
																																																												kampay	v	0,00910																					
																																																												ālokay	v	0,00901																					
																																																												pratipūjay	v	0,00901																					
																																																												īray	v	0,00799																					
																																																												praveśay	v	0,00790																					
																																																												vidāray	v	0,00780																					
																																																												pracoday	v	0,00762																					
																																																												dharṣay	v	0,00753																					
																																																												pratipāday	v	0,00753																					
																																																												vidarśay	v	0,00753																					
																																																												ārocay	v	0,00753																					
																																																												pracchāday	v	0,00743																					
																																																												prakīrtay	v	0,00725																					
																																																												visphāray	v	0,00725																					
																																																												samarpay	v	0,00725																					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
