"от 700 до 1200"	ā	62=10.03%	"от 700 до 1200"	i	14=2.27%	"от 700 до 1200"	ī	19=3.07%	"от 700 до 1200"	u	8=1.29%	"от 700 до 1200"	ū	15=2.43%	"от 700 до 1200"	e	8=1.29%	"от 700 до 1200"	ṛ	45=7.28%	"от 700 до 1200"	kh	2=0.32%	"от 700 до 1200"	k	2=0.32%	"от 700 до 1200"	ṭh	1=0.16%	"от 700 до 1200"	ṭ	2=0.32%	"от 700 до 1200"	ḍ	1=0.16%	"от 700 до 1200"	ch	2=0.32%	"от 700 до 1200"	j	32=5.18%	"от 700 до 1200"	c	18=2.91%	"от 700 до 1200"	th	2=0.32%	"от 700 до 1200"	dh	24=3.88%	"от 700 до 1200"	t	10=1.62%	"от 700 до 1200"	d	34=5.50%	"от 700 до 1200"	n	18=2.91%	"от 700 до 1200"	bh	6=0.97%	"от 700 до 1200"	p	27=4.37%	"от 700 до 1200"	b	1=0.16%	"от 700 до 1200"	m	34=5.50%	"от 700 до 1200"	y	118=19.09%	"от 700 до 1200"	r	6=0.97%	"от 700 до 1200"	l	3=0.49%	"от 700 до 1200"	v	4=0.65%	"от 700 до 1200"	ṣ	26=4.21%	"от 700 до 1200"	ś	25=4.05%	"от 700 до 1200"	s	23=3.72%	"от 700 до 1200"	h	26=4.21%
dhā	v	0,03803				parī	v	0,00600										avatṛ	v	0,01926																			niyuj	v	0,01151	arc	v	0,00600				prasidh	v	0,00675				gad	v	0,01601	anuman	v	0,00625				anuprāp	v	0,01051				anugam	v	0,01451	bhūṣay	v	0,03002										vṛṣ	v	0,01001	prapaś	v	0,01026	abhyas	v	0,00901	avagāh	v	0,00826
utthā	v	0,03753				praṇī	v	0,00575										āhṛ	v	0,01926																			majj	v	0,01101	vivic	v	0,00550				samṛdh	v	0,00625				samutpad	v	0,01276	avaman	v	0,00550				nikṣip	v	0,01051				ācam	v	0,01401	bhojay	v	0,02927										ākṛṣ	v	0,00901	upadiś	v	0,00976	tras	v	0,00876	saṁgrah	v	0,00826
vyavasthā	v	0,03327				vyatī	v	0,00575										saṁvṛ	v	0,01776																			āsañj	v	0,01101	sic	v	0,00525				prabudh	v	0,00600				nind	v	0,01226	uddhan	v	0,00550				ākṣip	v	0,00976				saṁgam	v	0,01326	janay	v	0,02852										prekṣ	v	0,00901	aś	v	0,00826	samās	v	0,00851	adhiruh	v	0,00751
khyā	v	0,02802				anunī	v	0,00525										vṛ	v	0,01751																			abhiyuj	v	0,01076							nibandh	v	0,00575				nirbhid	v	0,01076							prasvap	v	0,00801				kṣam	v	0,01251	kalpay	v	0,02802										saṁtuṣ	v	0,00901	upaspṛś	v	0,00826	dhvaṁs	v	0,00675	udvah	v	0,00675
abhidhā	v	0,02752																udāhṛ	v	0,01651																			sañj	v	0,01026							pratiṣidh	v	0,00550				abhinand	v	0,00976							samāp	v	0,00801				ākram	v	0,01226	mohay	v	0,02702										avekṣ	v	0,00851	nirdiś	v	0,00826	saṁnyas	v	0,00650	prasah	v	0,00600
āyā	v	0,02702																vistṛ	v	0,01651																			saṁtyaj	v	0,00976							edh	v	0,00525				upapad	v	0,00976							samavāp	v	0,00700				dam	v	0,01201	niveday	v	0,02702										prahṛṣ	v	0,00851	daṁś	v	0,00625	hiṁs	v	0,00550	samāruh	v	0,00600
nirmā	v	0,02652																samāvṛ	v	0,01476																			virāj	v	0,00951							niṣidh	v	0,00525				unmad	v	0,00926							saṁkṣip	v	0,00675				upāgam	v	0,01201	mahīy	v	0,02652										parīkṣ	v	0,00801	vimṛś	v	0,00625	las	v	0,00525	ruh	v	0,00575
upasthā	v	0,02577																apahṛ	v	0,01426																			bhañj	v	0,00901							saṁsidh	v	0,00525				ad	v	0,00876							saṁtap	v	0,00650				saṁyam	v	0,01176	prakīrtay	v	0,02577										samprekṣ	v	0,00776	bhraṁś	v	0,00600	vikas	v	0,00525	pratigrah	v	0,00575
prayā	v	0,02577																vyāhṛ	v	0,01401																			virañj	v	0,00876							sambandh	v	0,00525				nad	v	0,00876							vilap	v	0,00625				yam	v	0,01151	sādhay	v	0,02552										upekṣ	v	0,00600	kliś	v	0,00525				pragrah	v	0,00550
vikhyā	v	0,02577																tṛ	v	0,01326																			nimajj	v	0,00776													niṣad	v	0,00851							kamp	v	0,00550				atikram	v	0,01126	dhāray	v	0,02452										jakṣ	v	0,00525	samuddiś	v	0,00525				īh	v	0,00525
antardhā	v	0,02502																ākṛ	v	0,01051																			udvij	v	0,00751													vibhid	v	0,00851							prakṣip	v	0,00550				praśam	v	0,00951	tarpay	v	0,02352										muṣ	v	0,00525							vimuh	v	0,00525
adhiṣṭhā	v	0,02452																sampṛ	v	0,01051																			rañj	v	0,00650													abhivand	v	0,00826							vikṣip	v	0,00550				vigam	v	0,00851	utpāday	v	0,02177																					
avasthā	v	0,02327																gṛ	v	0,01001																			pariṣvaj	v	0,00650													pravad	v	0,00801													upagam	v	0,00751	niśāmay	v	0,02152																					
ākhyā	v	0,02227																niḥsṛ	v	0,00976																			anurañj	v	0,00625													chad	v	0,00776													śram	v	0,00675	snāpay	v	0,02051																					
vihā	v	0,02177																saṁsmṛ	v	0,00926																			prasañj	v	0,00575													khid	v	0,00700													viram	v	0,00675	arpay	v	0,01976																					
ādhā	v	0,02152																vihṛ	v	0,00876																			bhrāj	v	0,00550													vinind	v	0,00675													abhigam	v	0,00625	pālay	v	0,01926																					
nidhā	v	0,01851																saṁskṛ	v	0,00826																			mṛj	v	0,00525													sad	v	0,00625													niṣkram	v	0,00600	parikīrtay	v	0,01926																					
pratiṣṭhā	v	0,01826																samuddhṛ	v	0,00726																																		pramad	v	0,00600													viśram	v	0,00575	prārthay	v	0,01926																					
vyākhyā	v	0,01676																anusmṛ	v	0,00650																																		āsad	v	0,00525													uparam	v	0,00525	īpsay	v	0,01801																					
āhvā	v	0,01651																samākṛ	v	0,00650																																																				pīḍay	v	0,01776																					
pā	v	0,01626																śṛ	v	0,00600																																																				śrāvay	v	0,01751																					
bhā	v	0,01576																parivṛ	v	0,00600																																																				vilokay	v	0,01751																					
anuṣṭhā	v	0,01351																parihṛ	v	0,00600																																																				ākarṇay	v	0,01626																					
prasthā	v	0,01176																adhikṛ	v	0,00575																																																				ālokay	v	0,01601																					
gā	v	0,01151																prahṛ	v	0,00575																																																				śobhay	v	0,01526																					
samākhyā	v	0,01101																vismṛ	v	0,00575																																																				īray	v	0,01526																					
trā	v	0,00976																sambhṛ	v	0,00575																																																				bhakṣay	v	0,01526																					
samāyā	v	0,00976																jṛ	v	0,00550																																																				pūray	v	0,01501																					
śraddhā	v	0,00951																viśṛ	v	0,00550																																																				vibhūṣay	v	0,01476																					
saṁnidhā	v	0,00951																satkṛ	v	0,00550																																																				toṣay	v	0,01451																					
samāsthā	v	0,00926																																																																						vijñāpay	v	0,01426																					
samutthā	v	0,00901																																																																						coday	v	0,01401																					
anujñā	v	0,00876																																																																						lakṣay	v	0,01351																					
saṁdhā	v	0,00851																																																																						yojay	v	0,01326																					
samādhā	v	0,00776																																																																						maṇḍay	v	0,01301																					
samādā	v	0,00726																																																																						nivāray	v	0,01251																					
avasā	v	0,00700																																																																						vicintay	v	0,01226																					
āghrā	v	0,00700																																																																						daṇḍay	v	0,01201																					
vinirmā	v	0,00675																																																																						upaśobhay	v	0,01176																					
vā	v	0,00650																																																																						vicāray	v	0,01176																					
saṁmā	v	0,00650																																																																						racay	v	0,01151																					
anuyā	v	0,00625																																																																						tāḍay	v	0,01126																					
upādā	v	0,00625																																																																						nāśay	v	0,01101																					
anumā	v	0,00600																																																																						saṁsthāpay	v	0,01101																					
tirodhā	v	0,00600																																																																						abhyarcay	v	0,01101																					
upayā	v	0,00575																																																																						veṣṭay	v	0,01076																					
vibhā	v	0,00525																																																																						pracoday	v	0,01076																					
																																																																								samāsāday	v	0,01076																					
																																																																								varṇay	v	0,01026																					
																																																																								tāray	v	0,01026																					
																																																																								arjay	v	0,01001																					
																																																																								aṅkay	v	0,01001																					
																																																																								bodhay	v	0,01001																					
																																																																								samabhyarcay	v	0,01001																					
																																																																								varay	v	0,00976																					
																																																																								āropay	v	0,00976																					
																																																																								prakalpay	v	0,00976																					
																																																																								mocay	v	0,00951																					
																																																																								gopāy	v	0,00951																					
																																																																								arday	v	0,00926																					
																																																																								saṁcintay	v	0,00926																					
																																																																								visarjay	v	0,00901																					
																																																																								dūṣay	v	0,00876																					
																																																																								nirūpay	v	0,00876																					
																																																																								vartay	v	0,00851																					
																																																																								pātay	v	0,00851																					
																																																																								niveśay	v	0,00851																					
																																																																								preṣay	v	0,00851																					
																																																																								vibhāvay	v	0,00851																					
																																																																								udīray	v	0,00826																					
																																																																								prakṣālay	v	0,00826																					
																																																																								pradāpay	v	0,00826																					
																																																																								pratiṣṭhāpay	v	0,00801																					
																																																																								vāray	v	0,00776																					
																																																																								preray	v	0,00776																					
																																																																								śodhay	v	0,00751																					
																																																																								āliṅgay	v	0,00751																					
																																																																								samarpay	v	0,00751																					
																																																																								laṅghay	v	0,00726																					
																																																																								śikṣay	v	0,00726																					
																																																																								kāmay	v	0,00700																					
																																																																								pravartay	v	0,00700																					
																																																																								vimohay	v	0,00700																					
																																																																								mānay	v	0,00675																					
																																																																								avalokay	v	0,00675																					
																																																																								pradarśay	v	0,00675																					
																																																																								saṁtarpay	v	0,00675																					
																																																																								āmantray	v	0,00650																					
																																																																								prasāday	v	0,00650																					
																																																																								viracay	v	0,00650																					
																																																																								mūrchay	v	0,00625																					
																																																																								niyojay	v	0,00625																					
																																																																								abhivāday	v	0,00625																					
																																																																								plāvay	v	0,00600																					
																																																																								viśodhay	v	0,00600																					
																																																																								utthāpay	v	0,00575																					
																																																																								samarcay	v	0,00575																					
																																																																								vañcay	v	0,00575																					
																																																																								abhipūjay	v	0,00525																					
																																																																								avaguṇṭhay	v	0,00525																					
																																																																								uccāray	v	0,00525																					
																																																																								nipātay	v	0,00525																					
																																																																								vācay	v	0,00525																					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
