"от -800 до -300"	ā	65=10.64%	"от -800 до -300"	i	18=2.95%	"от -800 до -300"	ī	16=2.62%	"от -800 до -300"	u	15=2.45%	"от -800 до -300"	ū	10=1.64%	"от -800 до -300"	e	6=0.98%	"от -800 до -300"	ṛ	43=7.04%	"от -800 до -300"	k	2=0.33%	"от -800 до -300"	g	1=0.16%	"от -800 до -300"	ḍ	3=0.49%	"от -800 до -300"	ṇ	1=0.16%	"от -800 до -300"	ch	3=0.49%	"от -800 до -300"	j	35=5.73%	"от -800 до -300"	c	17=2.78%	"от -800 до -300"	th	3=0.49%	"от -800 до -300"	dh	21=3.44%	"от -800 до -300"	t	18=2.95%	"от -800 до -300"	d	32=5.24%	"от -800 до -300"	n	17=2.78%	"от -800 до -300"	bh	9=1.47%	"от -800 до -300"	p	22=3.60%	"от -800 до -300"	m	37=6.06%	"от -800 до -300"	y	80=13.09%	"от -800 до -300"	r	8=1.31%	"от -800 до -300"	l	3=0.49%	"от -800 до -300"	v	12=1.96%	"от -800 до -300"	ṣ	39=6.38%	"от -800 до -300"	ś	26=4.26%	"от -800 до -300"	s	25=4.09%	"от -800 до -300"	h	24=3.93%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
gā	v	0,03349																jṛ	v	0,01818																niyuj	v	0,01371							sidh	v	0,00829				mand	v	0,01690							parikṣip	v	0,00861	saṁgam	v	0,01690	śobhay	v	0,02041										nirīkṣ	v	0,01658	vāś	v	0,00925	gras	v	0,00797	adhiruh	v	0,00829
ākhyā	v	0,03253																vyāhṛ	v	0,01754																ruj	v	0,01212							sidh	v	0,00765				āpad	v	0,01563							vap	v	0,00829	niṣkram	v	0,01531	māday	v	0,02009										abhibhāṣ	v	0,01626	niviś	v	0,00925	hiṁs	v	0,00797	ūh	v	0,00797
gā	v	0,02998																alaṁkṛ	v	0,01658																saṁrañj	v	0,01148													pratipad	v	0,01403							paryāp	v	0,00829	adhigam	v	0,01467	vibhūṣay	v	0,01945										duṣ	v	0,01499	ādiś	v	0,00893	āśaṁs	v	0,00765	dih	v	0,00797
pyā	v	0,02870																ākṛ	v	0,01563																sañj	v	0,01116													upapad	v	0,01308										nam	v	0,01308	īray	v	0,01914										ukṣ	v	0,01435	uddiś	v	0,00893	niras	v	0,00765	vṛh	v	0,00734
pradā	v	0,02775																samāvṛ	v	0,01499																ṛj	v	0,01021													prapad	v	0,01212										vigam	v	0,01308	samāsāday	v	0,01882										vīkṣ	v	0,01435	praṇaś	v	0,00829	praśās	v	0,00734	rih	v	0,00734
mā	v	0,02519																satkṛ	v	0,01467																garj	v	0,01021													nard	v	0,01180										kṣam	v	0,01180	parivāray	v	0,01850										vakṣ	v	0,01308	anupaś	v	0,00797	vitras	v	0,00734			
niśā	v	0,02519																sampṛ	v	0,01403																udvij	v	0,01021													kanikrad	v	0,01116										nirgam	v	0,01148	mūrchay	v	0,01754										nakṣ	v	0,01276	bhraṁś	v	0,00797						
prasthā	v	0,02392																stṛ	v	0,01244																vibhaj	v	0,01021													nirbhid	v	0,01021										sambhram	v	0,01148	devay	v	0,01595										tuṣ	v	0,01212									
khyā	v	0,02232																parivṛ	v	0,01180																rej	v	0,00957													utpad	v	0,00925										avagam	v	0,00989	vājay	v	0,01595										bhūṣ	v	0,01180									
nidhā	v	0,02169																vihṛ	v	0,01052																aj	v	0,00925													pramad	v	0,00925										ākram	v	0,00957	niveśay	v	0,01563										iṣ	v	0,00989									
trā	v	0,02073																avatṛ	v	0,01021																tuj	v	0,00925													nud	v	0,00893										pariśram	v	0,00957	nipātay	v	0,01531										vikṛṣ	v	0,00989									
saṁdhā	v	0,02073																vikṛ	v	0,00989																anurañj	v	0,00925													abhipad	v	0,00893										dham	v	0,00861	sthāpay	v	0,01499										kṛṣ	v	0,00861									
niryā	v	0,02009																vistṛ	v	0,00989																samāyuj	v	0,00893													pramud	v	0,00829										bhram	v	0,00829	upaśobhay	v	0,01499										viṣ	v	0,00829									
āyā	v	0,01882																apahṛ	v	0,00925																prayuj	v	0,00797																									abhikram	v	0,00797	preṣay	v	0,01499										pratibhāṣ	v	0,00829									
vihā	v	0,01818																uddhṛ	v	0,00925																majj	v	0,00765																									śram	v	0,00797	tāḍay	v	0,01467										pratīkṣ	v	0,00829									
avasthā	v	0,01754																pariṣkṛ	v	0,00925																marmṛj	v	0,00734																									samudyam	v	0,00797	mohay	v	0,01467										samprekṣ	v	0,00829									
vā	v	0,01531																kṛ	v	0,00861																																											niram	v	0,00734	karśay	v	0,01435										parituṣ	v	0,00765									
vibhā	v	0,01435																dṛ	v	0,00861																																											vidham	v	0,00734	sapary	v	0,01435										samprahṛṣ	v	0,00765									
ādhā	v	0,01371																avakṛ	v	0,00861																																														iṣay	v	0,01339										vivakṣ	v	0,00765									
āgā	v	0,01339																ābhṛ	v	0,00829																																														āśvāsay	v	0,01339										anviṣ	v	0,00734									
nirmā	v	0,01339																śṛ	v	0,00797																																														prasāday	v	0,01339																					
viṣṭhā	v	0,01339																saṁskṛ	v	0,00797																																														ājñāpay	v	0,01308																					
anujñā	v	0,01276																vivṛ	v	0,00734																																														varjay	v	0,01276																					
pratijñā	v	0,01212																jṛ	v	0,00734																																														kāray	v	0,01244																					
āhvā	v	0,01180																																																																āropay	v	0,01212																					
snā	v	0,01148																																																																vāray	v	0,01180																					
upayā	v	0,01148																																																																dharṣay	v	0,01180																					
samutthā	v	0,01148																																																																āmantray	v	0,01180																					
saṁsthā	v	0,01084																																																																nāśay	v	0,01148																					
vyavasthā	v	0,01052																																																																rocay	v	0,01116																					
anuyā	v	0,00957																																																																pracoday	v	0,01116																					
hā	v	0,00957																																																																kalpay	v	0,01084																					
abhyanujñā	v	0,00925																																																																pūray	v	0,01084																					
samādhā	v	0,00925																																																																mṛḍay	v	0,01084																					
prā	v	0,00925																																																																arcay	v	0,01052																					
adhiṣṭhā	v	0,00893																																																																uruṣy	v	0,01052																					
pratiṣṭhā	v	0,00893																																																																sāntvay	v	0,01021																					
ābhā	v	0,00861																																																																lakṣay	v	0,01021																					
ājñā	v	0,00829																																																																yojay	v	0,00989																					
dhyā	v	0,00797																																																																daśasy	v	0,00989																					
sā	v	0,00797																																																																utpāṭay	v	0,00957																					
abhidhā	v	0,00797																																																																sūday	v	0,00893																					
pratibhā	v	0,00797																																																																hary	v	0,00893																					
vikhyā	v	0,00797																																																																nāday	v	0,00861																					
prajñā	v	0,00765																																																																harṣay	v	0,00861																					
antardhā	v	0,00734																																																																visarjay	v	0,00861																					
																																																																		day	v	0,00861																					
																																																																		mantray	v	0,00829																					
																																																																		tarpay	v	0,00829																					
																																																																		nivartay	v	0,00829																					
																																																																		vidāray	v	0,00829																					
																																																																		visphāray	v	0,00829																					
																																																																		kāmay	v	0,00797																					
																																																																		pratipūjay	v	0,00797																					
																																																																		namasy	v	0,00797																					
																																																																		bodhay	v	0,00765																					
																																																																		trāsay	v	0,00765																					
																																																																		randhay	v	0,00765																					
																																																																		patay	v	0,00765																					
																																																																		abhiṣecay	v	0,00734																					
																																																																		samāśvāsay	v	0,00734																					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
