"Недатированные тексты"	ā	38=8.12%	"Недатированные тексты"	i	9=1.92%	"Недатированные тексты"	ī	9=1.92%	"Недатированные тексты"	u	10=2.14%	"Недатированные тексты"	ū	11=2.35%	"Недатированные тексты"	e	2=0.43%	"Недатированные тексты"	ṛ	29=6.20%	"Недатированные тексты"	kh	1=0.21%	"Недатированные тексты"	k	1=0.21%	"Недатированные тексты"	g	1=0.21%	"Недатированные тексты"	ṭh	1=0.21%	"Недатированные тексты"	ṭ	3=0.64%	"Недатированные тексты"	ch	3=0.64%	"Недатированные тексты"	j	19=4.06%	"Недатированные тексты"	c	10=2.14%	"Недатированные тексты"	th	1=0.21%	"Недатированные тексты"	dh	14=2.99%	"Недатированные тексты"	t	5=1.07%	"Недатированные тексты"	d	23=4.91%	"Недатированные тексты"	n	15=3.21%	"Недатированные тексты"	bh	3=0.64%	"Недатированные тексты"	p	21=4.49%	"Недатированные тексты"	b	1=0.21%	"Недатированные тексты"	m	16=3.42%	"Недатированные тексты"	y	156=33.33%	"Недатированные тексты"	r	4=0.85%	"Недатированные тексты"	l	5=1.07%	"Недатированные тексты"	v	3=0.64%	"Недатированные тексты"	ṣ	15=3.21%	"Недатированные тексты"	ś	17=3.63%	"Недатированные тексты"	s	10=2.14%	"Недатированные тексты"	h	12=2.56%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
utthā	v	0,01515																paripṛ	v	0,00551																																		spand	v	0,00413							kﾱp	v	0,00413							darśay	v	0,03168																					
dhyā	v	0,01446																vikṛ	v	0,00551																																		pratipad	v	0,00413																śodhay	v	0,03099																					
samādā	v	0,01377																samāhṛ	v	0,00551																																		pravad	v	0,00413																kīrtay	v	0,02961																					
vihā	v	0,01308																samudāhṛ	v	0,00551																																																				miśray	v	0,02892																					
prayā	v	0,01171																dūrīkṛ	v	0,00551																																																				parikīrtay	v	0,02755																					
nirmā	v	0,01033																tṛ	v	0,00482																																																				īray	v	0,02617																					
vikhyā	v	0,00964																niḥsṛ	v	0,00482																																																				śoṣay	v	0,02479																					
gā	v	0,00758																saṁvṛ	v	0,00482																																																				janay	v	0,02410																					
pidhā	v	0,00758																prasṛ	v	0,00413																																																				veṣṭay	v	0,02341																					
pratiṣṭhā	v	0,00620																																																																						rañjay	v	0,02273																					
vyavasthā	v	0,00620																																																																						prayojay	v	0,02273																					
unmā	v	0,00620																																																																						sāray	v	0,02135																					
snā	v	0,00551																																																																						dāpay	v	0,02135																					
gā	v	0,00482																																																																						pātay	v	0,02066																					
upayā	v	0,00482																																																																						vivarjay	v	0,01997																					
avasthā	v	0,00413																																																																						saṁmarday	v	0,01997																					
ādhā	v	0,00413																																																																						mūrchay	v	0,01928																					
upādā	v	0,00413																																																																						sveday	v	0,01928																					
																																																																								pradāpay	v	0,01928																					
																																																																								melay	v	0,01928																					
																																																																								peṣay	v	0,01859																					
																																																																								ācchāday	v	0,01791																					
																																																																								guṇay	v	0,01791																					
																																																																								lakṣay	v	0,01722																					
																																																																								prapūjay	v	0,01653																					
																																																																								mudray	v	0,01653																					
																																																																								cāray	v	0,01584																					
																																																																								kalpay	v	0,01515																					
																																																																								recay	v	0,01515																					
																																																																								gālay	v	0,01515																					
																																																																								drāvay	v	0,01515																					
																																																																								niyojay	v	0,01515																					
																																																																								jvālay	v	0,01446																					
																																																																								prakalpay	v	0,01446																					
																																																																								mantray	v	0,01377																					
																																																																								āvartay	v	0,01377																					
																																																																								prajvālay	v	0,01377																					
																																																																								abhimantray	v	0,01308																					
																																																																								cālay	v	0,01308																					
																																																																								niveśay	v	0,01308																					
																																																																								vāhay	v	0,01240																					
																																																																								nirvāhay	v	0,01240																					
																																																																								viśoṣay	v	0,01240																					
																																																																								saṁsthāpay	v	0,01240																					
																																																																								vicūrṇay	v	0,01171																					
																																																																								vināśay	v	0,01171																					
																																																																								kṣālay	v	0,01102																					
																																																																								racay	v	0,01102																					
																																																																								viracay	v	0,01102																					
																																																																								samśoṣay	v	0,01102																					
																																																																								cintay	v	0,01033																					
																																																																								vardhay	v	0,01033																					
																																																																								gharṣay	v	0,01033																					
																																																																								secay	v	0,01033																					
																																																																								udīray	v	0,01033																					
																																																																								nirodhay	v	0,01033																					
																																																																								prakāśay	v	0,01033																					
																																																																								vipācay	v	0,01033																					
																																																																								varṇay	v	0,00964																					
																																																																								pīḍay	v	0,00964																					
																																																																								prakṣālay	v	0,00964																					
																																																																								saṁyojay	v	0,00964																					
																																																																								niṣecay	v	0,00964																					
																																																																								āropay	v	0,00895																					
																																																																								pratāpay	v	0,00895																					
																																																																								saṁśodhay	v	0,00895																					
																																																																								vedhay	v	0,00895																					
																																																																								vilepay	v	0,00895																					
																																																																								kvāthay	v	0,00826																					
																																																																								bhūṣay	v	0,00826																					
																																																																								nidhāpay	v	0,00826																					
																																																																								pralepay	v	0,00826																					
																																																																								sūcay	v	0,00826																					
																																																																								śamay	v	0,00826																					
																																																																								kuṭṭay	v	0,00758																					
																																																																								pāyay	v	0,00758																					
																																																																								pratisāray	v	0,00758																					
																																																																								pradarśay	v	0,00758																					
																																																																								āpūray	v	0,00758																					
																																																																								vāpay	v	0,00758																					
																																																																								anusāray	v	0,00689																					
																																																																								prapūray	v	0,00689																					
																																																																								viśodhay	v	0,00689																					
																																																																								vimiśray	v	0,00689																					
																																																																								kāmay	v	0,00620																					
																																																																								anudarśay	v	0,00620																					
																																																																								uccāṭay	v	0,00620																					
																																																																								paribhāvay	v	0,00620																					
																																																																								nirūpay	v	0,00620																					
																																																																								visarjay	v	0,00620																					
																																																																								spaṣṭay	v	0,00620																					
																																																																								rodhay	v	0,00551																					
																																																																								śikṣay	v	0,00551																					
																																																																								āloḍay	v	0,00551																					
																																																																								āsāday	v	0,00551																					
