final_member	mw_class	mw_first_members	corpus_compounds	corpus_tokens	corpus_first_members	overlap_first	mw_only_first	corpus_only_first	corpus_status
ga	KRT_STEM_MEMBER	146	355	568	176	39	107	137	final
priya	UTTARAPADA	146	139	127	92	21	125	71	final
vṛtti	UTTARAPADA	142	241	240	155	26	116	129	final
tantra	UTTARAPADA	138	72	79	53	13	125	40	final
karṇa	UTTARAPADA	133	65	223	48	17	116	31	final
vāda	UTTARAPADA	133	98	116	73	31	102	42	final
graha	KRT_STEM_MEMBER	132	122	139	80	35	97	45	final
gṛha	UTTARAPADA	132	266	496	162	36	96	126	final
kāma	UTTARAPADA	132	650	1198	287	65	67	222	final
mūla	UTTARAPADA	132	516	787	313	42	90	271	final
pa	KRT_STEM_MEMBER	131	2	1	2	0	131	2	final
ratha	UTTARAPADA	131	247	1653	131	24	107	107	final
tīrtha	UTTARAPADA	129	213	248	139	23	106	116	final
lakṣaṇa	UTTARAPADA	127	347	429	243	24	103	219	final
gata	KRT_STEM_MEMBER	126	3	3	3	0	126	3	final
ratna	UTTARAPADA	126	155	277	78	21	105	57	final
kalpa	UTTARAPADA	123	288	307	174	24	99	150	final
candra	UTTARAPADA	122	101	114	67	7	115	60	final
ghna	UTTARAPADA	122	909	1668	225	60	62	165	final
kārin	KRT_STEM_MEMBER	122	189	212	145	32	90	113	final
patha	UTTARAPADA	121	127	203	94	35	86	59	final
rasa	UTTARAPADA	120	950	1262	439	49	71	390	final
varman	UTTARAPADA	118	26	34	20	5	113	15	final
yoga	UTTARAPADA	118	772	1077	405	51	67	354	final
pāda	UTTARAPADA	115	283	352	143	24	91	119	final
vid	KRT_STEM_MEMBER	115	1024	0	426	56	59	370	final
bhū	KRT_STEM_MEMBER	113	3060	4	1312	46	67	1266	final
gati	UTTARAPADA	113	258	245	190	38	75	152	final
jāta	UTTARAPADA	110	76	87	51	8	102	43	final
cara	KRT_STEM_MEMBER	109	125	150	78	23	86	55	final
han	UTTARAPADA	109	1186	8	538	48	61	490	final
mātra	UTTARAPADA	109	814	1388	456	49	60	407	final
suta	UTTARAPADA	109	401	625	204	23	86	181	final
jit	KRT_STEM_MEMBER	108	115	156	68	32	76	36	final
jña	KRT_STEM_MEMBER	108	734	1300	198	53	55	145	final
mālā	UTTARAPADA	108	117	140	90	17	91	73	final
yoni	UTTARAPADA	108	175	241	104	30	78	74	final
loka	UTTARAPADA	107	491	1381	176	60	47	116	final
prakāśa	UTTARAPADA	106	116	117	80	9	97	71	final
pātra	UTTARAPADA	106	245	483	141	33	73	108	final
bhāj	KRT_STEM_MEMBER	105	148	177	105	40	65	65	final
dāna	UTTARAPADA	105	302	470	177	38	67	139	final
svāmin	UTTARAPADA	105	30	20	23	3	102	20	final
vidhi	UTTARAPADA	105	390	430	273	32	73	241	final
bhāga	UTTARAPADA	104	478	692	210	48	56	162	final
cakra	UTTARAPADA	104	248	312	153	33	71	120	final
dharma	UTTARAPADA	104	465	724	233	55	49	178	final
vṛkṣa	UTTARAPADA	104	155	205	103	17	87	86	final
garbha	UTTARAPADA	103	201	237	149	26	77	123	final
hasta	UTTARAPADA	103	372	583	202	45	58	157	final
ketu	UTTARAPADA	103	34	42	26	11	92	15	final
deśa	UTTARAPADA	102	294	332	156	37	65	119	final
mati	UTTARAPADA	102	115	118	85	24	78	61	final
varṇa	UTTARAPADA	102	628	883	253	50	52	203	final
bandha	UTTARAPADA	101	182	236	121	31	70	90	final
bhuj	UTTARAPADA	101	385	0	232	32	69	200	final
bala	UTTARAPADA	100	532	2154	265	39	61	226	final
bhūmi	UTTARAPADA	100	182	188	128	32	68	96	final
latā	UTTARAPADA	100	54	115	39	16	84	23	final
śāstra	UTTARAPADA	100	171	224	73	27	73	46	final
khaṇḍa	UTTARAPADA	99	72	327	54	8	91	46	final
maṇi	UTTARAPADA	99	64	74	49	11	88	38	final
maṇḍala	UTTARAPADA	99	153	175	108	26	73	82	final
bīja	UTTARAPADA	97	363	490	249	18	79	231	final
druma	UTTARAPADA	97	55	83	42	4	93	38	final
yajña	UTTARAPADA	97	174	245	94	30	67	64	final
darśana	UTTARAPADA	96	274	287	211	33	63	178	final
siṃha	UTTARAPADA	96	75	180	33	5	91	28	final
vallī	UTTARAPADA	96	19	21	16	2	94	14	final
giri	UTTARAPADA	95	76	127	54	6	89	48	final
jana	UTTARAPADA	93	256	403	129	37	56	92	final
saṃhitā	UTTARAPADA	93	8	19	6	2	91	4	final
dāsa	UTTARAPADA	92	24	28	18	3	89	15	final
mārga	UTTARAPADA	91	227	256	167	33	58	134	final
kriyā	UTTARAPADA	90	157	153	121	12	78	109	final
puruṣa	UTTARAPADA	90	185	216	104	30	60	74	final
saṃgraha	UTTARAPADA	90	34	34	31	7	83	24	final
manas	UTTARAPADA	89	270	417	164	17	72	147	final
mantra	UTTARAPADA	89	231	206	157	17	72	140	final
mitra	UTTARAPADA	89	111	77	74	19	70	55	final
māhātmya	UTTARAPADA	89	57	74	47	6	83	41	final
kośa	UTTARAPADA	88	56	59	42	15	73	27	final
vana	UTTARAPADA	88	211	436	128	22	66	106	final
daṇḍa	UTTARAPADA	87	181	243	110	25	62	85	final
dīpikā	UTTARAPADA	87	1	1	1	0	87	1	final
vatī	UTTARAPADA	87	0	0	0	0	87	0	form_variant
vidyā	UTTARAPADA	87	126	181	85	22	65	63	final
vādin	UTTARAPADA	87	113	376	78	21	66	57	final
guṇa	UTTARAPADA	86	589	952	296	35	51	261	final
paddhati	UTTARAPADA	86	1	1	1	0	86	1	final
vāhana	UTTARAPADA	86	30	33	25	7	79	18	final
śiras	UTTARAPADA	86	177	229	120	21	65	99	final
śīla	UTTARAPADA	86	251	334	143	31	55	112	final
mañjarī	UTTARAPADA	85	9	8	8	1	84	7	final
vardhana	UTTARAPADA	85	43	52	33	15	70	18	final
dhvaja	UTTARAPADA	84	87	93	55	11	73	44	final
nāman	UTTARAPADA	84	384	416	307	24	60	283	final
pakṣa	UTTARAPADA	84	155	266	98	26	58	72	final
gupta	UTTARAPADA	83	0	0	0	0	83	0	nonfinal_only
parṇī	UTTARAPADA	83	0	0	0	0	83	0	form_variant
bhava	UTTARAPADA	82	181	175	143	12	70	131	final
dṛś	KRT_STEM_MEMBER	82	1265	0	592	24	58	568	final
purāṇa	UTTARAPADA	81	35	445	17	2	79	15	final
bheda	UTTARAPADA	80	494	507	307	29	51	278	final
buddhi	UTTARAPADA	80	228	304	150	22	58	128	final
janman	UTTARAPADA	80	118	141	95	20	60	75	final
prayoga	UTTARAPADA	80	152	158	99	6	74	93	final
śrī	UTTARAPADA	80	184	187	138	27	53	111	final
vṛtta	UTTARAPADA	79	138	152	69	17	62	52	final
bhaṅga	UTTARAPADA	78	81	85	60	23	55	37	final
stotra	UTTARAPADA	78	26	24	23	3	75	20	final
pāta	UTTARAPADA	77	121	129	74	29	48	45	final
kanda	UTTARAPADA	76	88	103	59	7	69	52	final
śālā	UTTARAPADA	76	54	82	41	20	56	21	final
bāhu	UTTARAPADA	75	132	1335	53	21	54	32	final
netra	UTTARAPADA	75	125	158	91	27	48	64	final
gandha	UTTARAPADA	74	221	284	118	21	53	97	final
kartṛ	UTTARAPADA	74	159	183	112	27	47	85	final
vāsa	UTTARAPADA	74	107	228	69	22	52	47	final
vīrya	UTTARAPADA	74	290	632	118	27	47	91	final
cārin	KRT_STEM_MEMBER	73	73	371	54	16	57	38	final
hara	KRT_STEM_MEMBER	73	665	964	195	33	40	162	final
pradīpa	UTTARAPADA	73	25	28	17	9	64	8	final
pṛṣṭha	UTTARAPADA	73	176	279	112	29	44	83	final
vara	UTTARAPADA	73	369	605	187	25	48	162	final
hṛdaya	UTTARAPADA	71	111	92	93	12	59	81	final
bandhu	UTTARAPADA	70	63	51	43	16	54	27	final
gaṇa	UTTARAPADA	70	555	819	241	28	42	213	final
parṇa	UTTARAPADA	70	43	36	33	15	55	18	final
smṛti	UTTARAPADA	70	23	21	16	3	67	13	final
vacana	UTTARAPADA	70	315	300	209	24	46	185	final
vāha	KRT_STEM_MEMBER	70	48	80	41	10	60	31	final
śakti	UTTARAPADA	70	236	322	137	22	48	115	final
cintāmaṇi	UTTARAPADA	69	0	0	0	0	69	0	nonfinal_only
jā	KRT_STEM_MEMBER	69	26	109	21	16	53	5	final
yukta	UTTARAPADA	69	3	3	3	0	69	3	final
candrikā	UTTARAPADA	68	5	4	5	0	68	5	final
pāṇi	UTTARAPADA	68	109	255	54	19	49	35	final
sambhava	UTTARAPADA	68	114	113	95	6	62	89	final
kūṭa	UTTARAPADA	67	35	44	28	7	60	21	final
prabha	UTTARAPADA	67	1	1	1	0	67	1	final
kārya	UTTARAPADA	66	212	312	118	22	44	96	final
kṛtya	UTTARAPADA	66	59	62	44	11	55	33	final
rahasya	UTTARAPADA	66	32	19	20	6	60	14	final
sūkta	UTTARAPADA	66	16	18	14	4	62	10	final
vallabha	UTTARAPADA	66	30	29	24	6	60	18	final
śṛṅga	UTTARAPADA	66	122	181	62	23	43	39	final
roga	UTTARAPADA	65	218	291	94	26	39	68	final
tāla	UTTARAPADA	65	39	42	32	5	60	27	final
jñāna	UTTARAPADA	64	275	332	167	25	39	142	final
tattva	UTTARAPADA	64	256	305	131	13	51	118	final
vāc	UTTARAPADA	64	91	163	69	23	41	46	final
dvāra	UTTARAPADA	63	241	320	134	25	38	109	final
hīna	UTTARAPADA	63	1	2	1	0	63	1	final
bhaṭṭa	UTTARAPADA	62	4	4	4	0	62	4	final
danta	UTTARAPADA	62	60	68	46	10	52	36	final
guru	UTTARAPADA	62	180	205	102	24	38	78	final
homa	UTTARAPADA	62	70	66	55	11	51	44	final
varṣa	UTTARAPADA	62	248	623	111	16	46	95	final
vilāsa	UTTARAPADA	62	19	20	17	2	60	15	final
kaṇṭha	UTTARAPADA	61	59	66	38	8	53	30	final
kṣetra	UTTARAPADA	61	89	113	59	14	47	45	final
nagara	UTTARAPADA	61	55	124	39	7	54	32	final
pūrva	UTTARAPADA	61	195	0	148	18	43	130	final
rāj	UTTARAPADA	61	83	0	76	17	44	59	final
gāmin	KRT_STEM_MEMBER	60	77	77	57	14	46	43	final
kāraka	UTTARAPADA	60	52	56	41	5	55	36	final
kāṇḍa	UTTARAPADA	60	29	195	24	6	54	18	final
locana	UTTARAPADA	60	47	56	43	8	52	35	final
pāka	UTTARAPADA	60	137	239	84	17	43	67	final
taru	UTTARAPADA	60	52	48	46	6	54	40	final
vāsas	UTTARAPADA	60	116	149	64	21	39	43	final
citta	UTTARAPADA	59	158	165	105	16	43	89	final
nirṇaya	UTTARAPADA	59	4	4	4	0	59	4	final
parvata	UTTARAPADA	59	41	70	30	6	53	24	final
pūjā	UTTARAPADA	59	91	108	65	7	52	58	final
siddhi	UTTARAPADA	59	215	233	112	18	41	94	final
vāsin	UTTARAPADA	59	91	116	63	17	42	46	final
bhadra	UTTARAPADA	58	21	11	13	1	57	12	final
kaumudī	UTTARAPADA	58	5	6	4	1	57	3	final
keśa	UTTARAPADA	58	70	154	38	10	48	28	final
vartman	UTTARAPADA	58	31	33	30	8	50	22	final
dvīpa	UTTARAPADA	57	80	147	45	10	47	35	final
nandana	UTTARAPADA	57	24	56	23	6	51	17	final
śabda	UTTARAPADA	57	511	523	320	20	37	300	final
bhūṣaṇa	UTTARAPADA	56	25	24	24	3	53	21	final
cchada	UTTARAPADA	56	0	0	0	0	56	0	form_variant
devatā	UTTARAPADA	56	51	45	44	8	48	36	final
dhī	UTTARAPADA	56	78	68	68	12	44	56	final
liṅga	UTTARAPADA	56	227	235	150	14	42	136	final
rāśi	UTTARAPADA	56	68	142	46	8	48	38	final
sad	UTTARAPADA	56	80	0	61	8	48	53	final
cetas	UTTARAPADA	55	68	50	49	11	44	38	final
kaṇṭaka	UTTARAPADA	55	9	11	8	1	54	7	final
krama	UTTARAPADA	55	190	198	135	15	40	120	final
para	UTTARAPADA	55	509	0	273	23	32	250	final
sama	UTTARAPADA	55	676	0	396	7	48	389	final
svara	UTTARAPADA	55	52	78	37	11	44	26	final
tala	UTTARAPADA	55	186	630	98	22	33	76	final
vidha	UTTARAPADA	55	3	3	3	1	54	2	final
yantra	UTTARAPADA	55	88	115	66	10	45	56	final
bhāṣya	UTTARAPADA	54	8	6	8	0	54	8	final
dharman	UTTARAPADA	54	59	87	39	13	41	26	final
dhāra	KRT_STEM_MEMBER	54	13	13	12	4	50	8	final
grahaṇa	UTTARAPADA	54	231	252	167	14	40	153	final
grāma	UTTARAPADA	54	84	105	50	11	43	39	final
grīva	UTTARAPADA	53	6	15	3	2	51	1	final
jala	UTTARAPADA	53	276	303	156	12	41	144	final
jyotis	UTTARAPADA	53	43	27	34	4	49	30	final
mātṛ	UTTARAPADA	53	101	137	67	16	37	51	final
pāśa	UTTARAPADA	53	70	104	50	14	39	36	final
skandha	UTTARAPADA	53	101	171	61	11	42	50	final
sthita	KRT_STEM_MEMBER	53	1	1	1	0	53	1	final
bandhana	UTTARAPADA	52	48	71	40	7	45	33	final
brāhmaṇa	UTTARAPADA	52	46	47	32	4	48	28	final
dṛṣṭi	UTTARAPADA	52	118	121	93	11	41	82	final
mūrti	UTTARAPADA	52	140	153	103	14	38	89	final
rāga	UTTARAPADA	52	106	108	77	14	38	63	final
tejas	UTTARAPADA	52	236	887	123	19	33	104	final
yāna	UTTARAPADA	52	78	121	48	14	38	34	final
mālin	UTTARAPADA	51	36	105	25	7	44	18	final
dhātu	UTTARAPADA	50	129	187	61	13	37	48	final
granthi	UTTARAPADA	50	36	35	29	7	43	22	final
kula	UTTARAPADA	50	198	346	131	13	37	118	final
kīrti	UTTARAPADA	50	47	55	30	9	41	21	final
sādhana	UTTARAPADA	50	97	116	65	16	34	49	final
sāgara	UTTARAPADA	50	31	42	22	6	44	16	final
śarman	UTTARAPADA	50	10	3	5	1	49	4	final
darśin	UTTARAPADA	49	63	104	42	17	32	25	final
dhana	UTTARAPADA	49	135	208	85	17	32	68	final
jāti	UTTARAPADA	49	93	93	67	12	37	55	final
kṣaya	UTTARAPADA	49	284	462	162	24	25	138	final
māna	UTTARAPADA	49	208	235	130	10	39	120	final
prakaraṇa	UTTARAPADA	49	27	23	25	0	49	25	final
stuti	UTTARAPADA	49	15	12	13	5	44	8	final
śeṣa	UTTARAPADA	49	227	303	139	23	26	116	final
bhojana	UTTARAPADA	48	71	84	54	11	37	43	final
cakṣus	UTTARAPADA	48	93	130	69	14	34	55	final
carita	UTTARAPADA	48	100	102	70	7	41	63	final
devī	UTTARAPADA	48	100	178	81	1	47	80	final
dhāman	UTTARAPADA	48	67	75	54	7	41	47	final
jvara	UTTARAPADA	48	87	116	50	12	36	38	final
miśra	UTTARAPADA	48	131	147	92	8	40	84	final
nāśana	UTTARAPADA	48	82	104	54	8	40	46	final
pattraka	UTTARAPADA	48	11	15	9	0	48	9	final
ruha	UTTARAPADA	48	11	9	7	2	46	5	final
saṃdhi	UTTARAPADA	48	74	73	52	7	41	45	final
vaha	UTTARAPADA	48	110	113	59	11	37	48	final
vaktra	UTTARAPADA	48	164	175	112	17	31	95	final
vīra	UTTARAPADA	48	168	207	77	14	34	63	final
śreṣṭha	UTTARAPADA	48	390	1469	138	23	25	115	final
dviṣ	UTTARAPADA	47	116	0	69	8	39	61	final
gamana	UTTARAPADA	47	155	165	116	23	24	93	final
grantha	UTTARAPADA	47	13	11	10	2	45	8	final
kārikā	UTTARAPADA	47	2	2	2	0	47	2	final
nayana	UTTARAPADA	47	109	113	75	10	37	65	final
siddhānta	UTTARAPADA	47	6	2	3	0	47	3	final
vadana	UTTARAPADA	47	135	151	92	12	35	80	final
vāra	UTTARAPADA	47	158	551	57	16	31	41	final
dala	UTTARAPADA	46	94	110	70	9	37	61	final
patnī	UTTARAPADA	46	163	241	86	26	20	60	final
vadha	UTTARAPADA	46	235	314	141	14	32	127	final
vākya	UTTARAPADA	46	178	186	116	11	35	105	final
śataka	UTTARAPADA	46	3	2	3	0	46	3	final
hāra	UTTARAPADA	45	38	35	34	6	39	28	final
madhya	UTTARAPADA	45	457	570	345	17	28	328	final
mṛga	UTTARAPADA	45	61	82	39	9	36	30	final
parvan	UTTARAPADA	45	44	47	29	3	42	26	final
prada	UTTARAPADA	45	290	383	144	25	20	119	final
rāma	UTTARAPADA	45	8	9	7	2	43	5	final
sāman	UTTARAPADA	45	27	69	15	2	43	13	final
vaṃśa	UTTARAPADA	45	105	171	58	13	32	45	final
viveka	UTTARAPADA	45	16	11	13	1	44	12	final
śravas	UTTARAPADA	45	14	11	11	8	37	3	final
darpaṇa	UTTARAPADA	44	1	0	1	0	44	1	final
ghāta	UTTARAPADA	44	49	53	39	8	36	31	final
gu	UTTARAPADA	44	0	0	0	0	44	0	absent
nābha	UTTARAPADA	44	13	14	10	3	41	7	final
paśu	UTTARAPADA	44	50	55	29	9	35	20	final
phalā	UTTARAPADA	44	0	0	0	0	44	0	form_variant
vega	UTTARAPADA	44	271	474	130	21	23	109	final
vijaya	UTTARAPADA	44	44	41	36	3	41	33	final
viṣaya	UTTARAPADA	44	224	199	147	15	29	132	final
śīrṣa	UTTARAPADA	44	46	53	30	10	34	20	final
bhakta	UTTARAPADA	43	127	144	51	8	35	43	final
caryā	UTTARAPADA	43	67	99	40	15	28	25	final
ghoṣa	UTTARAPADA	43	125	178	68	12	31	56	final
kavaca	UTTARAPADA	43	39	70	24	5	38	19	final
kāya	UTTARAPADA	43	129	354	53	11	32	42	final
prastha	UTTARAPADA	43	58	115	36	3	40	33	final
priyā	UTTARAPADA	43	9	8	9	0	43	9	final
puṣpī	UTTARAPADA	43	2	3	2	0	43	2	final
sakha	UTTARAPADA	43	53	65	44	8	35	36	final
sū	UTTARAPADA	43	30	0	25	4	39	21	final
vartin	UTTARAPADA	43	71	78	41	12	31	29	final
śata	UTTARAPADA	43	555	1094	286	19	24	267	final
dīpa	UTTARAPADA	42	35	36	25	4	38	21	final
jihva	UTTARAPADA	42	1	0	1	0	42	1	final
kṛti	KRT_STEM_MEMBER	42	13	18	11	0	42	11	final
lavaṇa	UTTARAPADA	42	167	165	80	6	36	74	final
nidhi	UTTARAPADA	42	57	63	44	12	30	32	final
nyāsa	UTTARAPADA	42	63	79	45	10	32	35	final
puṭa	UTTARAPADA	42	169	309	91	13	29	78	final
pā	UTTARAPADA	42	469	0	263	21	21	242	final
vidhāna	UTTARAPADA	42	200	193	156	7	35	149	final
bodha	UTTARAPADA	41	31	25	27	3	38	24	final
dhānya	UTTARAPADA	41	36	29	28	3	38	25	final
dina	UTTARAPADA	41	177	372	101	7	34	94	final
doṣa	UTTARAPADA	41	467	524	258	20	21	238	final
jīvin	UTTARAPADA	41	32	37	28	7	34	21	final
kānta	UTTARAPADA	41	75	71	51	7	34	44	final
nāyaka	UTTARAPADA	41	13	11	12	3	38	9	final
ratnākara	UTTARAPADA	41	0	0	0	0	41	0	nonfinal_only
sthala	UTTARAPADA	41	33	50	25	4	37	21	final
varga	UTTARAPADA	41	179	225	112	9	32	103	final
vāta	UTTARAPADA	41	121	141	72	7	34	65	final
vṛddhi	UTTARAPADA	41	144	196	104	15	26	89	final
śatru	UTTARAPADA	41	68	127	38	6	35	32	final
bhakṣa	UTTARAPADA	40	46	51	32	9	31	23	final
dhārin	KRT_STEM_MEMBER	40	86	85	54	11	29	43	final
ruci	UTTARAPADA	40	55	48	47	6	34	41	final
strī	UTTARAPADA	40	130	131	81	16	24	65	final
pattrikā	UTTARAPADA	39	2	2	2	0	39	2	final
purī	UTTARAPADA	39	35	44	29	4	35	25	final
raśmi	UTTARAPADA	39	47	49	28	6	33	22	final
saras	UTTARAPADA	39	38	32	29	4	35	25	final
sarvasva	UTTARAPADA	39	11	11	11	0	39	11	final
sūnu	UTTARAPADA	39	53	62	38	7	32	31	final
traya	UTTARAPADA	39	276	660	185	16	23	169	final
śaila	UTTARAPADA	39	55	85	38	2	37	36	final
śānti	UTTARAPADA	39	50	33	37	4	35	33	final
bhāra	UTTARAPADA	38	83	94	58	13	25	45	final
caraṇa	UTTARAPADA	38	90	84	58	8	30	50	final
deha	UTTARAPADA	38	169	192	118	7	31	111	final
jāla	UTTARAPADA	38	174	299	96	16	22	80	final
lekhā	UTTARAPADA	38	27	26	21	8	30	13	final
piṇḍa	UTTARAPADA	38	104	110	60	9	29	51	final
pālaka	UTTARAPADA	38	5	5	5	0	38	5	final
rava	UTTARAPADA	38	72	75	39	5	33	34	final
tanaya	UTTARAPADA	38	123	123	95	7	31	88	final
vasu	UTTARAPADA	38	21	20	18	2	36	16	final
veda	UTTARAPADA	38	65	53	37	12	26	25	final
śikṣā	UTTARAPADA	38	18	15	15	6	32	9	final
bhartṛ	UTTARAPADA	37	69	70	54	8	29	46	final
dravya	UTTARAPADA	37	250	236	153	13	24	140	final
ghnī	UTTARAPADA	37	0	0	0	0	37	0	form_variant
hārin	KRT_STEM_MEMBER	37	112	123	74	9	28	65	final
puccha	UTTARAPADA	37	12	12	10	3	34	7	final
rājan	UTTARAPADA	37	172	190	107	12	25	95	final
rājya	UTTARAPADA	37	88	205	50	13	24	37	final
rātra	UTTARAPADA	37	131	1199	33	13	24	20	final
sukha	UTTARAPADA	37	193	201	119	14	23	105	final
veśman	UTTARAPADA	37	37	63	33	5	32	28	final
vikrama	UTTARAPADA	37	42	48	32	11	26	21	final
śaya	UTTARAPADA	37	18	23	16	5	32	11	final
śekhara	UTTARAPADA	37	8	7	6	2	35	4	final
śruti	UTTARAPADA	37	34	37	27	8	29	19	final
śāka	UTTARAPADA	37	41	51	33	7	30	26	final
bhid	UTTARAPADA	36	454	0	284	4	32	280	final
daṃṣṭra	UTTARAPADA	36	73	104	33	10	26	23	final
dāru	UTTARAPADA	36	10	7	9	0	36	9	final
ghana	UTTARAPADA	36	48	32	33	8	28	25	final
pad	UTTARAPADA	36	5	3	5	1	35	4	final
puṣpikā	UTTARAPADA	36	0	0	0	0	36	0	absent
pāna	UTTARAPADA	36	171	242	65	16	20	49	final
saṃskāra	UTTARAPADA	36	121	143	85	7	29	78	final
vṛddha	UTTARAPADA	36	78	83	41	8	28	33	final
śarīra	UTTARAPADA	36	201	181	122	10	26	112	final
dhvani	UTTARAPADA	35	26	24	24	7	28	17	final
dru	UTTARAPADA	35	133	0	95	3	32	92	final
grāha	UTTARAPADA	35	51	64	34	3	32	31	final
kuṇḍa	UTTARAPADA	35	31	32	25	3	32	22	final
mada	UTTARAPADA	35	59	45	47	11	24	36	final
mata	UTTARAPADA	35	71	76	51	6	29	45	final
roman	UTTARAPADA	35	45	55	34	5	30	29	final
siddha	UTTARAPADA	35	40	45	32	5	30	27	final
stambha	UTTARAPADA	35	98	117	68	13	22	55	final
bindu	UTTARAPADA	34	62	63	39	6	28	33	final
jātaka	UTTARAPADA	34	1	0	1	0	34	1	final
kanyā	UTTARAPADA	34	117	189	71	11	23	60	final
kathā	UTTARAPADA	34	120	120	103	8	26	95	final
kumbha	UTTARAPADA	34	67	86	47	10	24	37	final
kāṣṭha	UTTARAPADA	34	41	40	30	4	30	26	final
mānasa	UTTARAPADA	34	42	36	36	4	30	32	final
nadī	UTTARAPADA	34	74	159	49	8	26	41	final
nābhi	UTTARAPADA	34	43	42	34	11	23	23	final
paṭa	UTTARAPADA	34	24	24	21	4	30	17	final
praśna	UTTARAPADA	34	19	23	15	5	29	10	final
rūpin	UTTARAPADA	34	112	159	90	11	23	79	final
tvac	UTTARAPADA	34	101	105	81	8	26	73	final
baddha	UTTARAPADA	33	0	0	0	0	33	0	absent
bhaya	UTTARAPADA	33	310	355	195	11	22	184	final
dhanvan	UTTARAPADA	33	23	66	15	9	24	6	final
dhāna	UTTARAPADA	33	11	15	5	4	29	1	final
dhāraṇa	UTTARAPADA	33	32	42	29	7	26	22	final
hita	UTTARAPADA	33	187	283	97	11	22	86	final
matī	UTTARAPADA	33	0	0	0	0	33	0	form_variant
māṃsa	UTTARAPADA	33	216	239	126	18	15	108	final
pattrī	UTTARAPADA	33	3	2	3	0	33	3	final
pāṭha	UTTARAPADA	33	15	12	15	2	31	13	final
samaya	UTTARAPADA	33	136	181	100	16	17	84	final
vastra	UTTARAPADA	33	132	119	81	13	20	68	final
vyūha	UTTARAPADA	33	49	66	28	7	26	21	final
yaṣṭi	UTTARAPADA	33	29	38	19	8	25	11	final
bhavana	UTTARAPADA	32	94	130	67	9	23	58	final
bhāṇḍa	UTTARAPADA	32	97	131	62	8	24	54	final
caritra	UTTARAPADA	32	2	2	2	0	32	2	final
cit	UTTARAPADA	32	17	0	13	2	30	11	final
dhenu	UTTARAPADA	32	10	9	9	3	29	6	final
diś	UTTARAPADA	32	87	72	55	3	29	52	final
gandhā	UTTARAPADA	32	0	0	0	0	32	0	form_variant
ghātin	UTTARAPADA	32	52	63	42	9	23	33	final
hrada	UTTARAPADA	32	35	51	26	3	29	23	final
kratu	UTTARAPADA	32	43	79	27	14	18	13	final
kīṭa	UTTARAPADA	32	15	14	13	2	30	11	final
malla	UTTARAPADA	32	9	7	8	0	32	8	final
puṣpaka	UTTARAPADA	32	2	2	2	0	32	2	final
rekhā	UTTARAPADA	32	33	35	29	3	29	26	final
sindhu	UTTARAPADA	32	18	19	14	5	27	9	final
sneha	UTTARAPADA	32	109	102	75	8	24	67	final
stoma	UTTARAPADA	32	14	10	11	2	30	9	final
svana	UTTARAPADA	32	64	93	37	7	25	30	final
tṛṇa	UTTARAPADA	32	23	19	21	3	29	18	final
yuj	UTTARAPADA	32	1628	23	744	15	17	729	final
śāsana	UTTARAPADA	32	31	28	23	2	30	21	final
bali	UTTARAPADA	31	25	23	23	3	28	20	final
