parent	n_children	children
agni	241	agnikaṇa|agnikarman|agnikalpa|agnikārikā|agnikārya|agnikāṣṭha|agnikukkuṭa|agnikuṇḍa|agnikumāra|agnikṛta|agniketu|agnikoṇa|agnikrīḍā|agnikṣetra|agnikhadā|agnigarbha|agnigṛha|agnigodāna|agnigrantha|agnighaṭa|agnicakra|agnicaya|agnicayana|agniciti|agnicityā|agnicit|agnicit-vat|agnija|agnijanman|agnijā|agnijāra|agnijāla|agnijihva|agnijyeṣṭha|agnijyotis|agnijvalita-tejana|agnijvāla|agnitanu|agnitap|agnitapas|agnitapta|agnitā|agnituṇḍa|agnitejas|agnitraya|agnitretā|agnitrā|agnida|agnidagdha|agnidagdha|agnidatta|agnidamanī|agnidāyaka|agnidāha|agnidiś|agnidīpana|agnidīpta|agnidīpti|agnidūta|agnidūṣita|agnideva|agnidevata|agnidaivata|agnidh|agnidhāna|agninakṣatra|agninayana|agnināman|agninārāyaṇa|agninidhāna|agniniryāsa|agninunna|agninetra|agninyakta|agnipakva|agnipatana|agnipada|agniparikriyā|agniparicchada|agniparidhāna|agniparīkṣā|agniparvata|agnipāta|agnipānīya|agnipuccha|agniputra|agnipurā|agnipurāṇa|agnipurogama|agnipraṇayana|agnipraṇayanīya|agnipratiṣṭhā|agnipradāna|agniprabhā|agnipraveśa|agnipraveśana|agniprastara|agniprāyaścitta|agniprāyaścitti|agnibāhu|agnibīja|agnibha|agnibhāṇḍa|agnibhu|agnibhū|agnibhūti|agnibhrājas|agnimaṇi|agnimat|agnimantha|agnimadana|agniman|agnimanthana|agnimanthanīya|agnimaya|agnimāṭhara|agnimāndya|agnimāruti|agnimitra|agnim-indha|agnim-īyāma|agnimukha|agnimūḍha|agniyuta|agniyojana|agniyauna|agnirakṣaṇa|agniraja|agnirajas|agnirahasya|agnirājan|agnirāśi|agniruhā|agnirūpa|agniretasa|agnirohiṇī|agniloka|agnilocana|agnivat|agnivarcas|agnivarṇa|agnivardhaka|agnivardhana|agnivallabha|agnivaha|agnivāṇa|agnivādin|agnivārtta|agnivāsas|agnivāha|agnividhā|agnivimocana|agniviś|agnivisarpa|agniviharaṇa|agnivīrya|agnivṛddhi|agnivetāla|agnivelā|agniveśa|agniveśman|agniveśya|agniśakaṭī|agniśakti|agniśaraṇa|agniśāla|agniśālā|agniśarman|agniśikha|agniśikhā|agniśuśrūṣā|agniśekhara|agniśeṣa|agniśauca-vastra|agniśrī|agniśroṇi|agniṣṭut|agniṣṭoma|agniṣṭha|agniṣṭhikā|agniṣvātta|agnisaṁskāra|agnisakha|agnisaṁkāśa|agnisajjā|agnisaṁcaya|agnisaṁdīpana|agnisamādhāna|agnisambhava|agnisaras|agnisava|agnisahāya|agnisākṣika|agnisākṣika-maryāda|agnisāda|agnisāra|agnisāvarṇi|agnisiṁha|agnisūtra|agnistambha|agnistambhana|agnisthala|agnistoka|agnisparśa|agnisvātta|agnihavana|agnihut|agnihuta|agnihotṛ|agnihotṛ-brāhmaṇa|agnihotra|agnihotra|agnihotrin|agnihoma|agnihvara|agnīdh|agnīndrau|agnīndhana|agnī-parjanyau|agnī-varuṇau|agnī-ṣomā|agnī-ṣomau|agnīṣomīya|agnau-karaṇa|agny-agāra|agny-āgāra|agny-abhāva|agny-arci|agny-arcis|agny-āgāra|agny-ātmaka|agny-ādhāna|agny-ādheya|agny-āyatana|agny-ālaya|agny-āhita|agny-utpāta|agny-utsādin|agny-uddharaṇa|agny-upasthāna|agny-edha
agra	83	agrakara|agrakāya|agraga|agragaṇanā|agragaṇya|agragāmin|agragrāsikā|agracchada|agraja|agrajaṅghā|agrajanman|agrajā|agrajātaka|agrajāti|agrajihva|agrajyā|agraṇī|agraṇīti|agratas|agratala-saṁcāra|agratīrtha|agradātṛ|agradānin|agradidhiṣu|agradevī|agradrava-saṁhati|agradharma|agranakha|agranāsikā|agranirūpaṇa|agraparṇī|agrapā|agrapāka|agrapāṇi|agrapāda|agrapūjā|agrapeya|agrapradāyin|agrapraśīrṇa|agrabīja|agrabhāga|agrabhuj|agrabhū|agrabhūmi|agrabodhi|agrabhojya|agramahiṣī|agramāṁsa|agrayāna|agrayāyin|agrayāvan|agrayodhin|agralohitā|agravaktra|agravat|agraśas|agraśikha|agraśrāvaka|agrasaṁkhyā|agrasaṁdhānī|agrasandhyā|agrasara|agrasānu|agrasārā|agrasūcī|agrasena|agrahasta|agrahāyaṇa|agrahāra|agrāṁśa|agrāṁśu|agrākṣan|agrāgra|agrāṅguli|agrādvan|agrānīka|agrānta|agrāyaṇīya|agrāśana|agrāsana|agre-ga|agretvan|agropaharaṇīya
agratas	2	agrataḥkṛ|agrataḥ-sara
agrima	1	agrimavatī
agriya	1	agriyavat
agre	15	agrega|agregā|agregū|agreṇī|agretana|agredadhus|agredadhiṣu|agredidhiṣu|agrepā|agrepū|agrebhrū|agrevaṇa|agrevadha|agresara|agresarika
agrya	1	agryatapas
agha	18	aghakṛt|aghaghna|aghanāśaka|aghadeva|aghamarṣaṇa|aghamāra|agharud|aghavat|aghaviṣa|aghaśaṁsa|aghaśaṁsa-han|aghaśaṁsin|aghaharaṇa|aghahāra|aghāśva|aghāsura|aghāhan|aghaugha-marṣaṇa
agharma	1	agharmadhāman
aghora	7	aghoraghaṇṭa|aghoraghoratara|aghoraghora-rūpa|aghoracakṣus|aghorapathin|aghoramārga|aghorapramāṇa
