parent	n_children	children
yamaka	9	yamakakāvya|yamakatva|yamakabhārata|yamakaratnākara|yamakaśikhāmaṇi|yamakaśāla-vana|yamakārṇava|yamakāvalī|yamakāṣṭaka
yamala	8	yamalacchada|yamalajanana-śānti|yamalapattraka|yamalaśānti|yamalasū|yamalārjuna|yamalārjunaka|yamalodbhava
yamunā	16	yamunācārya|yamunājanaka|yamunātīrtha|yamunādatta|yamunādvīpa|yamunāpati|yamunāpūjā|yamunāprabhava|yamunābhāj|yamunābhid|yamunābhrātṛ|yamunāmāhātmya|yamunāvarṇana|yamunāṣṭaka|yamunāṣṭapadī|yamunāstotra
yayāti	5	yayāticarita|yayātijā|yayātipatana|yayātivat|yayātivijaya
yalla	2	yallabhaṭṭa-suta|yallabhaṭṭīya
yallāji	1	yallājīya
yava	64	yavakoṭi|yavakoṭī|yavakrin|yavakrī|yavakrīta|yavakṣāra|yavakṣetra|yavakṣoda|yavakhada|yavakhadika|yavakhala|yavagodhūma-ja|yavagodhūma-vat|yavagrīva|yavacaturthī|yavacūrṇa|yavaja|yavatiktā|yavadvīpa|yavanāla|yavapāla|yavapiṣṭa|yavaprakhyā|yavapraroha|yavaphala|yavabusa|yavabusaka|yavamaṇi|yavamat|yavamatya|yavamadhya|yavamadhyama|yavamaya|yavamardana|yavamātra|yavamuṣṭi|yavalāsa|yavavaktra|yavavelā|yavaśasya|yavaśiras|yavaśūka|yavaśūka-ja|yavasaktu|yavasāhva|yavasurā|yavākāra|yavāgraja|yavāgrayaṇa|yavāṅkura|yavācāma|yavācita|yavād|yavāntara|yavānna|yavānvita|yavāpatya|yavāmlaja|yavāśir|yavāhāra|yavāhva|yavottha|yavodara|yavorvarā
yavasa	6	yavasaprathama|yavasamuṣṭi|yavasād|yavasānnodakendhana|yavasāhva|yavasodaka
yavāgū	2	yavāgūcāraka|yavāgūmaya
yavāsa	1	yavāsaśarkarā
yavana	16	yavanajātaka|yavanadeśa|yavanadviṣṭa|yavanapura|yavanapriya|yavanamata-golādhyāya|yavanamuṇḍa|yavanaśāstre|amala-praśna|yavanasāra|yavanasena|yavanahorā|yavanācārya|yavanāri|yavaneśvara|yavaneṣṭa
yaviṣṭha	2	yaviṣṭhavat|yaviṣṭhavat
yaśas	9	yaśaskara|yaśaskara-svāmin|yaśaskāma|yaśaskāmya|yaśaskṛt|yaśastama|yaśastara|yaśasvat|yaśasvin
yaśaḥ	14	yaśaḥkarṇa|yaśaḥketu|yaśaḥkāya|yaśaḥkhaṇḍin|yaśaḥpaṭaha|yaśaḥpāla|yaśaḥprakhyāpana|yaśaḥprabha|yaśaḥprabhāva|yaśaḥśarīra|yaśaḥśeṣa|yaśo-dharman|yaśo-dhavala|yaśo-viśāla
yaśaś	1	yaśaścandra
yaśo	40	yaśogopi|yaśoghna|yaśoda|yaśodatta|yaśodarpaṇikā|yaśodā|yaśodā|yaśodeva|yaśodhana|yaśodhara|yaśodhareya|yaśodhā|yaśodhāman|yaśonandi|yaśonidhi|yaśobhagin|yaśobhagīna|yaśobhagya|yaśobhadra|yaśobhṛt|yaśomaṅgala-stotra|yaśomatī|yaśomatya|yaśomādhava|yaśomitra|yaśomedhā-samanvita|yaśoyuta|yaśorāja|yaśorāta|yaśorāśi|yaśolekhā|yaśovat|yaśovara|yaśovartman|yaśovardhana|yaśovarmaka|yaśovarman|yaśohan|yaśohara|yaśohīna
yaṣṭi	13	yaṣṭigṛha|yaṣṭigraha|yaṣṭigrāma|yaṣṭigrāham|yaṣṭinivāsa|yaṣṭiprāna|yaṣṭimat|yaṣṭimadhu|yaṣṭimadhuka|yaṣṭimadhukā|yaṣṭimaudgalya|yaṣṭiyantra|yaṣṭilatā
yaṣṭī	3	yaṣṭīpuṣpa|yaṣṭīmadhu|yaṣṭīmadhuka
yaṣṭy	5	yaṣṭyāghāta|yaṣṭyāhva|yaṣṭyāhvaya|yaṣṭyāhvā|yaṣṭyutthāna
yasya	1	yasyatva
yāt	1	yātsattra
yāta	5	yātayāma|yātayāman|yātānuyāta|yātāyāta|yātopayāta
yātavya	1	yātavyatā
yātu	9	yātughna|yātucātana|yātujambhana|yātujū|yātudhāna|yātumat|yātumāvat|yātuvid|yātuhan
yātrā	15	yātrākara|yātrākaraṇa|yātrākāra|yātrāgamana|yātrāprakaraṇa|yātrāprabandha|yātrāprasaṅga|yātrāphala|yātrāmaṅgala|yātrāmahotsava|yātrārtham|yātrāśiromaṇi|yātrāśrāddha|yātrāsaṁdhāna|yātrotsava
yāna	15	yānakara|yānaga|yānapātra|yānapātraka|yānapātrikā|yānabhaṅga|yānamukha|yānayātrā|yānayāna|yānavat|yānaśayyāsanāśana|yānaśālā|yānasvāmin|yānāsana|yānāstaraṇa
yāpa	2	yāpaka|yāpana
yāpanīya	5	yāpanīyatara|yāpanīyaka|yāpayitavya|yāpita|yāpya
yāma	17	yāmakareṇukā|yāmakuñjara|yāmakośa|yāmaghoṣa|yāmaceṭī|yāmatūrya|yāmadundubhi|yāmanādin|yāmanālī|yāmanemi|yāmabhadra|yāmamātra|yāmayama|yāmavatī|yāmavṛtti|yāmastamberama|yāmāvasthita
yāma	3	yāmaśruta|yāmahū|yāmahūti
yāmaka	2	yāmakakareṇukā|yāmakakuñjara
yāmika	3	yāmikatā|yāmikabhaṭa|yāmikasthita
yāminī	8	yāminīdayita|yāminīnātha|yāminīpati|yāminīpūrṇa-tilakā|yāminīpriyatama|yāminīramaṇa|yāminīvirahin|yāminīśa
yiyāsā	1	yiyāsu
yāga	8	yāgakaṇṭaka|yāgakarman|yāgakāla|yāgamaṇḍapa|yāgamaya|yāgasaṁtāna|yāgasampradāna|yāgasūtra
yācaka	1	yācakavṛtti
yācana	2	yācanaka|yācanīya
yācita	2	yācitaka|yācitavya
yāciṣṇu	1	yāciṣṇutā
yācñā	4	yācñājīvana|yācñāprāpta|yācñābhaṅga|yācñāvacas
yājaka	1	yājakatva
yājana	1	yājanapratigraha
yājña	8	yājñatura|yājñadatta|yājñadeva|yājñapata|yājñavalka|yājñavalkīya|yājñavalkya|yājñasena
yājñika	10	yājñikakitava|yājñikadeva|yājñikanātha|yājñikapaddhati|yājñikavallabhā|yājñikasarvasva|yājñikānanta|yājñikāśraya|yājñikāśva|yājñiky-upaniṣad
yājñikya	1	yājñikyaka
yājñīya	1	yājñīyamantra
yājya	2	yājyatā|yājyatva
yātanā	2	yātanāgṛha|yātanārthīya
yātṛ	1	yātā-nanāndṛ
yāthā	8	yāthākathāca|yāthākāmī|yāthākāmya|yāthātathya|yāthātmya|yāthārthika|yāthārthya|yāthāsaṁstarika
yāda	1	yādaīśa
yādaḥ	1	yādaḥpati
yādas	1	yādaspati
yādo	2	yādonātha|yādonivāsa
yādava	15	yādavakośa|yādavagiri|yādavacampū|yādavapaṇḍita|yādavaputra|yādavaprakāśa|yādavarāghava-pāṇḍavīya|yādavarāghavīya|yādavarāya|yādavavyāsa|yādavaśārdūla|yādavācārya|yādavābhyudaya|yādavendra|yādavodaya
yādṛg	1	yādṛgguṇa
yābha	1	yābhavat
yāma	4	yāmadūta|yāmanemi|yāmaratha|yāmottara
yāmya	7	yāmyatas|yāmyatīrtha|yāmyapāśa|yāmyasattva-vat|yāmyāyana|yāmyottara|yāmyodbhūta
yāmala	3	yāmalasāra|yāmalānusāri-praśna|yāmalāṣṭaka-tantra
yāmuna	3	yāmunastuti-ṭīkā|yāmunācārya|yāmuneṣṭaka
yāva	3	yāvakrītika|yāvanāla|yāvaśūka
yāvaka	2	yāvakakṛcchra|yāvakavratin
yāvat	19	yāvatkapālam|yāvatkartṛ|yāvatkāmam|yāvatkālam|yāvatkṛtvas|yāvatkratu|yāvattarasam|yāvattāvat-kalpana|yāvattmūtam|yāvatpramāṇa|yāvatpriya|yāvatsaṁsāram|yāvatsattvam|yāvatsabandhu|yāvatsamasta|yāvatsampātam|yāvatsāmidheni|yāvatsmṛti|yāvatsvam
yāvac	10	yāvacchakti|yāvacchakti-tas|yāvacchakya|yāvaccharāva|yāvaccharkaram|yāvacchas|yāvacchastram|yāvaccheṣam|yāvacchreṣṭha|yāvacchlokam
yāvaj	5	yāvajjanma|yāvajjīva|yāvajjīvam|yāvajjīvena|yāvajjīvika
yāvad	41	yāvadaṅgīna|yāvadadhyayanam|yāvadantam|yāvadantāya|yāvadantya|yāvadabhīkṣṇam|yāvadamatram|yāvadartha|yāvadaha|yāvadādiṣṭa|yāvadābhūta-samplavam|yāvadāyuṣam|yāvadāyus|yāvadāvāsa|yāvadāhūta-samplavam|yāvadiccham|yāvadittham|yāvadiṣṭakam|yāvadiṣṭam|yāvadīpsitam|yāvadukta|yāvaduttamam|yāvadupaniṣad|yāvadaupamya|yāvadgamam|yāvadgṛhītin|yāvadgrahaṇam|yāvaddeya|yāvaddevatya|yāvaddeha-bhāvin|yāvaddhavis|yāvaddhā|yāvadbalam|yāvadbhāṣita|yāvadyajus|yāvadrājyam|yāvadvacanam|yāvadviṁśati|yāvadvīrya-vat|yāvadvedam|yāvadvyāpti
yāvan	1	yāvanmātra
yāsa	1	yāsaśarkarā
yāska	1	yāskanirukta
yāvayat	1	yāvayatsakha
yuta	1	yutadveṣas
yiyaviṣā	1	yiyaviṣu
yukta	30	yuktakarman|yuktakārin|yuktakṛt|yuktagrāvan|yuktaceṣṭa|yuktatama|yuktatara|yuktatva|yuktadaṇḍa|yuktamada|yuktamanas|yuktamāṁsala|yuktayoga|yuktaratha|yuktarasā|yuktarāsnā|yuktarūpa|yuktarūpaka|yuktavat|yuktavādin|yuktaśītoṣṇa|yuktasena|yuktasvapnāvabodha|yuktātman|yuktāyas|yuktāyukta|yuktārohin|yuktārtha|yuktāśva|yuktāhāra-vihāra
yukti	18	yuktikathana|yuktikara|yuktikalpa-taru|yuktikṛta|yuktijña|yuktitas|yuktidīpikā|yuktiprakāśa|yuktibāhya|yuktibhāṣā|yuktimat|yuktimallikā|yuktimālikā|yuktimuktāvalī|yuktiyukta|yuktiratna-mālā|yuktiśāstra|yuktisneha-prapūraṇī
yuga	39	yugakīlaka|yugakṣaya|yugacarman|yugacchidra|yugadīrgha|yugadhāra|yugadhur|yugaṁ-dhara|yugapa|yugapattra|yugapattraka|yugapad|yugapārśvaka|yugapārśva-ga|yugapurāṇa|yugapradhāna|yugapradhāna-svarūpa|yugapradhāna-paṭṭāvalī-sūtra|yugapramāṇa|yugabāhu|yugabhaṅga|yugamātra|yugavaratra|yugavyāyata-bāhu|yugavyā-vat|yugaśamya|yugaśaram|yugasaṁvatsara|yugasahasrāya|yugāṁśaka|yugādi|yugādyā|yugādhyakṣa|yugānta|yugāntaka|yugāntara|yugāvadhi|yugeśa|yugorasya
yugala	7	yugalakiśora-sahasra-nāma-stotra|yugalakiśora-stotra|yugalasahasra-nāman|yugalaja|yugalabhakta|yugalākṣa|yugalākhya
yugma	14	yugmakṛṣṇala|yugmacārin|yugmaja|yugmajanana-śānti|yugmajanman|yugmadharman|yugmapattra|yugmapattrikā|yugmaparṇa|yugmaphalā|yugmalāṅgalin|yugmavipulā|yugmaśukra|yugmāpatyā
yugmat	1	yugmad-ayuja
yugya	3	yugyavāha|yugyastha|yugyāśana-praseva
yoktra	1	yoktrapāśa
yut	1	yutkāra
yud	2	yudbhū|yudbhūmi
yuddha	57	yuddhakāṇḍa|yuddhakārin|yuddhakāla|yuddhakīrti|yuddhakutūhala|yuddhakauśala|yuddhakṣmā|yuddhagāndharva|yuddhacintāmaṇi|yuddhajaya-prakāśa|yuddhajayārṇava|yuddhajayotsava|yuddhajayopāya|yuddhajit|yuddhatantra|yuddhadyūta|yuddhadharma|yuddhadhvāna|yuddhaparāṅmukha|yuddhaparipāṭī|yuddhapurī|yuddhapravīṇa|yuddhabhū|yuddhabhūmi|yuddhamaya|yuddhamārga|yuddhamuṣṭi|yuddhamedinī|yuddhayogya|yuddhayojaka|yuddharaṅga|yuddharatnasvara|yuddharatnāvalī|yuddhavat|yuddhavarṇa|yuddhavastu|yuddhavidyā|yuddhavinoda|yuddhaviśārada|yuddhavīra|yuddhavyatikrama|yuddhaśakti|yuddhaśālin|yuddhaśauṭīratā|yuddhasāra|yuddhasūkta|yuddhācārya|yuddhāji|yuddhādhvan|yuddhānivartin|yuddhārthin|yuddhāvasāna|yuddhāvahārika|yuddhodyama|yuddhodyoga|yuddhonmatta|yuddhopakaraṇa
yudhā	5	yudhāji|yudhājit|yudhājīva|yudhāmanyu|yudhāsura
yudhi	1	yudhiṁ-gama
yudhi	1	yudhiṣṭhira
yuyutsā	2	yuyutsārahita|yuyutsu
yuva	2	yuvadrik|yuvadhita
yuvā	4	yuvādatta|yuvānīta|yuvāyuj|yuvāvat
yuva	15	yuvakhalati|yuvagaṇḍa|yuvajarat|yuvajāni|yuvatā|yuvatva|yuvapalita|yuvapratyaya|yuvamārin|yuvarāja|yuvarājan|yuvarājya|yuvavalina|yuvasena|yuvahan
yuvati	3	yuvatijana|yuvatidā|yuvatīṣṭā
yuvatī	3	yuvatījana|yuvatīsambhoga-kāra|yuvatīsārtha
yuvanāśva	1	yuvanāśvaja
yuṣmat	1	yuṣmattas
yuṣmad	4	yuṣmadartham|yuṣmadāyatta|yuṣmadvācya|yuṣmadvidha
yuṣmā	7	yuṣmādatta|yuṣmādṛś|yuṣmādṛśa|yuṣmānīta|yuṣmāvat|yuṣmeṣita|yuṣmota
yūtha	16	yūthaga|yūthacārin|yūthatvā|yūthanātha|yūthapa|yūthapati|yūthaparibhraṣṭa|yūthapaśu|yūthapāla|yūthabandha|yūthabhraṣṭa|yūthamukhya|yūthavibhraṣṭa|yūthaśas|yūthahata|yūthāgra-ṇī
yūpa	29	yūpakaṭaka|yūpakarṇa|yūpaketu|yūpakeśin|yūpacchedana|yūpadāru|yūpadru|yūpadruma|yūpadhvaja|yūpamadhya|yūpamūrdha|yūpalakṣaṇa|yūpalakṣya|yūpavat|yūpavāsas|yūpavāha|yūpaveṣṭana|yūpavraska|yūpaśakala|yūpasaṁskāra|yūpākṣa|yūpākhya|yūpāgra|yūpāṅga|yūpāvaṭa|yūpāhuti|yūpaikādaśinī|yūpocchraya|yūpolūkhalika
yūpaka	1	yūpakavat
yoga	196	yogakakṣā|yogakanyā|yogakara|yogakaraṇḍaka|yogakalpa-druma|yogakalpa-latā|yogakuṇḍalinī|yogakuṇḍaly-upaniṣad|yogakṣema|yogagati|yogagāmin|yogagrantha|yogacakṣus|yogacandra-ṭīkā|yogacara|yogacaryā|yogacikitsā|yogacintāmaṇi|yogacūḍāmaṇi|yogacūḍāmaṇy-upaniṣad|yogacūḍopaniṣad|yogacūrṇa|yogaja|yogajñāna|yogatattva|yogatantra|yogataraṁga|yogataraṁgiṇī|yogatalpa|yogatas|yogatas|yogatas|yogatārakā|yogatārā|yogatva|yogadaṇḍa|yogadarpaṇa|yogadāna|yogadīpikā|yogadṛṣṭi-samuccaya-vyākhyā|yogadeva|yogadharmin|yogadhāraṇā|yogananda|yoganātha|yoganāvika|yoganidrā|yoganidrālu|yoganilaya|yogaṁ-dhara|yoganyāsa|yogapaṭṭa|yogapaṭṭaka|yogapati|yogapatnī|yogapatha|yogapada|yogapadaka|yogapaddhati|yogapātañjala|yogapādukā|yogapāraṁ-ga|yogapīṭha|yogaprakāra|yogaprakāśa-ṭīkā|yogapradīpa|yogapradīpikā|yogapraveśa-vidhi|yogaprāpta|yogabala|yogabindu-ṭippaṇa|yogabīja|yogabhadrā|yogabhāraka|yogabhāvanā|yogabhāṣya|yogabhāskara|yogabhraṣṭa|yogamañjarī|yogamaṇi-pradīpikā|yogamaṇi-prabhā|yogamaya|yogamahiman|yogamātṛ|yogamāyā|yogamārga|yogamārtaṇḍa|yogamālā|yogamuktāvalī|yogamūrtidhara|yogayājñavalkya|yogayājñavalkya-gītā|yogayājñavalkya-smṛti|yogayātrā|yogayukta|yogayukti|yogayuj|yogayogin|yogaraṅga|yogaratna|yogaratha|yogarasāyana|yogarahasya|yogarāja|yogarūḍha|yogarūḍhi-vāda|yogarūḍhi-vicāra|yogarocanā|yogarddhi-rūpa-vat|yogavat|yogavarṇana|yogavartikā|yogavaha|yogavācaspatya|yogavārttika|yogavāsiṣṭha|yogavāsiṣṭhīya|yogavāha|yogavāhaka|yogavāhin|yogavikraya|yogavicāra|yogavid|yogavidyā|yogavibhāga|yogaviveka|yogaviṣaya|yogavṛtti-saṁgraha|yogaśata|yogaśataka|yogaśataka-vyākhyāna|yogaśatakākhyāna|yogaśabda|yogaśarīrin|yogaśāyin|yogaśāstra|yogaśikṣā|yogaśikhā|yogaśikhopaniṣad|yogasaṁsiddhi|yogasaṁgraha|yogasamādhi|yogasāgara|yogasādhana|yogasāra|yogasiddha|yogasiddhi|yogasudhākara|yogasudhā-nidhi|yogasūtra|yogasevā|yogastha|yogasvarodaya|yogasvāmin|yogahṛdaya|yogākṣara-nighaṇṭu|yogākhyāna|yogāgni-maya|yogāṅga|yogācāra|yogācārya|yogāñjana|yogātman|yogādhamana-vikrīta|yogādhikāra|yogānanda|yogānugatā|yogānuśāsana|yogānta|yogāntikā|yogāpatti|yogābhyāsa-krama|yogābhyāsa-prakaraṇa|yogābhyāsa-lakṣaṇa|yogāmṛta|yogāmṛta-taraṁgiṇī|yogāmbara|yogāyoga|yogāraṅga|yogārūḍha|yogārṇava|yogāvali|yogāvalī|yogāvalī-jātaka|yogāvalī-tantre|kula-dīpinī|yogāvāpa|yogāsana|yogendra|yogeśa|yogeśvara|yogeṣṭa|yogaiśvarya|yogodvahana|yogopadeśa|yogopaniṣad
yogi	14	yogitā|yogitva|yogidaṇḍa|yoginidrā|yogipatnī|yogimātṛ|yogibhaṭṭa|yogimārga|yogiyājñavalkya|yogirāj|yogīndra|yogīśa|yogīśvara|yogīṣṭa
yoginī	12	yoginīcakra-pūjana|yoginījātaka|yoginījāla-śambara|yoginījñānārṇava|yoginītantra|yoginīdaśā|yoginīpura|yoginībhairava-tantra|yoginīsādhana|yoginīstava-rāja|yoginīhṛdaya|yoginīhṛdaya-setu-bandha
yoginy	2	yoginyaṣṭa-daśā-krama|yoginyādi-pūjana-vidhi
yogya	6	yogyatā|yogyatva|yogyaviśeṣa-guṇa-vicāra|yogyānupalabdhi-rahasya|yogyānupalabdhi-vāda|yogyā-ratha
yojana	7	yojanagandhā|yojanaparṇī|yojanabāhu|yojanabhāj|yojanavallikā|yojanavallī|yojanaśata
yodha	6	yodhadharma|yodhamukhya|yodhavīra|yodhasaṁrāva|yodhahara|yodhāgāra
yodhana	1	yodhanapura-tīrtha
yoni	40	yonikuṇḍa|yonigāna|yoniguṇa|yonigrantha|yonicikitsā|yonija|yonitantra|yonitas|yonitva|yoniduṣṭā|yonidevatā|yonideśa|yonidoṣa|yonidvāra|yonināsā|yoniniraya|yonipoṣaṇa|yonibhraṁśa|yonimat|yonimantra|yonimukta|yonimukha|yonimudrā|yonirañjana|yoniroga|yoniliṅga|yonivyāpad|yoniśas|yoniśāstra|yoniṣad|yonisaṁkaluṣa|yonisaṁvaraṇa|yonisaṁvṛti|yonisaṁkaṭa|yonisaṁkara|yonisambandha|yonisambhava|yoniha|yony-ajāta|yony-arśas
yoṣit	4	yoṣitkṛta|yoṣitpratiyātanā|yoṣitpriyā|yoṣitsarpā
yoṣid	2	yoṣidgrāha|yoṣidratna
yauga	6	yaugaṁ-dhara|yaugaṁ-dharāyaṇa|yaugaṁ-dhari|yaugapada|yaugapadya|yaugavaratra
yaugika	2	yaugikarūḍha|yaugikatva
yauna	1	yaunasambandha
yauvana	18	yauvanakaṇṭaka|yauvanadarpa|yauvanadaśā|yauvanapadavī|yauvanapiḍakā|yauvanaprānta|yauvanabhinna-śaiśava|yauvanamattā|yauvanalakṣaṇa|yauvanavat|yauvanaśrī|yauvanasukha|yauvanastha|yauvanānta|yauvanārambha|yauvanārūḍha|yauvanāvasthā|yauvanodbheda
ra	3	rakāra|rapratyāhāra|rodara
ra	1	ravipulā
raṁsu	1	raṁsujihva
rakka	1	rakkajayā
rakṣa	4	rakṣapāla|rakṣapālaka|rakṣapuruṣa|rakṣabhagavatī
rakṣa	1	rakṣaīśa
rakṣaḥ	3	rakṣaḥpati|rakṣaḥpāla|rakṣaḥsabha
rakṣaka	1	rakṣakāmbā
rakṣaṇa	2	rakṣaṇārtham|rakṣaṇopāya
rakṣas	3	rakṣastva|rakṣaspāśa|rakṣasvin
rakṣā	26	rakṣākaraṇḍaka|rakṣāgaṇḍaka|rakṣāgṛha|rakṣādhikṛta|rakṣādhipati|rakṣāpaṭṭolikā|rakṣāpati|rakṣāpattra|rakṣāparigha|rakṣāpuruṣa|rakṣāpekṣaka|rakṣāpratiśara|rakṣāpradīpa|rakṣābandhana-vidhi|rakṣābhūṣaṇa|rakṣābhyadhikṛta|rakṣāmaṅgala|rakṣāmaṇi|rakṣāmantra|rakṣāmalla|rakṣāmahauṣadhi|rakṣāratna|rakṣārtham|rakṣāvat|rakṣāsarṣapa|rakṣāsūtra
rakṣi	2	rakṣijana|rakṣivarga
rakṣika	1	rakṣikapuruṣa
rakṣita	1	rakṣitavat
rakṣin	1	rakṣi-tva
rakṣo	19	rakṣogaṇa|rakṣoghna|rakṣojana|rakṣojananī|rakṣodevatā|rakṣodevatya|rakṣodaivata|rakṣodhidevatā|rakṣonātha|rakṣobhāṣ|rakṣomukha|rakṣoyuj|rakṣorāja|rakṣovāha|rakṣovikṣobhiṇī|rakṣovidyā|rakṣohaṇa|rakṣohatya|rakṣohan
rakṣya	1	rakṣyatama
raghu	37	raghukāra|raghukulottaṁsa|raghuja|raghuṭippaṇī|raghutanaya|raghutilaka|raghudeva|raghudru|raghunandana|raghunātha|raghunāyaka|raghupati|raghupatma-jaṁhas|raghupatvan|raghupratinidhi|raghupravara|raghumaṇi|raghumanyu|raghumāhātmya|raghumukha|raghuyāman|raghurāja-siṁha|raghurāma|raghulāla-dāsa|raghuvaṁśa|raghuvara|raghuvartani|raghuvarya|raghuvarya-tīrtha|raghuvilāpa-nāṭaka|raghuvīra|raghuṣyad|raghusuta|raghusyada|raghusvāmin|raghūttama|raghūdvaha
raṅku	1	raṅkumālin
racita	11	racitatva|racitadhī|racitapaṅkti|racitapūrva|racitamaṅgala|racitaśikhara|racitasvāgata|racitātithya|racitānati|racitārtha|racitotsava
rajju	22	rajjukaṇṭha|rajjukriyā|rajjudāla|rajjudālaka|rajjudhāna|rajjupīṭhikā|rajjupeḍā|rajjubandha|rajjubhāra|rajjumaya|rajjumātra-tva|rajjuyantra|rajjulamba|rajjuvartana|rajjuvāla|rajjuśārada|rajjusaṁdāna|rajjusarja|rajjūta|rajjūddhṛta|rajjv-ambara|rajjv-avalambin
rakta	223	raktakaṅgu|raktakaṇṭa|raktakaṇṭha|raktakaṇṭhin|raktakadamba|raktakadalī|raktakanda|raktakandala|raktakamala|raktakambala|raktakaravīra|raktakaravīraka|raktakallola|raktakāñcana|raktakāṇḍā|raktakāla|raktakāṣṭha|raktakuṇḍala|raktakumuda|raktakṛmijā|raktakṛṣṇa|raktakesara|raktakairava|raktakokanada|raktakośātakī|raktakhadira|raktakhāḍava|raktagandhaka|raktagarbhā|raktagulma|raktagairika|raktagaura|raktagranthi|raktagraha|raktagrīva|raktaghna|raktacandana|raktacitraka|raktacillikā|raktacūrṇa|raktacūrṇaka|raktacchada|raktacchardi|raktaja|raktajantuka|raktajihva|raktatara|raktatā|raktatuṇḍa|raktatuṇḍaka|raktatṛṇā|raktatejas|raktatrivṛt|raktatva|raktadat|raktadant|raktadantikā|raktadantī|raktadalā|raktadūṣaṇa|raktadṛś|raktadṛṣṭi|raktadruma|raktadhātu|raktanayana|raktanāḍī|raktanāla|raktanāsika|raktaniryāsaka|raktanīla|raktanetra|raktapa|raktapakṣa|raktapaṭa|raktapatana|raktapattra|raktapadī|raktapadma|raktaparṇa|raktapallava|raktapākī|raktapāta|raktapāda|raktapāyin|raktapārada|raktapiṭikā|raktapiṇḍa|raktapiṇḍaka|raktapiṇḍālu|raktapitta|raktapītāsita-śyeta|raktapucchaka|raktapunarnavā|raktapuṣpa|raktapuṣpaka|raktapūya|raktapūraka|raktapūrṇa|raktapaitta|raktapaittika|raktapradara|raktaprameha|raktapravāha|raktaprasava|raktaphala|raktaphena-ja|raktabindu|raktabīja|raktabījakā|raktabhava|raktabhāva|raktamañjara|raktamaṇḍala|raktamatta|raktamatsya|raktamaya|raktamastaka|raktamādrī|raktamukha|raktamūtra-tā|raktamūlaka|raktamūlā|raktameha|raktamokṣa|raktamokṣaṇa|raktayaṣṭi|raktayaṣṭikā|raktayāvanāla|raktarāji|raktarājī|raktareṇu|raktaraivataka|raktalaśuna|raktalocana|raktavaṭī|raktavaraṭi|raktavarga|raktavarṇa|raktavartmaka|raktavardhana|raktavarṣābhū|raktavasana|raktavastrin|raktavāta|raktavārija|raktavāluka|raktavāsas|raktavāsin|raktavikāra|raktavidradhi|raktavindu|raktavīja|raktavījakā|raktavirakta|raktavṛkṣa|raktavṛntā|raktaśāli|raktaśāsana|raktaśigru|raktaśīrṣaka|raktaśukra-tā|raktaśūla|raktaśṛṅgaka|raktaśmaśru|raktaśyāma|raktaṣṭhīvana-tā|raktaṣṭhīvī|raktasaṁkoca|raktasaṁkocaka|raktasaṁjña|raktasaṁdaṁśikā|raktasaṁdhyaka|raktasaroruha|raktasarṣapa|raktasahā|raktasāra|raktasūrya-maṇi|raktasūryāya|raktasaugandhika|raktasrag-anulepin|raktasrāva|raktahaṁsa|raktahīna|raktāṁśuka|raktākāra|raktākta|raktākṣa|raktākṣi|raktākṣin|raktāṅka|raktāṅga|raktātisāra|raktātīsāra|raktādharā|raktādhāra|raktādhimantha|raktānta|raktāpaha|raktāpāmārga|raktābha|raktābhiṣyanda|raktāmiṣāda|raktāmbara|raktāmbu-pūra|raktāmburuha|raktāmbhoja|raktāmra|raktāruṇa|raktārti|raktārbuda|raktārman|raktārśas|raktālu|raktāluka|raktāśaya|raktāśoka|raktekṣu|raktairaṇḍa|raktairvāru|raktotkliṣṭa|raktotpala|raktodara|raktopala
rakti	1	raktimat
raṅga	74	raṅgakāra|raṅgakāraka|raṅgakāṣṭha|raṅgakṣāra|raṅgakṣetra|raṅgacara|raṅgaja|raṅgajīvaka|raṅgataraṁga|raṅgatāla|raṅgada|raṅgadatta|raṅgadāyaka|raṅgadṛḍhā|raṅgadevatā|raṅgadvār|raṅgadvāra|raṅgadhātu|raṅganātha|raṅganāmaka|raṅganāyaka|raṅgapatākā|raṅgapattrī|raṅgapuṣpī|raṅgapīṭha|raṅgapradīpaka|raṅgapraveśa|raṅgaprasādana|raṅgapluta-lakṣaṇa|raṅgabhūti|raṅgabhūmi|raṅgabhṛṅga-vallī|raṅgamaṅgala|raṅgamaṇḍapa|raṅgamadhya|raṅgamalla|raṅgamāṇikya|raṅgamātṛ|raṅgamāhātmya|raṅgarāja|raṅgarāṭ-chandas|raṅgarāmānuja|raṅgalatā|raṅgalāsinī|raṅgalīla|raṅgavatī|raṅgavallikā|raṅgavallī|raṅgavastu|raṅgavāṭa|raṅgavārāṅganā|raṅgavidyā-dhara|raṅgaśālā|raṅgasaṁgara|raṅgastotra|raṅgāṅgana|raṅgāṅgā|raṅgācārya|raṅgājīva|raṅgābharaṇa|raṅgāri|raṅgārohaṇa|raṅgāvataraṇa|raṅgāvatāraka|raṅgāvatārin|raṅgāvali|raṅgeśa|raṅgeśvarī|raṅgeṣṭālu|raṅgeṣṭāluka|raṅgoddyota|raṅgopajīvin|raṅgopajīvya|raṅgopamardin
raja	6	rajaudvāsā|rajā-śaya|rajeṣita|rajotsava-māhātmya|rajonmiśra|rajopama
