gra_L	gra_key1	gra_key2	gra_hom	gra_pc	rv_occurrence_count	vedaweb_example_form	vedaweb_example_lemma	vedaweb_example_location	match_method
8408	vfzan	vf/zan		1345	463	vr̥ṣan	vŕ̥ṣan-	1.7.6	vedaweb-id-link
7002	yajYa	yajYa/		1075	457	yajñásya	yajñá-	1.1.1	vedaweb-id-link
4860	nar	na/r		0713	451	narā	nár-	1.2.6	vedaweb-id-link
5085	nf	nf/		0748	451	narā	nár-	1.2.6	vedaweb-id-link
1288	aSvin	aSvi/n		0143	445	áśvinā	aśvín-	1.3.1	vedaweb-id-link
10541	han	han		1641	419	hatá	√han-	1.23.9	vedaweb-id-link
5405	pA	pA	2	0800	417	pāhi	√pā- 2	1.2.1	vedaweb-id-link
4164	dA	dA	1	0587	413	dadīmahi	√dā- 1	1.8.3	vedaweb-id-link
6758	mA	mA/		1026	413	mā́	mā́	1.4.3	vedaweb-id-link
6679	marut	maru/t		1007	409	márutaḥ	marút-	1.15.2	vedaweb-id-link
10268	sTA	sTA		1596	402	tasthúṣaḥ	√sthā-	1.6.1	vedaweb-id-link
7999	vid	vid	2	1274	402	vidyā́ma	√vid- 2	1.4.3	vedaweb-id-link
7721	varuRa	va/ruRa		1220	396	váruṇam	váruṇa-	1.2.7	vedaweb-id-link
7833	vah	vah		1239	382	vakṣati	√vah-	1.1.2	vedaweb-id-link
10120	sUrya	sU/rya		1567	381	sū́ryam	sū́rya-	1.7.3	vedaweb-id-link
7851	vAja	vA/ja		1250	376	vā́jebhiḥ	vā́ja-	1.3.10	vedaweb-id-link
8985	Sru	Sru	1	1425	371	śrudhí +	√śru- 1	1.2.1	vedaweb-id-link
6504	maGavan	maGa/van		0971	371	maghónaḥ	maghávan-	1.31.12	vedaweb-id-link
8385	vfD	vfD		1337	371	várdhamānam	√vr̥dh-	1.1.8	vedaweb-id-link
2184	fta	fta/		0282	360	r̥tásya	r̥tá-	1.1.8	vedaweb-id-link
2077	uz	u/z		0267	359	uṣádbhiḥ	uṣás-	1.6.3	vedaweb-id-link
2078	uza	u/za		0267	359	uṣádbhiḥ	uṣás-	1.6.3	vedaweb-id-link
2081	uzas	uza/s		0268	359	uṣádbhiḥ	uṣás-	1.6.3	vedaweb-id-link
2096	Uti	Uti/		0270	350	ūtáye	ūtí-	1.4.1	vedaweb-id-link
6230	bfhat	bfha/t		0911	346	br̥hántam	br̥hánt-	1.2.8	vedaweb-id-link
9208	sad	sad		1455	344	sīdata	√sad-	1.5.1	vedaweb-id-link
2975	gir	gi/r		0399	343	gíraḥ	gír- ~ gīr-	1.3.2	vedaweb-id-link
2295	etad	e-ta/d		0298	341	etā́ḥ	eṣá	1.25.18	vedaweb-id-link
2296	etad	eta/d		0299	341	etā́ḥ	eṣá	1.25.18	vedaweb-id-link
5078	nu	nu/		0744	338	nú	nú	1.8.5	vedaweb-id-link
6824	mitra	mitra/		1038	328	mitrám	mitrá-	1.2.7	vedaweb-id-link
1707	indu	i/ndu		0212	327	índavaḥ	índu-	1.2.4	vedaweb-id-link
3390	jana	ja/na		0472	327	jánebhyaḥ	jána-	1.7.10	vedaweb-id-link
5760	pfTivI	pfTivI/		0855	320	pr̥thivī́	pr̥thivī́-	1.22.13	vedaweb-id-link
7845	vA	vA	4	1247	318	vā	vā	1.6.9	vedaweb-id-link
7053	yam	yam		1090	316	yemire	√yam-	1.10.1	vedaweb-id-link
354	aDi	a/Di		0044	311	ádhi	ádhi	1.6.9	vedaweb-id-link
5481	pitf	pitf/		0812	309	pitā́	pitár-	1.1.9	vedaweb-id-link
1101	av	av		0121	306	āvaḥ	√avⁱ-	1.4.8	vedaweb-id-link
1892	ud	ud		0251	305	út	úd	1.9.4	vedaweb-id-link
1892.1	ud	u/d	1	0251	294	út	úd	1.9.4	vedaweb-id-link
6994	yaj	yaj		1070	293	yákṣi	√yaj-	1.13.1	vedaweb-id-link
1818	iha	iha/		0229	289	ihá	ihá	1.1.2	vedaweb-id-link
10749	hotf	ho/tf		1681	283	hótāram	hótar-	1.1.1	vedaweb-id-link
6534	mada	ma/da		0981	279	mádaḥ	máda-	1.4.2	vedaweb-id-link
7041	yaTA	yaTA		1084	278	yáthā	yáthā	1.6.6	vedaweb-id-link
10237	stu	stu	1	1590	277	stuhi	√stu-	1.12.7	vedaweb-id-link
5198	pati	pa/ti		0764	276	patī	páti-	1.3.1	vedaweb-id-link
1135	avas	a/vas		0127	272	ávaḥ	ávas-	1.17.1	vedaweb-id-link
4710	DI	DI/		0684	271	dhiyā́	dhī́-	1.1.7	vedaweb-id-link
10555	hari	ha/ri		1648	271	hárī	hári-	1.5.4	vedaweb-id-link
9112	saKi	sa/Ki		1441	267	sákhibhyaḥ	sákhi-	1.4.4	vedaweb-id-link
9702	su	su/		1526	265	sú	sú	1.9.6	vedaweb-id-link
5404	pA	pA	1	0798	262	pātu	√pā- 1	1.18.5	vedaweb-id-link
6550	maDu	ma/Du		0983	255	mádhvaḥ	mádhu-	1.14.4	vedaweb-id-link
6268	brahman	bra/hman		0916	254	bráhmāṇi	bráhman-	1.3.5	vedaweb-id-link
1254	aSva	a/Sva		0140	247	áśvaiḥ	áśva-	1.16.9	vedaweb-id-link
5868	prati	pra/ti		0868	247	práti	práti	1.9.4	vedaweb-id-link
8058	vipra	vi/pra		1284	247	víprāsaḥ	vípra-	1.8.6	vedaweb-id-link
7364	rAjan	rA/jan		1157	246	rā́jabhiḥ	rā́jan-	1.20.5	vedaweb-id-link
2489	kavi	kavi/		0318	245	kavī́	kaví-	1.2.9	vedaweb-id-link
7497	rodasI	ro/dasI		1185	242	ródasī	ródasī-	1.10.8	vedaweb-id-link
1778	iz	i/z		0224	239	íṣaḥ	íṣ-	1.3.1	vedaweb-id-link
6592	manas	ma/nas		0993	238	mánasā	mánas-	1.20.2	vedaweb-id-link
6533	mad	mad		0977	236	mátsi	√mad-	1.9.1	vedaweb-id-link
617	apa	a/pa		0072	233	ápa +	ápa	1.7.6	vedaweb-id-link
3290	cit	cit		0447	233	cetathaḥ	√cit-	1.2.5	vedaweb-id-link
3541	juz	juz		0493	233	juṣanta	√juṣ-	1.3.9	vedaweb-id-link
2274	eka	e/ka		0295	225	ékaḥ	éka-	1.7.9	vedaweb-id-link
2973	gir	gir	1	0397	224	gr̥ṇántaḥ	√gr̥̄- 1	1.9.9	vedaweb-id-link
10132	sfj	sfj		1572	222	sr̥jata +	√sr̥j-	1.9.2	vedaweb-id-link
601	anya	anya/		0068	221	anyéṣu	anyá-	1.30.6	vedaweb-id-link
1829	Im	Im		0231	219	īm	īm	1.4.7	vedaweb-id-link
6073	priya	priya/		0889	219	priyám	priyá-	1.13.3	vedaweb-id-link
315	adya	adya/		0039	217	adyá +	adyá	1.13.2	vedaweb-id-link
3243	car	car		0437	215	cárantam	√carⁱ-	1.6.1	vedaweb-id-link
10331	sya	sya/		1614	212	tyám	syá- ~ tyá-	1.19.1	vedaweb-id-link
3907	tya	tya/		0552	212	tyám	syá- ~ tyá-	1.19.1	vedaweb-id-link
7998	vid	vid	1	1270	211	ávindaḥ	√vid- 1	1.6.5	vedaweb-id-link
7133	yuj	yuj		1115	211	yuñjánti	√yuj-	1.6.1	vedaweb-id-link
906	amfta	a-mf/ta		0094	210	amŕ̥tasya	amŕ̥ta-	1.13.5	vedaweb-id-link
10256	stoma	sto/ma		1595	210	stómāḥ	stóma-	1.5.8	vedaweb-id-link
3644	tanU	tanU/		0519	209	tanū́nām	tanū́-	1.5.10	vedaweb-id-link
3643	tanu	tanu/		0519	209	tanū́nām	tanū́-	1.5.10	vedaweb-id-link
6710	mahat	maha/t		1016	206	mahā́n	mahā́nt-	1.4.10	vedaweb-id-link
1101.2	ava	a/va	2	0124	205	áva	áva	1.11.7	vedaweb-id-link
9680	sinDu	si/nDu		1519	204	síndhum	síndhu-	1.11.6	vedaweb-id-link
384	aDvara	aDvara/		0048	201	adhvarám	adhvará-	1.1.4	vedaweb-id-link
6775	mAtf	mAtf/		1029	201	mātáram	mātár-	1.24.1	vedaweb-id-link
10485	svasti	svasti/		1635	201	svastáye	svastí-	1.1.9	vedaweb-id-link
3685	tar	tar		0525	200	tira	√tr̥̄-	1.10.11	vedaweb-id-link
8140	viS	vi/S		1295	200	víśaḥ	víś-	1.25.1	vedaweb-id-link
344	aDa	a/Da		0042	196	ádha	ádha	1.15.10	vedaweb-id-link
7568	vac	vac		1191	194	vocéyuḥ	√vac-	1.4.6	vedaweb-id-link
5568	puru	puru/		0827	193	purūṇā́m	purú-	1.5.2	vedaweb-id-link
8361	vft	vft		1330	192	vártamānaḥ	√vr̥t-	1.35.2	vedaweb-id-link
1865	ugra	ugra/		0245	191	ugráḥ	ugrá-	1.7.4	vedaweb-id-link
228	ati	a/ti		0028	188	áti	áti	1.4.3	vedaweb-id-link
8365	vftra	vftra/		1334	187	vr̥trā́ṇām	vr̥trá-	1.4.8	vedaweb-id-link
7877	vAjin	vAji/n		1254	186	vājínam	vājín-	1.4.8	vedaweb-id-link
1701	iD	iD		0210	185	idhyate	√idh- 1	1.12.6	vedaweb-id-link
6691	martya	ma/rtya		1009	185	mártyasya	mártya-	1.18.3	vedaweb-id-link
5054	nI	nI		0736	185	anayan	√nī-	1.31.4	vedaweb-id-link
4892	nas	nas		0719	185	ā́śata	√naś- 1	1.8.6	vedaweb-id-link
8419	vfzaBa	vfzaBa/		1349	185	vr̥ṣabhám	vr̥ṣabhá-	1.9.4	vedaweb-id-link
10533	ha	ha		1640	184	ha	ha	1.37.12	vedaweb-id-link
9484	savitf	savitf/		1493	184	savitā́ram	savitár-	1.22.5	vedaweb-id-link
6401	Buvana	Bu/vana		0941	182	bhúvanāya	bhúvana-	1.31.2	vedaweb-id-link
4845	namas	na/mas		0711	182	námaḥ	námas-	1.1.7	vedaweb-id-link
2729	kratu	kra/tu		0353	181	krátum	krátu-	1.2.8	vedaweb-id-link
8335	vf	vf	1	1319	180	vr̥ṇváte	√vr̥- 1	1.5.4	vedaweb-id-link
8710	Savas	Sa/vas		1386	177	śávaḥ	śávas-	1.8.5	vedaweb-id-link
160	aCa	a/Ca		0016	177	ácha +	ácha	1.2.2	vedaweb-id-link
8890	SUra	SU/ra		1411	176	śū́rebhiḥ	śū́ra-	1.8.4	vedaweb-id-link
2315	eva	eva/		0301	175	evá	evá	1.1.3	vedaweb-id-link
286	aditi	a/-diti	1	0036	174	áditaye	áditi-	1.24.1	vedaweb-id-link
287	aditi	a/-diti	2	0036	174	áditaye	áditi-	1.24.1	vedaweb-id-link
3500	ji	ji	1	0486	173	jáyema	√ji- 1	1.8.3	vedaweb-id-link
5905	praTama	praTama/		0873	173	prathamásya	prathamá-	1.24.2	vedaweb-id-link
2340	ojas	o/jas		0304	169	ójasā	ójas-	1.7.8	vedaweb-id-link
10609	havis	havi/s		1655	168	havíḥ	havís-	1.12.10	vedaweb-id-link
9525	sahas	sa/has		1499	166	sáhase	sáhas-	1.16.6	vedaweb-id-link
9251	san	san		1465	166	sanet	√sanⁱ-	1.5.9	vedaweb-id-link
9133	sac	sac		1444	164	sácasva +	√sac-	1.1.9	vedaweb-id-link
2025	uru	uru/		0262	164	urvī́ḥ	urú-	1.8.7	vedaweb-id-link
4486	devI	devI/		0637	163	devī́ḥ	devī́-	1.13.6	vedaweb-id-link
10644	hi	hi		1661	163	hinóti	√hi-	1.18.4	vedaweb-id-link
8660	Sam	Sa/m		1379	161	śám	śám	1.5.7	vedaweb-id-link
3925	tri	tri/		0555	161	tisráḥ	trí-	1.13.9	vedaweb-id-link
9117	saKya	saKya/		1442	157	sakhyéṣu	sakhyá-	1.10.5	vedaweb-id-link
4207	dASvas	dASva/s		0597	155	dāśúṣe	dāśváṁs-	1.1.6	vedaweb-id-link
261	aTa	a/Ta		0032	154	átha +	átha	1.4.3	vedaweb-id-link
572	antar	anta/r		0064	154	antár	antár	1.23.19	vedaweb-id-link
5219	paTi	paTi/		0767	154	pánthām	pánthā- ~ path-	1.24.8	vedaweb-id-link
3294	citra	citra/		0451	153	citrám	citrá-	1.9.5	vedaweb-id-link
7772	vaS	vaS		1226	153	uśánti	√vaś-	1.2.4	vedaweb-id-link
9399	samudra	sam-udra/		1483	150	samudráḥ	samudrá-	1.8.7	vedaweb-id-link
10296	spaS	spaS		1606	149	áspaṣṭa	√spaś-	1.10.2	vedaweb-id-link
6296	Badra	Badra/		0925	148	bhadrám	bhadrá-	1.1.6	vedaweb-id-link
4377	duh	duh		0619	148	adukṣat	√duh-	1.33.10	vedaweb-id-link
3598	jyotis	jyo/tis		0504	148	jyótiṣaḥ	jyótis-	1.23.5	vedaweb-id-link
1836	IS	IS		0235	147	ī́śānam	√īś-	1.5.2	vedaweb-id-link
2324	ez	ez		0303	147	ī́śānam	√īś-	1.5.2	vedaweb-id-link
8336	vf	vf	2	1323	147	vr̥ṇīmahe	√vr̥- 2	1.12.1	vedaweb-id-link
954	ar	ar		0098	146	ārata	√r̥-	1.4.5	vedaweb-id-link
2152	fC	fC		0278	146	ārata	√r̥-	1.4.5	vedaweb-id-link
7382	rADas	rA/Das		1161	146	rā́dhaḥ	rā́dhas-	1.9.5	vedaweb-id-link
8967	Sravas	Sra/vas		1420	145	śrávaḥ	śrávas-	1.9.7	vedaweb-id-link
7614	van	van		1203	145	vánatam	√vanⁱ-	1.3.2	vedaweb-id-link
7235	rajas	ra/jas		1134	144	rájasaḥ	rájas-	1.6.10	vedaweb-id-link
6519	mati	mati/		0974	143	matím	matí-	1.6.6	vedaweb-id-link
1401	ahan	a/han		0162	142	áhan	áhar ~ áhan-	1.34.3	vedaweb-id-link
1033	arc	arc		0110	142	arcati	√r̥c-	1.6.8	vedaweb-id-link
6165	barhis	barhi/s		0901	142	barhíṣi	barhís-	1.12.4	vedaweb-id-link
1508	Aditya	Aditya/	1	0176	141	ādityā́n	ādityá-	1.14.3	vedaweb-id-link
1509	Aditya	Aditya/	2	0177	141	ādityā́n	ādityá-	1.14.3	vedaweb-id-link
9173	satya	satya/		1451	140	satyáḥ	satyá-	1.1.5	vedaweb-id-link
8373	vftrahan	vftra-ha/n		1336	140	vr̥trahā́	vr̥trahán-	1.16.8	vedaweb-id-link
6689	marta	ma/rta		1008	139	mártāḥ	márta-	1.5.10	vedaweb-id-link
6585	man	man	1	0990	138	mánāmahe	√man- 1	1.24.1	vedaweb-id-link
7579	vajra	va/jra		1197	138	vájram	vájra-	1.8.3	vedaweb-id-link
3635	tan	tan	1	0514	137	tanvánti	√tan-	1.19.8	vedaweb-id-link
7917	vAyu	vAyu/		1259	137	vā́yo	vāyú-	1.2.1	vedaweb-id-link
9283	sanizy	sanizy		1470	136	sanet	√sanⁱ-	1.5.9	vedaweb-id-link
2010	uBa	uBa/		0260	136	ubhé	ubhá-	1.10.8	vedaweb-id-link
8312	vIra	vIra/		1316	136	vīráḥ	vīrá-	1.18.4	vedaweb-id-link
2947	gA	gA	1	0391	135	jigāti	√gā-	1.2.3	vedaweb-id-link
7439	rudra	rudra/		1174	135	rudrā́ya	rudrá-	1.27.10	vedaweb-id-link
9533	sahasra	saha/sra		1500	135	sahásram	sahásra-	1.11.8	vedaweb-id-link
7595	vad	vad		1199	135	āvádan	√vadⁱ-	1.11.6	vedaweb-id-link
6279	brU	brU		0918	134	bruvantu	√brū-	1.4.5	vedaweb-id-link
4738	Df	Df		0691	133	ádhārayanta	√dhr̥-	1.20.8	vedaweb-id-link
10367	sva	sva/		1619	132	své	svá-	1.1.8	vedaweb-id-link
1845	ukTa	ukTa/		0242	132	ukthébhiḥ	ukthá-	1.2.2	vedaweb-id-link
1090	arz	arz	1	0119	131	arṣanti	√arṣ-	1.105.12	vedaweb-id-link
9325	saptan	sapta/n		1474	131	saptá	saptá-	1.22.16	vedaweb-id-link
7848	vAc	vA/c		1248	131	vā́cam	vā́c-	1.40.6	vedaweb-id-link
8535	vrata	vrata/		1361	131	vratā́ni	vratá-	1.22.6	vedaweb-id-link
8697	Sarman	Sa/rman		1384	130	śármaṇi	śárman-	1.4.6	vedaweb-id-link
320	adri	a/-dri		0039	130	ádrim	ádri-	1.7.3	vedaweb-id-link
3474	jAtavedas	jAta-vedas		0483	129	jātavedaḥ	jātávedas-	1.44.1	vedaweb-id-link
6285	Baga	Ba/ga		0921	128	bhágam	bhága-	1.14.3	vedaweb-id-link
6744	mahiman	mahima/n		1021	128	mahinā́	mahimán-	1.32.8	vedaweb-id-link
8591	Sata	Sata/		1372	127	śatám	śatá-	1.24.9	vedaweb-id-link
8557	SaMs	SaMs		1365a	126	śáṁsyā	śáṁsya-	1.8.10	vedaweb-id-link
4406	dfS	dfS		0626	125	dŕ̥kṣase	√dr̥ś-	1.6.7	vedaweb-id-link
10592	hava	ha/va		1653	125	hávam	háva-	1.2.1	vedaweb-id-link
10611	havya	havya/		1656	125	havyā́ya	havyá-	1.45.6	vedaweb-id-link
7039	yatra	ya/tra		1081	124	yátra	yátra	1.13.5	vedaweb-id-link
7193	yoni	yo/ni		1126	124	yóniṣu	yóni-	1.15.4	vedaweb-id-link
3145	Gfta	Gfta/		0423	123	ghr̥téna	ghr̥tá-	1.72.3	vedaweb-id-link
6247	bfhaspati	bfhas-pa/ti		0914	123	bŕ̥haspátim	bŕ̥haspáti-	1.14.3	vedaweb-id-link
3445	jaritf	jaritf/		0480	123	jaritā́raḥ	jaritár-	1.2.2	vedaweb-id-link
6920	mfj	mfj		1056	123	mr̥kṣatam	√mr̥j-	1.34.11	vedaweb-id-link
4752	Denu	Denu/		0695	122	dhenúm	dhenú-	1.20.3	vedaweb-id-link
5348	parvata	pa/rvata		0791	122	párvatān	párvata-	1.19.7	vedaweb-id-link
5533	putra	putra/		0821	122	putráḥ	putrá-	1.31.11	vedaweb-id-link
5727	pUzan	pUza/n		0848	121	pūṣáṇam	pūṣán-	1.14.3	vedaweb-id-link
10435	svar	sva^r		1630	121	sū́re	svàr-	1.34.5	vedaweb-id-link
255	atra	a/tra	1	0030	120	átra	átra	1.33.15	vedaweb-id-link
9216	sadA	sa/dA		1461	119	sádā	sádā	1.12.2	vedaweb-id-link
8833	Suci	Su/ci		1402	118	śúcayaḥ	śúci-	1.5.5	vedaweb-id-link
10713	hu	hu		1669	118	juhóta	√hu-	1.15.9	vedaweb-id-link
1831	Ir	Ir		0233	117	eriré	√īr-	1.6.4	vedaweb-id-link
1075	aryaman	aryama/n		0116	117	aryamā́	áryaman-	1.26.4	vedaweb-id-link
4923	nAman	nA/man		0724	117	nā́ma	nā́man-	1.6.4	vedaweb-id-link
5702	pUrva	pU/rva		0844	117	pū́rvebhiḥ	pū́rva-	1.1.2	vedaweb-id-link
6790	mAnuza	mA/nuza		1033	116	mā́nuṣeṣu	mā́nuṣa-	1.25.15	vedaweb-id-link
10116	sUri	sUri/		1567	114	sūráyaḥ	sūrí-	1.22.20	vedaweb-id-link
8818	Sukra	Sukra/		1399	113	śukréṇa	śukrá-	1.12.12	vedaweb-id-link
5049	nis	ni/s		0736	113	nís	nís	1.4.5	vedaweb-id-link
3678	tamas	ta/mas		0524	113	támaḥ	támas-	1.32.10	vedaweb-id-link
1487	At	A/t		0174	112	ā́t	ā́t	1.6.4	vedaweb-id-link
208	aYj	aYj		0023	112	añje	√añj-	1.61.5	vedaweb-id-link
2253	fzi	f/zi		0292	112	ŕ̥ṣibhiḥ	ŕ̥ṣi-	1.1.2	vedaweb-id-link
8003	vidaTa	vida/Ta		1278	112	vidáthe	vidátha-	1.31.6	vedaweb-id-link
1210	aS	aS	1	0133	111	aśnavat	√aś-	1.1.3	vedaweb-id-link
4627	Dana	Da/na		0654	110	dhánānām	dhána-	1.4.9	vedaweb-id-link
6564	maDumat	ma/Dumat		0986	110	mádhumantam	mádhumant-	1.13.2	vedaweb-id-link
7355	rA	rA	1	1154	110	rāsāthām	√rā- 1	1.46.6	vedaweb-id-link
9893	sumati	su-mati/		1544	109	sumatīnā́m	sumatí-	1.3.11	vedaweb-id-link
5227	pada	pada/		0770	108	padé	padá-	1.21.6	vedaweb-id-link
10318	sma	sma		1612	108	sma	sma	1.12.5	vedaweb-id-link
5261	par	par	2	0777	107	pipr̥tā́m	√pr̥-	1.22.13	vedaweb-id-link
10096	sUnu	sUnu/		1564	107	sūnáve	sūnú-	1.1.9	vedaweb-id-link
8287	vI	vI	1	1312	107	véti	√vī-	1.35.9	vedaweb-id-link
7616	vana	va/na		1206	107	vánasya	vána-	1.24.7	vedaweb-id-link
8560	Sak	Sak		1368	106	śakat	√śak-	1.10.6	vedaweb-id-link
3069	gomat	go/mat		0413	106	gómatī	gómant-	1.8.8	vedaweb-id-link
8288	vI	vI	2	1314	106	véti	√vī-	1.35.9	vedaweb-id-link
5084	nUnam	nUna/m		0748	105	nūnám	nūnám	1.13.6	vedaweb-id-link
10254	stotf	stotf/		1595	105	stotŕ̥bhyaḥ	stotár-	1.11.3	vedaweb-id-link
7023	yajYiya	yajYi/ya		1077	105	yajñíyam	yajñíya-	1.6.4	vedaweb-id-link
4688	DArA	DA/rA	1	0679	104	dhā́rām	dhā́rā- 1	1.67.7	vedaweb-id-link
8139	viS	viS		1293	104	viśantu	√viś-	1.5.7	vedaweb-id-link
8788.1	Sir	Sir	2	1395	103	sártave	√sr̥-	1.32.12	vedaweb-id-link
993	ari	ari/		0105	103	aríḥ	arí-	1.4.6	vedaweb-id-link
5260	par	par	1	0775	103	pr̥ṇa	√pr̥̄-	1.16.9	vedaweb-id-link
7207	rakz	rakz	1	1129	103	rákṣa +	√rakṣⁱ-	1.18.3	vedaweb-id-link
9480	savana	sa/vana	1	1492	103	sávanā	sávana- 1	1.4.2	vedaweb-id-link
2308	ena	ena		0300	102	enam	ena-	1.9.2	vedaweb-id-link
6412	BUri	BU/ri		0952	101	bhū́ri	bhū́ri-	1.10.2	vedaweb-id-link
4935	nAsatya	nA/satya		0726	101	nā́satyā	nā́satya-	1.3.3	vedaweb-id-link
5369	pavitra	pavi/tra		0794	101	pavítre	pavítra-	1.28.9	vedaweb-id-link
1028	arka	arka/		0109	100	arkébhiḥ	arká-	1.7.1	vedaweb-id-link
4249	divya	divya/		0606	100	divyā́ni	divyá-	1.34.6	vedaweb-id-link
5254	payas	pa/yas		0773	100	páyaḥ	páyas-	1.22.14	vedaweb-id-link
7571	vacas	va/cas		1195	100	vácaḥ	vácas-	1.26.2	vedaweb-id-link
6293	Baj	Baj		0923	99	ábhajanta	√bhaj-	1.20.8	vedaweb-id-link
595	anDas	a/nDas	2	0067	99	ándhasaḥ	ándhas- 2	1.9.1	vedaweb-id-link
12060	anDas	a/nDas	2	1750	99	ándhasaḥ	ándhas- 2	1.9.1	vedaweb-id-link
