grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:10120	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:7851	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:8985	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:6504	vedaweb:67615e6bb20f4c1a9fb8a040:1.31.12	translation-witness	metrical_data_2024	2026-07-11
id_gra:8385	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:2184	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:2077	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:2078	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:2081	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:2096	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:6230	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:9208	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:2975	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:2295	vedaweb:67615e6bb20f4c1a9fb8a040:1.25.18	translation-witness	metrical_data_2024	2026-07-11
id_gra:2296	vedaweb:67615e6bb20f4c1a9fb8a040:1.25.18	translation-witness	metrical_data_2024	2026-07-11
id_gra:5078	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:6824	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:1707	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:3390	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:5760	vedaweb:67615e6bb20f4c1a9fb8a040:1.22.13	translation-witness	metrical_data_2024	2026-07-11
id_gra:7845	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:7053	vedaweb:67615e6bb20f4c1a9fb8a040:1.10.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:354	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:5481	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:1101	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:1892	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:1892.1	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:6994	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:1818	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:10749	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:6534	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:7041	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:10237	vedaweb:67615e6bb20f4c1a9fb8a040:1.12.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:5198	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:1135	vedaweb:67615e6bb20f4c1a9fb8a040:1.17.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:4710	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:10555	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:9112	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:9702	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:5404	vedaweb:67615e6bb20f4c1a9fb8a040:1.18.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:6550	vedaweb:67615e6bb20f4c1a9fb8a040:1.14.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:6268	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:1254	vedaweb:67615e6bb20f4c1a9fb8a040:1.16.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:5868	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:8058	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:7364	vedaweb:67615e6bb20f4c1a9fb8a040:1.20.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:2489	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:7497	vedaweb:67615e6bb20f4c1a9fb8a040:1.10.8	translation-witness	metrical_data_2024	2026-07-11
