pwg_L	pwg_key1	pwg_key2	pwg_hom	pwg_pc	pwg_gloss_snippet	rv_occurrence_count	example_location	example_form	example_lemma	geldner_text	grassmann_text
6639	avastAt	ava/stAt		1-0493	ava/stAt¦ (von 2. avas) P. 5,3,40 . VOP. 7,108 . 1〉 adv. {%unten, von unten, nach unten, herwärts%} ( Gegens. parastAt): sva\DAvastA\tpraya^tiH pa\rastA^t ṚV. 10,129,5 . VS. 8,9 . avastAdupohya ŚAT. BR. 1,1,2,8 . 8,6,1,2	3	3.22.3	avástāt	avástāt	Agni, du gehst zur Flut des Himmels, du hast die Götter geladen, die die Weisen (?) sind, (du gehst) zu den Wassern, die im Lichtraum jenseits der Sonne und die sich unterhalb (dieser) einstellen.	Du gehst, o Agni, zu der Flut des Himmels, du rufst herbei die hülfsbereiten Götter, Die Wasser auch, die im Bereich der Sonne dort oben weilen, oder die hier unten.
34967	dEvavAta	dEvavAta/		3-0775	dEvavAta/¦ 1〉 adj. {%zu%} Devavāta {%in Beziehung stehend%}: a\gniM stu^hi dEvavA\tam ṚV. 3,23,3 . — 2〉 m. patron. des Sṛñjaya ṚV. 4,15,4 . 6,27,7 .	3	3.23.3	daivavātám	daivavātá-	Die zehn Finger haben als allerersten erzeugt den von den Müttern schöngeborenen Liebling. Preise den Agni des Devavāta, o Devaśravas, der der Menschen Gebieter sein soll!	Zehn Finger zeugten ihn den uralten, den lieben in dem Müttern schöngebornen; preise, o Devaçravas, den von Devavāta verehrten Agni, der über die Menschen Herr sei.
87188	vaktva	va/ktva		6-0612	va/ktva¦ adj. s. v. a. vaktavya {%auszusprechen, zu sagen%} ṚV. 3,26,9 . 6,9,2 . sa vaktvA^nyftu\TA va^dAti 3 .	3	3.26.9	váktvānām	váktva-	"Ihn, der ein unversiegbarer Quell mit hundert Strömen ist, den redekundigen Vater der Worte, (wie) die Windsbraut im Schoße der Eltern rauschend, ihn schützet, ihr beiden Welten, dessen Worte wahrhaft sind!"	Den hundertström'gen Quell, der nie versieget, den geisterfüllten Vater der Gebete, Den muntern Sprüher in dem Schooss der Aeltern, den Wahrheitssprecher fördern Erd' und Himmel.
50686	prAtaHsAva	prAtaHsAva/		4-1139	prAtaHsAva/¦ (prAtar + sAva) m. Soma -{%Bereitung in der Frühe, Morgenspende%}: agne^ ju\zasva^ no ha\viH pu^ro\LASa^M prAtaHsA\ve ṚV. 3,28,1 . 52,4 . indra\ piva^ su\tasya^ prAtaHsA\vastava\ hi pU\rvapI^tiH 10,112,1 .	3	3.28.1	prātaḥsāvé	prātaḥsāvá-	Agni, laß dir unsere Opfergabe, den Reiskuchen, bei der Morgenspende schmecken, o Jātavedas, du an Weisheit Reicher!	Nimm, Agni, unser Opfer an, o Wesenkenner, das Gebäck Beim Morgenmahle voller Huld.
35191	dyumnavant	dyumna/vant		3-0792	dyumna/vant¦ (von dyumna) adj. 1〉 {%begeistert%} oder {%helltönend%}: dyu\mnava\dbrahma^ kuSi\kAsa\ eri^re ṚV. 3,29,15 . — 2〉 {%kraftvoll%}: vfzaBa ṚV. 5,28,4 . 9,2,2 . yasya^ te\ dyu\mnava\tpaya\H pava^mA\nABa^taM di\va	3	3.29.15	dyumnávat	dyumnávant-	Die Feinde bekämpfend wie die Heereszüge (?) der Marut, verstehen die Erstgeborenen des heiligen Wortes alles. Die Kuśika's haben die erleuchtete heilige Rede zustande gebracht; sie haben den Agni entflammt, jeder einzelne in seinem Hause.	Die Kuçiker, den Feind bekämpfend, wie die Anläufe der Maruts, die erstgeborenen erkannten ganz des Gebetes Kraft, sie brachten glänzendes Gebet hervor, und zündeten einer wie der andre im Hause den Agni an.
17003	kASi	kA/Si		2-0270	kA/Si und kASi/¦ ŚĀNT. 3,8 . 1〉 m. a〉 kASi/ {%die geschlossene Hand%} oder {%Faust, Handvoll, manipulus%} NIR. 6,1 . Apa^ iva kA\SinA\ saMgf^BItAH ṚV. 7,104,8 . roda^sI\ yatsa^Mgf\BRA ma^GavankA\Siritte^ 3,30,5 . pU\rDi 	3	3.30.5	kāśíḥ	kāśí-	Und in Furchtlosigkeit hast du Vielgerufener rühmlich allein eine feste Sprache geführt als der Vr̥tratöter. Selbst diese beiden unbegrenzten Welthälften sind, wenn du sie zusammenfassest, für dich nur eine Handvoll, du gabenreicher Indra.	Denn du allein zerschlugst mit Macht das Feste, als Vritratödter, furchtlos, vielgerufner, Wenn, starker, du die unbegränzten Welten ergreifst, sind, Indra, dir sie eine Hand voll.
40009	nizaNgin	nizaNgi/n		4-0237	nizaNgi/n¦ (von nizaNga) 1〉 adj. {%mit einem Köcher versehen%} AK. 2,8,2,37 . H. 771 . su\DanvA^na\ izu^manto niza\Ngina^H ṚV. 5,57,2 . VS. 16,20 . KĀTY. ŚR. 20,2,11 [Page4-0238] (an diesen zwei Stellen nach dem Schol. {	3	3.30.15	niṣaṅgíṇaḥ	niṣaṅgín-	Indra, bleib fest! Die Reisetruhen (?) sind bereit. Tu dem Sänger und seinen Freunden für das Opfer zu Dank! Die hinterlistigen Sterblichen, deren Trachten böse ist, die Schelme, die den Köcher umhaben, sollen erschlagen werden!	Erstark' o Indra, Wegelag'rer kamen, dem Opfer hilf, dem Sänger und den Freunden; Zu tödten sind die zauberischen Menschen, die bösen, und die Feinde Köcher tragend.
24778	candravant	candra/vant		2-0944	candra/vant¦ (von candra) 1〉 adj. a〉 {%schimmernd, golden%}: rADa^H ṚV. 3,30,20 . 5,57,7 . {%reich an Gold%} TBR. 2,2,10,4 . — b〉 {%mondhell%}: niSAmuKAnyadya na candravanti GHAṬ. 2 .	3	3.30.20	candrávatā	candrávant-	Dieses Verlangen stille mit Rindern, mit Rossen, mit blinkender Ehrengabe und dehn es noch aus! Nach dem Sonnenlicht verlangend haben die beredten Kuśika's mit Gedichten dir, dem Indra, ein Fahrzeug bereitet.	Befried'ge diesen Wunsch durch Ross und Rinder, und mach ihn weit durch glänzende Geschenke; Nach Glück verlangend brachten mit Gebeten dem Indra Gaben Kuçiker, die Sänger.
29211	tAnva	tA/nva	1	3-0295	1. tA/nva¦ (von tanU) adj. {%zur eigenen Person gehörig, leiblich%} NIR. 3,6 . na jA\maye\ tAnvo^ ri\kTamA^rEk {%ein leiblicher Sohn%} ṚV. 3,31,2 .	3	3.31.2	tā́nvaḥ	tā́nva- 1	Der leibliche Sohn hat seiner Schwester das Erbe nicht überlassen; er machte ihren Mutterleib zu einer Schatzkammer des Gewinners. Wenn die Mütter den Opferfahrer erzeugen, so ist einer von den beiden Guttätern der Erzeuger, der andere ist der, der den Vorteil hat.	Nicht überliess der Sohn [Agni, das am männlichen Reibholze entstandene Feuer] die Erbschaft der Schwester [der am weiblichen Reibholze entstehenden Flamme]; er machte fern vom Mutterschooss sein Lager [indem er als Brennholz die Flammen des Holzstosses anzündet, und so seine Erbschaft antritt]; wenn ihn den Fährmann [Agni] seine Aeltern [die beiden Reibhölzer] zeugen, ist von den beiden schön wirkenden der eine [das männliche Reibholz] der zeugende, der andere [das weibliche Reibholz] der fördernde [oder gedeihende].
56182	maKasy	maKasy		5-0422	maKasy¦ (von maKa), maKasyati, ˚te {%lustig —, guter, Laune sein%}: sa\sAna\ maryo\ yuva^BirmaKa\syan ṚV. 3,31,7 . na tvA^ Sa\taM ca\ na hruto\ rADo\ ditsa^nta\mA mi^nan . yatpu^nA\no ma^Ka\syase^ 9,61,27 . vA\caspati^rm	3	3.31.7	makhasyán	√makhasy-	Es kam der erste Wortführer, sich als Freund erweisend. Der Fels brachte für den Guttäter seine Leibesfrucht zur Reife. Der Jüngling gewann mit den Jugendlichen, sich als Freigebiger erweisend. Da ward sogleich der Aṅgiras zum Lobsänger:	Und es kam der weiseste [Indra] sich ihr gesellend; dem kräftig wirkenden machte der Fels seinen Schooss zurecht, der Held gewann kämpfend sammt den Jünglingen [den Angiras]; da war sogleich fröhlich [oder leuchtend] das Haupt der Angirasen.
36087	Danutar	Da/nutar		3-0858	Da/nutar¦ (von Danv) adj. {%rennend, rinnend; rasch fliessend%}: SacyA\ harI\ Danu^tarAvatazwendra\vAhO^ ṚV. 4,35,5 . sA\ka\mukzo^ marjayanta\ svasA^ro\ daSa\ DIra^sya DI\tayo\ Danu^trIH 9,93,1 . maDva^H punA\nAH ka\viBi	3	3.31.16	dhánutrīḥ	dhánutar-	Auch die sich verbreitenden Gewässer ließ der Gebieter in gleicher Richtung laufen, die allschimmernden, süßen, mit geistigen Filtern geläutert. Tag und Nacht laufend treiben sie (ihre Rosse) an.	Die Wasser auch liess er, der starke Hausfreund, vereinigt fliessen, die allschimmernden; und die durch die Priester und die Seihen gereinigten süssen, schnellströmenden Tränke lassen sie [wol die Wasser als Subject] rinnen Tag und Nacht.
104889	sanyas	sa/nyas		7-0655	sa/nyas¦ (von 1. sana) adj. {%alt%}: taM sa^pa\ryannavya^M kfRomi\ sanya^se purA\jAm ṚV. 3,31,19 . tamu^ tvA nU\namI^mahe\ navya^M daMsizWa\ sanya^se 8,24,26 . nach SĀY. = saMBajana (von 1. san) oder saMnyAsa (von 2. as)	3	3.31.19	sányase	sányaṁs-	Ihn ehre ich nach Art der Aṅgiras' unter Verbeugung und mache ein vor Zeiten entstandenes (Lied) zu einem, das dem Ältesten ganz neu ist. Durchkreuze die vielen gottlosen Tücken und laß uns, du Gabenreicher, die Sonne gewinnen!	Mit Anbetung ihn nach Angiras-Art verehrend, mach' ich das alterzeugte [Lied] neu dem Alten; die vielen bösen Unholdinnen fahre über, und lass uns, o mächtiger, Glanz erlangen.
5099	amarman	amarma/n		1-0371	amarma/n¦ ( 3. a + marman) adj. {%gelenklos (ohne Stelle, wo die Waffe haften kann)%}, vom Dämon, den Indra fällt: vi\vedA^ma\rmaRo\ manya^mAnasya\ marma^ ṚV. 3,32,4 . 5,32,5 . tvaM Siro^ ama\rmaRa\H parA^han 6,26,3 .	3	3.32.4	amarmáṇaḥ	amarmán-	Eben diese seine (Gefährten) wurden beredt in süßen (Worten), die Marut, die des Indra Truppe waren, von denen zur Eile getrieben er des Vr̥tra verwundbare Stelle fand, der sich für unverwundbar hielt.	Sie wirbelten hinein das Süss des Soma's, die Maruts, die des Indra Heerbann waren, Mit denen eilend er durchstiess die Weichen des Vritra, der sich unverwundbar dünkte.
92246	vipAS	vi/pAS		6-1108	vi/pAS¦ f. ( nom. ˚pAw) N. pr. eines Flusses im Pandṣab , Hypanis und Hypasis der Alten, Biyas heut zu Tage; soll früher Uruñjirā geheissen haben. NIR. 2,24 . 9,26 . 38 . AK. 1,2,3,32 . H. 1086 . ṚV. 3,33,1 . 3 . 4,30,11	3	3.33.1	vípāṭ	vípāś-	(Der Dichter:) Aus der Berge Schoße stürzen begierig wie zwei losgebundene Stuten um die Wette laufend, leckend wie zwei schmucke Mutterkühe, Vipāś und Śutudrī mit ihrer (Milch-)Flut hervor.	Vom Schooss der Berge eilen lustig vorwärts im Wettlauf wie zwei lossgelassne Stuten, Wie schmucke Kühe, wie zwei Mütter kosend, Vipāç und Çutudrī mit ihrer Milchflut.
31822	datra	da/tra		3-0501	da/tra¦ (von 1. dA oder vielmehr der reduplic. Form dad; also etymol. richtiger dattra) n. {%Gabe, Spende%} ( NAIGH. 1,2 unter den Wörtern für {%Gold%}): indra\ yatte\ mAhi^na\M datra\mastya\smaBya\M tadDa^ryaSva\ pra ya	3	3.36.9	dátram	dátra-	Bring doch mit! Keiner soll dir dabei im Wege stehen! Wir kennen dich ja als den Herrn der Güter. Gewähre uns, o Falbenlenker, deine großmächtige Gabe, die du, Indra, hast!	So bring doch her, lass niemand es verhindern, da wir dich kennen als den Herrn der Güter; Welch' herrliches Geschenk du hast, o Indra, das reich uns dar, o Lenker goldner Rosse.
113737	stomatazwa	sto/matazwa		7-1274	sto/matazwa¦ adj. {%zu einem Loblied gestaltet, gedichtet%}: mati ṚV. 3,39,1 . 43,2 . (pitaraH) ho\trA\vida\H stoma^tazwAso (etwa ˚tazwAro) a\rkEH 10,15,9 .	3	3.39.1	stómataṣṭā	stómataṣṭa-	Zu Indra als ihrem Gatten kommt aus dem Herzen sich aufschwingend, zum Loblied geformt, die Dichtung, die frühwache, beim Opfer vorgetragen. Indra, nimm das (Lied) wahr, das für dich geboren wird!	Zu Indra eilt das Lied zum Lob gedichtet, zu ihm, dem Herren, von Herzen ausgesprochen; Das früh erweckt beim Opferfest gesagt wird; für dich entspriesst es, wisse das, o Indra.
56880	madryaYc	madrya/Yc		5-0482	madrya/Yc¦ (mat + aYc) adj. {%gegen mich gewandt%}: vaha^ntu tvA\ hara^yo ma\drya^Ycam ṚV. 7,24,3 . adv. : A tU na^ indra ma\drya^gGuvA\naH (yAhi) 3,41,1 . nom. sg. nach SĀY. — Vgl. madrik.	3	3.41.1	madryàk	madryàñc-	Komm doch, Indra, gerufen zu mir her, um unseren Soma zu trinken, mit den Falben, du Herr der Preßsteine!	O komm doch, Indra, her zu mir, gerufen zu dem Somatrunk, Mit deinen Füchsen, Schleuderer.
36557	DAnAvant	DAnA/vant		3-0938	DAnA/vant¦ (von DAnA) adj. {%von Körnern begleitet%}, vom Soma (zu welchem sie gegessen werden): savana ṚV. 3,43,4 . 52,1 . 8,80,2 .	3	3.43.4	dhānā́vat	dhānā́vant-	Wenn dich diese beiden bullenstarken Falben herfahren, deine Kameraden, die jochfrommen, schöngliedrigen, so möge Indra an der Trankspende nebst gerösteten Gerstenkörnern sich erfreuen und als Freund des Freundes Lobreden anhören.	Wenn diese goldnen Hengste her dich fahren, gepaart an schöner Deichsel, schön an Gliedern, Dann höre, körnerreichen Trank geniessend, Indra der Freund des Freundes Lobgesänge.
94816	vftraKAda	vftraKAda/		6-1324	vftraKAda/¦ adj. {%den%} Vṛtra {%verzehrend%}: Indra ṚV. 3,45,2 . 51,9 . 10,65,10 .	3	3.45.2	vr̥trakhādáḥ	vr̥trakhādá-	Indra ist der Vr̥trafresser, der Valabrecher, Burgenzerstörer, Treiber der Gewässer, Lenker des Wagens, Zurufer der Falben, der Erbrecher auch des Festen.	Der Vritra schlägt, den Vala tilgt, der Burgen bricht, die Wasser treibt, Den Wagen lenkt dicht hinter seinem Füchsepaar zerbrechend Indra, was da fest.
11202	udaDi	udaDi/		1-0911	udaDi/¦ (u˚ + Di) P. 6,3,58 . 1〉 adj. dass. : u\da\Dirni\DiH VS. 38,22 . vizi^taM te vastibi\laM sa^mu\drasyo^da\Deri^va AV. 1,3,6 . — 2〉 m. {%Wasserbehälter%}, von {%der Wolke%} u. s. w. : trIRi^ sA\kamu^da\Dera^kfntan 	3	3.45.3	udadhī́n	udadhí-	Du hegest Weisheit, tief wie die Meere, (viel) wie die Kühe. Wie die Milchkühe, die einen guten Hirten haben, zur Weide, wie Kanäle in den See sind sie zu dir gekommen.	Wie tiefe Seen nimmst du auf den Krafttrunk wie der Rinder Schar; Wie gutbewachte Kühe zu der Weide hin, wie Bäche eilen in den Teich.
18184	kulyA	kulyA/	1	2-0361	1. kulyA/¦ f. 1〉 {%Bach, Kanal%} NAIGH. 1,13 . = alpA kftrimA sarit AK. 1,2,3,33 . = karzU 3,4,29,224 . = sAraRi H. 1089 . an. 2,353 . = payaHpraRAlI MED. y. 14 . = nadI H. 1080 . H. an. MED. syanda^ntAM ku\lyA vizi^tAH 	3	3.45.3	kulyā́ḥ	kulyā́-	Du hegest Weisheit, tief wie die Meere, (viel) wie die Kühe. Wie die Milchkühe, die einen guten Hirten haben, zur Weide, wie Kanäle in den See sind sie zu dir gekommen.	Wie tiefe Seen nimmst du auf den Krafttrunk wie der Rinder Schar; Wie gutbewachte Kühe zu der Weide hin, wie Bäche eilen in den Teich.
92	akavAri	a/kavAri		1-0008	a/kavAri¦ ( 3. a + kavAri) adj. f. ˚rI {%nicht karg (?), freundlich gesinnt (?)%} ṚV. 3,47,5 ( Indra ). 7,96,3 . ( Sarasvatī ). MAHĪDH. _zu_ VS. 7,36 . giebt folgende 3 Erklärungen: 1〉 kutsitA arayo yasya sa kavAriH na k	3	3.47.5	ákavārim	ákavāri-	Den erstarkten Bullen in Begleitung der Marutschar, der kein geiziger Herr ist, den himmlischen Gebieter Indra, den Allbezwinger, den gewaltigen Siegverleiher, den wollen wir zu erneutem Beistand hierher rufen.	Den Marutherrscher Indra, den erstarkten, der nimmer geizt, den himmlischen Gebieter, Den Allbesieger, starken Kraftverleiher, ihn rufen wir herbei zu neuer Hülfe.
48136	pratikAmam	pratikAma/m		4-0946	pratikAma/m¦ (von 1. prati + kAma) adv. {%nach Lust, nach Wunsch%} ṚV. 3,48,1 . 10,15,8 . piba^ pratikA\maM su\tasya^ 112,1 . ĀŚV. ŚR. 9,10 . KĀTY. ŚR. 4,5,16 . [Page4-0947]	3	3.48.1	pratikāmám	pratikāmám	Sobald als er geboren war, zog der junge Bulle die Darbringung des ausgepreßten Soma vor. Trink zuerst nach Wunsch, wie dein (Wunsch ist), von dem vortrefflichen, milchgewürzten somischen (Trank)!	Sobald der Stier, der junge, war geboren, begehrt' den Trunk er des gepressten Krautes; So trinke denn, so wie es dein Begehr ist, zuerst vom schönen Saftgebräu des Soma.
96589	vyAnaSi	vyAnaSi/		6-1471	vyAnaSi/¦ (von 3. naS mit vyA) adj. {%durchdringend%} ṚV. 3,49,3 . Soma 9,103,6 .	3	3.49.3	vyānaśíḥ	vyānaśí-	In den Kämpfen sieghaft wie ein durchhaltender Renner, beide Welten durchdringend, gern schenkend, in Gebeten zu rufen wie Bhaga im Kampfspiel, wie der Vater liebwert, leicht zu errufen, kraftverleihend.	In Schlachten siegreich, wie ein schneller Renner, durchdringt er reich an Gaben beide Welten, Im Klang der Lieder Bhaga gleich zu rufen, der liebem Vater gleich erhört und Kraft gibt.
89537	vAjasani	vAjasa/ni		6-0897	vAjasa/ni¦ adj. {%Beute —, Preis gewinnend; Muth —, Kraft verschaffend; siegreich%}: Indra ṚV. 3,51,2 . Soma 9,110,11 . vA\ja\sani^M ra\yima\sme su\vIra^M praSa\staM De^hi 10,91,15 . {%Speise verleihend%} MAHĪDH. Einl. z	3	3.51.2	vājasánim	vājasáni-	Zu dem Ratreichen, (wie) zu dem Meere, zu dem machtvollen Herren, zu Indra kommen allenthalben meine Lobreden, zu dem Gewinner des Siegespreises, dem Burgenbrecher, der eilig die Gewässer überschreitet, der dem Gesetz folgt, dem Begleiter (?), dem Sonnenfinder.	Dem hundertkräft'gen, wildbewegten, starken Mann, dem Indra eilen allseits meine Lieder zu; Der emsig, schnell ist, Kraft verleiht und Burgen bricht, zum Sitze eilt, zu Hülfe kommt und Glanz verschafft.
7773	Akara	Akara/		1-0584	Akara/¦ (von kar, kirati mit A) m. 1〉 {%Ueberschütter, Anfüller%}: A\ka\re vaso^rjari\tA pa^nasyate ṚV. 3,51,3 . 5,34,4 . ya A^ka\raH sa\hasrA\ yaH Sa\tAma^GaH 8,33,5 . — 2〉 {%Anhäufung, Ansammlung, Fülle, Menge%} H. 141	3	3.51.3	ākaré	ākará-	Bei dem Spender des Gutes steht der Sänger in Ehren. Indra bevorzugt die fehlerlosen Gesänge, denn am Sitze des Vivasvat wird er freundlich gestimmt. Preise den vollständigen Sieger, der die Nachsteller erschlägt!	Beim Gutvertheiler ist der Sänger gern gesehn, die fehlerlosen Lieder sind dem Indra lieb; Denn in dem Sitze des Vivasvat weilt er gern, den steten Sieger preise, der den Feind erschlägt.
2245	anaqvAh	anaqvA/h		1-0168	anaqvA/h¦ (anas {%Karren%} + vAh {%ziehend%}) m. VOP. 26,65 . sg. anaqvA/n, a/naqvan, anaqvA/ham, anaqu/hA, anaqu/he, anaqu/has, anaqu/hi; du. anaqvA/hO, anaqudByAm, anaqu/hosa; pl. anaqvA/has, anaqu/has, anaqu/dBis, ana	3	3.53.18	anaḷútsu	anaḍváh-	Stärke verleih unseren Leibern, Stärke unseren Zugstieren, Indra, Stärke dem leiblichen Samen zum Leben, denn du bist der Stärkeverleiher!	Gib, Indra, unsern Leibern Kraft, Kraft unsern Wagenstieren, Kraft zum Leben unsern Kindern und Enkeln, denn du bist es, welcher Kraft gibt.
81807	yas	yas		6-0095	yas¦, ya/syati (prayatne DHĀTUP. 26,101 ) und ya/sati P. 3,1,71 . VOP. 8,67 . 11,5 . 1〉 {%sprudeln%} (von siedender Flüssigkeit), {%Schaum auswerfen%} ( vgl. yez): tapu^ryayastu ca\rura^gni\vA~ i^va ṚV. 7,104,2 .	3	3.53.22	yéṣantī	√yas-	Er macht ihn heiß wie man eine Axt erhitzt, er zerhackt ihn wie den Śimbalabaum. Wie ein siedender Topf, der überkocht, wirft er Schaum aus, o Indra.	Ein jedes Blatt [palāçáṃ vermuthe ich statt paraçúṃ] brennt er hinweg, und jede Blüte bricht ab; jeder Topf, o Indra, wenn er kocht und übersiedet, wirft er Schaum.
121695	yas	yas		7-1793	√yas¦ 2〉 mit instr. DanuzA CARAKA 8,9 . — saMpra¦ vgl. saMprayAsa.	3	3.53.22	yéṣantī	√yas-	Er macht ihn heiß wie man eine Axt erhitzt, er zerhackt ihn wie den Śimbalabaum. Wie ein siedender Topf, der überkocht, wirft er Schaum aus, o Indra.	Ein jedes Blatt [palāçáṃ vermuthe ich statt paraçúṃ] brennt er hinweg, und jede Blüte bricht ab; jeder Topf, o Indra, wenn er kocht und übersiedet, wirft er Schaum.
82366	yez	yez		6-0181	yez¦, ye/zati {%wallen, sprudeln%}: u\KA yeza^ntI ṚV. 3,53,22 . caru AV. 4,7,4 . yez, ye/zate v. l. für pez (prayatne) DHĀTUP. 16,14 . — Vgl. yas. — nis {%herausquellen, ausschwitzen%}: aTo\ Kalu\ ya e\va lohi^to\ yo vA\	3	3.53.22	yéṣantī	√yas-	Er macht ihn heiß wie man eine Axt erhitzt, er zerhackt ihn wie den Śimbalabaum. Wie ein siedender Topf, der überkocht, wirft er Schaum aus, o Indra.	Ein jedes Blatt [palāçáṃ vermuthe ich statt paraçúṃ] brennt er hinweg, und jede Blüte bricht ab; jeder Topf, o Indra, wenn er kocht und übersiedet, wirft er Schaum.
42223	panitar	panita/r		4-0465	panita/r¦ (von pan) nom. ag. {%mit Lob anerkennend, preisend%}: de\vAso\ yatra^ pani\tAra\ evE^ru\rO pa\Ti vyu^te ta\sTura\ntaH ṚV. 3,54,9 . indra\stada\gniH pa^ni\tAro^ asyAH 57,1 . pra de\vaM vipra^M pani\tAra^ma\rkEH 	3	3.54.9	panitā́raḥ	panitár-	Von Ferne erkenne ich das Uralte: Das ist unsere Abstammung von dem großen Vater, dem Erzeuger, (auf dem Weg) zu dem die Götter eifrig Beifall spendend auf ihrem weiten, abgesonderten Wege dazwischen treten.	Das alte stets erwäg' ich aus der Ferne, dies unser Stammen von dem grossen Vater, Wo anerkennend, wie gewohnt, die Götter auf den gebahnten breiten Pfaden standen.
37154	Druvakzema	Druva/kzema		3-1003	Druva/kzema¦ (Druva + kzema) adj. {%fest gegründet, Stand haltend%}: parvatAH ṚV. 3,54,20 . yaM sI\makf^Rva\ntama^se vi\pfce^ Dru\vakze^mA\ ana^vasyanto\ arTa^m 4,13,3 . vra\tena^ sTo Dru\vakze^mA\ Darma^RA yAta\yajja^nA	3	3.54.20	dhruvákṣemāsaḥ	dhruvákṣema-	Es sollen uns die bullenhaften Berge erhören, die feststehenden, die sich an der Iḍāspende gütlich tun. Mit den Āditya's soll uns Aditi erhören, die Marut sollen uns ihren glückbringenden Schutz gewähren.	Die starken Berge mögen uns erhören, die festgegründet sich des Trunks erfreuen; Es hör' uns Aditi mit ihren Söhnen, die Marutschar verleihe sichern Schutz uns.
55548	BUrivAra	BU/rivAra		5-0358	BU/rivAra¦ (BU˚ + vAra) adj. so v. a. 2. puruvAra ṚV. 3,57,4 . 10,47,2 . VĀLAKH. 10,3 .	3	3.57.4	bhū́rivārāḥ	bhū́rivāra-	Ich lade Himmel und Erde, die festbegründeten, ein, während ich unter Nachsinnen bei der Opferhandlung die Preßsteine in Gebrauch nehme. Diese deine (Zungen?), die dem Menschen viele Wünsche bringen, steigen gern gesehen empor, die anbetungswürdigen.	Ich rufe an die segensreichen Welten die Steine schirrend bei dem, Fest mit Weisheit; Und diese deine hehren, reichen Flammen sind aufgerichtet, sichtbar für den Menschen.
7357	asaScant	a/saScant		1-0550	a/saScant und asaSca/nt¦ ( 3. a + sa˚) adj. theils stark, theils schwach declin. ; häufig die m. — Form bei f. — subst. {%nicht stockend, nicht versagend%} oder {%versiegend%}, von Flüssigkeiten, von der Milchkuh und Aeh	3	3.57.6	ásaścantī	ásaścant-	Deine Fürsorge, o Agni, die wie der Strom des Berges unversieglich quillt, die wunderbare, o Gott, die gewähre uns, o Jātavedas, (und) deine Gunst, die allen Menschen gehtöt, du Guter!	Die Kuh, die mit des Berges Soma-Ströme dir Agni flutend schwoll, o Gott, die lichte, Die schenke uns, o guter Wesenkenner, und Lieb' und Huld, die aller Menschen Heil ist.
23017	gofjIka	go/fjIka		2-0791	go/fjIka¦ (go + f˚) adj. {%mit Milch bereitet, — gemischt%}: soma ṚV. 6,23,7 . maDUni 3,58,4 . anDas 7,21,1 . Unter fjIka sind die Worte: {%von Farbe%} u. s. w. bis ṚV. 4,34,8 zu streichen, da nach MÜLLER ʼs Text A\virf^	3	3.58.4	gór̥jīkā	gór̥jīka-	Denket her, kommet jedenfalls gern her — alle Leute rufen die Aśvin an — denn diese Süßtränke, bei denen die Kuh(milch) das Beste ist, haben sie wie Freunde euch dargereicht vor Anbruch der Morgenröte.	Gedenkt an uns und kommet stets in Eile; euch Ritter rufen alle Menschenkinder; Denn diese milchgemischten Tränke reichten sie euch wie Freunde bei des Morgens Anbruch.
51779	banDutA	banDutA/		5-0020	banDutA/¦ (von banDu) f. = banDUnAM samUhaH P. 4,2,43 . VOP. 7,35 . AK. 2,6,1,35 . H. 1422 . {%Verwandtschaft; Zusammenhang, Beziehung%}: yajamAnameva tadbanDutAyA notsfjati AIT. BR. 2,4 . i\heha^ vo\ mana^sA ba\nDutA^ n	3	3.60.1	bandhútā	bandhútā-	Da und dort, durch Nachdenken, durch Familienbeziehung, durch Wissenschaft haben die Uśij diese Dinge von euch erfahren, ihr Herren, durch welche Zauberkünste ihr je nach dem Anstoß eine andere Gestalt annehmend, ihr Söhne des Sudhanvan einen Opferanteil erlangt habt.	Hier, Männer, ist Verwandtschaft euch nach eurem Sinn; mit Weisheit lernten alles das die eifrigen, Durch welche Künste ihr Sudhanvansöhne einst, stets Mittel findend, Götterwürde habt erlangt.
83165	raRvasaMdfS	raRva/saMdfS		6-0245	raRva/saMdfS¦ adj. {%lieblich anzuschauen%} ṚV. 3,61,5 . 6,16,37 . 7,1,21 .	3	3.61.5	raṇvásaṁdr̥k	raṇvásaṁdr̥ś-	(Ich lade) für euch die erstrahlende Göttin Uṣas ein; bringet unter Verneigung euer Loblied dar! Die Süßigkeitbringende (?) hat am Himmel ihre Gestalt aufgerichtet. Die Leuchtende ist aufgeleuchtet erfreulichen Anblicks.	Auf, bringet dar der Göttin Morgenröthe, die hell erstrahlt, in Demuth euer Loblied; Zum Himmel stieg der Glanz, der süssen Thau bringt, mit Lust zu schaun erhellte sie die Räume.
81000	yajYavanas	yajYa/vanas		6-0019	yajYa/vanas¦ (yajYa + va˚) adj. {%Opfer liebend%} ṚV. 10,50,5 .	3	4.1.2	yajñávanasam	yajñávanas-	Wende dich, Agni, an deinen Bruder Varuṇa, gnädig an die Götter, (an Varuṇa), der auf das Opfer eifersüchtig ist, der als Oberster auf das Opfer eifersüchtig ist, an den gesetzliebenden, völkerregierenden Aditisohn, an den völkerregierenden König.	Und führ, o Agni, deinen Bruder Varuna den Göttern zu, mit Huld den opferliebenden, (den besten, opferliebenden); Den heiligen Aditja, der die Menschen schützt (den König, der die Menschen schützt.)
