pwg_L	pwg_key1	pwg_key2	pwg_hom	pwg_pc	pwg_gloss_snippet	rv_occurrence_count	example_location	example_form	example_lemma	geldner_text	grassmann_text
31517	tviz	tviz	2	3-0471	2. √tviz¦ (= 1. tviz) f. SIDDH. K. 247,b, pen. Decl. VOP. 3,164 . 1〉 {%heftige Aufregung, Ungestüm, Wuth; Bestürzung%}, = vyavasAya und jigIzA H. an. 1,16 . VIŚVA _im_ ŚKDR. vi yadahe\raDa^ tvi\zo viSve^de\vAso\ akra^muH	7	4.17.2	tviṣáḥ	tvíṣ-	Der Himmel zitterte bei deiner Geburt (aus Furcht) vor deinem Feuer, es zitterte die Erde aus Furcht vor deinem Grimm. Die festen Berge drohten, es senkten sich die Ebenen, die Gewässer entlaufen.	Vor deiner Kraft bei der Geburt erbebten aus Furcht vor deinem Zorne Erd' und Himmel; Da zitterten die mächtigen Gebirge, zerstob das Festland und die Wasser rannen.
41166	pakti	pakti/		4-0342	pakti/¦ (wie eben) f. parox. nur in VS. und in der späteren Sprache: vgl. VS. PRĀT. 2,64 . P. 3,3,95. fg. 1〉 {%das Kochen, Zubereiten von Speisen%} TRIK. 3,3,172 . H. an. 2,176 . MED. t. 30 (paNktiH ist an den beiden let	7	4.24.5	paktíḥ	paktí-	Dann opfern die andern dem indrischen (Namen), dann soll die Kochspeise den Reiskuchen überbieten, dann soll der Soma die Nichtpressenden (von den Pressenden) scheiden, dann beliebt man einen Stier zu opfern.	Dann müssen Indra's Macht die andern ehren, dann muss der Brüh' der Opferkuchen folgen, Dann mangelt Soma, denen die nicht keltern, ja dann beliebt's, den Helden zu verehren.
89525	vAjaratna	vA/jaratna		6-0896	vA/jaratna¦ 1〉 adj. {%reich an gewonnenem Gut%}: Ṛbhu ṚV. 4,34,2 . 35,5 . 43,7 . rA\yaH syA^ma\ pata^yo\ vAja^ratnAH 5,49,4 . ka\dA Dipa^H karasi\ vAja^ratnAH 6,35,1 . 10,42,7 . — 2〉 m. N. pr. ; s. vAjaratnAyana.	7	4.34.2	vājaratnāḥ	vā́jaratna-	Eurer Abstammung eingedenk berauschet euch zu euren Zeiten, ihr reichbelohnten R̥bhu's! Eure Räusche und Purandhi haben sich zusammengefunden. Bringet uns den Besitz tüchtiger Mannen [Söhne] ein!	Und ihr, schon von Geburt an Reichthumspender, berauschet euch zur Opferzeit, o Ribhu's; Euch eilten Tränke zu und Gabenfülle, so führt herbei uns heldversehnen Reichthum.
8032	ANgirasa	ANgirasa/		1-0603	ANgirasa/¦ adj. f. I {%von den%} Aṅgiras oder {%von%} Aṅgiras {%stammend, ihnen angehörig, sie betreffend%}: yA kf\tyA A^Ngira\sIryAH kf\tyA A^su\rIH AV. 8,5,9 . 7,17 . 24 . A\Ta\rva\RIrA^Ngira\sIrdEvI^rmanuzya\jA u\ta .	7	4.40.1	āṅgirasásya	āṅgirasá-	An den Dadhikrāvan wollen wir jetzt gedenken — alle Uṣas' sollen mich zum Meister machen — an die Gewässer, an Agni, Uṣas, Sūrya, an Br̥haspati, den siegesgewohnten Aṅgirasen.	Den Dadhikravan wollen wir nun preisen, mir mögen helfen alle Morgenröthen, der Agni, Wasser, Sonne, Morgenröthe, Brihaspati, Angirasa besiegt hat.
90730	vAhizWa	vA/hizWa		6-0977	vA/hizWa¦ adj. = vahizWa 1〉 {%am meisten führend, — herbeiführend%} NIR. 5,1 . raTa ṚV. 7,37,1 . 8,26,4 . stoma 6,45 . 30 . 8,5,18 . 26,16 . yadvAhi^zWa\M tada\gnaye^ vf\hada^rca 5,25,7 .	7	5.25.7	vā́hiṣṭham	vā́hiṣṭha-	Singe dem Agni ein hohes (Lied), das am meisten Zugkraft hat, o Vibhāvasu. Von dir geht Reichtum aus (groß) wie eine Büffelkuh, von dir die Siegerpreise.	Dein, Agni, ist das köstlichste, o strahle hell, du glänzender, Wie eine Milchkuh kommt von dir der Reichthum, Labungen von dir.
85083	ruSama	ruSama		6-0405	ruSama¦ 1〉 m. proparox. N. pr. eines Mannes ṚV. 8,3,13 . 4,2 . VĀLAKH. 3,9 . pl. ru\SamA^H ṚV. 5,30,12 . 15 . AV. 20,127,1 . — 2〉 f. A N. pr. Ruśamā wettet mit Indra , wer schneller die Erde (BUmi) umlaufe; Indra umkreis	7	5.30.12	ruśámāḥ	ruśáma- ~ rúśama-	Das haben die Ruśama's gut gemacht, o Agni, die viertausend Kühe schenkten. Die überreichten Gaben des R̥ṇaṃcaya haben wir in Empfang genommen, des Mannhaftesten der Männer.	Dies machten schön die Ruçamer, o Agni, dass sie mir schenkten viermal tausend Rinder; Des Rinamtschaja dargereichte Schätze empfingen wir, des männlichsten der Männer.
24684	canizWa	ca/nizWa		2-0938	ca/nizWa¦ (von can = kan, superl. zu einem nicht vorhandenen pos. ) 1〉 {%sehr gnädig, günstig%}: a\sme vo^ astu suma\tiScani^zWA ṚV. 7,57,4 . 70,2 . 5 . vI\tya^rza\ cani^zWayA 9,9,2 .	7	5.77.4	cániṣṭham	cániṣṭha-	Wer für die Nāsatya's am meisten angerichtet hat, (wer) das Beste spendet bei der Verteilung der Speise, der bringt seine Nachkommenschaft glücklich durch mit seinen (frommen) Leistungen. Er möge jederzeit die überbieten, deren Flamme nicht emporschlägt.	Wer dargebracht das meiste hat den Rittern, das liebste spendet bei des Tranks Vertheilung, Der schafft den Kindern Segen durch sein Wirken, besieget den, dess Flamme nicht empordringt.
33931	duzkft	duzkf/t		3-0705	duzkf/t¦ ( 2. duz + kft) adj. subst. {%Uebelthäter%}: hanti^ du\zkfta^H ṚV. 5,83,2 . 9 . 6,16,32 . 7,104,3 . 7 . f\tasya\ panTA\M na ta^ranti du\zkfta^H 9,73,6 . 10,86,5 . AV. 10,1,23 . 19,56,5 . BHAG. 4,8 . MBH. 12,6548	7	5.83.2	duṣkŕ̥taḥ	duṣkŕ̥t-	Er zerschlägt die Bäume und erschlägt die Unholde; die ganze Welt hat vor ihm Furcht, der die große Waffe führt. Auch der Schuldlose geht dem Bullenstarken aus dem Wege, wenn Parjanya donnernd die Übeltäter erschlägt.	Er fäll't die Bäume, fäll't die Nachtgespenster auch; das Weltall bebt vor ihm, der grosse Waffen trägt, Vor dem gewalt'gen fliehet auch, wer schuldlos ist, so oft Pardschanja donnernd Uebelthäter schlägt.
5156	amitrahan	amitraha/n		1-0375	amitraha/n¦ (a˚ + han) adj. {%Feinde vernichtend%}: (manyo) a\mi\tra\hA vf^tra\hA da^syu\hA ca\ viSvA\ vasU\nyA Ba^rA\ tvaM na^H ṚV. 10,83,3 . Indra 6,45,14 . 10,134,3 . Soma 9,96,12 . -- VS. 5,24 .	7	6.45.14	amitrahan	amitrahán-	Was deine schleunigste Hilfe sein mag, du Feindetöter, mit der beschleunige unseren Wagen!	Feindtödter, welche Förderung du hast, die schnell beeilendste, Mit der treib unsern Wagen vor.
87733	vaDryaSva	va/DryaSva		6-0665	va/DryaSva¦ ({%verschnittene Rosse habend%}) m. N. pr. eines Mannes ṚV. 6,61,1 . 10,69,1 . 2 . 4 . ĀŚV. ŚR. 1,5,21 . MAITRYUP. 1,4 . MBH. 2,323 . HARIV. 1783 (nach der Lesart der neueren Ausg. , vaDrasva ed. Calc. ). mit	7	6.61.1	vadhryaśvā́ya	vadhryaśvá-	Sie schenkte dem opferspendenden Vadhryaśva (als Sohn) den gewaltigen Divodāsa, der die Schuld (an die Manen) tilgte, sie die dem Paṇi die Zehrung vollständig abzwackte. Das sind deine mächtigen Gaben, o Sarasvatī.	Den starken Rächer Divodasa gab als Sohn Sarasvati dem frommen Vadhriaçva einst, Sie, die verzehrt hat jeden Knauser und sein Gut; gross sind die Gaben, die du schenkst, Sarasvati.
