text,tokens,wordsem_tokens,treebank_tokens,ismantra_tokens,only_2026
Kāṭhakagṛhyasūtra,7324,7,851,1998,
Kāṭhakasaṃhitā,38894,0,4323,2366,yes
Kūrmapurāṇa,81928,2622,52,0,
Kṛṣiparāśara,3863,111,0,0,
Kṛṣṇāmṛtamahārṇava,3304,36,0,0,
Lalitavistara,25309,547,0,0,
Laṅkāvatārasūtra,13599,46,0,0,
Liṅgapurāṇa,127599,2965,0,0,
Madanapālanighaṇṭu,6186,1094,0,0,
Mahābhārata,1147887,53292,4461,0,
Mahācīnatantra,546,18,0,0,
Maitrāyaṇīsaṃhitā,65375,60,4774,21498,
Manusmṛti,37660,9352,2311,0,
Matsyapurāṇa,122842,4390,13,0,
Maṇimāhātmya,913,12,0,0,
Meghadūta,3393,150,0,0,
Mugdhāvabodhinī,30166,4259,0,0,
Mukundamālā,909,7,0,0,
Muṇḍakopaniṣad,1285,13,1267,64,
Mānavagṛhyasūtra,7957,0,779,2321,
Mānavaśrautasūtra,1221,0,0,0,yes
Mātṛkābhedatantra,7842,339,0,0,
Mīmāṃsāsūtrabhāṣya,16044,0,0,0,yes
Mūlamadhyamakārikāḥ,6547,0,0,0,
Mṛgendratantra,3328,137,0,0,
Mṛgendraṭīkā,22416,884,0,0,
Narasiṃhapurāṇa,503,8,0,0,
Narmamālā,5583,14,0,0,
Nibandhasaṃgraha,7356,66,0,0,
Nighaṇṭuśeṣa,2003,102,0,0,
Nirukta,3713,4,0,497,
Nyāyabhāṣya,958,1,0,0,
Nyāyabindu,237,0,32,0,
Nyāyasūtra,3396,28,0,0,
Nādabindūpaniṣat,274,236,0,0,
Nāradasmṛti,13336,122,0,0,
Nāḍīparīkṣā,1554,2,0,0,
Nāṭyaśāstra,7849,201,0,0,
Nāṭyaśāstravivṛti,2603,88,0,0,
Padārthacandrikā,28,1,0,0,
Paramānandīyanāmamālā,211,9,0,0,
Paraśurāmakalpasūtra,1722,33,0,0,
Parāśaradharmasaṃhitā,8183,169,0,0,
Parāśarasmṛtiṭīkā,7596,616,0,0,
Pañcaviṃśabrāhmaṇa,29329,123,3924,1852,
Pañcārthabhāṣya,23412,830,0,0,
Prasannapadā,303,0,0,0,
Pāraskaragṛhyasūtra,8131,0,2941,1994,
Pāśupatasūtra,499,30,0,0,
Rasahṛdayatantra,8120,6347,0,0,
Rasakāmadhenu,7875,1682,0,0,
Rasamañjarī,12579,9016,0,0,
Rasaprakāśasudhākara,15610,11596,0,0,
Rasaratnasamuccaya,28096,16168,0,0,
Rasaratnasamuccayabodhinī,6430,3539,0,0,
Rasaratnasamuccayadīpikā,82,0,0,0,
Rasaratnasamuccayaṭīkā,12180,5515,7,0,
Rasaratnākara,52761,37453,0,0,
Rasasaṃketakalikā,4546,2005,0,0,
Rasataraṅgiṇī,2684,376,0,0,
Rasendracintāmaṇi,13310,12039,0,0,
Rasendracūḍāmaṇi,17920,15420,0,0,
Rasendrasārasaṃgraha,5676,5437,0,0,
Rasikapriyā,346,1,0,0,
Rasikasaṃjīvanī,166,0,0,0,
Rasādhyāya,6641,6288,0,0,
Rasādhyāyaṭīkā,7780,1734,0,0,
Rasārṇava,31936,26681,0,0,
Rasārṇavakalpa,4798,77,0,0,
Ratnadīpikā,1468,56,0,0,
Ratnaṭīkā,5445,195,0,0,
Rājamārtaṇḍa,765,0,0,0,
Rājanighaṇṭu,49969,8435,0,0,
Rāmāyaṇa,261568,104660,526,0,
Saddharmapuṇḍarīkasūtra,31908,0,0,0,yes
Sarvadarśanasaṃgraha,1052,551,0,0,
Sarvāṅgasundarā,9102,59,0,0,
Saundarānanda,19008,154,0,0,
Saṃvitsiddhi,3403,0,0,0,
Saṅghabhedavastu,7642,139,0,0,
Skandapurāṇa,16479,614,0,0,
Skandapurāṇa (Revākhaṇḍa),113333,1487,0,0,
Smaradīpikā,1031,7,0,0,
Spandakārikā,757,10,0,0,
Spandakārikānirṇaya,10650,73,0,0,
Sphuṭārthāvyākhyā,379,0,0,0,
Suśrutasaṃhitā,146721,43279,54,0,
Sāmavidhānabrāhmaṇa,5185,0,1604,750,yes
Sātvatatantra,10061,414,0,0,
Sāṃkhyakārikā,1073,25,0,0,
Sāṃkhyakārikābhāṣya,9994,67,0,0,
Sāṃkhyatattvakaumudī,5937,69,0,0,
Sūryasiddhānta,2142,49,0,0,
Sūryaśataka,597,84,0,0,
Sūryaśatakaṭīkā,2328,140,0,0,
Taittirīyabrāhmaṇa,15064,0,2957,819,yes
Taittirīyasaṃhitā,47989,7,3703,5712,
Taittirīyopaniṣad,2462,7,836,508,
Taittirīyāraṇyaka,6957,0,2935,1018,yes
Tantrasāra,14215,238,0,0,
Tantrākhyāyikā,8311,55,0,0,
Tantrāloka,41311,127,0,0,
Tarkasaṃgraha,1978,23,0,0,
Tattvavaiśāradī,203,0,0,0,
Toḍalatantra,5463,59,0,0,
Trikāṇḍaśeṣa,904,74,0,0,
Uḍḍāmareśvaratantra,10923,64,0,0,
Vaikhānasadharmasūtra,5213,255,0,0,
Vaikhānasagṛhyasūtra,8163,17,938,0,
Vaikhānasaśrautasūtra,26794,0,2116,3236,yes
Vaitānasūtra,9422,0,3392,3639,yes
Vaiśeṣikasūtra,2133,9,0,0,
Vaiśeṣikasūtravṛtti,8680,29,0,0,
Varāhapurāṇa,622,36,0,0,
Vasiṣṭhadharmasūtra,10009,0,0,121,yes
Vetālapañcaviṃśatikā,814,619,0,0,
Viṃśatikākārikā,343,1,0,0,
Viṃśatikāvṛtti,1860,2,0,0,
Viṣṇupurāṇa,87622,1836,42,0,
Viṣṇusmṛti,19296,1072,0,0,
Vājasaneyisaṃhitā (Mādhyandina),15687,0,3218,3593,yes
Vārāhagṛhyasūtra,4840,178,1232,1544,
Vārāhaśrautasūtra,25108,0,0,0,yes
Vātūlanāthasūtras,84,0,0,0,
Vātūlanāthasūtravṛtti,2062,3,0,0,
Vṛddhayamasmṛti,442,6,0,0,
Yogaratnākara,6481,229,0,0,
Yogasūtra,1144,40,0,0,
Yogasūtrabhāṣya,10012,22,0,0,
Yājñavalkyasmṛti,14280,236,0,0,
Ānandakanda,83818,4204,0,0,
Āpastambadharmasūtra,9297,0,1874,0,yes
Āpastambagṛhyasūtra,3132,3,1766,0,
Āpastambaśrautasūtra,33857,27,4986,9334,
Āryāsaptaśatī,11811,48,0,0,
Āyurvedadīpikā,38924,223,0,0,
Āśvalāyanagṛhyasūtra,7046,31,2588,1044,
Āśvālāyanaśrautasūtra,6246,0,1694,2853,yes
Śatakatraya,8702,141,0,0,
Śatapathabrāhmaṇa,144139,31,8734,10138,
Śikṣāsamuccaya,792,7,0,0,
Śira'upaniṣad,1585,171,0,0,
Śivapurāṇa,827,411,0,0,
Śivasūtra,299,5,0,0,
Śivasūtravārtika,5345,58,0,0,
Śukasaptati,9678,88,0,0,
Śvetāśvataropaniṣad,2147,260,2091,298,
Śyainikaśāstra,5276,46,0,0,
Śāktavijñāna,427,50,0,0,
Śārṅgadharasaṃhitā,5617,5359,0,0,
Śārṅgadharasaṃhitādīpikā,14766,13332,0,0,
Śāṅkhāyanagṛhyasūtra,8282,2,2556,1540,
Śāṅkhāyanaśrautasūtra,20886,0,2344,5859,yes
Śāṅkhāyanāraṇyaka,12747,33,2013,761,
Ṛgveda,169972,23224,34748,0,
Ṛgvedakhilāni,7505,3,777,0,
Ṛgvedavedāṅgajyotiṣa,185,7,0,0,
Ṛgvidhāna,772,0,502,0,yes
Ṛtusaṃhāra,3133,445,0,0,
Ṣaḍviṃśabrāhmaṇa,7540,0,0,0,yes
Ṭikanikayātrā,1615,167,0,0,
