text_2021,text_2026,sent_2021,sent_2026,tok_2021,tok_2026,tok_delta
Sāṃkhyatattvakaumudī,Sāṃkhyatattvakaumudī,20,634,5848,5937,89
Sūryasiddhānta,Sūryasiddhānta,139,278,2138,2142,4
Sūryaśataka,Sūryaśataka,17,34,593,597,4
Sūryaśatakaṭīkā,Sūryaśatakaṭīkā,361,362,2322,2328,6
Taittirīyasaṃhitā,Taittirīyasaṃhitā,60,8916,1941,47989,46048
Taittirīyopaniṣad,Taittirīyopaniṣad,14,510,407,2462,2055
Tantrasāra,Tantrasāra,759,732,14139,14215,76
Tantrākhyāyikā,Tantrākhyāyikā,1032,1102,8301,8311,10
Tantrāloka,Tantrāloka,3049,5444,41254,41311,57
Tarkasaṃgraha,Tarkasaṃgraha,77,323,1962,1978,16
Tattvavaiśāradī,Tattvavaiśāradī,17,17,203,203,0
Toḍalatantra,Toḍalatantra,396,849,5452,5463,11
Trikāṇḍaśeṣa,Trikāṇḍaśeṣa,81,161,904,904,0
Uḍḍāmareśvaratantra,Uḍḍāmareśvaratantra,409,1148,10910,10923,13
Vaikhānasadharmasūtra,Vaikhānasadharmasūtra,41,428,4896,5213,317
Vaikhānasagṛhyasūtra,Vaikhānasagṛhyasūtra,62,506,7752,8163,411
Vaiśeṣikasūtra,Vaiśeṣikasūtra,384,385,2120,2133,13
Vaiśeṣikasūtravṛtti,Vaiśeṣikasūtravṛtti,731,742,8649,8680,31
Varāhapurāṇa,Varāhapurāṇa,39,91,621,622,1
Vetālapañcaviṃśatikā,Vetālapañcaviṃśatikā,73,102,975,814,-161
Viṃśatikākārikā,Viṃśatikākārikā,22,45,342,343,1
Viṃśatikāvṛtti,Viṃśatikāvṛtti,182,184,1854,1860,6
Viṣṇupurāṇa,Viṣṇupurāṇa,6254,11980,87516,87622,106
Viṣṇusmṛti,Viṣṇusmṛti,2853,3328,19168,19296,128
Vārāhagṛhyasūtra,Vārāhagṛhyasūtra,369,649,4602,4840,238
Vātūlanāthasūtras,Vātūlanāthasūtras,13,13,84,84,0
Vātūlanāthasūtravṛtti,Vātūlanāthasūtravṛtti,106,106,2058,2062,4
Vṛddhayamasmṛti,Vṛddhayamasmṛti,70,68,440,442,2
Yogaratnākara,Yogaratnākara,406,848,6478,6481,3
Yogasūtra,Yogasūtra,194,186,1137,1144,7
Yogasūtrabhāṣya,Yogasūtrabhāṣya,794,1029,9976,10012,36
Yājñavalkyasmṛti,Yājñavalkyasmṛti,1011,2020,14205,14280,75
Ānandakanda,Ānandakanda,5978,12074,83767,83818,51
Āpastambagṛhyasūtra,Āpastambagṛhyasūtra,404,365,3120,3132,12
Āpastambaśrautasūtra,Āpastambaśrautasūtra,91,4142,861,33857,32996
Āryāsaptaśatī,Āryāsaptaśatī,732,1464,11797,11811,14
Āyurvedadīpikā,Āyurvedadīpikā,2844,2934,38721,38924,203
Āśvalāyanagṛhyasūtra,Āśvalāyanagṛhyasūtra,101,799,1088,7046,5958
Śatakatraya,Śatakatraya,324,648,8688,8702,14
Śatapathabrāhmaṇa,Śatapathabrāhmaṇa,157,15402,3718,144139,140421
Śikṣāsamuccaya,Śikṣāsamuccaya,126,107,791,792,1
"Śira\""upaniṣad",Śira'upaniṣad,45,104,1577,1585,8
Śivapurāṇa,Śivapurāṇa,42,85,827,827,0
Śivasūtra,Śivasūtra,74,74,297,299,2
Śivasūtravārtika,Śivasūtravārtika,743,756,5341,5345,4
Śukasaptati,Śukasaptati,222,1212,9668,9678,10
Śvetāśvataropaniṣad,Śvetāśvataropaniṣad,113,223,2100,2147,47
Śyainikaśāstra,Śyainikaśāstra,375,745,5271,5276,5
Śāktavijñāna,Śāktavijñāna,30,60,427,427,0
Śārṅgadharasaṃhitā,Śārṅgadharasaṃhitā,407,812,5617,5617,0
Śārṅgadharasaṃhitādīpikā,Śārṅgadharasaṃhitādīpikā,1333,1821,14761,14766,5
Śāṅkhāyanagṛhyasūtra,Śāṅkhāyanagṛhyasūtra,102,1055,750,8282,7532
Śāṅkhāyanāraṇyaka,Śāṅkhāyanāraṇyaka,1556,1577,12700,12747,47
Ṛgveda,Ṛgveda,10552,21253,170845,169972,-873
Ṛgvedakhilāni,Ṛgvedakhilāni,82,941,1315,7505,6190
Ṛgvedavedāṅgajyotiṣa,Ṛgvedavedāṅgajyotiṣa,36,24,185,185,0
Ṛtusaṃhāra,Ṛtusaṃhāra,158,316,3130,3133,3
Ṭikanikayātrā,Ṭikanikayātrā,108,191,1614,1615,1
,Aitareya-Āraṇyaka,,937,,10283,
,Atharvaveda (Paippalāda),,4099,,31212,
,Bhāradvājaśrautasūtra,,3013,,22148,
,Commentary on the Kāvyālaṃkāravṛtti,,58,,398,
,Drāhyāyaṇaśrautasūtra,,1511,,10724,
,Harivaṃśa,,12731,,85975,
,Hiraṇyakeśiśrautasūtra,,78,,831,
,Jaiminīya-Upaniṣad-Brāhmaṇa,,2939,,22367,
,Jaiminīyaśrautasūtra,,531,,4088,
,Kauśikasūtrakeśavapaddhati,,38,,313,
,Kauṣītakagṛhyasūtra,,88,,641,
,Kauṣītakibrāhmaṇa,,2570,,15331,
