aṁa, aṁ a
dharaṇitalādabhyutkṣipya, dharaṇī tala abhyutkṣip
dharaṇitale, dharaṇī tala
dharaṇidharapādair, dharaṇidhara pāda
dharaṇinyastacaraṇanakhakiraṇacchāditakirīṭaḥ, dharaṇī caraṇa nakha kiraṇa kirīṭa nyas chāday
dharaṇibhūtaṁ, dharaṇī bhū
dharaṇimaṇḍalam, dharaṇi maṇḍala
dharaṇivilekhanaṁ, dharaṇī vilekhana
dharaṇiśayane, dharaṇī śayana
dharaṇīgītāḥ, dharaṇī gā
dharaṇīcarair, dharaṇī cara
dharaṇītalasaṁsthānaparibhoge, dharaṇī tala saṁsthāna paribhoga
dharaṇītalasthā, dharaṇī tala stha
dharaṇītalādabhyudgamya, dharaṇī tala abhyudgam
dharaṇītalādutplutya, dharaṇī tala utplu
dharaṇītale, dharaṇī tala
dharaṇīdharaṇāya, dharaṇī dharaṇa
dharaṇīdharasaṁkāśo, dharaṇīdhara saṁkāśa
dharaṇīdharasāra, dharaṇīdhara sāra
dharaṇīdharasāraśca, dharaṇīdhara sāra ca
dharaṇīdharaste, dharaṇīdhara tvad
dharaṇīdharābhaḥ, dharaṇīdhara ābha
dharaṇīdharābham, dharaṇīdhara ābha
dharaṇīdhāraṇaṁ, dharaṇī dhāraṇa
dharaṇīdhīradhīr, dharaṇī dhīra dhī
dharaṇīpṛṣṭhe, dharaṇī pṛṣṭha
dharaṇīprekṣiṇīlipiṁ, dharaṇī prekṣiṇī lipi
dharaṇībharaṇe, dharaṇī bharaṇa
dharaṇīśvararājena, dharaṇīśvara rāja
dharaṇīsthaṁ, dharaṇī stha
dharaṇyantaiḥ, dharaṇī anta
dharaṇyāstu, dharaṇī tu
dharatīti, iti dhṛ
dharaputrāv, dhara putra
dharaścaivānilo, dhara ca eva anila
dharāṅganāyā, dharā aṅganā
dharājaghanameva, dharā jaghana eva
dharājvaro, dharā jvara
dharātattvaṁ, dharā tattva
dharātattvapatimāmantryeṣṭvā, dharā tattva pati āmantray yaj
dharātattvapadaṁ, dharā tattva pada
dharātattvasiddhipradān, dharā tattva siddhi prada
dharātattvasya, dharā tattva
dharātattvād, dharā tattva
dharātattvābhedena, dharā tattva abheda
dharātputrānavāpātha, dhara putra atha avāp
dharādiśivāntasamagrabhogyakavalanena, dharā ādi śiva anta samagra bhogya kavalana
dharāderviśvarūpatvaṁ, dharā ādi viśva rūpa tva
dharādyāstābhya, dharā ādya tad
dharādharasyaiva, dharādhara eva
dharādharākāra, dharādhara ākāra
dharādharāttaṁ, dharādhara tad
dharānikhāte, dharā nikhan
dharāntaṁ, dharā anta
dharāntaracaraḥ, dharā antara cara
dharāntānām, dharā anta
dharāpadaṁ, dharā pada
dharāpadān, dharā pada
dharāpi, dharā api
dharāpṛṣṭhāddvijāḥ, dharā pṛṣṭha dvija
dharāpṛṣṭhe, dharā pṛṣṭha
dharābdhilakṣmyaḥ, dharā abdhi lakṣmī
dharāmaṭate, dharā aṭ
dharāmaṇḍale, dharā maṇḍala
dharāmantramaheśvaraḥ, dharā mantramaheśvara
dharāmantreśaḥ, dharā mantreśa
dharāmāliṅgya, dharā āliṅgay
dharāmevāvikalpena, dharā eva avikalpa
dharāmbhasi, dharā ambhas
dharāmyājagaraṁ, ājagara dhṛ
dharāyāmakṣipadbhāgaṁ, dharā bhāga kṣip
dharāyāmapatadyaśodharā, dharā yaśodharā pat
dharāyāśca, dharā ca
dharāyāstasya, dharā tad
dharāyāstu, dharā tu
dharārcitapadāmbhojo, dharā pada ambhoja arcay
dharāvākyamaśeṣaṁ, dharā vākya aśeṣa
dharāvyaktātmakaṁ, dharā vyakta ātmaka
dharāvratamidaṁ, dharāvrata idam
dharāśayyā, dharā śayyā
dharāsadāśivāntena, dharā sadāśiva anta
dharāstu, dharā as
dharāsthānāṁ, dharā stha
dharāharaṇadurgandho, dharā haraṇa durgandha
dharitrīdharaṇakṣamaṁ, dharitrī dharaṇa kṣama
dharitrīdharatulyarodhasas, dharitrīdhara tulya rodhas
dharitrīpālanenaiva, dharitrī pālana eva
dharitrīmanayat, dharitrī nī
dharitrīva, dharitrī iva
dharimameyānāṁ, dhariman mā
dharīmaṇīti, dharīman iti
dhareti, iti hṛ
dhareti, dharā iti
dhareśa, dharā īśa
dhareśān, dharā īśa
dharotthāḥ, dharā uttha
dhartāsi, dhartṛ as
dharteti, dhartṛ iti
dhartocchilīndhram, ucchilīndhra dhṛ
dharmakañcukam, dharma kañcuka
dharmakañcukasaṁvītā, dharma kañcuka saṁvye
dharmakathāṁ, dharma kathā
dharmakathāṁś, dharma kathā
dharmakathāsu, dharma kathā
dharmakandaṁ, dharma kanda
dharmakandasamudbhūtaṁ, dharma kanda samudbhū
dharmakartāraṁ, dharma kartṛ
dharmakarma, dharma karman
dharmakarmā, dharma karman
dharmakarmākṣamaḥ, dharma karman akṣama
dharmakalayā, dharma kalā
dharmakalāsarge, dharma kalā sarga
dharmakāṅkṣī, dharma kāṅkṣin
dharmakāmaṁ, dharma kāma
dharmakāmaḥ, dharma kāma
dharmakāmatā, dharma kāma tā
dharmakāmam, dharma kāma
dharmakāmayor, dharma kāma
dharmakāmas, dharma kāma
dharmakāmasukhabhājanair, dharma kāma sukha bhājana
dharmakāmasya, dharma kāma
dharmakāmā, dharma kāma
dharmakāmāḥ, dharma kāma
dharmakāmāṇāṁ, dharma kāma
dharmakāmādisiddhyarthaṁ, dharma kāma ādi siddhi artha
dharmakāmārthaṁ, dharma kāma artha
dharmakāmārthakāryāṇi, dharma kāma artha kārya
dharmakāmārthakāryeṣu, dharma kāma artha kārya
dharmakāmārthatattvajño, dharma kāma artha tattva jña
dharmakāmārthabhāvāṁś, dharma kāma artha bhāva
dharmakāmārthamuktyarthaṁ, dharma kāma mukti mukti artha
dharmakāmārthamokṣārthaṁ, dharma kāma mokṣa mokṣa artha
dharmakāmārthamokṣeṣu, dharma kāma artha mokṣa
dharmakāmārtharahito, dharma kāma artha rahita
dharmakāmārthavid, dharma kāma artha vid
dharmakāmārthaśāstrāṇāṁ, dharma kāma artha śāstra
dharmakāmārthaśāstrāṇi, dharma kāma artha śāstra
dharmakāmārthasaṁbandhaṁ, dharma kāma artha sambandha
dharmakāmārthasaṁyuktaṁ, dharma kāma artha saṁyuj
dharmakāmārthasampanno, dharma kāma artha sampad
dharmakāmārthasahitaṁ, dharma kāma artha sahita
dharmakāmārthasiddhyarthaṁ, dharma kāma siddhi siddhi artha
dharmakāmārthahīnānāṁ, dharma kāma artha hā
dharmakāmārthān, dharma kāma artha
dharmakāmārthāndhṛtyā, dharma kāma artha dhṛti
dharmakāmārthāstasya, dharma kāma artha tad
dharmakāmārthī, dharma kāma arthin
dharmakāmārthe, dharma kāma artha
dharmakāmāviti, dharma kāma iti
dharmakāmāvubhau, dharma kāma ubh
dharmakāmāśca, dharma kāma ca
dharmakāmāstvāṁ, dharma kāma tvad
dharmakāme, dharma kāma
dharmakāmena, dharma kāma
dharmakāmo, dharma kāma
dharmakāmair, dharma kāma
dharmakāmau, dharma kāma
dharmakāyaṁ, dharma kāya
dharmakāyapariniṣpattito, dharmakāya pariniṣpatti
dharmakāyavaśavartī, dharmakāya vaśa vartin
dharmakāyasya, dharma kāya
dharmakāyā, dharma kāya
dharmakāyānubhāvānmahato, dharmakāya anubhāva mahat
dharmakāryaṁ, dharma kārin aṁ
dharmakāryaṁ, dharma kārya
dharmakāryam, dharma kārya
dharmakāryamiti, dharma kārya iti
dharmakāryāṇi, dharma kārya
dharmakāryānnivṛttaścenna, dharma kārya ced na nivṛt
dharmakāryārthaṁ, dharma kārya artha
dharmakārye, dharma kārya
dharmakāryeṣu, dharma kārya
dharmakālaḥ, dharma kāla
dharmakālasaṁcoditaḥ, dharma kāla saṁcoday
dharmakālastvayi, dharma kāla tvad
dharmakīrtyāvahā, dharma kīrti āvaha
dharmakuśalaḥ, dharma kuśala
dharmakuśalā, dharma kuśala
dharmakuśalāḥ, dharma kuśala
dharmakuśalo, dharma kuśala
dharmakṛcchraṁ, dharma kṛcchra
dharmakṛcchram, dharma kṛcchra
dharmakṛtāṁ, dharma kṛt
dharmakṛtādeśā, dharma ādeśa kṛ
dharmakṛte, dharma kṛt
dharmakṛto, dharma kṛ
dharmakṛtyāni, dharma kṛtya
dharmakṛtyeṣu, dharma kṛtya
dharmakṛd, dharma kṛt
dharmakṛdbhiḥ, dharma kṛt
dharmakośasya, dharma kośa
dharmakriyā, dharma kriyā
dharmakriyātmacintā, dharma kriyā ātman cintā
dharmakriyāviyuktānām, dharma kriyā viyuj
dharmakṣaye, dharma kṣaya
dharmakṣetraṁ, dharma kṣetra
dharmakṣetre, dharma kṣetra
dharmakhāteṣu, dharma khāta
dharmakhinnaḥ, dharma khid
dharmagataṁ, dharma gam
dharmagatasyāsya, dharma gata idam
dharmagatānusmṛtir, dharma anusmṛti gam
dharmagatiṁ, dharma gati
dharmagatiḥ, dharma gati
dharmagamyā, dharma gam
dharmagarbheṇa, dharma garbha
dharmagahanaṁ, dharma gahana
dharmagirā, dharma gir
dharmaguṇair, dharma guṇa
dharmagupta, dharma gup
dharmaguptagṛhaṁ, dharmagupta gṛha
dharmaguptas, dharma gup
dharmaguptastadābhāṣya, dharmagupta tad ābhāṣ
dharmaguptastu, dharmagupta tu
dharmaguptākhyo, dharmagupta ākhyā
dharmaguptyā, dharma gupti
dharmagṛhe, dharma gṛha
dharmagoptā, dharma goptṛ
dharmagoptāraṁ, dharma goptṛ
dharmagauraveṇa, dharma gaurava
dharmaghātāya, dharma ghāta
dharmaghātiṣu, dharma ghātin
dharmaghṛṇāyuktaṁ, dharma ghṛṇā yuj
dharmaghnair, dharma ghna
dharmaṇāgnir, dharman agni
dharmaṇādhi, dharman adhi
dharmaṇāsuryāt, dharman asurya
dharmacakraṁ, dharma cakra
dharmacakrapravartanaṁ, dharma cakra pravartana
dharmacakram, dharma cakra
dharmacakramṛtanābhi, dharma cakra ṛta nābhi
dharmacakṣuḥpratilambhāya, dharma cakṣus pratilambha
dharmacaraṇaṁ, dharma caraṇa
dharmacaraṇāṁ, dharma caraṇa
dharmacaryayā, dharma caryā
dharmacaryā, dharma caryā
dharmacaryāṁ, dharma caryā
dharmacaryākṛto, dharma caryā kṛ
dharmacaryāparo, dharma caryā para
dharmacaryām, dharma caryā
dharmacaryārthaṁ, dharma caryā artha
dharmacāriṇaḥ, dharma cārin
dharmacāriṇyāṁ, dharma cārin
dharmacārī, dharma cārin
dharmacintā, dharma cintā
dharmacintāmahāstambhe, dharmacintā mahat stambha
dharmacchadma, dharma chadman
dharmacchadmā, dharma chadman
dharmacchandamimaṁ, dharma chanda idam
dharmacchandaviyogena, dharma chanda viyoga
dharmacchalam, dharma chala
dharmacchale, dharma chala
dharmacyute, dharma cyu
dharmajaṁ, dharma ja
dharmajaḥ, dharma ja
dharmajagrahaṇe, dharmaja grahaṇa
dharmajanakatayā, dharma janaka tā
dharmajayaḥ, dharma jaya
dharmajasya, dharma ja
dharmajijñāsayā, dharma jijñāsā
dharmajitadhanasya, dharma dhana ji
dharmajitāṁ, dharma ji
dharmajña, dharma jña
dharmajñaṁ, dharma jña
dharmajñaḥ, dharma jña
dharmajñatamena, dharma jñatama
dharmajñatayā, dharma jña tā
dharmajñatā, dharma jña tā
dharmajñatāṁ, dharma jña tā
dharmajñam, dharma jña
dharmajñamāninau, dharma jña mānin
dharmajñaś, dharma jña
dharmajñaśca, dharma jña ca
dharmajñaścakravartī, dharma jña cakravartin
dharmajñas, dharma jña
dharmajñasamavāyāc, dharma jña samavāya
dharmajñastataḥ, dharma jña tatas
dharmajñastasya, dharma jña tad
dharmajñasteṣām, dharma jña tad
dharmajñastyaktadharmo, jña jña dharma tyaj
dharmajñastvaṁ, dharma jña tvad
dharmajñasya, dharma jña
dharmajñā, dharma jña
dharmajñāṁ, dharma jña
dharmajñāḥ, dharma jña
dharmajñān, dharma jña
dharmajñānaṁ, dharma jñāna
dharmajñānapratiṣṭhaṁ, dharma jñāna pratiṣṭhā
dharmajñānamaye, dharma jñāna maya
dharmajñānaratāḥ, dharma jñāna ram
dharmajñānavatā, dharma jñānavat
dharmajñānavirāgānaiśvaryaṁ, dharma jñāna virāga anaiśvarya
dharmajñānavirāgaiśyacatuṣṭayapuraṁ, dharma jñāna virāga aiśya catuṣṭaya pura
dharmajñānavairāgyaiśvaryākhyā, dharma jñāna vairāgya aiśvarya ākhyā
dharmajñānavairāgyaiśvaryādīnāṁ, dharma jñāna vairāgya aiśvarya ādi
dharmajñānavairāgyaiśvaryādharmājñānāvairāgyānaiśvaryāṇāṁ, dharma jñāna vairāgya aiśvarya adharma ajñāna avairāgya anaiśvarya
dharmajñānavairāgyaiśvaryopagaṁ, dharma jñāna vairāgya aiśvarya upaga
dharmajñānāṁ, dharma jña
dharmajñānādibhiḥ, dharma jñāna ādi
dharmajñānāderapi, dharma jñāna ādi api
dharmajñānādhigamyāya, dharma jñāna adhigam
dharmajñānām, dharma jña
dharmajñāni, dharma jña
dharmajñānītarāṇi, dharma jña itara
dharmajñāne, dharma jñāna
dharmajñānena, dharma jñāna
dharmajñānśīlasampannānprītaḥ, dharma jña śīla sampad prī
dharmajñām, dharma jña
dharmajñāya, dharma jña
dharmajñāś, dharma jña
dharmajñāśca, dharma jña ca
dharmajñās, dharma jña
dharmajñāstathānye, dharma jña tathā anya
dharmajñāste, dharma jña tad
dharmajñe, dharma jña
dharmajñena, dharma jña
dharmajñenāhave, dharma jña āhava
dharmajñeṣu, dharma jña
dharmajño, dharma jña
dharmajñaiḥ, dharma jña
dharmajñair, dharma jña
dharmajñairvihito, dharma jña vidhā
dharmajñaiśca, dharma jña ca
dharmajñau, dharma jña
dharmatattvaṁ, dharma tattva
dharmatattvajña, dharma tattva jña
dharmatattvajñaṁ, dharma tattva jña
dharmatattvajñaḥ, dharma tattva jña
dharmatattvajñe, dharma tattva jña
dharmatattvajño, dharma tattva jña
dharmatattvajñair, dharma tattva jña
dharmatattvam, dharma tattva
dharmatattve, dharma tattva
dharmatattvo, dharma tattva
dharmatanayaṁ, dharma tanaya
dharmatanayau, dharma tanaya
dharmatantraṁ, dharma tantra
dharmatantrapīḍāyām, dharma tantra pīḍā
dharmatantrasaṁyoge, dharma tantra saṁyoga
dharmatantrasthās, dharma tantra stha
dharmatantrāṇi, dharma tantra
dharmatayā, dharma tā
dharmataror, dharma taru
dharmataśca, dharma ca
dharmataścakre, dharma kṛ
dharmataścaiva, dharma ca eva
dharmataścaiva, dharmatas ca eva
dharmatastā, dharma tad
dharmatastu, dharmatas tu
dharmataste, dharma tvad
dharmatastebhyastvanukrośād, dharma tad tu anukrośa
dharmatā, dharma tā
dharmatāṁ, dharma tā
dharmatāniṣyandabuddhaḥ, dharmatā nisyanda budh
dharmatāpratilambha, dharmatā pratilambha
dharmatābuddhaḥ, dharmatā budh
dharmatābuddho, dharmatā budh
dharmatāratamyam, dharma tāratamya
dharmatīrthāśrayaṁ, dharma tīrtha āśraya
dharmatṛptānāṁ, dharma tṛp
dharmataivaiṣā, dharmatā eva etad
dharmataiṣā, dharma tā etad
dharmataiṣā, dharmatā etad
dharmatyāgino, dharma tyāgin
dharmatyāge, dharma tyāga
dharmatrāṇaṁ, dharma trāṇa
dharmatrāṇo, dharma trāṇa
dharmatve, dharma tva
dharmadaṁ, dharma da
dharmadaṇḍo, dharma daṇḍa
dharmadattaḥ, dharma dā
dharmadattākhyaḥ, dharmadatta ākhyā
dharmadarśī, dharma darśin
dharmadā, dharma da
dharmadānameva, dharma dāna eva
dharmadānenāmatsaraḥ, dharma dāna amatsara
dharmadāyādāḥ, dharma dāyāda
dharmadīkṣānumātā, dharma dīkṣā anumātṛ
dharmadughā, dharma dugha
dharmadūṣakā, dharma dūṣaka
dharmadūṣakāḥ, dharma dūṣaka
dharmadṛḍhabaddhamūlo, dharma dṛḍha mūla bandh
dharmadṛṣṭena, dharma dṛś
dharmadṛṣṭair, dharma dṛś
dharmadevādirakṣākṛt, dharma deva ādi rakṣā kṛt
dharmadeśanayā, dharma deśanā
dharmadeśanā, dharma deśanā
dharmadeśanāṁ, dharma deśanā
dharmadeśanāmārabdhaḥ, dharma deśanā ārabh
dharmadeśanāyāṁ, dharma deśanā
dharmadeśanāvarjitāḥ, dharma deśanā varjay
dharmadeśanāvarjitābhistadviśiṣṭataraṁ, dharma deśanā tad viśiṣṭatara varjay
dharmadeśanāvarjitāśca, dharma deśanā ca varjay
dharmadeśanāvarjitāstata, dharma deśanā tatas varjay
dharmadeśanāviśuddhyai, dharma deśanā viśuddhi
dharmadeśanāstā, dharma deśanā tad
dharmadeśitamājñāsyanti, dharma ājñā deśay
dharmado, dharma da
dharmadoṣaprasaṅgena, dharma doṣa prasaṅga
dharmadrumasya, dharma druma
dharmadvayaṁ, dharma dvaya
dharmadvayametanna, dharma dvaya etad na
dharmadvāraṁ, dharma dvāra
dharmadvārāvahitaiśca, dharma dvāra ca avadhā
dharmadvāreṣv, dharma dvāra
dharmadvārair, dharma dvāra
dharmadvīpena, dharma dvīpa
dharmadhanaṁ, dharma dhana
dharmadhanasaukhyena, dharma dhana saukhya
dharmadharmiṇāṁ, dharma dharmin
dharmadhātupariṇāmaḥ, dharmadhātu pariṇāma
dharmadhātupariṇāmajasya, dharmadhātu pariṇāma ja
dharmadhātupariṇāmo, dharmadhātu pariṇāma
dharmadhāturvā, dharmadhātu vā
dharmadhātusamānāṁ, dharmadhātu sama
dharmadhātośca, dharmadhātu ca
dharmadhātvekadeśaśca, dharmadhātu eka deśa ca
dharmadhuraṁ, dharma dhura
dharmadhure, dharma dhura
dharmadhṛto, dharma dhṛt
dharmadhenuvadhaṁ, dharma dhenu vadha
dharmadhruvādyāstiṣṭhanti, dharma dhruva ādya sthā
dharmadhvaja, dharma dhvaja
dharmadhvajaketumālāṁ, dharma dhvaja ketu mālā
dharmadhvajam, dharma dhvaja
dharmadhvajavatā, dharma dhvajavat
dharmadhvajānāṁ, dharma dhvaja
dharmadhvajāya, dharma dhvaja
dharmadhvajiko, dharma dhvajika
dharmadhvajinaścaiva, dharma dhvajin ca eva
dharmadhvajine, dharma dhvajin
dharmadhvajī, dharma dhvajin
dharmadhvaniraviśrāmaṁ, dharma dhvani aviśrāmam
dharmanadīṁ, dharma nadī
dharmanavagrahasya, dharma nava graha
dharmanāśe, dharma nāśa
dharmanāśo, dharma nāśa
dharmaniḥśreṇim, dharma niḥśreṇī
dharmanikṣiptaṁ, dharma nikṣip
dharmanityaṁ, dharma nitya
dharmanityaḥ, dharma nitya
dharmanityam, dharma nitya
dharmanityaś, dharma nitya
dharmanityastato, dharma nitya tatas
dharmanityasya, dharma nitya
dharmanityā, dharma nitya
dharmanityāḥ, dharma nitya
dharmanityānāṁ, dharma nitya
dharmanityāstu, dharma nitya tu
dharmanitye, dharma nitya
dharmanityena, dharma nitya
dharmanityeṣu, dharma nitya
dharmanityo, dharma nitya
dharmanityais, dharma nitya
dharmanidhaye, dharma nidhi
dharmanidhyāptiḥ, dharma nidhi āpti
dharmanindāṁ, dharma nindā
dharmanipuṇām, dharma nipuṇa
dharmanibaddhamārgaṁ, dharma mārga nibandh
dharmanibandhinīnāṁ, dharma nibandhin
dharmanirataḥ, dharma niram
dharmaniratā, dharma niram
dharmaniratāḥ, dharma niram
dharmanirate, dharma niram
dharmanirdhūtapāpānāṁ, dharma pāpa nirdhū
dharmaniṣṭhaḥ, dharma niṣṭha
dharmaniṣṭhaś, dharma niṣṭha
dharmaniṣṭhāṁ, dharma niṣṭhā
dharmaniṣṭhāñ, dharma niṣṭhā
dharmaniṣṭhāś, dharma niṣṭha
dharmaniṣṭhe, dharma niṣṭhā
dharmaniṣṭho, dharma niṣṭha
dharmaniṣpattyadharmocchedārthaṁ, dharma niṣpatti adharma uccheda artha
dharmaniṣpādakaṁ, dharma niṣpādaka
dharmaniścayasaṁyuktāṁ, dharma niścaya saṁyuj
dharmaniścayeṣvalaṁ, dharma niścaya alam
dharmanītyukto, dharma nīti vac
dharmanetā, dharma netṛ
dharmanetrīsthānasya, dharma netrī sthāna
dharmanetre, dharma netra
dharmanaipuṇyakāmānāṁ, dharma naipuṇya kāma
dharmanairātmyaṁ, dharma nairātmya
dharmanairātmyakuśalaḥ, dharma nairātmya kuśala
dharmanairātmyakuśalo, dharma nairātmya kuśala
dharmanairātmyajñānaṁ, dharma nairātmya jñāna
dharmanairātmyadarśanāt, dharma nairātmya darśana
dharmanairātmyadarśanābhāvānnāsti, dharma nairātmya darśana abhāva na as
dharmanairātmyapraveśaḥ, dharma nairātmya praveśa
dharmanairātmyapraveśo, dharma nairātmya praveśa
dharmanairātmyabhūmilakṣaṇārthaṁ, dharma nairātmya bhūmi lakṣaṇa artha
dharmanairātmyam, dharma nairātmya
dharmanairātmyayathātathākuśalo, dharma nairātmya yathātatha akuśala
dharmanairātmyalakṣaṇānupraveśatayā, dharma nairātmya lakṣaṇa anupraveśatā
dharmapatnī, dharma patnī
dharmapatnīṁ, dharma patnī
dharmapatnījas, dharmapatnī ja
dharmapatnītvaṁ, dharmapatnī tva
dharmapatnībhyāṁ, dharma patnī
dharmapatnīm, dharma patnī
dharmapatnīrato, dharmapatnī ram
dharmapatnīṣu, dharma patnī
dharmapatnyaḥ, dharma patnī
dharmapatnyastāḥ, dharma patnī tad
dharmapatnyā, dharma patnī
dharmapatnyāḥ, dharma patnī
dharmapathaṁ, dharma patha
dharmapathastveṣa, dharma patha tu etad
dharmapathasthānāṁ, dharma patha stha
dharmapathe, dharma patha
dharmapatho, dharma patha
dharmapathyarthanyāyād, dharma pathin artha nyāya
dharmapadaṁ, dharma pada
dharmapade, dharma pada
dharmapara, dharma para
dharmaparaṁ, dharma para
dharmaparaḥ, dharma para
dharmaparamaṁ, dharma parama
dharmaparamaḥ, dharma parama
dharmaparamā, dharma parama
dharmaparamaiḥ, dharma parama
dharmaparamair, dharma parama
dharmaparamaiścartavyo, dharma parama car
dharmaparā, dharma para
dharmaparāṁ, dharma para
dharmaparāḥ, dharma para
dharmaparān, dharma para
dharmaparām, dharma para
dharmaparāyaṇaḥ, dharma parāyaṇa
dharmaparāyaṇaśca, dharma parāyaṇa ca
dharmaparāyaṇe, dharma parāyaṇa
dharmaparāśca, dharma para ca
dharmaparāścāsan, dharma para ca as
dharmaparikliṣṭā, dharma parikliś
dharmapariṇāmakatvāt, dharma pariṇāmaka tva
dharmapare, dharma para
dharmaparo, dharma para
dharmaparair, dharma para
dharmaparyāyaṁ, dharma paryāya
dharmaparyāyaḥ, dharma paryāya
dharmaparyāyam, dharma paryāya
dharmaparyāyavacanair, dharma paryāya vacana
dharmaparyāyasya, dharma paryāya
dharmaparyeṣṭyatṛpto, dharma paryeṣṭi atṛpta
dharmapādaḥ, dharma pāda
dharmapādāya, dharma pāda
dharmapādo, dharma pāda
dharmapālapadmodbhavasitavarmanāmadheyā, dharmapāla padmodbhava sitavarman nāmadheya
dharmapālasūnoḥ, dharmapāla sūnu
dharmapālastathaiva, dharmapāla tathā eva
dharmapālo, dharma pāla
dharmapāśanibaddhānām, dharma pāśa nibandh
dharmapāśanibaddhāstu, dharma pāśa tu nibandh
dharmapāśanibaddhena, dharma pāśa nibandh
dharmapāśaparikṣiptān, dharma pāśa parikṣip
dharmapāśasitastvevaṁ, dharma pāśa tu evam sā
dharmapāśasitāstu, dharma pāśa tu sā
dharmapāśasthitāḥ, dharma pāśa sthā
dharmapāśānubaddho, dharma pāśa anubandh
dharmapāśena, dharma pāśa
dharmapāśaiśca, dharma pāśa ca
dharmapīḍā, dharma pīḍā
dharmapīḍākarau, dharma pīḍā kara
dharmaputraḥ, dharma putra
dharmaputravacaḥ, dharmaputra vacas
dharmaputraśca, dharmaputra ca
dharmaputrastu, dharma putra tu
dharmaputrastu, dharmaputra tu
dharmaputrā, dharma putra
dharmaputrāya, dharma putra
dharmaputrāś, dharma putra
dharmaputro, dharma putra
dharmaputrais, dharma putra
dharmapudgalanairātmyaṁ, dharma pudgala nairātmya
dharmapūte, dharma pū
dharmapūrvā, dharma pūrva
dharmapautram, dharma pautra
dharmaprakāśakānāṁ, dharma prakāśaka
dharmapraṇayane, dharma praṇayana
dharmaprajāṁ, dharma prajā
dharmaprajāsampattyarthaṁ, dharma prajā sampatti artha
dharmapratipattiśūraḥ, dharma pratipatti śūra
dharmapratimasya, dharma pratimā
dharmapratiṣṭhāhetośca, dharma pratiṣṭhā hetu ca
dharmapratiśaraṇatāyai, dharma pratiśaraṇa tā
dharmapratiśaraṇo, dharma pratiśaraṇa
dharmapratyaya, dharma pratyaya
dharmapradīpaṁ, dharma pradīpa
dharmapradhānaṁ, dharma pradhāna
dharmapradhānaḥ, dharma pradhāna
dharmapradhānasya, dharma pradhāna
dharmapradhānā, dharma pradhāna
dharmapradhānātmā, dharma pradhāna ātman
dharmapradhānān, dharma pradhāna
dharmapradhānāśca, dharma pradhāna ca
dharmapradhānāste, dharma pradhāna tad
dharmapradhānena, dharma pradhāna
dharmapradhāneṣṭaṁ, dharma pradhāna iṣ
dharmapradhāno, dharma pradhāna
dharmaprabhavo, dharma prabhava
dharmapravaktā, dharma pravaktṛ
dharmapravaktāram, dharma pravaktṛ
dharmapravaṇaṁ, dharma pravaṇa
dharmapravaṇā, dharma pravaṇa
dharmapravaṇāṁ, dharma pravaṇa
dharmapravaṇāḥ, dharma pravaṇa
dharmapravacanaṁ, dharma pravacana
dharmapravaraḥ, dharma pravara
dharmapravicayasaṁbodhyaṅgaṁ, dharma pravicaya sambodhi aṅga
dharmapravṛttaḥ, dharma pravṛt
dharmapravṛttasya, dharma pravṛt
dharmapravṛttānāṁ, dharma pravṛt
dharmapraśnaṁ, dharma praśna
dharmapraśnam, dharma praśna
dharmaprasaṅge, dharma prasaṅga
dharmaprasaṅgena, dharma prasaṅga
dharmaprāptyarthaṁ, dharma prāpti artha
dharmapriya, dharma priya
dharmaprekṣasya, dharma prekṣā
dharmaplavāḥ, dharma plava
dharmaphalaṁ, dharma phala
dharmaphaladaṁ, dharma phala da
dharmaphalapradātā, dharma phala pradātṛ
dharmaphalabhāg, dharma phala bhāj
dharmaphalam, dharma phala
dharmaphalānveṣī, dharma phala anveṣin
dharmaphalāvāptir, dharma phala avāpti
dharmaphalair, dharma phala
dharmaphalaistāta, dharma phala tāta
dharmabandhuḥ, dharma bandhu
dharmabandhena, dharma bandha
dharmabalamevāsya, dharma bala eva idam
dharmabahiṣkṛtā, dharma bahiṣkṛ
dharmabahutve, dharma bahutva
dharmabahulaṁ, dharma bahula
dharmabahulā, dharma bahula
dharmabāhulyāt, dharma bāhulya
dharmabāhyān, dharma bāhya
dharmabuddhiṁ, dharma buddhi
dharmabuddhiḥ, dharma buddhi
dharmabuddhinārtho, dharmabuddhi artha
dharmabuddhiparā, dharma buddhi para
dharmabuddhimayo, dharma buddhi maya
dharmabuddhirhi, dharma buddhi hi
dharmabuddhyā, dharma buddhi
dharmabrahmottare, dharma brahman uttara
dharmabhaṅgācca, dharma bhaṅga ca
dharmabhayād, dharma bhaya
dharmabhayopadhāśuddhān, dharma bhaya upadhā śudh
dharmabhāg, dharma bhāj
dharmabhāṇaka, dharma bhāṇaka
dharmabhāṇakaḥ, dharma bhāṇaka
dharmabhāṇakamanuvartsyanti, dharma bhāṇaka anuvṛt
dharmabhāṇakaś, dharma bhāṇaka
dharmabhāṇakaścānyaddeśāntaraṁ, dharma bhāṇaka ca anya deśāntara
dharmabhāṇakastān, dharmabhāṇaka tad
dharmabhāṇakasya, dharma bhāṇaka
dharmabhāṇakāś, dharma bhāṇaka
dharmabhāṇakena, dharma bhāṇaka
dharmabhāṇakeṣu, dharma bhāṇaka
dharmabhāṇako, dharma bhāṇaka
dharmabhājanāni, dharma bhājana
dharmabhājo, dharma bhāj
