aṁa, aṁ a
akasmātsaṁgato, akasmāt saṁgam
akasmādatha, akasmāt atha
akasmādabhavatsarvaḥ, akasmāt sarva bhū
akasmādabhavadruddhaṁ, akasmāt bhū rudh
akasmādasmākaṁ, akasmāt mad
akasmādindriyotpattiḥ, akasmāt indriya utpatti
akasmāduṣṇaśītecchā, akasmāt uṣṇa śīta icchā
akasmādeva, akasmāt eva
akasmāddīnatā, akasmāt dīna tā
akasmāddṛśyate, akasmāt dṛś
akasmādyaṁ, akasmāt yad
akasmādvai, akasmāt vai
akasmānnāradamuniḥ, akasmāt nārada muni
akasmānno, akasmāt mad
akasmānmṛtyurāyāto, akasmāt mṛtyu āyā
akāṇḍapātajātānām, akāṇḍa pāta jan
akāṇḍapātopanatā, akāṇḍa pāta upanam
akāṇḍapralayārambhasarvabhūtāni, akāṇḍa pralaya ārambha sarva bhūta
akāmakaraṇād, a kāma karaṇa
akāmakarśanaḥ, a kāma karśana
akāmakāmāśca, akāma kāma ca
akāmakṛtapāpasya, akāma pāpa kṛ
akāmacāro, akāma cāra
akāmataśchardayati, akāmatas charday
akāmadaṁ, akāma da
akāmadveṣayuktasya, akāma dveṣa yuj
akāmadveṣasaṁyuktaḥ, akāma dveṣa saṁyuj
akāmadveṣasaṁyuktam, a kāma dveṣa saṁyuj
akāmadveṣasaṁyuktastribhiḥ, akāma dveṣa tri saṁyuj
akāmadveṣasaṁyuktās, akāma dveṣa saṁyuj
akāmadveṣasaṁyogād, akāma dveṣa saṁyoga
akāmaphalasaṁyogāt, akāma phala saṁyoga
akāmayatānnādaḥ, anna āda kāmay
akāmayamāne, a kāmay
akāmayānasya, a kāmay
akāmavṛtto, akāma vṛt
akāmaśca, a kāma ca
akāmasyeva, akāma iva
akāmahata, akāma han
akāmahatabhāvena, a kāma bhāva han
akāmātmā, akāma ātman
akāmātmāpi, akāma ātman api
akāmādapi, akāma api
akāmādghātitastvaṁ, akāma tvad ghātay
akāmāśca, akāma ca
akāmāsau, akāma adas
akāmeyam, akāma idam
akāmeva, akāma iva
akāyaścālpasāraśca, akāya alpa alpa sāra ca
akāyāyārthakāyāya, akāya artha kāya
akārakapāramiteyaṁ, akāraka pāramitā idam
akāraṇakṛtānyeva, akāraṇa eva kṛ
akāraṇakruddhāṁstūṣṇīṁ, akāraṇa tūṣṇīm krudh
akāraṇaguṇapūrvakaṁ, akāraṇa guṇa pūrvaka
akāraṇajagatsṛṣṭistathānugraha, akāraṇa jagant sṛṣṭi tathā anugraha
akāraṇatvam, akāraṇa tva
akāraṇatvācca, akāraṇa tva ca
akāraṇatvena, akāraṇa tva
akāraṇadveṣi, akāraṇa dveṣin
akāraṇaprāptau, akāraṇa prāpti
akāraṇabhṛtastāta, akāraṇa tāta bhṛ
akāraṇaripuś, akāraṇa ripu
akāraṇavigrahaḥ, a kāraṇa vigraha
akāraṇenaiva, akāraṇa eva
akārayaṁstatra, tatra kāray
akārayatsvasadṛśaṁ, sva sadṛśa kāray
akāravyavadhānam, akāra vyavadhāna
akāraścāsya, akāra ca idam
akārastasya, akāra tad
akārādayo, akāra ādi
akārādilakārāntā, akāra ādi lakāra anta
akārādivargādhiṣṭhāyikābhir, akāra ādi varga adhiṣṭhāyaka
akārādivarṇair, akāra ādi varṇa
akārādīn, akāra ādi
akārādyā, akāra ādya
akārānagulmān, kāra kāra a gulma
akārokāramakārāṇāṁ, akāra ukāra makāra
akārotthāḥ, akāra uttha
akārpaṇyadhiyā, akārpaṇya dhī
akārpāsam, a kārpāsa
akāryakaraṇaṁ, akārya karaṇa
akāryakaraṇāccāpi, akārya karaṇa ca api
akāryakaraṇād, akārya karaṇa
akāryakāraka, akārya kāraka
akāryakāriṇāṁ, akārya kārin
akāryakṣamā, akārya kṣama
akāryajñam, akārya jña
akāryatvād, akārya tva
akāryapravṛtta, akārya pravṛt
akāryabhīto, akārya bhī
akāryametadviprāṇāṁ, akārya etad vipra
akāryavaśam, akārya vaśa
akāryāṇyapi, akārya api
akāryātmakaṁ, akārya ātmaka
akārṣīccakitodbhrāntamṛgāṇi, mṛga kṛ cak udbhram
akārṣīnme, mad kṛ
akārṣīrvipriyaṁ, vipriya kṛ
akārṣīstvaṁ, tvad kṛ
akārṣīstvāśrame, tu āśrama kṛ
akālakalitāḥ, akāla kalay
akālakalpānte, akāla kalpa anta
akālakālakariṇā, akāla kāla karin
akālakusumānīva, akāla kusuma iva
akālakṛṣṭā, akāla kṛṣ
akālakaumudī, akāla kaumudī
akālakaumudīṁ, akāla kaumudī
akālagarjitādau, akāla garjita ādi
akālagarjito, akāla garj
akālaghanagarjitam, akāla ghana garjita
akālajāgarasvapnaṁ, akāla jāgara svapna
akālajñaḥ, akāla jña
akālajñā, akāla jña
akālajñāsi, akāla jña as
akālajñeti, akāla jña iti
akālatarupuṣpāṇi, akāla taru puṣpa
