Textname;Author
Mātṛkābhedatantra; 
Mayamata; 
Meghadūta;Kālidāsa
Mindat; 
Minerals and gems in Indian alchemy;Ray  Mira
Miscellanea de operibus āyurvedicis;Das  Rahul Peter
Miscellanea de operibus āyurvedicis II);Das  Rahul Peter
Muṇḍakopaniṣad; 
Mugdhāvabodhinī;Caturbhuja Miśra
Mukundamālā;Kulaśekhara
Mṛgendraṭīkā;Nārāyaṇakaṇṭha
Mṛgendratantra; 
Nāṭyaśāstra;Bharata
Nāṭyaśāstravivṛti;Abhinavagupta
Nāḍīparīkṣā;Rāvaṇa
Nāḍīvijñāna;Kaṇāda
Nachtrag zum W￶rterbuch des altindischen Rituals;Mylius  Klaus
Nachtragsw￶rterbuch des Sanskrit;Schmidt  R.
Nādabindūpaniṣat; 
Nāradasmṛti; 
Narasiṃhapurāṇa; 
Narmamālā;Kṣemendra
Nibandhasaṃgraha;Dalhaṇa
Nighaṇṭuśeṣa;Hemacandra
Nirukta;Yāska
Nyāyabhāṣya;Vātsyāyana
Nyāyabindu;Dharmakīrti
Nyāyacandrikāpaṇjikā;Gayadāsācārya
Nyāyasūtra;Gautama
Nyāyasūtra;Gautama
OH meanings;Oliver Hellwig
On the Dravyaguṇasaṃgraha of Cakrapāṇidatta;Sharma  P.V.
On the identity of arka  an Āyurvedic class of medicines;Kumar  Damodaran Suresh
Origin and tradition of alchemy;Rāy  Priyadaranjan
Pāśupatasūtra; 
;
Padārthacandrikā;Candranandana
Pañcārthabhāṣya;Kauṇḍinya
Pañcaviṃśabrāhmaṇa; 
Panels of the VIIth World Sanskrit Conference;Volume VIII
Paṃcasuttaṃ; 
Parāśaradharmasaṃhitā; 
Parāśarasmṛtiṭīkā;Sāyaṇamādhavācārya
Paraśurāmakalpasūtra; 
Pāradasaṃhitā;Nirañjanaprasād Gupta
Paramānandīyanāmamālā;Makarānanda
Pāraskaragṛhyasūtra; 
Pavanadūta;Dhoyi
Petersburger W￶rterbuch; 
Pottery in Vedic literature;Kashikar  Chintamani Ganesh
Prasannapadā;Candrakīrti
Rājamārtaṇḍa;Bhoja
Rājanighaṇṭu;Narahari
Rāmāyaṇa;Valmīki
Rasādhyāya; 
;
Rasamañjarī;Śālīnātha
Rasaprakāśasudhākara;Yaśodhara
