,317,194,Kāma
,318,317,burntbyŚiva
,395,194,Kubera
,416,194,Maruts
,456,194,Mitra
,195,194,Nāga
,418,195,Śeṣa
,474,194,Nirṛti
,440,194,Pūṣan
,482,194,Parjanya,rain
,320,194,Pārvatī
,235,194,Pitṛworship
,454,194,Prajāpati
,604,454,Prajāpatiandhisdaughter
,613,454,Prajāpaticreatestheworld
,475,194,Riverdeities
,471,194,Rudra
,211,194,Sūrya,Savitṛ,sun
,231,211,Sūrya\schariot
,611,211,sunandsacrifice
,627,211,sunisfastenedtothesky
,626,211,sunbeams
,595,194,Sarasvat
,455,194,Sarasvatī,Vāc,speech
,60,194,Shivaism,Śiva
,275,60,Śivaiterituals
,276,275,bhasmasnāna,ashes
,625,60,createsfever
,76,60,DvaitaShaivism
,62,60,KashmirianShivaism
,621,60,killsMahiṣa
,315,60,NamesofŚiva,sahasranāman
,606,60,paśupati
,77,60,PashupataShaivism
,282,77,Anti-socialbehaviour
,409,60,praiseofŚiva
,67,60,ShivaiteTantrism
,129,60,Stories
,130,129,Andhaka
,605,129,attacksPrajāpati
,316,129,BurningofKāma
,131,129,Dāruvana
,415,129,Kirātārjunīya
,132,129,Nandin
,319,129,Tāraka
,368,129,thirdeye
,158,129,Tripura
,346,194,Skanda
,439,194,Soma
,216,194,Tantrism
,644,194,Tārkṣya
,467,194,Tvaṣṭṛ
,472,194,Uṣas
,529,194,Vācaspati
,458,194,Varuṇa
,519,194,Vāstoṣpati
,461,194,Vāta,Vāyu
,446,194,Viśvakarman
,466,194,Viśvedevāḥ
,61,194,Viṣṇu,Vishnuism
,134,61,avatāras
,435,134,Balarāma
,149,134,Buddha
,135,134,Kalkin

,245,134,Kṛṣṇa
,431,245,Birth,childhood,andyouth
,432,431,Kaṃsa
,434,431,KṛṣṇaandtheGopīs
,433,431,Pūtanā
,394,245,destructionofDvārakā
,441,245,KṛṣṇaandBāṇa
,438,245,KṛṣṇakillsNaraka
,436,245,Pradyumna
,140,134,Matsyāvatāra
,146,134,Rāmacandra

,369,134,Varāha
,191,61,NamesofViṣṇu,sahasranāman
,481,61,Nara-Nārāyaṇa
,410,61,praiseofViṣṇunamas

,437,194,Yama
,84,88,dharma
,293,84,āśā,hope
,99,84,āśrama
,78,99,gṛhastha
,85,99,saṃnyāsa
,71,99,vānaprastha
,294,84,āpaddharma
,70,84,Asceticism,tapas
,326,84,badbehaviour
,356,326,brahmahatyā
,327,326,lobha,greed
,203,84,begging,bhikṣu,bhikṣā
,205,84,Behaviour,politeness
,300,84,dama
