root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
saṁhṛṣ	saṃhṛṣṭa	1	Ā	204
adhiṣṭhā	adhiṣṭhita	1	Ā	203
vyāp	vyāpta	5	Ā	203
jval	jvalita	1	Ā	202
pātay	pātita	10	Ā	201
spṛś	spṛṣṭa	6	Ā	199
utsṛj	utsṛṣṭa	6	Ā	199
ucchri	ucchrita	1	Ā	196
stu	stuta	1	Ā	194
ādā	ātta	4	Ā	194
saṁyam	saṃyata	1	Ā	194
vyath	vyathita	1	P.	193
uddiś	uddiṣṭa	6	Ā	193
saṁvṛt	saṃvṛtta	1	Ā	192
tras	trasta	4	Ā	191
daṁś	daṣṭa	1	Ā	190
vitan	vitata	8	Ā	189
karśay	karśita	10	P.	187
kṣan	kṣata	8	Ā	184
prapad	prapanna	4	P.	183
saṁsṛj	saṃsṛṣṭa	6	Ā	183
udbhū	udbhūta	1	P.	179
viji	vijita	1	Ā	179
saṁśri	saṃśrita	1	Ā	179
prath	prathita	1	P.	178
avaśiṣ	avaśiṣṭa	7	P.	178
upaci	upacita	5	Ā	178
pradīp	pradīpta	4	Ā	178
samāvṛ	samāvṛta	5	P.	178
pravṛdh	pravṛddha	1	Ā	177
viṣad	viṣaṇṇa	1	Ā	177
yojay	yojita	10	Ā	176
car	carita	1	Ā	175
samutthā	samutthita	1	Ā	174
gras	grasta	1	Ā	173
āyā	āyāta	2	Ā	173
saṁhan	saṃhata	2	P.	172
arjay	arjita	10	Ā	171
majj	magna	1	Ā	171
āhṛ	āhṛta	1	Ā	171
vinaś	vinaṣṭa	4	Ā	171
yat	yatta	1	P.	170
lag	lagna	1	P.	170
veṣṭay	veṣṭita	10	Ā	169
āsañj	āsakta	1	Ā	169
preṣay	preṣita	10	Ā	169
niyuj	niyukta	7	Ā	168
pratī	pratīta	2	P.	168
dūṣay	dūṣita	10	Ā	167
avatṛ	avatīrṇa	6	P.	167
ādhā	āhita	3	Ā	166
puṭ	puṭita	6	P.	166
kāray	kārita	10	Ā	164
apahṛ	apahṛta	1	Ā	164
udvij	udvigna	6	P.	164
aṅkay	aṅkita	10	P.	163
upadiś	upadiṣṭa	6	Ā	162
atikram	atikrānta	6	P.	161
vikram	vikrānta	1	Ā	161
puraskṛ	puraskṛta	8	Ā	160
sambhṛ	saṃbhṛta	3	Ā	160
parivāray	parivārita	10	Ā	160
ākram	ākrānta	6	P.	159
vijñā	vijñāta	9	Ā	158
anurañj	anurakta	4	Ā	157
ānī	ānīta	1	Ā	157
paripṛ	paripūrṇa	9	P.	156
prasvap	prasupta	2	Ā	155
visṛj	visṛṣṭa	4	Ā	155
pūray	pūrita	10	Ā	154
lī	līna	1	Ā	154
racay	racita	10	Ā	154
miśray	miśrita	0	P.	154
śri	śrita	1	Ā	153
abhiṣic	abhiṣikta	4	P.	152
paryāp	paryāpta	5	Ā	152
prabudh	prabuddha	4	P.	152
tāḍay	tāḍita	10	Ā	151
pramad	pramatta	4	Ā	151
upasaṁkram	upasaṃkrānta	1	Ā	149
upagam	upagata	6	P.	148
pracchad	pracchanna	1	P.	148
ci	cita	3	Ā	148
sic	sikta	4	Ā	147
ape	apeta	2	Ā	147
praṇī	praṇīta	1	Ā	147
tan	tata	8	Ā	146
guṇay	guṇita	0	P.	146
stambh	stabdha	5	P.	145
niḥsṛ	niḥsṛta	1	Ā	145
vibhaj	vibhakta	1	Ā	144
abhyanujñā	abhyanujñāta	9	Ā	143
namaskṛ	namaskṛta	8	Ā	143
niviś	niviṣṭa	6	Ā	142
samprasthā	samprasthita	1	Ā	142
mil	milita	6	Ā	142
maṇḍay	maṇḍita	0	Ā	142
carv	cūrṇa	1	Ā	141
muh	mugdha	4	Ā	141
rudh	ruddha	6	P.	141
sambhram	saṃbhrānta	1	P.	141
abhyāgam	abhyāgata	1	P.	140
ādiś	ādiṣṭa	6	Ā	140
āp	āpta	1	P.	139
abhiman	abhimata	4	P.	139
vyūh	vyūḍha	1	Ā	139
saṁdhā	saṃhita	1	P.	139
samādhā	samāhita	1	P.	139
dih	digdha	2	Ā	138
samindh	samiddha	2	Ā	138
anuṣṭhā	anuṣṭhita	1	Ā	137
parityaj	parityakta	1	Ā	137
prasañj	prasakta	1	Ā	136
āplu	āpluta	1	P.	135
parāji	parājita	2	P.	135
prādurbhū	prādurbhūta	1	P.	135
pariṣkṛ	pariṣkṛta	5	P.	135
puṣ	puṣṭa	2	P.	134
antargam	antargata	1	P.	134
vidru	vidruta	1	Ā	134
gal	galita	1	P.	133
bhṛ	bhṛta	1	Ā	133
uddhan	uddhata	1	P.	133
cal	calita	1	Ā	132
nind	nindita	1	Ā	132
śodhay	śodhita	10	Ā	131
samalaṁkṛ	samalaṃkṛta	8	Ā	131
śap	śapta	1	Ā	130
āci	ācita	5	Ā	130
udgam	udgata	6	P.	130
saṁnam	saṃnata	1	Ā	129
jāray	jārita	10	Ā	129
niveday	nivedita	10	Ā	129
plu	pluta	1	P.	128
abhyañj	abhyakta	7	Ā	128
āyat	āyatta	1	Ā	128
vivṛ	vivṛta	9	P.	128
gā	gīta	2	P.	127
atiric	atirikta	4	Ā	127
ukṣ	ukṣita	6	Ā	126
ruh	rūḍha	6	Ā	126
saṁkṛ	saṃkīrṇa	6	P.	126
rañjay	rañjita	10	Ā	125
samāp	samāpta	5	Ā	124
samudbhū	samudbhūta	1	P.	124
samupasthā	samupasthita	1	Ā	124
samanvāgam	samanvāgata	6	P.	124
dhā	hita	1	P.	123
pariplu	paripluta	1	Ā	123
prahi	prahita	5	P.	123
sāray	sārita	10	Ā	122
āhvā	āhūta	4	Ā	121
saṁtuṣ	saṃtuṣṭa	4	P.	121
daṁśay	daṃśita	10	P.	120
viśram	viśrānta	1	Ā	120
saṁsidh	saṃsiddha	4	Ā	120
ghṛṣ	ghṛṣṭa	4	P.	119
nirudh	niruddha	7	Ā	119
praṇaś	pranaṣṭa	4	Ā	119
māray	mārita	10	Ā	118
yāc	yācita	1	Ā	117
mṛd	mṛdita	9	Ā	117
parigrah	parigṛhīta	9	Ā	117
samāśri	samāśrita	1	Ā	117
prasṛ	prasṛta	3	Ā	115
rañj	rakta	6	Ā	114
nikṣip	nikṣipta	6	Ā	114
preray	prerita	10	Ā	114
nibandh	nibaddha	9	Ā	113
pracoday	pracodita	10	P.	113
vistṛ	vistṛta	9	P.	113
samave	samaveta	2	P.	113
ācar	ācarita	1	Ā	112
yaj	iṣṭa	2	P.	111
dhāv	dhauta	1	Ā	111
niras	nirasta	4	Ā	111
samāviś	samāviṣṭa	6	Ā	111
avāp	avāpta	5	Ā	110
drāvay	drāvita	10	Ā	110
prakup	prakupita	4	P.	110
saṁsañj	saṃsakta	1	Ā	110
saṁnidhā	saṃnihita	3	Ā	110
śaṅk	śaṅkita	1	P.	109
anubhū	anubhūta	1	Ā	109
likh	likhita	6	Ā	109
upavas	upoṣita	2	P.	109
pratipad	pratipanna	4	P.	109
saṁrañj	saṃrakta	6	Ā	109
upayuj	upayukta	7	Ā	108
vyatī	vyatīta	2	P.	108
saṁnah	saṃnaddha	4	Ā	108
mṛj	mṛṣṭa	7	Ā	107
udīray	udīrita	10	P.	107
viśṛ	viśīrṇa	4	P.	107
pariśram	pariśrānta	4	P.	106
cintay	cintita	10	Ā	105
dhvaṁs	dhvasta	1	Ā	105
śikṣay	śikṣita	10	Ā	105
abhipre	abhipreta	2	P.	104
pratijñā	pratijñāta	9	Ā	104
vinihan	vinihata	2	P.	104
sraṁs	srasta	1	P.	103
adhī	adhīta	4	P.	103
pālay	pālita	10	Ā	103
snih	snigdha	4	P.	103
āsad	āsanna	2	P.	103
nimajj	nimagna	1	Ā	103
saṁvye	saṃvīta	4	Ā	103
śṛ	śīrṇa	9	Ā	102
uddhū	uddhūta	5	P.	102
darpay	darpita	10	P.	102
unmā	unmita	3	Ā	102
nikṛt	nikṛtta	6	Ā	101
pre	preta	2	P.	101
virañj	virakta	4	Ā	101
khid	khinna	4	P.	100
granth	grathita	1	P.	100
samākṛ	samākīrṇa	6	P.	100
śiṣ	śiṣṭa	4	Ā	99
klid	klinna	4	Ā	97
budh	buddha	1	Ā	97
ānam	ānata	1	P.	97
saṁci	saṃcita	5	Ā	97
adhigam	adhigata	1	Ā	96
udīr	udīrṇa	2	P.	96
pramud	pramudita	1	P.	96
prārthay	prārthita	0	Ā	94
vañcay	vañcita	10	Ā	94
adhikṛ	adhikṛta	8	Ā	93
utpāday	utpādita	10	Ā	93
upekṣ	upekṣita	1	P.	93
pravartay	pravartita	10	Ā	93
abhyas	abhyasta	1	Ā	93
paribhraṁś	paribhraṣṭa	4	Ā	93
garh	garhita	1	P.	91
bhram	bhrānta	4	Ā	91
ākṛṣ	ākṛṣṭa	6	P.	91
lakṣay	lakṣita	10	Ā	91
vivṛdh	vivṛddha	1	Ā	90
vāray	vārita	10	Ā	89
kṣudh	kṣudhita	4	P.	88
abhitap	abhitapta	4	Ā	88
abhiyuj	abhiyukta	7	Ā	88
upanī	upanīta	1	Ā	88
nirdah	nirdagdha	1	P.	88
prabhid	prabhinna	7	P.	88
saṁkhyā	saṃkhyāta	2	P.	88
samudāhṛ	samudāhṛta	1	P.	88
kﾱp	kﾱpta	1	P.	87
mūrch	mūrta	1	Ā	87
upadhā	upahita	3	Ā	87
prakram	prakrānta	6	P.	87
vand	vandita	1	P.	86
vibhid	vibhinna	7	P.	86
virāj	virājita	1	Ā	86
samīray	samīrita	10	Ā	86
sambandh	sambaddha	9	Ā	86
sru	sruta	1	Ā	85
ārādhay	ārādhita	10	Ā	85
uttṛ	uttīrṇa	6	P.	85
vismṛ	vismṛta	1	Ā	85
samudi	samudita	2	P.	85
samudyam	samudyata	1	P.	85
antari	antarita	2	P.	85
kliś	kliṣṭa	9	Ā	84
kvath	kvathita	1	Ā	84
nirvivah	nirvyūḍha	1	P.	84
pratipāday	pratipādita	10	Ā	84
pratibudh	pratibuddha	4	P.	84
vivic	vivikta	7	Ā	84
vyatiric	vyatirikta	7	P.	84
āhu	āhuta	3	Ā	83
vyāhṛ	vyāhṛta	1	Ā	83
saṁchad	saṃchanna	1	P.	83
adhiṣṭhā	dhiṣṭhita	1	Ā	82
dṛp	dṛpta	4	P.	82
toṣay	toṣita	10	Ā	82
prajval	prajvalita	1	P.	82
viyuj	viyukta	4	P.	82
vinirmā	vinirmita	3	Ā	82
krī	krīta	1	P.	81
lal	lalita	1	Ā	81
prabhū	prabhūta	1	Ā	81
ceṣṭ	ceṣṭita	1	Ā	80
gālay	gālita	10	P.	80
prak￞	prakīrṇa	6	P.	80
pratyupasthā	pratyupasthita	1	Ā	80
viśvas	viśvasta	1	Ā	80
abhipad	abhipanna	4	P.	79
niveśay	niveśita	10	Ā	79
pariṇam	pariṇata	1	Ā	79
vikṛ	vikīrṇa	6	Ā	79
vicchid	vicchinna	7	Ā	79
vyavasā	vyavasita	6	Ā	79
abhiram	abhirata	1	P.	78
nirbhid	nirbhinna	6	P.	78
niṣkram	niṣkrānta	6	P.	78
pragrah	pragṛhīta	9	Ā	78
vitras	vitrasta	4	Ā	78
bhṛjj	bhṛṣṭa	4	P.	78
apavyadh	apaviddha	4	P.	77
ākṣip	ākṣipta	4	P.	77
upadā	upātta	3	P.	77
vipad	vipanna	4	P.	77
viracay	viracita	10	Ā	77
saṁspṛś	saṃspṛṣṭa	6	Ā	77
kṛ	kīrṇa	6	Ā	76
nāday	nādita	10	Ā	76
mānay	mānita	10	Ā	76
avaśeṣay	avaśeṣita	10	P.	76
upāśri	upāśrita	1	Ā	76
pratihan	pratihata	4	Ā	76
viniḥsṛ	viniḥsṛta	1	Ā	76
pidhā	pihita	3	Ā	76
kāṅkṣ	kāṅkṣita	2	Ā	75
kṣam	kṣānta	1	P.	75
math	mathita	4	Ā	75
ucchiṣ	ucchiṣṭa	4	Ā	75
pravraj	pravrajita	1	Ā	75
varṇay	varṇita	0	Ā	74
udyuj	udyukta	7	Ā	74
parimā	parimita	3	Ā	74
viṣṭhā	viṣṭhita	1	Ā	74
samprahṛṣ	samprahṛṣṭa	6	P.	74
peṣay	peṣita	10	P.	74
kṛt	kṛtta	2	P.	73
ric	rikta	7	Ā	73
abhimantray	abhimantrita	0	Ā	73
vigarh	vigarhita	1	P.	73
vidhvaṁs	vidhvasta	1	Ā	73
nirūpay	nirūpita	0	P.	73
samarpay	samarpita	10	Ā	73
pradiś	pradiṣṭa	6	Ā	73
klam	klānta	4	Ā	72
kṣubh	kṣubhita	1	Ā	72
ativyadh	atividdha	4	P.	72
tarpay	tarpita	10	Ā	72
lih	līḍha	4	P.	72
sveday	svedita	10	Ā	72
avagāh	avagāḍha	1	P.	72
avanam	avanata	1	Ā	72
niṣpad	niṣpanna	4	Ā	72
parikṣip	parikṣipta	6	P.	72
parituṣ	parituṣṭa	4	P.	72
uparam	uparata	1	P.	71
prasāray	prasārita	10	Ā	71
samāsthā	samāsthita	1	Ā	71
samprayuj	samprayukta	7	P.	71
tāpay	tāpita	10	Ā	70
pācay	pācita	10	Ā	70
apagam	apagata	1	P.	70
abhīṣ	abhīṣṭa	6	P.	70
