root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
ullikh	ullikhita	6	Ā	14
dravībhū	dravībhūta	1	P.	14
nirūh	nirūḍha	1	P.	14
niśri	niśrita	1	P.	14
nistṛ	nistīrṇa	1	P.	14
paridhā	parihita	3	Ā	14
parimlā	parimlāna	4	P.	14
pratyudyā	pratyudyāta	2	P.	14
pravyathay	pravyathita	10	P.	14
prahu	prahuta	3	P.	14
vinikṛ	vinikṛta	8	Ā	14
vinikṛ	vinikīrṇa	6	P.	14
vimath	vimathita	9	Ā	14
saṁśodhay	saṃśodhita	10	P.	14
saṁchāday	saṃchādita	10	P.	14
saṁjīvay	saṃjīvita	10	Ā	14
saṁdīp	saṃdīpta	4	Ā	14
samākṛṣ	samākṛṣṭa	6	P.	14
vipravyadh	vipraviddha	4	Ā	14
samuddhan	samuddhata	4	Ā	14
garj	garjita	1	Ā	13
rah	rahita	1	P.	13
anupreṣay	anupreṣita	10	P.	13
rud	rudita	1	P.	13
śak	śakita	4	P.	13
smāray	smārita	10	Ā	13
apāśri	apāśrita	1	P.	13
dyotay	dyotita	10	P.	13
sīv	syūta	4	P.	13
ācar	ācīrṇa	1	Ā	13
ādhū	ādhūta	9	Ā	13
ālamb	ālambita	1	P.	13
ucchvas	ucchvasita	2	Ā	13
udvartay	udvartita	10	P.	13
upajan	upajāta	4	P.	13
upanāmay	upanāmita	10	P.	13
nimā	nimita	3	Ā	13
nirvāhay	nirvāhita	10	P.	13
nirvyadh	nirviddha	4	P.	13
pariśiṣ	pariśiṣṭa	7	P.	13
prapat	prapatita	1	Ā	13
prayudh	prayuddha	4	P.	13
viceṣṭ	viceṣṭita	1	Ā	13
vidal	vidalita	1	Ā	13
vibodhay	vibodhita	10	P.	13
vimṛd	vimṛdita	9	Ā	13
saṁvibhaj	saṃvibhakta	1	Ā	13
saṁkīrtay	saṃkīrtita	10	P.	13
samīh	samīhita	1	P.	13
samuttṛ	samuttīrṇa	1	P.	13
samutpāday	samutpādita	10	P.	13
praśamay	praśamita	10	P.	13
samāpay	samāpita	10	Ā	13
vistāray	vistārita	10	P.	13
prāduṣkṛ	prāduṣkṛta	8	Ā	13
vidṛ	vidīrṇa	4	P.	13
pariklid	pariklinna	4	Ā	13
vimukhīkṛ	vimukhīkṛta	8	P.	13
paryavanah	paryavanaddha	4	P.	13
pluṣ	pluṣṭa	4	P.	13
parimārjay	parimārjita	10	Ā	13
uṣṇībhū	uṣṇībhūta	1	Ā	13
nāth	nāthita	1	P.	13
apaci	apacita	3	P.	13
ujh	ujhita	6	P.	12
gur	gūrta	6	Ā	12
añjay	añjita	10	P.	12
nū	nuta	1	P.	12
vījay	vījita	10	P.	12
anuśaṁs	anuśasta	1	P.	12
anuṣañj	anuṣakta	1	Ā	12
apacyu	apacyuta	1	Ā	12
marṣay	marṣita	10	Ā	12
abhikāṅkṣ	abhikāṅkṣita	1	Ā	12
abhivāñch	abhivāñchita	1	P.	12
abhisaṁdhā	abhisaṃhita	3	Ā	12
abhihu	abhihuta	3	P.	12
abhyavahṛ	abhyavahṛta	1	Ā	12
gharṣay	gharṣita	10	P.	12
avapīḍay	avapīḍita	10	P.	12
ākulīkṛ	ākulīkṛta	8	P.	12
ādā	ādatta	4	Ā	12
ālī	ālīna	4	Ā	12
unnah	unnaddha	4	P.	12
unmiṣ	unmiṣita	6	P.	12
unmūlay	unmūlita	10	Ā	12
upanibandh	upanibaddha	9	P.	12
upayojay	upayojita	10	P.	12
upasaṁhṛ	upasaṃhṛta	1	Ā	12
upāhṛ	upāhṛta	1	P.	12
niḥsru	niḥsruta	1	P.	12
nipā	nipīta	1	P.	12
niryātay	niryātita	10	P.	12
nirvac	nirukta	3	P.	12
niścāray	niścārita	10	P.	12
parisamāp	parisamāpta	5	Ā	12
parihā	parihīna	3	Ā	12
prakaṭay	prakaṭita	0	P.	12
pragā	pragīta	4	Ā	12
pracchāday	pracchādita	10	P.	12
pratāpay	pratāpita	10	P.	12
pratyāhṛ	pratyāhṛta	2	P.	12
pratyudgam	pratyudgata	1	P.	12
pradakṣiṇīkṛ	pradakṣiṇīkṛta	8	P.	12
pradham	pradhmāta	1	P.	12
prapūray	prapūrita	10	P.	12
prabhraṁś	prabhraṣṭa	4	P.	12
pramuh	pramūḍha	4	Ā	12
pralabh	pralabdha	1	Ā	12
prahṛ	prahṛta	2	P.	12
prekṣ	prekṣita	1	P.	12
viśeṣay	viśeṣita	10	Ā	12
vyutthā	vyutthita	1	Ā	12
saṁśru	saṃśruta	5	Ā	12
saṁsīv	saṃsyūta	4	P.	12
saṁstṛ	saṃstīrṇa	1	P.	12
samāhṛ	samāhṛta	2	P.	12
samucchid	samucchinna	7	P.	12
samupaviś	samupaviṣṭa	6	P.	12
sampīḍay	saṃpīḍita	10	P.	12
samprayā	samprayāta	2	P.	12
samprasū	samprasūta	4	P.	12
samudbhram	samudbhrānta	1	P.	12
saṁdhukṣay	saṃdhukṣita	10	P.	12
samarcay	samarcita	10	P.	12
ghaṭay	ghaṭita	10	Ā	12
uparañj	uparakta	4	P.	12
śāyay	śāyita	10	P.	12
saṁkṣobhay	saṃkṣobhita	10	Ā	12
śakalīkṛ	śakalīkṛta	8	Ā	12
atipīḍay	atipīḍita	10	P.	12
abhyarday	abhyardita	10	P.	12
samāyat	samāyatta	1	Ā	12
īps	īpsita	0	Ā	12
viḍambay	viḍambita	10	P.	12
bahulīkṛ	bahulīkṛta	8	P.	12
kuñc	kuñcita	1	P.	11
tam	tānta	4	Ā	11
sṛ	sṛta	3	Ā	11
atipravṛt	atipravṛtta	1	Ā	11
atisṛj	atisṛṣṭa	6	Ā	11
atisev	atisevita	1	Ā	11
anukram	anukrānta	1	Ā	11
lambhay	lambhita	10	P.	11
tarjay	tarjita	10	Ā	11
abhiyā	abhiyāta	2	P.	11
śrī	śrāta	4	P.	11
abhisaṁśri	abhisaṃśrita	1	P.	11
bhās	bhāsita	1	Ā	11
avacāray	avacārita	10	Ā	11
ānand	ānandita	1	P.	11
āyuj	āyukta	7	Ā	11
ālocay	ālocita	10	Ā	11
ucchid	ucchinna	7	P.	11
utkṛt	utkṛtta	6	Ā	11
udbandh	udbaddha	9	P.	11
udvejay	udvejita	10	Ā	11
upadarśay	upadarśita	10	P.	11
ullas	ullasita	1	P.	11
niṣpāday	niṣpādita	10	P.	11
parikram	parikrānta	6	P.	11
paripṛ	paripūrita	9	P.	11
paryāgam	paryāgata	1	P.	11
prakamp	prakampita	1	P.	11
prativap	pratyupta	1	P.	11
pravā	pravāta	4	P.	11
prāś	prāśita	1	Ā	11
vighaṭṭay	vighaṭṭita	10	P.	11
vical	vicalita	1	Ā	11
vinikṛt	vinikṛtta	6	P.	11
viniyam	viniyata	1	P.	11
vipravas	viproṣita	1	P.	11
viṣā	viṣita	6	Ā	11
vyāvyadh	vyāviddha	4	P.	11
saṁvad	samudita	1	Ā	11
samabhiplu	samabhipluta	1	Ā	11
samāropay	samāropita	10	P.	11
samutsṛj	samutsṛṣṭa	6	Ā	11
prakaṭīkṛ	prakaṭīkṛta	8	P.	11
mukharay	mukharita	0	P.	11
pratiniyam	pratiniyata	1	P.	11
sukhay	sukhita	0	P.	11
kheday	khedita	10	Ā	11
prīṇay	prīṇita	10	Ā	11
saṁkrāmay	saṃkrāmita	10	Ā	11
adhimuc	adhimukta	6	P.	11
sthirībhū	sthirībhūta	1	P.	11
saṁkṣubh	saṃkṣubdha	4	Ā	11
śithilīkṛ	śithilīkṛta	8	Ā	11
upasaṁskṛ	upasaṃskṛta	8	Ā	11
nartay	nartita	10	Ā	11
vyākulīkṛ	vyākulīkṛta	8	Ā	11
parīvṛ	parīvṛta	5	Ā	11
kṣi	kṣita	1	P.	11
ās	āsita	4	P.	10
kūj	kūjita	1	Ā	10
nud	nutta	2	P.	10
loḍay	loḍita	10	P.	10
adhikṣip	adhikṣipta	6	P.	10
adhyavaso	adhyavasita	6	P.	10
śuc	śukta	6	P.	10
ramay	ramita	10	Ā	10
rādh	rāddha	5	Ā	10
dṛh	dṛḍha	4	Ā	10
apavāhay	apavāhita	10	P.	10
apasāray	apasārita	10	P.	10
abhiniḥsṛ	abhiniḥsṛta	1	Ā	10
abhiniṣkram	abhiniṣkrānta	1	P.	10
noday	nodita	10	P.	10
abhibhāṣ	abhibhāṣita	1	P.	10
lakṣ	lakṣita	1	Ā	10
abhivikhyā	abhivikhyāta	2	P.	10
abhiśap	abhiśapta	1	P.	10
abhyukṣ	abhyukṣita	6	P.	10
avaji	avajita	1	Ā	10
avanāmay	avanāmita	10	P.	10
avapad	avapanna	4	Ā	10
rad	radita	1	Ā	10
āveṣṭay	āveṣṭita	10	Ā	10
unnī	unnīta	1	Ā	10
upakﾱp	upakﾱpta	1	Ā	10
upasad	upasanna	1	Ā	10
upastṛ	upastīrṇa	9	Ā	10
nigṛ	nigīrṇa	9	P.	10
pariśaṅk	pariśaṅkita	1	P.	10
pariśri	pariśrita	1	P.	10
parihṛ	parihṛta	1	Ā	10
piṇḍīkṛ	piṇḍīkṛta	8	P.	10
praghātay	praghātita	10	P.	10
pratinand	pratinandita	1	Ā	10
pratyabhijñā	pratyabhijñāta	9	Ā	10
pratyāśvas	pratyāśvasta	2	P.	10
prapūjay	prapūjita	10	P.	10
prasaṁkhyā	prasaṃkhyāta	2	P.	10
vikopay	vikopita	10	P.	10
vidaṁś	vidaṣṭa	1	P.	10
vilas	vilasita	1	P.	10
vilokay	vilokita	10	Ā	10
vivartay	vivartita	10	P.	10
vyādā	vyātta	3	P.	10
vyādiś	vyādiṣṭa	6	P.	10
vyutkram	vyutkrānta	1	P.	10
saṁcūrṇay	saṃcūrṇita	0	P.	10
samājñā	samājñāta	9	P.	10
anusīv	anusyūta	4	P.	10
anubhāvay	anubhāvita	10	P.	10
dūrīkṛ	dūrīkṛta	8	P.	10
bhikṣ	bhikṣita	1	P.	10
udas	udasta	4	Ā	10
melay	melita	10	P.	10
pravisṛ	pravisṛta	3	P.	10
niyamay	niyamita	10	P.	10
samīkṛ	samīkṛta	8	Ā	10
piṣṭīkṛ	piṣṭīkṛta	8	Ā	10
surabhīkṛ	surabhīkṛta	8	Ā	10
śītalībhū	śītalībhūta	1	Ā	10
parinirmā	parinirmita	3	Ā	10
samāpṛ	samāpūrṇa	9	P.	10
anuvāsay	anuvāsita	0	Ā	10
āśyā	āśyāna	4	P.	10
saṁsvid	saṃsvinna	4	P.	10
sajjīkṛ	sajjīkṛta	8	Ā	10
yat	yatita	1	P.	9
adhiśri	adhiśrita	1	P.	9
atidru	atidruta	1	P.	9
anupālay	anupālita	10	Ā	9
kampay	kampita	10	Ā	9
dhā	dhīta	4	P.	9
bandhay	bandhita	10	P.	9
anuvac	anūkta	3	Ā	9
śāpay	śāpita	10	P.	9
anvāgam	anvāgata	1	P.	9
abhikram	abhikrānta	1	Ā	9
abhiruh	abhirūḍha	6	Ā	9
abhivand	abhivandita	1	P.	9
van	vāta	6	P.	9
veday	vedita	10	Ā	9
abhiveṣṭay	abhiveṣṭita	10	P.	9
abhisaṁrabh	abhisaṃrabdha	1	Ā	9
bhrāmay	bhrāmita	10	Ā	9
avakṣip	avakṣipta	6	P.	9
bhartsay	bhartsita	10	Ā	9
majjay	majjita	10	Ā	9
luñc	luñcita	1	Ā	9
ācchid	ācchinna	7	Ā	9
āmīlay	āmīlita	10	P.	9
āvirbhū	āvirbhūta	1	P.	9
āsvāday	āsvādita	10	Ā	9
upakṣi	upakṣīṇa	9	P.	9
upavah	upoḍha	1	P.	9
upastu	upastuta	2	P.	9
upādhā	upāhita	3	Ā	9
jaray	jarita	10	Ā	9
nighṛṣ	nighṛṣṭa	1	Ā	9
niyam	niyamita	1	Ā	9
niṣañj	niṣakta	1	P.	9
paripū	paripūta	9	P.	9
paribṛṁhay	paribṛṃhita	10	P.	9
pariviṣ	pariviṣṭa	4	P.	9
pratibādh	pratibādhita	1	Ā	9
pratirudh	pratiruddha	7	Ā	9
pratisamādiś	pratisamādiṣṭa	6	P.	9
pratyuṣ	pratyuṣṭa	1	P.	9
prapā	prapīta	1	Ā	9
prabhṛ	prabhṛta	1	P.	9
pralepay	pralepita	10	P.	9
prasphur	prasphurita	6	Ā	9
prasvid	prasvinna	4	P.	9
vikrīḍ	vikrīḍita	1	Ā	9
vighuṣ	vighuṣṭa	1	Ā	9
vidhvaṁsay	vidhvaṃsita	10	P.	9
viniveśay	viniveśita	10	P.	9
vipraṇaś	vipranaṣṭa	4	P.	9
vyapanī	vyapanīta	1	P.	9
vyutpāday	vyutpādita	10	P.	9
saṁyojay	saṃyojita	10	Ā	9
saṁrakṣ	saṃrakṣita	1	Ā	9
saṁkṣi	saṃkṣīṇa	9	P.	9
samutpat	samutpatita	1	Ā	9
samedh	samedhita	1	Ā	9
samparikīrtay	samparikīrtita	10	P.	9
niṣecay	niṣecita	10	P.	9
hrī	hrīta	3	P.	9
unnamay	unnamita	10	P.	9
saṁmarday	saṃmardita	10	P.	9
samādhū	samādhūta	9	P.	9
virūpay	virūpita	0	P.	9
mārgay	mārgita	0	Ā	9
pattrīkṛ	pattrīkṛta	8	Ā	9
abhipālay	abhipālita	10	Ā	9
vihval	vihvalita	1	Ā	9
abhinirhṛ	abhinirhṛta	2	P.	9
atisnih	atisnigdha	4	P.	9
pallavay	pallavita	0	P.	9
paridīpay	paridīpita	10	Ā	9
paricchad	paricchanna	1	P.	9
samanvāhṛ	samanvāhṛta	2	P.	9
saṁnirmā	saṃnirmita	3	Ā	9
vas	vasita	1	Ā	9
ru	ruta	1	P.	9
īh	īhita	1	P.	8
kvaṇ	kvaṇita	1	P.	8
khac	khacita	1	P.	8
sad	satta	6	P.	8
dhāv	dhāvita	1	Ā	8
pṛ	pūrta	9	Ā	8
anukamp	anukampita	1	P.	8
anujan	anujāta	4	Ā	8
anudru	anudruta	1	Ā	8
poṣay	poṣita	10	P.	8
anukṛ	anukīrṇa	6	P.	8
prathay	prathita	10	Ā	8
mārjay	mārjita	10	Ā	8
anurañjay	anurañjita	10	P.	8
veṣṭ	veṣṭita	1	P.	8
anviṣ	anviṣṭa	6	Ā	8
dhū	dhuta	6	Ā	8
dhṛṣ	dhṛṣita	1	Ā	8
pṛc	pṛkta	3	Ā	8
vraśc	vṛkṇa	6	Ā	8
abhighāray	abhighārita	10	P.	8
druh	drugdha	6	P.	8
abhinirdiś	abhinirdiṣṭa	6	P.	8
abhinī	abhinīta	1	P.	8
abhipravṛt	abhipravṛtta	1	Ā	8
sah	sāḍha	1	P.	8
abhimṛś	abhimṛṣṭa	6	Ā	8
abhisatkṛ	abhisatkṛta	8	P.	8
abhyatī	abhyatīta	2	P.	8
avakṛṣ	avakṛṣṭa	6	Ā	8
avacar	avacarita	1	Ā	8
avahā	avahīna	3	P.	8
ākṛ	ākṛta	8	Ā	8
āñj	ākta	7	Ā	8
āpāday	āpādita	10	P.	8
āpracch	āpṛṣṭa	6	Ā	8
āmṛś	āmṛṣṭa	6	P.	8
āloḍay	āloḍita	10	P.	8
āśaṁs	āśaṃsita	2	Ā	8
uttejay	uttejita	10	P.	8
udās	udāsīna	2	Ā	8
uddīpay	uddīpita	10	P.	8
uddyotay	uddyotita	10	P.	8
upapīḍay	upapīḍita	10	P.	8
upamantray	upamantrita	0	Ā	8
upasādhay	upasādhita	10	Ā	8
upāruh	upārūḍha	1	P.	8
nimajjay	nimajjita	10	P.	8
parikṛ	parikīrṇa	6	P.	8
parimṛj	parimṛṣṭa	6	Ā	8
prakopay	prakopita	10	P.	8
praj￞	prajīrṇa	4	P.	8
pradūṣay	pradūṣita	10	P.	8
pravṛṣ	pravṛṣṭa	1	Ā	8
vigrah	vigṛhīta	9	Ā	8
vidīpay	vidīpita	10	Ā	8
viniyuj	viniyukta	7	Ā	8
viniṣpiṣ	viniṣpiṣṭa	7	P.	8
vipaś	vispaṣṭa	4	Ā	8
vibhṛ	vibhṛta	3	Ā	8
virodhay	virodhita	10	P.	8
vilikh	vilikhita	6	P.	8
viṣkambh	viṣkambhita	9	Ā	8
vyapayā	vyapayāta	2	P.	8
vyapāśri	vyapāśrita	1	Ā	8
saṁveṣṭay	saṃveṣṭita	10	P.	8
saṁstṛ	saṃstṛta	1	P.	8
saṁsthāpay	saṃsthāpita	10	P.	8
saṁduṣ	saṃduṣṭa	4	P.	8
samadhiṣṭhā	samadhiṣṭhita	1	P.	8
samarthay	samarthita	0	Ā	8
samupavas	samupoṣita	1	P.	8
sampariṣvaj	sampariṣvakta	1	Ā	8
sampratiṣṭhā	sampratiṣṭhita	1	P.	8
sambodhay	saṃbodhita	10	P.	8
sammīlay	saṃmīlita	10	P.	8
vamay	vamita	10	P.	8
pravitan	pravitata	8	P.	8
vikṣobhay	vikṣobhita	10	Ā	8
viprahan	viprahata	2	P.	8
krāmay	krāmita	10	Ā	8
sthirīkṛ	sthirīkṛta	8	P.	8
saṁval	saṃvalita	1	P.	8
cūrṇībhū	cūrṇībhūta	1	P.	8
ānāyay	ānāyita	10	P.	8
vikampay	vikampita	10	P.	8
samājñapay	samājñapta	10	P.	8
parimarday	parimardita	10	P.	8
samudyuj	samudyukta	7	Ā	8
upadih	upadigdha	6	P.	8
abhitāpay	abhitāpita	10	P.	8
snapay	snapita	10	P.	8
upaniviś	upaniviṣṭa	6	Ā	8
upasaṁprāp	upasaṃprāpta	5	Ā	8
saṁskāray	saṃskārita	10	Ā	8
samupārjay	samupārjita	10	Ā	8
upanipīḍay	upanipīḍita	10	Ā	8
ullup	ullupta	6	Ā	8
ekārṇavīkṛ	ekārṇavīkṛta	8	Ā	8
abhivṛ	abhīvṛta	5	Ā	8
samanubandh	samanubaddha	9	Ā	8
vyaṁsay	vyaṃsita	0	Ā	8
virathīkṛ	virathīkṛta	8	P.	8
pratibimb	pratibimbita	0	P.	8
ājan	ājāta	4	Ā	8
vivas	vyuṣita	1	P.	8
gup	gupita	1	Ā	7
ghuṣ	ghuṣṭa	1	Ā	7
jalp	jalpita	1	Ā	7
tṛ	tūrta	3	P.	7
sū	suta	1	Ā	7
adhivid	adhivinna	6	P.	7
śā	śāta	4	P.	7
atiśī	atiśayita	1	Ā	7
adhyāpay	adhyāpita	10	Ā	7
kāmay	kāmita	10	P.	7
jīvay	jīvita	10	Ā	7
anudarśay	anudarśita	10	P.	7
stṛ	stṛta	5	Ā	7
bhājay	bhājita	10	Ā	7
anumantray	anumantrita	0	Ā	7
anvādhā	anvāhita	3	P.	7
apadiś	apadiṣṭa	6	P.	7
apadhyā	apadhyāta	4	Ā	7
dhvan	dhvanita	1	Ā	7
abhipracoday	abhipracodita	10	P.	7
abhivardhay	abhivardhita	10	P.	7
abhiṣyand	abhiṣyaṇṇa	1	Ā	7
alaṁkṛ	araṃkṛta	8	Ā	7
avabudh	avabuddha	4	P.	7
āndolay	āndolita	0	P.	7
āpyā	āpīna	5	Ā	7
ābhū	ābhūta	1	P.	7
ālakṣay	ālakṣita	10	Ā	7
āvāray	āvārita	10	P.	7
āśaṅk	āśaṅkita	1	P.	7
uccar	uccarita	1	Ā	7
ujjval	ujjvalita	1	P.	7
uttāray	uttārita	10	P.	7
utpāṭay	utpāṭita	10	P.	7
utpīḍay	utpīḍita	10	P.	7
udbhṛ	udbhṛta	1	P.	7
vāday	vādita	10	Ā	7
udvyadh	udviddha	4	P.	7
eṣay	eṣita	10	Ā	7
upaśru	upaśruta	5	Ā	7
upasṛ	upasṛta	1	Ā	7
upāvasṛj	upāvasṛṣṭa	6	P.	7
nirmath	nirmathita	9	Ā	7
parikhid	parikhinna	4	P.	7
parihan	parihata	2	P.	7
praci	pracita	5	Ā	7
pracchā	pracchita	4	P.	7
pratisaṁrabh	pratisaṃrabdha	1	Ā	7
pratyavasthā	pratyavasthita	1	Ā	7
pratyādiś	pratyādiṣṭa	6	P.	7
prabandh	prabaddha	9	P.	7
vitud	vitunna	6	Ā	7
vidrāvay	vidrāvita	10	Ā	7
vinirdah	vinirdagdha	1	P.	7
vinoday	vinodita	10	P.	7
vimṛś	vimṛṣṭa	6	Ā	7
virecay	virecita	10	P.	7
vilakṣay	vilakṣita	10	P.	7
visphūrj	visphūrjita	1	P.	7
vyākṣip	vyākṣipta	6	Ā	7
saṁruh	saṃrūḍha	1	P.	7
saṁlakṣay	saṃlakṣita	10	Ā	7
saṁvartay	saṃvartita	10	P.	7
saṁkṛt	saṃkṛtta	6	Ā	7
saṁjanay	saṃjanita	10	Ā	7
saṁtvar	saṃtvarita	1	Ā	7
samabhityaj	samabhityakta	1	P.	7
samupekṣ	samupekṣita	1	Ā	7
sampracch	saṃpṛṣṭa	6	Ā	7
sampradiś	sampradiṣṭa	6	P.	7
sampramuh	sampramūḍha	4	P.	7
sampravṛdh	sampravṛddha	1	Ā	7
saṁpradarśay	saṃpradarśita	10	P.	7
śuśrūṣ	śuśrūṣita	1	P.	7
avakṣu	avakṣuta	2	P.	7
saṁmohay	saṃmohita	10	P.	7
pravāsay	pravāsita	10	P.	7
vedhay	vedhita	10	Ā	7
jijñās	jijñāsita	0	Ā	7
upaśikṣ	upaśikṣita	6	Ā	7
dūrībhū	dūrībhūta	1	P.	7
ullāsay	ullāsita	10	P.	7
ākāray	ākārita	10	P.	7
abhinirmā	abhinirmita	3	Ā	7
abhyupāgam	abhyupāgata	1	P.	7
vinirvṛt	vinirvṛtta	1	Ā	7
paridhvaṁs	paridhvasta	1	P.	7
viṣṭambhay	viṣṭambhita	10	Ā	7
viniviś	viniviṣṭa	6	Ā	7
visrāvay	visrāvita	10	P.	7
dhāmay	dhāmita	10	P.	7
ākampay	ākampita	10	Ā	7
abhyucchri	abhyucchrita	1	P.	7
śailībhū	śailībhūta	1	Ā	7
dhavalay	dhavalita	0	P.	7
saṁstambhay	saṃstambhita	10	Ā	7
vimokṣay	vimokṣita	10	P.	7
niḥśeṣay	niḥśeṣita	10	P.	7
badhirīkṛ	badhirīkṛta	8	Ā	7
vyatyas	vyatyasta	4	P.	7
adhiropay	adhiropita	10	Ā	7
adhīṣ	adhīṣṭa	6	Ā	7
jaḍīkṛ	jaḍīkṛta	8	Ā	7
samutkliś	samutkliṣṭa	9	P.	7
āyāsay	āyāsita	10	P.	7
vaṭīkṛ	vaṭīkṛta	8	Ā	7
masṛṇīkṛ	masṛṇīkṛta	8	Ā	7
nisṛ	nisṛta	3	P.	7
vibhājay	vibhājita	10	Ā	7
nikuṭṭay	nikuṭṭita	10	Ā	7
gṛ	gīrṇa	9	Ā	7
abhivṛ	abhivṛta	5	Ā	7
cit	citta	1	Ā	6
tarkay	tarkita	0	Ā	6
tud	tunna	7	Ā	6
ve	ūta	4	P.	6
adhyas	adhyasta	4	P.	6
ropay	ropita	10	Ā	6
anugā	anugīta	4	Ā	6
jñāpay	jñāpita	10	Ā	6
nand	nandita	1	Ā	6
anupā	anupīta	1	P.	6
anuprapad	anuprapanna	4	Ā	6
moday	modita	10	Ā	6
anuprayā	anuprayāta	2	P.	6
dṛṁhay	dṛṃhita	10	Ā	6
kramay	kramita	10	P.	6
apaguh	apagūḍha	1	Ā	6
spṛ	spṛta	5	Ā	6
apākṛ	apākṛta	8	P.	6
apinah	apinaddha	4	P.	6
abhigā	abhigīta	4	P.	6
abhicintay	abhicintita	10	Ā	6
abhitāḍay	abhitāḍita	10	P.	6
du	dūna	4	P.	6
abhināday	abhinādita	10	P.	6
vepay	vepita	10	Ā	6
yodhay	yodhita	10	Ā	6
abhiruc	abhirucita	1	Ā	6
abhilakṣ	abhilakṣita	1	Ā	6
valg	valgita	1	Ā	6
śrī	śrīta	4	P.	6
abhiṣu	abhiṣuta	5	P.	6
abhisaṁyuj	abhisaṃyukta	7	P.	6
abhisaṁdhā	abhisaṃdhita	3	Ā	6
abhisambandh	abhisaṃbaddha	9	P.	6
abhisṛ	abhisṛta	3	Ā	6
abhisṛj	abhisṛṣṭa	6	Ā	6
abhyādhā	abhyāhita	3	P.	6
cālay	cālita	10	Ā	6
avaci	avacita	5	Ā	6
cyāvay	cyāvita	10	Ā	6
avadṛ	avadīrṇa	2	P.	6
avado	avatta	6	P.	6
avaplu	avapluta	1	Ā	6
mūtray	mūtrita	0	Ā	6
ākarṇay	ākarṇita	0	Ā	6
ākrand	ākrandita	1	Ā	6
ābhāṣ	ābhāṣita	1	Ā	6
ārdrīkṛ	ārdrīkṛta	8	P.	6
āveśay	āveśita	10	P.	6
āsu	āsuta	6	P.	6
āsthāpay	āsthāpita	10	Ā	6
ucchiṣ	uñśiṣṭa	4	Ā	6
utkvath	utkvathita	1	Ā	6
utpū	utpūta	9	P.	6
uddhū	uddhuta	5	P.	6
chanday	chandita	10	Ā	6
chalay	chalita	10	P.	6
upasṛp	upasṛpta	1	Ā	6
upasthāpay	upasthāpita	10	P.	6
upasnih	upasnigdha	4	P.	6
upahas	upahasita	1	P.	6
upāyā	upāyāta	2	P.	6
charday	chardita	10	P.	6
nirdhū	nirdhuta	5	Ā	6
nirbhuj	nirbhugna	6	P.	6
nirvap	nirupta	1	Ā	6
nirvartay	nirvartita	10	P.	6
nivṛ	nivṛta	5	P.	6
niṣkṛṣ	niṣkṛṣṭa	1	P.	6
parāgam	parāgata	1	P.	6
paricoday	paricodita	10	P.	6
paritāpay	paritāpita	10	P.	6
paripūray	paripūrita	10	Ā	6
paripracch	paripṛcchita	6	Ā	6
pariṣū	pariṣūta	2	Ā	6
parisāntvay	parisāntvita	0	Ā	6
parihā	parihīṇa	3	Ā	6
paryupās	paryupāsīna	4	P.	6
prakathay	prakathita	10	P.	6
prakrīḍ	prakrīḍita	1	Ā	6
pracar	pracarita	1	Ā	6
pracar	pracīrṇa	1	Ā	6
praṇud	praṇutta	6	Ā	6
prativibudh	prativibuddha	4	Ā	6
prativyadh	pratividdha	4	Ā	6
pratisaṁsṛj	pratisaṃsṛṣṭa	6	P.	6
pratisaṁhṛ	pratisaṃhṛta	2	P.	6
pratihṛ	pratihṛta	1	Ā	6
pratyāhan	pratyāhata	2	Ā	6
pramlā	pramlāna	4	P.	6
pravyath	pravyathita	1	P.	6
pravyāhṛ	pravyāhṛta	1	P.	6
praśaṁs	praśaṃsita	1	Ā	6
praskand	praskanna	1	Ā	6
prasnu	prasnuta	2	Ā	6
prādhī	prādhīta	2	P.	6
prās	prāsta	4	P.	6
vighūrṇ	vighūrṇita	1	Ā	6
viniyojay	viniyojita	10	P.	6
vinirdhū	vinirdhūta	5	P.	6
vinivāray	vinivārita	10	P.	6
vipariṇam	vipariṇata	1	Ā	6
viparyas	viparyasta	4	Ā	6
vipratipad	vipratipanna	4	Ā	6
vipruṣ	vipluṣṭa	5	P.	6
viyu	viyuta	3	P.	6
vivah	vyūḍha	4	P.	6
vyapoh	vyapoḍha	1	Ā	6
vyavacchid	vyavacchinna	7	P.	6
vyābhāṣ	vyābhāṣita	1	P.	6
saṁvāday	saṃvādita	10	P.	6
saṁgā	saṃgīta	4	P.	6
samañj	samakta	7	Ā	6
samāmnā	samāmnāta	1	P.	6
samāsad	samāsanna	2	P.	6
samāstṛ	samāstīrṇa	9	P.	6
samunnah	samunnaddha	4	P.	6
samprayudh	samprayuddha	4	P.	6
samprī	saṃprīta	9	P.	6
āmoday	āmodita	10	P.	6
bhramay	bhramita	10	Ā	6
cikits	cikitsita	0	Ā	6
khalīkṛ	khalīkṛta	8	P.	6
avalambay	avalambita	10	P.	6
udbhāvay	udbhāvita	10	Ā	6
saṁmukhībhū	saṃmukhībhūta	1	P.	6
palāy	palāyita	0	P.	6
abhimukhībhū	abhimukhībhūta	1	P.	6
dāsīkṛ	dāsīkṛta	8	P.	6
parāyat	parāyatta	1	Ā	6
golakīkṛ	golakīkṛta	8	P.	6
viloḍay	viloḍita	10	P.	6
viphalīkṛ	viphalīkṛta	8	Ā	6
krodhay	krodhita	10	P.	6
