"Textname","Author","Subtit","Shorthand","Comment","Publish","Place of publication","Release year","Publishing","Range","Digitizers","LanguageID","Habil Etym TimeSlot","TextCompleted","SubjectID","secondary_literature","NrOfWords"
"""Aṣṭāṅgasaṃgraha"""," "," ","""ASaṃ""",0," "," ",0," "," "," ",1,3,0,33,0,2187
"""Aṣṭādhyāyī""","""Pāṇini"""," "," ",0," "," ",0," "," ","""Mari Minamino GRETIL)""",1,2,1,20,0,15461
"""Aṣṭādhyāyī of Pāṇini"""," ","""In Roman Transliteration""","""Katre 1987)""",0,"""Sumitra M. Katre""","""Austin""",1987,"""University of Texas Press"""," "," ",0,0,0," ",1,0
"""Aṣṭasāhasrikā"""," "," ","""ASāh""",0,"""P.L. Vaidya""","""Darbhanga""",1960," "," ","""Sanskrit Buddhist Input Project""",1,2,0,58,0,43182
"""Aṣṭāvakragīta"""," "," "," ",0," "," ",0," "," ","""John Richards; with corrections by Robert Drecogna""",1,4,1,44,0,4553
"""Abhidhānacintāmaṇi""","""Hemacandra"""," ","""AbhCint""",0,"""Paṃḍita Śivadatta""","""Mumbai""",1818,"""Nirṇayasāgara"""," "," ",1,4,0,49,0,4326
"""Abhidharmakośa""","""Vasubandhu"""," ","""AbhidhKo""",0," "," ",0," "," "," ",1,3,0,58,0,1331
"""Abhidharmakośabhāṣya""","""Vasubandhu"""," ","""AbhidhKoBh""",1," "," ",0," "," "," ",1,3,0,58,0,107
"""Abhinavacintāmaṇi""","""Cakrapāṇidāsa"""," ","""ACint""",0," "," ",0," "," ","""Jan Houben""",1,5,0,56,0,2605
"""Acintyastava""","""Nāgārjuna"""," "," ",0," "," ",0," "," ","""Richard Mahoney""",1,0,1,58,0,894
"""Agastīyaratnaparīkṣā"""," "," ","""AgRPar""",0,"""Louis Finot""","""Paris""",1896,"""Librairie ￉mile Bouillon"""," "," ",1,5,0,54,0,604
"""Agnipurāṇa"""," "," ","""AgniPur""",0,"""Rajendralal Mitra""","""Calcutta""",1870,"""Asiatic Society of Bengal""","""Bibliotheca Indica  65 1-3""","""Jun Takashima""",1,3,0,42,0,8333
"""Aitareyabrāhmaṇa"""," "," ","""AitBr""",0,"""Th. Aufrecht""","""Bonn""",1879," "," ","""TITUS; S. Scarlata""",1,1,0,8,0,45709
"""Aitareyopaniṣad"""," "," ","""AitUp""",0," "," ",0," "," ","""Sansknet; checked by R. Gr￼nendahl""",1,1,1,10,0,843
"""Alchemy and sacred geography in medieval Deccan.""","""Rosu  Arion"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Allgemeine Geschichte der Philosophie""","""Deussen  Paul""","""Erster Band  erste Abteilung""","""Deussen 1894""",0," ","""Leipzig""",1894,"""Brockhaus"""," "," ",0,5,0," ",1,0
"""Amarakośa""","""Amara"""," ","""AKośa""",0," "," ",0," "," ","""Avinash Sathaye  Pramod SV Ganesan""",1,3,0,49,0,11960
"""Amaraughaśāsana""","""Gorakṣanātha"""," ","""AmarŚās""",0,"""Mukund Rām Shāstrī""","""Bombay""",1918,"""Nirnaya-Sagara Press""","""Kashmir Series of Texts & Studies  20""","""Oliver Hellwig""",1,4,1,44,0,1024
"""Amaruśataka""","""Amaru"""," ","""AmaruŚ""",0,"""Jīvānanda Vidyāsāgara"""," ",0," "," ","""???""",1,3,1,47,0,3221
"""AMTest"""," "," "," ",0," "," ",0," "," "," ",2," ",0," ",0,0
"""Amṛtabindūpaniṣat"""," "," "," ",0," "," ",0," "," "," ",1," ",0,10,0,105
"""An English translation of the Suśrutasaṃhitā"""," ","""Based on original Sanskrit text"""," ",0,"""Kaviraj Kunjalal Bhishagratna  M.R.A.S""","""Varanasi""",1981,"""Chowkhamba Sanskrit Series Office""","""Chowkhamba Sanskrit Studies  Vol. XXX"""," ",0," ",0," ",1,0
"""An English Translation of the Sushruta Samhita  vol. I"""," ","""Based on original Sanskrit text"""," ",0,"""K.K. Bhishagratna""","""Varanasi""",1981,"""Chowkhamba Sanskrit Series Office"""," "," ",0," ",0," ",1,0
"""An illustrated Ardhamagadhi dictionary""","""Ratnachandraji Maharaj"""," "," ",0," ","""Ajmer""",1923,"""Shri Sukhadeo sahai Jain Printing Press"""," "," ",0," ",0," ",1,0
"""An Index to the Names in the Mahābhārata""","""S. S￶rensen"""," ","""S￶rensen""",0," ","""London""",1904,"""Williams and Norgate"""," "," ",0,5,0," ",1,0
"""An introduction to Buddhism.""","""Peter Harvey""","""Teachings  history and practices"""," ",0," ","""Cambridge""",1993,"""Cambridge University Press"""," "," ",0," ",0," ",1,0
"""Ānandakanda"""," ","""Edited with translation in Tamil  and introduction in Tamil and Sanskrit""","""ĀK""",0,"""S.V. Radhakrishna Sastri""","""Srirangam""",1952,"""Sri Vilasam Press""","""Tanjore Saraswathi Mahal Series No. 15""","""O. Hellwig""",1,4,0,56,0,84032
"""Anga Suttani"""," ","""Original text critically edited"""," ",0,"""Muni Nathamal""","""Ladnun""",0,"""Jain Viswa Bhārati"""," "," ",0," ",0," ",1,0
"""Antagaḍadasāo"""," "," "," ",0,"""Shah Venichand Surchand""","""Bombay""",1920,"""Nirnayasagara Press"""," "," ",2," ",0," ",0,6645
"""Āpastambaśrautasūtra"""," "," ","""ĀpŚS""",0,"""Garbe  Richard""","""Calcutta""",1882," "," ","""Makoto Fushimi TITUS)""",1,1,0," ",0,861
"""Āpastambagṛhyasūtra"""," ","""With two commentaries""","""ĀpGṛSū""",0,"""A. Chinnaswami Sastri""","""Benares City""",1928,"""Jai Krishnadas-Haridas Gupta""","""The Kashi-Sanskrit-Series  No. 59"""," ",1,1,1,18,0,3120
"""Arthaśāstra""","""Kauṭilya""","""A critical Edtion with a Glossary""","""ArthaŚ""",0,"""R.P. Kangle""","""Bombay""",1969,"""University of Bombay"""," ","""Muneo Tokunaga""",1,2,0,53,0,19434
"""Āryāsaptaśatī""","""Govardhana"""," ","""Āsapt""",0,"""Ramakant Tripathi""","""Varanasi""",1965,"""Chowkhamba Vidyabhawan""","""Vidyabhawan Sanskrit Granthamala 127""","""Jan Brzezinski""",1,4,1,47,0,11798
"""Atharvaprāyaścittāni"""," "," ","""AVPr""",0,"""Julius von Negelein""","""K￶nigsberg""",1913," "," ","""Arlo Griffiths  Reinhold Gr￼nendahl TITUS)""",1,1,0," ",0,517
"""Atharvaveda Śaunaka)"""," "," ","""AVŚ""",0,"""Chatia Orlandi""","""Pisa""",1991," "," ","""Vladimir Petr  Petr Vavrousek et al.; OH: corrections with ed. Whitney/Roth""",1,1,0,6,0,52931
"""Atharva-Veda Saṃhitā""","""William Dwight Whitney"""," ","""Whitney and Lanman 1905""",0," ","""Cambridge""",1905,"""Harvard University"""," "," ",0,5,0," ",1,0
"""Atharvaveda-Paippalāda  Kāṇḍa Five""","""Lubotsky  Alexander"""," ","""Lubotsky 2002""",0," ","""Cambridge""",2002," ","""Harvard Oriental Series  4"""," ",0,5,0," ",1,0
"""Atharvavedapariśiṣṭa"""," "," ","""AVPariś""",0,"""George Melville Bolling and Julius von Negelein""","""Leipzig""",1909," "," ","""Yuri Ishii  Arlo Griffiths TITUS)""",1,1,0," ",0,63
"""Avadānaśataka"""," "," ","""AvŚat""",0,"""J.S. Speyer""","""St. Petersbourg""",1906," "," ","""Klaus Wille""",1,2,0,58,0,19819
"""Āyaraṅga"""," "," "," ",0," "," ",0," "," ","""Yumi Ousaka  Moriichi Yamazaki""",2," ",0," ",0,0
"""Āyāracūlā"""," "," "," ",0," "," ",0," "," "," ",2," ",0," ",0,860
"""Āyurvedadīpikā""","""Cakrapāṇidatta"""," ","""ĀVDīp""",1," "," ",0," "," "," ",1,4,0,33,0,38742
"""Ayurvedarasāyana""","""Hemādri"""," "," ",1," "," ",0," "," "," ",1,4,0,33,0,4104
"""Balarāma im Mahābhārata""","""Bigger  Andreas""","""Seine Darstellung im Rahmen des Textes und seiner Entwicklung."""," ",0," ","""Wiesbaden""",1998,"""Harrassowitz Verlag""","""Beitr￤ge zur Indologie  30"""," ",0," ",0," ",1,0
"""Baudhāyanaśrautasūtra"""," "," ","""BaudhŚS""",0,"""W. Caland""","""Calcutta""",1904," "," ",,,,,,,
"""Baudhāyanadharmasūtra"""," "," ","""BaudhDhSū""",0,"""E. Hultzsch""","""Leipzig""",1922," ","""Abhandlungen fur die Kunde des Morgenlandes  16""","""Masato Fujii  Mieko Kajihara""",1,1,0,38,0,1681
"""Baudhāyanagṛhyasūtra"""," "," ","""BaudhGS""",0," "," ",0," "," "," ",1,1,0,18,0,2649
"""Bhadrabāhucarita"""," "," "," ",0,"""H. Jacobi"""," ",0," "," "," ",1," ",0," ",0,210
"""Bhāgavatapurāṇa"""," "," ","""BhāgPur""",0," "," ",0," "," ","""Ulrich Stiehl""",1,4,0,42,0,77576
"""Bhairavastava""","""Abhinavagupta"""," "," ",0," "," ",0," "," ","""Oliver Hellwig""",1,4,1,44,0,204
"""Bhallaṭaśataka""","""Bhallaṭa"""," ","""BhallŚ""",0," "," ",0," "," ","""Somadeva Vasudeva""",1,3,1,47,0,2809
"""Bhāradvājagṛhyasūtra"""," "," ","""BhārGS""",0," "," ",0," "," "," ",1,1,0,18,0,504
"""Bhāratamañjarī""","""Kṣemendra"""," ","""BhāMañj""",0,"""Mahāmahopādhyāya Pandit Śivadatta""","""Bombay""",1898,"""Tukārām Jāvaji""","""Kāvyamālā  64""","""Members of the Sansknet project; source: GRETIL""",1,4,0,40,0,85577
"""Bhāvaprakāśa""","""Bhāvamiśra"""," ","""BhPr""",0," ","""Benares City""",1947,"""Jaya Krishna Das Hari Das Gupta""","""Haridas Sanskrit Series  39""","""oh""",1,5,0,33,0,13062
"""Bhramarāṣṭaka"""," "," "," ",0," "," ",0," "," ","""O. Hellwig""",1," ",0,47,0,216
"""Bījanighaṇṭu"""," "," ","""BījaN""",0," "," ",0," "," "," ",1," ",0,49,0,770
"""Bodhicaryāvatāra""","""Śāntideva"""," ","""BoCA""",0," "," ",0," "," ","""Richard Mahoney""",1,3,1,58,0,13712
"""Brahmabindūpaniṣat"""," "," "," ",0," "," ",0," "," ","""O. Hellwig""",1," ",1,10,0,320
"""British Eighteenth-Century Chemical Terms""","""Eklund  Jon"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Buddhacarita""","""Aśvaghoṣa"""," ","""BCar""",0,"""E.H. Johnston""","""Calcutta""",1935,"""Baptist Mission Press"""," ","""The Sanskrit Buddhist Input Project""",1,2,1,58,0,19020
"""Buddhist Hybrid Sanskrit""","""Edgerton"""," "," ",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Bṛhadāraṇyakopaniṣad"""," "," ","""BĀU""",0," "," ",0," "," ","""Sansknet project; checked by R. Gr￼nendahl against the ed. by V.P. Limaye and R.D. Vadekar 1958)""",1,1,1,10,0,18824
"""Bṛhatkathāślokasaṃgraha""","""Buddhasvāmin"""," ","""BKŚS""",0," "," ",0," "," ","""Andreas Bigger GRETIL)""",1,3,1,48,0,62095
"""Cakra ?) on Suśr"""," "," "," ",1," "," ",0," "," "," ",1," ",0,33,0,165
"""Carakasaṃhitā"""," "," ","""Ca""",0,"""J. Trikamji""","""Varanasi""",1994,"""Chaukhambha Sanskrit Sansthan"""," "," ",1,2,0,33,0,94635
"""Carakatattvapradīpikā""","""Śivadāsasena"""," ","""CaTPra""",1," "," ",0," "," "," ",1,5,0,33,0,121
"""Caurapañcaśikā""","""Bilhaṇa"""," ","""CauP""",0,"""S.N. Tadpatrikar""","""Poona""",1966,"""Oriental Book Agency""","""Poona Oriental Series  86""","""Somadeva Vasudeva""",1,5,1,47,0,1183
"""Chāndogyopaniṣad"""," "," ","""ChāUp""",0," "," ",0," "," ","""Sansknet project; checked by R. Gr￼nendahl""",1,1,1,10,0,15571
"""Classical Hindu mythology"""," "," "," ",0,"""Dimmitt  C.; van Buitenen  J.A.B."""," ",0," "," "," ",0," ",0," ",1,0
"""Comm. on the Kāvyālaṃkāravṛtti"""," "," "," ",1," "," ",0," "," "," ",1," ",0," ",0,393
"""Commentary on Amaraughaśāsana"""," "," ","""AmarŚās Komm.)""",1," "," ",0," "," "," ",1,4,0,44,0,673
"""Commentary on the Kādambarīsvīkaraṇasūtramañjarī"""," "," ","""KādSvīSComm""",1," "," ",0," "," "," ",1,5,0,55,0,1899
"""Cuire le monde""","""Charles Malamoud"""," "," ",0," "," ",1975," ","""Puruṣārtha 1  91ff."""," ",0," ",0," ",1,0
"""Daśakumāracarita""","""Daṇḍin"""," ","""DKCar""",0," "," ",0," "," ","""Members of the Sansknet project; version found on GRETIL; typos corrected with a Kane edition""",1,3,1,48,0,35081
"""D￤cher  Decken und Gew￶lbe indischer Kultst￤tten und Nutzbauten.""","""Fischer  Klaus"""," ","""Fischer 1974)""",0," ","""Wiesbaden""",1974,"""Franz Steiner Verlag GmbH"""," "," ",0," ",0," ",1,0
"""Darśan""","""Diana L. Eck""","""Seeing the divine image in India"""," ",0," ","""Chambersburg""",1985,"""Anima Publications"""," "," ",0," ",0," ",1,0
"""Das Śrautasūtra des Āpastamba""","""Caland  W. transl.)"""," ","""Caland 1928 [ĀpŚS tr.]""",0," ","""Amsterdam""",1928," "," "," ",0,5,0," ",1,0
"""Das altindische Buch vom Welt- und Staatsleben""","""Meyer  J.J."""," ","""Meyer 1926 [Arthaśāstra]""",0," "," ",1926," "," "," ",0,5,0," ",1,0
"""Das Jaiminīya-Brāhmaṇa in Auswahl""","""Caland  W."""," ","""Caland 1919 [Jaiminīyabr.]""",0," ","""Amsterdam""",1919," "," "," ",0,5,0," ",1,0
"""Das Rāmāyaṇa""","""Jacobi  Hermann""","""Geschichte und Inhalt nebst Concordanz der gedruckten Recensionen."""," ",0," ","""Darmstadt""",1970,"""Wissenschaftliche Buchgesellschaft"""," "," ",0," ",0," ",1,0
"""Der Jainismus""","""von Glasenapp  Helmuth""","""Eine indische Erl￶sungsreligion."""," ",0," ","""Berlin""",1925,"""Alf H￤ger Verlag"""," "," ",0," ",0," ",1,0
"""Der Mondschein der Sāṃkhya-Wahrheit in deutscher ￜbersetzung""","""Richard Garbe""","""Nebst einer Einleitung ￼ber das Alter und die Herkunft der Sāṃkhya-Philosophie"""," ",0," ","""M￼nchen""",1891,"""Verlag der k￶niglichen Akademie"""," "," ",0," ",0," ",1,0
"""Der Rigveda in Auswahl. Erster Teil: Glossar""","""Geldner"""," ","""Geldner [RV Auswahl]""",0," "," ",1907," "," "," ",0,5,0," ",1,0
"""Der Rig-Veda. Aus dem Sanskrit ins Deutsche ￼bersetzt""","""Geldner  K. F."""," "," ",0," "," ",1951," ","""Harvard Oriental Series"""," ",0,5,0," ",1,0
"""Devīkālottarāgama"""," "," ","""DevīĀgama""",0,"""Vrajavallabha Dwivedi""","""Varanasi""",2000,"""Shaiva Bharati Shodha Pratishthanam""","""Research Publication Series  21""","""Dominic Goodall""",1,0,1," ",0,1258
"""Devīmāhātmya"""," "," "," ",0," "," ",0," "," "," ",1,5,0," ",0,24
"""Dhanurveda""","""Sadāśiva"""," ","""DhanV""",0,"""Īśvaracandra Śāstri""","""Calcutta""",0,"""Śrīphaṇibhūṣaṇ Hāzrā Guptpreś"""," ","""oh""",1,5,1,35,0,3139
"""Dhanvantarinighaṇṭu"""," "," ","""DhanvNigh""",0," "," ",0," "," "," ",1,4,0,49,0,6939
"""Die altindische Stadt""","""Schlingloff  Dieter""","""Eine vergleichende Untersuchung."""," ",0," ","""Wiesbaden""",1969,"""Verlag der Akademie der Wissenschaften und der Literatur in Mainz""","""Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse  Nr. 5"""," ",0," ",0," ",1,0
"""Die Feldfr￼chte Indiens in ihrer geographischen Verbreitung""","""Th. H. Engelbrecht"""," ","""Feldfr￼chte""",0," ","""Hamburg""",1914,"""L. Freiderichsen & Co.""","""Abhandlungen des Hamburgischen Kolonialinstituts  XIX"""," ",0," ",0," ",1,0
"""Die Lehre der Jainas""","""Walther Schubring""","""Nach den alten Quellen dargestellt."""," ",0," ","""Berlin/Leipzig""",1935,"""Walter de Gruyter & Co.""","""Grundriss der indo-arischen Philologie und Altertumskunde  III  7"""," ",0," ",0," ",0,0
"""Die philosophisch-theologischen Lehren des Pāśupata-Systems""","""Schultz  Friedrich August"""," "," ",0," ","""Walldorf""",1958,"""Verlag f￼r Orientkunde Dr. H. Vorndran"""," "," ",0," ",0," ",1,0
"""Die Religionen Indiens""","""Gonda  Jan""","""2 Der j￼ngere Hinduismus"""," ",0," ","""Stuttgart""",1963,"""W. Kohlhammer Verlag"""," "," ",0," ",0," ",1,0
"""Die Sāṃkhya-Philosophie""","""Richard Garbe""","""Eine Darstellung des indischen Rationalismus.""","""Garbe 1917)""",0," ","""Leipzig""",1917,"""H. Haessel Verlag"""," "," ",0," ",0," ",1,0
"""Divyāvadāna"""," "," ","""Divyāv""",0,"""L. Vaidya""","""Mithila""",1959," ","""Buddhist Sanskrit Texts  20""","""Kensuke Okamoto""",1,3,0,58,0,67405
"""Early Indian secular architecture""","""K. Krishna Murthy"""," "," ",0," ","""Delhi""",1987,"""Sundeep Prakashan"""," "," ",0," ",0," ",1,0
"""Ein buddhistisches Yogalehrbuch""","""Schlingloff  D."""," ","""Schlingloff 1964 [Yoga]""",0," "," ",1964," "," "," ",0,5,0," ",1,0
"""Ekākṣarakoṣa""","""Puruṣottamadeva""","""In: Dictionaries of Tantra Śāstra or The Tantrābhidhāna. - 30-37"""," ",0,"""Ram Kumar Rai""","""Varanasi""",1978,"""Prachya Prakashan"""," ","""Oliver Hellwig""",1," ",0,49,0,0
"""Encyclopaedia of Indian Temple Architecture. North India. Foundations of North Indian Style c. 250 B.C. - A.D. 1100""","""Meister  M.W."""," ","""Meister 1988 [Temple Architecture]""",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Essays in early Indian architecture.""","""Coomaraswamy  Ananda K.""","""Edited and with an introduction by Michael W. Meister""","""Coomaraswamy 1992)""",0,"""Michael W. Meister""","""Delhi""",1992,"""Oxford University Press"""," "," ",0," ",0," ",1,0
"""Etymologisches W￶rterbuch des Altindoarischen""","""Mayrhofer  Manfred"""," "," ",0," ","""Heidelberg""",1992,"""Carl Winter Universit￤tsverlag"""," "," ",0,5,0," ",1,0
"""Exploration of underground water springs according to the ancient Hindus""","""E.G.K. Rao"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Gūḍhārthadīpikā""","""Kāśirāma"""," ","""ŚGDīp""",1," "," ",0," "," "," ",1,5,0,33,0,4822
"""Gaṇakārikā""","""Haradatta""","""With four appendices including the Kāravaṇamāhātmya""","""GaṇaKār""",0,"""Chimanlai D. Dalai""","""Baroda""",1966,"""Oriental Institute"""," ","""Oliver Hellwig""",1,3,0,44,0,95
"""Garbhopaniṣat"""," "," ","""GarbhOp""",0," "," ",0," "," ","""O. Hellwig""",1," ",1,10,0,559
"""Garuḍapurāṇa"""," "," ","""GarPur""",0," "," ",0,"""Venkatesvara Steam Press"""," ","""Members of the SANSKNET-project""",1,4,0,42,0,75648
"""Gautamadharmasūtra"""," "," ","""GautDhS""",0," "," ",1966," ","""Ānandāśrama Sanskrit Series  61""","""Nobuyuki Watase""",1,1,1,38,0,5615
"""Gheraṇḍasaṃhitā"""," "," ","""GherS""",0," ","""Internet; ftp-Server)""",0," "," ","""Peter Thomi""",1,5,1,29,0,5484
"""Gītagovinda""","""Jayadeva"""," ","""GītGov""",0," "," ",0," "," "," ",1,4,1,47,0,6020
"""Gmelins Handbuch der anorganischen Chemie"""," ","""Kupfer. Teil B - Lieferung 1. Verbindungen bis Kupfertellurate.""","""Gmelin Cu  B  1)""",0," ","""Weinheim/Bergstrasse""",1958,"""Verlag Chemie"""," "," ",0," ",0," ",1,0
"""Gmelins Handbuch der anorganischen Chemie"""," ","""Quecksilber. Lieferung 1.""","""Gmelin Hg  1)""",0," ","""Weinheim/Bergstrasse""",1960,"""Verlag Chemie"""," "," ",0," ",0," ",1,0
"""Gmelins Handbuch der anorganischen Chemie"""," ","""Arsen. System-Nummer 17.""","""Gmelin As)""",0," ","""Weinheim/Bergstrasse""",1952,"""Verlag Chemie"""," "," ",0," ",0," ",1,0
"""G￸ḍhārthaprakāśaka""","""Raṅganātha"""," "," ",1,"""Fitzedward Hall""","""Amsterdam""",1974,"""Philo Press"""," "," ",1," ",0," ",0,0
"""Gobhilagṛhyasūtra"""," "," ","""GobhGṛS""",0,"""Friedrich Knauer""","""Dorpat""",1884,"""C. Matthiesen"""," ","""Oliver Hellwig""",1,1,0,18,0,1317
"""Gokarṇapurāṇasāraḥ"""," "," ","""GokPurS""",0," "," ",0," "," ","""Kerstin Schier""",1,5,1,42,0,14689
"""Gopathabrāhmaṇa NEW"""," "," ","""GB""",0,"""Dieuke Gastra""","""Leiden""",1919," "," ","""Arlo Griffiths""",1,1,0," ",0,7469
"""Gorakṣaśataka""","""Gorakhnath"""," ","""GorŚ""",0," "," ",0," "," ","""Oliver Hellwig""",1,5,1,29,0,1471
"""Gorakhnath and the Kanphata Yogins""","""Briggs"""," "," ",0," "," ",1938," "," "," ",0," ",0," ",1,0
"""Ṛgveda"""," "," ","""ṚV""",0,"""Theodor Aufrecht""","""Bonn""",1877," "," ","""Barend A. Van Nooten and Gary B. Holland; revised by D. Eichler""",1,1,1,3,0,170860
"""Ṛgvedakhilāni"""," "," ","""ṚVKhil""",0,"""Scheftelowitz"""," ",1906," "," ","""M. K￼mmel  Th. Zehnder""",1,1,0," ",0,1317
"""Ṛgvedavedāṅgajyotiṣa""","""Lagadha""","""In: Vedāṅgajyotiṣa in its Ṛk and Yajur recensions. - 23-26""","""ṚVJ""",0,"""K. V. Sarma""","""New Delhi""",0,"""Indian National Science Academy"""," "," ",1,1,0,24,0,185
"""Gṛhastharatnākara""","""Caṇḍeśvara Ṭhakkura""","""A treatise on Smṛti""","""GṛRĀ""",0,"""Kamalakṛṣṇa Smṛtitīrtha""","""Calcutta""",1928,"""Asiatic Society of Bengal"""," ","""O. Hellwig""",1,4,0,37,0,1539
"""Haṭhayogapradīpikā""","""Svātmarāma"""," ","""HYP""",0," "," ",0," "," ","""???""",1,5,1,29,0,5659
"""Haṃsadūta""","""Rūpa Goswāmin"""," "," ",0," "," ",0," "," ","""GRETIL""",1,5,0,47,0,2622
