Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
prasidh	Verb	4	P.	prasiddha			"Past Passive Participle"	"  344"
āviś	Verb	6	Ā	āviṣṭa			"Past Passive Participle"	"  342"
vyākhyā	Verb	2	Ā	vyākhyāta			"Past Passive Participle"	"  341"
samāyuj	Verb	7	P.	samāyukta			"Past Passive Participle"	"  338"
vikṛ	Verb	5	P.	vikṛta			"Past Passive Participle"	"  328"
praśaṁs	Verb	1	Ā	praśasta			"Past Passive Participle"	"  324"
sambhū	Verb	1	Ā	sambhūta			"Past Passive Participle"	"  323"
lip	Verb	4	Ā	lipta			"Past Passive Participle"	"  322"
mūrchay	Verb	10	P.	mūrchita			"Past Passive Participle"	"  319"
bhuj	Verb	6	P.	bhukta			"Past Passive Participle"	"  316"
coday	Verb	10	Ā	codita			"Past Passive Participle"	"  316"
samṛdh	Verb	4	Ā	samṛddha			"Past Passive Participle"	"  314"
marday	Verb	10	Ā	mardita			"Past Passive Participle"	"  310"
prayuj	Verb	7	Ā	prayukta			"Past Passive Participle"	"  310"
guh	Verb	6	P.	gūḍha			"Past Passive Participle"	"  305"
sampṛ	Verb	3	P.	sampūrṇa			"Past Passive Participle"	"  303"
udi	Verb	4	Ā	udita			"Past Passive Participle"	"  301"
nirji	Verb	1	P.	nirjita			"Past Passive Participle"	"  301"
nyas	Verb	2	P.	nyasta			"Past Passive Participle"	"  300"
anuprāp	Verb	5	Ā	anuprāpta			"Past Passive Participle"	"  299"
saṁskṛ	Verb	8	Ā	saṃskṛta			"Past Passive Participle"	"  299"
nivṛt	Verb	1	Ā	nivṛtta			"Past Passive Participle"	"  297"
dam	Verb	4	P.	dānta			"Past Passive Participle"	"  295"
mohay	Verb	10	Ā	mohita			"Past Passive Participle"	"  293"
saṁtap	Verb	4	Ā	saṃtapta			"Past Passive Participle"	"  293"
anugam	Verb	1	Ā	anugata			"Past Passive Participle"	"  291"
juṣ	Verb	6	Ā	juṣṭa			"Past Passive Participle"	"  289"
