lemma_slp1,lemma_iast,shared_ref,sigil,source_dict,inheritor,dcs_text,dcs_text_id,dcs_locus,status,lemma_present,reason,note
caturaSra,caturaśra,HARIV. 12378,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12378 exceeds DCS total verses 6073 (vulgate vs critical edition),
caturmuKa,caturmukha,HARIV. 10630,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10630 exceeds DCS total verses 6073 (vulgate vs critical edition),
caturmuKa,caturmukha,HARIV. 12344,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12344 exceeds DCS total verses 6073 (vulgate vs critical edition),
caturveda,caturveda,HARIV. 7993,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7993 exceeds DCS total verses 6073 (vulgate vs critical edition),
ced,ced,HARIV. 11895,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 11895 exceeds DCS total verses 6073 (vulgate vs critical edition),
cezwa,ceṣṭa,HARIV. 5939,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
cikIrzA,cikīrṣā,HARIV. 4907,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
cint,cint,HARIV. 14675,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14675 exceeds DCS total verses 6073 (vulgate vs critical edition),
cira,cira,HARIV. 9942,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9942 exceeds DCS total verses 6073 (vulgate vs critical edition),
citi,citi,HARIV. 2227,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
